HOG	OG	Gene Tree Parent Clade	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
N7.HOG0000022	OG0000001	n1007																							Beroe_ovata_Bova1_4.0078.g20.t1 Bova1_4.0078.g20.t1	Mnemiopsis_leidyi_ML141745a ML141745a	Pleurobrachia_bachei_sb_2653902_ sb_2653902_							
N7.HOG0000023	OG0000001	n1023	Monosiga_brevicollisXP_001747261.1 XP_001747261.1 uncharacterized protein MONBRDRAFT_26825 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004993731.1 XP_004993731.1 laminin alpha 5 chain [Salpingoeca rosetta]																														
N7.HOG0000024	OG0000001	n1062																							Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_							
N7.HOG0000025	OG0000001	n1164																							Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1		Pleurobrachia_bachei_sb_2640766_ sb_2640766_							
N7.HOG0000026	OG0000001	n1169																							Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1									
N7.HOG0000027	OG0000002	n4																							Beroe_ovata_Bova1_4.0169.g17.t1 Bova1_4.0169.g17.t1	Mnemiopsis_leidyi_ML174724a ML174724a	Pleurobrachia_bachei_sb_2641958_ sb_2641958_, Pleurobrachia_bachei_sb_2638270_ sb_2638270_							
N7.HOG0000028	OG0000002	n30	Monosiga_brevicollisXP_001742800.1 XP_001742800.1 uncharacterized protein MONBRDRAFT_5267 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001747141.1 XP_001747141.1 uncharacterized protein MONBRDRAFT_32969 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004998178.1 XP_004998178.1 uncharacterized protein PTSG_00710 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992682.1 XP_004992682.1 uncharacterized protein PTSG_07263 [Salpingoeca rosetta]																					Beroe_ovata_Bova1_4.0122.g2.t1 Bova1_4.0122.g2.t1, Beroe_ovata_Bova1_4.0167.g18.t1 Bova1_4.0167.g18.t1, Beroe_ovata_Bova1_4.0036.g56.t1 Bova1_4.0036.g56.t1, Beroe_ovata_Bova1_4.0113.g13.t1 Bova1_4.0113.g13.t1, Beroe_ovata_Bova1_4.0287.g9.t1 Bova1_4.0287.g9.t1, Beroe_ovata_Bova1_4.0287.g10.t1 Bova1_4.0287.g10.t1, Beroe_ovata_Bova1_4.0006.g158.t1 Bova1_4.0006.g158.t1, Beroe_ovata_Bova1_4.0022.g96.t1 Bova1_4.0022.g96.t1, Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1	Mnemiopsis_leidyi_ML025011a ML025011a, Mnemiopsis_leidyi_ML15458a ML15458a, Mnemiopsis_leidyi_ML21527a ML21527a, Mnemiopsis_leidyi_ML02152a ML02152a, Mnemiopsis_leidyi_ML104325a ML104325a, Mnemiopsis_leidyi_ML014910a ML014910a, Mnemiopsis_leidyi_ML04601a ML04601a, Mnemiopsis_leidyi_ML06976a ML06976a	Pleurobrachia_bachei_sb_2660785_ sb_2660785_, Pleurobrachia_bachei_sb_2663848_ sb_2663848_, Pleurobrachia_bachei_sb_2658038_ sb_2658038_, Pleurobrachia_bachei_sb_2659183_ sb_2659183_, Pleurobrachia_bachei_sb_2661642_ sb_2661642_, Pleurobrachia_bachei_sb_2656508_ sb_2656508_, Pleurobrachia_bachei_sb_2639676_ sb_2639676_							
N7.HOG0000029	OG0000002	n64		Salpingoeca_rosetta_XP_004997838.1 XP_004997838.1 uncharacterized protein PTSG_01857 [Salpingoeca rosetta]																							Pleurobrachia_bachei_sb_2657717_ sb_2657717_							
N7.HOG0000030	OG0000002	n65																									Pleurobrachia_bachei_sb_2653974_ sb_2653974_							
N7.HOG0000031	OG0000002	n120																							Beroe_ovata_Bova1_4.0019.g34.t1 Bova1_4.0019.g34.t1, Beroe_ovata_Bova1_4.0105.g2.t1 Bova1_4.0105.g2.t1, Beroe_ovata_Bova1_4.0092.g42.t1 Bova1_4.0092.g42.t1	Mnemiopsis_leidyi_ML049019a ML049019a, Mnemiopsis_leidyi_ML34222a ML34222a	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_							
N7.HOG0000032	OG0000002	n150																							Beroe_ovata_Bova1_4.0019.g35.t1 Bova1_4.0019.g35.t1		Pleurobrachia_bachei_sb_2659350_ sb_2659350_							
N7.HOG0000033	OG0000002	n348																							Beroe_ovata_Bova1_4.0556.g1.t1 Bova1_4.0556.g1.t1, Beroe_ovata_Bova1_4.0059.g49.t3 Bova1_4.0059.g49.t3, Beroe_ovata_Bova1_4.0059.g49.t1 Bova1_4.0059.g49.t1, Beroe_ovata_Bova1_4.0059.g49.t2 Bova1_4.0059.g49.t2, Beroe_ovata_Bova1_4.0024.g32.t1 Bova1_4.0024.g32.t1	Mnemiopsis_leidyi_ML05979a ML05979a	Pleurobrachia_bachei_sb_2638781_ sb_2638781_							
N7.HOG0000034	OG0000002	n364																							Beroe_ovata_Bova1_4.0560.g1.t1 Bova1_4.0560.g1.t1	Mnemiopsis_leidyi_ML08108a ML08108a	Pleurobrachia_bachei_sb_2653796_ sb_2653796_							
N7.HOG0000035	OG0000002	n493																							Beroe_ovata_Bova1_4.0022.g39.t1 Bova1_4.0022.g39.t1, Beroe_ovata_Bova1_4.0143.g14.t1 Bova1_4.0143.g14.t1	Mnemiopsis_leidyi_ML05299a ML05299a, Mnemiopsis_leidyi_ML016334a ML016334a	Pleurobrachia_bachei_sb_2662616_ sb_2662616_							
N7.HOG0000036	OG0000002	n539																								Mnemiopsis_leidyi_ML033229a ML033229a	Pleurobrachia_bachei_sb_2658150_ sb_2658150_							
N7.HOG0000037	OG0000002	n542																									Pleurobrachia_bachei_sb_2639240_ sb_2639240_							
N7.HOG0000038	OG0000002	n568																									Pleurobrachia_bachei_sb_2653447_ sb_2653447_							
N7.HOG0000039	OG0000002	n574																							Beroe_ovata_Bova1_4.0002.g184.t1 Bova1_4.0002.g184.t1									
N7.HOG0000040	OG0000002	n620	Monosiga_brevicollisXP_001744742.1 XP_001744742.1 uncharacterized protein MONBRDRAFT_16091_ partial [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004991580.1 XP_004991580.1 adamts family protein 2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991567.1 XP_004991567.1 uncharacterized protein PTSG_07763 [Salpingoeca rosetta]																					Beroe_ovata_Bova1_4.0147.g36.t1 Bova1_4.0147.g36.t1	Mnemiopsis_leidyi_ML040510a ML040510a								
N7.HOG0000041	OG0000002	n632																								Mnemiopsis_leidyi_ML20422a ML20422a								
N7.HOG0000042	OG0000002	n636																								Mnemiopsis_leidyi_ML030920a ML030920a, Mnemiopsis_leidyi_ML234011a ML234011a, Mnemiopsis_leidyi_ML02691a ML02691a, Mnemiopsis_leidyi_ML09091a ML09091a, Mnemiopsis_leidyi_ML05985a ML05985a, Mnemiopsis_leidyi_ML460824a ML460824a, Mnemiopsis_leidyi_ML154111a ML154111a, Mnemiopsis_leidyi_ML259914a ML259914a, Mnemiopsis_leidyi_ML00858a ML00858a								
N7.HOG0000043	OG0000002	n648																								Mnemiopsis_leidyi_ML14871a ML14871a, Mnemiopsis_leidyi_ML093048a ML093048a	Pleurobrachia_bachei_sb_2641978_ sb_2641978_, Pleurobrachia_bachei_sb_2638179_ sb_2638179_							
N7.HOG0000044	OG0000002	n737																							Beroe_ovata_Bova1_4.0116.g21.t1 Bova1_4.0116.g21.t1	Mnemiopsis_leidyi_ML27988a ML27988a	Pleurobrachia_bachei_sb_2650841_ sb_2650841_, Pleurobrachia_bachei_sb_2641280_ sb_2641280_, Pleurobrachia_bachei_sb_2645200_ sb_2645200_, Pleurobrachia_bachei_sb_2665050_ sb_2665050_							
N7.HOG0000045	OG0000002	n764																							Beroe_ovata_Bova1_4.0035.g60.t1 Bova1_4.0035.g60.t1									
N7.HOG0000046	OG0000002	n824																								Mnemiopsis_leidyi_ML050913a ML050913a								
N7.HOG0000047	OG0000002	n970																								Mnemiopsis_leidyi_ML27985a ML27985a, Mnemiopsis_leidyi_ML000132a ML000132a, Mnemiopsis_leidyi_ML10112a ML10112a, Mnemiopsis_leidyi_ML10113a ML10113a, Mnemiopsis_leidyi_ML271515a ML271515a, Mnemiopsis_leidyi_ML460822a ML460822a								
N7.HOG0000048	OG0000002	n1038																							Beroe_ovata_Bova1_4.0176.g1.t1 Bova1_4.0176.g1.t1, Beroe_ovata_Bova1_4.2215.g1.t1 Bova1_4.2215.g1.t1	Mnemiopsis_leidyi_ML07453a ML07453a	Pleurobrachia_bachei_sb_2643333_ sb_2643333_, Pleurobrachia_bachei_sb_2655712_ sb_2655712_, Pleurobrachia_bachei_sb_2649228_ sb_2649228_, Pleurobrachia_bachei_sb_2661683_ sb_2661683_, Pleurobrachia_bachei_sb_2659647_ sb_2659647_							
N7.HOG0000049	OG0000002	n1071																							Beroe_ovata_Bova1_4.0084.g30.t1 Bova1_4.0084.g30.t1, Beroe_ovata_Bova1_4.0084.g31.t1 Bova1_4.0084.g31.t1									
N7.HOG0000050	OG0000002	n1076																							Beroe_ovata_Bova1_4.0113.g24.t1 Bova1_4.0113.g24.t1, Beroe_ovata_Bova1_4.0113.g23.t1 Bova1_4.0113.g23.t1, Beroe_ovata_Bova1_4.0068.g44.t1 Bova1_4.0068.g44.t1	Mnemiopsis_leidyi_ML10553a ML10553a, Mnemiopsis_leidyi_ML14987a ML14987a, Mnemiopsis_leidyi_ML090217a ML090217a								
N7.HOG0000051	OG0000003	n23																									Pleurobrachia_bachei_sb_2646535_ sb_2646535_, Pleurobrachia_bachei_sb_2657779_ sb_2657779_, Pleurobrachia_bachei_sb_2663028_ sb_2663028_, Pleurobrachia_bachei_sb_2638498_ sb_2638498_, Pleurobrachia_bachei_sb_2657002_ sb_2657002_, Pleurobrachia_bachei_sb_2652298_ sb_2652298_							
N7.HOG0000052	OG0000003	n49	Monosiga_brevicollisXP_001742622.1 XP_001742622.1 uncharacterized protein MONBRDRAFT_35486 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004988103.1 XP_004988103.1 uncharacterized protein PTSG_10568 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004994258.1 XP_004994258.1 uncharacterized protein PTSG_04943 [Salpingoeca rosetta]																							Pleurobrachia_bachei_sb_2648001_ sb_2648001_							
N7.HOG0000053	OG0000003	n59																									Pleurobrachia_bachei_sb_2646835_ sb_2646835_							
N7.HOG0000054	OG0000003	n65																									Pleurobrachia_bachei_sb_2660103_ sb_2660103_, Pleurobrachia_bachei_sb_2661433_ sb_2661433_, Pleurobrachia_bachei_sb_2643938_ sb_2643938_							
N7.HOG0000055	OG0000003	n106	Monosiga_brevicollisXP_001749778.1 XP_001749778.1 uncharacterized protein MONBRDRAFT_38878 [Monosiga brevicollis MX1]																						Beroe_ovata_Bova1_4.0188.g3.t1 Bova1_4.0188.g3.t1, Beroe_ovata_Bova1_4.0188.g5.t1 Bova1_4.0188.g5.t1									
N7.HOG0000056	OG0000003	n209																							Beroe_ovata_Bova1_4.0552.g4.t1 Bova1_4.0552.g4.t1, Beroe_ovata_Bova1_4.0203.g12.t2 Bova1_4.0203.g12.t2, Beroe_ovata_Bova1_4.0203.g12.t1 Bova1_4.0203.g12.t1, Beroe_ovata_Bova1_4.0552.g5.t1 Bova1_4.0552.g5.t1, Beroe_ovata_Bova1_4.0203.g13.t1 Bova1_4.0203.g13.t1, Beroe_ovata_Bova1_4.2546.g1.t1 Bova1_4.2546.g1.t1	Mnemiopsis_leidyi_ML216321a ML216321a	Pleurobrachia_bachei_sb_2654447_ sb_2654447_, Pleurobrachia_bachei_sb_2646239_ sb_2646239_, Pleurobrachia_bachei_sb_2662112_ sb_2662112_							
N7.HOG0000057	OG0000003	n449	Monosiga_brevicollisXP_001747347.1 XP_001747347.1 uncharacterized protein MONBRDRAFT_26977 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004995286.1 XP_004995286.1 lung surfactant protein A [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992387.1 XP_004992387.1 salivary C-type lectin [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997986.1 XP_004997986.1 C-type lectin [Salpingoeca rosetta]																							Pleurobrachia_bachei_sb_2665626_ sb_2665626_							
N7.HOG0000058	OG0000003	n489																								Mnemiopsis_leidyi_ML01786a ML01786a	Pleurobrachia_bachei_sb_2654029_ sb_2654029_, Pleurobrachia_bachei_sb_2661432_ sb_2661432_							
N7.HOG0000059	OG0000003	n715	Monosiga_brevicollisXP_001748611.1 XP_001748611.1 uncharacterized protein MONBRDRAFT_10838 [Monosiga brevicollis MX1]																															
N7.HOG0000060	OG0000003	n779	Monosiga_brevicollisXP_001748542.1 XP_001748542.1 uncharacterized protein MONBRDRAFT_10710 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004996162.1 XP_004996162.1 uncharacterized protein PTSG_11902 [Salpingoeca rosetta]																					Beroe_ovata_Bova1_4.0033.g69.t1 Bova1_4.0033.g69.t1	Mnemiopsis_leidyi_ML056959a ML056959a	Pleurobrachia_bachei_sb_2659118_ sb_2659118_, Pleurobrachia_bachei_sb_2655921_ sb_2655921_							
N7.HOG0000061	OG0000003	n815																									Pleurobrachia_bachei_sb_2646600_ sb_2646600_							
N7.HOG0000062	OG0000003	n821																							Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1	Mnemiopsis_leidyi_ML090113a ML090113a								
N7.HOG0000063	OG0000003	n877		Salpingoeca_rosetta_XP_004989738.1 XP_004989738.1 uncharacterized protein PTSG_08941 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004994146.1 XP_004994146.1 uncharacterized protein PTSG_04829 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992328.1 XP_004992328.1 uncharacterized protein PTSG_12510 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992343.1 XP_004992343.1 lectoxin-Phi2 [Salpingoeca rosetta]																														
N7.HOG0000064	OG0000003	n894																									Pleurobrachia_bachei_sb_2666979_ sb_2666979_							
N7.HOG0000065	OG0000003	n899	Monosiga_brevicollisXP_001748808.1 XP_001748808.1 uncharacterized protein MONBRDRAFT_33819 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001750767.1 XP_001750767.1 uncharacterized protein MONBRDRAFT_34706 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001748806.1 XP_001748806.1 uncharacterized protein MONBRDRAFT_33817 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001750659.1 XP_001750659.1 uncharacterized protein MONBRDRAFT_30149 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004996124.1 XP_004996124.1 uncharacterized protein PTSG_11898 [Salpingoeca rosetta]																							Pleurobrachia_bachei_sb_2656105_ sb_2656105_							
N7.HOG0000066	OG0000003	n1085																									Pleurobrachia_bachei_sb_2655552_ sb_2655552_, Pleurobrachia_bachei_sb_2651961_ sb_2651961_							
N7.HOG0000067	OG0000004	n9		Salpingoeca_rosetta_XP_004993085.1 XP_004993085.1 uncharacterized protein PTSG_12412 [Salpingoeca rosetta]																														
N7.HOG0000068	OG0000004	n11	Monosiga_brevicollisXP_001745590.1 XP_001745590.1 uncharacterized protein MONBRDRAFT_8109 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001743737.1 XP_001743737.1 uncharacterized protein MONBRDRAFT_23588 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001748906.1 XP_001748906.1 uncharacterized protein MONBRDRAFT_11132 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004995902.1 XP_004995902.1 uncharacterized protein PTSG_11996 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990682.1 XP_004990682.1 uncharacterized protein PTSG_12722 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998822.1 XP_004998822.1 uncharacterized protein PTSG_11571 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998150.1 XP_004998150.1 uncharacterized protein PTSG_00683 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997256.1 XP_004997256.1 uncharacterized protein PTSG_01285 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998828.1 XP_004998828.1 uncharacterized protein PTSG_00277 [Salpingoeca rosetta]																														
N7.HOG0000069	OG0000004	n20	Monosiga_brevicollisXP_001746393.1 XP_001746393.1 uncharacterized protein MONBRDRAFT_26084 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004990645.1 XP_004990645.1 uncharacterized protein PTSG_08395 [Salpingoeca rosetta]																														
N7.HOG0000070	OG0000004	n22		Salpingoeca_rosetta_XP_004987841.1 XP_004987841.1 uncharacterized protein PTSG_11196 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004987814.1 XP_004987814.1 uncharacterized protein PTSG_11167 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988330.1 XP_004988330.1 uncharacterized protein PTSG_10281 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988317.1 XP_004988317.1 uncharacterized protein PTSG_10931 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989187.1 XP_004989187.1 uncharacterized protein PTSG_09829 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988472.1 XP_004988472.1 uncharacterized protein PTSG_10134 [Salpingoeca rosetta]																														
