N14.HOG0000009	OG0000001	n866		Salpingoeca_rosetta_XP_004996713.1 XP_004996713.1 laminin alpha 5 chain [Salpingoeca rosetta]																														
N14.HOG0000010	OG0000001	n870		Salpingoeca_rosetta_XP_004989854.1 XP_004989854.1 uncharacterized protein PTSG_09054 [Salpingoeca rosetta]																														
N14.HOG0000011	OG0000001	n898	Monosiga_brevicollisXP_001744552.1 XP_001744552.1 uncharacterized protein MONBRDRAFT_36570 [Monosiga brevicollis MX1]																															
N14.HOG0000012	OG0000001	n1023	Monosiga_brevicollisXP_001747261.1 XP_001747261.1 uncharacterized protein MONBRDRAFT_26825 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004993731.1 XP_004993731.1 laminin alpha 5 chain [Salpingoeca rosetta]																														
N14.HOG0000013	OG0000002	n60	Monosiga_brevicollisXP_001742800.1 XP_001742800.1 uncharacterized protein MONBRDRAFT_5267 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004998178.1 XP_004998178.1 uncharacterized protein PTSG_00710 [Salpingoeca rosetta]																														
N14.HOG0000014	OG0000002	n61	Monosiga_brevicollisXP_001747141.1 XP_001747141.1 uncharacterized protein MONBRDRAFT_32969 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004992682.1 XP_004992682.1 uncharacterized protein PTSG_07263 [Salpingoeca rosetta]																														
N14.HOG0000015	OG0000002	n64		Salpingoeca_rosetta_XP_004997838.1 XP_004997838.1 uncharacterized protein PTSG_01857 [Salpingoeca rosetta]																														
N14.HOG0000016	OG0000002	n620	Monosiga_brevicollisXP_001744742.1 XP_001744742.1 uncharacterized protein MONBRDRAFT_16091_ partial [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004991580.1 XP_004991580.1 adamts family protein 2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991567.1 XP_004991567.1 uncharacterized protein PTSG_07763 [Salpingoeca rosetta]																														
N14.HOG0000017	OG0000003	n52		Salpingoeca_rosetta_XP_004988103.1 XP_004988103.1 uncharacterized protein PTSG_10568 [Salpingoeca rosetta]																														
N14.HOG0000018	OG0000003	n58	Monosiga_brevicollisXP_001742622.1 XP_001742622.1 uncharacterized protein MONBRDRAFT_35486 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004994258.1 XP_004994258.1 uncharacterized protein PTSG_04943 [Salpingoeca rosetta]																														
N14.HOG0000019	OG0000003	n106	Monosiga_brevicollisXP_001749778.1 XP_001749778.1 uncharacterized protein MONBRDRAFT_38878 [Monosiga brevicollis MX1]																															
N14.HOG0000020	OG0000003	n449	Monosiga_brevicollisXP_001747347.1 XP_001747347.1 uncharacterized protein MONBRDRAFT_26977 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004995286.1 XP_004995286.1 lung surfactant protein A [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992387.1 XP_004992387.1 salivary C-type lectin [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997986.1 XP_004997986.1 C-type lectin [Salpingoeca rosetta]																														
N14.HOG0000021	OG0000003	n715	Monosiga_brevicollisXP_001748611.1 XP_001748611.1 uncharacterized protein MONBRDRAFT_10838 [Monosiga brevicollis MX1]																															
N14.HOG0000022	OG0000003	n779	Monosiga_brevicollisXP_001748542.1 XP_001748542.1 uncharacterized protein MONBRDRAFT_10710 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004996162.1 XP_004996162.1 uncharacterized protein PTSG_11902 [Salpingoeca rosetta]																														
N14.HOG0000023	OG0000003	n877		Salpingoeca_rosetta_XP_004989738.1 XP_004989738.1 uncharacterized protein PTSG_08941 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004994146.1 XP_004994146.1 uncharacterized protein PTSG_04829 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992328.1 XP_004992328.1 uncharacterized protein PTSG_12510 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992343.1 XP_004992343.1 lectoxin-Phi2 [Salpingoeca rosetta]																														
N14.HOG0000024	OG0000003	n899	Monosiga_brevicollisXP_001748808.1 XP_001748808.1 uncharacterized protein MONBRDRAFT_33819 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001750767.1 XP_001750767.1 uncharacterized protein MONBRDRAFT_34706 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001748806.1 XP_001748806.1 uncharacterized protein MONBRDRAFT_33817 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001750659.1 XP_001750659.1 uncharacterized protein MONBRDRAFT_30149 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004996124.1 XP_004996124.1 uncharacterized protein PTSG_11898 [Salpingoeca rosetta]																														
N14.HOG0000025	OG0000004	n9		Salpingoeca_rosetta_XP_004993085.1 XP_004993085.1 uncharacterized protein PTSG_12412 [Salpingoeca rosetta]																														
N14.HOG0000026	OG0000004	n13	Monosiga_brevicollisXP_001745590.1 XP_001745590.1 uncharacterized protein MONBRDRAFT_8109 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004995902.1 XP_004995902.1 uncharacterized protein PTSG_11996 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990682.1 XP_004990682.1 uncharacterized protein PTSG_12722 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998822.1 XP_004998822.1 uncharacterized protein PTSG_11571 [Salpingoeca rosetta]																														
N14.HOG0000027	OG0000004	n17	Monosiga_brevicollisXP_001743737.1 XP_001743737.1 uncharacterized protein MONBRDRAFT_23588 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004998150.1 XP_004998150.1 uncharacterized protein PTSG_00683 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997256.1 XP_004997256.1 uncharacterized protein PTSG_01285 [Salpingoeca rosetta]																														
N14.HOG0000028	OG0000004	n19	Monosiga_brevicollisXP_001748906.1 XP_001748906.1 uncharacterized protein MONBRDRAFT_11132 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004998828.1 XP_004998828.1 uncharacterized protein PTSG_00277 [Salpingoeca rosetta]																														
N14.HOG0000029	OG0000004	n20	Monosiga_brevicollisXP_001746393.1 XP_001746393.1 uncharacterized protein MONBRDRAFT_26084 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004990645.1 XP_004990645.1 uncharacterized protein PTSG_08395 [Salpingoeca rosetta]																														
N14.HOG0000030	OG0000004	n22		Salpingoeca_rosetta_XP_004987841.1 XP_004987841.1 uncharacterized protein PTSG_11196 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004987814.1 XP_004987814.1 uncharacterized protein PTSG_11167 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988330.1 XP_004988330.1 uncharacterized protein PTSG_10281 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988317.1 XP_004988317.1 uncharacterized protein PTSG_10931 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989187.1 XP_004989187.1 uncharacterized protein PTSG_09829 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988472.1 XP_004988472.1 uncharacterized protein PTSG_10134 [Salpingoeca rosetta]																														
N14.HOG0000031	OG0000004	n257	Monosiga_brevicollisXP_001749465.1 XP_001749465.1 uncharacterized protein MONBRDRAFT_34112 [Monosiga brevicollis MX1]																															
N14.HOG0000032	OG0000004	n538	Monosiga_brevicollisXP_001747340.1 XP_001747340.1 uncharacterized protein MONBRDRAFT_33167 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001749037.1 XP_001749037.1 uncharacterized protein MONBRDRAFT_28599 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004997926.1 XP_004997926.1 uncharacterized protein PTSG_11807 [Salpingoeca rosetta]																														
N14.HOG0000033	OG0000004	n565	Monosiga_brevicollisXP_001749413.1 XP_001749413.1 uncharacterized protein MONBRDRAFT_38707 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004997973.1 XP_004997973.1 NOTCH2 protein [Salpingoeca rosetta]																														
N14.HOG0000034	OG0000004	n567	Monosiga_brevicollisXP_001749260.1 XP_001749260.1 uncharacterized protein MONBRDRAFT_11395 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004992043.1 XP_004992043.1 NOTCH2 protein [Salpingoeca rosetta]																														
N14.HOG0000035	OG0000004	n628	Monosiga_brevicollisXP_001747357.1 XP_001747357.1 uncharacterized protein MONBRDRAFT_9712 [Monosiga brevicollis MX1]																															
N14.HOG0000036	OG0000004	n631		Salpingoeca_rosetta_XP_004991251.1 XP_004991251.1 uncharacterized protein PTSG_08226 [Salpingoeca rosetta]																														
N14.HOG0000037	OG0000004	n654		Salpingoeca_rosetta_XP_004992428.1 XP_004992428.1 uncharacterized protein PTSG_07016 [Salpingoeca rosetta]																														
N14.HOG0000038	OG0000004	n661		Salpingoeca_rosetta_XP_004991838.1 XP_004991838.1 cadherin [Salpingoeca rosetta]																														
N14.HOG0000039	OG0000004	n780	Monosiga_brevicollisXP_001748133.1 XP_001748133.1 uncharacterized protein MONBRDRAFT_33537 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004997787.1 XP_004997787.1 uncharacterized protein PTSG_01807 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997795.1 XP_004997795.1 uncharacterized protein PTSG_01815 [Salpingoeca rosetta]																														
N14.HOG0000040	OG0000004	n832	Monosiga_brevicollisXP_001749516.1 XP_001749516.1 uncharacterized protein MONBRDRAFT_11672 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004992127.1 XP_004992127.1 notch-1 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997440.1 XP_004997440.1 NOTCH2 protein [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997478.1 XP_004997478.1 uncharacterized protein PTSG_01501 [Salpingoeca rosetta]																														
N14.HOG0000041	OG0000004	n837	Monosiga_brevicollisXP_001743003.1 XP_001743003.1 uncharacterized protein MONBRDRAFT_44221 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004995793.1 XP_004995793.1 NOTCH2 protein [Salpingoeca rosetta]																														
N14.HOG0000042	OG0000006	n247	Monosiga_brevicollisXP_001746890.1 XP_001746890.1 uncharacterized protein MONBRDRAFT_32951 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001751085.1 XP_001751085.1 uncharacterized protein MONBRDRAFT_30592_ partial [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001749417.1 XP_001749417.1 uncharacterized protein MONBRDRAFT_38713 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001748673.1 XP_001748673.1 uncharacterized protein MONBRDRAFT_38380 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001751053.1 XP_001751053.1 uncharacterized protein MONBRDRAFT_13099 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004993908.1 XP_004993908.1 uncharacterized protein PTSG_12295 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989788.1 XP_004989788.1 uncharacterized protein PTSG_08990 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988532.1 XP_004988532.1 uncharacterized protein PTSG_10194 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989786.1 XP_004989786.1 uncharacterized protein PTSG_08988 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989789.1 XP_004989789.1 uncharacterized protein PTSG_08991 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991706.1 XP_004991706.1 uncharacterized protein PTSG_07903 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004996522.1 XP_004996522.1 uncharacterized protein PTSG_11950 [Salpingoeca rosetta]																														
N14.HOG0000043	OG0000006	n443	Monosiga_brevicollisXP_001747362.1 XP_001747362.1 uncharacterized protein MONBRDRAFT_37813 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004988205.1 XP_004988205.1 uncharacterized protein PTSG_13105 [Salpingoeca rosetta]																														
N14.HOG0000044	OG0000006	n631	Monosiga_brevicollisXP_001750437.1 XP_001750437.1 uncharacterized protein MONBRDRAFT_39141 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004991729.1 XP_004991729.1 epidermal growth factor [Salpingoeca rosetta]																														
N14.HOG0000045	OG0000006	n645		Salpingoeca_rosetta_XP_004989074.1 XP_004989074.1 uncharacterized protein PTSG_09719 [Salpingoeca rosetta]																														
N14.HOG0000046	OG0000006	n663		Salpingoeca_rosetta_XP_004996042.1 XP_004996042.1 C-type MBL-2 protein [Salpingoeca rosetta]																														
N14.HOG0000047	OG0000006	n676		Salpingoeca_rosetta_XP_004992611.1 XP_004992611.1 uncharacterized protein PTSG_12546 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004987977.1 XP_004987977.1 NHL repeat-containing protein [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990947.1 XP_004990947.1 NHL repeat-containing protein [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004987838.1 XP_004987838.1 uncharacterized protein PTSG_13151 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989977.1 XP_004989977.1 NHL repeat protein [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990650.1 XP_004990650.1 NHL repeat-containing protein [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004996527.1 XP_004996527.1 NHL repeat protein [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997497.1 XP_004997497.1 uncharacterized protein PTSG_01519 [Salpingoeca rosetta]																														
N14.HOG0000048	OG0000007	n56		Salpingoeca_rosetta_XP_004998081.1 XP_004998081.1 chitin-binding protein [Salpingoeca rosetta]																														
N14.HOG0000049	OG0000007	n105		Salpingoeca_rosetta_XP_004995639.1 XP_004995639.1 uncharacterized protein PTSG_11959 [Salpingoeca rosetta]																														
N14.HOG0000050	OG0000007	n241	Monosiga_brevicollisXP_001747466.1 XP_001747466.1 uncharacterized protein MONBRDRAFT_27014 [Monosiga brevicollis MX1]																															
N14.HOG0000051	OG0000007	n631		Salpingoeca_rosetta_XP_004995383.1 XP_004995383.1 tamm-Horsfall protein [Salpingoeca rosetta]																														
N14.HOG0000052	OG0000007	n663	Monosiga_brevicollisXP_001750283.1 XP_001750283.1 uncharacterized protein MONBRDRAFT_34480 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001744192.1 XP_001744192.1 uncharacterized protein MONBRDRAFT_24014 [Monosiga brevicollis MX1]																															
N14.HOG0000053	OG0000008	n4		Salpingoeca_rosetta_XP_004989846.1 XP_004989846.1 uncharacterized protein PTSG_09047 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991861.1 XP_004991861.1 uncharacterized protein PTSG_06479 [Salpingoeca rosetta]																														
N14.HOG0000054	OG0000008	n510		Salpingoeca_rosetta_XP_004991574.1 XP_004991574.1 NOTCH2 protein [Salpingoeca rosetta]																														
N14.HOG0000055	OG0000008	n530	Monosiga_brevicollisXP_001746277.1 XP_001746277.1 uncharacterized protein MONBRDRAFT_32603 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004993051.1 XP_004993051.1 uncharacterized protein PTSG_06159 [Salpingoeca rosetta]																														
N14.HOG0000056	OG0000008	n544		Salpingoeca_rosetta_XP_004998107.1 XP_004998107.1 fibropellin III [Salpingoeca rosetta]																														
N14.HOG0000057	OG0000008	n579		Salpingoeca_rosetta_XP_004996065.1 XP_004996065.1 fibropellin Ia [Salpingoeca rosetta]																														
N14.HOG0000058	OG0000008	n633		Salpingoeca_rosetta_XP_004993484.1 XP_004993484.1 fibrillin 1 [Salpingoeca rosetta]																														
N14.HOG0000059	OG0000009	n143		Salpingoeca_rosetta_XP_004991603.1 XP_004991603.1 uncharacterized protein PTSG_07802 [Salpingoeca rosetta]																														
N14.HOG0000060	OG0000010	n306	Monosiga_brevicollisXP_001744965.1 XP_001744965.1 uncharacterized protein MONBRDRAFT_7558 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004994748.1 XP_004994748.1 uncharacterized protein PTSG_12198 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992125.1 XP_004992125.1 notch [Salpingoeca rosetta]																														
N14.HOG0000061	OG0000011	n84	Monosiga_brevicollisXP_001745714.1 XP_001745714.1 uncharacterized protein MONBRDRAFT_25277 [Monosiga brevicollis MX1]																															
N14.HOG0000062	OG0000011	n180		Salpingoeca_rosetta_XP_004993060.1 XP_004993060.1 uncharacterized protein PTSG_12405 [Salpingoeca rosetta]																														
N14.HOG0000063	OG0000011	n186	Monosiga_brevicollisXP_001748188.1 XP_001748188.1 uncharacterized protein MONBRDRAFT_27766 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004987813.1 XP_004987813.1 uncharacterized protein PTSG_13147 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004994749.1 XP_004994749.1 uncharacterized protein PTSG_12199 [Salpingoeca rosetta]																														
N14.HOG0000064	OG0000011	n439	Monosiga_brevicollisXP_001742257.1 XP_001742257.1 uncharacterized protein MONBRDRAFT_22219 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004994000.1 XP_004994000.1 uncharacterized protein PTSG_12315 [Salpingoeca rosetta]																														
N14.HOG0000065	OG0000012	n396	Monosiga_brevicollisXP_001748060.1 XP_001748060.1 uncharacterized protein MONBRDRAFT_27644 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004998470.1 XP_004998470.1 uncharacterized protein PTSG_11668 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998468.1 XP_004998468.1 uncharacterized protein PTSG_00996 [Salpingoeca rosetta]																														
N14.HOG0000066	OG0000012	n419		Salpingoeca_rosetta_XP_004997053.1 XP_004997053.1 uncharacterized protein PTSG_01084 [Salpingoeca rosetta]																														
N14.HOG0000067	OG0000018	n298		Salpingoeca_rosetta_XP_004993302.1 XP_004993302.1 uncharacterized protein PTSG_06413 [Salpingoeca rosetta]																														
N14.HOG0000068	OG0000020	n207	Monosiga_brevicollisXP_001744748.1 XP_001744748.1 uncharacterized protein MONBRDRAFT_31893 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001744747.1 XP_001744747.1 uncharacterized protein MONBRDRAFT_31892 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001747370.1 XP_001747370.1 uncharacterized protein MONBRDRAFT_26818 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001746863.1 XP_001746863.1 uncharacterized protein MONBRDRAFT_9251 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004997835.1 XP_004997835.1 uncharacterized protein PTSG_11789 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004999076.1 XP_004999076.1 uncharacterized protein PTSG_11601 [Salpingoeca rosetta]																														
N14.HOG0000069	OG0000022	n94	Monosiga_brevicollisXP_001750546.1 XP_001750546.1 uncharacterized protein MONBRDRAFT_12654 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004991121.1 XP_004991121.1 annexin 6 [Salpingoeca rosetta]																														
N14.HOG0000070	OG0000022	n133	Monosiga_brevicollisXP_001747606.1 XP_001747606.1 uncharacterized protein MONBRDRAFT_33246 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004988766.1 XP_004988766.1 annexin A7 [Salpingoeca rosetta]																														
N14.HOG0000071	OG0000022	n169	Monosiga_brevicollisXP_001746953.1 XP_001746953.1 uncharacterized protein MONBRDRAFT_26446 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004990725.1 XP_004990725.1 annexin A7 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004998202.1 XP_004998202.1 uncharacterized protein PTSG_11636 [Salpingoeca rosetta]																														
N14.HOG0000072	OG0000022	n215	Monosiga_brevicollisXP_001742719.1 XP_001742719.1 uncharacterized protein MONBRDRAFT_13571 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004993260.1 XP_004993260.1 uncharacterized protein PTSG_12438 [Salpingoeca rosetta]																														
N14.HOG0000073	OG0000022	n216	Monosiga_brevicollisXP_001750641.1 XP_001750641.1 uncharacterized protein MONBRDRAFT_39240 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001745791.1 XP_001745791.1 uncharacterized protein MONBRDRAFT_37066 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004993498.1 XP_004993498.1 uncharacterized protein PTSG_12342 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993501.1 XP_004993501.1 annexin A7 [Salpingoeca rosetta]																														
N14.HOG0000074	OG0000030	n3	Monosiga_brevicollisXP_001743217.1 XP_001743217.1 uncharacterized protein MONBRDRAFT_31368 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004997487.1 XP_004997487.1 uncharacterized protein PTSG_01510 [Salpingoeca rosetta]																														
N14.HOG0000075	OG0000030	n7	Monosiga_brevicollisXP_001742741.1 XP_001742741.1 uncharacterized protein MONBRDRAFT_22277 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004993196.1 XP_004993196.1 ADAM-17 protein [Salpingoeca rosetta]																														
N14.HOG0000076	OG0000030	n8	Monosiga_brevicollisXP_001742663.1 XP_001742663.1 uncharacterized protein MONBRDRAFT_22131 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004992519.1 XP_004992519.1 uncharacterized protein PTSG_07102 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990777.1 XP_004990777.1 uncharacterized protein PTSG_07278 [Salpingoeca rosetta]																														
N14.HOG0000077	OG0000030	n63	Monosiga_brevicollisXP_001745043.1 XP_001745043.1 uncharacterized protein MONBRDRAFT_24567 [Monosiga brevicollis MX1]																															
N14.HOG0000078	OG0000030	n67	Monosiga_brevicollisXP_001744603.1 XP_001744603.1 uncharacterized protein MONBRDRAFT_36614 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004994795.1 XP_004994795.1 uncharacterized protein PTSG_03901 [Salpingoeca rosetta]																														
N14.HOG0000079	OG0000030	n69	Monosiga_brevicollisXP_001750336.1 XP_001750336.1 uncharacterized protein MONBRDRAFT_29860 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004988368.1 XP_004988368.1 uncharacterized protein PTSG_10317 [Salpingoeca rosetta]																														
N14.HOG0000080	OG0000031	n159	Monosiga_brevicollisXP_001749150.1 XP_001749150.1 uncharacterized protein MONBRDRAFT_11339 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004991631.1 XP_004991631.1 uncharacterized protein PTSG_07827 [Salpingoeca rosetta]																														
N14.HOG0000081	OG0000031	n160	Monosiga_brevicollisXP_001748586.1 XP_001748586.1 uncharacterized protein MONBRDRAFT_38365 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001743178.1 XP_001743178.1 uncharacterized protein MONBRDRAFT_6005 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004994479.1 XP_004994479.1 uncharacterized protein PTSG_04390 [Salpingoeca rosetta]																														
N14.HOG0000082	OG0000034	n49	Monosiga_brevicollisXP_001750392.1 XP_001750392.1 uncharacterized protein MONBRDRAFT_34543 [Monosiga brevicollis MX1]	Salpingoeca_rosetta_XP_004995889.1 XP_004995889.1 uncharacterized protein PTSG_03311 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997579.1 XP_004997579.1 tamm-Horsfall protein [Salpingoeca rosetta]																														
