Orthogroup	Chordata_Amphioxiformes_Branchiostoma_belcheri	Other
OG0000009	Branchiostoma_belcheri_tr_A0A6P4Z7T2_A0A6P4Z7T2_BRABE tr|A0A6P4Z7T2|A0A6P4Z7T2_BRABE Uncharacterized protein LOC109476259 OS=Branchiostoma belcheri OX=7741 GN=LOC109476259 PE=4 SV=1	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]
OG0000012	Branchiostoma_belcheri_tr_A0A6P5A8U6_A0A6P5A8U6_BRABE tr|A0A6P5A8U6|A0A6P5A8U6_BRABE Tenascin-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486622 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YY24_A0A6P4YY24_BRABE tr|A0A6P4YY24|A0A6P4YY24_BRABE LOW QUALITY PROTEIN_ uncharacterized protein LOC109469615 OS=Branchiostoma belcheri OX=7741 GN=LOC109469615 PE=4 SV=1	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]
OG0000012	Branchiostoma_belcheri_tr_A0A6P5A8U6_A0A6P5A8U6_BRABE tr|A0A6P5A8U6|A0A6P5A8U6_BRABE Tenascin-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486622 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YY24_A0A6P4YY24_BRABE tr|A0A6P4YY24|A0A6P4YY24_BRABE LOW QUALITY PROTEIN_ uncharacterized protein LOC109469615 OS=Branchiostoma belcheri OX=7741 GN=LOC109469615 PE=4 SV=1	Salpingoeca_rosetta_XP_004988452.1 XP_004988452.1 teneurin-2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997052.1 XP_004997052.1 tenascin C_ partial [Salpingoeca rosetta]
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Schmidtea_mediterranea_maker-scaffold5879-augustus-gene-0.28-mRNA-1 maker-scaffold5879-augustus-gene-0.28-mRNA-1 protein AED_0.28 eAED_0.28 QI_330|0.33|0.5|0.9|0.22|0.5|10|395|587, Schmidtea_mediterranea_maker-scaffold19113-snap-gene-0.19-mRNA-1 maker-scaffold19113-snap-gene-0.19-mRNA-1 protein AED_0.15 eAED_0.15 QI_40|0.71|0.75|0.87|0.57|0.75|8|183|628
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Mus_musculus_sp_P01132_EGF_MOUSE sp_P01132_EGF_MOUSE Pro-epidermal growth factor OS=Mus musculus OX=10090 GN=Egf PE=1 SV=2
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Homo_sapiens_sp_P01133_EGF_HUMAN sp|P01133|EGF_HUMAN Pro-epidermal growth factor OS=Homo sapiens OX=9606 GN=EGF PE=1 SV=2
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Stylophora_pistillata_Spis24714 Spis24714 SpisGene24714
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Danio_rerio_tr_Q6VQA2_Q6VQA2_DANRE tr|Q6VQA2|Q6VQA2_DANRE Pro-epidermal growth factor OS=Danio rerio OX=7955 GN=egf PE=2 SV=1
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Coturnix_japonica_XP_015717481.1 pro-epidermal growth factor isoform X2 [Coturnix japonica]
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Porites_asteroides_isotig00263 isotig00263 extracted_CDS GOMatch=A7RXU8 GOTerms=GO_0005509_GO_0016020_GO_0016021 Gene=Vitellogenin_receptor__putative__Fragment__ Match_Acc=B7QBX8 gene=isogroup00059 length=1548 numContigs=4
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Pleurobrachia_bachei_sb_2656801_ sb_2656801_
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Beroe_ovata_Bova1_4.0072.g25.t1 Bova1_4.0072.g25.t1
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Mnemiopsis_leidyi_ML082718a ML082718a
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_597.2.g14347.t1 Sc4wPfr_597.2.g14347.t1
OG0000021	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1	Amphimedon_queenslandica_tr_A0A1X7TB95_A0A1X7TB95_AMPQE tr_A0A1X7TB95_A0A1X7TB95_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000039	Branchiostoma_belcheri_tr_A0A6P4YLZ8_A0A6P4YLZ8_BRABE tr|A0A6P4YLZ8|A0A6P4YLZ8_BRABE Uncharacterized protein LOC109465392 OS=Branchiostoma belcheri OX=7741 GN=LOC109465392 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XWB9_A0A6P4XWB9_BRABE tr|A0A6P4XWB9|A0A6P4XWB9_BRABE Uncharacterized protein LOC109462711 OS=Branchiostoma belcheri OX=7741 GN=LOC109462711 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z8W7_A0A6P4Z8W7_BRABE tr|A0A6P4Z8W7|A0A6P4Z8W7_BRABE Uncharacterized protein LOC109476570 OS=Branchiostoma belcheri OX=7741 GN=LOC109476570 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZQ76_A0A6P4ZQ76_BRABE tr|A0A6P4ZQ76|A0A6P4ZQ76_BRABE Uncharacterized protein LOC109476568 OS=Branchiostoma belcheri OX=7741 GN=LOC109476568 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YIH1_A0A6P4YIH1_BRABE tr|A0A6P4YIH1|A0A6P4YIH1_BRABE Uncharacterized protein LOC109464304 OS=Branchiostoma belcheri OX=7741 GN=LOC109464304 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YKW6_A0A6P4YKW6_BRABE tr|A0A6P4YKW6|A0A6P4YKW6_BRABE Uncharacterized protein LOC109465072 OS=Branchiostoma belcheri OX=7741 GN=LOC109465072 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YG64_A0A6P4YG64_BRABE tr|A0A6P4YG64|A0A6P4YG64_BRABE Uncharacterized protein LOC109469374 OS=Branchiostoma belcheri OX=7741 GN=LOC109469374 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AI76_A0A6P5AI76_BRABE tr|A0A6P5AI76|A0A6P5AI76_BRABE Uncharacterized protein LOC109484117 OS=Branchiostoma belcheri OX=7741 GN=LOC109484117 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AFZ5_A0A6P5AFZ5_BRABE tr|A0A6P5AFZ5|A0A6P5AFZ5_BRABE Uncharacterized protein LOC109483572 OS=Branchiostoma belcheri OX=7741 GN=LOC109483572 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZLW1_A0A6P4ZLW1_BRABE tr|A0A6P4ZLW1|A0A6P4ZLW1_BRABE Uncharacterized protein LOC109483586 OS=Branchiostoma belcheri OX=7741 GN=LOC109483586 PE=4 SV=1	Porites_asteroides_isotig07011 isotig07011 extracted_CDS GOMatch=A7SGB4 GOTerms=GO_0005509 Gene=TSP1_domain-containing_protein_TSP10_ Match_Acc=Q86PQ9 gene=isogroup05279 length=852 numContigs=1
OG0000040	Branchiostoma_belcheri_tr_A0A6P5AWE2_A0A6P5AWE2_BRABE tr|A0A6P5AWE2|A0A6P5AWE2_BRABE Kazal-type serine protease inhibitor domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486825 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XY87_A0A6P4XY87_BRABE tr|A0A6P4XY87|A0A6P4XY87_BRABE Uncharacterized protein LOC109463154 OS=Branchiostoma belcheri OX=7741 GN=LOC109463154 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AWF2_A0A6P5AWF2_BRABE tr|A0A6P5AWF2|A0A6P5AWF2_BRABE Insulin-like growth factor-binding protein 7 OS=Branchiostoma belcheri OX=7741 GN=LOC109486832 PE=4 SV=1	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true
OG0000053	Branchiostoma_belcheri_tr_A0A6P5A9T6_A0A6P5A9T6_BRABE tr|A0A6P5A9T6|A0A6P5A9T6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109486911 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AJJ4_A0A6P5AJJ4_BRABE tr|A0A6P5AJJ4|A0A6P5AJJ4_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109486951 PE=4 SV=1	Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422
OG0000053	Branchiostoma_belcheri_tr_A0A6P5AAF6_A0A6P5AAF6_BRABE tr|A0A6P5AAF6|A0A6P5AAF6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109484369 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YJC2_A0A6P4YJC2_BRABE tr|A0A6P4YJC2|A0A6P4YJC2_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109473846 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZYF4_A0A6P4ZYF4_BRABE tr|A0A6P4ZYF4|A0A6P4ZYF4_BRABE LOW QUALITY PROTEIN_ uncharacterized protein LOC109486739 OS=Branchiostoma belcheri OX=7741 GN=LOC109486739 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YQC6_A0A6P4YQC6_BRABE tr|A0A6P4YQC6|A0A6P4YQC6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109466190 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YI19_A0A6P4YI19_BRABE tr|A0A6P4YI19|A0A6P4YI19_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109467889 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2W7_A0A6P5A2W7_BRABE tr|A0A6P5A2W7|A0A6P5A2W7_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109484764 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YLR3_A0A6P4YLR3_BRABE tr|A0A6P4YLR3|A0A6P4YLR3_BRABE non-specific serine/threonine protein kinase OS=Branchiostoma belcheri OX=7741 GN=LOC109466375 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZH59_A0A6P4ZH59_BRABE tr|A0A6P4ZH59|A0A6P4ZH59_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109482290 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZR76_A0A6P4ZR76_BRABE tr|A0A6P4ZR76|A0A6P4ZR76_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109484783 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZE96_A0A6P4ZE96_BRABE tr|A0A6P4ZE96|A0A6P4ZE96_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472615 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y619_A0A6P4Y619_BRABE tr|A0A6P4Y619|A0A6P4Y619_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109462096 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z6C9_A0A6P4Z6C9_BRABE tr|A0A6P4Z6C9|A0A6P4Z6C9_BRABE Uncharacterized protein LOC109471708 OS=Branchiostoma belcheri OX=7741 GN=LOC109471708 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YY18_A0A6P4YY18_BRABE tr|A0A6P4YY18|A0A6P4YY18_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109471705 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4XU04_A0A6P4XU04_BRABE tr|A0A6P4XU04|A0A6P4XU04_BRABE ubiquitinyl hydrolase 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109462064 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YBB6_A0A6P4YBB6_BRABE tr|A0A6P4YBB6|A0A6P4YBB6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109462055 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YFG9_A0A6P4YFG9_BRABE tr|A0A6P4YFG9|A0A6P4YFG9_BRABE Uncharacterized protein LOC109472615 isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109472615 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y5Y3_A0A6P4Y5Y3_BRABE tr|A0A6P4Y5Y3|A0A6P4Y5Y3_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109462056 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YCW7_A0A6P4YCW7_BRABE tr|A0A6P4YCW7|A0A6P4YCW7_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109464104 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ADR3_A0A6P5ADR3_BRABE tr|A0A6P5ADR3|A0A6P5ADR3_BRABE Malignant fibrous histiocytoma-amplified sequence 1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109481758 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZFA9_A0A6P4ZFA9_BRABE tr|A0A6P4ZFA9|A0A6P4ZFA9_BRABE Malignant fibrous histiocytoma-amplified sequence 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109481758 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YLB1_A0A6P4YLB1_BRABE tr|A0A6P4YLB1|A0A6P4YLB1_BRABE Uncharacterized protein LOC109474394 OS=Branchiostoma belcheri OX=7741 GN=LOC109474394 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XPW3_A0A6P4XPW3_BRABE tr|A0A6P4XPW3|A0A6P4XPW3_BRABE Uncharacterized protein LOC109462063 OS=Branchiostoma belcheri OX=7741 GN=LOC109462063 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YBF4_A0A6P4YBF4_BRABE tr|A0A6P4YBF4|A0A6P4YBF4_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109462095 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z367_A0A6P4Z367_BRABE tr|A0A6P4Z367|A0A6P4Z367_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109470872 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y681_A0A6P4Y681_BRABE tr|A0A6P4Y681|A0A6P4Y681_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109466664 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XBP7_A0A6P4XBP7_BRABE tr|A0A6P4XBP7|A0A6P4XBP7_BRABE LOW QUALITY PROTEIN_ malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109461853 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XTM6_A0A6P4XTM6_BRABE tr|A0A6P4XTM6|A0A6P4XTM6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109461965 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AIJ6_A0A6P5AIJ6_BRABE tr|A0A6P5AIJ6|A0A6P5AIJ6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109483213 PE=4 SV=1	Exaiptasia_diaphana_XP_020896793.2 XP_020896793.2 malignant fibrous histiocytoma-amplified sequence 1 [Exaiptasia diaphana]
OG0000064	Branchiostoma_belcheri_tr_A0A6P4YRK5_A0A6P4YRK5_BRABE tr|A0A6P4YRK5|A0A6P4YRK5_BRABE Fibrillin-2-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109467720 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YHD2_A0A6P4YHD2_BRABE tr|A0A6P4YHD2|A0A6P4YHD2_BRABE Fibrillin-2-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109467720 PE=3 SV=1	Porites_asteroides_isotig12005 isotig12005 extracted_CDS GOMatch=D2H7E0 GOTerms=GO_0005201_GO_0005488_GO_0005509_GO_0005578 Gene=Fibrillin-2_ Match_Acc=P35556 gene=isogroup10273 length=577 numContigs=1
OG0000064	Branchiostoma_belcheri_tr_A0A6P4YRK5_A0A6P4YRK5_BRABE tr|A0A6P4YRK5|A0A6P4YRK5_BRABE Fibrillin-2-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109467720 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YHD2_A0A6P4YHD2_BRABE tr|A0A6P4YHD2|A0A6P4YHD2_BRABE Fibrillin-2-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109467720 PE=3 SV=1	Nematostella_vectensis_NV2t022932001.1 NV2t022932001.1
OG0000081	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1
OG0000081	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1	Porites_asteroides_GCKDGN101BNNFL GCKDGN101BNNFL extracted_CDS GOMatch=A8XVJ4 GOTerms=GO_0004867_GO_0005509 Gene=MEC-9L_ Match_Acc=Q27422 length=456 region=1 run=R_2010_02_19_08_49_25_ xy=0562_1231
OG0000081	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1
OG0000081	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1	Caenorhabditis_elegans_F56H11.1e F56H11.1e
OG0000081	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein
OG0000081	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1	Mnemiopsis_leidyi_ML056914a ML056914a
OG0000081	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1	Stylophora_pistillata_Spis9086 Spis9086 SpisGene9086
OG0000081	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1	Nematostella_vectensis_NV2t010636001.1 NV2t010636001.1, Nematostella_vectensis_NV2t010636002.1 NV2t010636002.1
OG0000088	Branchiostoma_belcheri_tr_A0A6P5AJ26_A0A6P5AJ26_BRABE tr|A0A6P5AJ26|A0A6P5AJ26_BRABE Spondin-1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109486813 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZYP0_A0A6P4ZYP0_BRABE tr|A0A6P4ZYP0|A0A6P4ZYP0_BRABE Spondin-1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109486813 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZII0_A0A6P4ZII0_BRABE tr|A0A6P4ZII0|A0A6P4ZII0_BRABE Uncharacterized protein LOC109477214 isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109477214 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YWW2_A0A6P4YWW2_BRABE tr|A0A6P4YWW2|A0A6P4YWW2_BRABE Uncharacterized protein LOC109477214 isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109477214 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZPY5_A0A6P4ZPY5_BRABE tr|A0A6P4ZPY5|A0A6P4ZPY5_BRABE Spondin-1 OS=Branchiostoma belcheri OX=7741 GN=LOC109476505 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZTW0_A0A6P4ZTW0_BRABE tr|A0A6P4ZTW0|A0A6P4ZTW0_BRABE Spondin-1 OS=Branchiostoma belcheri OX=7741 GN=LOC109476505 PE=4 SV=1	Exaiptasia_diaphana_XP_028518403.1 XP_028518403.1 mucin-like protein_ partial [Exaiptasia diaphana]
