Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Other
OG0000005	Stylophora_pistillata_Spis13923 Spis13923 SpisGene13923	Calvadosia_cruxmelitensis_Ccrux.Trinity.51739 Ccrux.Trinity.51739, Calvadosia_cruxmelitensis_Ccrux.Trinity.25433 Ccrux.Trinity.25433
OG0000010	Stylophora_pistillata_Spis19541 Spis19541 SpisGene19541	sp|P31836.1|NCAM1_BOVIN RecName_ Full=Neural cell adhesion molecule 1; Short=N-CAM-1; Short=NCAM-1; Flags_ Precursor
OG0000012	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]
OG0000012	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283	Salpingoeca_rosetta_XP_004988452.1 XP_004988452.1 teneurin-2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997052.1 XP_004997052.1 tenascin C_ partial [Salpingoeca rosetta]
OG0000021	Stylophora_pistillata_Spis24714 Spis24714 SpisGene24714	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1
OG0000021	Stylophora_pistillata_Spis24714 Spis24714 SpisGene24714	Branchiostoma_lanceolatum_tr_A0A8S4MN64_A0A8S4MN64_BRALA tr|A0A8S4MN64|A0A8S4MN64_BRALA Hypp9532 protein OS=Branchiostoma lanceolatum OX=7740 GN=Hypp9532 PE=4 SV=1
OG0000040	Stylophora_pistillata_Spis3141 Spis3141 SpisGene3141, Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true
OG0000040	Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214	Ephydatia_muelleri_Em0019g1178a Em0019g1178a, Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000040	Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000053	Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422	Branchiostoma_floridae_tr_A0A9J7HQ36_A0A9J7HQ36_BRAFL tr|A0A9J7HQ36|A0A9J7HQ36_BRAFL Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma floridae OX=7739 GN=LOC118407449 PE=4 SV=1
OG0000053	Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422	Branchiostoma_belcheri_tr_A0A6P5A9T6_A0A6P5A9T6_BRABE tr|A0A6P5A9T6|A0A6P5A9T6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109486911 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AJJ4_A0A6P5AJJ4_BRABE tr|A0A6P5AJJ4|A0A6P5AJJ4_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109486951 PE=4 SV=1
OG0000053	Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422	Branchiostoma_lanceolatum_tr_A0A8K0EK52_A0A8K0EK52_BRALA tr|A0A8K0EK52|A0A8K0EK52_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1
OG0000053	Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422	Pleurobrachia_bachei_sb_2654162_ sb_2654162_
OG0000053	Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422	Beroe_ovata_Bova1_4.0359.g4.t1 Bova1_4.0359.g4.t1
OG0000053	Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422	Mnemiopsis_leidyi_ML11053a ML11053a
OG0000053	Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422	Schmidtea_mediterranea_augustus_masked-scaffold16533-processed-gene-0.1-mRNA-1 augustus_masked-scaffold16533-processed-gene-0.1-mRNA-1 protein AED_0.08 eAED_0.08 QI_0|-1|0|1|-1|1|1|0|877
OG0000054	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386
OG0000054	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474	Ephydatia_muelleri_Em0001g3101a Em0001g3101a
OG0000054	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474	Amphimedon_queenslandica_tr_A0A1X7TU95_A0A1X7TU95_AMPQE tr_A0A1X7TU95_A0A1X7TU95_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STD8_A0A1X7STD8_AMPQE tr_A0A1X7STD8_A0A1X7STD8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000054	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474	XP_024837424.1 pro-interleukin-16 isoform X1 [Bos taurus]
OG0000054	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]
OG0000054	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474	Mus_musculus_sp_O54824_IL16_MOUSE sp_O54824_IL16_MOUSE Pro-interleukin-16 OS=Mus musculus OX=10090 GN=Il16 PE=1 SV=3
OG0000054	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474	Homo_sapiens_sp_Q14005_IL16_HUMAN sp|Q14005|IL16_HUMAN Pro-interleukin-16 OS=Homo sapiens OX=9606 GN=IL16 PE=1 SV=4
OG0000054	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474	Acropora_digitifera_adi_v1.21440 adi_v1.21440
OG0000054	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474	Acropora_digitifera_adi_v1.21440 adi_v1.21440
OG0000067	Stylophora_pistillata_Spis4032 Spis4032 SpisGene4032	Calvadosia_cruxmelitensis_Ccrux.Trinity.48980 Ccrux.Trinity.48980, Calvadosia_cruxmelitensis_Ccrux.Trinity.48978 Ccrux.Trinity.48978, Calvadosia_cruxmelitensis_Ccrux.Trinity.48976 Ccrux.Trinity.48976, Calvadosia_cruxmelitensis_Ccrux.Trinity.21098 Ccrux.Trinity.21098, Calvadosia_cruxmelitensis_Ccrux.Trinity.21101 Ccrux.Trinity.21101, Calvadosia_cruxmelitensis_Ccrux.Trinity.69529 Ccrux.Trinity.69529
OG0000067	Stylophora_pistillata_Spis4032 Spis4032 SpisGene4032	Exaiptasia_diaphana_XP_028517091.1 XP_028517091.1 A disintegrin and metalloproteinase with thrombospondin motifs 10-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517406.1 XP_028517406.1 disintegrin and metalloproteinase domain-containing protein 8_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514905.1 XP_028514905.1 zinc metalloproteinase-disintegrin-like atragin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514988.1 XP_028514988.1 zinc metalloproteinase-disintegrin-like atragin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516341.1 XP_028516341.1 zinc metalloproteinase-disintegrin-like VMP-III [Exaiptasia diaphana]
OG0000067	Stylophora_pistillata_Spis4032 Spis4032 SpisGene4032	Hydra_vulgaris_Sc4wPfr_33.g25265.t1 Sc4wPfr_33.g25265.t1, Hydra_vulgaris_Sc4wPfr_328.2.g12067.t1 Sc4wPfr_328.2.g12067.t1, Hydra_vulgaris_Sc4wPfr_328.2.g12098.t1 Sc4wPfr_328.2.g12098.t1, Hydra_vulgaris_Sc4wPfr_536.g2744.t1 Sc4wPfr_536.g2744.t1
OG0000067	Stylophora_pistillata_Spis4032 Spis4032 SpisGene4032	Branchiostoma_floridae_tr_A0A9J7HL36_A0A9J7HL36_BRAFL tr|A0A9J7HL36|A0A9J7HL36_BRAFL Uncharacterized protein LOC118405041 OS=Branchiostoma floridae OX=7739 GN=LOC118405041 PE=4 SV=1
OG0000067	Stylophora_pistillata_Spis4032 Spis4032 SpisGene4032	Aurelia_aurita_Seg7350.1 Seg7350.1 transcript_id=Seg7350.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg7350.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg327.1 Seg327.1 transcript_id=Seg327.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg327.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1656.2 Seg1656.2 transcript_id=Seg1656.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1656.2_GoldUCD_D3Y31 partial=true
OG0000067	Stylophora_pistillata_Spis4032 Spis4032 SpisGene4032	Branchiostoma_lanceolatum_tr_A0A8K0F3S2_A0A8K0F3S2_BRALA tr|A0A8K0F3S2|A0A8K0F3S2_BRALA Hypp5397 protein OS=Branchiostoma lanceolatum OX=7740 GN=Hypp5397 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z729_A0A8J9Z729_BRALA tr|A0A8J9Z729|A0A8J9Z729_BRALA MDGA1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MDGA1 PE=3 SV=1
OG0000070	Stylophora_pistillata_Spis6123 Spis6123 SpisGene6123	Branchiostoma_floridae_tr_A0A9J7HJT8_A0A9J7HJT8_BRAFL tr|A0A9J7HJT8|A0A9J7HJT8_BRAFL Myosin light chain kinase_ smooth muscle-like OS=Branchiostoma floridae OX=7739 GN=LOC118405515 PE=4 SV=1
OG0000081	Stylophora_pistillata_Spis10729 Spis10729 SpisGene10729, Stylophora_pistillata_Spis9086 Spis9086 SpisGene9086, Stylophora_pistillata_Spis18739 Spis18739 SpisGene18739	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1
OG0000081	Stylophora_pistillata_Spis9086 Spis9086 SpisGene9086	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1
OG0000082	Stylophora_pistillata_Spis14850 Spis14850 SpisGene14850, Stylophora_pistillata_Spis10840 Spis10840 SpisGene10840, Stylophora_pistillata_Spis3953 Spis3953 SpisGene3953	Branchiostoma_lanceolatum_tr_A0A8J9ZEH4_A0A8J9ZEH4_BRALA tr|A0A8J9ZEH4|A0A8J9ZEH4_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1
OG0000111	Stylophora_pistillata_Spis10022 Spis10022 SpisGene10022	Hydra_vulgaris_Sc4wPfr_176.g26297.t1 Sc4wPfr_176.g26297.t1
OG0000165	Stylophora_pistillata_Spis19394 Spis19394 SpisGene19394	Salpingoeca_rosetta_XP_004988881.1 XP_004988881.1 leucine rich repeat containing protein 58 [Salpingoeca rosetta]
OG0000165	Stylophora_pistillata_Spis19394 Spis19394 SpisGene19394	Monosiga_brevicollisXP_001746780.1 XP_001746780.1 uncharacterized protein MONBRDRAFT_32857 [Monosiga brevicollis MX1]
OG0000165	Stylophora_pistillata_Spis19394 Spis19394 SpisGene19394	Calvadosia_cruxmelitensis_Ccrux.Trinity.5581 Ccrux.Trinity.5581, Calvadosia_cruxmelitensis_Ccrux.Trinity.5580 Ccrux.Trinity.5580
OG0000165	Stylophora_pistillata_Spis19394 Spis19394 SpisGene19394	Acropora_digitifera_adi_v1.19692 adi_v1.19692
OG0000165	Stylophora_pistillata_Spis19394 Spis19394 SpisGene19394	Mnemiopsis_leidyi_ML40868a ML40868a
OG0000166	Stylophora_pistillata_Spis1126 Spis1126 SpisGene1126	Branchiostoma_floridae_tr_A0A9J7LCX7_A0A9J7LCX7_BRAFL tr|A0A9J7LCX7|A0A9J7LCX7_BRAFL Dorsal-ventral patterning protein tolloid-like OS=Branchiostoma floridae OX=7739 GN=LOC118418137 PE=4 SV=1
