Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Other
OG0000005	Exaiptasia_diaphana_XP_028518669.1 XP_028518669.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.51739 Ccrux.Trinity.51739, Calvadosia_cruxmelitensis_Ccrux.Trinity.25433 Ccrux.Trinity.25433
OG0000009	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]	Salpingoeca_rosetta_XP_004991603.1 XP_004991603.1 uncharacterized protein PTSG_07802 [Salpingoeca rosetta]
OG0000009	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]	Calvadosia_cruxmelitensis_Ccrux.Trinity.67770 Ccrux.Trinity.67770
OG0000009	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]	Hydra_vulgaris_Sc4wPfr_325.1.g5321.t1 Sc4wPfr_325.1.g5321.t1
OG0000009	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7HI82_A0A9J7HI82_BRAFL tr|A0A9J7HI82|A0A9J7HI82_BRAFL GPI-anchored protein pfl2 OS=Branchiostoma floridae OX=7739 GN=LOC118404856 PE=4 SV=1
OG0000009	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]	Branchiostoma_belcheri_tr_A0A6P4Z7T2_A0A6P4Z7T2_BRABE tr|A0A6P4Z7T2|A0A6P4Z7T2_BRABE Uncharacterized protein LOC109476259 OS=Branchiostoma belcheri OX=7741 GN=LOC109476259 PE=4 SV=1
OG0000009	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]	Branchiostoma_lanceolatum_tr_A0A8K0EGF9_A0A8K0EGF9_BRALA tr|A0A8K0EGF9|A0A8K0EGF9_BRALA NRP2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NRP2 PE=4 SV=1
OG0000009	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]	Schmidtea_mediterranea_maker-scaffold17880-augustus-gene-0.37-mRNA-1 maker-scaffold17880-augustus-gene-0.37-mRNA-1 protein AED_0.01 eAED_0.01 QI_15|1|0.8|1|0|0.4|5|0|231
OG0000009	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]	Porites_asteroides_GCKDGN103GC75M GCKDGN103GC75M extracted_CDS length=337 region=3 run=R_2010_02_19_08_49_25_ xy=2493_3576
OG0000009	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]	Xenia_spec_Xe_012293_T1 Xe_012293_T1 Xe_012293
OG0000009	Exaiptasia_diaphana_XP_020914407.2 XP_020914407.2 dorsal-ventral patterning protein tolloid-like [Exaiptasia diaphana]	Branchiostoma_lanceolatum_tr_A0A8K0ABF7_A0A8K0ABF7_BRALA tr|A0A8K0ABF7|A0A8K0ABF7_BRALA BMP1 protein OS=Branchiostoma lanceolatum OX=7740 GN=BMP1 PE=4 SV=1
OG0000009	Exaiptasia_diaphana_XP_020914407.2 XP_020914407.2 dorsal-ventral patterning protein tolloid-like [Exaiptasia diaphana]	Xenia_spec_Xe_017784_T1 Xe_017784_T1 Xe_017784
OG0000012	Exaiptasia_diaphana_XP_020901426.1 XP_020901426.1 uncharacterized protein LOC110239999 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907660.2 XP_020907660.2 uncharacterized protein LOC110245709 [Exaiptasia diaphana]	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]
OG0000012	Exaiptasia_diaphana_XP_020901426.1 XP_020901426.1 uncharacterized protein LOC110239999 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907660.2 XP_020907660.2 uncharacterized protein LOC110245709 [Exaiptasia diaphana]	Salpingoeca_rosetta_XP_004988452.1 XP_004988452.1 teneurin-2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997052.1 XP_004997052.1 tenascin C_ partial [Salpingoeca rosetta]
OG0000040	Exaiptasia_diaphana_XP_020903908.1 XP_020903908.1 uncharacterized protein LOC110242294 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903909.1 XP_020903909.1 uncharacterized protein LOC110242294 isoform X2 [Exaiptasia diaphana]	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true
OG0000040	Exaiptasia_diaphana_XP_020903908.1 XP_020903908.1 uncharacterized protein LOC110242294 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903909.1 XP_020903909.1 uncharacterized protein LOC110242294 isoform X2 [Exaiptasia diaphana]	Ephydatia_muelleri_Em0019g1178a Em0019g1178a, Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000040	Exaiptasia_diaphana_XP_020903908.1 XP_020903908.1 uncharacterized protein LOC110242294 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903909.1 XP_020903909.1 uncharacterized protein LOC110242294 isoform X2 [Exaiptasia diaphana]	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
