Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Other
OG0000005	Acropora_digitifera_adi_v1.18953 adi_v1.18953, Acropora_digitifera_adi_v1.15782 adi_v1.15782	Pleurobrachia_bachei_sb_2642012_ sb_2642012_
OG0000008	Acropora_digitifera_adi_v1.17151 adi_v1.17151, Acropora_digitifera_adi_v1.02699 adi_v1.02699	Porites_asteroides_isotig02918 isotig02918 extracted_CDS GOMatch=Q25059 GOTerms=GO_0005509 Gene=Fibropellin_III__Fragment__ Match_Acc=Q25059 gene=isogroup01292 length=449 numContigs=3, Porites_asteroides_isotig02919 isotig02919 extracted_CDS GOMatch=C3ZKA1 GOTerms=GO_0005488_GO_0005509 Gene=Fibropellin_III__Fragment__ Match_Acc=Q25059 gene=isogroup01292 length=334 numContigs=2
OG0000008	Acropora_digitifera_adi_v1.17151 adi_v1.17151, Acropora_digitifera_adi_v1.02699 adi_v1.02699	Branchiostoma_floridae_tr_A0A9J7N4Z4_A0A9J7N4Z4_BRAFL tr|A0A9J7N4Z4|A0A9J7N4Z4_BRAFL Uncharacterized protein LOC118424994 OS=Branchiostoma floridae OX=7739 GN=LOC118424994 PE=4 SV=1
OG0000008	Acropora_digitifera_adi_v1.17151 adi_v1.17151, Acropora_digitifera_adi_v1.02699 adi_v1.02699	Branchiostoma_belcheri_tr_A0A6P4ZKW5_A0A6P4ZKW5_BRABE tr|A0A6P4ZKW5|A0A6P4ZKW5_BRABE Neurogenic locus notch homolog protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474432 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y8R2_A0A6P4Y8R2_BRABE tr|A0A6P4Y8R2|A0A6P4Y8R2_BRABE Oncoprotein-induced transcript 3 protein-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462976 PE=4 SV=1
OG0000008	Acropora_digitifera_adi_v1.17151 adi_v1.17151, Acropora_digitifera_adi_v1.02699 adi_v1.02699	Branchiostoma_lanceolatum_tr_A0A8J9VGQ0_A0A8J9VGQ0_BRALA tr|A0A8J9VGQ0|A0A8J9VGQ0_BRALA UMOD protein OS=Branchiostoma lanceolatum OX=7740 GN=UMOD PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VF20_A0A8J9VF20_BRALA tr|A0A8J9VF20|A0A8J9VF20_BRALA UMOD protein OS=Branchiostoma lanceolatum OX=7740 GN=UMOD PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VJX1_A0A8J9VJX1_BRALA tr|A0A8J9VJX1|A0A8J9VJX1_BRALA OIT3 protein OS=Branchiostoma lanceolatum OX=7740 GN=OIT3 PE=4 SV=1
OG0000009	Acropora_digitifera_adi_v1.15532 adi_v1.15532	Xenia_spec_Xe_000997_T1 Xe_000997_T1 Xe_000997
OG0000009	Acropora_digitifera_adi_v1.15532 adi_v1.15532	Porites_asteroides_isotig22198 isotig22198 extracted_CDS GOMatch=Q4T392 GOTerms=GO_0005509 Gene=Subfamily_M12A_unassigned_peptidase__M12_family__ Match_Acc=C4Q3C1 gene=isogroup20466 length=369 numContigs=1, Porites_asteroides_isotig28996 isotig28996 extracted_CDS GOMatch=Q4SHD4 GOTerms=GO_0003824_GO_0004252_GO_0006508 Gene=Neuropilin-2a1_receptor_ Match_Acc=Q8UVR0 gene=isogroup27264 length=257 numContigs=1, Porites_asteroides_GCKDGN101BSS20 GCKDGN101BSS20 extracted_CDS Gene=Bone_morphogenetic_protein_1_ xy=0621_0170 region=1 Match_Acc=A9JR45 run=R_2010_02_19_08_49_25_ length=220
OG0000009	Acropora_digitifera_adi_v1.15532 adi_v1.15532	Calvadosia_cruxmelitensis_Ccrux.Trinity.66832 Ccrux.Trinity.66832
OG0000009	Acropora_digitifera_adi_v1.15532 adi_v1.15532	Morbakka_virulenta_scaffold2220.g1.t1 scaffold2220.g1.t1
OG0000009	Acropora_digitifera_adi_v1.15532 adi_v1.15532	Thelohanellus_kitauei_tr_A0A0C2JCL4_A0A0C2JCL4_THEKT tr|A0A0C2JCL4|A0A0C2JCL4_THEKT Bone morphogenetic protein 1 OS=Thelohanellus kitauei OX=669202 GN=RF11_09759 PE=4 SV=1
OG0000009	Acropora_digitifera_adi_v1.15532 adi_v1.15532	Hydra_vulgaris_Sc4wPfr_90.g1143.t1 Sc4wPfr_90.g1143.t1
OG0000009	Acropora_digitifera_adi_v1.15532 adi_v1.15532	Branchiostoma_floridae_tr_A0A9J7KVC9_A0A9J7KVC9_BRAFL tr|A0A9J7KVC9|A0A9J7KVC9_BRAFL Membrane frizzled-related protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118412145 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MKR0_A0A9J7MKR0_BRAFL tr|A0A9J7MKR0|A0A9J7MKR0_BRAFL Bone morphogenetic protein 1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118412130 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MKK8_A0A9J7MKK8_BRAFL tr|A0A9J7MKK8|A0A9J7MKK8_BRAFL Bone morphogenetic protein 1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118412130 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KTP5_A0A9J7KTP5_BRAFL tr|A0A9J7KTP5|A0A9J7KTP5_BRAFL Cubilin-like OS=Branchiostoma floridae OX=7739 GN=LOC118411738 PE=4 SV=1
OG0000009	Acropora_digitifera_adi_v1.15532 adi_v1.15532	Branchiostoma_belcheri_tr_A0A6P4YL78_A0A6P4YL78_BRABE tr|A0A6P4YL78|A0A6P4YL78_BRABE Very low-density lipoprotein receptor-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466231 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z723_A0A6P4Z723_BRABE tr|A0A6P4Z723|A0A6P4Z723_BRABE Uncharacterized protein LOC109479668 OS=Branchiostoma belcheri OX=7741 GN=LOC109479668 PE=4 SV=1
OG0000009	Acropora_digitifera_adi_v1.15532 adi_v1.15532	sp|Q5E9P5.1|PAMR1_BOVIN RecName_ Full=Inactive serine protease PAMR1; AltName_ Full=Peptidase domain-containing protein associated with muscle regeneration 1; AltName_ Full=Regeneration-associated muscle protease homolog; Flags_ Precursor
OG0000009	Acropora_digitifera_adi_v1.15532 adi_v1.15532	Branchiostoma_lanceolatum_tr_A0A8K0EAQ2_A0A8K0EAQ2_BRALA tr|A0A8K0EAQ2|A0A8K0EAQ2_BRALA MFRP protein OS=Branchiostoma lanceolatum OX=7740 GN=MFRP PE=4 SV=1
OG0000010	Acropora_digitifera_adi_v1.05562 adi_v1.05562, Acropora_digitifera_adi_v1.07946 adi_v1.07946	sp|P31836.1|NCAM1_BOVIN RecName_ Full=Neural cell adhesion molecule 1; Short=N-CAM-1; Short=NCAM-1; Flags_ Precursor
OG0000012	Acropora_digitifera_adi_v1.08393 adi_v1.08393	Monosiga_brevicollisXP_001743927.1 XP_001743927.1 uncharacterized protein MONBRDRAFT_15048_ partial [Monosiga brevicollis MX1]
OG0000012	Acropora_digitifera_adi_v1.08393 adi_v1.08393	Salpingoeca_rosetta_XP_004988452.1 XP_004988452.1 teneurin-2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997052.1 XP_004997052.1 tenascin C_ partial [Salpingoeca rosetta]
OG0000040	Acropora_digitifera_adi_v1.10909 adi_v1.10909, Acropora_digitifera_adi_v1.09775 adi_v1.09775	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true
OG0000040	Acropora_digitifera_adi_v1.09775 adi_v1.09775	Ephydatia_muelleri_Em0019g1178a Em0019g1178a, Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000040	Acropora_digitifera_adi_v1.09775 adi_v1.09775	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000054	Acropora_digitifera_adi_v1.21440 adi_v1.21440	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474
OG0000054	Acropora_digitifera_adi_v1.21440 adi_v1.21440	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474
OG0000054	Acropora_digitifera_adi_v1.21440 adi_v1.21440	Ephydatia_muelleri_Em0001g3101a Em0001g3101a
OG0000054	Acropora_digitifera_adi_v1.21440 adi_v1.21440	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386
OG0000054	Acropora_digitifera_adi_v1.21440 adi_v1.21440	Amphimedon_queenslandica_tr_A0A1X7TU95_A0A1X7TU95_AMPQE tr_A0A1X7TU95_A0A1X7TU95_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STD8_A0A1X7STD8_AMPQE tr_A0A1X7STD8_A0A1X7STD8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000054	Acropora_digitifera_adi_v1.21440 adi_v1.21440	XP_024837424.1 pro-interleukin-16 isoform X1 [Bos taurus]
OG0000054	Acropora_digitifera_adi_v1.21440 adi_v1.21440	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]
OG0000054	Acropora_digitifera_adi_v1.21440 adi_v1.21440	Mus_musculus_sp_O54824_IL16_MOUSE sp_O54824_IL16_MOUSE Pro-interleukin-16 OS=Mus musculus OX=10090 GN=Il16 PE=1 SV=3
OG0000054	Acropora_digitifera_adi_v1.21440 adi_v1.21440	Homo_sapiens_sp_Q14005_IL16_HUMAN sp|Q14005|IL16_HUMAN Pro-interleukin-16 OS=Homo sapiens OX=9606 GN=IL16 PE=1 SV=4
OG0000070	Acropora_digitifera_adi_v1.06768 adi_v1.06768	Branchiostoma_floridae_tr_A0A9J7HJT8_A0A9J7HJT8_BRAFL tr|A0A9J7HJT8|A0A9J7HJT8_BRAFL Myosin light chain kinase_ smooth muscle-like OS=Branchiostoma floridae OX=7739 GN=LOC118405515 PE=4 SV=1
OG0000081	Acropora_digitifera_adi_v1.11224 adi_v1.11224	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1
OG0000082	Acropora_digitifera_adi_v1.19272 adi_v1.19272, Acropora_digitifera_adi_v1.08091 adi_v1.08091, Acropora_digitifera_adi_v1.08090 adi_v1.08090, Acropora_digitifera_adi_v1.03875 adi_v1.03875, Acropora_digitifera_adi_v1.23202 adi_v1.23202, Acropora_digitifera_adi_v1.03874 adi_v1.03874, Acropora_digitifera_adi_v1.03249 adi_v1.03249, Acropora_digitifera_adi_v1.22782 adi_v1.22782, Acropora_digitifera_adi_v1.00154 adi_v1.00154	Branchiostoma_lanceolatum_tr_A0A8J9ZEH4_A0A8J9ZEH4_BRALA tr|A0A8J9ZEH4|A0A8J9ZEH4_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1
OG0000111	Acropora_digitifera_adi_v1.05777 adi_v1.05777	Hydra_vulgaris_Sc4wPfr_176.g26297.t1 Sc4wPfr_176.g26297.t1
OG0000158	Acropora_digitifera_adi_v1.24509 adi_v1.24509	Branchiostoma_floridae_tr_A0A9J7L3J3_A0A9J7L3J3_BRAFL tr|A0A9J7L3J3|A0A9J7L3J3_BRAFL Complement component C6-like OS=Branchiostoma floridae OX=7739 GN=LOC118415174 PE=3 SV=1
OG0000165	Acropora_digitifera_adi_v1.19692 adi_v1.19692	Stylophora_pistillata_Spis19394 Spis19394 SpisGene19394
OG0000194	Acropora_digitifera_adi_v1.23856 adi_v1.23856	Trichoplax_specH2_tr_A0A369SDN1_A0A369SDN1_9METZ tr|A0A369SDN1|A0A369SDN1_9METZ Leucine-rich repeat-containing protein 57 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003128 PE=4 SV=1
OG0000194	Acropora_digitifera_adi_v1.23856 adi_v1.23856	Tricoplax_adhaerens_tr_B3RKY1_B3RKY1_TRIAD tr_B3RKY1_B3RKY1_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51807 PE=4 SV=1
OG0000194	Acropora_digitifera_adi_v1.23856 adi_v1.23856	Pleurobrachia_bachei_sb_2644221_ sb_2644221_, Pleurobrachia_bachei_sb_2653137_ sb_2653137_
OG0000194	Acropora_digitifera_adi_v1.23856 adi_v1.23856	Beroe_ovata_Bova1_4.0138.g26.t1 Bova1_4.0138.g26.t1
OG0000194	Acropora_digitifera_adi_v1.23856 adi_v1.23856	Mnemiopsis_leidyi_ML16565a ML16565a
OG0000194	Acropora_digitifera_adi_v1.23856 adi_v1.23856	Salpingoeca_rosetta_XP_004991695.1 XP_004991695.1 uncharacterized protein PTSG_07893 [Salpingoeca rosetta]
