Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Other
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Hydra_vulgaris_Sc4wPfr_62.g4386.t1 Sc4wPfr_62.g4386.t1, Hydra_vulgaris_Sc4wPfr_230.g26213.t1 Sc4wPfr_230.g26213.t1
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Tricoplax_adhaerens_tr_B3SCG1_B3SCG1_TRIAD tr_B3SCG1_B3SCG1_TRIAD IGFBP N-terminal domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_64395 PE=4 SV=1
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Schmidtea_mediterranea_maker-scaffold15378-augustus-gene-0.52-mRNA-1 maker-scaffold15378-augustus-gene-0.52-mRNA-1 protein AED_0.00 eAED_0.00 QI_181|1|1|1|1|1|2|39|130, Schmidtea_mediterranea_maker-scaffold7562-augustus-gene-0.11-mRNA-1 maker-scaffold7562-augustus-gene-0.11-mRNA-1 protein AED_0.00 eAED_0.00 QI_55|1|1|1|1|1|2|285|121, Schmidtea_mediterranea_maker-scaffold2624-snap-gene-0.62-mRNA-1 maker-scaffold2624-snap-gene-0.62-mRNA-1 protein AED_0.00 eAED_0.00 QI_163|1|1|1|1|1|3|260|253
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Branchiostoma_floridae_tr_A0A9J7L1E1_A0A9J7L1E1_BRAFL tr|A0A9J7L1E1|A0A9J7L1E1_BRAFL Kazal-type serine protease inhibitor domain-containing protein 1-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118414154 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L057_A0A9J7L057_BRAFL tr|A0A9J7L057|A0A9J7L057_BRAFL Uncharacterized protein LOC118413580 OS=Branchiostoma floridae OX=7739 GN=LOC118413580 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L2C5_A0A9J7L2C5_BRAFL tr|A0A9J7L2C5|A0A9J7L2C5_BRAFL Insulin-like growth factor-binding protein-like 1 OS=Branchiostoma floridae OX=7739 GN=LOC118414160 PE=4 SV=1
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Branchiostoma_belcheri_tr_A0A6P5AWE2_A0A6P5AWE2_BRABE tr|A0A6P5AWE2|A0A6P5AWE2_BRABE Kazal-type serine protease inhibitor domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486825 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XY87_A0A6P4XY87_BRABE tr|A0A6P4XY87|A0A6P4XY87_BRABE Uncharacterized protein LOC109463154 OS=Branchiostoma belcheri OX=7741 GN=LOC109463154 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AWF2_A0A6P5AWF2_BRABE tr|A0A6P5AWF2|A0A6P5AWF2_BRABE Insulin-like growth factor-binding protein 7 OS=Branchiostoma belcheri OX=7741 GN=LOC109486832 PE=4 SV=1
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	NP_001091570.1 endothelial cell-specific molecule 1 precursor [Bos taurus], XP_059738009.1 kazal-type serine protease inhibitor domain-containing protein 1 [Bos taurus], XP_024851719.2 insulin-like growth factor-binding protein-like 1 isoform X1 [Bos taurus], NP_001095770.1 insulin-like growth factor-binding protein 7 precursor [Bos taurus]
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Branchiostoma_lanceolatum_tr_A0A8K0EQC8_A0A8K0EQC8_BRALA tr|A0A8K0EQC8|A0A8K0EQC8_BRALA KAZALD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=KAZALD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EMT5_A0A8K0EMT5_BRALA tr|A0A8K0EMT5|A0A8K0EMT5_BRALA KAZALD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=KAZALD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZMS7_A0A8J9ZMS7_BRALA tr|A0A8J9ZMS7|A0A8J9ZMS7_BRALA IGFBP7 protein OS=Branchiostoma lanceolatum OX=7740 GN=IGFBP7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZQP9_A0A8J9ZQP9_BRALA tr|A0A8J9ZQP9|A0A8J9ZQP9_BRALA IGFBP7 protein OS=Branchiostoma lanceolatum OX=7740 GN=IGFBP7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZN21_A0A8J9ZN21_BRALA tr|A0A8J9ZN21|A0A8J9ZN21_BRALA IGFBP7 protein OS=Branchiostoma lanceolatum OX=7740 GN=IGFBP7 PE=4 SV=1
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Danio_rerio_tr_Q08CJ3_Q08CJ3_DANRE tr|Q08CJ3|Q08CJ3_DANRE Endothelial cell-specific molecule 1 precursor OS=Danio rerio OX=7955 GN=zgc_153027 PE=2 SV=1, Danio_rerio_tr_B0V1B1_B0V1B1_DANRE tr|B0V1B1|B0V1B1_DANRE Kazal-type serine peptidase inhibitor domain 3 OS=Danio rerio OX=7955 GN=im_7144240 PE=4 SV=1, Danio_rerio_tr_Q6NW92_Q6NW92_DANRE tr|Q6NW92|Q6NW92_DANRE Insulin-like growth factor-binding protein 7 precursor OS=Danio rerio OX=7955 GN=zgc_85888 PE=1 SV=1
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Mus_musculus_sp_Q8BJ66_KAZD1_MOUSE sp_Q8BJ66_KAZD1_MOUSE Kazal-type serine protease inhibitor domain-containing protein 1 OS=Mus musculus OX=10090 GN=Kazald1 PE=1 SV=2, Mus_musculus_sp_Q80W15_IBPL1_MOUSE sp_Q80W15_IBPL1_MOUSE Insulin-like growth factor-binding protein-like 1 OS=Mus musculus OX=10090 GN=Igfbpl1 PE=2 SV=1, Mus_musculus_sp_Q61581_IBP7_MOUSE sp_Q61581_IBP7_MOUSE Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=3
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2, Homo_sapiens_sp_Q16270_IBP7_HUMAN sp|Q16270|IBP7_HUMAN Insulin-like growth factor-binding protein 7 OS=Homo sapiens OX=9606 GN=IGFBP7 PE=1 SV=1
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0019g1178a Em0019g1178a, Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0019g1178a Em0019g1178a, Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000067	Aurelia_aurita_Seg7350.1 Seg7350.1 transcript_id=Seg7350.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg7350.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg327.1 Seg327.1 transcript_id=Seg327.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg327.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1656.2 Seg1656.2 transcript_id=Seg1656.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1656.2_GoldUCD_D3Y31 partial=true	Stylophora_pistillata_Spis4032 Spis4032 SpisGene4032
OG0000102	Aurelia_aurita_Seg2029.3 Seg2029.3 transcript_id=Seg2029.3_GoldUCD_mRNA.D3Y31 product=Fibulin-2 protein_id=Seg2029.3_GoldUCD_D3Y31 partial=true	Porites_asteroides_isotig17654 isotig17654 extracted_CDS GOMatch=B0X2G9 GOTerms=GO_0004519_GO_0005509_GO_0051539 Gene=Crumbs_ Match_Acc=B0X2G9 gene=isogroup15922 length=426 numContigs=1
OG0000166	Aurelia_aurita_Seg1841.2 Seg1841.2 transcript_id=Seg1841.2_GoldUCD_mRNA.D3Y31 product=Frizzled-1 protein_id=Seg1841.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4426.2 Seg4426.2 transcript_id=Seg4426.2_GoldUCD_mRNA.D3Y31 product=Frizzled-1 protein_id=Seg4426.2_GoldUCD_D3Y31	Branchiostoma_floridae_tr_A0A9J7LCX7_A0A9J7LCX7_BRAFL tr|A0A9J7LCX7|A0A9J7LCX7_BRAFL Dorsal-ventral patterning protein tolloid-like OS=Branchiostoma floridae OX=7739 GN=LOC118418137 PE=4 SV=1
OG0000187	Aurelia_aurita_Seg3528.1 Seg3528.1 transcript_id=Seg3528.1_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 69" protein_id=Seg3528.1_GoldUCD_D3Y31	Pleurobrachia_bachei_sb_2665460_ sb_2665460_, Pleurobrachia_bachei_sb_2643444_ sb_2643444_
OG0000203	Aurelia_aurita_Seg6049.1 Seg6049.1 transcript_id=Seg6049.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 pseudo=true protein_id=Seg6049.1_GoldUCD_D3Y31 partial=true	Branchiostoma_floridae_tr_A0A9J7HNU5_A0A9J7HNU5_BRAFL tr|A0A9J7HNU5|A0A9J7HNU5_BRAFL Fibrillin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118405983 PE=4 SV=1
OG0000211	Aurelia_aurita_Seg11460.1 Seg11460.1 transcript_id=Seg11460.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg11460.1_GoldUCD_D3Y31 partial=true	Pleurobrachia_bachei_sb_2660965_ sb_2660965_
OG0000211	Aurelia_aurita_Seg11460.1 Seg11460.1 transcript_id=Seg11460.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg11460.1_GoldUCD_D3Y31 partial=true	Beroe_ovata_Bova1_4.0037.g29.t1 Bova1_4.0037.g29.t1
OG0000211	Aurelia_aurita_Seg11460.1 Seg11460.1 transcript_id=Seg11460.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg11460.1_GoldUCD_D3Y31 partial=true	Monosiga_brevicollisXP_001749206.1 XP_001749206.1 uncharacterized protein MONBRDRAFT_11289 [Monosiga brevicollis MX1]
OG0000211	Aurelia_aurita_Seg11460.1 Seg11460.1 transcript_id=Seg11460.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg11460.1_GoldUCD_D3Y31 partial=true	Salpingoeca_rosetta_XP_004987681.1 XP_004987681.1 uncharacterized protein PTSG_11322 [Salpingoeca rosetta]
