Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Other
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.66832 Ccrux.Trinity.66832	Acropora_digitifera_adi_v1.15532 adi_v1.15532
OG0000009	Calvadosia_cruxmelitensis_Ccrux.Trinity.67770 Ccrux.Trinity.67770	Exaiptasia_diaphana_XP_020917765.1 XP_020917765.1 uncharacterized protein LOC110255040 [Exaiptasia diaphana]
OG0000064	Calvadosia_cruxmelitensis_Ccrux.Trinity.62793 Ccrux.Trinity.62793	Porites_asteroides_isotig12005 isotig12005 extracted_CDS GOMatch=D2H7E0 GOTerms=GO_0005201_GO_0005488_GO_0005509_GO_0005578 Gene=Fibrillin-2_ Match_Acc=P35556 gene=isogroup10273 length=577 numContigs=1
OG0000064	Calvadosia_cruxmelitensis_Ccrux.Trinity.62793 Ccrux.Trinity.62793	Nematostella_vectensis_NV2t022932001.1 NV2t022932001.1
OG0000067	Calvadosia_cruxmelitensis_Ccrux.Trinity.48980 Ccrux.Trinity.48980, Calvadosia_cruxmelitensis_Ccrux.Trinity.48978 Ccrux.Trinity.48978, Calvadosia_cruxmelitensis_Ccrux.Trinity.48976 Ccrux.Trinity.48976, Calvadosia_cruxmelitensis_Ccrux.Trinity.21098 Ccrux.Trinity.21098, Calvadosia_cruxmelitensis_Ccrux.Trinity.21101 Ccrux.Trinity.21101, Calvadosia_cruxmelitensis_Ccrux.Trinity.69529 Ccrux.Trinity.69529	Stylophora_pistillata_Spis4032 Spis4032 SpisGene4032
OG0000158	Calvadosia_cruxmelitensis_Ccrux.Trinity.60636 Ccrux.Trinity.60636, Calvadosia_cruxmelitensis_Ccrux.Trinity.68887 Ccrux.Trinity.68887	Branchiostoma_floridae_tr_A0A9J7L3J3_A0A9J7L3J3_BRAFL tr|A0A9J7L3J3|A0A9J7L3J3_BRAFL Complement component C6-like OS=Branchiostoma floridae OX=7739 GN=LOC118415174 PE=3 SV=1
OG0000165	Calvadosia_cruxmelitensis_Ccrux.Trinity.5581 Ccrux.Trinity.5581, Calvadosia_cruxmelitensis_Ccrux.Trinity.5580 Ccrux.Trinity.5580	Stylophora_pistillata_Spis19394 Spis19394 SpisGene19394
OG0000166	Calvadosia_cruxmelitensis_Ccrux.Trinity.1466 Ccrux.Trinity.1466	Branchiostoma_floridae_tr_A0A9J7LCX7_A0A9J7LCX7_BRAFL tr|A0A9J7LCX7|A0A9J7LCX7_BRAFL Dorsal-ventral patterning protein tolloid-like OS=Branchiostoma floridae OX=7739 GN=LOC118418137 PE=4 SV=1
OG0000193	Calvadosia_cruxmelitensis_Ccrux.Trinity.15279 Ccrux.Trinity.15279	Pleurobrachia_bachei_sb_2667957_ sb_2667957_
OG0000193	Calvadosia_cruxmelitensis_Ccrux.Trinity.15279 Ccrux.Trinity.15279	Beroe_ovata_Bova1_4.0008.g11.t1 Bova1_4.0008.g11.t1, Beroe_ovata_Bova1_4.0008.g9.t1 Bova1_4.0008.g9.t1
OG0000193	Calvadosia_cruxmelitensis_Ccrux.Trinity.15279 Ccrux.Trinity.15279	Mnemiopsis_leidyi_ML03269a ML03269a
OG0000193	Calvadosia_cruxmelitensis_Ccrux.Trinity.15279 Ccrux.Trinity.15279	Ephydatia_muelleri_Em0008g372a Em0008g372a
OG0000193	Calvadosia_cruxmelitensis_Ccrux.Trinity.15279 Ccrux.Trinity.15279	Amphimedon_queenslandica_tr_A0A1X7UT99_A0A1X7UT99_AMPQE tr_A0A1X7UT99_A0A1X7UT99_AMPQE Poly_A_-specific ribonuclease OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7T0L4_A0A1X7T0L4_AMPQE tr_A0A1X7T0L4_A0A1X7T0L4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000193	Calvadosia_cruxmelitensis_Ccrux.Trinity.15279 Ccrux.Trinity.15279	Porites_asteroides_GCKDGN102D6QYD GCKDGN102D6QYD extracted_CDS GOMatch=B7P4D9 GOTerms=GO_0004535_GO_0016787 Gene=Glucose-repressible_alcohol_dehydrogenase__putative__Fragment__ Match_Acc=B7P4D9 length=220 region=2 run=R_2010_02_19_08_49_25_ xy=1599_3939
