Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Other
OG0000004	Clytia_hemispherica_TCONS_00058657-protein TCONS_00058657-protein, Clytia_hemispherica_TCONS_00048843-protein TCONS_00048843-protein	Stylophora_pistillata_Spis5092 Spis5092 SpisGene5092
OG0000005	Clytia_hemispherica_TCONS_00005192-protein TCONS_00005192-protein	Caenorhabditis_elegans_K11G12.1b K11G12.1b, Caenorhabditis_elegans_K09C8.3 K09C8.3, Caenorhabditis_elegans_C37H5.9c C37H5.9c
OG0000005	Clytia_hemispherica_TCONS_00005192-protein TCONS_00005192-protein	Calvadosia_cruxmelitensis_Ccrux.Trinity.13823 Ccrux.Trinity.13823
OG0000005	Clytia_hemispherica_TCONS_00005192-protein TCONS_00005192-protein	Pleurobrachia_bachei_sb_2663304_ sb_2663304_
OG0000005	Clytia_hemispherica_TCONS_00005192-protein TCONS_00005192-protein	Porites_asteroides_isotig23348 isotig23348 extracted_CDS GOMatch=Q4SJ96 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Bone_morphogenetic_protein_1__Fragment__ Match_Acc=O57658 gene=isogroup21616 length=355 numContigs=1
OG0000005	Clytia_hemispherica_TCONS_00005192-protein TCONS_00005192-protein	Morbakka_virulenta_scaffold17.g8.t1 scaffold17.g8.t1
OG0000005	Clytia_hemispherica_TCONS_00005192-protein TCONS_00005192-protein	Tricoplax_adhaerens_tr_B3RNQ2_B3RNQ2_TRIAD tr_B3RNQ2_B3RNQ2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53247 PE=3 SV=1
OG0000021	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1
OG0000021	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein	Branchiostoma_lanceolatum_tr_A0A8S4MN64_A0A8S4MN64_BRALA tr|A0A8S4MN64|A0A8S4MN64_BRALA Hypp9532 protein OS=Branchiostoma lanceolatum OX=7740 GN=Hypp9532 PE=4 SV=1
OG0000040	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein, Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true
OG0000040	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein	Ephydatia_muelleri_Em0019g1178a Em0019g1178a, Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000040	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000040	Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	Tricoplax_adhaerens_tr_B3SCG1_B3SCG1_TRIAD tr_B3SCG1_B3SCG1_TRIAD IGFBP N-terminal domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_64395 PE=4 SV=1
OG0000040	Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000040	Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000040	Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2
OG0000040	Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	NP_001091570.1 endothelial cell-specific molecule 1 precursor [Bos taurus]
OG0000040	Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	Danio_rerio_tr_Q08CJ3_Q08CJ3_DANRE tr|Q08CJ3|Q08CJ3_DANRE Endothelial cell-specific molecule 1 precursor OS=Danio rerio OX=7955 GN=zgc_153027 PE=2 SV=1
OG0000040	Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica]
OG0000040	Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000040	Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000081	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein, Clytia_hemispherica_TCONS_00022711-protein TCONS_00022711-protein	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1
OG0000081	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1
OG0000101	Clytia_hemispherica_TCONS_00021268-protein TCONS_00021268-protein	Porites_asteroides_isotig12778 isotig12778 extracted_CDS GOMatch=C3YQU6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Dscam_ Match_Acc=Q9NBA1 gene=isogroup11046 length=547 numContigs=1
OG0000101	Clytia_hemispherica_TCONS_00021268-protein TCONS_00021268-protein	Branchiostoma_floridae_tr_A0A9J7LIB1_A0A9J7LIB1_BRAFL tr|A0A9J7LIB1|A0A9J7LIB1_BRAFL Nephrin-like isoform X11 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MUZ2_A0A9J7MUZ2_BRAFL tr|A0A9J7MUZ2|A0A9J7MUZ2_BRAFL Nephrin-like isoform X10 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LI58_A0A9J7LI58_BRAFL tr|A0A9J7LI58|A0A9J7LI58_BRAFL Nephrin-like isoform X9 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LHB4_A0A9J7LHB4_BRAFL tr|A0A9J7LHB4|A0A9J7LHB4_BRAFL Nephrin-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MUW3_A0A9J7MUW3_BRAFL tr|A0A9J7MUW3|A0A9J7MUW3_BRAFL Nephrin-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MX57_A0A9J7MX57_BRAFL tr|A0A9J7MX57|A0A9J7MX57_BRAFL Nephrin-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LG30_A0A9J7LG30_BRAFL tr|A0A9J7LG30|A0A9J7LG30_BRAFL Nephrin-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LHG4_A0A9J7LHG4_BRAFL tr|A0A9J7LHG4|A0A9J7LHG4_BRAFL Nephrin-like isoform X8 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MX72_A0A9J7MX72_BRAFL tr|A0A9J7MX72|A0A9J7MX72_BRAFL Nephrin-like isoform X7 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LG19_A0A9J7LG19_BRAFL tr|A0A9J7LG19|A0A9J7LG19_BRAFL Nephrin-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LFS9_A0A9J7LFS9_BRAFL tr|A0A9J7LFS9|A0A9J7LFS9_BRAFL Nephrin-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118419693 PE=4 SV=1
OG0000101	Clytia_hemispherica_TCONS_00021268-protein TCONS_00021268-protein	Branchiostoma_belcheri_tr_A0A6P4YDX7_A0A6P4YDX7_BRABE tr|A0A6P4YDX7|A0A6P4YDX7_BRABE Nephrin-like isoform X6 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZCI1_A0A6P4ZCI1_BRABE tr|A0A6P4ZCI1|A0A6P4ZCI1_BRABE Nephrin-like isoform X7 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDX0_A0A6P4YDX0_BRABE tr|A0A6P4YDX0|A0A6P4YDX0_BRABE Nephrin-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDX4_A0A6P4YDX4_BRABE tr|A0A6P4YDX4|A0A6P4YDX4_BRABE Nephrin-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YSQ5_A0A6P4YSQ5_BRABE tr|A0A6P4YSQ5|A0A6P4YSQ5_BRABE Nephrin-like isoform X4 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZCH1_A0A6P4ZCH1_BRABE tr|A0A6P4ZCH1|A0A6P4ZCH1_BRABE Nephrin-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z0C2_A0A6P4Z0C2_BRABE tr|A0A6P4Z0C2|A0A6P4Z0C2_BRABE Nephrin-like isoform X5 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1
OG0000101	Clytia_hemispherica_TCONS_00021268-protein TCONS_00021268-protein	Branchiostoma_lanceolatum_tr_A0A8K0EQC5_A0A8K0EQC5_BRALA tr|A0A8K0EQC5|A0A8K0EQC5_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZUB1_A0A8J9ZUB1_BRALA tr|A0A8J9ZUB1|A0A8J9ZUB1_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZRH6_A0A8J9ZRH6_BRALA tr|A0A8J9ZRH6|A0A8J9ZRH6_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZVX4_A0A8J9ZVX4_BRALA tr|A0A8J9ZVX4|A0A8J9ZVX4_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZU54_A0A8J9ZU54_BRALA tr|A0A8J9ZU54|A0A8J9ZU54_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZU42_A0A8J9ZU42_BRALA tr|A0A8J9ZU42|A0A8J9ZU42_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EN31_A0A8K0EN31_BRALA tr|A0A8K0EN31|A0A8K0EN31_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZRG1_A0A8J9ZRG1_BRALA tr|A0A8J9ZRG1|A0A8J9ZRG1_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EQ67_A0A8K0EQ67_BRALA tr|A0A8K0EQ67|A0A8K0EQ67_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ESV4_A0A8K0ESV4_BRALA tr|A0A8K0ESV4|A0A8K0ESV4_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZUF5_A0A8J9ZUF5_BRALA tr|A0A8J9ZUF5|A0A8J9ZUF5_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ETH3_A0A8K0ETH3_BRALA tr|A0A8K0ETH3|A0A8K0ETH3_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1
OG0000101	Clytia_hemispherica_TCONS_00021268-protein TCONS_00021268-protein	Schmidtea_mediterranea_maker-scaffold1238-augustus-gene-0.40-mRNA-1 maker-scaffold1238-augustus-gene-0.40-mRNA-1 protein AED_0.10 eAED_0.10 QI_905|0.66|0.74|0.80|0.63|0.64|31|1053|2217
