Orthogroup	Nematoda_Chromadorea_Caenorhabditis_elegans	Chordata_Vertebrata_Danio_rerio
OG0000005	Caenorhabditis_elegans_F45G2.1 F45G2.1, Caenorhabditis_elegans_C07D10.4 C07D10.4, Caenorhabditis_elegans_C34D4.9 C34D4.9, Caenorhabditis_elegans_T23H4.3 T23H4.3, Caenorhabditis_elegans_C24F3.3 C24F3.3	Danio_rerio_tr_Q1LW00_Q1LW00_DANRE tr|Q1LW00|Q1LW00_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=cb284 PE=1 SV=1, Danio_rerio_tr_Q4G0A2_Q4G0A2_DANRE tr|Q4G0A2|Q4G0A2_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=he1 PE=2 SV=1, Danio_rerio_sp_Q1LW01_HE12_DANRE sp|Q1LW01|HE12_DANRE Hatching enzyme 1.2 OS=Danio rerio OX=7955 GN=he1.2 PE=1 SV=1, Danio_rerio_tr_A4VCG4_A4VCG4_DANRE tr|A4VCG4|A4VCG4_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=he2 PE=2 SV=1
OG0000009	Caenorhabditis_elegans_F38E9.2 F38E9.2	Danio_rerio_tr_F1REM3_F1REM3_DANRE tr|F1REM3|F1REM3_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=bmp1a PE=4 SV=2, Danio_rerio_tr_Q2ABP1_Q2ABP1_DANRE tr|Q2ABP1|Q2ABP1_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=bmp1a PE=2 SV=1, Danio_rerio_tr_Q2ABP0_Q2ABP0_DANRE tr|Q2ABP0|Q2ABP0_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=bmp1b PE=2 SV=1, Danio_rerio_sp_O57460_TLL1_DANRE sp|O57460|TLL1_DANRE Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio OX=7955 GN=tll1 PE=2 SV=1, Danio_rerio_tr_B3DJN6_B3DJN6_DANRE tr|B3DJN6|B3DJN6_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=tll1 PE=2 SV=1
OG0000010	Caenorhabditis_elegans_F15G9.4e F15G9.4e	Danio_rerio_tr_E7F3V2_E7F3V2_DANRE tr|E7F3V2|E7F3V2_DANRE Hemicentin 2 OS=Danio rerio OX=7955 GN=hmcn2 PE=1 SV=2
OG0000010	Caenorhabditis_elegans_F41G3.12 F41G3.12	Danio_rerio_tr_A0A0R4IJ40_A0A0R4IJ40_DANRE tr|A0A0R4IJ40|A0A0R4IJ40_DANRE Agrin OS=Danio rerio OX=7955 GN=hm_gc12 PE=1 SV=1, Danio_rerio_tr_B3GQ72_B3GQ72_DANRE tr|B3GQ72|B3GQ72_DANRE Agrin OS=Danio rerio OX=7955 GN=wu_fb57e07 PE=1 SV=1
OG0000013	Caenorhabditis_elegans_W08D2.1 W08D2.1	Danio_rerio_tr_A5WVL3_A5WVL3_DANRE tr|A5WVL3|A5WVL3_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=zgc_77293 PE=3 SV=1
OG0000013	Caenorhabditis_elegans_K10B4.6a K10B4.6a	Danio_rerio_tr_Q9IAU3_Q9IAU3_DANRE tr|Q9IAU3|Q9IAU3_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt4b PE=2 SV=1, Danio_rerio_tr_Q1RLW9_Q1RLW9_DANRE tr|Q1RLW9|Q1RLW9_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt4a PE=2 SV=1, Danio_rerio_sp_P47793_WNT4A_DANRE sp|P47793|WNT4A_DANRE Protein Wnt-4a OS=Danio rerio OX=7955 GN=wnt4a PE=2 SV=1
OG0000013	Caenorhabditis_elegans_W01B6.1 W01B6.1	Danio_rerio_sp_Q92050_WNT5B_DANRE sp|Q92050|WNT5B_DANRE Protein Wnt-5b OS=Danio rerio OX=7955 GN=wnt5b PE=2 SV=1, Danio_rerio_tr_B3DI33_B3DI33_DANRE tr|B3DI33|B3DI33_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt5b PE=2 SV=1, Danio_rerio_tr_A1BPR0_A1BPR0_DANRE tr|A1BPR0|A1BPR0_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt5a PE=2 SV=1
OG0000013	Caenorhabditis_elegans_E01A2.3 E01A2.3	Danio_rerio_sp_Q801F7_WN10B_DANRE sp|Q801F7|WN10B_DANRE Protein Wnt-10b OS=Danio rerio OX=7955 GN=wnt10b PE=2 SV=1, Danio_rerio_tr_B0V1G8_B0V1G8_DANRE tr|B0V1G8|B0V1G8_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=WNT-10A PE=3 SV=1, Danio_rerio_sp_P43446_WN10A_DANRE sp|P43446|WN10A_DANRE Protein Wnt-10a OS=Danio rerio OX=7955 GN=wnt10a PE=1 SV=1
OG0000013	Caenorhabditis_elegans_F38E1.7 F38E1.7	Danio_rerio_tr_B6V3E2_B6V3E2_DANRE tr|B6V3E2|B6V3E2_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt9b PE=2 SV=1, Danio_rerio_tr_B6V3E1_B6V3E1_DANRE tr|B6V3E1|B6V3E1_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=zgc_153617 PE=2 SV=1, Danio_rerio_tr_Q0P406_Q0P406_DANRE tr|Q0P406|Q0P406_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=zgc_153617 PE=2 SV=1
OG0000014	Caenorhabditis_elegans_F53B6.2c F53B6.2c	Danio_rerio_tr_E7FBX1_E7FBX1_DANRE tr|E7FBX1|E7FBX1_DANRE ADAMTS-like 3 OS=Danio rerio OX=7955 GN=adamtsl3 PE=4 SV=3
OG0000014	Caenorhabditis_elegans_C37C3.6c C37C3.6c	Danio_rerio_tr_Q503V4_Q503V4_DANRE tr|Q503V4|Q503V4_DANRE Papilin b_ proteoglycan-like sulfated glycoprotein OS=Danio rerio OX=7955 GN=wu_fi31b03 PE=2 SV=1
OG0000014	Caenorhabditis_elegans_F25H8.3b F25H8.3b	Danio_rerio_tr_G3G3K0_G3G3K0_DANRE tr|G3G3K0|G3G3K0_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Danio rerio OX=7955 GN=adamts9 PE=2 SV=1
OG0000015	Caenorhabditis_elegans_C43C3.3 C43C3.3	Danio_rerio_tr_Q98SS0_Q98SS0_DANRE tr|Q98SS0|Q98SS0_DANRE Egg envelope protein ZP2 OS=Danio rerio OX=7955 GN=zp2 PE=1 SV=1, Danio_rerio_tr_F1QUS3_F1QUS3_DANRE tr|F1QUS3|F1QUS3_DANRE Zona pellucida glycoprotein 2_ tandem duplicate 5 OS=Danio rerio OX=7955 GN=zgc_152728 PE=4 SV=1, Danio_rerio_tr_F1QMZ0_F1QMZ0_DANRE tr|F1QMZ0|F1QMZ0_DANRE Zona pellucida glycoprotein 2_ tandem duplicate 3 OS=Danio rerio OX=7955 GN=zp2 PE=4 SV=1, Danio_rerio_tr_F1R003_F1R003_DANRE tr|F1R003|F1R003_DANRE Zona pellucida glycoprotein 2_ tandem duplicate 1 OS=Danio rerio OX=7955 GN=zgc_114013 PE=4 SV=1
OG0000016	Caenorhabditis_elegans_H36L18.1 H36L18.1	Danio_rerio_tr_F1QCX8_F1QCX8_DANRE tr|F1QCX8|F1QCX8_DANRE Matrix metallopeptidase 13a OS=Danio rerio OX=7955 GN=cb1034 PE=3 SV=2, Danio_rerio_tr_E7F3C3_E7F3C3_DANRE tr|E7F3C3|E7F3C3_DANRE Matrilysin-like OS=Danio rerio OX=7955 GN=mmp20b PE=3 SV=2, Danio_rerio_tr_A0A8M9Q3Z2_A0A8M9Q3Z2_DANRE tr|A0A8M9Q3Z2|A0A8M9Q3Z2_DANRE Matrix metallopeptidase 11a OS=Danio rerio OX=7955 GN=mmp11a PE=3 SV=1, Danio_rerio_tr_Q7T2J2_Q7T2J2_DANRE tr|Q7T2J2|Q7T2J2_DANRE Matrix metalloproteinase 14 _Membrane-inserted_ alpha OS=Danio rerio OX=7955 GN=wu_fb72b09 PE=2 SV=1, Danio_rerio_tr_Q7T2J1_Q7T2J1_DANRE tr|Q7T2J1|Q7T2J1_DANRE Matrix metalloproteinase-14 precursor OS=Danio rerio OX=7955 GN=MT-MMPbeta PE=2 SV=1, Danio_rerio_tr_B0R0I1_B0R0I1_DANRE tr|B0R0I1|B0R0I1_DANRE Matrix metallopeptidase 14b _membrane-inserted_ OS=Danio rerio OX=7955 GN=MT-MMPbeta PE=1 SV=1, Danio_rerio_tr_E9QIX9_E9QIX9_DANRE tr|E9QIX9|E9QIX9_DANRE Matrix metallopeptidase 24 OS=Danio rerio OX=7955 GN=mmp24 PE=3 SV=1, Danio_rerio_tr_F1R8N4_F1R8N4_DANRE tr|F1R8N4|F1R8N4_DANRE Matrix metallopeptidase 16b _membrane-inserted_ OS=Danio rerio OX=7955 GN=mmp16b PE=3 SV=1, Danio_rerio_tr_E7FFQ4_E7FFQ4_DANRE tr|E7FFQ4|E7FFQ4_DANRE Matrix metallopeptidase 15a OS=Danio rerio OX=7955 GN=mmp15a PE=3 SV=1, Danio_rerio_tr_A0A0R4IB00_A0A0R4IB00_DANRE tr|A0A0R4IB00|A0A0R4IB00_DANRE Matrix metallopeptidase 17b OS=Danio rerio OX=7955 GN=mmp17b PE=3 SV=1
OG0000017	Caenorhabditis_elegans_Y32G9A.4 Y32G9A.4, Caenorhabditis_elegans_C05E4.3 C05E4.3, Caenorhabditis_elegans_F20D6.3 F20D6.3, Caenorhabditis_elegans_F20D6.4d F20D6.4d, Caenorhabditis_elegans_C03G6.19 C03G6.19, Caenorhabditis_elegans_C05E4.1 C05E4.1	Danio_rerio_tr_B3DJI9_B3DJI9_DANRE tr|B3DJI9|B3DJI9_DANRE Neuroserpin precursor OS=Danio rerio OX=7955 GN=si_ch211-167c22.4 PE=2 SV=1, Danio_rerio_tr_A8WGQ0_A8WGQ0_DANRE tr|A8WGQ0|A8WGQ0_DANRE Plasminogen activator inhibitor 1 precursor OS=Danio rerio OX=7955 GN=si_ch211-138a11.1 PE=2 SV=1, Danio_rerio_tr_F1QRB8_F1QRB8_DANRE tr|F1QRB8|F1QRB8_DANRE Plasminogen activator inhibitor 1 OS=Danio rerio OX=7955 GN=PAI-1 PE=1 SV=1, Danio_rerio_tr_Q7ZVL5_Q7ZVL5_DANRE tr|Q7ZVL5|Q7ZVL5_DANRE Glia-derived nexin precursor OS=Danio rerio OX=7955 GN=zgc_55929 PE=2 SV=1, Danio_rerio_sp_B0UYL8_SERP3_DANRE sp|B0UYL8|SERP3_DANRE Probable serpin E3 OS=Danio rerio OX=7955 GN=serpine3 PE=3 SV=1, Danio_rerio_tr_Q8AYE3_Q8AYE3_DANRE tr|Q8AYE3|Q8AYE3_DANRE Antithrombin OS=Danio rerio OX=7955 GN=wu_fb18f10 PE=1 SV=1, Danio_rerio_tr_Q5RIK7_Q5RIK7_DANRE tr|Q5RIK7|Q5RIK7_DANRE Serpin peptidase inhibitor_ clade B _ovalbumin__ member 1_-like 2 OS=Danio rerio OX=7955 GN=zgc_56075 PE=2 SV=1, Danio_rerio_tr_Q6DG30_Q6DG30_DANRE tr|Q6DG30|Q6DG30_DANRE Serpin peptidase inhibitor_ clade B _Ovalbumin__ member 1 OS=Danio rerio OX=7955 GN=si_dkey-177p2.12 PE=1 SV=1
OG0000019	Caenorhabditis_elegans_Y46E12BL.1b Y46E12BL.1b	Danio_rerio_tr_Q68IN2_Q68IN2_DANRE tr|Q68IN2|Q68IN2_DANRE Growth/differentiation factor 8 OS=Danio rerio OX=7955 GN=gdf8l PE=2 SV=1, Danio_rerio_sp_O42222_GDF8_DANRE sp|O42222|GDF8_DANRE Growth/differentiation factor 8 OS=Danio rerio OX=7955 GN=mstnb PE=2 SV=2, Danio_rerio_tr_Q8JFP9_Q8JFP9_DANRE tr|Q8JFP9|Q8JFP9_DANRE Gdf11-like OS=Danio rerio OX=7955 GN=gdf11 PE=2 SV=2, Danio_rerio_tr_A1L1T8_A1L1T8_DANRE tr|A1L1T8|A1L1T8_DANRE Inhibin beta A chain precursor OS=Danio rerio OX=7955 GN=inhbal PE=2 SV=1, Danio_rerio_tr_Q8QGE3_Q8QGE3_DANRE tr|Q8QGE3|Q8QGE3_DANRE Activin beta A subunit OS=Danio rerio OX=7955 GN=wu_fk40h12 PE=2 SV=1, Danio_rerio_tr_Q90261_Q90261_DANRE tr|Q90261|Q90261_DANRE Inhibin beta B chain OS=Danio rerio OX=7955 GN=ZactbetaB PE=2 SV=1, Danio_rerio_tr_B0S7E0_B0S7E0_DANRE tr|B0S7E0|B0S7E0_DANRE Inhibin beta B chain OS=Danio rerio OX=7955 GN=actbb PE=2 SV=1
OG0000019	Caenorhabditis_elegans_F39G3.8 F39G3.8	Danio_rerio_tr_Q1LWW7_Q1LWW7_DANRE tr|Q1LWW7|Q1LWW7_DANRE Bone morphogenetic protein 8A OS=Danio rerio OX=7955 GN=bmp8 PE=3 SV=1, Danio_rerio_tr_Q7T288_Q7T288_DANRE tr|Q7T288|Q7T288_DANRE Bone morphogenetic protein 5 OS=Danio rerio OX=7955 GN=bmp5l PE=2 SV=1, Danio_rerio_tr_Q5CZV5_Q5CZV5_DANRE tr|Q5CZV5|Q5CZV5_DANRE Bmp6 protein OS=Danio rerio OX=7955 GN=zgc_113595 PE=2 SV=1, Danio_rerio_tr_Q9PTF9_Q9PTF9_DANRE tr|Q9PTF9|Q9PTF9_DANRE Bone morphogenetic protein 7 OS=Danio rerio OX=7955 GN=Bmp7 PE=2 SV=1, Danio_rerio_tr_Q08CJ5_Q08CJ5_DANRE tr|Q08CJ5|Q08CJ5_DANRE Bone morphogenetic protein 7 OS=Danio rerio OX=7955 GN=zgc_153025 PE=2 SV=1, Danio_rerio_tr_F1QD07_F1QD07_DANRE tr|F1QD07|F1QD07_DANRE Bone morphogenetic protein 7 isoform X1 OS=Danio rerio OX=7955 GN=zgc_153025 PE=3 SV=1
OG0000021	Caenorhabditis_elegans_F54F3.1c F54F3.1c	Danio_rerio_tr_F1RAG3_F1RAG3_DANRE tr|F1RAG3|F1RAG3_DANRE Nidogen 1a OS=Danio rerio OX=7955 GN=nid1a PE=1 SV=2
