Orthogroup	Nematoda_Chromadorea_Caenorhabditis_elegans	Insecta_Diptera_Drosophila_melanogaster
OG0000010	Caenorhabditis_elegans_ZC101.2e ZC101.2e	Drosophila_melanogaster_tr_Q8MPN3_Q8MPN3_DROME tr|Q8MPN3|Q8MPN3_DROME Perlecan OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_M9NE56_M9NE56_DROME tr|M9NE56|M9NE56_DROME Terribly reduced optic lobes_ isoform AK OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_M9NDL5_M9NDL5_DROME tr|M9NDL5|M9NDL5_DROME Terribly reduced optic lobes_ isoform AF OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NES6_M9NES6_DROME tr|M9NES6|M9NES6_DROME Terribly reduced optic lobes_ isoform AU OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9W4Y3_Q9W4Y3_DROME tr|Q9W4Y3|Q9W4Y3_DROME Terribly reduced optic lobes_ isoform AT OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=4, Drosophila_melanogaster_tr_E1JJC0_E1JJC0_DROME tr|E1JJC0|E1JJC0_DROME Terribly reduced optic lobes_ isoform AH OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_X2JCE8_X2JCE8_DROME tr|X2JCE8|X2JCE8_DROME Terribly reduced optic lobes_ isoform BA OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_X2JE09_X2JE09_DROME tr|X2JE09|X2JE09_DROME Terribly reduced optic lobes_ isoform AV OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_A0A023GRW4_A0A023GRW4_DROME tr|A0A023GRW4|A0A023GRW4_DROME Terribly reduced optic lobes_ isoform AZ OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_Q8IRV8_Q8IRV8_DROME tr|Q8IRV8|Q8IRV8_DROME Terribly reduced optic lobes_ isoform AO OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_M9NDM1_M9NDM1_DROME tr|M9NDM1|M9NDM1_DROME Terribly reduced optic lobes_ isoform AP OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_X2JDK9_X2JDK9_DROME tr|X2JDK9|X2JDK9_DROME Terribly reduced optic lobes_ isoform AS OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_Q9NFS9_Q9NFS9_DROME tr|Q9NFS9|Q9NFS9_DROME Perlecan domain V _Fragment_ OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_Q9NEG1_Q9NEG1_DROME tr|Q9NEG1|Q9NEG1_DROME EG_BACR25B3.11 protein OS=Drosophila melanogaster OX=7227 GN=trol PE=4 SV=1, Drosophila_melanogaster_tr_M9NET2_M9NET2_DROME tr|M9NET2|M9NET2_DROME Terribly reduced optic lobes_ isoform AI OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NGK3_M9NGK3_DROME tr|M9NGK3|M9NGK3_DROME Terribly reduced optic lobes_ isoform AL OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_M9NFR6_M9NFR6_DROME tr|M9NFR6|M9NFR6_DROME Terribly reduced optic lobes_ isoform AY OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q8IRV9_Q8IRV9_DROME tr|Q8IRV9|Q8IRV9_DROME Terribly reduced optic lobes_ isoform AW OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_M9NGL3_M9NGL3_DROME tr|M9NGL3|M9NGL3_DROME Terribly reduced optic lobes_ isoform AM OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q8MSR5_Q8MSR5_DROME tr|Q8MSR5|Q8MSR5_DROME SD04592p OS=Drosophila melanogaster OX=7227 GN=trol PE=2 SV=1, Drosophila_melanogaster_tr_Q8IRV7_Q8IRV7_DROME tr|Q8IRV7|Q8IRV7_DROME Terribly reduced optic lobes_ isoform AG OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=3, Drosophila_melanogaster_tr_X2JAC7_X2JAC7_DROME tr|X2JAC7|X2JAC7_DROME Terribly reduced optic lobes_ isoform AX OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=1, Drosophila_melanogaster_tr_M9NE61_M9NE61_DROME tr|M9NE61|M9NE61_DROME Terribly reduced optic lobes_ isoform AR OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9W4Y4_Q9W4Y4_DROME tr|Q9W4Y4|Q9W4Y4_DROME Terribly reduced optic lobes_ isoform AN OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=5, Drosophila_melanogaster_tr_M9NFS1_M9NFS1_DROME tr|M9NFS1|M9NFS1_DROME Terribly reduced optic lobes_ isoform AQ OS=Drosophila melanogaster OX=7227 GN=trol PE=1 SV=2, Drosophila_melanogaster_tr_Q9NEF9_Q9NEF9_DROME tr|Q9NEF9|Q9NEF9_DROME EG_BACR25B3.1 protein OS=Drosophila melanogaster OX=7227 GN=trol PE=4 SV=1
OG0000010	Caenorhabditis_elegans_T19D12.6 T19D12.6	Drosophila_melanogaster_tr_A1ZA87_A1ZA87_DROME tr|A1ZA87|A1ZA87_DROME SP2353_ isoform A OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=4 SV=1, Drosophila_melanogaster_tr_Q9NGV2_Q9NGV2_DROME tr|Q9NGV2|Q9NGV2_DROME SP2353 OS=Drosophila melanogaster OX=7227 GN=SP2353 PE=2 SV=1
OG0000012	Caenorhabditis_elegans_C37C3.7 C37C3.7	Drosophila_melanogaster_tr_Q9VKA7_Q9VKA7_DROME tr|Q9VKA7|Q9VKA7_DROME VWFC domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Dmel\CG17211 PE=4 SV=1
OG0000013	Caenorhabditis_elegans_E01A2.3 E01A2.3	Drosophila_melanogaster_tr_Q9VM25_Q9VM25_DROME tr|Q9VM25|Q9VM25_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt10 PE=3 SV=4
OG0000013	Caenorhabditis_elegans_F38E1.7 F38E1.7	Drosophila_melanogaster_tr_D2NUH8_D2NUH8_DROME tr|D2NUH8|D2NUH8_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt4 PE=2 SV=1, Drosophila_melanogaster_sp_P40589_WNT4_DROME sp|P40589|WNT4_DROME Protein Wnt-4 OS=Drosophila melanogaster OX=7227 GN=Wnt4 PE=2 SV=2
OG0000014	Caenorhabditis_elegans_T19D2.1 T19D2.1, Caenorhabditis_elegans_F08C6.1c F08C6.1c	Drosophila_melanogaster_tr_Q8T458_Q8T458_DROME tr|Q8T458|Q8T458_DROME AT15733p OS=Drosophila melanogaster OX=7227 GN=stl PE=2 SV=1, Drosophila_melanogaster_tr_Q9W1Z6_Q9W1Z6_DROME tr|Q9W1Z6|Q9W1Z6_DROME Stall_ isoform C OS=Drosophila melanogaster OX=7227 GN=stl PE=4 SV=2
OG0000014	Caenorhabditis_elegans_F53B6.2c F53B6.2c	Drosophila_melanogaster_tr_E1JHP3_E1JHP3_DROME tr|E1JHP3|E1JHP3_DROME No long nerve cord_ isoform D OS=Drosophila melanogaster OX=7227 GN=nolo PE=1 SV=1, Drosophila_melanogaster_tr_Q0E8N3_Q0E8N3_DROME tr|Q0E8N3|Q0E8N3_DROME No long nerve cord_ isoform C OS=Drosophila melanogaster OX=7227 GN=nolo PE=1 SV=1, Drosophila_melanogaster_tr_X2JAM1_X2JAM1_DROME tr|X2JAM1|X2JAM1_DROME No long nerve cord_ isoform G OS=Drosophila melanogaster OX=7227 GN=nolo PE=1 SV=1, Drosophila_melanogaster_tr_Q8MRW9_Q8MRW9_DROME tr|Q8MRW9|Q8MRW9_DROME SD16815p OS=Drosophila melanogaster OX=7227 GN=nolo PE=2 SV=1, Drosophila_melanogaster_tr_Q9V9Q7_Q9V9Q7_DROME tr|Q9V9Q7|Q9V9Q7_DROME No long nerve cord_ isoform A OS=Drosophila melanogaster OX=7227 GN=nolo PE=1 SV=2, Drosophila_melanogaster_tr_X2JEX4_X2JEX4_DROME tr|X2JEX4|X2JEX4_DROME No long nerve cord_ isoform F OS=Drosophila melanogaster OX=7227 GN=nolo PE=1 SV=1, Drosophila_melanogaster_tr_Q9V9Q9_Q9V9Q9_DROME tr|Q9V9Q9|Q9V9Q9_DROME GH19218p OS=Drosophila melanogaster OX=7227 GN=nolo PE=1 SV=2
OG0000014	Caenorhabditis_elegans_C37C3.6c C37C3.6c	Drosophila_melanogaster_sp_Q868Z9_PPN_DROME sp|Q868Z9|PPN_DROME Papilin OS=Drosophila melanogaster OX=7227 GN=Ppn PE=1 SV=2
OG0000014	Caenorhabditis_elegans_F25H8.3b F25H8.3b	Drosophila_melanogaster_tr_A0A0B4KHK4_A0A0B4KHK4_DROME tr|A0A0B4KHK4|A0A0B4KHK4_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform C OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=4 SV=1, Drosophila_melanogaster_tr_Q7KSH7_Q7KSH7_DROME tr|Q7KSH7|Q7KSH7_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform E OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=4 SV=1, Drosophila_melanogaster_tr_Q8SXB0_Q8SXB0_DROME tr|Q8SXB0|Q8SXB0_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform B OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=2 SV=1
OG0000016	Caenorhabditis_elegans_H36L18.1 H36L18.1	Drosophila_melanogaster_sp_Q8MPP3_D2MP_DROME sp|Q8MPP3|D2MP_DROME Matrix metalloproteinase-2 OS=Drosophila melanogaster OX=7227 GN=Mmp2 PE=2 SV=1, Drosophila_melanogaster_tr_Q8MLN6_Q8MLN6_DROME tr|Q8MLN6|Q8MLN6_DROME Matrix metalloproteinase 1_ isoform D OS=Drosophila melanogaster OX=7227 GN=Mmp1 PE=3 SV=2, Drosophila_melanogaster_tr_Q9GTK3_Q9GTK3_DROME tr|Q9GTK3|Q9GTK3_DROME Matrix metalloproteinase 1 OS=Drosophila melanogaster OX=7227 GN=Mmp1 PE=2 SV=1, Drosophila_melanogaster_tr_A0A0B4JCU7_A0A0B4JCU7_DROME tr|A0A0B4JCU7|A0A0B4JCU7_DROME Matrix metalloproteinase 1_ isoform E OS=Drosophila melanogaster OX=7227 GN=Mmp1 PE=3 SV=1, Drosophila_melanogaster_tr_Q9W122_Q9W122_DROME tr|Q9W122|Q9W122_DROME Matrix metalloproteinase 1_ isoform C OS=Drosophila melanogaster OX=7227 GN=Mmp1 PE=2 SV=3, Drosophila_melanogaster_tr_A0A0B4JDA7_A0A0B4JDA7_DROME tr|A0A0B4JDA7|A0A0B4JDA7_DROME Matrix metalloproteinase 1_ isoform H OS=Drosophila melanogaster OX=7227 GN=Mmp1 PE=3 SV=1, Drosophila_melanogaster_tr_A0A0B4K7H5_A0A0B4K7H5_DROME tr|A0A0B4K7H5|A0A0B4K7H5_DROME Matrix metalloproteinase 1_ isoform J OS=Drosophila melanogaster OX=7227 GN=Mmp1 PE=3 SV=1, Drosophila_melanogaster_tr_A0A0B4JD53_A0A0B4JD53_DROME tr|A0A0B4JD53|A0A0B4JD53_DROME Matrix metalloproteinase 1_ isoform I OS=Drosophila melanogaster OX=7227 GN=Mmp1 PE=3 SV=1
