Orthogroup	Chordata_Vertebrata_Bos_taurus	Cnidaria_Anthozoa_Porites_asteroides
OG0000006	NP_001033618.1 coagulation factor XIII B chain precursor [Bos taurus]	Porites_asteroides_isotig22690 isotig22690 extracted_CDS GOMatch=C3YPL3 GOTerms=GO_0003824_GO_0004252_GO_0005634_GO_0006508_GO_0008233_GO_0008236_GO_0016787_GO_0030528 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup20958 length=365 numContigs=1, Porites_asteroides_isotig19337 isotig19337 extracted_CDS GOMatch=C3ZHY1 GOTerms=GO_0003824_GO_0004252_GO_0005488_GO_0005529_GO_0005576_GO_0006508_GO_0010466_GO_0030414 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=A2AVA0 gene=isogroup17605 length=402 numContigs=1, Porites_asteroides_isotig15445 isotig15445 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup13713 length=470 numContigs=1, Porites_asteroides_GCKDGN102E1JAR GCKDGN102E1JAR extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=Multiple_domain_complement_regulator_1_ Match_Acc=Q45NC2 length=342 region=2 run=R_2010_02_19_08_49_25_ xy=1950_2657, Porites_asteroides_GCKDGN102DDUBU GCKDGN102DDUBU extracted_CDS length=345 xy=1270_2872 run=R_2010_02_19_08_49_25_ region=2 Gene=CUB_and_sushi_domain-containing_protein_1_ Match_Acc=Q96PZ7, Porites_asteroides_isotig06327 isotig06327 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=cDNA_FLJ90753_fis__clone_PLACE3000213__moderately_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KQM9 gene=isogroup04595 length=924 numContigs=1, Porites_asteroides_isotig05899 isotig05899 extracted_CDS GOMatch=C3Y0A3 GOTerms=GO_0005488_GO_0005509_GO_0005529 Gene=CUB_and_sushi_domain-containing_protein_2_ Match_Acc=Q7Z408 gene=isogroup04167 length=985 numContigs=1
OG0000006	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]	Porites_asteroides_isotig00812 isotig00812 extracted_CDS GOMatch=C3ZHX9 GOTerms=GO_0004867 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup00234 length=2835 numContigs=3, Porites_asteroides_isotig00811 isotig00811 extracted_CDS GOMatch=C3ZHX9 GOTerms=GO_0004867 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup00234 length=2836 numContigs=3, Porites_asteroides_GE914402 GE914402 extracted_CDS Past_26_20453_E05.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_isotig12781 isotig12781 extracted_CDS GOMatch=A7SNM7 GOTerms=GO_0005509 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=P0C6B8 gene=isogroup11049 length=545 numContigs=1, Porites_asteroides_isotig03891 isotig03891 extracted_CDS GOMatch=C3YF05 GOTerms=GO_0005488 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q7Z407 gene=isogroup02159 length=1474 numContigs=1, Porites_asteroides_GCKDGN101B1100 GCKDGN101B1100 extracted_CDS GOMatch=C3ZSQ8 GOTerms=GO_0000166_GO_0004672_GO_0004713_GO_0005488_GO_0005509_GO_0005524_GO_0005529_GO_0006468_GO_0016301_GO_0016310_GO_0016740 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q7Z407 length=290 region=1 run=R_2010_02_19_08_49_25_ xy=0726_1586, Porites_asteroides_isotig14115 isotig14115 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=CUB_and_sushi_domain-containing_protein_2_ Match_Acc=Q7Z408 gene=isogroup12383 length=501 numContigs=1, Porites_asteroides_GCKDGN101BEMV9 GCKDGN101BEMV9 extracted_CDS GOMatch=C3YF05 GOTerms=GO_0005488 Gene=Furrowed__putative_ Match_Acc=B7QCS5 length=402 region=1 run=R_2010_02_19_08_49_25_ xy=0459_2519, Porites_asteroides_isotig23823 isotig23823 extracted_CDS GOMatch=B9X085 GOTerms=GO_0003824_GO_0004252_GO_0005529_GO_0006508_GO_0008233 Gene=CUB_and_sushi_domain-containing_protein_1_ Match_Acc=Q923L3 gene=isogroup22091 length=348 numContigs=1
OG0000006	XP_059739360.1 sushi repeat-containing protein SRPX2 isoform X1 [Bos taurus], NP_001035579.1 sushi repeat-containing protein SRPX precursor [Bos taurus]	Porites_asteroides_isotig21103 isotig21103 extracted_CDS GOMatch=C3YWM8 GOTerms=GO_0005509 Gene=Sushi_repeat-containing_protein_SRPX2_ Match_Acc=C0HBD7 gene=isogroup19371 length=384 numContigs=1, Porites_asteroides_GCKDGN103FYMAO GCKDGN103FYMAO extracted_CDS GOMatch=C3XPW7 GOTerms=GO_0005509 length=291 region=3 run=R_2010_02_19_08_49_25_ xy=2327_1998, Porites_asteroides_isotig03322 isotig03322 extracted_CDS GOMatch=C3YC48 GOTerms=GO_0005509_GO_0005529 Gene=cDNA_FLJ16013_fis__clone_PLACE5000171__highly_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KV07 gene=isogroup01590 length=2069 numContigs=1
OG0000006	XP_010806541.2 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Bos taurus]	Porites_asteroides_GE917285 GE917285 extracted_CDS Past_34_20453_M08.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_GE915324 GE915324 extracted_CDS Past_28_20453_P11.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence
OG0000006	XP_002691171.2 fibulin-7 [Bos taurus]	Porites_asteroides_isotig20852 isotig20852 extracted_CDS GOMatch=A7SQ46 GOTerms=GO_0005509 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=Q4LDE5 gene=isogroup19120 length=386 numContigs=1
OG0000007	XP_024855952.1 growth arrest-specific protein 6 [Bos taurus]	Porites_asteroides_isotig01547 isotig01547 extracted_CDS GOMatch=C3Z8P3 GOTerms=GO_0005509 Gene=Growth_arrest-specific_6_ Match_Acc=Q7T3H4 gene=isogroup00606 length=705 numContigs=2
OG0000007	NP_001012687.1 fatty acid synthase [Bos taurus]	Porites_asteroides_GCKDGN101B8517 GCKDGN101B8517 extracted_CDS GOMatch=C3YFE4 GOTerms=GO_0005509_GO_0016020 Gene=Matrilin-like_protein_ Match_Acc=C7SB45 length=395 region=1 run=R_2010_02_19_08_49_25_ xy=0807_1629, Porites_asteroides_GCKDGN102DPUBC GCKDGN102DPUBC extracted_CDS GOMatch=C3ZXG8 GOTerms=GO_0005509_GO_0016020 Gene=Matn2-prov_protein_ Match_Acc=Q7ZX63 length=435 region=2 run=R_2010_02_19_08_49_25_ xy=1407_1574, Porites_asteroides_isotig20832 isotig20832 extracted_CDS GOMatch=B3SE10 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=Q54YP0 gene=isogroup19100 length=387 numContigs=1
OG0000007	DAA30889.1 TPA_ 6720455I24Rik homolog [Bos taurus]	Porites_asteroides_isotig22939 isotig22939 extracted_CDS GOMatch=C3YL45 GOTerms=GO_0005488_GO_0007160 Gene=Alpha-tectorin-like_protein_ Match_Acc=B2XBP1 gene=isogroup21207 length=358 numContigs=1
OG0000007	XP_024850630.1 mucin-4 isoform X1 [Bos taurus]	Porites_asteroides_isotig03396 isotig03396 extracted_CDS GOMatch=C3ZXG8 GOTerms=GO_0005509_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup01664 length=1937 numContigs=1, Porites_asteroides_isotig10752 isotig10752 extracted_CDS GOMatch=B3RS17 GOTerms=GO_0005044_GO_0005509_GO_0007160_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup09020 length=633 numContigs=1
OG0000009	NP_001070436.1 mannan-binding lectin serine protease 1 precursor [Bos taurus], NP_001179001.1 mannan-binding lectin serine protease 2 precursor [Bos taurus]	Porites_asteroides_isotig01235 isotig01235 extracted_CDS GOMatch=B9X085 GOTerms=GO_0003824_GO_0004252_GO_0005529_GO_0006508_GO_0008233 Gene=Mannose-binding_lectin_associated_serine_protease_ Match_Acc=B9X085 gene=isogroup00450 length=1223 numContigs=2
OG0000009	sp|Q5E9P5.1|PAMR1_BOVIN RecName_ Full=Inactive serine protease PAMR1; AltName_ Full=Peptidase domain-containing protein associated with muscle regeneration 1; AltName_ Full=Regeneration-associated muscle protease homolog; Flags_ Precursor	Porites_asteroides_isotig22198 isotig22198 extracted_CDS GOMatch=Q4T392 GOTerms=GO_0005509 Gene=Subfamily_M12A_unassigned_peptidase__M12_family__ Match_Acc=C4Q3C1 gene=isogroup20466 length=369 numContigs=1, Porites_asteroides_isotig28996 isotig28996 extracted_CDS GOMatch=Q4SHD4 GOTerms=GO_0003824_GO_0004252_GO_0006508 Gene=Neuropilin-2a1_receptor_ Match_Acc=Q8UVR0 gene=isogroup27264 length=257 numContigs=1
OG0000009	XP_024845605.1 CUB domain-containing protein 2 [Bos taurus]	Porites_asteroides_isotig13656 isotig13656 extracted_CDS GOMatch=Q4T392 GOTerms=GO_0005509 Gene=Bone_morphogenetic_protein_1_ Match_Acc=A9JR45 gene=isogroup11924 length=514 numContigs=1, Porites_asteroides_isotig18738 isotig18738 extracted_CDS GOMatch=Q75UQ6 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Similar_to_procollagen_C-endopeptidase_enhancer_ Match_Acc=B3DJG2 gene=isogroup17006 length=412 numContigs=1, Porites_asteroides_GCKDGN102C3UCD GCKDGN102C3UCD extracted_CDS GOMatch=Q4A3R3 GOTerms=GO_0005044_GO_0005576_GO_0006810_GO_0007275_GO_0015031_GO_0016020_GO_0016021_GO_0019898_GO_0030154_GO_0030658_GO_0031410_GO_0035375_GO_0042589_GO_0051636_GO_0051637 Gene=Deleted_in_malignant_brain_tumors_1_protein_ Match_Acc=Q4A3R3 length=411 region=2 run=R_2010_02_19_08_49_25_ xy=1156_3275, Porites_asteroides_isotig11237 isotig11237 extracted_CDS GOMatch=Q4H2P2 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Tolloid-like_1_ Match_Acc=B3DJN6 gene=isogroup09505 length=609 numContigs=1, Porites_asteroides_isotig01226 isotig01226 extracted_CDS GOMatch=C3ZAW7 GOTerms=GO_0005488 Gene=Neuropilin-2_ Match_Acc=O60462 gene=isogroup00446 length=2131 numContigs=2, Porites_asteroides_isotig01227 isotig01227 extracted_CDS GOMatch=B3RPJ1 GOTerms=GO_0005509 Gene=Tolloid-like_protein_1_ Match_Acc=Q62381 gene=isogroup00446 length=728 numContigs=2, Porites_asteroides_isotig04066 isotig04066 extracted_CDS GOMatch=C3XYR0 GOTerms=GO_0007338 Gene=Bone_morphogenetic_protein_1_isoform_1__variant__Fragment__ Match_Acc=Q59F71 gene=isogroup02334 length=1392 numContigs=1
OG0000010	XP_015316344.2 basement membrane-specific heparan sulfate proteoglycan core protein isoform X1 [Bos taurus]	Porites_asteroides_isotig26332 isotig26332 extracted_CDS GOMatch=B3MYW1 GOTerms=GO_0007155_GO_0031012 Gene=Terribly_reduced_optic_lobes__isoform_A_ Match_Acc=Q9W4Y4 gene=isogroup24600 length=312 numContigs=1
OG0000010	XP_005217262.1 agrin isoform X1 [Bos taurus]	Porites_asteroides_isotig10815 isotig10815 extracted_CDS GOMatch=D2I4P4 GOTerms=GO_0005605_GO_0007213_GO_0031012_GO_0043113_GO_0043236 Gene=NtA_agrin_ Match_Acc=B3GQ72 gene=isogroup09083 length=632 numContigs=1
OG0000010	sp|Q1LZB9.1|FSTL3_BOVIN RecName_ Full=Follistatin-related protein 3; AltName_ Full=Follistatin-like protein 3; Flags_ Precursor	Porites_asteroides_isotig11269 isotig11269 extracted_CDS GOMatch=Q6PW72 GOTerms=GO_0005488 Gene=Follistatin_ Match_Acc=Q6PW72 gene=isogroup09537 length=603 numContigs=1
OG0000012	sp|P98091.2|MUC19_BOVIN RecName_ Full=Mucin-19; Short=MUC-19; AltName_ Full=Submaxillary mucin-like protein; Flags_ Precursor, XP_024843363.1 LOW QUALITY PROTEIN_ mucin-2 [Bos taurus], CBL80808.1 TPA_ mucin-5AC [Bos taurus], XP_059739142.1 mucin-5B [Bos taurus], sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, pir||A34102 von Willebrand factor - bovine _fragments_, XP_059742803.1 otogelin-like protein [Bos taurus], DAA22321.1 TPA_ Otogelin-like [Bos taurus]	Porites_asteroides_isotig20047 isotig20047 extracted_CDS GOMatch=A7RWN6 GOTerms=GO_0004867 Gene=Gastric_mucin__Fragment__ Match_Acc=O75372 gene=isogroup18315 length=395 numContigs=1
OG0000013	NP_001192492.1 protein Wnt-6 precursor [Bos taurus]	Porites_asteroides_GCKDGN102C4DAL GCKDGN102C4DAL extracted_CDS GOMatch=B0FK92 GOTerms=GO_0004871_GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=B0FK92 length=394 region=2 run=R_2010_02_19_08_49_25_ xy=1162_3259
OG0000013	NP_001107663.1 proto-oncogene Wnt-1 precursor [Bos taurus]	Porites_asteroides_isotig14310 isotig14310 extracted_CDS GOMatch=Q5J2D4 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5J2D4 gene=isogroup12578 length=500 numContigs=1
OG0000013	XP_024838518.1 protein Wnt-4 isoform X1 [Bos taurus]	Porites_asteroides_GCKDGN103GNGAZ GCKDGN103GNGAZ extracted_CDS GOMatch=A7SZ54 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7SZ54 length=452 region=3 run=R_2010_02_19_08_49_25_ xy=2610_1465
OG0000013	NP_001075925.1 protein Wnt-11 [Bos taurus]	Porites_asteroides_isotig28579 isotig28579 extracted_CDS GOMatch=Q5IRC2 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IRC2 gene=isogroup26847 length=267 numContigs=1
OG0000013	NP_001179717.1 protein Wnt-7a [Bos taurus], XP_024848596.2 protein Wnt-7b isoform X1 [Bos taurus]	Porites_asteroides_isotig20937 isotig20937 extracted_CDS GOMatch=D2HKK9 GOTerms=GO_0001701_GO_0001944_GO_0003338_GO_0004871_GO_0005109_GO_0005576_GO_0005578_GO_0006917_GO_0007223_GO_0007275_GO_0008284_GO_0010628_GO_0016055_GO_0016332_GO_0021871_GO_0022009_GO_0030182_GO_0030324_GO_0032364_GO_0042475_GO_0042592_GO_0044237_GO_0045669_GO_0045879_GO_0048144_GO_0048568_GO_0050808_GO_0051145_GO_0060033_GO_0060070_GO_0060425_GO_0060428_GO_0060482_GO_0060484_GO_0060535_GO_0060560_GO_0060669_GO_0060710_GO_0061180_GO_0071300_GO_0072053_GO_0072054_GO_0072060_GO_0072061_GO_0072089_GO_0072205_GO_0072207_GO_0072236 Gene=Protein_Wnt__Fragment__ Match_Acc=Q6PDY6 gene=isogroup19205 length=385 numContigs=1
OG0000013	NP_001179299.1 protein Wnt-8a [Bos taurus], XP_059737951.1 protein Wnt-8b [Bos taurus]	Porites_asteroides_isotig03246 isotig03246 extracted_CDS GOMatch=A7RSS8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7RSS8 gene=isogroup01514 length=2357 numContigs=1, Porites_asteroides_isotig05535 isotig05535 extracted_CDS GOMatch=Q5IHV8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IHV8 gene=isogroup03803 length=1046 numContigs=1
OG0000013	DAA29954.1 TPA_ wingless-type MMTV integration site family_ member 10B-like [Bos taurus], XP_005202916.1 protein Wnt-10a isoform X1 [Bos taurus]	Porites_asteroides_GCKDGN101BB3QF GCKDGN101BB3QF extracted_CDS GOMatch=Q5J2D3 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5J2D3 length=397 region=1 run=R_2010_02_19_08_49_25_ xy=0430_3157
