Orthogroup	Chordata_Vertebrata_Bos_taurus	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000012	XP_015330193.2 LOW QUALITY PROTEIN_ alpha-tectorin [Bos taurus], NP_001071465.1 BMP-binding endothelial regulator protein precursor [Bos taurus], DAA30402.1 TPA_ kielin/chordin-like protein [Bos taurus], NP_001178138.1 von Willebrand factor C and EGF domain-containing protein precursor [Bos taurus]	Pleurobrachia_bachei_sb_2662653_ sb_2662653_, Pleurobrachia_bachei_sb_2662654_ sb_2662654_, Pleurobrachia_bachei_sb_2662655_ sb_2662655_, Pleurobrachia_bachei_sb_2650533_ sb_2650533_, Pleurobrachia_bachei_sb_2642902_ sb_2642902_, Pleurobrachia_bachei_sb_2653924_ sb_2653924_, Pleurobrachia_bachei_sb_2638518_ sb_2638518_, Pleurobrachia_bachei_sb_2669102_ sb_2669102_, Pleurobrachia_bachei_sb_2647317_ sb_2647317_, Pleurobrachia_bachei_sb_2649652_ sb_2649652_, Pleurobrachia_bachei_sb_2648688_ sb_2648688_, Pleurobrachia_bachei_sb_2663772_ sb_2663772_, Pleurobrachia_bachei_sb_2643491_ sb_2643491_, Pleurobrachia_bachei_sb_2668726_ sb_2668726_
OG0000013	NP_001192492.1 protein Wnt-6 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2669302_ sb_2669302_
OG0000013	XP_024836921.2 protein Wnt-9b [Bos taurus], DAA28331.1 TPA_ wingless-type MMTV integration site 9A-like [Bos taurus]	Pleurobrachia_bachei_sb_2647019_ sb_2647019_, Pleurobrachia_bachei_sb_2664184_ sb_2664184_, Pleurobrachia_bachei_sb_2664185_ sb_2664185_
OG0000015	XP_005225807.1 beta-tectorin isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2660647_ sb_2660647_
OG0000015	sp|Q29RU2.1|OIT3_BOVIN RecName_ Full=Oncoprotein-induced transcript 3 protein; Flags_ Precursor	Pleurobrachia_bachei_sb_2660649_ sb_2660649_
OG0000017	NP_001092467.1 protein Z-dependent protease inhibitor precursor [Bos taurus], sp|P34955.1|A1AT_BOVIN RecName_ Full=Alpha-1-antiproteinase; AltName_ Full=Alpha-1-antitrypsin; AltName_ Full=Alpha-1-proteinase inhibitor; AltName_ Full=Serpin A1; Flags_ Precursor, sp|P34955.1|A1AT_BOVIN RecName_ Full=Alpha-1-antiproteinase; AltName_ Full=Alpha-1-antitrypsin; AltName_ Full=Alpha-1-proteinase inhibitor; AltName_ Full=Serpin A1; Flags_ Precursor, XP_059735117.1 serpin A11 isoform X1 [Bos taurus], sp|Q9TT36.1|THBG_BOVIN RecName_ Full=Thyroxine-binding globulin; AltName_ Full=Serpin A7; AltName_ Full=T4-binding globulin; Flags_ Precursor, XP_024838010.2 LOW QUALITY PROTEIN_ kallistatin [Bos taurus], sp|Q9N2I2.1|IPSP_BOVIN RecName_ Full=Plasma serine protease inhibitor; AltName_ Full=Protein C inhibitor; Short=PCI; AltName_ Full=Serpin A5; Flags_ Precursor, sp|A6QPQ2.1|SPA38_BOVIN RecName_ Full=Serpin A3-8; Flags_ Precursor, sp|A6QPQ2.1|SPA38_BOVIN RecName_ Full=Serpin A3-8; Flags_ Precursor, sp|A2I7M9.1|SPA32_BOVIN RecName_ Full=Serpin A3-2; Flags_ Precursor, DAA17272.1 TPA_ serpin A3-6 [Bos taurus], sp|E1BF81.1|CBG_BOVIN RecName_ Full=Corticosteroid-binding globulin; Short=CBG; AltName_ Full=Serpin A6; AltName_ Full=Transcortin; Flags_ Precursor, NP_001070985.1 serpin A12 precursor [Bos taurus], NP_001098516.1 heparin cofactor 2 precursor [Bos taurus], NP_777246.1 factor XIIa inhibitor precursor [Bos taurus], sp|P28800.2|A2AP_BOVIN RecName_ Full=Alpha-2-antiplasmin; Short=Alpha-2-AP; AltName_ Full=Alpha-2-plasmin inhibitor; Short=Alpha-2-PI; AltName_ Full=Serpin F2; Flags_ Precursor	Pleurobrachia_bachei_sb_2667785_ sb_2667785_, Pleurobrachia_bachei_sb_2652454_ sb_2652454_, Pleurobrachia_bachei_sb_2657074_ sb_2657074_, Pleurobrachia_bachei_sb_2648544_ sb_2648544_
OG0000019	NP_001193227.1 growth/differentiation factor 15 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2656361_ sb_2656361_
OG0000019	XP_002687467.2 growth/differentiation factor 11 [Bos taurus]	Pleurobrachia_bachei_sb_2666226_ sb_2666226_
OG0000019	XP_024845991.1 bone morphogenetic protein 8B [Bos taurus], NP_001193798.2 bone morphogenetic protein 8A precursor [Bos taurus], NP_001291945.1 bone morphogenetic protein 5 precursor [Bos taurus], NP_001192944.1 bone morphogenetic protein 7 precursor [Bos taurus], sp|P55106.2|GDF6_BOVIN RecName_ Full=Growth/differentiation factor 6; Short=GDF-6; AltName_ Full=Bone morphogenetic protein 13; Short=BMP-13; AltName_ Full=Cartilage-derived morphogenetic protein 2; Short=CDMP-2; Flags_ Precursor, NP_001179202.1 growth/differentiation factor 5 precursor [Bos taurus], NP_001193030.1 growth/differentiation factor 7 precursor [Bos taurus], sp|P22444.2|BMP3_BOVIN RecName_ Full=Bone morphogenetic protein 3; Short=BMP-3; AltName_ Full=Osteogenin; Flags_ Precursor, sp|Q08DX6.1|GDF10_BOVIN RecName_ Full=Growth/differentiation factor 10; Short=GDF-10; AltName_ Full=Bone morphogenetic protein 3B; Short=BMP-3B; Flags_ Precursor, XP_010804844.1 embryonic growth/differentiation factor 1 [Bos taurus], XP_002687893.2 growth/differentiation factor 3 [Bos taurus], NP_001179047.1 bone morphogenetic protein 10 precursor [Bos taurus], NP_001179349.1 growth/differentiation factor 2 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2641584_ sb_2641584_
OG0000022	sp|P81287.3|ANXA5_BOVIN RecName_ Full=Annexin A5; AltName_ Full=Anchorin CII; AltName_ Full=Annexin V; AltName_ Full=Annexin-5; AltName_ Full=Calphobindin I; Short=CPB-I; AltName_ Full=Endonexin II; AltName_ Full=Lipocortin V; AltName_ Full=Placental anticoagulant protein 4; AltName_ Full=Placental anticoagulant protein I; Short=PAP-I; AltName_ Full=Thromboplastin inhibitor; AltName_ Full=Vascular anticoagulant-alpha; Short=VAC-alpha, sp|P79134.2|ANXA6_BOVIN RecName_ Full=Annexin A6; AltName_ Full=Annexin VI; AltName_ Full=Annexin-6, NP_776666.1 annexin A8 [Bos taurus], sp|Q95L54.1|ANXA8_BOVIN RecName_ Full=Annexin A8; AltName_ Full=Annexin VIII; AltName_ Full=Annexin-8, pdb|4X9P|A Chain A_ Annexin A2, sp|P04272.2|ANXA2_BOVIN RecName_ Full=Annexin A2; AltName_ Full=Annexin II; AltName_ Full=Annexin-2; AltName_ Full=Calpactin I heavy chain; AltName_ Full=Calpactin-1 heavy chain; AltName_ Full=Chromobindin-8; AltName_ Full=Lipocortin II; AltName_ Full=Placental anticoagulant protein IV; Short=PAP-IV; AltName_ Full=Protein I; AltName_ Full=p36, sp|P46193.2|ANXA1_BOVIN RecName_ Full=Annexin A1; AltName_ Full=Annexin I; AltName_ Full=Annexin-1; AltName_ Full=Calpactin II; AltName_ Full=Calpactin-2; AltName_ Full=Chromobindin-9; AltName_ Full=Lipocortin I; AltName_ Full=Phospholipase A2 inhibitory protein; AltName_ Full=p35; Contains_ RecName_ Full=Annexin Ac2-26, sp|P13214.2|ANXA4_BOVIN RecName_ Full=Annexin A4; AltName_ Full=35-beta calcimedin; AltName_ Full=Annexin IV; AltName_ Full=Annexin-4; AltName_ Full=Carbohydrate-binding protein p33/p41; AltName_ Full=Chromobindin-4; AltName_ Full=Endonexin I; AltName_ Full=Lipocortin IV; AltName_ Full=P32.5; AltName_ Full=PP4-X; AltName_ Full=Placental anticoagulant protein II; Short=PAP-II; AltName_ Full=Protein II, sp|P13214.2|ANXA4_BOVIN RecName_ Full=Annexin A4; AltName_ Full=35-beta calcimedin; AltName_ Full=Annexin IV; AltName_ Full=Annexin-4; AltName_ Full=Carbohydrate-binding protein p33/p41; AltName_ Full=Chromobindin-4; AltName_ Full=Endonexin I; AltName_ Full=Lipocortin IV; AltName_ Full=P32.5; AltName_ Full=PP4-X; AltName_ Full=Placental anticoagulant protein II; Short=PAP-II; AltName_ Full=Protein II, NP_776927.1 annexin A11 [Bos taurus], sp|Q3SWX7.3|ANXA3_BOVIN RecName_ Full=Annexin A3; AltName_ Full=Annexin III; AltName_ Full=Annexin-3, NP_001178987.1 annexin A10 [Bos taurus]	Pleurobrachia_bachei_sb_2639090_ sb_2639090_, Pleurobrachia_bachei_sb_2646697_ sb_2646697_, Pleurobrachia_bachei_sb_2657768_ sb_2657768_, Pleurobrachia_bachei_sb_2659001_ sb_2659001_
OG0000022	XP_005226473.2 annexin A7 isoform X1 [Bos taurus], AAI33571.1 ANXA13 protein [Bos taurus]	Pleurobrachia_bachei_sb_2664400_ sb_2664400_, Pleurobrachia_bachei_sb_2669029_ sb_2669029_, Pleurobrachia_bachei_sb_2669026_ sb_2669026_
OG0000024	sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor, sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor	Pleurobrachia_bachei_sb_2642401_ sb_2642401_, Pleurobrachia_bachei_sb_2666091_ sb_2666091_, Pleurobrachia_bachei_sb_2668118_ sb_2668118_, Pleurobrachia_bachei_sb_2639255_ sb_2639255_
OG0000024	sp|Q08E66.1|WFKN2_BOVIN RecName_ Full=WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 2; Flags_ Precursor, NP_001192725.1 WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2659893_ sb_2659893_
OG0000030	XP_002691532.1 disintegrin and metalloproteinase domain-containing protein 17 isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2669546_ sb_2669546_, Pleurobrachia_bachei_sb_2648059_ sb_2648059_, Pleurobrachia_bachei_sb_2657674_ sb_2657674_, Pleurobrachia_bachei_sb_2655687_ sb_2655687_
OG0000030	sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor, sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor	Pleurobrachia_bachei_sb_2643788_ sb_2643788_, Pleurobrachia_bachei_sb_2660324_ sb_2660324_, Pleurobrachia_bachei_sb_2642194_ sb_2642194_
OG0000036	XP_059731736.1 multiple epidermal growth factor-like domains protein 6 isoform X1 [Bos taurus], NP_001092657.1 epidermal growth factor-like protein 8 precursor [Bos taurus], XP_059747443.1 epidermal growth factor-like protein 7 isoform X1 [Bos taurus], XP_059739882.1 LOW QUALITY PROTEIN_ epidermal growth factor-like protein 6 [Bos taurus], XP_024849279.1 nephronectin isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2653653_ sb_2653653_, Pleurobrachia_bachei_sb_2644258_ sb_2644258_
OG0000041	XP_002699146.2 von Willebrand factor A domain-containing protein 5A [Bos taurus], XP_024838837.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2664183_ sb_2664183_
OG0000041	DAA23896.1 TPA_ poly _ADP-ribose_ polymerase family_ member 4 [Bos taurus]	Pleurobrachia_bachei_sb_2662959_ sb_2662959_
OG0000042	sp|Q28142.2|NRX1B_BOVIN RecName_ Full=Neurexin-1-beta; AltName_ Full=Neurexin I-beta; Flags_ Precursor	Pleurobrachia_bachei_sb_2637965_ sb_2637965_
OG0000044	sp|P51176.1|TGM2_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase 2; AltName_ Full=Isopeptidase TGM2; AltName_ Full=Protein-glutamine deamidase TGM2; AltName_ Full=Protein-glutamine dopaminyltransferase TGM2; AltName_ Full=Protein-glutamine histaminyltransferase TGM2; AltName_ Full=Protein-glutamine noradrenalinyltransferase TGM2; AltName_ Full=Protein-glutamine serotonyltransferase TGM2; AltName_ Full=Tissue transglutaminase; Short=TG; AltName_ Full=Transglutaminase-2; Short=TGase-2, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, XP_059748950.1 protein-glutamine gamma-glutamyltransferase 6 [Bos taurus], XP_010815593.1 protein-glutamine gamma-glutamyltransferase Z [Bos taurus], XP_005222254.2 protein-glutamine gamma-glutamyltransferase 5 isoform X1 [Bos taurus], NP_001161366.2 coagulation factor XIII A chain [Bos taurus], XP_005211321.1 protein-glutamine gamma-glutamyltransferase K isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2650976_ sb_2650976_, Pleurobrachia_bachei_sb_2661328_ sb_2661328_
OG0000045	XP_024840205.1 laminin subunit alpha-3 isoform X1 [Bos taurus], DAA23013.1 TPA_ laminin alpha 5-like [Bos taurus], XP_024840372.1 laminin subunit alpha-1 isoform X1 [Bos taurus], XP_002690266.2 laminin subunit alpha-2 [Bos taurus]	Pleurobrachia_bachei_sb_2652096_ sb_2652096_, Pleurobrachia_bachei_sb_2652094_ sb_2652094_
OG0000045	NP_001192894.1 laminin subunit alpha-4 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2660985_ sb_2660985_
OG0000048	NP_001096797.1 nephrocan precursor [Bos taurus], DAA28111.1 TPA_ Podnl1 protein-like [Bos taurus], NP_001179156.1 podocan [Bos taurus], XP_059731202.1 fibromodulin isoform X1 [Bos taurus], sp|O77742.1|OMD_BOVIN RecName_ Full=Osteomodulin; AltName_ Full=Keratan sulfate proteoglycan osteomodulin; Short=KSPG osteomodulin; AltName_ Full=Osteoadherin; Short=OSAD; Flags_ Precursor, sp|Q9GKN8.1|PRELP_BOVIN RecName_ Full=Prolargin; AltName_ Full=Proline-arginine-rich end leucine-rich repeat protein; Flags_ Precursor, XP_024851602.1 extracellular matrix protein 2 isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2663997_ sb_2663997_
OG0000049	XP_024838889.2 plexin-A1 isoform X1 [Bos taurus], XP_059739547.1 plexin-A3 isoform X1 [Bos taurus], NP_001193586.1 plexin-A2 precursor [Bos taurus], NP_001178433.1 plexin-A4 precursor [Bos taurus], XP_024839049.1 plexin-B1 isoform X1 [Bos taurus], DAA13207.1 TPA_ plexin B3-like [Bos taurus], XP_059742216.1 plexin-B2 isoform X2 [Bos taurus], DAA16814.1 TPA_ plexin D1-like [Bos taurus], XP_059742393.1 plexin-C1 isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2663696_ sb_2663696_
OG0000054	XP_024837424.1 pro-interleukin-16 isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2665304_ sb_2665304_
OG0000059	XP_005223362.1 signal peptide_ CUB and EGF-like domain-containing protein 3 isoform X1 [Bos taurus], XP_024848586.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X1 [Bos taurus], XP_005216154.1 signal peptide_ CUB and EGF-like domain-containing protein 2 isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2668414_ sb_2668414_, Pleurobrachia_bachei_sb_2668415_ sb_2668415_
OG0000065	NP_001095540.1 glypican-5 precursor [Bos taurus], NP_001030540.1 glypican-3 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2642298_ sb_2642298_, Pleurobrachia_bachei_sb_2651946_ sb_2651946_, Pleurobrachia_bachei_sb_2652826_ sb_2652826_, Pleurobrachia_bachei_sb_2639926_ sb_2639926_
OG0000068	XP_002695021.1 galectin-7 [Bos taurus], DAA15163.1 TPA_ galectin-related inter-fiber protein-like [Bos taurus], NP_001192760.1 galectin-related protein [Bos taurus], sp|Q3T0D6.1|LEG4_BOVIN RecName_ Full=Galectin-4; Short=Gal-4, XP_002699418.1 galectin-12 [Bos taurus], NP_001244020.1 galectin-2 isoform 1 [Bos taurus]	Pleurobrachia_bachei_sb_2642856_ sb_2642856_
OG0000078	sp|P05689.2|CATZ_BOVIN RecName_ Full=Cathepsin Z; Flags_ Precursor, XP_010816338.1 tubulointerstitial nephritis antigen isoform X1 [Bos taurus], DAA32345.1 TPA_ tubulointerstitial nephritis antigen-like 1-like [Bos taurus], sp|Q3ZCJ8.1|CATC_BOVIN RecName_ Full=Dipeptidyl peptidase 1; AltName_ Full=Cathepsin C; AltName_ Full=Cathepsin J; AltName_ Full=Dipeptidyl peptidase I; Short=DPP-I; Short=DPPI; AltName_ Full=Dipeptidyl transferase; Contains_ RecName_ Full=Dipeptidyl peptidase 1 exclusion domain chain; AltName_ Full=Dipeptidyl peptidase I exclusion domain chain; Contains_ RecName_ Full=Dipeptidyl peptidase 1 heavy chain; AltName_ Full=Dipeptidyl peptidase I heavy chain; Contains_ RecName_ Full=Dipeptidyl peptidase 1 light chain; AltName_ Full=Dipeptidyl peptidase I light chain; Flags_ Precursor, DAA20798.1 TPA_ cathepsin O preproprotein-like [Bos taurus], sp|Q5E998.1|CATL2_BOVIN RecName_ Full=Cathepsin L2; Flags_ Precursor, XP_005227111.2 cathepsin W isoform X1 [Bos taurus], NP_001068884.1 cathepsin F precursor [Bos taurus]	Pleurobrachia_bachei_sb_2661116_ sb_2661116_, Pleurobrachia_bachei_sb_2661117_ sb_2661117_, Pleurobrachia_bachei_sb_2666972_ sb_2666972_, Pleurobrachia_bachei_sb_2653883_ sb_2653883_, Pleurobrachia_bachei_sb_2665577_ sb_2665577_, Pleurobrachia_bachei_sb_2660390_ sb_2660390_
OG0000078	sp|P01035.2|CYTC_BOVIN RecName_ Full=Cystatin-C; AltName_ Full=Colostrum thiol proteinase inhibitor; AltName_ Full=Cystatin-3; Flags_ Precursor, XP_024857137.1 cystatin-like 1 [Bos taurus], XP_059748928.1 cystatin-8 [Bos taurus], NP_001012782.1 cystatin-M precursor [Bos taurus], XP_059748930.1 cystatin-F isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2666492_ sb_2666492_
OG0000081	sp|Q2KIT5.1|CREL2_BOVIN RecName_ Full=Protein disulfide isomerase CRELD2; AltName_ Full=Cysteine-rich with EGF-like domain protein 2; Flags_ Precursor, sp|Q5EA46.1|CREL1_BOVIN RecName_ Full=Protein disulfide isomerase CRELD1; AltName_ Full=Cysteine-rich with EGF-like domain protein 1; Flags_ Precursor	Pleurobrachia_bachei_sb_2661112_ sb_2661112_, Pleurobrachia_bachei_sb_2646639_ sb_2646639_, Pleurobrachia_bachei_sb_2645532_ sb_2645532_
OG0000088	NP_001039622.1 spondin-2 precursor [Bos taurus], sp|Q9GLX9.1|SPON1_BOVIN RecName_ Full=Spondin-1; AltName_ Full=F-spondin; AltName_ Full=Vascular smooth muscle cell growth-promoting factor; Flags_ Precursor	Pleurobrachia_bachei_sb_2642240_ sb_2642240_
OG0000093	sp|P80416.1|CYTA_BOVIN RecName_ Full=Cystatin-A; AltName_ Full=Cystatin-AS; AltName_ Full=Stefin-A	Pleurobrachia_bachei_sb_2644836_ sb_2644836_
OG0000122	NP_776777.1 cation-independent mannose-6-phosphate receptor precursor [Bos taurus]	Pleurobrachia_bachei_sb_2642445_ sb_2642445_
OG0000141	NP_001095646.1 CCN family member 5 precursor [Bos taurus], DAA22835.1 TPA_ WNT1 inducible signaling pathway protein 1-like [Bos taurus], NP_001029512.1 CCN family member 1 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2647150_ sb_2647150_
