Orthogroup	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Mus_musculus
OG0000000	XP_059749109.1 angiopoietin-1 isoform X1 [Bos taurus]	Mus_musculus_sp_O08538_ANGP1_MOUSE sp_O08538_ANGP1_MOUSE Angiopoietin-1 OS=Mus musculus OX=10090 GN=Angpt1 PE=1 SV=2
OG0000000	NP_001073814.1 angiopoietin-related protein 3 precursor [Bos taurus]	Mus_musculus_sp_Q9R182_ANGL3_MOUSE sp_Q9R182_ANGL3_MOUSE Angiopoietin-related protein 3 OS=Mus musculus OX=10090 GN=Angptl3 PE=1 SV=1
OG0000000	sp|Q29RY7.1|FGL2_BOVIN RecName_ Full=Fibroleukin; AltName_ Full=Fibrinogen-like protein 2; Flags_ Precursor	Mus_musculus_sp_P12804_FGL2_MOUSE sp_P12804_FGL2_MOUSE Fibroleukin OS=Mus musculus OX=10090 GN=Fgl2 PE=1 SV=1
OG0000001	XP_059731805.1 laminin subunit gamma-2 isoform X1 [Bos taurus]	Mus_musculus_sp_Q61092_LAMC2_MOUSE sp_Q61092_LAMC2_MOUSE Laminin subunit gamma-2 OS=Mus musculus OX=10090 GN=Lamc2 PE=1 SV=2
OG0000001	XP_010803496.1 netrin-4 isoform X2 [Bos taurus]	Mus_musculus_sp_Q9JI33_NET4_MOUSE sp_Q9JI33_NET4_MOUSE Netrin-4 OS=Mus musculus OX=10090 GN=Ntn4 PE=1 SV=2
OG0000001	XP_059731406.1 laminin subunit beta-3 isoform X1 [Bos taurus]	Mus_musculus_sp_Q61087_LAMB3_MOUSE sp_Q61087_LAMB3_MOUSE Laminin subunit beta-3 OS=Mus musculus OX=10090 GN=Lamb3 PE=1 SV=2
OG0000001	NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus]	Mus_musculus_sp_Q61292_LAMB2_MOUSE sp_Q61292_LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2
OG0000001	DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]	Mus_musculus_sp_P02469_LAMB1_MOUSE sp_P02469_LAMB1_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3
OG0000001	sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor, sp|P07589.4|FINC_BOVIN RecName_ Full=Fibronectin; Short=FN; Contains_ RecName_ Full=Anastellin; Flags_ Precursor	Mus_musculus_sp_P11276_FINC_MOUSE sp_P11276_FINC_MOUSE Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=4
OG0000001	XP_059747260.1 netrin-G2 isoform X1 [Bos taurus]	Mus_musculus_sp_Q8R4F1_NTNG2_MOUSE sp_Q8R4F1_NTNG2_MOUSE Netrin-G2 OS=Mus musculus OX=10090 GN=Ntng2 PE=1 SV=2
OG0000001	NP_001193834.1 netrin-3 precursor [Bos taurus]	Mus_musculus_sp_Q9R1A3_NET3_MOUSE sp_Q9R1A3_NET3_MOUSE Netrin-3 OS=Mus musculus OX=10090 GN=Ntn3 PE=2 SV=1
OG0000001	NP_001179495.1 netrin-1 precursor [Bos taurus]	Mus_musculus_sp_O09118_NET1_MOUSE sp_O09118_NET1_MOUSE Netrin-1 OS=Mus musculus OX=10090 GN=Ntn1 PE=1 SV=3
OG0000001	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus]	Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2
OG0000001	NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]	Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2
OG0000002	NP_001157407.1 isthmin-1 precursor [Bos taurus]	Mus_musculus_sp_A2ATD1_ISM1_MOUSE sp_A2ATD1_ISM1_MOUSE Isthmin-1 OS=Mus musculus OX=10090 GN=Ism1 PE=1 SV=1
OG0000002	sp|Q95116.2|TSP2_BOVIN RecName_ Full=Thrombospondin-2; AltName_ Full=Corticotropin-induced secreted protein; Short=CISP; Flags_ Precursor	Mus_musculus_sp_Q03350_TSP2_MOUSE sp_Q03350_TSP2_MOUSE Thrombospondin-2 OS=Mus musculus OX=10090 GN=Thbs2 PE=1 SV=2
OG0000002	XP_024853011.1 thrombospondin-1 isoform X1 [Bos taurus], sp|Q28178.2|TSP1_BOVIN RecName_ Full=Thrombospondin-1; AltName_ Full=Glycoprotein G; Flags_ Precursor, NP_776621.1 thrombospondin-1 precursor [Bos taurus], NP_776621.1 thrombospondin-1 precursor [Bos taurus]	Mus_musculus_sp_P35441_TSP1_MOUSE sp_P35441_TSP1_MOUSE Thrombospondin-1 OS=Mus musculus OX=10090 GN=Thbs1 PE=1 SV=1
OG0000002	sp|P35445.2|COMP_BOVIN RecName_ Full=Cartilage oligomeric matrix protein; Short=COMP; Flags_ Precursor	Mus_musculus_sp_Q9R0G6_COMP_MOUSE sp_Q9R0G6_COMP_MOUSE Cartilage oligomeric matrix protein OS=Mus musculus OX=10090 GN=Comp PE=1 SV=2
OG0000002	NP_001095309.1 thrombospondin-3 precursor [Bos taurus]	Mus_musculus_sp_Q05895_TSP3_MOUSE sp_Q05895_TSP3_MOUSE Thrombospondin-3 OS=Mus musculus OX=10090 GN=Thbs3 PE=1 SV=2
OG0000002	XP_059746602.1 thrombospondin-4 isoform X1 [Bos taurus]	Mus_musculus_sp_Q9Z1T2_TSP4_MOUSE sp_Q9Z1T2_TSP4_MOUSE Thrombospondin-4 OS=Mus musculus OX=10090 GN=Thbs4 PE=1 SV=1
OG0000002	XP_059735793.1 semaphorin-3B isoform X1 [Bos taurus]	Mus_musculus_sp_Q62177_SEM3B_MOUSE sp_Q62177_SEM3B_MOUSE Semaphorin-3B OS=Mus musculus OX=10090 GN=Sema3b PE=2 SV=2
OG0000002	NP_001263630.1 semaphorin-3A precursor [Bos taurus]	Mus_musculus_sp_O08665_SEM3A_MOUSE sp_O08665_SEM3A_MOUSE Semaphorin-3A OS=Mus musculus OX=10090 GN=Sema3a PE=1 SV=2
OG0000002	XP_059741648.1 semaphorin-3D isoform X1 [Bos taurus]	Mus_musculus_sp_Q8BH34_SEM3D_MOUSE sp_Q8BH34_SEM3D_MOUSE Semaphorin-3D OS=Mus musculus OX=10090 GN=Sema3d PE=1 SV=1
OG0000002	XP_024839041.1 semaphorin-3F isoform X1 [Bos taurus]	Mus_musculus_sp_O88632_SEM3F_MOUSE sp_O88632_SEM3F_MOUSE Semaphorin-3F OS=Mus musculus OX=10090 GN=Sema3f PE=2 SV=2, Mus_musculus_sp_O88632_SEM3F_MOUSE sp_O88632_SEM3F_MOUSE Semaphorin-3F OS=Mus musculus OX=10090 GN=Sema3f PE=2 SV=2
OG0000002	XP_059741517.1 semaphorin-3C isoform X1 [Bos taurus]	Mus_musculus_sp_Q62181_SEM3C_MOUSE sp_Q62181_SEM3C_MOUSE Semaphorin-3C OS=Mus musculus OX=10090 GN=Sema3c PE=1 SV=2
OG0000002	XP_003586003.2 semaphorin-3E [Bos taurus]	Mus_musculus_sp_P70275_SEM3E_MOUSE sp_P70275_SEM3E_MOUSE Semaphorin-3E OS=Mus musculus OX=10090 GN=Sema3e PE=1 SV=3
OG0000002	XP_010816133.2 semaphorin-3G isoform X1 [Bos taurus]	Mus_musculus_sp_Q4LFA9_SEM3G_MOUSE sp_Q4LFA9_SEM3G_MOUSE Semaphorin-3G OS=Mus musculus OX=10090 GN=Sema3g PE=2 SV=1
OG0000002	sp|Q5EA85.1|SEM4A_BOVIN RecName_ Full=Semaphorin-4A; Flags_ Precursor	Mus_musculus_sp_Q62178_SEM4A_MOUSE sp_Q62178_SEM4A_MOUSE Semaphorin-4A OS=Mus musculus OX=10090 GN=Sema4a PE=1 SV=2
OG0000002	XP_003586665.1 semaphorin-4F isoform X1 [Bos taurus]	Mus_musculus_sp_Q9Z123_SEM4F_MOUSE sp_Q9Z123_SEM4F_MOUSE Semaphorin-4F OS=Mus musculus OX=10090 GN=Sema4f PE=1 SV=2
OG0000002	XP_059745283.1 semaphorin-4D isoform X1 [Bos taurus]	Mus_musculus_sp_O09126_SEM4D_MOUSE sp_O09126_SEM4D_MOUSE Semaphorin-4D OS=Mus musculus OX=10090 GN=Sema4d PE=1 SV=2
OG0000002	XP_010818201.1 semaphorin-4G isoform X1 [Bos taurus], NP_001094587.1 semaphorin-4G precursor [Bos taurus]	Mus_musculus_sp_Q9WUH7_SEM4G_MOUSE sp_Q9WUH7_SEM4G_MOUSE Semaphorin-4G OS=Mus musculus OX=10090 GN=Sema4g PE=1 SV=1
OG0000002	XP_024854545.1 semaphorin-4C isoform X2 [Bos taurus]	Mus_musculus_sp_Q64151_SEM4C_MOUSE sp_Q64151_SEM4C_MOUSE Semaphorin-4C OS=Mus musculus OX=10090 GN=Sema4c PE=1 SV=1
OG0000002	NP_001193114.1 semaphorin-7A precursor [Bos taurus]	Mus_musculus_sp_Q9QUR8_SEM7A_MOUSE sp_Q9QUR8_SEM7A_MOUSE Semaphorin-7A OS=Mus musculus OX=10090 GN=Sema7a PE=1 SV=1
OG0000002	XP_010815150.2 semaphorin-5A [Bos taurus]	Mus_musculus_sp_Q62217_SEM5A_MOUSE sp_Q62217_SEM5A_MOUSE Semaphorin-5A OS=Mus musculus OX=10090 GN=Sema5a PE=2 SV=1
OG0000002	XP_002684855.2 semaphorin-5B isoform X1 [Bos taurus]	Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2, Mus_musculus_sp_Q60519_SEM5B_MOUSE sp_Q60519_SEM5B_MOUSE Semaphorin-5B OS=Mus musculus OX=10090 GN=Sema5b PE=2 SV=2
OG0000002	XP_059746380.1 semaphorin-6D isoform X1 [Bos taurus]	Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1, Mus_musculus_sp_Q76KF0_SEM6D_MOUSE sp_Q76KF0_SEM6D_MOUSE Semaphorin-6D OS=Mus musculus OX=10090 GN=Sema6d PE=1 SV=1
OG0000002	XP_005209195.1 semaphorin-6A isoform X1 [Bos taurus]	Mus_musculus_sp_O35464_SEM6A_MOUSE sp_O35464_SEM6A_MOUSE Semaphorin-6A OS=Mus musculus OX=10090 GN=Sema6a PE=1 SV=2
OG0000002	XP_024850768.2 semaphorin-6B isoform X2 [Bos taurus]	Mus_musculus_sp_O54951_SEM6B_MOUSE sp_O54951_SEM6B_MOUSE Semaphorin-6B OS=Mus musculus OX=10090 GN=Sema6b PE=1 SV=1
OG0000002	XP_024845741.1 semaphorin-6C isoform X1 [Bos taurus]	Mus_musculus_sp_Q9WTM3_SEM6C_MOUSE sp_Q9WTM3_SEM6C_MOUSE Semaphorin-6C OS=Mus musculus OX=10090 GN=Sema6c PE=2 SV=1
OG0000002	NP_001179466.3 hemicentin-1 precursor [Bos taurus]	Mus_musculus_sp_D3YXG0_HMCN1_MOUSE sp_D3YXG0_HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1, Mus_musculus_sp_D3YXG0_HMCN1_MOUSE sp_D3YXG0_HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1
OG0000003	XP_059737445.1 brevican core protein isoform X1 [Bos taurus]	Mus_musculus_sp_Q61361_PGCB_MOUSE sp_Q61361_PGCB_MOUSE Brevican core protein OS=Mus musculus OX=10090 GN=Bcan PE=1 SV=2
OG0000003	XP_059744190.1 neurocan core protein isoform X1 [Bos taurus]	Mus_musculus_sp_P55066_NCAN_MOUSE sp_P55066_NCAN_MOUSE Neurocan core protein OS=Mus musculus OX=10090 GN=Ncan PE=1 SV=1
OG0000003	XP_059734920.1 aggrecan core protein isoform X1 [Bos taurus], NP_776406.1 aggrecan core protein precursor [Bos taurus]	Mus_musculus_sp_Q61282_PGCA_MOUSE sp_Q61282_PGCA_MOUSE Aggrecan core protein OS=Mus musculus OX=10090 GN=Acan PE=1 SV=2
OG0000003	sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor, sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor	Mus_musculus_sp_Q62059_CSPG2_MOUSE sp_Q62059_CSPG2_MOUSE Versican core protein OS=Mus musculus OX=10090 GN=Vcan PE=1 SV=2, Mus_musculus_sp_Q62059_CSPG2_MOUSE sp_Q62059_CSPG2_MOUSE Versican core protein OS=Mus musculus OX=10090 GN=Vcan PE=1 SV=2
OG0000003	sp|Q17QH6.1|COL11_BOVIN RecName_ Full=Collectin-11; AltName_ Full=Collectin kidney protein 1; Short=CL-K1; Flags_ Precursor	Mus_musculus_sp_Q3SXB8_COL11_MOUSE sp_Q3SXB8_COL11_MOUSE Collectin-11 OS=Mus musculus OX=10090 GN=Colec11 PE=2 SV=2
OG0000003	sp|Q8MHZ9.1|CL46_BOVIN RecName_ Full=Collectin-46; Short=CL-46; AltName_ Full=46 kDa collectin; Flags_ Precursor	Mus_musculus_sp_P50404_SFTPD_MOUSE sp_P50404_SFTPD_MOUSE Pulmonary surfactant-associated protein D OS=Mus musculus OX=10090 GN=Sftpd PE=1 SV=1
OG0000003	NP_776532.1 mannose-binding protein C precursor [Bos taurus]	Mus_musculus_sp_P41317_MBL2_MOUSE sp_P41317_MBL2_MOUSE Mannose-binding protein C OS=Mus musculus OX=10090 GN=Mbl2 PE=1 SV=2
OG0000003	XP_059738436.1 mannose-binding protein A isoform X1 [Bos taurus]	Mus_musculus_sp_P39039_MBL1_MOUSE sp_P39039_MBL1_MOUSE Mannose-binding protein A OS=Mus musculus OX=10090 GN=Mbl1 PE=1 SV=1
OG0000003	sp|Q2KIS7.1|TETN_BOVIN RecName_ Full=Tetranectin; Short=TN; AltName_ Full=C-type lectin domain family 3 member B; Flags_ Precursor	Mus_musculus_sp_P43025_TETN_MOUSE sp_P43025_TETN_MOUSE Tetranectin OS=Mus musculus OX=10090 GN=Clec3b PE=1 SV=2
OG0000003	sp|Q28008.1|CLC3A_BOVIN RecName_ Full=C-type lectin domain family 3 member A; AltName_ Full=C-type lectin superfamily member 1; AltName_ Full=Cartilage-derived C-type lectin; Flags_ Precursor	Mus_musculus_sp_Q9EPW4_CLC3A_MOUSE sp_Q9EPW4_CLC3A_MOUSE C-type lectin domain family 3 member A OS=Mus musculus OX=10090 GN=Clec3a PE=3 SV=1
OG0000003	sp|A6QP79.1|COL12_BOVIN RecName_ Full=Collectin-12; AltName_ Full=Collectin placenta protein 1; Short=CL-P1	Mus_musculus_sp_Q8K4Q8_COL12_MOUSE sp_Q8K4Q8_COL12_MOUSE Collectin-12 OS=Mus musculus OX=10090 GN=Colec12 PE=1 SV=1
OG0000003	DAA24823.1 TPA_ C-type lectin_ superfamily member 13-like [Bos taurus]	Mus_musculus_sp_P49300_CLC10_MOUSE sp_P49300_CLC10_MOUSE C-type lectin domain family 10 member A OS=Mus musculus OX=10090 GN=Clec10a PE=1 SV=1, Mus_musculus_sp_P70194_CLC4F_MOUSE sp_P70194_CLC4F_MOUSE C-type lectin domain family 4 member F OS=Mus musculus OX=10090 GN=Clec4f PE=1 SV=1
OG0000003	sp|Q3LUH2.1|CLC6A_BOVIN RecName_ Full=C-type lectin domain family 6 member A; AltName_ Full=Dendritic cell-associated C-type lectin 2; Short=DC-associated C-type lectin 2; Short=Dectin-2, XP_059743069.1 C-type lectin domain family 4 member E isoform X1 [Bos taurus]	Mus_musculus_sp_Q91ZW8_C209D_MOUSE sp_Q91ZW8_C209D_MOUSE CD209 antigen-like protein D OS=Mus musculus OX=10090 GN=Cd209d PE=2 SV=1, Mus_musculus_sp_Q8CJ91_C209B_MOUSE sp_Q8CJ91_C209B_MOUSE CD209 antigen-like protein B OS=Mus musculus OX=10090 GN=Cd209b PE=1 SV=2
OG0000003	NP_001019705.2 regenerating islet-derived protein 3-gamma precursor [Bos taurus], NP_991356.1 lithostathine precursor [Bos taurus]	Mus_musculus_sp_O09049_REG3G_MOUSE sp_O09049_REG3G_MOUSE Regenerating islet-derived protein 3-gamma OS=Mus musculus OX=10090 GN=Reg3g PE=1 SV=1
OG0000003	XP_024848420.1 C-type lectin domain family 2 member B isoform X1 [Bos taurus]	Mus_musculus_sp_Q80XD9_CLC2E_MOUSE sp_Q80XD9_CLC2E_MOUSE C-type lectin domain family 2 member E OS=Mus musculus OX=10090 GN=Clec2e PE=2 SV=2, Mus_musculus_sp_Q91V08_CLC2D_MOUSE sp_Q91V08_CLC2D_MOUSE C-type lectin domain family 2 member D OS=Mus musculus OX=10090 GN=Clec2d PE=1 SV=1
OG0000003	XP_002687852.3 C-type lectin domain family 9 member A isoform X1 [Bos taurus]	Mus_musculus_sp_Q6QLQ4_CLC7A_MOUSE sp_Q6QLQ4_CLC7A_MOUSE C-type lectin domain family 7 member A OS=Mus musculus OX=10090 GN=Clec7a PE=1 SV=3
OG0000004	DAA17035.1 TPA_ collagen_ type VII_ alpha 1 [Bos taurus]	Mus_musculus_sp_Q63870_CO7A1_MOUSE sp_Q63870_CO7A1_MOUSE Collagen alpha-1_VII_ chain OS=Mus musculus OX=10090 GN=Col7a1 PE=1 SV=3
OG0000004	XP_059745576.1 collagen alpha-1_XII_ chain isoform X1 [Bos taurus]	Mus_musculus_sp_Q60847_COCA1_MOUSE sp_Q60847_COCA1_MOUSE Collagen alpha-1_XII_ chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3, Mus_musculus_sp_Q60847_COCA1_MOUSE sp_Q60847_COCA1_MOUSE Collagen alpha-1_XII_ chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3
OG0000004	XP_059730494.1 collagen alpha-1_XIV_ chain isoform X1 [Bos taurus]	Mus_musculus_sp_Q80X19_COEA1_MOUSE sp_Q80X19_COEA1_MOUSE Collagen alpha-1_XIV_ chain OS=Mus musculus OX=10090 GN=Col14a1 PE=1 SV=2
OG0000004	XP_015316230.1 von Willebrand factor A domain-containing protein 2 isoform X1 [Bos taurus]	Mus_musculus_sp_Q70UZ7_VWA2_MOUSE sp_Q70UZ7_VWA2_MOUSE von Willebrand factor A domain-containing protein 2 OS=Mus musculus OX=10090 GN=Vwa2 PE=1 SV=1
OG0000004	XP_024852938.1 collagen alpha-5_VI_ chain [Bos taurus]	Mus_musculus_sp_A6H584_CO6A5_MOUSE sp_A6H584_CO6A5_MOUSE Collagen alpha-5_VI_ chain OS=Mus musculus OX=10090 GN=Col6a5 PE=1 SV=4
OG0000004	XP_015329636.1 collagen alpha-6_VI_ chain [Bos taurus]	Mus_musculus_sp_Q8C6K9_CO6A6_MOUSE sp_Q8C6K9_CO6A6_MOUSE Collagen alpha-6_VI_ chain OS=Mus musculus OX=10090 GN=Col6a6 PE=1 SV=2, Mus_musculus_sp_Q8C6K9_CO6A6_MOUSE sp_Q8C6K9_CO6A6_MOUSE Collagen alpha-6_VI_ chain OS=Mus musculus OX=10090 GN=Col6a6 PE=1 SV=2
OG0000004	XP_059741223.1 collagen alpha-3_VI_ chain [Bos taurus]	Mus_musculus_sp_A2AX52_CO6A4_MOUSE sp_A2AX52_CO6A4_MOUSE Collagen alpha-4_VI_ chain OS=Mus musculus OX=10090 GN=Col6a4 PE=1 SV=2
OG0000004	DAA24504.1 TPA_ matrilin 3 [Bos taurus]	Mus_musculus_sp_O35701_MATN3_MOUSE sp_O35701_MATN3_MOUSE Matrilin-3 OS=Mus musculus OX=10090 GN=Matn3 PE=1 SV=2
OG0000004	NP_001095998.1 matrilin-2 precursor [Bos taurus]	Mus_musculus_sp_O08746_MATN2_MOUSE sp_O08746_MATN2_MOUSE Matrilin-2 OS=Mus musculus OX=10090 GN=Matn2 PE=2 SV=2
OG0000004	XP_059748343.1 matrilin-4 isoform X2 [Bos taurus]	Mus_musculus_sp_O89029_MATN4_MOUSE sp_O89029_MATN4_MOUSE Matrilin-4 OS=Mus musculus OX=10090 GN=Matn4 PE=1 SV=1
OG0000004	XP_024846755.1 collagen alpha-1_XXVIII_ chain isoform X1 [Bos taurus]	Mus_musculus_sp_Q2UY11_COSA1_MOUSE sp_Q2UY11_COSA1_MOUSE Collagen alpha-1_XXVIII_ chain OS=Mus musculus OX=10090 GN=Col28a1 PE=2 SV=1
OG0000005	XP_010816580.2 meprin A subunit alpha [Bos taurus]	Mus_musculus_sp_P28825_MEP1A_MOUSE sp_P28825_MEP1A_MOUSE Meprin A subunit alpha OS=Mus musculus OX=10090 GN=Mep1a PE=1 SV=4
OG0000006	NP_001033618.1 coagulation factor XIII B chain precursor [Bos taurus]	Mus_musculus_sp_Q07968_F13B_MOUSE sp_Q07968_F13B_MOUSE Coagulation factor XIII B chain OS=Mus musculus OX=10090 GN=F13b PE=1 SV=2
OG0000006	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]	Mus_musculus_sp_Q60736_ZP3R_MOUSE sp_Q60736_ZP3R_MOUSE Zona pellucida sperm-binding protein 3 receptor OS=Mus musculus OX=10090 GN=Zp3r PE=1 SV=1
OG0000006	XP_059739360.1 sushi repeat-containing protein SRPX2 isoform X1 [Bos taurus]	Mus_musculus_sp_Q8R054_SRPX2_MOUSE sp_Q8R054_SRPX2_MOUSE Sushi repeat-containing protein SRPX2 OS=Mus musculus OX=10090 GN=Srpx2 PE=1 SV=2
OG0000006	NP_001035579.1 sushi repeat-containing protein SRPX precursor [Bos taurus]	Mus_musculus_sp_Q9R0M3_SRPX_MOUSE sp_Q9R0M3_SRPX_MOUSE Sushi-repeat-containing protein SRPX OS=Mus musculus OX=10090 GN=Srpx PE=2 SV=1
OG0000006	XP_010806541.2 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Bos taurus]	Mus_musculus_sp_A2AVA0_SVEP1_MOUSE sp_A2AVA0_SVEP1_MOUSE Sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Svep1 PE=1 SV=1
OG0000007	XP_024855952.1 growth arrest-specific protein 6 [Bos taurus]	Mus_musculus_sp_Q61592_GAS6_MOUSE sp_Q61592_GAS6_MOUSE Growth arrest-specific protein 6 OS=Mus musculus OX=10090 GN=Gas6 PE=2 SV=2
