Orthogroup	Chordata_Vertebrata_Bos_taurus	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000012	XP_015330193.2 LOW QUALITY PROTEIN_ alpha-tectorin [Bos taurus], NP_001071465.1 BMP-binding endothelial regulator protein precursor [Bos taurus], DAA30402.1 TPA_ kielin/chordin-like protein [Bos taurus], NP_001178138.1 von Willebrand factor C and EGF domain-containing protein precursor [Bos taurus]	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a, Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a, Mnemiopsis_leidyi_ML41863a ML41863a
OG0000013	NP_001192492.1 protein Wnt-6 precursor [Bos taurus]	Mnemiopsis_leidyi_ML101013a ML101013a
OG0000013	NP_001179717.1 protein Wnt-7a [Bos taurus], XP_024848596.2 protein Wnt-7b isoform X1 [Bos taurus], NP_001092833.1 protein Wnt-2b [Bos taurus]	Mnemiopsis_leidyi_ML06021a ML06021a
OG0000013	XP_024836921.2 protein Wnt-9b [Bos taurus], DAA28331.1 TPA_ wingless-type MMTV integration site 9A-like [Bos taurus]	Mnemiopsis_leidyi_ML01051a ML01051a
OG0000015	XP_005225807.1 beta-tectorin isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML25991a ML25991a
OG0000015	sp|Q29RU2.1|OIT3_BOVIN RecName_ Full=Oncoprotein-induced transcript 3 protein; Flags_ Precursor	Mnemiopsis_leidyi_ML17012a ML17012a
OG0000017	NP_001092467.1 protein Z-dependent protease inhibitor precursor [Bos taurus], sp|P34955.1|A1AT_BOVIN RecName_ Full=Alpha-1-antiproteinase; AltName_ Full=Alpha-1-antitrypsin; AltName_ Full=Alpha-1-proteinase inhibitor; AltName_ Full=Serpin A1; Flags_ Precursor, sp|P34955.1|A1AT_BOVIN RecName_ Full=Alpha-1-antiproteinase; AltName_ Full=Alpha-1-antitrypsin; AltName_ Full=Alpha-1-proteinase inhibitor; AltName_ Full=Serpin A1; Flags_ Precursor, XP_059735117.1 serpin A11 isoform X1 [Bos taurus], sp|Q9TT36.1|THBG_BOVIN RecName_ Full=Thyroxine-binding globulin; AltName_ Full=Serpin A7; AltName_ Full=T4-binding globulin; Flags_ Precursor, XP_024838010.2 LOW QUALITY PROTEIN_ kallistatin [Bos taurus], sp|Q9N2I2.1|IPSP_BOVIN RecName_ Full=Plasma serine protease inhibitor; AltName_ Full=Protein C inhibitor; Short=PCI; AltName_ Full=Serpin A5; Flags_ Precursor, sp|A6QPQ2.1|SPA38_BOVIN RecName_ Full=Serpin A3-8; Flags_ Precursor, sp|A6QPQ2.1|SPA38_BOVIN RecName_ Full=Serpin A3-8; Flags_ Precursor, sp|A2I7M9.1|SPA32_BOVIN RecName_ Full=Serpin A3-2; Flags_ Precursor, DAA17272.1 TPA_ serpin A3-6 [Bos taurus], sp|E1BF81.1|CBG_BOVIN RecName_ Full=Corticosteroid-binding globulin; Short=CBG; AltName_ Full=Serpin A6; AltName_ Full=Transcortin; Flags_ Precursor, NP_001070985.1 serpin A12 precursor [Bos taurus], NP_001098516.1 heparin cofactor 2 precursor [Bos taurus], NP_777246.1 factor XIIa inhibitor precursor [Bos taurus], sp|P28800.2|A2AP_BOVIN RecName_ Full=Alpha-2-antiplasmin; Short=Alpha-2-AP; AltName_ Full=Alpha-2-plasmin inhibitor; Short=Alpha-2-PI; AltName_ Full=Serpin F2; Flags_ Precursor	Mnemiopsis_leidyi_ML023111a ML023111a, Mnemiopsis_leidyi_ML200228a ML200228a, Mnemiopsis_leidyi_ML200229a ML200229a
OG0000018	XP_059738076.1 deleted in malignant brain tumors 1 protein [Bos taurus], NP_001180151.2 neurotrypsin precursor [Bos taurus]	Mnemiopsis_leidyi_ML02231a ML02231a, Mnemiopsis_leidyi_ML02243a ML02243a, Mnemiopsis_leidyi_ML006919a ML006919a, Mnemiopsis_leidyi_ML096926a ML096926a
OG0000019	NP_001193227.1 growth/differentiation factor 15 precursor [Bos taurus]	Mnemiopsis_leidyi_ML35889a ML35889a
OG0000019	XP_002687467.2 growth/differentiation factor 11 [Bos taurus]	Mnemiopsis_leidyi_ML19322b ML19322b
OG0000019	XP_024845991.1 bone morphogenetic protein 8B [Bos taurus], NP_001193798.2 bone morphogenetic protein 8A precursor [Bos taurus], NP_001291945.1 bone morphogenetic protein 5 precursor [Bos taurus], NP_001192944.1 bone morphogenetic protein 7 precursor [Bos taurus], sp|P55106.2|GDF6_BOVIN RecName_ Full=Growth/differentiation factor 6; Short=GDF-6; AltName_ Full=Bone morphogenetic protein 13; Short=BMP-13; AltName_ Full=Cartilage-derived morphogenetic protein 2; Short=CDMP-2; Flags_ Precursor, NP_001179202.1 growth/differentiation factor 5 precursor [Bos taurus], NP_001193030.1 growth/differentiation factor 7 precursor [Bos taurus], sp|P22444.2|BMP3_BOVIN RecName_ Full=Bone morphogenetic protein 3; Short=BMP-3; AltName_ Full=Osteogenin; Flags_ Precursor, sp|Q08DX6.1|GDF10_BOVIN RecName_ Full=Growth/differentiation factor 10; Short=GDF-10; AltName_ Full=Bone morphogenetic protein 3B; Short=BMP-3B; Flags_ Precursor, XP_010804844.1 embryonic growth/differentiation factor 1 [Bos taurus], XP_002687893.2 growth/differentiation factor 3 [Bos taurus], NP_001179047.1 bone morphogenetic protein 10 precursor [Bos taurus], NP_001179349.1 growth/differentiation factor 2 precursor [Bos taurus]	Mnemiopsis_leidyi_ML218835a ML218835a
OG0000022	sp|P81287.3|ANXA5_BOVIN RecName_ Full=Annexin A5; AltName_ Full=Anchorin CII; AltName_ Full=Annexin V; AltName_ Full=Annexin-5; AltName_ Full=Calphobindin I; Short=CPB-I; AltName_ Full=Endonexin II; AltName_ Full=Lipocortin V; AltName_ Full=Placental anticoagulant protein 4; AltName_ Full=Placental anticoagulant protein I; Short=PAP-I; AltName_ Full=Thromboplastin inhibitor; AltName_ Full=Vascular anticoagulant-alpha; Short=VAC-alpha, sp|P79134.2|ANXA6_BOVIN RecName_ Full=Annexin A6; AltName_ Full=Annexin VI; AltName_ Full=Annexin-6, NP_776666.1 annexin A8 [Bos taurus], sp|Q95L54.1|ANXA8_BOVIN RecName_ Full=Annexin A8; AltName_ Full=Annexin VIII; AltName_ Full=Annexin-8, pdb|4X9P|A Chain A_ Annexin A2, sp|P04272.2|ANXA2_BOVIN RecName_ Full=Annexin A2; AltName_ Full=Annexin II; AltName_ Full=Annexin-2; AltName_ Full=Calpactin I heavy chain; AltName_ Full=Calpactin-1 heavy chain; AltName_ Full=Chromobindin-8; AltName_ Full=Lipocortin II; AltName_ Full=Placental anticoagulant protein IV; Short=PAP-IV; AltName_ Full=Protein I; AltName_ Full=p36, sp|P46193.2|ANXA1_BOVIN RecName_ Full=Annexin A1; AltName_ Full=Annexin I; AltName_ Full=Annexin-1; AltName_ Full=Calpactin II; AltName_ Full=Calpactin-2; AltName_ Full=Chromobindin-9; AltName_ Full=Lipocortin I; AltName_ Full=Phospholipase A2 inhibitory protein; AltName_ Full=p35; Contains_ RecName_ Full=Annexin Ac2-26, sp|P13214.2|ANXA4_BOVIN RecName_ Full=Annexin A4; AltName_ Full=35-beta calcimedin; AltName_ Full=Annexin IV; AltName_ Full=Annexin-4; AltName_ Full=Carbohydrate-binding protein p33/p41; AltName_ Full=Chromobindin-4; AltName_ Full=Endonexin I; AltName_ Full=Lipocortin IV; AltName_ Full=P32.5; AltName_ Full=PP4-X; AltName_ Full=Placental anticoagulant protein II; Short=PAP-II; AltName_ Full=Protein II, sp|P13214.2|ANXA4_BOVIN RecName_ Full=Annexin A4; AltName_ Full=35-beta calcimedin; AltName_ Full=Annexin IV; AltName_ Full=Annexin-4; AltName_ Full=Carbohydrate-binding protein p33/p41; AltName_ Full=Chromobindin-4; AltName_ Full=Endonexin I; AltName_ Full=Lipocortin IV; AltName_ Full=P32.5; AltName_ Full=PP4-X; AltName_ Full=Placental anticoagulant protein II; Short=PAP-II; AltName_ Full=Protein II, NP_776927.1 annexin A11 [Bos taurus], sp|Q3SWX7.3|ANXA3_BOVIN RecName_ Full=Annexin A3; AltName_ Full=Annexin III; AltName_ Full=Annexin-3, NP_001178987.1 annexin A10 [Bos taurus]	Mnemiopsis_leidyi_ML01536a ML01536a, Mnemiopsis_leidyi_ML00134a ML00134a, Mnemiopsis_leidyi_ML139112a ML139112a
OG0000022	XP_005226473.2 annexin A7 isoform X1 [Bos taurus], AAI33571.1 ANXA13 protein [Bos taurus]	Mnemiopsis_leidyi_ML148937a ML148937a, Mnemiopsis_leidyi_ML08207a ML08207a, Mnemiopsis_leidyi_ML03242a ML03242a
OG0000024	sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor, sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor	Mnemiopsis_leidyi_ML327428a ML327428a, Mnemiopsis_leidyi_ML37461a ML37461a
OG0000030	XP_002691532.1 disintegrin and metalloproteinase domain-containing protein 17 isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML029519a ML029519a, Mnemiopsis_leidyi_ML306123a ML306123a, Mnemiopsis_leidyi_ML010117a ML010117a, Mnemiopsis_leidyi_ML17408a ML17408a, Mnemiopsis_leidyi_ML17409a ML17409a
OG0000030	sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor, sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor	Mnemiopsis_leidyi_ML03054a ML03054a
OG0000034	XP_024834866.1 multiple epidermal growth factor-like domains protein 8 [Bos taurus]	Mnemiopsis_leidyi_ML04261a ML04261a
OG0000036	XP_059731736.1 multiple epidermal growth factor-like domains protein 6 isoform X1 [Bos taurus], NP_001092657.1 epidermal growth factor-like protein 8 precursor [Bos taurus], XP_059747443.1 epidermal growth factor-like protein 7 isoform X1 [Bos taurus], XP_059739882.1 LOW QUALITY PROTEIN_ epidermal growth factor-like protein 6 [Bos taurus], XP_024849279.1 nephronectin isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML11227a ML11227a
OG0000041	XP_002699146.2 von Willebrand factor A domain-containing protein 5A [Bos taurus], XP_024838837.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML21898a ML21898a
OG0000041	DAA23896.1 TPA_ poly _ADP-ribose_ polymerase family_ member 4 [Bos taurus]	Mnemiopsis_leidyi_ML08024a ML08024a
OG0000044	sp|P51176.1|TGM2_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase 2; AltName_ Full=Isopeptidase TGM2; AltName_ Full=Protein-glutamine deamidase TGM2; AltName_ Full=Protein-glutamine dopaminyltransferase TGM2; AltName_ Full=Protein-glutamine histaminyltransferase TGM2; AltName_ Full=Protein-glutamine noradrenalinyltransferase TGM2; AltName_ Full=Protein-glutamine serotonyltransferase TGM2; AltName_ Full=Tissue transglutaminase; Short=TG; AltName_ Full=Transglutaminase-2; Short=TGase-2, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, XP_059748950.1 protein-glutamine gamma-glutamyltransferase 6 [Bos taurus], XP_010815593.1 protein-glutamine gamma-glutamyltransferase Z [Bos taurus], XP_005222254.2 protein-glutamine gamma-glutamyltransferase 5 isoform X1 [Bos taurus], NP_001161366.2 coagulation factor XIII A chain [Bos taurus], XP_005211321.1 protein-glutamine gamma-glutamyltransferase K isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML03126a ML03126a, Mnemiopsis_leidyi_ML25826a ML25826a
OG0000045	XP_024840205.1 laminin subunit alpha-3 isoform X1 [Bos taurus], DAA23013.1 TPA_ laminin alpha 5-like [Bos taurus], XP_024840372.1 laminin subunit alpha-1 isoform X1 [Bos taurus], XP_002690266.2 laminin subunit alpha-2 [Bos taurus]	Mnemiopsis_leidyi_ML097515a ML097515a
OG0000049	XP_024838889.2 plexin-A1 isoform X1 [Bos taurus], XP_059739547.1 plexin-A3 isoform X1 [Bos taurus], NP_001193586.1 plexin-A2 precursor [Bos taurus], NP_001178433.1 plexin-A4 precursor [Bos taurus], XP_024839049.1 plexin-B1 isoform X1 [Bos taurus], DAA13207.1 TPA_ plexin B3-like [Bos taurus], XP_059742216.1 plexin-B2 isoform X2 [Bos taurus], DAA16814.1 TPA_ plexin D1-like [Bos taurus], XP_059742393.1 plexin-C1 isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML015721a ML015721a, Mnemiopsis_leidyi_ML083035a ML083035a
OG0000054	XP_024837424.1 pro-interleukin-16 isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML095316a ML095316a
OG0000063	DAA30258.1 TPA_ GTPase_ IMAP family member 1-like [Bos taurus]	Mnemiopsis_leidyi_ML073718a ML073718a
OG0000065	NP_001095540.1 glypican-5 precursor [Bos taurus], NP_001030540.1 glypican-3 precursor [Bos taurus]	Mnemiopsis_leidyi_ML14244a ML14244a
OG0000078	sp|P01035.2|CYTC_BOVIN RecName_ Full=Cystatin-C; AltName_ Full=Colostrum thiol proteinase inhibitor; AltName_ Full=Cystatin-3; Flags_ Precursor, XP_024857137.1 cystatin-like 1 [Bos taurus], XP_059748928.1 cystatin-8 [Bos taurus], NP_001012782.1 cystatin-M precursor [Bos taurus], XP_059748930.1 cystatin-F isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML09791a ML09791a
OG0000081	sp|Q2KIT5.1|CREL2_BOVIN RecName_ Full=Protein disulfide isomerase CRELD2; AltName_ Full=Cysteine-rich with EGF-like domain protein 2; Flags_ Precursor, sp|Q5EA46.1|CREL1_BOVIN RecName_ Full=Protein disulfide isomerase CRELD1; AltName_ Full=Cysteine-rich with EGF-like domain protein 1; Flags_ Precursor	Mnemiopsis_leidyi_ML082317a ML082317a, Mnemiopsis_leidyi_ML056914a ML056914a
OG0000093	sp|P80416.1|CYTA_BOVIN RecName_ Full=Cystatin-A; AltName_ Full=Cystatin-AS; AltName_ Full=Stefin-A	Mnemiopsis_leidyi_ML093044a ML093044a
OG0000114	NP_001179877.1 host cell factor 2 [Bos taurus]	Mnemiopsis_leidyi_ML082712a ML082712a
OG0000148	NP_001094653.1 transforming growth factor beta-3 proprotein [Bos taurus], sp|P21214.3|TGFB2_BOVIN RecName_ Full=Transforming growth factor beta-2 proprotein; AltName_ Full=Milk growth factor; Short=MGF; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-2; Short=TGF-beta-2; Flags_ Precursor, XP_005216841.1 transforming growth factor beta-2 proprotein isoform X1 [Bos taurus], sp|P18341.2|TGFB1_BOVIN RecName_ Full=Transforming growth factor beta-1 proprotein; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-1; Short=TGF-beta-1; Flags_ Precursor, sp|P18341.2|TGFB1_BOVIN RecName_ Full=Transforming growth factor beta-1 proprotein; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-1; Short=TGF-beta-1; Flags_ Precursor	Mnemiopsis_leidyi_ML048212a ML048212a
OG0000156	sp|Q5EA98.1|MFAP1_BOVIN RecName_ Full=Microfibrillar-associated protein 1; AltName_ Full=Spliceosome B complex protein MFAP1	Mnemiopsis_leidyi_ML000712a ML000712a
OG0000157	XP_059743779.1 LOW QUALITY PROTEIN_ extracellular matrix organizing protein FRAS1 [Bos taurus], XP_002691845.2 FRAS1-related extracellular matrix protein 2 [Bos taurus], DAA20874.1 TPA_ FRAS1 related extracellular matrix 3 [Bos taurus], NP_001179924.1 FRAS1-related extracellular matrix protein 1 precursor [Bos taurus]	Mnemiopsis_leidyi_ML01552a ML01552a
OG0000167	NP_776793.1 integrin beta-1 precursor [Bos taurus], sp|P53712.3|ITB1_BOVIN RecName_ Full=Integrin beta-1; AltName_ Full=Fibronectin receptor subunit beta; AltName_ Full=VLA-4 subunit beta; AltName_ CD_antigen=CD29; Flags_ Precursor	Mnemiopsis_leidyi_ML068314a ML068314a
OG0000171	XP_059738228.1 peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML104332a ML104332a
OG0000177	XP_010801455.2 oviduct-specific glycoprotein isoform X1 [Bos taurus]	Mnemiopsis_leidyi_ML020010a ML020010a, Mnemiopsis_leidyi_ML07729a ML07729a
OG0000182	NP_001068891.1 2_4-dienoyl-CoA reductase [_3E_-enoyl-CoA-producing]_ mitochondrial [Bos taurus]	Mnemiopsis_leidyi_ML07572a ML07572a
OG0000202	NP_001192227.2 cysteine-rich motor neuron 1 protein precursor [Bos taurus]	Mnemiopsis_leidyi_ML161335a ML161335a
OG0000214	sp|Q5EA76.1|INT14_BOVIN RecName_ Full=Integrator complex subunit 14; AltName_ Full=von Willebrand factor A domain-containing protein 9	Mnemiopsis_leidyi_ML43434a ML43434a
OG0000277	NP_001094702.1 carboxypeptidase N subunit 2 precursor [Bos taurus]	Mnemiopsis_leidyi_ML01781a ML01781a
OG0000393	NP_001291206.1 relaxin receptor 2 precursor [Bos taurus]	Mnemiopsis_leidyi_ML06302a ML06302a
OG0000394	NP_001029474.1 SPARC-like protein 1 precursor [Bos taurus], NP_001029474.1 SPARC-like protein 1 precursor [Bos taurus]	Mnemiopsis_leidyi_ML10224a ML10224a
OG0000864	pdb|7O7F|B Chain B_ Guanine nucleotide-binding protein G_I_/G_S_/G_T_ subunit beta-1	Mnemiopsis_leidyi_ML23459a ML23459a
OG0001117	NP_001179460.1 cyclin-T2 [Bos taurus]	Mnemiopsis_leidyi_ML00157a ML00157a, Mnemiopsis_leidyi_ML05595a ML05595a, Mnemiopsis_leidyi_ML455314a ML455314a
OG0001122	XP_024846044.1 LOW QUALITY PROTEIN_ erythroferrone [Bos taurus]	Mnemiopsis_leidyi_ML057616a ML057616a
OG0001497	NP_001103470.1 vascular endothelial growth factor receptor 2 precursor [Bos taurus], NP_001103470.1 vascular endothelial growth factor receptor 2 precursor [Bos taurus]	Mnemiopsis_leidyi_ML135629a ML135629a
