Orthogroup	Chordata_Vertebrata_Bos_taurus	Nematoda_Chromadorea_Caenorhabditis_elegans
OG0000003	NP_001019705.2 regenerating islet-derived protein 3-gamma precursor [Bos taurus], NP_991356.1 lithostathine precursor [Bos taurus]	Caenorhabditis_elegans_R07C3.1 R07C3.1
OG0000003	XP_024848420.1 C-type lectin domain family 2 member B isoform X1 [Bos taurus], XP_002687852.3 C-type lectin domain family 9 member A isoform X1 [Bos taurus]	Caenorhabditis_elegans_ZK863.9 ZK863.9
OG0000003	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]	Caenorhabditis_elegans_Y48E1B.9b Y48E1B.9b, Caenorhabditis_elegans_Y48E1B.16 Y48E1B.16, Caenorhabditis_elegans_ZK896.7 ZK896.7, Caenorhabditis_elegans_Y19D10A.9 Y19D10A.9, Caenorhabditis_elegans_ZK896.6 ZK896.6, Caenorhabditis_elegans_C07A9.1 C07A9.1, Caenorhabditis_elegans_C30H6.4 C30H6.4, Caenorhabditis_elegans_C30H6.1e C30H6.1e, Caenorhabditis_elegans_C49C3.13 C49C3.13
OG0000004	DAA24504.1 TPA_ matrilin 3 [Bos taurus], NP_001095998.1 matrilin-2 precursor [Bos taurus], XP_059748343.1 matrilin-4 isoform X2 [Bos taurus], XP_059736495.1 collagen alpha-1_XXI_ chain isoform X2 [Bos taurus], XP_002692646.3 collagen alpha-1_XXII_ chain isoform X1 [Bos taurus]	Caenorhabditis_elegans_K07D8.1 K07D8.1, Caenorhabditis_elegans_K08E5.3b K08E5.3b
OG0000004	XP_024848690.2 cadherin EGF LAG seven-pass G-type receptor 1 isoform X1 [Bos taurus], sp|Q6R8F2.1|CADH1_BOVIN RecName_ Full=Cadherin-1; AltName_ Full=Epithelial cadherin; Short=E-cadherin; AltName_ CD_antigen=CD324; Contains_ RecName_ Full=E-Cad/CTF1; Contains_ RecName_ Full=E-Cad/CTF2; Contains_ RecName_ Full=E-Cad/CTF3; Flags_ Precursor	Caenorhabditis_elegans_C24B9.3 C24B9.3
OG0000006	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]	Caenorhabditis_elegans_T07H6.5c T07H6.5c
OG0000009	DAA14866.1 TPA_ tolloid-like 2-like [Bos taurus], XP_002698454.2 tolloid-like protein 2 isoform X1 [Bos taurus], NP_001180043.1 tolloid-like protein 1 precursor [Bos taurus]	Caenorhabditis_elegans_F38E9.2 F38E9.2
OG0000010	XP_010808812.1 hemicentin-2 isoform X1 [Bos taurus]	Caenorhabditis_elegans_F15G9.4e F15G9.4e
OG0000010	XP_005217262.1 agrin isoform X1 [Bos taurus]	Caenorhabditis_elegans_F41G3.12 F41G3.12
OG0000013	sp|Q5E9U6.1|WNT16_BOVIN RecName_ Full=Protein Wnt-16; Flags_ Precursor	Caenorhabditis_elegans_W08D2.1 W08D2.1
OG0000013	XP_024838518.1 protein Wnt-4 isoform X1 [Bos taurus]	Caenorhabditis_elegans_K10B4.6a K10B4.6a
OG0000013	XP_059742210.1 protein Wnt-5b isoform X1 [Bos taurus]	Caenorhabditis_elegans_W01B6.1 W01B6.1
OG0000013	DAA29954.1 TPA_ wingless-type MMTV integration site family_ member 10B-like [Bos taurus], XP_005202916.1 protein Wnt-10a isoform X1 [Bos taurus]	Caenorhabditis_elegans_E01A2.3 E01A2.3
OG0000013	XP_024836921.2 protein Wnt-9b [Bos taurus], DAA28331.1 TPA_ wingless-type MMTV integration site 9A-like [Bos taurus]	Caenorhabditis_elegans_F38E1.7 F38E1.7
OG0000014	XP_024851836.1 ADAMTS-like protein 1 isoform X1 [Bos taurus], XP_059735268.1 ADAMTS-like protein 3 isoform X1 [Bos taurus]	Caenorhabditis_elegans_F53B6.2c F53B6.2c
OG0000014	XP_024853897.1 papilin isoform X1 [Bos taurus]	Caenorhabditis_elegans_C37C3.6c C37C3.6c
OG0000014	NP_001193022.1 A disintegrin and metalloproteinase with thrombospondin motifs 20 precursor [Bos taurus], NP_001193502.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 precursor [Bos taurus]	Caenorhabditis_elegans_F25H8.3b F25H8.3b
OG0000015	NP_776398.1 zona pellucida sperm-binding protein 2 precursor [Bos taurus], sp|Q9BH10.1|ZP2_BOVIN RecName_ Full=Zona pellucida sperm-binding protein 2; AltName_ Full=Zona pellucida glycoprotein 2; Short=Zp-2; AltName_ Full=Zona pellucida protein A; Contains_ RecName_ Full=Processed zona pellucida sperm-binding protein 2; Flags_ Precursor, XP_059737125.1 zona pellucida sperm-binding protein 2 isoform X1 [Bos taurus], sp|Q9BH11.2|ZP4_BOVIN RecName_ Full=Zona pellucida sperm-binding protein 4; AltName_ Full=Zona pellucida glycoprotein 4; Short=Zp-4; AltName_ Full=Zona pellucida protein B; Contains_ RecName_ Full=Processed zona pellucida sperm-binding protein 4; Flags_ Precursor	Caenorhabditis_elegans_C43C3.3 C43C3.3
OG0000016	NP_001193569.1 macrophage metalloelastase precursor [Bos taurus], NP_001193566.1 stromelysin-1 precursor [Bos taurus], XP_059730713.1 matrix metalloproteinase-27 isoform X1 [Bos taurus], sp|O77656.1|MMP13_BOVIN RecName_ Full=Collagenase 3; AltName_ Full=Matrix metalloproteinase-13; Short=MMP-13; Flags_ Precursor, sp|O18767.1|MMP20_BOVIN RecName_ Full=Matrix metalloproteinase-20; Short=MMP-20; AltName_ Full=Enamel metalloproteinase; AltName_ Full=Enamelysin; Flags_ Precursor, XP_024833618.1 stromelysin-3 [Bos taurus], sp|Q9GLE4.1|MMP14_BOVIN RecName_ Full=Matrix metalloproteinase-14; Short=MMP-14; AltName_ Full=Membrane-type matrix metalloproteinase 1; Short=MT-MMP 1; Short=MTMMP1; AltName_ Full=Membrane-type-1 matrix metalloproteinase; Short=MT1-MMP; Short=MT1MMP; Flags_ Precursor, XP_024856667.1 matrix metalloproteinase-24 [Bos taurus], NP_001179551.1 matrix metalloproteinase-16 [Bos taurus], NP_001178363.1 matrix metalloproteinase-15 precursor [Bos taurus], DAA15654.1 TPA_ matrix metalloproteinase 25 preproprotein-like [Bos taurus], XP_002694502.1 matrix metalloproteinase-17 isoform X1 [Bos taurus], XP_024847653.1 matrix metalloproteinase-19 isoform X2 [Bos taurus], XP_024836411.1 matrix metalloproteinase-28 isoform X1 [Bos taurus]	Caenorhabditis_elegans_H36L18.1 H36L18.1
OG0000017	NP_001179167.1 neuroserpin precursor [Bos taurus], NP_001095524.1 serpin I2 precursor [Bos taurus], sp|P13909.1|PAI1_BOVIN RecName_ Full=Plasminogen activator inhibitor 1; Short=PAI; Short=PAI-1; AltName_ Full=Endothelial plasminogen activator inhibitor; AltName_ Full=Serpin E1; Flags_ Precursor, XP_059748012.1 serpin E3 isoform X1 [Bos taurus], sp|P41361.2|ANT3_BOVIN RecName_ Full=Antithrombin-III; Short=ATIII; AltName_ Full=Serpin C1; Flags_ Precursor, XP_024839237.1 leukocyte elastase inhibitor isoform X1 [Bos taurus], XP_059736204.1 serpin B6 isoform X1 [Bos taurus], NP_001069327.1 serpin B9 [Bos taurus], XP_015315532.1 serpin B8 isoform X1 [Bos taurus], XP_024840088.1 serpin B5 isoform X1 [Bos taurus], sp|A5PJK0.1|SPB10_BOVIN RecName_ Full=Serpin B10, NP_001178980.1 plasminogen activator inhibitor 2 [Bos taurus], XP_024840297.1 serpin B12 [Bos taurus], NP_001095792.2 serpin B4 [Bos taurus], XP_059737104.1 LOW QUALITY PROTEIN_ serpin B11 [Bos taurus], XP_010799074.2 serpin B7 isoform X1 [Bos taurus]	Caenorhabditis_elegans_Y32G9A.4 Y32G9A.4, Caenorhabditis_elegans_C05E4.3 C05E4.3, Caenorhabditis_elegans_F20D6.3 F20D6.3, Caenorhabditis_elegans_F20D6.4d F20D6.4d, Caenorhabditis_elegans_C03G6.19 C03G6.19, Caenorhabditis_elegans_C05E4.1 C05E4.1
OG0000019	NP_001193227.1 growth/differentiation factor 15 precursor [Bos taurus], XP_002687467.2 growth/differentiation factor 11 [Bos taurus], NP_001192912.1 inhibin beta C chain precursor [Bos taurus], NP_001192771.1 inhibin beta E chain precursor [Bos taurus]	Caenorhabditis_elegans_Y46E12BL.1b Y46E12BL.1b
OG0000019	XP_024845991.1 bone morphogenetic protein 8B [Bos taurus], NP_001193798.2 bone morphogenetic protein 8A precursor [Bos taurus], NP_001291945.1 bone morphogenetic protein 5 precursor [Bos taurus], NP_001192944.1 bone morphogenetic protein 7 precursor [Bos taurus]	Caenorhabditis_elegans_F39G3.8 F39G3.8
OG0000021	NP_001095535.1 nidogen-2 precursor [Bos taurus], NP_001094625.1 nidogen-1 precursor [Bos taurus]	Caenorhabditis_elegans_F54F3.1c F54F3.1c
OG0000022	NP_001178987.1 annexin A10 [Bos taurus]	Caenorhabditis_elegans_C37H5.1c C37H5.1c
OG0000023	XP_005225761.2 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Bos taurus], XP_024852023.1 disintegrin and metalloproteinase domain-containing protein 7 isoform X1 [Bos taurus], DAA26695.1 TPA_ Disintegrin and metalloproteinase domain-containing protein 28-like [Bos taurus], XP_010806362.2 ADAM DEC1 isoform X1 [Bos taurus], NP_001039715.1 disintegrin and metalloproteinase domain-containing protein 32 precursor [Bos taurus], DAA14469.1 TPA_ ADAM metallopeptidase domain 18 [Bos taurus], XP_024841956.1 disintegrin and metalloproteinase domain-containing protein 2 isoform X1 [Bos taurus], NP_001193401.1 a disintegrin and metallopeptidase domain 1a [Bos taurus], XP_024845019.1 disintegrin and metalloproteinase domain-containing protein 1b [Bos taurus], DAA27082.1 TPA_ ADAM metallopeptidase domain 21 [Bos taurus], XP_024851812.1 disintegrin and metalloproteinase domain-containing protein 29 isoform X1 [Bos taurus], XP_015328761.2 disintegrin and metalloproteinase domain-containing protein 20 [Bos taurus], DAA31603.1 TPA_ ADAM metallopeptidase domain 30-like [Bos taurus], NP_001179747.2 disintegrin and metalloproteinase domain-containing protein 9 precursor [Bos taurus], NP_001001156.1 disintegrin and metalloproteinase domain-containing protein 12 precursor [Bos taurus], DAA23365.1 TPA_ ADAM metallopeptidase domain 33 [Bos taurus], NP_001192371.3 disintegrin and metalloproteinase domain-containing protein 15 precursor [Bos taurus], NP_001076927.1 disintegrin and metalloproteinase domain-containing protein 23 [Bos taurus], XP_059741591.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Bos taurus], DAA18315.1 TPA_ ADAM metallopeptidase domain 11 preproprotein-like [Bos taurus]	Caenorhabditis_elegans_Y37D8A.13 Y37D8A.13
OG0000024	sp|Q08E66.1|WFKN2_BOVIN RecName_ Full=WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 2; Flags_ Precursor, NP_001192725.1 WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 precursor [Bos taurus]	Caenorhabditis_elegans_W01F3.3e W01F3.3e, Caenorhabditis_elegans_T07H8.4e T07H8.4e
OG0000024	XP_024849863.1 testican-1 isoform X1 [Bos taurus], NP_001094585.1 testican-2 precursor [Bos taurus]	Caenorhabditis_elegans_C54E4.2c C54E4.2c
OG0000028	sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, DAA13054.1 TPA_ type IV collagen alpha 5-like isoform 1 [Bos taurus], NP_001160001.2 collagen alpha-3_IV_ chain precursor [Bos taurus]	Caenorhabditis_elegans_K04H4.1b K04H4.1b
OG0000028	XP_024855939.1 collagen alpha-2_IV_ chain isoform X1 [Bos taurus], XP_005227954.1 collagen alpha-6_IV_ chain isoform X1 [Bos taurus], XP_024837496.1 collagen alpha-4_IV_ chain isoform X1 [Bos taurus]	Caenorhabditis_elegans_F01G12.5b F01G12.5b
OG0000030	XP_002691532.1 disintegrin and metalloproteinase domain-containing protein 17 isoform X1 [Bos taurus]	Caenorhabditis_elegans_ZK154.7 ZK154.7
OG0000030	sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor, sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor	Caenorhabditis_elegans_DY3.7 DY3.7
OG0000036	XP_059731736.1 multiple epidermal growth factor-like domains protein 6 isoform X1 [Bos taurus]	Caenorhabditis_elegans_Y64G10A.7e Y64G10A.7e
OG0000045	XP_024840205.1 laminin subunit alpha-3 isoform X1 [Bos taurus], DAA23013.1 TPA_ laminin alpha 5-like [Bos taurus]	Caenorhabditis_elegans_K08C7.3e K08C7.3e
OG0000049	XP_024839049.1 plexin-B1 isoform X1 [Bos taurus], DAA13207.1 TPA_ plexin B3-like [Bos taurus], XP_059742216.1 plexin-B2 isoform X2 [Bos taurus], DAA16814.1 TPA_ plexin D1-like [Bos taurus], XP_059742393.1 plexin-C1 isoform X1 [Bos taurus]	Caenorhabditis_elegans_K04B12.1 K04B12.1
OG0000063	DAA30258.1 TPA_ GTPase_ IMAP family member 1-like [Bos taurus]	Caenorhabditis_elegans_ZK1290.12 ZK1290.12, Caenorhabditis_elegans_ZK678.5 ZK678.5, Caenorhabditis_elegans_ZK1037.10 ZK1037.10, Caenorhabditis_elegans_C29F3.2 C29F3.2, Caenorhabditis_elegans_ZK377.1 ZK377.1, Caenorhabditis_elegans_T05C12.10 T05C12.10
OG0000065	NP_001095540.1 glypican-5 precursor [Bos taurus], NP_001030540.1 glypican-3 precursor [Bos taurus]	Caenorhabditis_elegans_C39E6.1 C39E6.1
OG0000068	XP_002695021.1 galectin-7 [Bos taurus], DAA15163.1 TPA_ galectin-related inter-fiber protein-like [Bos taurus], NP_001192760.1 galectin-related protein [Bos taurus], sp|Q3T0D6.1|LEG4_BOVIN RecName_ Full=Galectin-4; Short=Gal-4, XP_002699418.1 galectin-12 [Bos taurus]	Caenorhabditis_elegans_W09H1.6b W09H1.6b, Caenorhabditis_elegans_F52H3.7b F52H3.7b, Caenorhabditis_elegans_ZK1248.16 ZK1248.16, Caenorhabditis_elegans_C44F1.3 C44F1.3, Caenorhabditis_elegans_C53D6.7 C53D6.7
OG0000068	NP_001244020.1 galectin-2 isoform 1 [Bos taurus]	Caenorhabditis_elegans_Y41C4A.5 Y41C4A.5, Caenorhabditis_elegans_Y55B1AR.1 Y55B1AR.1
OG0000074	NP_001178445.2 slit homolog 2 protein precursor [Bos taurus], DAA18060.1 TPA_ slit homolog 3 [Bos taurus], XP_002698459.1 slit homolog 1 protein [Bos taurus]	Caenorhabditis_elegans_F40E10.4 F40E10.4
OG0000078	sp|P05689.2|CATZ_BOVIN RecName_ Full=Cathepsin Z; Flags_ Precursor, XP_010816338.1 tubulointerstitial nephritis antigen isoform X1 [Bos taurus], DAA32345.1 TPA_ tubulointerstitial nephritis antigen-like 1-like [Bos taurus]	Caenorhabditis_elegans_F26E4.3 F26E4.3
OG0000078	XP_005227111.2 cathepsin W isoform X1 [Bos taurus], NP_001068884.1 cathepsin F precursor [Bos taurus]	Caenorhabditis_elegans_F41E6.6 F41E6.6
OG0000081	sp|Q2KIT5.1|CREL2_BOVIN RecName_ Full=Protein disulfide isomerase CRELD2; AltName_ Full=Cysteine-rich with EGF-like domain protein 2; Flags_ Precursor, sp|Q5EA46.1|CREL1_BOVIN RecName_ Full=Protein disulfide isomerase CRELD1; AltName_ Full=Cysteine-rich with EGF-like domain protein 1; Flags_ Precursor	Caenorhabditis_elegans_F09E8.2b F09E8.2b, Caenorhabditis_elegans_F56H11.1e F56H11.1e
OG0000083	NP_001193181.1 hyaluronidase-3 precursor [Bos taurus], sp|Q5E985.1|HYAL1_BOVIN RecName_ Full=Hyaluronidase-1; Short=Hyal-1; AltName_ Full=Hyaluronoglucosaminidase-1; Flags_ Precursor, XP_059741399.1 sperm adhesion molecule 1 isoform X1 [Bos taurus], XP_003586042.1 hyaluronidase-4 [Bos taurus], sp|Q8SQG8.1|HYAL2_BOVIN RecName_ Full=Hyaluronidase-2; Short=Hyal-2; AltName_ Full=Hyaluronoglucosaminidase-2; Flags_ Precursor	Caenorhabditis_elegans_T22C8.2 T22C8.2
OG0000084	NP_001178214.2 collagen alpha-1_XV_ chain precursor [Bos taurus], XP_024830782.1 collagen alpha-1_XVIII_ chain isoform X1 [Bos taurus]	Caenorhabditis_elegans_C36B1.1d C36B1.1d
OG0000088	sp|Q9GLX9.1|SPON1_BOVIN RecName_ Full=Spondin-1; AltName_ Full=F-spondin; AltName_ Full=Vascular smooth muscle cell growth-promoting factor; Flags_ Precursor	Caenorhabditis_elegans_F10E7.4 F10E7.4
OG0000095	XP_024852606.1 SPARC-related modular calcium-binding protein 2 isoform X1 [Bos taurus], XP_005212006.1 SPARC-related modular calcium-binding protein 1 isoform X1 [Bos taurus]	Caenorhabditis_elegans_T04F3.2 T04F3.2
OG0000102	XP_005222280.1 fibulin-5 isoform X1 [Bos taurus], NP_001075186.1 EGF-containing fibulin-like extracellular matrix protein 1 precursor [Bos taurus]	Caenorhabditis_elegans_ZK783.1e ZK783.1e
OG0000114	NP_001179877.1 host cell factor 2 [Bos taurus]	Caenorhabditis_elegans_C46A5.9 C46A5.9
OG0000120	XP_002692376.1 syndecan-4 [Bos taurus], sp|Q58DD4.1|SDC2_BOVIN RecName_ Full=Syndecan-2; Short=SYND2; AltName_ CD_antigen=CD362; Flags_ Precursor, sp|Q08DZ5.1|SDC1_BOVIN RecName_ Full=Syndecan-1; Short=SYND1; AltName_ CD_antigen=CD138; Flags_ Precursor, DAA32372.1 TPA_ syndecan 3-like [Bos taurus]	Caenorhabditis_elegans_F57C7.3b F57C7.3b
OG0000156	sp|Q5EA98.1|MFAP1_BOVIN RecName_ Full=Microfibrillar-associated protein 1; AltName_ Full=Spliceosome B complex protein MFAP1	Caenorhabditis_elegans_F43G9.10 F43G9.10
OG0000166	NP_776886.1 secreted frizzled-related protein 5 precursor [Bos taurus], sp|Q9XSC1.1|SFRP5_BOVIN RecName_ Full=Secreted frizzled-related protein 5; Short=sFRP-5; Flags_ Precursor, NP_776886.1 secreted frizzled-related protein 5 precursor [Bos taurus]	Caenorhabditis_elegans_Y73B6BL.21d Y73B6BL.21d
OG0000174	XP_010814270.1 C-type lectin domain family 10 member A isoform X1 [Bos taurus]	Caenorhabditis_elegans_ZK858.3 ZK858.3, Caenorhabditis_elegans_C25A1.8 C25A1.8, Caenorhabditis_elegans_K10B2.3b K10B2.3b, Caenorhabditis_elegans_C25B8.4c C25B8.4c
OG0000202	NP_001192227.2 cysteine-rich motor neuron 1 protein precursor [Bos taurus]	Caenorhabditis_elegans_B0024.14d B0024.14d
OG0000248	DAA12529.1 TPA_ Kallmann syndrome 1 protein [Bos taurus]	Caenorhabditis_elegans_K03D10.1 K03D10.1
OG0000269	XP_002690971.1 gliomedin isoform X1 [Bos taurus], sp|Q9XTA3.1|MYOC_BOVIN RecName_ Full=Myocilin; AltName_ Full=Myocilin 55 kDa subunit; AltName_ Full=Trabecular meshwork-induced glucocorticoid response protein; Contains_ RecName_ Full=Myocilin_ N-terminal fragment; AltName_ Full=Myocilin 20 kDa N-terminal fragment; Contains_ RecName_ Full=Myocilin_ C-terminal fragment; AltName_ Full=Myocilin 35 kDa N-terminal fragment; Flags_ Precursor	Caenorhabditis_elegans_F11C3.2 F11C3.2, Caenorhabditis_elegans_C48E7.5 C48E7.5
OG0000351	NP_786968.2 kininogen-1 isoform I precursor [Bos taurus], sp|P01044.1|KNG1_BOVIN RecName_ Full=Kininogen-1; AltName_ Full=Kininogen I; AltName_ Full=Thiol proteinase inhibitor; Contains_ RecName_ Full=Kininogen-1 heavy chain; Contains_ RecName_ Full=Bradykinin; AltName_ Full=Kallidin I; Contains_ RecName_ Full=Lysyl-bradykinin; AltName_ Full=Kallidin II; Contains_ RecName_ Full=Kininogen-1 light chain; Flags_ Precursor	Caenorhabditis_elegans_K08B4.6 K08B4.6, Caenorhabditis_elegans_R01B10.1a R01B10.1a
OG0000353	XP_002689082.4 collagen alpha-1_XXIII_ chain [Bos taurus]	Caenorhabditis_elegans_F29C4.8e F29C4.8e
