Orthogroup	Chordata_Vertebrata_Bos_taurus	Placozoa_Trichoplacidae_Trichoplax_spec-H2
OG0000010	XP_024846455.1 immunoglobulin superfamily member 10 isoform X1 [Bos taurus], XP_005228525.2 matrix-remodeling-associated protein 5 isoform X1 [Bos taurus]	Trichoplax_specH2_tr_A0A369RVV2_A0A369RVV2_9METZ tr|A0A369RVV2|A0A369RVV2_9METZ Neural cell adhesion molecule 2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010641 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RWI3_A0A369RWI3_9METZ tr|A0A369RWI3|A0A369RWI3_9METZ Protein sax-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010638 PE=4 SV=1
OG0000010	XP_015316344.2 basement membrane-specific heparan sulfate proteoglycan core protein isoform X1 [Bos taurus]	Trichoplax_specH2_tr_A0A369SBT0_A0A369SBT0_9METZ tr|A0A369SBT0|A0A369SBT0_9METZ Agrin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_004613 PE=4 SV=1
OG0000010	sp|Q1LZB9.1|FSTL3_BOVIN RecName_ Full=Follistatin-related protein 3; AltName_ Full=Follistatin-like protein 3; Flags_ Precursor	Trichoplax_specH2_tr_A0A369SGZ7_A0A369SGZ7_9METZ tr|A0A369SGZ7|A0A369SGZ7_9METZ Follistatin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002122 PE=4 SV=1
OG0000011	XP_005222860.2 hepatocyte growth factor-like protein isoform X1 [Bos taurus], NP_001026921.1 hepatocyte growth factor precursor [Bos taurus]	Trichoplax_specH2_tr_A0A369SG72_A0A369SG72_9METZ tr|A0A369SG72|A0A369SG72_9METZ Plasminogen OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001906 PE=4 SV=1
OG0000012	sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor	Trichoplax_specH2_tr_A0A369RVP1_A0A369RVP1_9METZ tr|A0A369RVP1|A0A369RVP1_9METZ SCO-spondin _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008599 PE=4 SV=1
OG0000012	NP_001071465.1 BMP-binding endothelial regulator protein precursor [Bos taurus], DAA30402.1 TPA_ kielin/chordin-like protein [Bos taurus], NP_001178138.1 von Willebrand factor C and EGF domain-containing protein precursor [Bos taurus]	Trichoplax_specH2_tr_A0A369RVG2_A0A369RVG2_9METZ tr|A0A369RVG2|A0A369RVG2_9METZ BMP-binding endothelial regulator protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010308 PE=4 SV=1
OG0000013	NP_001179299.1 protein Wnt-8a [Bos taurus], XP_059737951.1 protein Wnt-8b [Bos taurus]	Trichoplax_specH2_tr_A0A369RTS8_A0A369RTS8_9METZ tr|A0A369RTS8|A0A369RTS8_9METZ Protein Wnt OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010556 PE=3 SV=1, Trichoplax_specH2_tr_A0A369SL16_A0A369SL16_9METZ tr|A0A369SL16|A0A369SL16_9METZ Protein Wnt OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_000144 PE=3 SV=1
OG0000014	XP_024855422.1 A disintegrin and metalloproteinase with thrombospondin motifs 13 [Bos taurus], NP_001192863.3 ADAMTS-like protein 2 precursor [Bos taurus], XP_059746586.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Bos taurus], XP_024851836.1 ADAMTS-like protein 1 isoform X1 [Bos taurus], XP_059735268.1 ADAMTS-like protein 3 isoform X1 [Bos taurus], XP_059734805.1 A disintegrin and metalloproteinase with thrombospondin motifs 16 [Bos taurus], XP_059732709.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 isoform X1 [Bos taurus], sp|P79331.1|ATS2_BOVIN RecName_ Full=A disintegrin and metalloproteinase with thrombospondin motifs 2; Short=ADAM-TS 2; Short=ADAM-TS2; Short=ADAMTS-2; AltName_ Full=Procollagen I N-proteinase; Short=PC I-NP; AltName_ Full=Procollagen I/II amino propeptide-processing enzyme; AltName_ Full=Procollagen N-endopeptidase; Short=pNPI; Flags_ Precursor, XP_005226419.1 A disintegrin and metalloproteinase with thrombospondin motifs 14 isoform X1 [Bos taurus], NP_001179726.1 A disintegrin and metalloproteinase with thrombospondin motifs 3 precursor [Bos taurus], NP_001179945.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 precursor [Bos taurus], XP_059744100.1 A disintegrin and metalloproteinase with thrombospondin motifs 10 isoform X1 [Bos taurus], XP_024837785.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X1 [Bos taurus], NP_001179538.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 precursor [Bos taurus], XP_024838029.1 A disintegrin and metalloproteinase with thrombospondin motifs 17 isoform X1 [Bos taurus], NP_001193043.1 A disintegrin and metalloproteinase with thrombospondin motifs 19 precursor [Bos taurus], XP_024853897.1 papilin isoform X1 [Bos taurus], XP_024850913.1 ADAMTS-like protein 5 isoform X1 [Bos taurus], NP_001193022.1 A disintegrin and metalloproteinase with thrombospondin motifs 20 precursor [Bos taurus], NP_001193502.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 precursor [Bos taurus], NP_001159987.1 A disintegrin and metalloproteinase with thrombospondin motifs 5 precursor [Bos taurus], NP_001094550.1 A disintegrin and metalloproteinase with thrombospondin motifs 1 [Bos taurus], NP_001179254.2 A disintegrin and metalloproteinase with thrombospondin motifs 8 precursor [Bos taurus]	Trichoplax_specH2_tr_A0A369S333_A0A369S333_9METZ tr|A0A369S333|A0A369S333_9METZ A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005653 PE=4 SV=1
OG0000017	NP_001179167.1 neuroserpin precursor [Bos taurus], NP_001095524.1 serpin I2 precursor [Bos taurus], sp|P13909.1|PAI1_BOVIN RecName_ Full=Plasminogen activator inhibitor 1; Short=PAI; Short=PAI-1; AltName_ Full=Endothelial plasminogen activator inhibitor; AltName_ Full=Serpin E1; Flags_ Precursor, XP_059748012.1 serpin E3 isoform X1 [Bos taurus]	Trichoplax_specH2_tr_A0A369SDI5_A0A369SDI5_9METZ tr|A0A369SDI5|A0A369SDI5_9METZ Neuroserpin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002454 PE=3 SV=1
OG0000017	sp|P41361.2|ANT3_BOVIN RecName_ Full=Antithrombin-III; Short=ATIII; AltName_ Full=Serpin C1; Flags_ Precursor, XP_024839237.1 leukocyte elastase inhibitor isoform X1 [Bos taurus], XP_059736204.1 serpin B6 isoform X1 [Bos taurus], NP_001069327.1 serpin B9 [Bos taurus], XP_015315532.1 serpin B8 isoform X1 [Bos taurus], XP_024840088.1 serpin B5 isoform X1 [Bos taurus], sp|A5PJK0.1|SPB10_BOVIN RecName_ Full=Serpin B10, NP_001178980.1 plasminogen activator inhibitor 2 [Bos taurus], XP_024840297.1 serpin B12 [Bos taurus], NP_001095792.2 serpin B4 [Bos taurus], XP_059737104.1 LOW QUALITY PROTEIN_ serpin B11 [Bos taurus], XP_010799074.2 serpin B7 isoform X1 [Bos taurus]	Trichoplax_specH2_tr_A0A369S4E6_A0A369S4E6_9METZ tr|A0A369S4E6|A0A369S4E6_9METZ Serpin B10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006507 PE=3 SV=1, Trichoplax_specH2_tr_A0A369S5H0_A0A369S5H0_9METZ tr|A0A369S5H0|A0A369S5H0_9METZ Serpin B9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006508 PE=3 SV=1
OG0000018	XP_059738076.1 deleted in malignant brain tumors 1 protein [Bos taurus]	Trichoplax_specH2_tr_A0A369S493_A0A369S493_9METZ tr|A0A369S493|A0A369S493_9METZ Sortilin-related receptor OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007580 PE=3 SV=1
OG0000018	NP_001039781.1 galectin-3-binding protein precursor [Bos taurus], NP_001039781.1 galectin-3-binding protein precursor [Bos taurus]	Trichoplax_specH2_tr_A0A369RS12_A0A369RS12_9METZ tr|A0A369RS12|A0A369RS12_9METZ Neurogenic locus Notch protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010937 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RLU0_A0A369RLU0_9METZ tr|A0A369RLU0|A0A369RLU0_9METZ Scavenger receptor cysteine-rich domain superfamily protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_012026 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SBL6_A0A369SBL6_9METZ tr|A0A369SBL6|A0A369SBL6_9METZ Neurogenic locus notch-like protein 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003460 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S179_A0A369S179_9METZ tr|A0A369S179|A0A369S179_9METZ Deleted in malignant brain tumors 1 protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007263 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RNM2_A0A369RNM2_9METZ tr|A0A369RNM2|A0A369RNM2_9METZ Scavenger receptor cysteine-rich domain superfamily protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011888 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S394_A0A369S394_9METZ tr|A0A369S394|A0A369S394_9METZ Deleted in malignant brain tumors 1 protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005649 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RNE8_A0A369RNE8_9METZ tr|A0A369RNE8|A0A369RNE8_9METZ Scavenger receptor cysteine-rich domain superfamily protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011666 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S0X8_A0A369S0X8_9METZ tr|A0A369S0X8|A0A369S0X8_9METZ Deleted in malignant brain tumors 1 protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007445 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S5N9_A0A369S5N9_9METZ tr|A0A369S5N9|A0A369S5N9_9METZ Deleted in malignant brain tumors 1 protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005286 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RV21_A0A369RV21_9METZ tr|A0A369RV21|A0A369RV21_9METZ Deleted in malignant brain tumors 1 protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009063 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SFS7_A0A369SFS7_9METZ tr|A0A369SFS7|A0A369SFS7_9METZ Deleted in malignant brain tumors 1 protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002800 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SFF2_A0A369SFF2_9METZ tr|A0A369SFF2|A0A369SFF2_9METZ Deleted in malignant brain tumors 1 protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002801 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SFG1_A0A369SFG1_9METZ tr|A0A369SFG1|A0A369SFG1_9METZ Deleted in malignant brain tumors 1 protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002804 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SFL5_A0A369SFL5_9METZ tr|A0A369SFL5|A0A369SFL5_9METZ Deleted in malignant brain tumors 1 protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002803 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S4B2_A0A369S4B2_9METZ tr|A0A369S4B2|A0A369S4B2_9METZ Deleted in malignant brain tumors 1 protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005663 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RQM6_A0A369RQM6_9METZ tr|A0A369RQM6|A0A369RQM6_9METZ Neurogenic locus Notch protein _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011146 PE=4 SV=1
OG0000019	NP_001192912.1 inhibin beta C chain precursor [Bos taurus], NP_001192771.1 inhibin beta E chain precursor [Bos taurus]	Trichoplax_specH2_tr_A0A369SHA9_A0A369SHA9_9METZ tr|A0A369SHA9|A0A369SHA9_9METZ Growth/differentiation factor 8 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001421 PE=3 SV=1
OG0000021	NP_001095535.1 nidogen-2 precursor [Bos taurus], NP_001094625.1 nidogen-1 precursor [Bos taurus]	Trichoplax_specH2_tr_A0A369RTQ1_A0A369RTQ1_9METZ tr|A0A369RTQ1|A0A369RTQ1_9METZ Nidogen-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009409 PE=4 SV=1
OG0000022	NP_001178987.1 annexin A10 [Bos taurus]	Trichoplax_specH2_tr_A0A369SEG5_A0A369SEG5_9METZ tr|A0A369SEG5|A0A369SEG5_9METZ Annexin A13 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002403 PE=3 SV=1
OG0000022	XP_005226473.2 annexin A7 isoform X1 [Bos taurus]	Trichoplax_specH2_tr_A0A369SFY9_A0A369SFY9_9METZ tr|A0A369SFY9|A0A369SFY9_9METZ Annexin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002457 PE=3 SV=1
OG0000023	XP_005225761.2 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Bos taurus], XP_024852023.1 disintegrin and metalloproteinase domain-containing protein 7 isoform X1 [Bos taurus], DAA26695.1 TPA_ Disintegrin and metalloproteinase domain-containing protein 28-like [Bos taurus], XP_010806362.2 ADAM DEC1 isoform X1 [Bos taurus], NP_001039715.1 disintegrin and metalloproteinase domain-containing protein 32 precursor [Bos taurus], DAA14469.1 TPA_ ADAM metallopeptidase domain 18 [Bos taurus], XP_024841956.1 disintegrin and metalloproteinase domain-containing protein 2 isoform X1 [Bos taurus], NP_001193401.1 a disintegrin and metallopeptidase domain 1a [Bos taurus], XP_024845019.1 disintegrin and metalloproteinase domain-containing protein 1b [Bos taurus], DAA27082.1 TPA_ ADAM metallopeptidase domain 21 [Bos taurus], XP_024851812.1 disintegrin and metalloproteinase domain-containing protein 29 isoform X1 [Bos taurus], XP_015328761.2 disintegrin and metalloproteinase domain-containing protein 20 [Bos taurus], DAA31603.1 TPA_ ADAM metallopeptidase domain 30-like [Bos taurus], NP_001179747.2 disintegrin and metalloproteinase domain-containing protein 9 precursor [Bos taurus], NP_001001156.1 disintegrin and metalloproteinase domain-containing protein 12 precursor [Bos taurus], DAA23365.1 TPA_ ADAM metallopeptidase domain 33 [Bos taurus], NP_001192371.3 disintegrin and metalloproteinase domain-containing protein 15 precursor [Bos taurus], NP_001076927.1 disintegrin and metalloproteinase domain-containing protein 23 [Bos taurus], XP_059741591.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Bos taurus], DAA18315.1 TPA_ ADAM metallopeptidase domain 11 preproprotein-like [Bos taurus]	Trichoplax_specH2_tr_A0A369RUH1_A0A369RUH1_9METZ tr|A0A369RUH1|A0A369RUH1_9METZ Disintegrin and metalloproteinase domain-containing protein 12 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009954 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RP58_A0A369RP58_9METZ tr|A0A369RP58|A0A369RP58_9METZ Disintegrin and metalloproteinase domain-containing protein 9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011592 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RUI2_A0A369RUI2_9METZ tr|A0A369RUI2|A0A369RUI2_9METZ Disintegrin and metalloproteinase domain-containing protein 12 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009955 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RUG6_A0A369RUG6_9METZ tr|A0A369RUG6|A0A369RUG6_9METZ Disintegrin and metalloproteinase domain-containing protein 9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009958 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RNG1_A0A369RNG1_9METZ tr|A0A369RNG1|A0A369RNG1_9METZ Disintegrin and metalloproteinase domain-containing protein 12 _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011748 PE=4 SV=1
OG0000024	sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor, sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor	Trichoplax_specH2_tr_A0A369S7Y3_A0A369S7Y3_9METZ tr|A0A369S7Y3|A0A369S7Y3_9METZ Equistatin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005616 PE=4 SV=1
OG0000024	sp|Q08E66.1|WFKN2_BOVIN RecName_ Full=WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 2; Flags_ Precursor, NP_001192725.1 WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 precursor [Bos taurus]	Trichoplax_specH2_tr_A0A369RTM3_A0A369RTM3_9METZ tr|A0A369RTM3|A0A369RTM3_9METZ Boophilin-H2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009566 PE=4 SV=1
