Orthogroup	Chordata_Vertebrata_Bos_taurus	Porifera_Demospongiae_Ephydatia_muelleri
OG0000041	XP_024838837.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0020g781a Em0020g781a, Ephydatia_muelleri_Em0398g6a Em0398g6a
OG0000044	sp|P51176.1|TGM2_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase 2; AltName_ Full=Isopeptidase TGM2; AltName_ Full=Protein-glutamine deamidase TGM2; AltName_ Full=Protein-glutamine dopaminyltransferase TGM2; AltName_ Full=Protein-glutamine histaminyltransferase TGM2; AltName_ Full=Protein-glutamine noradrenalinyltransferase TGM2; AltName_ Full=Protein-glutamine serotonyltransferase TGM2; AltName_ Full=Tissue transglutaminase; Short=TG; AltName_ Full=Transglutaminase-2; Short=TGase-2, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, XP_059748950.1 protein-glutamine gamma-glutamyltransferase 6 [Bos taurus], XP_010815593.1 protein-glutamine gamma-glutamyltransferase Z [Bos taurus], XP_005222254.2 protein-glutamine gamma-glutamyltransferase 5 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a
OG0000045	NP_001192894.1 laminin subunit alpha-4 precursor [Bos taurus]	Ephydatia_muelleri_Em0009g1117a Em0009g1117a
OG0000049	XP_024838889.2 plexin-A1 isoform X1 [Bos taurus], XP_059739547.1 plexin-A3 isoform X1 [Bos taurus], NP_001193586.1 plexin-A2 precursor [Bos taurus], NP_001178433.1 plexin-A4 precursor [Bos taurus], XP_024839049.1 plexin-B1 isoform X1 [Bos taurus], DAA13207.1 TPA_ plexin B3-like [Bos taurus], XP_059742216.1 plexin-B2 isoform X2 [Bos taurus], DAA16814.1 TPA_ plexin D1-like [Bos taurus], XP_059742393.1 plexin-C1 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0014g267a Em0014g267a
OG0000054	XP_024837424.1 pro-interleukin-16 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0001g3101a Em0001g3101a
OG0000065	NP_001095540.1 glypican-5 precursor [Bos taurus], NP_001030540.1 glypican-3 precursor [Bos taurus]	Ephydatia_muelleri_Em0021g136a Em0021g136a, Ephydatia_muelleri_Em0021g28a Em0021g28a
OG0000068	XP_002695021.1 galectin-7 [Bos taurus], DAA15163.1 TPA_ galectin-related inter-fiber protein-like [Bos taurus], NP_001192760.1 galectin-related protein [Bos taurus], sp|Q3T0D6.1|LEG4_BOVIN RecName_ Full=Galectin-4; Short=Gal-4, XP_002699418.1 galectin-12 [Bos taurus]	Ephydatia_muelleri_Em0004g1059a Em0004g1059a
OG0000068	NP_001244020.1 galectin-2 isoform 1 [Bos taurus]	Ephydatia_muelleri_Em0017g649a Em0017g649a
OG0000081	sp|Q2KIT5.1|CREL2_BOVIN RecName_ Full=Protein disulfide isomerase CRELD2; AltName_ Full=Cysteine-rich with EGF-like domain protein 2; Flags_ Precursor, sp|Q5EA46.1|CREL1_BOVIN RecName_ Full=Protein disulfide isomerase CRELD1; AltName_ Full=Cysteine-rich with EGF-like domain protein 1; Flags_ Precursor	Ephydatia_muelleri_Em0001g262a Em0001g262a
OG0000083	NP_001193181.1 hyaluronidase-3 precursor [Bos taurus], sp|Q5E985.1|HYAL1_BOVIN RecName_ Full=Hyaluronidase-1; Short=Hyal-1; AltName_ Full=Hyaluronoglucosaminidase-1; Flags_ Precursor, XP_059741399.1 sperm adhesion molecule 1 isoform X1 [Bos taurus], XP_003586042.1 hyaluronidase-4 [Bos taurus], sp|Q8SQG8.1|HYAL2_BOVIN RecName_ Full=Hyaluronidase-2; Short=Hyal-2; AltName_ Full=Hyaluronoglucosaminidase-2; Flags_ Precursor	Ephydatia_muelleri_Em0023g687a Em0023g687a, Ephydatia_muelleri_Em0023g690a Em0023g690a
OG0000114	NP_001179877.1 host cell factor 2 [Bos taurus]	Ephydatia_muelleri_Em0014g123a Em0014g123a, Ephydatia_muelleri_Em0014g127a Em0014g127a
OG0000148	NP_001094653.1 transforming growth factor beta-3 proprotein [Bos taurus], sp|P21214.3|TGFB2_BOVIN RecName_ Full=Transforming growth factor beta-2 proprotein; AltName_ Full=Milk growth factor; Short=MGF; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-2; Short=TGF-beta-2; Flags_ Precursor, XP_005216841.1 transforming growth factor beta-2 proprotein isoform X1 [Bos taurus], sp|P18341.2|TGFB1_BOVIN RecName_ Full=Transforming growth factor beta-1 proprotein; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-1; Short=TGF-beta-1; Flags_ Precursor, sp|P18341.2|TGFB1_BOVIN RecName_ Full=Transforming growth factor beta-1 proprotein; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-1; Short=TGF-beta-1; Flags_ Precursor	Ephydatia_muelleri_Em0015g1213a Em0015g1213a, Ephydatia_muelleri_Em0015g1236a Em0015g1236a
OG0000156	sp|Q5EA98.1|MFAP1_BOVIN RecName_ Full=Microfibrillar-associated protein 1; AltName_ Full=Spliceosome B complex protein MFAP1	Ephydatia_muelleri_Em0017g31a Em0017g31a
OG0000158	sp|Q32L50.2|SBSPO_BOVIN RecName_ Full=Somatomedin-B and thrombospondin type-1 domain-containing protein; AltName_ Full=RPE-spondin; Flags_ Precursor	Ephydatia_muelleri_Em0023g200a Em0023g200a
OG0000166	NP_001069232.1 secreted frizzled-related protein 4 precursor [Bos taurus]	Ephydatia_muelleri_Em0016g600a Em0016g600a, Ephydatia_muelleri_Em0016g747a Em0016g747a, Ephydatia_muelleri_Em0016g746a Em0016g746a, Ephydatia_muelleri_Em0016g753a Em0016g753a
OG0000177	XP_010801455.2 oviduct-specific glycoprotein isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0008g1060a Em0008g1060a
OG0000182	NP_001068891.1 2_4-dienoyl-CoA reductase [_3E_-enoyl-CoA-producing]_ mitochondrial [Bos taurus]	Ephydatia_muelleri_Em0020g994a Em0020g994a, Ephydatia_muelleri_Em0714g1a Em0714g1a
OG0000209	DAA23975.1 TPA_ integrator complex subunit 6 [Bos taurus]	Ephydatia_muelleri_Em0021g593a Em0021g593a
OG0000214	sp|Q5EA76.1|INT14_BOVIN RecName_ Full=Integrator complex subunit 14; AltName_ Full=von Willebrand factor A domain-containing protein 9	Ephydatia_muelleri_Em0009g1219a Em0009g1219a
OG0000252	XP_024843246.1 protein kinase C-binding protein NELL1 isoform X1 [Bos taurus], XP_059742460.1 protein kinase C-binding protein NELL2 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0021g373a Em0021g373a
OG0000284	NP_001012285.2 leptin receptor [Bos taurus]	Ephydatia_muelleri_Em0001g1874a Em0001g1874a
OG0000363	XP_002696881.1 HHIP-like protein 1 [Bos taurus]	Ephydatia_muelleri_Em0010g253a Em0010g253a
OG0000413	DAA17578.1 TPA_ chondroitin sulfate proteoglycan 4-like [Bos taurus]	Ephydatia_muelleri_Em0009g1070a Em0009g1070a
OG0000432	NP_776743.1 fibroblast growth factor receptor 3 precursor [Bos taurus], NP_001192239.1 fibroblast growth factor receptor 2 [Bos taurus], DAA28680.1 TPA_ tec protein tyrosine kinase [Bos taurus], sp|Q769I5.1|MET_BOVIN RecName_ Full=Hepatocyte growth factor receptor; Short=HGF receptor; AltName_ Full=HGF/SF receptor; AltName_ Full=Proto-oncogene c-Met; AltName_ Full=Scatter factor receptor; Short=SF receptor; AltName_ Full=Tyrosine-protein kinase Met; Flags_ Precursor, sp|Q769I5.1|MET_BOVIN RecName_ Full=Hepatocyte growth factor receptor; Short=HGF receptor; AltName_ Full=HGF/SF receptor; AltName_ Full=Proto-oncogene c-Met; AltName_ Full=Scatter factor receptor; Short=SF receptor; AltName_ Full=Tyrosine-protein kinase Met; Flags_ Precursor	Ephydatia_muelleri_Em0021g712a Em0021g712a, Ephydatia_muelleri_Em0021g700a Em0021g700a, Ephydatia_muelleri_Em0021g710a Em0021g710a, Ephydatia_muelleri_Em0021g676a Em0021g676a, Ephydatia_muelleri_Em0021g695a Em0021g695a
OG0001920	NP_001180184.1 multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 precursor [Bos taurus]	Ephydatia_muelleri_Em0008g105a Em0008g105a
