Orthogroup	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Danio_rerio
OG0000002	XP_059741517.1 semaphorin-3C isoform X1 [Bos taurus]	Danio_rerio_tr_A0A1A8AQ50_A0A1A8AQ50_NOTFU tr|A0A1A8AQ50|A0A1A8AQ50_NOTFU Semaphorin 3ga OS=Nothobranchius furzeri OX=105023 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8EGA6_A0A1A8EGA6_9TELE tr|A0A1A8EGA6|A0A1A8EGA6_9TELE Semaphorin 3ga OS=Nothobranchius kadleci OX=1051664 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8MXQ7_A0A1A8MXQ7_9TELE tr|A0A1A8MXQ7|A0A1A8MXQ7_9TELE Semaphorin 3ga OS=Nothobranchius pienaari OX=704102 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8QUT7_A0A1A8QUT7_9TELE tr|A0A1A8QUT7|A0A1A8QUT7_9TELE Semaphorin 3ga OS=Nothobranchius rachovii OX=451742 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8J989_A0A1A8J989_NOTKU tr|A0A1A8J989|A0A1A8J989_NOTKU Semaphorin 3ga OS=Nothobranchius kuhntae OX=321403 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8G211_A0A1A8G211_9TELE tr|A0A1A8G211|A0A1A8G211_9TELE Semaphorin 3ga OS=Nothobranchius korthausae OX=1143690 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A1L5C9_A1L5C9_DANRE tr|A1L5C9|A1L5C9_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Ga isoform X1 OS=Danio rerio OX=7955 GN=sema3ga PE=2 SV=1, Danio_rerio_tr_Q5ID22_Q5ID22_DANRE tr|Q5ID22|Q5ID22_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Ga precursor OS=Danio rerio OX=7955 GN=sema3Ga PE=2 SV=1, Danio_rerio_tr_B0S5G6_B0S5G6_DANRE tr|B0S5G6|B0S5G6_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Gb isoform X2 OS=Danio rerio OX=7955 GN=sema3gb PE=1 SV=1, Danio_rerio_tr_Q5ID21_Q5ID21_DANRE tr|Q5ID21|Q5ID21_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Gb precursor OS=Danio rerio OX=7955 GN=sema3Gb PE=1 SV=1
OG0000002	XP_003586003.2 semaphorin-3E [Bos taurus]	Danio_rerio_tr_Q1LYS1_Q1LYS1_DANRE tr|Q1LYS1|Q1LYS1_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3E OS=Danio rerio OX=7955 GN=fj37c11 PE=3 SV=1
OG0000002	XP_010816133.2 semaphorin-3G isoform X1 [Bos taurus]	Danio_rerio_tr_M9MM97_M9MM97_DANRE tr|M9MM97|M9MM97_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3bl OS=Danio rerio OX=7955 GN=fc22d04 PE=3 SV=1
OG0000002	sp|Q5EA85.1|SEM4A_BOVIN RecName_ Full=Semaphorin-4A; Flags_ Precursor	Danio_rerio_tr_F1R501_F1R501_DANRE tr|F1R501|F1R501_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4Ab OS=Danio rerio OX=7955 GN=sema4ab PE=3 SV=1
OG0000002	XP_003586665.1 semaphorin-4F isoform X1 [Bos taurus], XP_059745283.1 semaphorin-4D isoform X1 [Bos taurus], XP_010818201.1 semaphorin-4G isoform X1 [Bos taurus], NP_001094587.1 semaphorin-4G precursor [Bos taurus], XP_024854545.1 semaphorin-4C isoform X2 [Bos taurus]	Danio_rerio_tr_F1QF70_F1QF70_DANRE tr|F1QF70|F1QF70_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4C OS=Danio rerio OX=7955 GN=sc_d411 PE=3 SV=1, Danio_rerio_tr_A4JYS4_A4JYS4_DANRE tr|A4JYS4|A4JYS4_DANRE Semaphorin-4C precursor OS=Danio rerio OX=7955 GN=sc_d411 PE=2 SV=1
OG0000002	NP_001193114.1 semaphorin-7A precursor [Bos taurus]	Danio_rerio_tr_X1WHP4_X1WHP4_DANRE tr|X1WHP4|X1WHP4_DANRE Semaphorin 7A OS=Danio rerio OX=7955 GN=fc47g07 PE=4 SV=1, Danio_rerio_tr_E7FBE1_E7FBE1_DANRE tr|E7FBE1|E7FBE1_DANRE Semaphorin 7A OS=Danio rerio OX=7955 GN=fc47g07 PE=3 SV=1
OG0000002	XP_010815150.2 semaphorin-5A [Bos taurus]	Danio_rerio_tr_A0A0R4IMM9_A0A0R4IMM9_DANRE tr|A0A0R4IMM9|A0A0R4IMM9_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=1, Danio_rerio_tr_F1R9L1_F1R9L1_DANRE tr|F1R9L1|F1R9L1_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=3
OG0000002	XP_002684855.2 semaphorin-5B isoform X1 [Bos taurus]	Danio_rerio_tr_F1QPQ6_F1QPQ6_DANRE tr|F1QPQ6|F1QPQ6_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Ba OS=Danio rerio OX=7955 GN=sema5ba PE=4 SV=1, Danio_rerio_tr_A0A8M1Q1V7_A0A8M1Q1V7_DANRE tr|A0A8M1Q1V7|A0A8M1Q1V7_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Bb OS=Danio rerio OX=7955 GN=sema5bb PE=4 SV=1
OG0000002	XP_059746380.1 semaphorin-6D isoform X1 [Bos taurus]	Danio_rerio_tr_A3KPS4_A3KPS4_DANRE tr|A3KPS4|A3KPS4_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_A3KPS3_A3KPS3_DANRE tr|A3KPS3|A3KPS3_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1
OG0000002	XP_005209195.1 semaphorin-6A isoform X1 [Bos taurus]	Danio_rerio_tr_Q6P7E1_Q6P7E1_DANRE tr|Q6P7E1|Q6P7E1_DANRE Semaphorin-6A precursor OS=Danio rerio OX=7955 GN=zgc_66106 PE=2 SV=1
OG0000002	XP_024845741.1 semaphorin-6C isoform X1 [Bos taurus]	Danio_rerio_tr_B8JMB1_B8JMB1_DANRE tr|B8JMB1|B8JMB1_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D OS=Danio rerio OX=7955 GN=wu_fi06a12 PE=4 SV=1
OG0000002	NP_001179466.3 hemicentin-1 precursor [Bos taurus]	Danio_rerio_tr_D7PS96_D7PS96_DANRE tr|D7PS96|D7PS96_DANRE Hemicentin-1 precursor OS=Danio rerio OX=7955 GN=hmcn1 PE=2 SV=1
OG0000003	XP_059737445.1 brevican core protein isoform X1 [Bos taurus]	Danio_rerio_tr_A4JYN2_A4JYN2_DANRE tr|A4JYN2|A4JYN2_DANRE Bcan OS=Danio rerio OX=7955 GN=fi32a12 PE=2 SV=1
OG0000003	XP_059744190.1 neurocan core protein isoform X1 [Bos taurus]	Danio_rerio_tr_F1QEZ8_F1QEZ8_DANRE tr|F1QEZ8|F1QEZ8_DANRE Neurocan b OS=Danio rerio OX=7955 GN=ncanb PE=4 SV=3
OG0000003	XP_059734920.1 aggrecan core protein isoform X1 [Bos taurus], NP_776406.1 aggrecan core protein precursor [Bos taurus]	Danio_rerio_tr_E7F537_E7F537_DANRE tr|E7F537|E7F537_DANRE Aggrecan a OS=Danio rerio OX=7955 GN=acana PE=4 SV=3, Danio_rerio_tr_F1QDA1_F1QDA1_DANRE tr|F1QDA1|F1QDA1_DANRE Aggrecan a OS=Danio rerio OX=7955 GN=acana PE=4 SV=2
OG0000003	sp|Q17QH6.1|COL11_BOVIN RecName_ Full=Collectin-11; AltName_ Full=Collectin kidney protein 1; Short=CL-K1; Flags_ Precursor	Danio_rerio_sp_Q5U3G1_COL11_DANRE sp|Q5U3G1|COL11_DANRE Collectin-11 OS=Danio rerio OX=7955 GN=colec11 PE=2 SV=1
OG0000003	NP_001192642.1 collectin-10 precursor [Bos taurus]	Danio_rerio_tr_Q504I3_Q504I3_DANRE tr|Q504I3|Q504I3_DANRE Hbl3 protein OS=Danio rerio OX=7955 GN=hbl3 PE=2 SV=1
OG0000003	sp|A6QP79.1|COL12_BOVIN RecName_ Full=Collectin-12; AltName_ Full=Collectin placenta protein 1; Short=CL-P1	Danio_rerio_sp_A5PMY6_COL12_DANRE sp|A5PMY6|COL12_DANRE Collectin-12 OS=Danio rerio OX=7955 GN=colec12 PE=2 SV=1
OG0000003	DAA28116.1 TPA_ CLEC17A protein-like_ partial [Bos taurus], NP_001192535.3 C-type lectin domain family 4 member G [Bos taurus], DAA24823.1 TPA_ C-type lectin_ superfamily member 13-like [Bos taurus], sp|Q3LUH2.1|CLC6A_BOVIN RecName_ Full=C-type lectin domain family 6 member A; AltName_ Full=Dendritic cell-associated C-type lectin 2; Short=DC-associated C-type lectin 2; Short=Dectin-2, XP_059743069.1 C-type lectin domain family 4 member E isoform X1 [Bos taurus]	Danio_rerio_tr_F1QW96_F1QW96_DANRE tr|F1QW96|F1QW96_DANRE CD209 molecule OS=Danio rerio OX=7955 GN=DC-SIGN PE=4 SV=1
OG0000004	DAA17035.1 TPA_ collagen_ type VII_ alpha 1 [Bos taurus], XP_059745576.1 collagen alpha-1_XII_ chain isoform X1 [Bos taurus], XP_059730494.1 collagen alpha-1_XIV_ chain isoform X1 [Bos taurus]	Danio_rerio_tr_F1R9Y1_F1R9Y1_DANRE tr|F1R9Y1|F1R9Y1_DANRE Collagen alpha-1_XIV_ chain isoform X2 OS=Danio rerio OX=7955 GN=col14a1a PE=1 SV=1
OG0000004	XP_015316230.1 von Willebrand factor A domain-containing protein 2 isoform X1 [Bos taurus]	Danio_rerio_tr_U3JA51_U3JA51_DANRE tr|U3JA51|U3JA51_DANRE von Willebrand factor A domain-containing 2 OS=Danio rerio OX=7955 GN=vwa2 PE=1 SV=1
OG0000004	XP_024852938.1 collagen alpha-5_VI_ chain [Bos taurus], XP_015329636.1 collagen alpha-6_VI_ chain [Bos taurus], XP_059741223.1 collagen alpha-3_VI_ chain [Bos taurus]	Danio_rerio_tr_Q8AW56_Q8AW56_DANRE tr|Q8AW56|Q8AW56_DANRE Cochlin precursor OS=Danio rerio OX=7955 GN=OTTDARP00000001491 PE=1 SV=1
OG0000004	DAA24504.1 TPA_ matrilin 3 [Bos taurus]	Danio_rerio_tr_F1QH94_F1QH94_DANRE tr|F1QH94|F1QH94_DANRE Matrilin 3a OS=Danio rerio OX=7955 GN=ns_zf-e359 PE=1 SV=1, Danio_rerio_tr_Q68EK6_Q68EK6_DANRE tr|Q68EK6|Q68EK6_DANRE Matn3a protein OS=Danio rerio OX=7955 GN=ns_zf-e359 PE=1 SV=1, Danio_rerio_tr_B7ZD91_B7ZD91_DANRE tr|B7ZD91|B7ZD91_DANRE Matrilin 3b OS=Danio rerio OX=7955 GN=zgc_123028 PE=4 SV=1, Danio_rerio_tr_Q5NIW0_Q5NIW0_DANRE tr|Q5NIW0|Q5NIW0_DANRE Matrilin-3 precursor OS=Danio rerio OX=7955 GN=zgc_123028 PE=2 SV=1, Danio_rerio_tr_Q5NJJ7_Q5NJJ7_DANRE tr|Q5NJJ7|Q5NJJ7_DANRE Matrilin-3 isoform X3 OS=Danio rerio OX=7955 GN=zgc_123028 PE=2 SV=1, Danio_rerio_tr_Q5NJJ6_Q5NJJ6_DANRE tr|Q5NJJ6|Q5NJJ6_DANRE Matrilin-3 isoform X2 OS=Danio rerio OX=7955 GN=zgc_123028 PE=2 SV=1
