Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Ctenophora_Nuda_Beroe_ovata
OG0000019	Nematostella_vectensis_NV2t006269003.1 NV2t006269003.1, Nematostella_vectensis_NV2t006269002.1 NV2t006269002.1, Nematostella_vectensis_NV2t006269001.1 NV2t006269001.1, Nematostella_vectensis_NV2t019847002.1 NV2t019847002.1, Nematostella_vectensis_NV2t019847001.1 NV2t019847001.1, Nematostella_vectensis_NV2t006489001.1 NV2t006489001.1, Nematostella_vectensis_NV2t002978001.1 NV2t002978001.1	Beroe_ovata_Bova1_4.0040.g35.t3 Bova1_4.0040.g35.t3, Beroe_ovata_Bova1_4.0040.g35.t2 Bova1_4.0040.g35.t2
OG0000022	Nematostella_vectensis_NV2t019403001.1 NV2t019403001.1, Nematostella_vectensis_NV2t019404001.1 NV2t019404001.1, Nematostella_vectensis_NV2t019402004.1 NV2t019402004.1, Nematostella_vectensis_NV2t019402002.1 NV2t019402002.1	Beroe_ovata_Bova1_4.0785.g1.t1 Bova1_4.0785.g1.t1, Beroe_ovata_Bova1_4.0354.g2.t1 Bova1_4.0354.g2.t1, Beroe_ovata_Bova1_4.0085.g13.t1 Bova1_4.0085.g13.t1
OG0000022	Nematostella_vectensis_NV2t009562002.1 NV2t009562002.1, Nematostella_vectensis_NV2t009562001.1 NV2t009562001.1, Nematostella_vectensis_NV2t010289001.1 NV2t010289001.1	Beroe_ovata_Bova1_4.0298.g2.t1 Bova1_4.0298.g2.t1, Beroe_ovata_Bova1_4.0337.g7.t1 Bova1_4.0337.g7.t1, Beroe_ovata_Bova1_4.0337.g7.t2 Bova1_4.0337.g7.t2
OG0000030	Nematostella_vectensis_NV2t006771001.1 NV2t006771001.1, Nematostella_vectensis_NV2t006771002.1 NV2t006771002.1	Beroe_ovata_Bova1_4.0151.g33.t1 Bova1_4.0151.g33.t1, Beroe_ovata_Bova1_4.0151.g32.t1 Bova1_4.0151.g32.t1, Beroe_ovata_Bova1_4.0256.g28.t2 Bova1_4.0256.g28.t2, Beroe_ovata_Bova1_4.0256.g28.t1 Bova1_4.0256.g28.t1
OG0000030	Nematostella_vectensis_NV2t013893003.1 NV2t013893003.1, Nematostella_vectensis_NV2t013893002.1 NV2t013893002.1, Nematostella_vectensis_NV2t024729009.1 NV2t024729009.1, Nematostella_vectensis_NV2t024729016.1 NV2t024729016.1, Nematostella_vectensis_NV2t024729018.1 NV2t024729018.1, Nematostella_vectensis_NV2t024729004.1 NV2t024729004.1, Nematostella_vectensis_NV2t024729015.1 NV2t024729015.1, Nematostella_vectensis_NV2t024729005.1 NV2t024729005.1, Nematostella_vectensis_NV2t024729010.1 NV2t024729010.1, Nematostella_vectensis_NV2t024729008.1 NV2t024729008.1, Nematostella_vectensis_NV2t024729007.1 NV2t024729007.1, Nematostella_vectensis_NV2t024729006.1 NV2t024729006.1	Beroe_ovata_Bova1_4.0003.g115.t1 Bova1_4.0003.g115.t1, Beroe_ovata_Bova1_4.0003.g114.t1 Bova1_4.0003.g114.t1
OG0000034	Nematostella_vectensis_NV2t018302001.1 NV2t018302001.1	Beroe_ovata_Bova1_4.0642.g1.t1 Bova1_4.0642.g1.t1, Beroe_ovata_Bova1_4.0049.g39.t3 Bova1_4.0049.g39.t3, Beroe_ovata_Bova1_4.0049.g39.t4 Bova1_4.0049.g39.t4, Beroe_ovata_Bova1_4.0049.g39.t5 Bova1_4.0049.g39.t5, Beroe_ovata_Bova1_4.0049.g39.t1 Bova1_4.0049.g39.t1, Beroe_ovata_Bova1_4.0049.g39.t2 Bova1_4.0049.g39.t2
OG0000036	Nematostella_vectensis_NV2t025171002.1 NV2t025171002.1, Nematostella_vectensis_NV2t025171001.1 NV2t025171001.1, Nematostella_vectensis_NV2t022153002.1 NV2t022153002.1, Nematostella_vectensis_NV2t022153001.1 NV2t022153001.1, Nematostella_vectensis_NV2t025188001.1 NV2t025188001.1, Nematostella_vectensis_NV2t017270001.1 NV2t017270001.1, Nematostella_vectensis_NV2t025193001.1 NV2t025193001.1	Beroe_ovata_Bova1_4.0040.g35.t1 Bova1_4.0040.g35.t1
OG0000041	Nematostella_vectensis_NV2t020167001.1 NV2t020167001.1, Nematostella_vectensis_NV2t022463002.1 NV2t022463002.1, Nematostella_vectensis_NV2t022463001.1 NV2t022463001.1, Nematostella_vectensis_NV2t019996001.1 NV2t019996001.1, Nematostella_vectensis_NV2t019992001.1 NV2t019992001.1, Nematostella_vectensis_NV2t015230001.1 NV2t015230001.1	Beroe_ovata_Bova1_4.0027.g44.t1 Bova1_4.0027.g44.t1
OG0000041	Nematostella_vectensis_NV2t008369001.1 NV2t008369001.1	Beroe_ovata_Bova1_4.0027.g62.t1 Bova1_4.0027.g62.t1, Beroe_ovata_Bova1_4.0027.g62.t3 Bova1_4.0027.g62.t3
OG0000042	Nematostella_vectensis_NV2t019653001.1 NV2t019653001.1, Nematostella_vectensis_NV2t017038001.1 NV2t017038001.1, Nematostella_vectensis_NV2t016569001.1 NV2t016569001.1, Nematostella_vectensis_NV2t017107001.1 NV2t017107001.1, Nematostella_vectensis_NV2t016567001.1 NV2t016567001.1, Nematostella_vectensis_NV2t017148001.1 NV2t017148001.1	Beroe_ovata_Bova1_4.0050.g30.t2 Bova1_4.0050.g30.t2, Beroe_ovata_Bova1_4.0050.g30.t1 Bova1_4.0050.g30.t1, Beroe_ovata_Bova1_4.0822.g1.t1 Bova1_4.0822.g1.t1
OG0000044	Nematostella_vectensis_NV2t009869001.1 NV2t009869001.1, Nematostella_vectensis_NV2t010348003.1 NV2t010348003.1, Nematostella_vectensis_NV2t010348004.1 NV2t010348004.1, Nematostella_vectensis_NV2t010348002.1 NV2t010348002.1, Nematostella_vectensis_NV2t010348007.1 NV2t010348007.1, Nematostella_vectensis_NV2t010348005.1 NV2t010348005.1, Nematostella_vectensis_NV2t010348010.1 NV2t010348010.1, Nematostella_vectensis_NV2t010348008.1 NV2t010348008.1	Beroe_ovata_Bova1_4.0038.g71.t1 Bova1_4.0038.g71.t1
OG0000045	Nematostella_vectensis_NV2t015819001.1 NV2t015819001.1, Nematostella_vectensis_NV2t017119001.1 NV2t017119001.1	Beroe_ovata_Bova1_4.0013.g40.t1 Bova1_4.0013.g40.t1, Beroe_ovata_Bova1_4.0013.g39.t1 Bova1_4.0013.g39.t1
OG0000045	Nematostella_vectensis_NV2t015818001.1 NV2t015818001.1	Beroe_ovata_Bova1_4.0938.g1.t1 Bova1_4.0938.g1.t1
OG0000049	Nematostella_vectensis_NV2t002812001.1 NV2t002812001.1	Beroe_ovata_Bova1_4.0343.g5.t1 Bova1_4.0343.g5.t1, Beroe_ovata_Bova1_4.0343.g5.t2 Bova1_4.0343.g5.t2, Beroe_ovata_Bova1_4.0316.g2.t1 Bova1_4.0316.g2.t1, Beroe_ovata_Bova1_4.1059.g2.t1 Bova1_4.1059.g2.t1, Beroe_ovata_Bova1_4.0316.g1.t2 Bova1_4.0316.g1.t2, Beroe_ovata_Bova1_4.0316.g1.t1 Bova1_4.0316.g1.t1, Beroe_ovata_Bova1_4.0027.g58.t1 Bova1_4.0027.g58.t1, Beroe_ovata_Bova1_4.0027.g59.t1 Bova1_4.0027.g59.t1
OG0000051	Nematostella_vectensis_NV2t001994001.1 NV2t001994001.1, Nematostella_vectensis_NV2t000628001.1 NV2t000628001.1, Nematostella_vectensis_NV2t000903001.1 NV2t000903001.1, Nematostella_vectensis_NV2t000907002.1 NV2t000907002.1, Nematostella_vectensis_NV2t000903002.1 NV2t000903002.1, Nematostella_vectensis_NV2t000907001.1 NV2t000907001.1, Nematostella_vectensis_NV2t000903003.1 NV2t000903003.1, Nematostella_vectensis_NV2t016117001.1 NV2t016117001.1, Nematostella_vectensis_NV2t016117002.1 NV2t016117002.1, Nematostella_vectensis_NV2t003042004.1 NV2t003042004.1	Beroe_ovata_Bova1_4.0093.g5.t1 Bova1_4.0093.g5.t1, Beroe_ovata_Bova1_4.0012.g17.t2 Bova1_4.0012.g17.t2, Beroe_ovata_Bova1_4.0012.g17.t1 Bova1_4.0012.g17.t1, Beroe_ovata_Bova1_4.0023.g89.t1 Bova1_4.0023.g89.t1
OG0000053	Nematostella_vectensis_NV2t012441001.1 NV2t012441001.1	Beroe_ovata_Bova1_4.0359.g4.t1 Bova1_4.0359.g4.t1
OG0000054	Nematostella_vectensis_NV2t000638001.1 NV2t000638001.1, Nematostella_vectensis_NV2t005524014.1 NV2t005524014.1, Nematostella_vectensis_NV2t005524013.1 NV2t005524013.1, Nematostella_vectensis_NV2t005524012.1 NV2t005524012.1	Beroe_ovata_Bova1_4.0046.g52.t1 Bova1_4.0046.g52.t1
OG0000058	Nematostella_vectensis_NV2t017022001.1 NV2t017022001.1, Nematostella_vectensis_NV2t023484001.1 NV2t023484001.1, Nematostella_vectensis_NV2t009815001.1 NV2t009815001.1, Nematostella_vectensis_NV2t023295002.1 NV2t023295002.1, Nematostella_vectensis_NV2t023295001.1 NV2t023295001.1, Nematostella_vectensis_NV2t022985001.1 NV2t022985001.1, Nematostella_vectensis_NV2t023818001.1 NV2t023818001.1, Nematostella_vectensis_NV2t023715001.1 NV2t023715001.1	Beroe_ovata_Bova1_4.0217.g1.t1 Bova1_4.0217.g1.t1, Beroe_ovata_Bova1_4.0047.g1.t1 Bova1_4.0047.g1.t1, Beroe_ovata_Bova1_4.0230.g20.t1 Bova1_4.0230.g20.t1, Beroe_ovata_Bova1_4.0047.g4.t1 Bova1_4.0047.g4.t1
OG0000061	Nematostella_vectensis_NV2t004625001.1 NV2t004625001.1	Beroe_ovata_Bova1_4.0085.g17.t2 Bova1_4.0085.g17.t2, Beroe_ovata_Bova1_4.0085.g17.t1 Bova1_4.0085.g17.t1, Beroe_ovata_Bova1_4.0085.g17.t5 Bova1_4.0085.g17.t5, Beroe_ovata_Bova1_4.0085.g17.t3 Bova1_4.0085.g17.t3, Beroe_ovata_Bova1_4.0085.g17.t4 Bova1_4.0085.g17.t4
OG0000061	Nematostella_vectensis_NV2t000137001.1 NV2t000137001.1, Nematostella_vectensis_NV2t000137003.1 NV2t000137003.1, Nematostella_vectensis_NV2t000137002.1 NV2t000137002.1	Beroe_ovata_Bova1_4.0166.g1.t2 Bova1_4.0166.g1.t2, Beroe_ovata_Bova1_4.0166.g1.t1 Bova1_4.0166.g1.t1
OG0000065	Nematostella_vectensis_NV2t022015001.1 NV2t022015001.1	Beroe_ovata_Bova1_4.0102.g7.t1 Bova1_4.0102.g7.t1, Beroe_ovata_Bova1_4.0102.g8.t1 Bova1_4.0102.g8.t1
OG0000073	Nematostella_vectensis_NV2t000893001.1 NV2t000893001.1, Nematostella_vectensis_NV2t006315001.1 NV2t006315001.1, Nematostella_vectensis_NV2t007757001.1 NV2t007757001.1, Nematostella_vectensis_NV2t007641001.1 NV2t007641001.1	Beroe_ovata_Bova1_4.0225.g2.t1 Bova1_4.0225.g2.t1
OG0000076	Nematostella_vectensis_NV2t013872001.1 NV2t013872001.1	Beroe_ovata_Bova1_4.0005.g52.t1 Bova1_4.0005.g52.t1
OG0000078	Nematostella_vectensis_NV2t017628001.1 NV2t017628001.1	Beroe_ovata_Bova1_4.0116.g23.t1 Bova1_4.0116.g23.t1, Beroe_ovata_Bova1_4.0169.g19.t1 Bova1_4.0169.g19.t1
OG0000087	Nematostella_vectensis_NV2t017495001.1 NV2t017495001.1, Nematostella_vectensis_NV2t017495003.1 NV2t017495003.1, Nematostella_vectensis_NV2t017495002.1 NV2t017495002.1, Nematostella_vectensis_NV2t017495004.1 NV2t017495004.1	Beroe_ovata_Bova1_4.0008.g42.t2 Bova1_4.0008.g42.t2, Beroe_ovata_Bova1_4.0008.g42.t1 Bova1_4.0008.g42.t1, Beroe_ovata_Bova1_4.0008.g42.t3 Bova1_4.0008.g42.t3
OG0000087	Nematostella_vectensis_NV2t015454001.1 NV2t015454001.1	Beroe_ovata_Bova1_4.0068.g34.t1 Bova1_4.0068.g34.t1, Beroe_ovata_Bova1_4.0068.g34.t2 Bova1_4.0068.g34.t2
OG0000091	Nematostella_vectensis_NV2t023171001.1 NV2t023171001.1	Beroe_ovata_Bova1_4.0137.g16.t1 Bova1_4.0137.g16.t1, Beroe_ovata_Bova1_4.0084.g19.t1 Bova1_4.0084.g19.t1, Beroe_ovata_Bova1_4.0084.g20.t1 Bova1_4.0084.g20.t1, Beroe_ovata_Bova1_4.0033.g22.t1 Bova1_4.0033.g22.t1, Beroe_ovata_Bova1_4.0253.g25.t1 Bova1_4.0253.g25.t1, Beroe_ovata_Bova1_4.0253.g22.t1 Bova1_4.0253.g22.t1, Beroe_ovata_Bova1_4.0034.g47.t1 Bova1_4.0034.g47.t1, Beroe_ovata_Bova1_4.0017.g98.t1 Bova1_4.0017.g98.t1, Beroe_ovata_Bova1_4.0145.g24.t1 Bova1_4.0145.g24.t1, Beroe_ovata_Bova1_4.0154.g19.t1 Bova1_4.0154.g19.t1, Beroe_ovata_Bova1_4.1074.g1.t1 Bova1_4.1074.g1.t1, Beroe_ovata_Bova1_4.0136.g9.t1 Bova1_4.0136.g9.t1
OG0000094	Nematostella_vectensis_NV2t021528002.1 NV2t021528002.1, Nematostella_vectensis_NV2t021528001.1 NV2t021528001.1	Beroe_ovata_Bova1_4.0260.g6.t1 Bova1_4.0260.g6.t1
OG0000103	Nematostella_vectensis_NV2t024079004.1 NV2t024079004.1, Nematostella_vectensis_NV2t024079001.1 NV2t024079001.1, Nematostella_vectensis_NV2t024079007.1 NV2t024079007.1, Nematostella_vectensis_NV2t024079002.1 NV2t024079002.1	Beroe_ovata_Bova1_4.0001.g4.t1 Bova1_4.0001.g4.t1, Beroe_ovata_Bova1_4.0001.g5.t1 Bova1_4.0001.g5.t1
OG0000107	Nematostella_vectensis_NV2t000502001.1 NV2t000502001.1	Beroe_ovata_Bova1_4.0361.g7.t1 Bova1_4.0361.g7.t1
OG0000113	Nematostella_vectensis_NV2t022291001.1 NV2t022291001.1	Beroe_ovata_Bova1_4.0104.g16.t1 Bova1_4.0104.g16.t1, Beroe_ovata_Bova1_4.0104.g16.t2 Bova1_4.0104.g16.t2
OG0000114	Nematostella_vectensis_NV2t003399001.1 NV2t003399001.1	Beroe_ovata_Bova1_4.0155.g12.t1 Bova1_4.0155.g12.t1, Beroe_ovata_Bova1_4.0155.g12.t2 Bova1_4.0155.g12.t2
