Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Acropora_digitifera
OG0000001	Nematostella_vectensis_NV2t011946001.1 NV2t011946001.1, Nematostella_vectensis_NV2t011946002.1 NV2t011946002.1, Nematostella_vectensis_NV2t011946003.1 NV2t011946003.1	Acropora_digitifera_adi_v1.21086 adi_v1.21086
OG0000001	Nematostella_vectensis_NV2t016932001.1 NV2t016932001.1, Nematostella_vectensis_NV2t022950001.1 NV2t022950001.1, Nematostella_vectensis_NV2t016931001.1 NV2t016931001.1	Acropora_digitifera_adi_v1.11064 adi_v1.11064
OG0000001	Nematostella_vectensis_NV2t006892003.1 NV2t006892003.1, Nematostella_vectensis_NV2t006892004.1 NV2t006892004.1, Nematostella_vectensis_NV2t006892002.1 NV2t006892002.1, Nematostella_vectensis_NV2t006892001.1 NV2t006892001.1	Acropora_digitifera_adi_v1.00967 adi_v1.00967
OG0000001	Nematostella_vectensis_NV2t022749001.1 NV2t022749001.1	Acropora_digitifera_adi_v1.03506 adi_v1.03506
OG0000001	Nematostella_vectensis_NV2t011900001.1 NV2t011900001.1, Nematostella_vectensis_NV2t000599002.1 NV2t000599002.1, Nematostella_vectensis_NV2t000599001.1 NV2t000599001.1	Acropora_digitifera_adi_v1.23959 adi_v1.23959, Acropora_digitifera_adi_v1.15527 adi_v1.15527, Acropora_digitifera_adi_v1.22420 adi_v1.22420, Acropora_digitifera_adi_v1.18763 adi_v1.18763, Acropora_digitifera_adi_v1.21915 adi_v1.21915, Acropora_digitifera_adi_v1.11811 adi_v1.11811
OG0000001	Nematostella_vectensis_NV2t003810001.1 NV2t003810001.1, Nematostella_vectensis_NV2t011961001.1 NV2t011961001.1	Acropora_digitifera_adi_v1.14231 adi_v1.14231, Acropora_digitifera_adi_v1.21625 adi_v1.21625
OG0000001	Nematostella_vectensis_NV2t001802001.1 NV2t001802001.1	Acropora_digitifera_adi_v1.09526 adi_v1.09526, Acropora_digitifera_adi_v1.13954 adi_v1.13954, Acropora_digitifera_adi_v1.22460 adi_v1.22460
OG0000001	Nematostella_vectensis_NV2t020014001.1 NV2t020014001.1	Acropora_digitifera_adi_v1.01229 adi_v1.01229
OG0000001	Nematostella_vectensis_NV2t025732001.1 NV2t025732001.1	Acropora_digitifera_adi_v1.10769 adi_v1.10769
OG0000001	Nematostella_vectensis_NV2t007734002.1 NV2t007734002.1, Nematostella_vectensis_NV2t007734004.1 NV2t007734004.1, Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1	Acropora_digitifera_adi_v1.01960 adi_v1.01960
OG0000001	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1	Acropora_digitifera_adi_v1.06175 adi_v1.06175
OG0000001	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1	Acropora_digitifera_adi_v1.11383 adi_v1.11383
OG0000001	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1, Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434
OG0000002	Nematostella_vectensis_NV2t017239001.1 NV2t017239001.1, Nematostella_vectensis_NV2t017582001.1 NV2t017582001.1	Acropora_digitifera_adi_v1.12948 adi_v1.12948
OG0000002	Nematostella_vectensis_NV2t025728001.1 NV2t025728001.1	Acropora_digitifera_adi_v1.10669 adi_v1.10669
OG0000002	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161
OG0000002	Nematostella_vectensis_NV2t014418001.1 NV2t014418001.1	Acropora_digitifera_adi_v1.14607 adi_v1.14607
OG0000002	Nematostella_vectensis_NV2t015519002.1 NV2t015519002.1, Nematostella_vectensis_NV2t015519001.1 NV2t015519001.1	Acropora_digitifera_adi_v1.09542 adi_v1.09542
OG0000002	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1	Acropora_digitifera_adi_v1.01703 adi_v1.01703, Acropora_digitifera_adi_v1.01702 adi_v1.01702, Acropora_digitifera_adi_v1.01379 adi_v1.01379, Acropora_digitifera_adi_v1.14561 adi_v1.14561, Acropora_digitifera_adi_v1.01794 adi_v1.01794, Acropora_digitifera_adi_v1.18031 adi_v1.18031
OG0000002	Nematostella_vectensis_NV2t022863003.1 NV2t022863003.1, Nematostella_vectensis_NV2t022863001.1 NV2t022863001.1, Nematostella_vectensis_NV2t022863002.1 NV2t022863002.1	Acropora_digitifera_adi_v1.10800 adi_v1.10800
OG0000002	Nematostella_vectensis_NV2t011502001.1 NV2t011502001.1	Acropora_digitifera_adi_v1.13790 adi_v1.13790
OG0000002	Nematostella_vectensis_NV2t010038001.1 NV2t010038001.1	Acropora_digitifera_adi_v1.09130 adi_v1.09130, Acropora_digitifera_adi_v1.09132 adi_v1.09132
OG0000002	Nematostella_vectensis_NV2t004066003.1 NV2t004066003.1, Nematostella_vectensis_NV2t004066001.1 NV2t004066001.1, Nematostella_vectensis_NV2t004066002.1 NV2t004066002.1	Acropora_digitifera_adi_v1.03981 adi_v1.03981
OG0000002	Nematostella_vectensis_NV2t023447001.1 NV2t023447001.1, Nematostella_vectensis_NV2t023447002.1 NV2t023447002.1	Acropora_digitifera_adi_v1.19508 adi_v1.19508, Acropora_digitifera_adi_v1.13412 adi_v1.13412, Acropora_digitifera_adi_v1.12190 adi_v1.12190
OG0000002	Nematostella_vectensis_NV2t023465001.1 NV2t023465001.1, Nematostella_vectensis_NV2t023465003.1 NV2t023465003.1, Nematostella_vectensis_NV2t023465002.1 NV2t023465002.1	Acropora_digitifera_adi_v1.05945 adi_v1.05945
OG0000002	Nematostella_vectensis_NV2t024746001.1 NV2t024746001.1	Acropora_digitifera_adi_v1.08206 adi_v1.08206
OG0000002	Nematostella_vectensis_NV2t025346001.1 NV2t025346001.1	Acropora_digitifera_adi_v1.01409 adi_v1.01409
OG0000003	Nematostella_vectensis_NV2t005851001.1 NV2t005851001.1, Nematostella_vectensis_NV2t014809001.1 NV2t014809001.1, Nematostella_vectensis_NV2t014808004.1 NV2t014808004.1, Nematostella_vectensis_NV2t014772001.1 NV2t014772001.1, Nematostella_vectensis_NV2t014808002.1 NV2t014808002.1, Nematostella_vectensis_NV2t016335001.1 NV2t016335001.1	Acropora_digitifera_adi_v1.14319 adi_v1.14319
OG0000003	Nematostella_vectensis_NV2t012859002.1 NV2t012859002.1, Nematostella_vectensis_NV2t012859001.1 NV2t012859001.1	Acropora_digitifera_adi_v1.23742 adi_v1.23742, Acropora_digitifera_adi_v1.24161 adi_v1.24161
OG0000003	Nematostella_vectensis_NV2t012172001.1 NV2t012172001.1, Nematostella_vectensis_NV2t012165001.1 NV2t012165001.1	Acropora_digitifera_adi_v1.06053 adi_v1.06053, Acropora_digitifera_adi_v1.10205 adi_v1.10205, Acropora_digitifera_adi_v1.16681 adi_v1.16681
OG0000003	Nematostella_vectensis_NV2t018585001.1 NV2t018585001.1, Nematostella_vectensis_NV2t018585002.1 NV2t018585002.1	Acropora_digitifera_adi_v1.12298 adi_v1.12298, Acropora_digitifera_adi_v1.02332 adi_v1.02332
OG0000003	Nematostella_vectensis_NV2t005928002.1 NV2t005928002.1, Nematostella_vectensis_NV2t018136001.1 NV2t018136001.1	Acropora_digitifera_adi_v1.03583 adi_v1.03583
OG0000003	Nematostella_vectensis_NV2t017872001.1 NV2t017872001.1, Nematostella_vectensis_NV2t021375001.1 NV2t021375001.1	Acropora_digitifera_adi_v1.14330 adi_v1.14330
OG0000003	Nematostella_vectensis_NV2t013847001.1 NV2t013847001.1, Nematostella_vectensis_NV2t014543001.1 NV2t014543001.1	Acropora_digitifera_adi_v1.15432 adi_v1.15432, Acropora_digitifera_adi_v1.15433 adi_v1.15433, Acropora_digitifera_adi_v1.03585 adi_v1.03585, Acropora_digitifera_adi_v1.13721 adi_v1.13721, Acropora_digitifera_adi_v1.02565 adi_v1.02565, Acropora_digitifera_adi_v1.04620 adi_v1.04620, Acropora_digitifera_adi_v1.15479 adi_v1.15479, Acropora_digitifera_adi_v1.17665 adi_v1.17665, Acropora_digitifera_adi_v1.18386 adi_v1.18386, Acropora_digitifera_adi_v1.17664 adi_v1.17664, Acropora_digitifera_adi_v1.09977 adi_v1.09977, Acropora_digitifera_adi_v1.08376 adi_v1.08376
OG0000003	Nematostella_vectensis_NV2t012173001.1 NV2t012173001.1	Acropora_digitifera_adi_v1.01273 adi_v1.01273
OG0000003	Nematostella_vectensis_NV2t010391001.1 NV2t010391001.1	Acropora_digitifera_adi_v1.10368 adi_v1.10368
OG0000003	Nematostella_vectensis_NV2t010390001.1 NV2t010390001.1, Nematostella_vectensis_NV2t010388001.1 NV2t010388001.1, Nematostella_vectensis_NV2t010388002.1 NV2t010388002.1	Acropora_digitifera_adi_v1.01653 adi_v1.01653
OG0000003	Nematostella_vectensis_NV2t019497001.1 NV2t019497001.1, Nematostella_vectensis_NV2t019497002.1 NV2t019497002.1	Acropora_digitifera_adi_v1.05022 adi_v1.05022
OG0000003	Nematostella_vectensis_NV2t025143001.1 NV2t025143001.1	Acropora_digitifera_adi_v1.12238 adi_v1.12238
OG0000003	Nematostella_vectensis_NV2t020861001.1 NV2t020861001.1	Acropora_digitifera_adi_v1.04076 adi_v1.04076
OG0000003	Nematostella_vectensis_NV2t019491001.1 NV2t019491001.1, Nematostella_vectensis_NV2t005939001.1 NV2t005939001.1, Nematostella_vectensis_NV2t007828001.1 NV2t007828001.1	Acropora_digitifera_adi_v1.16248 adi_v1.16248, Acropora_digitifera_adi_v1.02561 adi_v1.02561, Acropora_digitifera_adi_v1.23712 adi_v1.23712, Acropora_digitifera_adi_v1.00078 adi_v1.00078, Acropora_digitifera_adi_v1.20654 adi_v1.20654, Acropora_digitifera_adi_v1.00077 adi_v1.00077, Acropora_digitifera_adi_v1.20655 adi_v1.20655
OG0000003	Nematostella_vectensis_NV2t012174001.1 NV2t012174001.1	Acropora_digitifera_adi_v1.12241 adi_v1.12241
OG0000003	Nematostella_vectensis_NV2t004783003.1 NV2t004783003.1, Nematostella_vectensis_NV2t004783001.1 NV2t004783001.1	Acropora_digitifera_adi_v1.24683 adi_v1.24683, Acropora_digitifera_adi_v1.16447 adi_v1.16447, Acropora_digitifera_adi_v1.04187 adi_v1.04187, Acropora_digitifera_adi_v1.11493 adi_v1.11493
OG0000003	Nematostella_vectensis_NV2t007683001.1 NV2t007683001.1	Acropora_digitifera_adi_v1.13471 adi_v1.13471
OG0000004	Nematostella_vectensis_NV2t001610001.1 NV2t001610001.1, Nematostella_vectensis_NV2t001610003.1 NV2t001610003.1	Acropora_digitifera_adi_v1.19534 adi_v1.19534, Acropora_digitifera_adi_v1.04405 adi_v1.04405
OG0000004	Nematostella_vectensis_NV2t011511001.1 NV2t011511001.1	Acropora_digitifera_adi_v1.22404 adi_v1.22404, Acropora_digitifera_adi_v1.22086 adi_v1.22086, Acropora_digitifera_adi_v1.24329 adi_v1.24329, Acropora_digitifera_adi_v1.18109 adi_v1.18109, Acropora_digitifera_adi_v1.24228 adi_v1.24228, Acropora_digitifera_adi_v1.09536 adi_v1.09536, Acropora_digitifera_adi_v1.17315 adi_v1.17315
OG0000004	Nematostella_vectensis_NV2t011346003.1 NV2t011346003.1, Nematostella_vectensis_NV2t011346001.1 NV2t011346001.1, Nematostella_vectensis_NV2t011346002.1 NV2t011346002.1	Acropora_digitifera_adi_v1.10905 adi_v1.10905
OG0000004	Nematostella_vectensis_NV2t012411002.1 NV2t012411002.1, Nematostella_vectensis_NV2t012411003.1 NV2t012411003.1, Nematostella_vectensis_NV2t012411001.1 NV2t012411001.1	Acropora_digitifera_adi_v1.14514 adi_v1.14514
OG0000004	Nematostella_vectensis_NV2t023710001.1 NV2t023710001.1, Nematostella_vectensis_NV2t023164002.1 NV2t023164002.1, Nematostella_vectensis_NV2t023164001.1 NV2t023164001.1, Nematostella_vectensis_NV2t024229003.1 NV2t024229003.1, Nematostella_vectensis_NV2t024229001.1 NV2t024229001.1, Nematostella_vectensis_NV2t024229002.1 NV2t024229002.1	Acropora_digitifera_adi_v1.13313 adi_v1.13313
OG0000004	Nematostella_vectensis_NV2t014046003.1 NV2t014046003.1, Nematostella_vectensis_NV2t014046004.1 NV2t014046004.1, Nematostella_vectensis_NV2t014049001.1 NV2t014049001.1, Nematostella_vectensis_NV2t014050001.1 NV2t014050001.1	Acropora_digitifera_adi_v1.17074 adi_v1.17074, Acropora_digitifera_adi_v1.16341 adi_v1.16341
OG0000004	Nematostella_vectensis_NV2t025978001.1 NV2t025978001.1, Nematostella_vectensis_NV2t024227001.1 NV2t024227001.1, Nematostella_vectensis_NV2t024226002.1 NV2t024226002.1, Nematostella_vectensis_NV2t024226001.1 NV2t024226001.1, Nematostella_vectensis_NV2t024204001.1 NV2t024204001.1, Nematostella_vectensis_NV2t024228002.1 NV2t024228002.1, Nematostella_vectensis_NV2t024228001.1 NV2t024228001.1	Acropora_digitifera_adi_v1.12522 adi_v1.12522
OG0000004	Nematostella_vectensis_NV2t018428001.1 NV2t018428001.1	Acropora_digitifera_adi_v1.07864 adi_v1.07864
OG0000004	Nematostella_vectensis_NV2t013622002.1 NV2t013622002.1	Acropora_digitifera_adi_v1.24676 adi_v1.24676
OG0000004	Nematostella_vectensis_NV2t014432001.1 NV2t014432001.1, Nematostella_vectensis_NV2t014626001.1 NV2t014626001.1, Nematostella_vectensis_NV2t017029001.1 NV2t017029001.1	Acropora_digitifera_adi_v1.01068 adi_v1.01068
OG0000004	Nematostella_vectensis_NV2t016336001.1 NV2t016336001.1	Acropora_digitifera_adi_v1.10229 adi_v1.10229
OG0000004	Nematostella_vectensis_NV2t016338001.1 NV2t016338001.1, Nematostella_vectensis_NV2t016338002.1 NV2t016338002.1, Nematostella_vectensis_NV2t016340001.1 NV2t016340001.1, Nematostella_vectensis_NV2t016343002.1 NV2t016343002.1	Acropora_digitifera_adi_v1.03710 adi_v1.03710
OG0000004	Nematostella_vectensis_NV2t008633001.1 NV2t008633001.1	Acropora_digitifera_adi_v1.22249 adi_v1.22249
OG0000004	Nematostella_vectensis_NV2t008635001.1 NV2t008635001.1	Acropora_digitifera_adi_v1.17078 adi_v1.17078, Acropora_digitifera_adi_v1.23001 adi_v1.23001
OG0000004	Nematostella_vectensis_NV2t021576001.1 NV2t021576001.1, Nematostella_vectensis_NV2t021577001.1 NV2t021577001.1, Nematostella_vectensis_NV2t021577002.1 NV2t021577002.1	Acropora_digitifera_adi_v1.21914 adi_v1.21914
OG0000004	Nematostella_vectensis_NV2t009856001.1 NV2t009856001.1, Nematostella_vectensis_NV2t009856002.1 NV2t009856002.1	Acropora_digitifera_adi_v1.02001 adi_v1.02001
OG0000004	Nematostella_vectensis_NV2t002229001.1 NV2t002229001.1, Nematostella_vectensis_NV2t002228001.1 NV2t002228001.1	Acropora_digitifera_adi_v1.15324 adi_v1.15324
OG0000004	Nematostella_vectensis_NV2t003227001.1 NV2t003227001.1	Acropora_digitifera_adi_v1.15665 adi_v1.15665
OG0000004	Nematostella_vectensis_NV2t011625002.1 NV2t011625002.1, Nematostella_vectensis_NV2t011625001.1 NV2t011625001.1	Acropora_digitifera_adi_v1.16039 adi_v1.16039
OG0000004	Nematostella_vectensis_NV2t004933001.1 NV2t004933001.1, Nematostella_vectensis_NV2t004933002.1 NV2t004933002.1, Nematostella_vectensis_NV2t004933003.1 NV2t004933003.1, Nematostella_vectensis_NV2t004933004.1 NV2t004933004.1, Nematostella_vectensis_NV2t004933006.1 NV2t004933006.1	Acropora_digitifera_adi_v1.19517 adi_v1.19517
OG0000004	Nematostella_vectensis_NV2t003144001.1 NV2t003144001.1	Acropora_digitifera_adi_v1.10196 adi_v1.10196
OG0000004	Nematostella_vectensis_NV2t004191001.1 NV2t004191001.1	Acropora_digitifera_adi_v1.19811 adi_v1.19811
OG0000004	Nematostella_vectensis_NV2t011516002.1 NV2t011516002.1, Nematostella_vectensis_NV2t011516003.1 NV2t011516003.1, Nematostella_vectensis_NV2t011516001.1 NV2t011516001.1	Acropora_digitifera_adi_v1.10906 adi_v1.10906
OG0000004	Nematostella_vectensis_NV2t008636001.1 NV2t008636001.1, Nematostella_vectensis_NV2t008347001.1 NV2t008347001.1, Nematostella_vectensis_NV2t008347002.1 NV2t008347002.1	Acropora_digitifera_adi_v1.08872 adi_v1.08872, Acropora_digitifera_adi_v1.00148 adi_v1.00148
OG0000004	Nematostella_vectensis_NV2t017172001.1 NV2t017172001.1	Acropora_digitifera_adi_v1.06518 adi_v1.06518
OG0000004	Nematostella_vectensis_NV2t023594001.1 NV2t023594001.1	Acropora_digitifera_adi_v1.02301 adi_v1.02301
OG0000005	Nematostella_vectensis_NV2t018077001.1 NV2t018077001.1	Acropora_digitifera_adi_v1.20368 adi_v1.20368
OG0000005	Nematostella_vectensis_NV2t023064002.1 NV2t023064002.1, Nematostella_vectensis_NV2t023064001.1 NV2t023064001.1	Acropora_digitifera_adi_v1.17845 adi_v1.17845
OG0000005	Nematostella_vectensis_NV2t011168001.1 NV2t011168001.1, Nematostella_vectensis_NV2t011169001.1 NV2t011169001.1, Nematostella_vectensis_NV2t017332001.1 NV2t017332001.1, Nematostella_vectensis_NV2t017332003.1 NV2t017332003.1, Nematostella_vectensis_NV2t017332002.1 NV2t017332002.1	Acropora_digitifera_adi_v1.15751 adi_v1.15751
OG0000005	Nematostella_vectensis_NV2t013994001.1 NV2t013994001.1	Acropora_digitifera_adi_v1.13648 adi_v1.13648
OG0000005	Nematostella_vectensis_NV2t003279001.1 NV2t003279001.1, Nematostella_vectensis_NV2t021385001.1 NV2t021385001.1, Nematostella_vectensis_NV2t010155001.1 NV2t010155001.1	Acropora_digitifera_adi_v1.01716 adi_v1.01716
OG0000005	Nematostella_vectensis_NV2t007357001.1 NV2t007357001.1	Acropora_digitifera_adi_v1.22618 adi_v1.22618
OG0000005	Nematostella_vectensis_NV2t025961001.1 NV2t025961001.1, Nematostella_vectensis_NV2t020639001.1 NV2t020639001.1, Nematostella_vectensis_NV2t020640001.1 NV2t020640001.1, Nematostella_vectensis_NV2t020641001.1 NV2t020641001.1, Nematostella_vectensis_NV2t020641004.1 NV2t020641004.1, Nematostella_vectensis_NV2t020641005.1 NV2t020641005.1, Nematostella_vectensis_NV2t020641003.1 NV2t020641003.1, Nematostella_vectensis_NV2t020641002.1 NV2t020641002.1	Acropora_digitifera_adi_v1.12633 adi_v1.12633
OG0000005	Nematostella_vectensis_NV2t015018001.1 NV2t015018001.1, Nematostella_vectensis_NV2t014862004.1 NV2t014862004.1, Nematostella_vectensis_NV2t013368001.1 NV2t013368001.1	Acropora_digitifera_adi_v1.24503 adi_v1.24503
OG0000005	Nematostella_vectensis_NV2t003953001.1 NV2t003953001.1	Acropora_digitifera_adi_v1.02212 adi_v1.02212
OG0000005	Nematostella_vectensis_NV2t002486001.1 NV2t002486001.1	Acropora_digitifera_adi_v1.08322 adi_v1.08322
OG0000005	Nematostella_vectensis_NV2t017973001.1 NV2t017973001.1, Nematostella_vectensis_NV2t015362001.1 NV2t015362001.1	Acropora_digitifera_adi_v1.10908 adi_v1.10908
OG0000006	Nematostella_vectensis_NV2t024979002.1 NV2t024979002.1, Nematostella_vectensis_NV2t024979003.1 NV2t024979003.1, Nematostella_vectensis_NV2t024979001.1 NV2t024979001.1	Acropora_digitifera_adi_v1.21946 adi_v1.21946, Acropora_digitifera_adi_v1.18870 adi_v1.18870
OG0000006	Nematostella_vectensis_NV2t025124001.1 NV2t025124001.1	Acropora_digitifera_adi_v1.07190 adi_v1.07190
OG0000006	Nematostella_vectensis_NV2t020926001.1 NV2t020926001.1	Acropora_digitifera_adi_v1.01853 adi_v1.01853
OG0000006	Nematostella_vectensis_NV2t003560001.1 NV2t003560001.1	Acropora_digitifera_adi_v1.06181 adi_v1.06181
OG0000006	Nematostella_vectensis_NV2t003792001.1 NV2t003792001.1	Acropora_digitifera_adi_v1.15090 adi_v1.15090
OG0000006	Nematostella_vectensis_NV2t003300001.1 NV2t003300001.1	Acropora_digitifera_adi_v1.14680 adi_v1.14680
OG0000006	Nematostella_vectensis_NV2t025727002.1 NV2t025727002.1, Nematostella_vectensis_NV2t025727001.1 NV2t025727001.1	Acropora_digitifera_adi_v1.18431 adi_v1.18431, Acropora_digitifera_adi_v1.10670 adi_v1.10670
OG0000006	Nematostella_vectensis_NV2t025725003.1 NV2t025725003.1, Nematostella_vectensis_NV2t025725002.1 NV2t025725002.1, Nematostella_vectensis_NV2t025725001.1 NV2t025725001.1, Nematostella_vectensis_NV2t025725006.1 NV2t025725006.1, Nematostella_vectensis_NV2t025725005.1 NV2t025725005.1, Nematostella_vectensis_NV2t025725004.1 NV2t025725004.1	Acropora_digitifera_adi_v1.13848 adi_v1.13848, Acropora_digitifera_adi_v1.20802 adi_v1.20802
OG0000006	Nematostella_vectensis_NV2t025724001.1 NV2t025724001.1, Nematostella_vectensis_NV2t025722001.1 NV2t025722001.1	Acropora_digitifera_adi_v1.19423 adi_v1.19423
OG0000006	Nematostella_vectensis_NV2t011255001.1 NV2t011255001.1	Acropora_digitifera_adi_v1.15339 adi_v1.15339
OG0000007	Nematostella_vectensis_NV2t016433001.1 NV2t016433001.1	Acropora_digitifera_adi_v1.22828 adi_v1.22828
OG0000007	Nematostella_vectensis_NV2t016270001.1 NV2t016270001.1, Nematostella_vectensis_NV2t016270002.1 NV2t016270002.1, Nematostella_vectensis_NV2t016273001.1 NV2t016273001.1	Acropora_digitifera_adi_v1.07913 adi_v1.07913, Acropora_digitifera_adi_v1.11289 adi_v1.11289, Acropora_digitifera_adi_v1.07914 adi_v1.07914
OG0000007	Nematostella_vectensis_NV2t003396003.1 NV2t003396003.1, Nematostella_vectensis_NV2t003396001.1 NV2t003396001.1	Acropora_digitifera_adi_v1.17191 adi_v1.17191, Acropora_digitifera_adi_v1.14511 adi_v1.14511
OG0000007	Nematostella_vectensis_NV2t006897001.1 NV2t006897001.1	Acropora_digitifera_adi_v1.11554 adi_v1.11554
OG0000008	Nematostella_vectensis_NV2t005910001.1 NV2t005910001.1	Acropora_digitifera_adi_v1.19358 adi_v1.19358
OG0000008	Nematostella_vectensis_NV2t000855001.1 NV2t000855001.1	Acropora_digitifera_adi_v1.12714 adi_v1.12714
OG0000008	Nematostella_vectensis_NV2t010691004.1 NV2t010691004.1, Nematostella_vectensis_NV2t023073001.1 NV2t023073001.1	Acropora_digitifera_adi_v1.15850 adi_v1.15850
OG0000008	Nematostella_vectensis_NV2t011904001.1 NV2t011904001.1, Nematostella_vectensis_NV2t011904002.1 NV2t011904002.1, Nematostella_vectensis_NV2t011904015.1 NV2t011904015.1, Nematostella_vectensis_NV2t011904007.1 NV2t011904007.1, Nematostella_vectensis_NV2t011904010.1 NV2t011904010.1, Nematostella_vectensis_NV2t011904016.1 NV2t011904016.1, Nematostella_vectensis_NV2t011904013.1 NV2t011904013.1, Nematostella_vectensis_NV2t011904014.1 NV2t011904014.1, Nematostella_vectensis_NV2t011904012.1 NV2t011904012.1, Nematostella_vectensis_NV2t011904005.1 NV2t011904005.1, Nematostella_vectensis_NV2t011904008.1 NV2t011904008.1, Nematostella_vectensis_NV2t011904004.1 NV2t011904004.1, Nematostella_vectensis_NV2t011904003.1 NV2t011904003.1, Nematostella_vectensis_NV2t011904009.1 NV2t011904009.1, Nematostella_vectensis_NV2t011904006.1 NV2t011904006.1, Nematostella_vectensis_NV2t011903001.1 NV2t011903001.1	Acropora_digitifera_adi_v1.19041 adi_v1.19041, Acropora_digitifera_adi_v1.21250 adi_v1.21250, Acropora_digitifera_adi_v1.20031 adi_v1.20031, Acropora_digitifera_adi_v1.23528 adi_v1.23528
OG0000008	Nematostella_vectensis_NV2t006411001.1 NV2t006411001.1	Acropora_digitifera_adi_v1.23160 adi_v1.23160, Acropora_digitifera_adi_v1.07571 adi_v1.07571
OG0000008	Nematostella_vectensis_NV2t020124005.1 NV2t020124005.1, Nematostella_vectensis_NV2t020124003.1 NV2t020124003.1, Nematostella_vectensis_NV2t020124004.1 NV2t020124004.1, Nematostella_vectensis_NV2t020124002.1 NV2t020124002.1, Nematostella_vectensis_NV2t020124001.1 NV2t020124001.1, Nematostella_vectensis_NV2t008000001.1 NV2t008000001.1, Nematostella_vectensis_NV2t019957001.1 NV2t019957001.1	Acropora_digitifera_adi_v1.22883 adi_v1.22883
