Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Chordata_Vertebrata_Coturnix_japonica
OG0000004	Nematostella_vectensis_NV2t009760001.1 NV2t009760001.1, Nematostella_vectensis_NV2t008618001.1 NV2t008618001.1, Nematostella_vectensis_NV2t000845001.1 NV2t000845001.1, Nematostella_vectensis_NV2t000842001.1 NV2t000842001.1, Nematostella_vectensis_NV2t000843001.1 NV2t000843001.1, Nematostella_vectensis_NV2t000844001.1 NV2t000844001.1, Nematostella_vectensis_NV2t000836001.1 NV2t000836001.1, Nematostella_vectensis_NV2t000841001.1 NV2t000841001.1, Nematostella_vectensis_NV2t014432001.1 NV2t014432001.1, Nematostella_vectensis_NV2t014626001.1 NV2t014626001.1, Nematostella_vectensis_NV2t017029001.1 NV2t017029001.1, Nematostella_vectensis_NV2t016336001.1 NV2t016336001.1, Nematostella_vectensis_NV2t016338001.1 NV2t016338001.1, Nematostella_vectensis_NV2t016338002.1 NV2t016338002.1, Nematostella_vectensis_NV2t016340001.1 NV2t016340001.1, Nematostella_vectensis_NV2t016343002.1 NV2t016343002.1, Nematostella_vectensis_NV2t008633001.1 NV2t008633001.1, Nematostella_vectensis_NV2t008635001.1 NV2t008635001.1, Nematostella_vectensis_NV2t021576001.1 NV2t021576001.1, Nematostella_vectensis_NV2t021577001.1 NV2t021577001.1, Nematostella_vectensis_NV2t021577002.1 NV2t021577002.1, Nematostella_vectensis_NV2t016479001.1 NV2t016479001.1	Coturnix_japonica_XP_015713068.1 vitrin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015720468.1 cochlin [Coturnix japonica]
OG0000004	Nematostella_vectensis_NV2t000975001.1 NV2t000975001.1	Coturnix_japonica_XP_015709146.1 collagen alpha-1_XXVIII_ chain [Coturnix japonica]
OG0000005	Nematostella_vectensis_NV2t003953001.1 NV2t003953001.1, Nematostella_vectensis_NV2t002486001.1 NV2t002486001.1, Nematostella_vectensis_NV2t010250001.1 NV2t010250001.1, Nematostella_vectensis_NV2t004041001.1 NV2t004041001.1, Nematostella_vectensis_NV2t018104001.1 NV2t018104001.1, Nematostella_vectensis_NV2t019110001.1 NV2t019110001.1, Nematostella_vectensis_NV2t019110002.1 NV2t019110002.1, Nematostella_vectensis_NV2t019110003.1 NV2t019110003.1, Nematostella_vectensis_NV2t017973001.1 NV2t017973001.1, Nematostella_vectensis_NV2t015362001.1 NV2t015362001.1	Coturnix_japonica_XP_015720065.1 astacin-like metalloendopeptidase [Coturnix japonica]
OG0000006	Nematostella_vectensis_NV2t024979002.1 NV2t024979002.1, Nematostella_vectensis_NV2t024979003.1 NV2t024979003.1, Nematostella_vectensis_NV2t024979001.1 NV2t024979001.1, Nematostella_vectensis_NV2t025124001.1 NV2t025124001.1, Nematostella_vectensis_NV2t020926001.1 NV2t020926001.1	Coturnix_japonica_XP_015724966.1 PREDICTED_ coagulation factor XIII B chain-like isoform X3 [Coturnix japonica]
OG0000007	Nematostella_vectensis_NV2t007493001.1 NV2t007493001.1	Coturnix_japonica_XP_015726540.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 [Coturnix japonica]
OG0000007	Nematostella_vectensis_NV2t016270001.1 NV2t016270001.1, Nematostella_vectensis_NV2t016270002.1 NV2t016270002.1, Nematostella_vectensis_NV2t016273001.1 NV2t016273001.1	Coturnix_japonica_XP_015727266.1 PREDICTED_ mucin-4 [Coturnix japonica]
OG0000009	Nematostella_vectensis_NV2t016314001.1 NV2t016314001.1, Nematostella_vectensis_NV2t016315002.1 NV2t016315002.1, Nematostella_vectensis_NV2t016315001.1 NV2t016315001.1, Nematostella_vectensis_NV2t003625001.1 NV2t003625001.1, Nematostella_vectensis_NV2t005224001.1 NV2t005224001.1, Nematostella_vectensis_NV2t002814001.1 NV2t002814001.1, Nematostella_vectensis_NV2t003167001.1 NV2t003167001.1, Nematostella_vectensis_NV2t003167002.1 NV2t003167002.1, Nematostella_vectensis_NV2t003698001.1 NV2t003698001.1, Nematostella_vectensis_NV2t003699001.1 NV2t003699001.1, Nematostella_vectensis_NV2t003699002.1 NV2t003699002.1, Nematostella_vectensis_NV2t003699003.1 NV2t003699003.1, Nematostella_vectensis_NV2t014373001.1 NV2t014373001.1, Nematostella_vectensis_NV2t001391003.1 NV2t001391003.1, Nematostella_vectensis_NV2t001391002.1 NV2t001391002.1, Nematostella_vectensis_NV2t001391001.1 NV2t001391001.1	Coturnix_japonica_XP_015726187.1 CUB domain-containing protein 2 isoform X2 [Coturnix japonica]
OG0000010	Nematostella_vectensis_NV2t023125001.1 NV2t023125001.1	Coturnix_japonica_XP_015727630.1 immunoglobulin superfamily member 10 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015704262.1 LOW QUALITY PROTEIN_ matrix-remodeling-associated protein 5 [Coturnix japonica]
OG0000010	Nematostella_vectensis_NV2t014904001.1 NV2t014904001.1	Coturnix_japonica_XP_015737706.1 PREDICTED_ LOW QUALITY PROTEIN_ basement membrane-specific heparan sulfate proteoglycan core protein [Coturnix japonica]
OG0000010	Nematostella_vectensis_NV2t000707001.1 NV2t000707001.1	Coturnix_japonica_XP_015703969.1 pikachurin [Coturnix japonica]
OG0000010	Nematostella_vectensis_NV2t014043001.1 NV2t014043001.1, Nematostella_vectensis_NV2t014046006.1 NV2t014046006.1, Nematostella_vectensis_NV2t014046005.1 NV2t014046005.1, Nematostella_vectensis_NV2t014092001.1 NV2t014092001.1, Nematostella_vectensis_NV2t014093001.1 NV2t014093001.1	Coturnix_japonica_XP_015738166.1 agrin isoform X4 [Coturnix japonica]
OG0000010	Nematostella_vectensis_NV2t023832001.1 NV2t023832001.1	Coturnix_japonica_XP_015704191.1 follistatin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741848.1 follistatin-related protein 3 [Coturnix japonica]
OG0000012	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1	Coturnix_japonica_XP_015739529.1 alpha-tectorin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015739529.1 alpha-tectorin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015710551.1 BMP-binding endothelial regulator protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015718813.1 LOW QUALITY PROTEIN_ von Willebrand factor C and EGF domain-containing protein [Coturnix japonica]
OG0000013	Nematostella_vectensis_NV2t002707001.1 NV2t002707001.1	Coturnix_japonica_XP_015708300.1 protein Wnt-16 [Coturnix japonica]
OG0000013	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1	Coturnix_japonica_XP_015724725.1 protein Wnt-6 isoform X2 [Coturnix japonica]
OG0000013	Nematostella_vectensis_NV2t012225001.1 NV2t012225001.1	Coturnix_japonica_XP_015742371.1 proto-oncogene Wnt-1 [Coturnix japonica]
OG0000013	Nematostella_vectensis_NV2t012463001.1 NV2t012463001.1	Coturnix_japonica_XP_015740945.1 PREDICTED_ proto-oncogene Wnt-3 [Coturnix japonica], Coturnix_japonica_XP_015708521.1 PREDICTED_ protein Wnt-3a [Coturnix japonica]
OG0000013	Nematostella_vectensis_NV2t003611004.1 NV2t003611004.1, Nematostella_vectensis_NV2t003611002.1 NV2t003611002.1, Nematostella_vectensis_NV2t003611005.1 NV2t003611005.1, Nematostella_vectensis_NV2t003611001.1 NV2t003611001.1, Nematostella_vectensis_NV2t003611003.1 NV2t003611003.1	Coturnix_japonica_XP_015720854.1 protein Wnt-5b [Coturnix japonica], Coturnix_japonica_XP_015730917.1 protein Wnt-5a isoform X2 [Coturnix japonica]
OG0000013	Nematostella_vectensis_NV2t022664005.1 NV2t022664005.1, Nematostella_vectensis_NV2t022664004.1 NV2t022664004.1, Nematostella_vectensis_NV2t022664001.1 NV2t022664001.1, Nematostella_vectensis_NV2t022664003.1 NV2t022664003.1, Nematostella_vectensis_NV2t022664006.1 NV2t022664006.1, Nematostella_vectensis_NV2t022664002.1 NV2t022664002.1	Coturnix_japonica_XP_015707967.1 protein Wnt-11 isoform X1 [Coturnix japonica]
OG0000013	Nematostella_vectensis_NV2t003609002.1 NV2t003609002.1, Nematostella_vectensis_NV2t003609001.1 NV2t003609001.1	Coturnix_japonica_XP_015725941.1 PREDICTED_ protein Wnt-7b [Coturnix japonica]
OG0000013	Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1	Coturnix_japonica_XP_015709062.1 protein Wnt-2 [Coturnix japonica], Coturnix_japonica_XP_015740732.1 protein Wnt-2b [Coturnix japonica]
OG0000013	Nematostella_vectensis_NV2t003689001.1 NV2t003689001.1, Nematostella_vectensis_NV2t004522001.1 NV2t004522001.1, Nematostella_vectensis_NV2t005661001.1 NV2t005661001.1	Coturnix_japonica_XP_015731087.1 protein Wnt-8a [Coturnix japonica], Coturnix_japonica_XP_015721972.1 PREDICTED_ protein Wnt-8b [Coturnix japonica]
OG0000013	Nematostella_vectensis_NV2t011032001.1 NV2t011032001.1	Coturnix_japonica_XP_015724730.1 protein Wnt-10a [Coturnix japonica]
OG0000014	Nematostella_vectensis_NV2t022999001.1 NV2t022999001.1	Coturnix_japonica_XP_015734810.1 ADAMTS-like protein 2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015728200.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Coturnix japonica]
OG0000014	Nematostella_vectensis_NV2t023123001.1 NV2t023123001.1	Coturnix_japonica_XP_015704587.1 ADAMTS-like protein 1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728496.1 ADAMTS-like protein 3 isoform X1 [Coturnix japonica]
OG0000014	Nematostella_vectensis_NV2t024253001.1 NV2t024253001.1	Coturnix_japonica_XP_015728774.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015703899.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 [Coturnix japonica]
OG0000014	Nematostella_vectensis_NV2t020821001.1 NV2t020821001.1	Coturnix_japonica_XP_015720070.1 papilin isoform X1 [Coturnix japonica]
OG0000014	Nematostella_vectensis_NV2t000088001.1 NV2t000088001.1, Nematostella_vectensis_NV2t000087001.1 NV2t000087001.1	Coturnix_japonica_XP_015710221.1 PREDICTED_ LOW QUALITY PROTEIN_ A disintegrin and metalloproteinase with thrombospondin motifs 20_ partial [Coturnix japonica], Coturnix_japonica_XP_015730744.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform X2 [Coturnix japonica]
OG0000016	Nematostella_vectensis_NV2t016880001.1 NV2t016880001.1	Coturnix_japonica_XP_015736298.1 matrix metalloproteinase-28 [Coturnix japonica]
OG0000017	Nematostella_vectensis_NV2t021103001.1 NV2t021103001.1	Coturnix_japonica_XP_015725185.1 antithrombin-III [Coturnix japonica], Coturnix_japonica_XP_015709971.1 leukocyte elastase inhibitor-like [Coturnix japonica], Coturnix_japonica_XP_015709969.1 serpin B6-like [Coturnix japonica], Coturnix_japonica_XP_015710071.1 serpin B5 [Coturnix japonica], Coturnix_japonica_XP_015709958.1 PREDICTED_ heterochromatin-associated protein MENT isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015709963.1 serpin B10-like [Coturnix japonica], Coturnix_japonica_XP_015710070.1 serpin B12-like [Coturnix japonica]
OG0000018	Nematostella_vectensis_NV2t019165001.1 NV2t019165001.1, Nematostella_vectensis_NV2t019165003.1 NV2t019165003.1, Nematostella_vectensis_NV2t019165002.1 NV2t019165002.1, Nematostella_vectensis_NV2t019166001.1 NV2t019166001.1	Coturnix_japonica_XP_015722587.1 PREDICTED_ LOW QUALITY PROTEIN_ lysyl oxidase homolog 4-like [Coturnix japonica], Coturnix_japonica_XP_015705736.1 lysyl oxidase homolog 3 [Coturnix japonica], Coturnix_japonica_XP_015738393.1 lysyl oxidase homolog 2 [Coturnix japonica]
OG0000019	Nematostella_vectensis_NV2t006269003.1 NV2t006269003.1, Nematostella_vectensis_NV2t006269002.1 NV2t006269002.1, Nematostella_vectensis_NV2t006269001.1 NV2t006269001.1	Coturnix_japonica_XP_015738689.1 bone morphogenetic protein 8B-like [Coturnix japonica], Coturnix_japonica_XP_015714712.1 bone morphogenetic protein 5 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015710074.1 bone morphogenetic protein 6 [Coturnix japonica], Coturnix_japonica_XP_015737280.1 bone morphogenetic protein 7 [Coturnix japonica]
OG0000019	Nematostella_vectensis_NV2t019847002.1 NV2t019847002.1, Nematostella_vectensis_NV2t019847001.1 NV2t019847001.1	Coturnix_japonica_XP_015721467.1 bone morphogenetic protein 4 [Coturnix japonica], Coturnix_japonica_XP_015712614.1 bone morphogenetic protein 2 [Coturnix japonica]
OG0000019	Nematostella_vectensis_NV2t006489001.1 NV2t006489001.1	Coturnix_japonica_XP_015705631.1 PREDICTED_ growth/differentiation factor 6_ partial [Coturnix japonica], Coturnix_japonica_XP_015736826.1 growth/differentiation factor 5 [Coturnix japonica], Coturnix_japonica_XP_015714970.1 growth/differentiation factor 7 [Coturnix japonica], Coturnix_japonica_XP_015717295.1 bone morphogenetic protein 3 [Coturnix japonica], Coturnix_japonica_XP_015722337.1 growth/differentiation factor 10 [Coturnix japonica]
OG0000020	Nematostella_vectensis_NV2t024375002.1 NV2t024375002.1	Coturnix_japonica_XP_015734782.1 collagen alpha-1_V_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725391.1 collagen alpha-1_XI_ chain isoform X1 [Coturnix japonica]
OG0000020	Nematostella_vectensis_NV2t012027001.1 NV2t012027001.1, Nematostella_vectensis_NV2t011872001.1 NV2t011872001.1, Nematostella_vectensis_NV2t011872002.1 NV2t011872002.1, Nematostella_vectensis_NV2t012159001.1 NV2t012159001.1, Nematostella_vectensis_NV2t010959004.1 NV2t010959004.1, Nematostella_vectensis_NV2t010959005.1 NV2t010959005.1, Nematostella_vectensis_NV2t012104001.1 NV2t012104001.1	Coturnix_japonica_XP_015705870.1 collagen alpha-1_II_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741354.1 LOW QUALITY PROTEIN_ collagen alpha-1_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015709029.1 collagen alpha-2_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015723325.1 collagen alpha-1_III_ chain [Coturnix japonica], Coturnix_japonica_XP_015723324.1 collagen alpha-2_V_ chain [Coturnix japonica]
OG0000021	Nematostella_vectensis_NV2t020722001.1 NV2t020722001.1, Nematostella_vectensis_NV2t020722002.1 NV2t020722002.1, Nematostella_vectensis_NV2t020722003.1 NV2t020722003.1	Coturnix_japonica_XP_015721444.1 nidogen-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015713380.1 nidogen-1 isoform X1 [Coturnix japonica]
OG0000022	Nematostella_vectensis_NV2t009562002.1 NV2t009562002.1, Nematostella_vectensis_NV2t009562001.1 NV2t009562001.1	Coturnix_japonica_XP_015722004.1 annexin A7 isoform X2 [Coturnix japonica]
OG0000023	Nematostella_vectensis_NV2t018385002.1 NV2t018385002.1, Nematostella_vectensis_NV2t018385001.1 NV2t018385001.1	Coturnix_japonica_XP_015721656.1 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738502.1 disintegrin and metalloproteinase domain-containing protein 28 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733264.1 disintegrin and metalloproteinase domain-containing protein 9-like [Coturnix japonica], Coturnix_japonica_XP_015738633.1 disintegrin and metalloproteinase domain-containing protein 9 [Coturnix japonica], Coturnix_japonica_XP_015723079.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 12 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015718482.1 disintegrin and metalloproteinase domain-containing protein 33 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015731731.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 19 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015723724.1 disintegrin and metalloproteinase domain-containing protein 23 [Coturnix japonica], Coturnix_japonica_XP_015708948.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740988.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 11 isoform X2 [Coturnix japonica]
OG0000024	Nematostella_vectensis_NV2t003372003.1 NV2t003372003.1, Nematostella_vectensis_NV2t003372002.1 NV2t003372002.1, Nematostella_vectensis_NV2t003372001.1 NV2t003372001.1	Coturnix_japonica_XP_015716467.1 testican-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015731364.1 testican-1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721924.1 testican-2 [Coturnix japonica]
OG0000028	Nematostella_vectensis_NV2t021411001.1 NV2t021411001.1	Coturnix_japonica_XP_015706908.1 collagen alpha-1_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715960.1 collagen alpha-5_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726877.1 collagen alpha-3_IV_ chain [Coturnix japonica]
OG0000028	Nematostella_vectensis_NV2t021409001.1 NV2t021409001.1	Coturnix_japonica_XP_015706905.1 collagen alpha-2_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715965.1 collagen alpha-6_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726876.1 collagen alpha-4_IV_ chain [Coturnix japonica]
OG0000030	Nematostella_vectensis_NV2t006771001.1 NV2t006771001.1, Nematostella_vectensis_NV2t006771002.1 NV2t006771002.1	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]
OG0000030	Nematostella_vectensis_NV2t013893003.1 NV2t013893003.1, Nematostella_vectensis_NV2t013893002.1 NV2t013893002.1, Nematostella_vectensis_NV2t024729009.1 NV2t024729009.1, Nematostella_vectensis_NV2t024729016.1 NV2t024729016.1, Nematostella_vectensis_NV2t024729018.1 NV2t024729018.1, Nematostella_vectensis_NV2t024729004.1 NV2t024729004.1, Nematostella_vectensis_NV2t024729015.1 NV2t024729015.1, Nematostella_vectensis_NV2t024729005.1 NV2t024729005.1, Nematostella_vectensis_NV2t024729010.1 NV2t024729010.1, Nematostella_vectensis_NV2t024729008.1 NV2t024729008.1, Nematostella_vectensis_NV2t024729007.1 NV2t024729007.1, Nematostella_vectensis_NV2t024729006.1 NV2t024729006.1	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]
OG0000033	Nematostella_vectensis_NV2t002667001.1 NV2t002667001.1	Coturnix_japonica_XP_015711635.2 collagen triple helix repeat-containing protein 1 [Coturnix japonica]
OG0000034	Nematostella_vectensis_NV2t014162001.1 NV2t014162001.1	Coturnix_japonica_XP_015728800.1 multiple epidermal growth factor-like domains protein 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705198.1 multiple epidermal growth factor-like domains protein 10 [Coturnix japonica]
OG0000035	Nematostella_vectensis_NV2t000997001.1 NV2t000997001.1, Nematostella_vectensis_NV2t000996001.1 NV2t000996001.1, Nematostella_vectensis_NV2t010141001.1 NV2t010141001.1, Nematostella_vectensis_NV2t003648001.1 NV2t003648001.1, Nematostella_vectensis_NV2t010139001.1 NV2t010139001.1	Coturnix_japonica_XP_015728570.1 lactadherin isoform X1 [Coturnix japonica]
OG0000036	Nematostella_vectensis_NV2t025171002.1 NV2t025171002.1, Nematostella_vectensis_NV2t025171001.1 NV2t025171001.1	Coturnix_japonica_XP_015734828.1 epidermal growth factor-like protein 7 isoform X2 [Coturnix japonica]
OG0000036	Nematostella_vectensis_NV2t022153002.1 NV2t022153002.1, Nematostella_vectensis_NV2t022153001.1 NV2t022153001.1	Coturnix_japonica_XP_015703683.1 PREDICTED_ epidermal growth factor-like protein 6 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015716910.1 LOW QUALITY PROTEIN_ nephronectin [Coturnix japonica]
OG0000037	Nematostella_vectensis_NV2t020441001.1 NV2t020441001.1, Nematostella_vectensis_NV2t020449001.1 NV2t020449001.1, Nematostella_vectensis_NV2t003437001.1 NV2t003437001.1	Coturnix_japonica_XP_015707407.1 periostin isoform X8 [Coturnix japonica], Coturnix_japonica_XP_015731386.1 transforming growth factor-beta-induced protein ig-h3 [Coturnix japonica]
OG0000038	Nematostella_vectensis_NV2t022058002.1 NV2t022058002.1, Nematostella_vectensis_NV2t022058001.1 NV2t022058001.1, Nematostella_vectensis_NV2t022054001.1 NV2t022054001.1, Nematostella_vectensis_NV2t022057001.1 NV2t022057001.1, Nematostella_vectensis_NV2t022056001.1 NV2t022056001.1	Coturnix_japonica_XP_015734323.1 tumor necrosis factor ligand superfamily member 15 [Coturnix japonica], Coturnix_japonica_XP_015725223.1 PREDICTED_ tumor necrosis factor ligand superfamily member 6 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015707222.1 tumor necrosis factor ligand superfamily member 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015727439.1 tumor necrosis factor ligand superfamily member 10 isoform X1 [Coturnix japonica]
OG0000040	Nematostella_vectensis_NV2t013801001.1 NV2t013801001.1	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]
