Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Xenia_spec
OG0000001	Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1	Xenia_spec_Xe_016511_T1 Xe_016511_T1 Xe_016511
OG0000001	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1	Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821
OG0000001	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494
OG0000001	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1, Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1	Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223
OG0000002	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1	Xenia_spec_Xe_002083_T1 Xe_002083_T1 Xe_002083, Xenia_spec_Xe_002085_T1 Xe_002085_T1 Xe_002085
OG0000002	Nematostella_vectensis_NV2t023886001.1 NV2t023886001.1, Nematostella_vectensis_NV2t023886003.1 NV2t023886003.1, Nematostella_vectensis_NV2t023886002.1 NV2t023886002.1	Xenia_spec_Xe_003115_T1 Xe_003115_T1 Xe_003115, Xenia_spec_Xe_003081_T1 Xe_003081_T1 Xe_003081
OG0000002	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1	Xenia_spec_Xe_009903_T1 Xe_009903_T1 Xe_009903
OG0000002	Nematostella_vectensis_NV2t013520001.1 NV2t013520001.1, Nematostella_vectensis_NV2t011502001.1 NV2t011502001.1	Xenia_spec_Xe_009641_T1 Xe_009641_T1 Xe_009641
OG0000002	Nematostella_vectensis_NV2t002146001.1 NV2t002146001.1	Xenia_spec_Xe_013189_T1 Xe_013189_T1 Xe_013189
OG0000002	Nematostella_vectensis_NV2t014005001.1 NV2t014005001.1	Xenia_spec_Xe_012746_T1 Xe_012746_T1 Xe_012746
OG0000002	Nematostella_vectensis_NV2t013920001.1 NV2t013920001.1, Nematostella_vectensis_NV2t019412001.1 NV2t019412001.1, Nematostella_vectensis_NV2t013919001.1 NV2t013919001.1, Nematostella_vectensis_NV2t024746001.1 NV2t024746001.1	Xenia_spec_Xe_007481_T1 Xe_007481_T1 Xe_007481
OG0000002	Nematostella_vectensis_NV2t025346001.1 NV2t025346001.1	Xenia_spec_Xe_007911_T1 Xe_007911_T1 Xe_007911
OG0000003	Nematostella_vectensis_NV2t005851001.1 NV2t005851001.1, Nematostella_vectensis_NV2t014809001.1 NV2t014809001.1, Nematostella_vectensis_NV2t014808004.1 NV2t014808004.1, Nematostella_vectensis_NV2t014772001.1 NV2t014772001.1, Nematostella_vectensis_NV2t014808002.1 NV2t014808002.1, Nematostella_vectensis_NV2t016335001.1 NV2t016335001.1	Xenia_spec_Xe_008214_T1 Xe_008214_T1 Xe_008214
OG0000003	Nematostella_vectensis_NV2t008278001.1 NV2t008278001.1, Nematostella_vectensis_NV2t008276001.1 NV2t008276001.1, Nematostella_vectensis_NV2t008399001.1 NV2t008399001.1	Xenia_spec_Xe_012784_T1 Xe_012784_T1 Xe_012784
OG0000003	Nematostella_vectensis_NV2t012172001.1 NV2t012172001.1, Nematostella_vectensis_NV2t012165001.1 NV2t012165001.1	Xenia_spec_Xe_009803_T1 Xe_009803_T1 Xe_009803, Xenia_spec_Xe_009805_T1 Xe_009805_T1 Xe_009805, Xenia_spec_Xe_009799_T1 Xe_009799_T1 Xe_009799
OG0000003	Nematostella_vectensis_NV2t018585001.1 NV2t018585001.1, Nematostella_vectensis_NV2t018585002.1 NV2t018585002.1	Xenia_spec_Xe_013651_T1 Xe_013651_T1 Xe_013651
OG0000003	Nematostella_vectensis_NV2t003029001.1 NV2t003029001.1, Nematostella_vectensis_NV2t003028001.1 NV2t003028001.1, Nematostella_vectensis_NV2t020861001.1 NV2t020861001.1	Xenia_spec_Xe_009687_T1 Xe_009687_T1 Xe_009687, Xenia_spec_Xe_010093_T1 Xe_010093_T1 Xe_010093
OG0000003	Nematostella_vectensis_NV2t019491001.1 NV2t019491001.1, Nematostella_vectensis_NV2t005939001.1 NV2t005939001.1, Nematostella_vectensis_NV2t007828001.1 NV2t007828001.1	Xenia_spec_Xe_002591_T1 Xe_002591_T1 Xe_002591
OG0000004	Nematostella_vectensis_NV2t011346003.1 NV2t011346003.1, Nematostella_vectensis_NV2t011346001.1 NV2t011346001.1, Nematostella_vectensis_NV2t011346002.1 NV2t011346002.1, Nematostella_vectensis_NV2t012411002.1 NV2t012411002.1, Nematostella_vectensis_NV2t012411003.1 NV2t012411003.1, Nematostella_vectensis_NV2t012411001.1 NV2t012411001.1	Xenia_spec_Xe_009740_T1 Xe_009740_T1 Xe_009740
OG0000004	Nematostella_vectensis_NV2t009760001.1 NV2t009760001.1, Nematostella_vectensis_NV2t008618001.1 NV2t008618001.1, Nematostella_vectensis_NV2t000845001.1 NV2t000845001.1, Nematostella_vectensis_NV2t000842001.1 NV2t000842001.1, Nematostella_vectensis_NV2t000843001.1 NV2t000843001.1, Nematostella_vectensis_NV2t000844001.1 NV2t000844001.1, Nematostella_vectensis_NV2t000836001.1 NV2t000836001.1, Nematostella_vectensis_NV2t000841001.1 NV2t000841001.1, Nematostella_vectensis_NV2t014432001.1 NV2t014432001.1, Nematostella_vectensis_NV2t014626001.1 NV2t014626001.1, Nematostella_vectensis_NV2t017029001.1 NV2t017029001.1, Nematostella_vectensis_NV2t016336001.1 NV2t016336001.1, Nematostella_vectensis_NV2t016338001.1 NV2t016338001.1, Nematostella_vectensis_NV2t016338002.1 NV2t016338002.1, Nematostella_vectensis_NV2t016340001.1 NV2t016340001.1, Nematostella_vectensis_NV2t016343002.1 NV2t016343002.1, Nematostella_vectensis_NV2t008633001.1 NV2t008633001.1, Nematostella_vectensis_NV2t008635001.1 NV2t008635001.1, Nematostella_vectensis_NV2t021576001.1 NV2t021576001.1, Nematostella_vectensis_NV2t021577001.1 NV2t021577001.1, Nematostella_vectensis_NV2t021577002.1 NV2t021577002.1, Nematostella_vectensis_NV2t016479001.1 NV2t016479001.1	Xenia_spec_Xe_002025_T1 Xe_002025_T1 Xe_002025
OG0000004	Nematostella_vectensis_NV2t002229001.1 NV2t002229001.1, Nematostella_vectensis_NV2t002228001.1 NV2t002228001.1	Xenia_spec_Xe_003386_T1 Xe_003386_T1 Xe_003386, Xenia_spec_Xe_013511_T1 Xe_013511_T1 Xe_013511, Xenia_spec_Xe_003396_T1 Xe_003396_T1 Xe_003396
OG0000004	Nematostella_vectensis_NV2t011512001.1 NV2t011512001.1	Xenia_spec_Xe_011402_T1 Xe_011402_T1 Xe_011402
OG0000004	Nematostella_vectensis_NV2t003227001.1 NV2t003227001.1	Xenia_spec_Xe_016049_T1 Xe_016049_T1 Xe_016049
OG0000004	Nematostella_vectensis_NV2t011625002.1 NV2t011625002.1, Nematostella_vectensis_NV2t011625001.1 NV2t011625001.1, Nematostella_vectensis_NV2t004921001.1 NV2t004921001.1, Nematostella_vectensis_NV2t004715001.1 NV2t004715001.1	Xenia_spec_Xe_005233_T1 Xe_005233_T1 Xe_005233
OG0000004	Nematostella_vectensis_NV2t004933001.1 NV2t004933001.1, Nematostella_vectensis_NV2t004933002.1 NV2t004933002.1, Nematostella_vectensis_NV2t004933003.1 NV2t004933003.1, Nematostella_vectensis_NV2t004933004.1 NV2t004933004.1, Nematostella_vectensis_NV2t004933006.1 NV2t004933006.1	Xenia_spec_Xe_005231_T1 Xe_005231_T1 Xe_005231
OG0000004	Nematostella_vectensis_NV2t003144001.1 NV2t003144001.1	Xenia_spec_Xe_015008_T2 Xe_015008_T2 Xe_015008, Xenia_spec_Xe_015008_T1 Xe_015008_T1 Xe_015008
OG0000004	Nematostella_vectensis_NV2t008636001.1 NV2t008636001.1, Nematostella_vectensis_NV2t008347001.1 NV2t008347001.1, Nematostella_vectensis_NV2t008347002.1 NV2t008347002.1	Xenia_spec_Xe_016404_T1 Xe_016404_T1 Xe_016404, Xenia_spec_Xe_016394_T1 Xe_016394_T1 Xe_016394, Xenia_spec_Xe_016402_T1 Xe_016402_T1 Xe_016402, Xenia_spec_Xe_016393_T1 Xe_016393_T1 Xe_016393, Xenia_spec_Xe_010643_T1 Xe_010643_T1 Xe_010643, Xenia_spec_Xe_010641_T1 Xe_010641_T1 Xe_010641, Xenia_spec_Xe_010631_T1 Xe_010631_T1 Xe_010631, Xenia_spec_Xe_010630_T1 Xe_010630_T1 Xe_010630, Xenia_spec_Xe_010644_T1 Xe_010644_T1 Xe_010644
OG0000005	Nematostella_vectensis_NV2t008552001.1 NV2t008552001.1, Nematostella_vectensis_NV2t008552002.1 NV2t008552002.1, Nematostella_vectensis_NV2t008552003.1 NV2t008552003.1	Xenia_spec_Xe_011516_T1 Xe_011516_T1 Xe_011516
OG0000005	Nematostella_vectensis_NV2t018077001.1 NV2t018077001.1	Xenia_spec_Xe_013630_T1 Xe_013630_T1 Xe_013630, Xenia_spec_Xe_013630_T2 Xe_013630_T2 Xe_013630, Xenia_spec_Xe_013693_T1 Xe_013693_T1 Xe_013693
OG0000005	Nematostella_vectensis_NV2t011168001.1 NV2t011168001.1, Nematostella_vectensis_NV2t011169001.1 NV2t011169001.1, Nematostella_vectensis_NV2t017332001.1 NV2t017332001.1, Nematostella_vectensis_NV2t017332003.1 NV2t017332003.1, Nematostella_vectensis_NV2t017332002.1 NV2t017332002.1	Xenia_spec_Xe_001395_T1 Xe_001395_T1 Xe_001395
OG0000005	Nematostella_vectensis_NV2t013994001.1 NV2t013994001.1, Nematostella_vectensis_NV2t003279001.1 NV2t003279001.1, Nematostella_vectensis_NV2t021385001.1 NV2t021385001.1, Nematostella_vectensis_NV2t010155001.1 NV2t010155001.1	Xenia_spec_Xe_015363_T1 Xe_015363_T1 Xe_015363, Xenia_spec_Xe_014383_T1 Xe_014383_T1 Xe_014383
OG0000005	Nematostella_vectensis_NV2t003953001.1 NV2t003953001.1	Xenia_spec_Xe_015051_T1 Xe_015051_T1 Xe_015051, Xenia_spec_Xe_014351_T1 Xe_014351_T1 Xe_014351, Xenia_spec_Xe_014613_T1 Xe_014613_T1 Xe_014613, Xenia_spec_Xe_014350_T1 Xe_014350_T1 Xe_014350
OG0000006	Nematostella_vectensis_NV2t025727002.1 NV2t025727002.1, Nematostella_vectensis_NV2t025727001.1 NV2t025727001.1, Nematostella_vectensis_NV2t025725003.1 NV2t025725003.1, Nematostella_vectensis_NV2t025725002.1 NV2t025725002.1, Nematostella_vectensis_NV2t025725001.1 NV2t025725001.1, Nematostella_vectensis_NV2t025725006.1 NV2t025725006.1, Nematostella_vectensis_NV2t025725005.1 NV2t025725005.1, Nematostella_vectensis_NV2t025725004.1 NV2t025725004.1, Nematostella_vectensis_NV2t025724001.1 NV2t025724001.1, Nematostella_vectensis_NV2t025722001.1 NV2t025722001.1	Xenia_spec_Xe_007877_T1 Xe_007877_T1 Xe_007877, Xenia_spec_Xe_007877_T2 Xe_007877_T2 Xe_007877, Xenia_spec_Xe_020681_T1 Xe_020681_T1 Xe_020681, Xenia_spec_Xe_007894_T1 Xe_007894_T1 Xe_007894, Xenia_spec_Xe_007895_T1 Xe_007895_T1 Xe_007895
OG0000007	Nematostella_vectensis_NV2t007493001.1 NV2t007493001.1	Xenia_spec_Xe_013492_T1 Xe_013492_T1 Xe_013492
OG0000007	Nematostella_vectensis_NV2t016433001.1 NV2t016433001.1	Xenia_spec_Xe_013053_T1 Xe_013053_T1 Xe_013053
OG0000007	Nematostella_vectensis_NV2t016270001.1 NV2t016270001.1, Nematostella_vectensis_NV2t016270002.1 NV2t016270002.1, Nematostella_vectensis_NV2t016273001.1 NV2t016273001.1	Xenia_spec_Xe_015322_T1 Xe_015322_T1 Xe_015322, Xenia_spec_Xe_015322_T2 Xe_015322_T2 Xe_015322, Xenia_spec_Xe_014878_T1 Xe_014878_T1 Xe_014878, Xenia_spec_Xe_014862_T1 Xe_014862_T1 Xe_014862, Xenia_spec_Xe_014860_T1 Xe_014860_T1 Xe_014860, Xenia_spec_Xe_014856_T1 Xe_014856_T1 Xe_014856, Xenia_spec_Xe_014858_T1 Xe_014858_T1 Xe_014858, Xenia_spec_Xe_014859_T1 Xe_014859_T1 Xe_014859
OG0000007	Nematostella_vectensis_NV2t003396003.1 NV2t003396003.1, Nematostella_vectensis_NV2t003396001.1 NV2t003396001.1	Xenia_spec_Xe_014646_T1 Xe_014646_T1 Xe_014646
OG0000007	Nematostella_vectensis_NV2t006897001.1 NV2t006897001.1	Xenia_spec_Xe_001341_T1 Xe_001341_T1 Xe_001341
OG0000008	Nematostella_vectensis_NV2t005536001.1 NV2t005536001.1	Xenia_spec_Xe_012403_T1 Xe_012403_T1 Xe_012403
OG0000008	Nematostella_vectensis_NV2t005910001.1 NV2t005910001.1	Xenia_spec_Xe_002860_T1 Xe_002860_T1 Xe_002860
OG0000008	Nematostella_vectensis_NV2t017065001.1 NV2t017065001.1, Nematostella_vectensis_NV2t017065002.1 NV2t017065002.1	Xenia_spec_Xe_011936_T1 Xe_011936_T1 Xe_011936, Xenia_spec_Xe_011933_T1 Xe_011933_T1 Xe_011933
OG0000008	Nematostella_vectensis_NV2t005917001.1 NV2t005917001.1	Xenia_spec_Xe_002861_T1 Xe_002861_T1 Xe_002861
OG0000008	Nematostella_vectensis_NV2t006441001.1 NV2t006441001.1, Nematostella_vectensis_NV2t006439001.1 NV2t006439001.1	Xenia_spec_Xe_002415_T1 Xe_002415_T1 Xe_002415
OG0000008	Nematostella_vectensis_NV2t006022001.1 NV2t006022001.1, Nematostella_vectensis_NV2t006021001.1 NV2t006021001.1, Nematostella_vectensis_NV2t005918001.1 NV2t005918001.1, Nematostella_vectensis_NV2t005918002.1 NV2t005918002.1	Xenia_spec_Xe_002862_T1 Xe_002862_T1 Xe_002862
OG0000008	Nematostella_vectensis_NV2t005916001.1 NV2t005916001.1	Xenia_spec_Xe_002863_T1 Xe_002863_T1 Xe_002863
OG0000008	Nematostella_vectensis_NV2t025661003.1 NV2t025661003.1, Nematostella_vectensis_NV2t025661002.1 NV2t025661002.1, Nematostella_vectensis_NV2t025659003.1 NV2t025659003.1, Nematostella_vectensis_NV2t025659001.1 NV2t025659001.1, Nematostella_vectensis_NV2t025659004.1 NV2t025659004.1, Nematostella_vectensis_NV2t025659002.1 NV2t025659002.1, Nematostella_vectensis_NV2t025658001.1 NV2t025658001.1	Xenia_spec_Xe_007896_T1 Xe_007896_T1 Xe_007896
OG0000008	Nematostella_vectensis_NV2t022145001.1 NV2t022145001.1, Nematostella_vectensis_NV2t006034001.1 NV2t006034001.1	Xenia_spec_Xe_002416_T1 Xe_002416_T1 Xe_002416
OG0000009	Nematostella_vectensis_NV2t021954001.1 NV2t021954001.1	Xenia_spec_Xe_014294_T1 Xe_014294_T1 Xe_014294
OG0000009	Nematostella_vectensis_NV2t014699001.1 NV2t014699001.1	Xenia_spec_Xe_000997_T1 Xe_000997_T1 Xe_000997, Xenia_spec_Xe_012293_T1 Xe_012293_T1 Xe_012293, Xenia_spec_Xe_012207_T1 Xe_012207_T1 Xe_012207, Xenia_spec_Xe_017784_T1 Xe_017784_T1 Xe_017784
OG0000009	Nematostella_vectensis_NV2t003169001.1 NV2t003169001.1	Xenia_spec_Xe_018428_T1 Xe_018428_T1 Xe_018428, Xenia_spec_Xe_018419_T1 Xe_018419_T1 Xe_018419
OG0000009	Nematostella_vectensis_NV2t001391003.1 NV2t001391003.1, Nematostella_vectensis_NV2t001391002.1 NV2t001391002.1, Nematostella_vectensis_NV2t001391001.1 NV2t001391001.1	Xenia_spec_Xe_003323_T1 Xe_003323_T1 Xe_003323
OG0000009	Nematostella_vectensis_NV2t003735001.1 NV2t003735001.1, Nematostella_vectensis_NV2t003736003.1 NV2t003736003.1, Nematostella_vectensis_NV2t003736001.1 NV2t003736001.1, Nematostella_vectensis_NV2t003736002.1 NV2t003736002.1	Xenia_spec_Xe_015833_T1 Xe_015833_T1 Xe_015833
OG0000010	Nematostella_vectensis_NV2t014905001.1 NV2t014905001.1, Nematostella_vectensis_NV2t014905002.1 NV2t014905002.1, Nematostella_vectensis_NV2t014905003.1 NV2t014905003.1	Xenia_spec_Xe_012929_T1 Xe_012929_T1 Xe_012929
OG0000010	Nematostella_vectensis_NV2t021353001.1 NV2t021353001.1, Nematostella_vectensis_NV2t021353003.1 NV2t021353003.1	Xenia_spec_Xe_014014_T1 Xe_014014_T1 Xe_014014
OG0000010	Nematostella_vectensis_NV2t025565001.1 NV2t025565001.1	Xenia_spec_Xe_004964_T1 Xe_004964_T1 Xe_004964
OG0000010	Nematostella_vectensis_NV2t006047001.1 NV2t006047001.1	Xenia_spec_Xe_002513_T1 Xe_002513_T1 Xe_002513
OG0000010	Nematostella_vectensis_NV2t014043001.1 NV2t014043001.1, Nematostella_vectensis_NV2t014046006.1 NV2t014046006.1, Nematostella_vectensis_NV2t014046005.1 NV2t014046005.1	Xenia_spec_Xe_018671_T1 Xe_018671_T1 Xe_018671
OG0000010	Nematostella_vectensis_NV2t014092001.1 NV2t014092001.1	Xenia_spec_Xe_012650_T1 Xe_012650_T1 Xe_012650
OG0000010	Nematostella_vectensis_NV2t014093001.1 NV2t014093001.1	Xenia_spec_Xe_012927_T1 Xe_012927_T1 Xe_012927
OG0000012	Nematostella_vectensis_NV2t006919001.1 NV2t006919001.1	Xenia_spec_Xe_015812_T1 Xe_015812_T1 Xe_015812, Xenia_spec_Xe_015811_T1 Xe_015811_T1 Xe_015811
OG0000013	Nematostella_vectensis_NV2t023407003.1 NV2t023407003.1, Nematostella_vectensis_NV2t023407002.1 NV2t023407002.1, Nematostella_vectensis_NV2t023407001.1 NV2t023407001.1	Xenia_spec_Xe_009620_T1 Xe_009620_T1 Xe_009620, Xenia_spec_Xe_002014_T1 Xe_002014_T1 Xe_002014, Xenia_spec_Xe_001883_T1 Xe_001883_T1 Xe_001883, Xenia_spec_Xe_003143_T1 Xe_003143_T1 Xe_003143
OG0000013	Nematostella_vectensis_NV2t022664005.1 NV2t022664005.1, Nematostella_vectensis_NV2t022664004.1 NV2t022664004.1, Nematostella_vectensis_NV2t022664001.1 NV2t022664001.1, Nematostella_vectensis_NV2t022664003.1 NV2t022664003.1, Nematostella_vectensis_NV2t022664006.1 NV2t022664006.1, Nematostella_vectensis_NV2t022664002.1 NV2t022664002.1	Xenia_spec_Xe_015020_T1 Xe_015020_T1 Xe_015020
OG0000013	Nematostella_vectensis_NV2t003609002.1 NV2t003609002.1, Nematostella_vectensis_NV2t003609001.1 NV2t003609001.1	Xenia_spec_Xe_016066_T1 Xe_016066_T1 Xe_016066, Xenia_spec_Xe_016066_T2 Xe_016066_T2 Xe_016066
OG0000013	Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1	Xenia_spec_Xe_014676_T1 Xe_014676_T1 Xe_014676
OG0000014	Nematostella_vectensis_NV2t022999001.1 NV2t022999001.1	Xenia_spec_Xe_002262_T1 Xe_002262_T1 Xe_002262
OG0000014	Nematostella_vectensis_NV2t020821001.1 NV2t020821001.1	Xenia_spec_Xe_011969_T1 Xe_011969_T1 Xe_011969
OG0000014	Nematostella_vectensis_NV2t000088001.1 NV2t000088001.1, Nematostella_vectensis_NV2t000087001.1 NV2t000087001.1	Xenia_spec_Xe_004267_T1 Xe_004267_T1 Xe_004267
OG0000014	Nematostella_vectensis_NV2t025184002.1 NV2t025184002.1, Nematostella_vectensis_NV2t025184001.1 NV2t025184001.1	Xenia_spec_Xe_007487_T1 Xe_007487_T1 Xe_007487
OG0000014	Nematostella_vectensis_NV2t022459002.1 NV2t022459002.1, Nematostella_vectensis_NV2t022459001.1 NV2t022459001.1, Nematostella_vectensis_NV2t021229001.1 NV2t021229001.1, Nematostella_vectensis_NV2t022465001.1 NV2t022465001.1, Nematostella_vectensis_NV2t021631001.1 NV2t021631001.1, Nematostella_vectensis_NV2t021630001.1 NV2t021630001.1, Nematostella_vectensis_NV2t021635001.1 NV2t021635001.1, Nematostella_vectensis_NV2t021636001.1 NV2t021636001.1, Nematostella_vectensis_NV2t021230001.1 NV2t021230001.1, Nematostella_vectensis_NV2t021638002.1 NV2t021638002.1, Nematostella_vectensis_NV2t021638001.1 NV2t021638001.1	Xenia_spec_Xe_014217_T1 Xe_014217_T1 Xe_014217
OG0000014	Nematostella_vectensis_NV2t001124001.1 NV2t001124001.1, Nematostella_vectensis_NV2t001120001.1 NV2t001120001.1, Nematostella_vectensis_NV2t001123004.1 NV2t001123004.1, Nematostella_vectensis_NV2t001123002.1 NV2t001123002.1, Nematostella_vectensis_NV2t001123005.1 NV2t001123005.1, Nematostella_vectensis_NV2t001123003.1 NV2t001123003.1	Xenia_spec_Xe_002644_T1 Xe_002644_T1 Xe_002644
OG0000014	Nematostella_vectensis_NV2t009914001.1 NV2t009914001.1	Xenia_spec_Xe_008099_T1 Xe_008099_T1 Xe_008099, Xenia_spec_Xe_007055_T1 Xe_007055_T1 Xe_007055
