Orthogroup	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000004	Mnemiopsis_leidyi_ML077636a ML077636a, Mnemiopsis_leidyi_ML270522a ML270522a	Morbakka_virulenta_scaffold55.g36.t1 scaffold55.g36.t1
OG0000005	Mnemiopsis_leidyi_ML073034a ML073034a	Morbakka_virulenta_scaffold127.g48.t1 scaffold127.g48.t1, Morbakka_virulenta_scaffold127.g49.t1 scaffold127.g49.t1
OG0000005	Mnemiopsis_leidyi_ML104615a ML104615a, Mnemiopsis_leidyi_ML104616a ML104616a, Mnemiopsis_leidyi_ML00083a ML00083a	Morbakka_virulenta_scaffold177.g27.t1 scaffold177.g27.t1
OG0000006	Mnemiopsis_leidyi_ML085031a ML085031a	Morbakka_virulenta_scaffold315.g11.t2 scaffold315.g11.t2
OG0000009	Mnemiopsis_leidyi_ML31401a ML31401a, Mnemiopsis_leidyi_ML007435a ML007435a	Morbakka_virulenta_scaffold585.g3.t1 scaffold585.g3.t1, Morbakka_virulenta_scaffold585.g3.t2 scaffold585.g3.t2
OG0000010	Mnemiopsis_leidyi_ML004921a ML004921a	Morbakka_virulenta_scaffold535.g12.t1 scaffold535.g12.t1, Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1, Morbakka_virulenta_scaffold149.g12.t1 scaffold149.g12.t1, Morbakka_virulenta_scaffold149.g12.t2 scaffold149.g12.t2
OG0000010	Mnemiopsis_leidyi_ML00905a ML00905a	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1, Morbakka_virulenta_scaffold16.g68.t2 scaffold16.g68.t2, Morbakka_virulenta_scaffold16.g68.t1 scaffold16.g68.t1, Morbakka_virulenta_scaffold386.g7.t1 scaffold386.g7.t1, Morbakka_virulenta_scaffold386.g7.t2 scaffold386.g7.t2, Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1, Morbakka_virulenta_scaffold61.g42.t2 scaffold61.g42.t2, Morbakka_virulenta_scaffold40.g13.t1 scaffold40.g13.t1
OG0000012	Mnemiopsis_leidyi_ML31161a ML31161a, Mnemiopsis_leidyi_ML03227a ML03227a, Mnemiopsis_leidyi_ML231816a ML231816a	Morbakka_virulenta_scaffold150.g44.t1 scaffold150.g44.t1
OG0000012	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a, Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a, Mnemiopsis_leidyi_ML41863a ML41863a	Morbakka_virulenta_scaffold155.g40.t1 scaffold155.g40.t1, Morbakka_virulenta_scaffold155.g40.t2 scaffold155.g40.t2
OG0000012	Mnemiopsis_leidyi_ML189317a ML189317a, Mnemiopsis_leidyi_ML00495a ML00495a	Morbakka_virulenta_scaffold150.g43.t1 scaffold150.g43.t1, Morbakka_virulenta_scaffold307.g17.t1 scaffold307.g17.t1
OG0000012	Mnemiopsis_leidyi_ML020019a ML020019a	Morbakka_virulenta_scaffold96.g15.t1 scaffold96.g15.t1
OG0000013	Mnemiopsis_leidyi_ML101013a ML101013a	Morbakka_virulenta_scaffold120.g22.t1 scaffold120.g22.t1
OG0000013	Mnemiopsis_leidyi_ML06021a ML06021a	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1
OG0000013	Mnemiopsis_leidyi_ML07528a ML07528a	Morbakka_virulenta_scaffold5.g35.t1 scaffold5.g35.t1
OG0000015	Mnemiopsis_leidyi_ML25991a ML25991a	Morbakka_virulenta_scaffold147.g49.t1 scaffold147.g49.t1, Morbakka_virulenta_scaffold147.g50.t1 scaffold147.g50.t1, Morbakka_virulenta_scaffold147.g50.t2 scaffold147.g50.t2
OG0000015	Mnemiopsis_leidyi_ML17012a ML17012a	Morbakka_virulenta_scaffold468.g7.t1 scaffold468.g7.t1, Morbakka_virulenta_scaffold276.g24.t3 scaffold276.g24.t3, Morbakka_virulenta_scaffold276.g24.t4 scaffold276.g24.t4, Morbakka_virulenta_scaffold276.g24.t1 scaffold276.g24.t1, Morbakka_virulenta_scaffold276.g24.t2 scaffold276.g24.t2, Morbakka_virulenta_scaffold13.g67.t1 scaffold13.g67.t1, Morbakka_virulenta_scaffold68.g26.t1 scaffold68.g26.t1, Morbakka_virulenta_scaffold68.g27.t1 scaffold68.g27.t1, Morbakka_virulenta_scaffold13.g65.t2 scaffold13.g65.t2, Morbakka_virulenta_scaffold13.g65.t1 scaffold13.g65.t1, Morbakka_virulenta_scaffold70.g1.t1 scaffold70.g1.t1
OG0000016	Mnemiopsis_leidyi_ML282519a ML282519a	Morbakka_virulenta_scaffold413.g13.t1 scaffold413.g13.t1
OG0000016	Mnemiopsis_leidyi_ML22971a ML22971a	Morbakka_virulenta_scaffold26.g50.t1 scaffold26.g50.t1, Morbakka_virulenta_scaffold4.g151.t2 scaffold4.g151.t2, Morbakka_virulenta_scaffold4.g151.t1 scaffold4.g151.t1
OG0000017	Mnemiopsis_leidyi_ML023111a ML023111a, Mnemiopsis_leidyi_ML200228a ML200228a, Mnemiopsis_leidyi_ML200229a ML200229a	Morbakka_virulenta_scaffold66.g59.t1 scaffold66.g59.t1, Morbakka_virulenta_scaffold259.g30.t1 scaffold259.g30.t1, Morbakka_virulenta_scaffold259.g31.t1 scaffold259.g31.t1, Morbakka_virulenta_scaffold237.g10.t1 scaffold237.g10.t1
OG0000018	Mnemiopsis_leidyi_ML044129a ML044129a	Morbakka_virulenta_scaffold18.g35.t1 scaffold18.g35.t1, Morbakka_virulenta_scaffold18.g35.t2 scaffold18.g35.t2
OG0000019	Mnemiopsis_leidyi_ML35889a ML35889a	Morbakka_virulenta_scaffold47.g133.t1 scaffold47.g133.t1
OG0000019	Mnemiopsis_leidyi_ML218835a ML218835a	Morbakka_virulenta_scaffold157.g8.t1 scaffold157.g8.t1, Morbakka_virulenta_scaffold14.g2.t1 scaffold14.g2.t1, Morbakka_virulenta_scaffold14.g3.t1 scaffold14.g3.t1, Morbakka_virulenta_scaffold135.g49.t1 scaffold135.g49.t1, Morbakka_virulenta_scaffold7.g3.t1 scaffold7.g3.t1, Morbakka_virulenta_scaffold36.g28.t1 scaffold36.g28.t1
OG0000021	Mnemiopsis_leidyi_ML094333a ML094333a, Mnemiopsis_leidyi_ML03664a ML03664a, Mnemiopsis_leidyi_ML082718a ML082718a, Mnemiopsis_leidyi_ML02274a ML02274a	Morbakka_virulenta_scaffold377.g17.t1 scaffold377.g17.t1, Morbakka_virulenta_scaffold209.g39.t1 scaffold209.g39.t1
OG0000022	Mnemiopsis_leidyi_ML01536a ML01536a, Mnemiopsis_leidyi_ML00134a ML00134a, Mnemiopsis_leidyi_ML139112a ML139112a	Morbakka_virulenta_scaffold19.g106.t1 scaffold19.g106.t1, Morbakka_virulenta_scaffold487.g4.t1 scaffold487.g4.t1
OG0000022	Mnemiopsis_leidyi_ML148937a ML148937a, Mnemiopsis_leidyi_ML08207a ML08207a, Mnemiopsis_leidyi_ML03242a ML03242a	Morbakka_virulenta_scaffold487.g6.t1 scaffold487.g6.t1
OG0000023	Mnemiopsis_leidyi_ML069122a ML069122a, Mnemiopsis_leidyi_ML05372a ML05372a	Morbakka_virulenta_scaffold2.g133.t1 scaffold2.g133.t1
OG0000024	Mnemiopsis_leidyi_ML327428a ML327428a, Mnemiopsis_leidyi_ML37461a ML37461a	Morbakka_virulenta_scaffold68.g10.t1 scaffold68.g10.t1, Morbakka_virulenta_scaffold7.g148.t1 scaffold7.g148.t1, Morbakka_virulenta_scaffold37.g25.t4 scaffold37.g25.t4, Morbakka_virulenta_scaffold37.g25.t2 scaffold37.g25.t2, Morbakka_virulenta_scaffold37.g25.t3 scaffold37.g25.t3, Morbakka_virulenta_scaffold37.g25.t1 scaffold37.g25.t1, Morbakka_virulenta_scaffold510.g3.t1 scaffold510.g3.t1
OG0000028	Mnemiopsis_leidyi_ML18175a ML18175a, Mnemiopsis_leidyi_ML25069a ML25069a, Mnemiopsis_leidyi_ML034334a ML034334a, Mnemiopsis_leidyi_ML18198a ML18198a, Mnemiopsis_leidyi_ML034335a ML034335a, Mnemiopsis_leidyi_ML034336a ML034336a, Mnemiopsis_leidyi_ML18197a ML18197a, Mnemiopsis_leidyi_ML034337a ML034337a, Mnemiopsis_leidyi_ML16441a ML16441a, Mnemiopsis_leidyi_ML17502a ML17502a, Mnemiopsis_leidyi_ML17501a ML17501a, Mnemiopsis_leidyi_ML17504a ML17504a, Mnemiopsis_leidyi_ML17503a ML17503a, Mnemiopsis_leidyi_ML047918a ML047918a	Morbakka_virulenta_scaffold9.g60.t5 scaffold9.g60.t5, Morbakka_virulenta_scaffold9.g60.t1 scaffold9.g60.t1, Morbakka_virulenta_scaffold9.g60.t4 scaffold9.g60.t4, Morbakka_virulenta_scaffold9.g60.t3 scaffold9.g60.t3, Morbakka_virulenta_scaffold9.g60.t2 scaffold9.g60.t2
OG0000030	Mnemiopsis_leidyi_ML029519a ML029519a, Mnemiopsis_leidyi_ML306123a ML306123a, Mnemiopsis_leidyi_ML010117a ML010117a, Mnemiopsis_leidyi_ML17408a ML17408a, Mnemiopsis_leidyi_ML17409a ML17409a	Morbakka_virulenta_scaffold273.g11.t2 scaffold273.g11.t2, Morbakka_virulenta_scaffold273.g11.t1 scaffold273.g11.t1
OG0000030	Mnemiopsis_leidyi_ML03054a ML03054a	Morbakka_virulenta_scaffold233.g2.t1 scaffold233.g2.t1
OG0000034	Mnemiopsis_leidyi_ML258254a ML258254a	Morbakka_virulenta_scaffold45.g31.t2 scaffold45.g31.t2, Morbakka_virulenta_scaffold45.g31.t1 scaffold45.g31.t1
OG0000034	Mnemiopsis_leidyi_ML04261a ML04261a	Morbakka_virulenta_scaffold1.g337.t2 scaffold1.g337.t2, Morbakka_virulenta_scaffold1.g337.t3 scaffold1.g337.t3, Morbakka_virulenta_scaffold1.g337.t1 scaffold1.g337.t1
OG0000036	Mnemiopsis_leidyi_ML11227a ML11227a	Morbakka_virulenta_scaffold236.g32.t2 scaffold236.g32.t2, Morbakka_virulenta_scaffold236.g32.t1 scaffold236.g32.t1, Morbakka_virulenta_scaffold50.g85.t1 scaffold50.g85.t1, Morbakka_virulenta_scaffold98.g20.t3 scaffold98.g20.t3, Morbakka_virulenta_scaffold98.g20.t2 scaffold98.g20.t2, Morbakka_virulenta_scaffold98.g20.t4 scaffold98.g20.t4, Morbakka_virulenta_scaffold98.g20.t1 scaffold98.g20.t1, Morbakka_virulenta_scaffold98.g26.t1 scaffold98.g26.t1, Morbakka_virulenta_scaffold2.g64.t1 scaffold2.g64.t1, Morbakka_virulenta_scaffold98.g33.t1 scaffold98.g33.t1, Morbakka_virulenta_scaffold98.g32.t1 scaffold98.g32.t1
OG0000041	Mnemiopsis_leidyi_ML21898a ML21898a	Morbakka_virulenta_scaffold235.g13.t1 scaffold235.g13.t1, Morbakka_virulenta_scaffold235.g9.t1 scaffold235.g9.t1, Morbakka_virulenta_scaffold71.g73.t1 scaffold71.g73.t1, Morbakka_virulenta_scaffold92.g7.t1 scaffold92.g7.t1
OG0000042	Mnemiopsis_leidyi_ML044119a ML044119a	Morbakka_virulenta_scaffold130.g32.t2 scaffold130.g32.t2, Morbakka_virulenta_scaffold130.g32.t1 scaffold130.g32.t1, Morbakka_virulenta_scaffold45.g44.t1 scaffold45.g44.t1, Morbakka_virulenta_scaffold130.g29.t1 scaffold130.g29.t1, Morbakka_virulenta_scaffold263.g24.t1 scaffold263.g24.t1
OG0000044	Mnemiopsis_leidyi_ML03126a ML03126a, Mnemiopsis_leidyi_ML25826a ML25826a	Morbakka_virulenta_scaffold291.g8.t1 scaffold291.g8.t1, Morbakka_virulenta_scaffold99.g38.t1 scaffold99.g38.t1, Morbakka_virulenta_scaffold90.g31.t1 scaffold90.g31.t1, Morbakka_virulenta_scaffold90.g28.t1 scaffold90.g28.t1, Morbakka_virulenta_scaffold433.g1.t1 scaffold433.g1.t1
OG0000045	Mnemiopsis_leidyi_ML097515a ML097515a	Morbakka_virulenta_scaffold63.g34.t1 scaffold63.g34.t1, Morbakka_virulenta_scaffold63.g34.t2 scaffold63.g34.t2, Morbakka_virulenta_scaffold63.g33.t1 scaffold63.g33.t1, Morbakka_virulenta_scaffold268.g14.t1 scaffold268.g14.t1, Morbakka_virulenta_scaffold15.g22.t1 scaffold15.g22.t1
OG0000049	Mnemiopsis_leidyi_ML21869a ML21869a	Morbakka_virulenta_scaffold3390.g1.t1 scaffold3390.g1.t1
OG0000049	Mnemiopsis_leidyi_ML015721a ML015721a, Mnemiopsis_leidyi_ML083035a ML083035a	Morbakka_virulenta_scaffold314.g7.t1 scaffold314.g7.t1
OG0000053	Mnemiopsis_leidyi_ML11053a ML11053a	Morbakka_virulenta_scaffold155.g5.t1 scaffold155.g5.t1
OG0000054	Mnemiopsis_leidyi_ML095316a ML095316a	Morbakka_virulenta_scaffold47.g48.t2 scaffold47.g48.t2, Morbakka_virulenta_scaffold47.g48.t1 scaffold47.g48.t1
OG0000058	Mnemiopsis_leidyi_ML15451a ML15451a, Mnemiopsis_leidyi_ML048618a ML048618a, Mnemiopsis_leidyi_ML048623a ML048623a	Morbakka_virulenta_scaffold244.g20.t1 scaffold244.g20.t1
OG0000061	Mnemiopsis_leidyi_ML07526a ML07526a, Mnemiopsis_leidyi_ML07523a ML07523a	Morbakka_virulenta_scaffold265.g6.t1 scaffold265.g6.t1, Morbakka_virulenta_scaffold92.g46.t1 scaffold92.g46.t1
OG0000061	Mnemiopsis_leidyi_ML072819a ML072819a	Morbakka_virulenta_scaffold73.g24.t1 scaffold73.g24.t1
OG0000062	Mnemiopsis_leidyi_ML085714a ML085714a	Morbakka_virulenta_scaffold194.g47.t1 scaffold194.g47.t1, Morbakka_virulenta_scaffold601.g3.t1 scaffold601.g3.t1, Morbakka_virulenta_scaffold143.g43.t1 scaffold143.g43.t1, Morbakka_virulenta_scaffold143.g41.t1 scaffold143.g41.t1
OG0000065	Mnemiopsis_leidyi_ML14244a ML14244a	Morbakka_virulenta_scaffold1.g340.t1 scaffold1.g340.t1
OG0000070	Mnemiopsis_leidyi_ML02361a ML02361a	Morbakka_virulenta_scaffold64.g73.t1 scaffold64.g73.t1
OG0000087	Mnemiopsis_leidyi_ML004920a ML004920a	Morbakka_virulenta_scaffold306.g6.t1 scaffold306.g6.t1, Morbakka_virulenta_scaffold306.g6.t3 scaffold306.g6.t3
OG0000093	Mnemiopsis_leidyi_ML093044a ML093044a	Morbakka_virulenta_scaffold54.g15.t1 scaffold54.g15.t1, Morbakka_virulenta_scaffold90.g61.t1 scaffold90.g61.t1
OG0000094	Mnemiopsis_leidyi_ML09081a ML09081a	Morbakka_virulenta_scaffold354.g9.t4 scaffold354.g9.t4, Morbakka_virulenta_scaffold354.g9.t1 scaffold354.g9.t1, Morbakka_virulenta_scaffold354.g9.t3 scaffold354.g9.t3, Morbakka_virulenta_scaffold354.g9.t2 scaffold354.g9.t2
OG0000103	Mnemiopsis_leidyi_ML14703a ML14703a	Morbakka_virulenta_scaffold34.g37.t1 scaffold34.g37.t1, Morbakka_virulenta_scaffold34.g37.t2 scaffold34.g37.t2, Morbakka_virulenta_scaffold34.g37.t3 scaffold34.g37.t3
OG0000104	Mnemiopsis_leidyi_ML04798a ML04798a	Morbakka_virulenta_scaffold626.g1.t1 scaffold626.g1.t1
OG0000106	Mnemiopsis_leidyi_ML10439a ML10439a, Mnemiopsis_leidyi_ML104310a ML104310a	Morbakka_virulenta_scaffold239.g8.t1 scaffold239.g8.t1
OG0000113	Mnemiopsis_leidyi_ML086612a ML086612a	Morbakka_virulenta_scaffold13.g58.t1 scaffold13.g58.t1
OG0000119	Mnemiopsis_leidyi_ML18521a ML18521a, Mnemiopsis_leidyi_ML11002a ML11002a	Morbakka_virulenta_scaffold295.g10.t1 scaffold295.g10.t1
OG0000133	Mnemiopsis_leidyi_ML018015a ML018015a	Morbakka_virulenta_scaffold115.g46.t4 scaffold115.g46.t4, Morbakka_virulenta_scaffold115.g46.t3 scaffold115.g46.t3, Morbakka_virulenta_scaffold115.g46.t2 scaffold115.g46.t2
OG0000134	Mnemiopsis_leidyi_ML126214a ML126214a	Morbakka_virulenta_scaffold32.g95.t1 scaffold32.g95.t1
OG0000152	Mnemiopsis_leidyi_ML12828a ML12828a, Mnemiopsis_leidyi_ML12827a ML12827a	Morbakka_virulenta_scaffold15.g92.t1 scaffold15.g92.t1, Morbakka_virulenta_scaffold15.g92.t2 scaffold15.g92.t2
OG0000155	Mnemiopsis_leidyi_ML03547a ML03547a, Mnemiopsis_leidyi_ML068119a ML068119a	Morbakka_virulenta_scaffold44.g8.t1 scaffold44.g8.t1
OG0000156	Mnemiopsis_leidyi_ML000712a ML000712a	Morbakka_virulenta_scaffold58.g7.t1 scaffold58.g7.t1
OG0000157	Mnemiopsis_leidyi_ML01552a ML01552a	Morbakka_virulenta_scaffold10.g13.t1 scaffold10.g13.t1
OG0000159	Mnemiopsis_leidyi_ML074238a ML074238a	Morbakka_virulenta_scaffold354.g7.t1 scaffold354.g7.t1, Morbakka_virulenta_scaffold145.g18.t1 scaffold145.g18.t1
OG0000165	Mnemiopsis_leidyi_ML40868a ML40868a	Morbakka_virulenta_scaffold605.g6.t1 scaffold605.g6.t1
OG0000171	Mnemiopsis_leidyi_ML104332a ML104332a	Morbakka_virulenta_scaffold543.g1.t1 scaffold543.g1.t1, Morbakka_virulenta_scaffold543.g1.t2 scaffold543.g1.t2
OG0000177	Mnemiopsis_leidyi_ML020010a ML020010a, Mnemiopsis_leidyi_ML07729a ML07729a	Morbakka_virulenta_scaffold10.g110.t1 scaffold10.g110.t1
OG0000179	Mnemiopsis_leidyi_ML15096a ML15096a	Morbakka_virulenta_scaffold68.g43.t1 scaffold68.g43.t1, Morbakka_virulenta_scaffold177.g25.t1 scaffold177.g25.t1, Morbakka_virulenta_scaffold296.g19.t1 scaffold296.g19.t1
OG0000193	Mnemiopsis_leidyi_ML03269a ML03269a	Morbakka_virulenta_scaffold139.g21.t1 scaffold139.g21.t1
OG0000194	Mnemiopsis_leidyi_ML16565a ML16565a	Morbakka_virulenta_scaffold3.g18.t1 scaffold3.g18.t1
OG0000195	Mnemiopsis_leidyi_ML173714a ML173714a	Morbakka_virulenta_scaffold255.g23.t1 scaffold255.g23.t1
OG0000199	Mnemiopsis_leidyi_ML46359a ML46359a	Morbakka_virulenta_scaffold99.g3.t1 scaffold99.g3.t1
OG0000202	Mnemiopsis_leidyi_ML161335a ML161335a	Morbakka_virulenta_scaffold12.g127.t1 scaffold12.g127.t1
OG0000204	Mnemiopsis_leidyi_ML14272a ML14272a	Morbakka_virulenta_scaffold496.g8.t1 scaffold496.g8.t1, Morbakka_virulenta_scaffold496.g8.t2 scaffold496.g8.t2
OG0000212	Mnemiopsis_leidyi_ML097529a ML097529a	Morbakka_virulenta_scaffold162.g11.t1 scaffold162.g11.t1
OG0000214	Mnemiopsis_leidyi_ML43434a ML43434a	Morbakka_virulenta_scaffold1242.g1.t1 scaffold1242.g1.t1
OG0000229	Mnemiopsis_leidyi_ML019415a ML019415a	Morbakka_virulenta_scaffold531.g6.t1 scaffold531.g6.t1, Morbakka_virulenta_scaffold531.g6.t2 scaffold531.g6.t2
OG0000237	Mnemiopsis_leidyi_ML008016a ML008016a	Morbakka_virulenta_scaffold1.g338.t2 scaffold1.g338.t2, Morbakka_virulenta_scaffold1.g338.t1 scaffold1.g338.t1
OG0000253	Mnemiopsis_leidyi_ML015627a ML015627a	Morbakka_virulenta_scaffold154.g21.t1 scaffold154.g21.t1
OG0000331	Mnemiopsis_leidyi_ML017312a ML017312a	Morbakka_virulenta_scaffold47.g171.t5 scaffold47.g171.t5, Morbakka_virulenta_scaffold47.g171.t3 scaffold47.g171.t3, Morbakka_virulenta_scaffold47.g171.t1 scaffold47.g171.t1, Morbakka_virulenta_scaffold47.g171.t4 scaffold47.g171.t4, Morbakka_virulenta_scaffold47.g171.t2 scaffold47.g171.t2
OG0000378	Mnemiopsis_leidyi_ML002629a ML002629a	Morbakka_virulenta_scaffold263.g26.t1 scaffold263.g26.t1, Morbakka_virulenta_scaffold160.g1.t1 scaffold160.g1.t1, Morbakka_virulenta_scaffold245.g18.t2 scaffold245.g18.t2, Morbakka_virulenta_scaffold245.g18.t1 scaffold245.g18.t1, Morbakka_virulenta_scaffold82.g32.t1 scaffold82.g32.t1
OG0000542	Mnemiopsis_leidyi_ML15155a ML15155a	Morbakka_virulenta_scaffold309.g12.t1 scaffold309.g12.t1
