Orthogroup	Porifera_Demospongiae_Ephydatia_muelleri	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000002	Ephydatia_muelleri_Em0012g778a Em0012g778a, Ephydatia_muelleri_Em0012g771a Em0012g771a	Clytia_hemispherica_TCONS_00054324-protein TCONS_00054324-protein
OG0000002	Ephydatia_muelleri_Em0018g930a Em0018g930a, Ephydatia_muelleri_Em0011g758a Em0011g758a, Ephydatia_muelleri_Em0018g931a Em0018g931a	Clytia_hemispherica_TCONS_00044266-protein TCONS_00044266-protein, Clytia_hemispherica_TCONS_00050522-protein TCONS_00050522-protein, Clytia_hemispherica_TCONS_00058980-protein TCONS_00058980-protein, Clytia_hemispherica_TCONS_00040179-protein TCONS_00040179-protein, Clytia_hemispherica_TCONS_00022855-protein TCONS_00022855-protein, Clytia_hemispherica_TCONS_00064167-protein TCONS_00064167-protein, Clytia_hemispherica_TCONS_00050254-protein TCONS_00050254-protein, Clytia_hemispherica_TCONS_00006687-protein TCONS_00006687-protein, Clytia_hemispherica_TCONS_00010430-protein TCONS_00010430-protein, Clytia_hemispherica_TCONS_00010066-protein TCONS_00010066-protein, Clytia_hemispherica_TCONS_00010069-protein TCONS_00010069-protein, Clytia_hemispherica_TCONS_00047795-protein TCONS_00047795-protein, Clytia_hemispherica_TCONS_00001402-protein TCONS_00001402-protein, Clytia_hemispherica_TCONS_00050865-protein TCONS_00050865-protein
OG0000004	Ephydatia_muelleri_Em0007g757a Em0007g757a, Ephydatia_muelleri_Em0007g755a Em0007g755a	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein
OG0000004	Ephydatia_muelleri_Em0022g301a Em0022g301a	Clytia_hemispherica_TCONS_00029812-protein TCONS_00029812-protein, Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein
OG0000005	Ephydatia_muelleri_Em0582g1a Em0582g1a, Ephydatia_muelleri_Em0016g939a Em0016g939a, Ephydatia_muelleri_Em0016g925a Em0016g925a, Ephydatia_muelleri_Em0582g3a Em0582g3a	Clytia_hemispherica_TCONS_00050320-protein TCONS_00050320-protein
OG0000006	Ephydatia_muelleri_Em0008g1090a Em0008g1090a	Clytia_hemispherica_TCONS_00042167-protein TCONS_00042167-protein
OG0000007	Ephydatia_muelleri_Em0001g1674a Em0001g1674a, Ephydatia_muelleri_Em0001g1649a Em0001g1649a, Ephydatia_muelleri_Em0001g1634a Em0001g1634a, Ephydatia_muelleri_Em0021g538a Em0021g538a, Ephydatia_muelleri_Em0021g527a Em0021g527a, Ephydatia_muelleri_Em0007g968a Em0007g968a	Clytia_hemispherica_TCONS_00000042-protein TCONS_00000042-protein
OG0000007	Ephydatia_muelleri_Em0010g757a Em0010g757a, Ephydatia_muelleri_Em0010g762a Em0010g762a, Ephydatia_muelleri_Em0382g2a Em0382g2a, Ephydatia_muelleri_Em0462g1a Em0462g1a, Ephydatia_muelleri_Em0010g756a Em0010g756a, Ephydatia_muelleri_Em0418g1a Em0418g1a, Ephydatia_muelleri_Em0002g1565a Em0002g1565a, Ephydatia_muelleri_Em0002g1561a Em0002g1561a, Ephydatia_muelleri_Em0005g97a Em0005g97a, Ephydatia_muelleri_Em0010g209a Em0010g209a, Ephydatia_muelleri_Em0010g239a Em0010g239a, Ephydatia_muelleri_Em0001g3643a Em0001g3643a	Clytia_hemispherica_TCONS_00012963-protein TCONS_00012963-protein
OG0000008	Ephydatia_muelleri_Em0022g120a Em0022g120a	Clytia_hemispherica_TCONS_00017174-protein TCONS_00017174-protein
OG0000008	Ephydatia_muelleri_Em0001g1117a Em0001g1117a, Ephydatia_muelleri_Em0001g1128a Em0001g1128a, Ephydatia_muelleri_Em0011g1191a Em0011g1191a	Clytia_hemispherica_TCONS_00060669-protein TCONS_00060669-protein
OG0000009	Ephydatia_muelleri_Em0081g2a Em0081g2a, Ephydatia_muelleri_Em0081g7a Em0081g7a, Ephydatia_muelleri_Em0021g426a Em0021g426a, Ephydatia_muelleri_Em0019g554a Em0019g554a, Ephydatia_muelleri_Em0006g967a Em0006g967a	Clytia_hemispherica_TCONS_00004070-protein TCONS_00004070-protein
OG0000010	Ephydatia_muelleri_Em0011g1192a Em0011g1192a	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein
OG0000013	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein
OG0000014	Ephydatia_muelleri_Em0016g1107a Em0016g1107a	Clytia_hemispherica_TCONS_00034923-protein TCONS_00034923-protein, Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein
OG0000015	Ephydatia_muelleri_Em0019g419a Em0019g419a, Ephydatia_muelleri_Em0019g791a Em0019g791a	Clytia_hemispherica_TCONS_00007096-protein TCONS_00007096-protein, Clytia_hemispherica_TCONS_00020689-protein TCONS_00020689-protein
OG0000018	Ephydatia_muelleri_Em0011g282a Em0011g282a, Ephydatia_muelleri_Em0011g292a Em0011g292a, Ephydatia_muelleri_Em0011g291a Em0011g291a, Ephydatia_muelleri_Em0011g283a Em0011g283a	Clytia_hemispherica_TCONS_00019092-protein TCONS_00019092-protein, Clytia_hemispherica_TCONS_00038451-protein TCONS_00038451-protein, Clytia_hemispherica_TCONS_00053338-protein TCONS_00053338-protein, Clytia_hemispherica_TCONS_00066533-protein TCONS_00066533-protein
OG0000019	Ephydatia_muelleri_Em0015g47a Em0015g47a, Ephydatia_muelleri_Em0002g1863a Em0002g1863a, Ephydatia_muelleri_Em0016g133a Em0016g133a, Ephydatia_muelleri_Em0016g138a Em0016g138a	Clytia_hemispherica_TCONS_00061469-protein TCONS_00061469-protein
OG0000020	Ephydatia_muelleri_Em0016g1041a Em0016g1041a, Ephydatia_muelleri_Em0007g845a Em0007g845a	Clytia_hemispherica_TCONS_00072191-protein TCONS_00072191-protein
OG0000021	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein
OG0000022	Ephydatia_muelleri_Em0011g323a Em0011g323a	Clytia_hemispherica_TCONS_00007569-protein TCONS_00007569-protein
OG0000022	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein
OG0000024	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a	Clytia_hemispherica_TCONS_00000826-protein TCONS_00000826-protein, Clytia_hemispherica_TCONS_00051917-protein TCONS_00051917-protein, Clytia_hemispherica_TCONS_00016849-protein TCONS_00016849-protein, Clytia_hemispherica_TCONS_00005637-protein TCONS_00005637-protein, Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein, Clytia_hemispherica_TCONS_00055942-protein TCONS_00055942-protein
OG0000030	Ephydatia_muelleri_Em0005g1474a Em0005g1474a	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein
OG0000032	Ephydatia_muelleri_Em0001g2640a Em0001g2640a, Ephydatia_muelleri_Em0001g2642a Em0001g2642a, Ephydatia_muelleri_Em0001g2639a Em0001g2639a, Ephydatia_muelleri_Em0001g2643a Em0001g2643a	Clytia_hemispherica_TCONS_00034838-protein TCONS_00034838-protein, Clytia_hemispherica_TCONS_00051558-protein TCONS_00051558-protein
OG0000034	Ephydatia_muelleri_Em0013g44a Em0013g44a	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein
OG0000039	Ephydatia_muelleri_Em0001g503a Em0001g503a, Ephydatia_muelleri_Em0001g539a Em0001g539a, Ephydatia_muelleri_Em0001g504a Em0001g504a	Clytia_hemispherica_TCONS_00014774-protein TCONS_00014774-protein
OG0000040	Ephydatia_muelleri_Em1222g1a Em1222g1a	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein, Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein
OG0000044	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein
OG0000045	Ephydatia_muelleri_Em0009g1117a Em0009g1117a	Clytia_hemispherica_TCONS_00036447-protein TCONS_00036447-protein, Clytia_hemispherica_TCONS_00064868-protein TCONS_00064868-protein, Clytia_hemispherica_TCONS_00064836-protein TCONS_00064836-protein, Clytia_hemispherica_TCONS_00043175-protein TCONS_00043175-protein
OG0000049	Ephydatia_muelleri_Em0014g267a Em0014g267a	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein
OG0000051	Ephydatia_muelleri_Em0024g143a Em0024g143a, Ephydatia_muelleri_Em0024g142a Em0024g142a	Clytia_hemispherica_TCONS_00024466-protein TCONS_00024466-protein, Clytia_hemispherica_TCONS_00037794-protein TCONS_00037794-protein
OG0000054	Ephydatia_muelleri_Em0001g3101a Em0001g3101a	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein
OG0000054	Ephydatia_muelleri_Em0005g1163a Em0005g1163a	Clytia_hemispherica_TCONS_00036167-protein TCONS_00036167-protein
OG0000061	Ephydatia_muelleri_Em0020g592a Em0020g592a, Ephydatia_muelleri_Em0020g589a Em0020g589a, Ephydatia_muelleri_Em0020g577a Em0020g577a, Ephydatia_muelleri_Em0020g575a Em0020g575a, Ephydatia_muelleri_Em0020g574a Em0020g574a, Ephydatia_muelleri_Em0020g591a Em0020g591a, Ephydatia_muelleri_Em0020g594a Em0020g594a, Ephydatia_muelleri_Em0020g605a Em0020g605a	Clytia_hemispherica_TCONS_00002099-protein TCONS_00002099-protein, Clytia_hemispherica_TCONS_00005277-protein TCONS_00005277-protein, Clytia_hemispherica_TCONS_00040450-protein TCONS_00040450-protein, Clytia_hemispherica_TCONS_00005276-protein TCONS_00005276-protein
OG0000081	Ephydatia_muelleri_Em0001g262a Em0001g262a	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein, Clytia_hemispherica_TCONS_00022711-protein TCONS_00022711-protein, Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein
OG0000103	Ephydatia_muelleri_Em0009g1125a Em0009g1125a	Clytia_hemispherica_TCONS_00012064-protein TCONS_00012064-protein
OG0000106	Ephydatia_muelleri_Em0001g2050a Em0001g2050a	Clytia_hemispherica_TCONS_00050547-protein TCONS_00050547-protein, Clytia_hemispherica_TCONS_00050544-protein TCONS_00050544-protein, Clytia_hemispherica_TCONS_00034674-protein TCONS_00034674-protein, Clytia_hemispherica_TCONS_00024961-protein TCONS_00024961-protein, Clytia_hemispherica_TCONS_00037516-protein TCONS_00037516-protein, Clytia_hemispherica_TCONS_00015172-protein TCONS_00015172-protein
OG0000111	Ephydatia_muelleri_Em0020g1027a Em0020g1027a	Clytia_hemispherica_TCONS_00064231-protein TCONS_00064231-protein
OG0000113	Ephydatia_muelleri_Em0021g76a Em0021g76a	Clytia_hemispherica_TCONS_00049955-protein TCONS_00049955-protein
OG0000119	Ephydatia_muelleri_Em0011g673a Em0011g673a	Clytia_hemispherica_TCONS_00020107-protein TCONS_00020107-protein
OG0000121	Ephydatia_muelleri_Em0010g817a Em0010g817a, Ephydatia_muelleri_Em0021g539a Em0021g539a	Clytia_hemispherica_TCONS_00000040-protein TCONS_00000040-protein
OG0000128	Ephydatia_muelleri_Em0001g1618a Em0001g1618a, Ephydatia_muelleri_Em0001g1614a Em0001g1614a, Ephydatia_muelleri_Em0001g1481a Em0001g1481a, Ephydatia_muelleri_Em0001g926a Em0001g926a, Ephydatia_muelleri_Em0001g1023a Em0001g1023a, Ephydatia_muelleri_Em0001g1022a Em0001g1022a, Ephydatia_muelleri_Em0001g1021a Em0001g1021a, Ephydatia_muelleri_Em0001g1001a Em0001g1001a, Ephydatia_muelleri_Em0022g528a Em0022g528a, Ephydatia_muelleri_Em1136g1a Em1136g1a, Ephydatia_muelleri_Em0001g930a Em0001g930a	Clytia_hemispherica_TCONS_00031500-protein TCONS_00031500-protein, Clytia_hemispherica_TCONS_00019986-protein TCONS_00019986-protein
OG0000131	Ephydatia_muelleri_Em0008g193a Em0008g193a, Ephydatia_muelleri_Em0008g173a Em0008g173a, Ephydatia_muelleri_Em0008g203a Em0008g203a, Ephydatia_muelleri_Em0008g167a Em0008g167a, Ephydatia_muelleri_Em0008g172a Em0008g172a, Ephydatia_muelleri_Em0008g335a Em0008g335a, Ephydatia_muelleri_Em0008g332a Em0008g332a, Ephydatia_muelleri_Em0008g324a Em0008g324a	Clytia_hemispherica_TCONS_00002425-protein TCONS_00002425-protein, Clytia_hemispherica_TCONS_00002495-protein TCONS_00002495-protein
OG0000133	Ephydatia_muelleri_Em0005g1588a Em0005g1588a	Clytia_hemispherica_TCONS_00000171-protein TCONS_00000171-protein
OG0000134	Ephydatia_muelleri_Em0016g534a Em0016g534a	Clytia_hemispherica_TCONS_00070544-protein TCONS_00070544-protein, Clytia_hemispherica_TCONS_00009201-protein TCONS_00009201-protein
OG0000146	Ephydatia_muelleri_Em0013g300a Em0013g300a, Ephydatia_muelleri_Em0013g294a Em0013g294a	Clytia_hemispherica_TCONS_00017109-protein TCONS_00017109-protein
OG0000147	Ephydatia_muelleri_Em0009g1005a Em0009g1005a, Ephydatia_muelleri_Em0009g1001a Em0009g1001a, Ephydatia_muelleri_Em0009g1011a Em0009g1011a	Clytia_hemispherica_TCONS_00015142-protein TCONS_00015142-protein
OG0000152	Ephydatia_muelleri_Em0017g45a Em0017g45a, Ephydatia_muelleri_Em0017g29a Em0017g29a	Clytia_hemispherica_TCONS_00060223-protein TCONS_00060223-protein
OG0000156	Ephydatia_muelleri_Em0017g31a Em0017g31a	Clytia_hemispherica_TCONS_00025665-protein TCONS_00025665-protein
OG0000158	Ephydatia_muelleri_Em0023g200a Em0023g200a	Clytia_hemispherica_TCONS_00064843-protein TCONS_00064843-protein
OG0000173	Ephydatia_muelleri_Em0008g220a Em0008g220a, Ephydatia_muelleri_Em0005g46a Em0005g46a, Ephydatia_muelleri_Em0005g21a Em0005g21a, Ephydatia_muelleri_Em0005g8a Em0005g8a, Ephydatia_muelleri_Em0005g14a Em0005g14a, Ephydatia_muelleri_Em0005g15a Em0005g15a, Ephydatia_muelleri_Em0005g10a Em0005g10a, Ephydatia_muelleri_Em0005g18a Em0005g18a, Ephydatia_muelleri_Em0005g48a Em0005g48a, Ephydatia_muelleri_Em0005g19a Em0005g19a, Ephydatia_muelleri_Em0005g16a Em0005g16a, Ephydatia_muelleri_Em0005g11a Em0005g11a, Ephydatia_muelleri_Em0005g9a Em0005g9a, Ephydatia_muelleri_Em0005g12a Em0005g12a, Ephydatia_muelleri_Em0005g17a Em0005g17a, Ephydatia_muelleri_Em0005g51a Em0005g51a, Ephydatia_muelleri_Em0005g59a Em0005g59a, Ephydatia_muelleri_Em0005g64a Em0005g64a	Clytia_hemispherica_TCONS_00037871-protein TCONS_00037871-protein
OG0000177	Ephydatia_muelleri_Em0008g1060a Em0008g1060a	Clytia_hemispherica_TCONS_00003500-protein TCONS_00003500-protein
OG0000178	Ephydatia_muelleri_Em0001g1073a Em0001g1073a, Ephydatia_muelleri_Em0001g1111a Em0001g1111a	Clytia_hemispherica_TCONS_00050084-protein TCONS_00050084-protein
OG0000182	Ephydatia_muelleri_Em0020g994a Em0020g994a, Ephydatia_muelleri_Em0714g1a Em0714g1a	Clytia_hemispherica_TCONS_00059231-protein TCONS_00059231-protein, Clytia_hemispherica_TCONS_00046759-protein TCONS_00046759-protein
OG0000187	Ephydatia_muelleri_Em0677g4a Em0677g4a, Ephydatia_muelleri_Em0679g4a Em0679g4a, Ephydatia_muelleri_Em0018g421a Em0018g421a	Clytia_hemispherica_TCONS_00003206-protein TCONS_00003206-protein
OG0000193	Ephydatia_muelleri_Em0008g372a Em0008g372a	Clytia_hemispherica_TCONS_00053692-protein TCONS_00053692-protein
OG0000194	Ephydatia_muelleri_Em0014g778a Em0014g778a, Ephydatia_muelleri_Em0014g767a Em0014g767a	Clytia_hemispherica_TCONS_00071632-protein TCONS_00071632-protein, Clytia_hemispherica_TCONS_00030436-protein TCONS_00030436-protein
OG0000195	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a	Clytia_hemispherica_TCONS_00066994-protein TCONS_00066994-protein
OG0000200	Ephydatia_muelleri_Em0022g403a Em0022g403a	Clytia_hemispherica_TCONS_00023146-protein TCONS_00023146-protein
OG0000204	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a	Clytia_hemispherica_TCONS_00063679-protein TCONS_00063679-protein
OG0000209	Ephydatia_muelleri_Em0021g593a Em0021g593a	Clytia_hemispherica_TCONS_00065263-protein TCONS_00065263-protein
OG0000230	Ephydatia_muelleri_Em0009g1283a Em0009g1283a	Clytia_hemispherica_TCONS_00034683-protein TCONS_00034683-protein
OG0000237	Ephydatia_muelleri_Em0021g631a Em0021g631a	Clytia_hemispherica_TCONS_00028314-protein TCONS_00028314-protein
OG0000253	Ephydatia_muelleri_Em0008g944a Em0008g944a	Clytia_hemispherica_TCONS_00003407-protein TCONS_00003407-protein
OG0000274	Ephydatia_muelleri_Em0008g1007a Em0008g1007a	Clytia_hemispherica_TCONS_00056724-protein TCONS_00056724-protein
OG0000282	Ephydatia_muelleri_Em0019g1040a Em0019g1040a	Clytia_hemispherica_TCONS_00000534-protein TCONS_00000534-protein
OG0000309	Ephydatia_muelleri_Em0009g1217a Em0009g1217a	Clytia_hemispherica_TCONS_00026216-protein TCONS_00026216-protein
OG0000314	Ephydatia_muelleri_Em0020g193a Em0020g193a	Clytia_hemispherica_TCONS_00070109-protein TCONS_00070109-protein
OG0000476	Ephydatia_muelleri_Em0099g3a Em0099g3a, Ephydatia_muelleri_Em0099g23a Em0099g23a, Ephydatia_muelleri_Em0429g7a Em0429g7a, Ephydatia_muelleri_Em0145g12a Em0145g12a	Clytia_hemispherica_TCONS_00053396-protein TCONS_00053396-protein
OG0000492	Ephydatia_muelleri_Em0011g453a Em0011g453a, Ephydatia_muelleri_Em0005g588a Em0005g588a	Clytia_hemispherica_TCONS_00072626-protein TCONS_00072626-protein, Clytia_hemispherica_TCONS_00042711-protein TCONS_00042711-protein
