Orthogroup	Porifera_Demospongiae_Ephydatia_muelleri	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000022	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a, Ephydatia_muelleri_Em0006g1280a Em0006g1280a, Ephydatia_muelleri_Em0006g1281a Em0006g1281a	Mnemiopsis_leidyi_ML148937a ML148937a, Mnemiopsis_leidyi_ML08207a ML08207a, Mnemiopsis_leidyi_ML03242a ML03242a
OG0000024	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a	Mnemiopsis_leidyi_ML327428a ML327428a, Mnemiopsis_leidyi_ML37461a ML37461a, Mnemiopsis_leidyi_ML03706a ML03706a, Mnemiopsis_leidyi_ML10106a ML10106a, Mnemiopsis_leidyi_ML01537a ML01537a, Mnemiopsis_leidyi_ML07116a ML07116a
OG0000028	Ephydatia_muelleri_Em0006g916a Em0006g916a	Mnemiopsis_leidyi_ML18175a ML18175a, Mnemiopsis_leidyi_ML25069a ML25069a, Mnemiopsis_leidyi_ML034334a ML034334a, Mnemiopsis_leidyi_ML18198a ML18198a, Mnemiopsis_leidyi_ML034335a ML034335a, Mnemiopsis_leidyi_ML034336a ML034336a, Mnemiopsis_leidyi_ML18197a ML18197a, Mnemiopsis_leidyi_ML034337a ML034337a, Mnemiopsis_leidyi_ML16441a ML16441a, Mnemiopsis_leidyi_ML17502a ML17502a, Mnemiopsis_leidyi_ML17501a ML17501a, Mnemiopsis_leidyi_ML17504a ML17504a, Mnemiopsis_leidyi_ML17503a ML17503a, Mnemiopsis_leidyi_ML047918a ML047918a
OG0000030	Ephydatia_muelleri_Em0005g1474a Em0005g1474a	Mnemiopsis_leidyi_ML029519a ML029519a, Mnemiopsis_leidyi_ML306123a ML306123a, Mnemiopsis_leidyi_ML010117a ML010117a, Mnemiopsis_leidyi_ML17408a ML17408a, Mnemiopsis_leidyi_ML17409a ML17409a
OG0000030	Ephydatia_muelleri_Em0010g847a Em0010g847a, Ephydatia_muelleri_Em0010g848a Em0010g848a	Mnemiopsis_leidyi_ML02305a ML02305a, Mnemiopsis_leidyi_ML021121a ML021121a
OG0000034	Ephydatia_muelleri_Em0013g44a Em0013g44a	Mnemiopsis_leidyi_ML258254a ML258254a
OG0000041	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a, Ephydatia_muelleri_Em0020g781a Em0020g781a, Ephydatia_muelleri_Em0398g6a Em0398g6a	Mnemiopsis_leidyi_ML21898a ML21898a
OG0000044	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a	Mnemiopsis_leidyi_ML03126a ML03126a, Mnemiopsis_leidyi_ML25826a ML25826a
OG0000049	Ephydatia_muelleri_Em0014g267a Em0014g267a	Mnemiopsis_leidyi_ML015721a ML015721a, Mnemiopsis_leidyi_ML083035a ML083035a
OG0000051	Ephydatia_muelleri_Em0024g143a Em0024g143a, Ephydatia_muelleri_Em0024g142a Em0024g142a	Mnemiopsis_leidyi_ML128420a ML128420a, Mnemiopsis_leidyi_ML128419a ML128419a, Mnemiopsis_leidyi_ML011744a ML011744a, Mnemiopsis_leidyi_ML279516a ML279516a, Mnemiopsis_leidyi_ML15153a ML15153a, Mnemiopsis_leidyi_ML170514a ML170514a, Mnemiopsis_leidyi_ML358829a ML358829a, Mnemiopsis_leidyi_ML023017a ML023017a
OG0000054	Ephydatia_muelleri_Em0001g3101a Em0001g3101a, Ephydatia_muelleri_Em0005g1163a Em0005g1163a	Mnemiopsis_leidyi_ML095316a ML095316a
OG0000058	Ephydatia_muelleri_Em0006g1503a Em0006g1503a	Mnemiopsis_leidyi_ML15451a ML15451a, Mnemiopsis_leidyi_ML048618a ML048618a, Mnemiopsis_leidyi_ML048623a ML048623a
OG0000061	Ephydatia_muelleri_Em0020g592a Em0020g592a, Ephydatia_muelleri_Em0020g589a Em0020g589a, Ephydatia_muelleri_Em0020g577a Em0020g577a, Ephydatia_muelleri_Em0020g575a Em0020g575a, Ephydatia_muelleri_Em0020g574a Em0020g574a, Ephydatia_muelleri_Em0020g591a Em0020g591a, Ephydatia_muelleri_Em0020g594a Em0020g594a, Ephydatia_muelleri_Em0020g605a Em0020g605a	Mnemiopsis_leidyi_ML072819a ML072819a
OG0000065	Ephydatia_muelleri_Em0021g136a Em0021g136a, Ephydatia_muelleri_Em0021g28a Em0021g28a	Mnemiopsis_leidyi_ML14244a ML14244a
OG0000070	Ephydatia_muelleri_Em0001g689a Em0001g689a	Mnemiopsis_leidyi_ML02361a ML02361a
OG0000081	Ephydatia_muelleri_Em0001g262a Em0001g262a	Mnemiopsis_leidyi_ML082317a ML082317a, Mnemiopsis_leidyi_ML056914a ML056914a
OG0000103	Ephydatia_muelleri_Em0009g1125a Em0009g1125a	Mnemiopsis_leidyi_ML14703a ML14703a
OG0000104	Ephydatia_muelleri_Em0016g522a Em0016g522a	Mnemiopsis_leidyi_ML04798a ML04798a
OG0000106	Ephydatia_muelleri_Em0001g2050a Em0001g2050a	Mnemiopsis_leidyi_ML10439a ML10439a, Mnemiopsis_leidyi_ML104310a ML104310a
OG0000113	Ephydatia_muelleri_Em0021g76a Em0021g76a	Mnemiopsis_leidyi_ML086612a ML086612a
OG0000114	Ephydatia_muelleri_Em0014g123a Em0014g123a, Ephydatia_muelleri_Em0014g127a Em0014g127a	Mnemiopsis_leidyi_ML082712a ML082712a
OG0000119	Ephydatia_muelleri_Em0011g673a Em0011g673a	Mnemiopsis_leidyi_ML18521a ML18521a, Mnemiopsis_leidyi_ML11002a ML11002a
OG0000133	Ephydatia_muelleri_Em0005g1588a Em0005g1588a	Mnemiopsis_leidyi_ML018015a ML018015a
OG0000134	Ephydatia_muelleri_Em0016g534a Em0016g534a	Mnemiopsis_leidyi_ML126214a ML126214a
OG0000148	Ephydatia_muelleri_Em0015g1213a Em0015g1213a, Ephydatia_muelleri_Em0015g1236a Em0015g1236a	Mnemiopsis_leidyi_ML048212a ML048212a
OG0000152	Ephydatia_muelleri_Em0017g45a Em0017g45a, Ephydatia_muelleri_Em0017g29a Em0017g29a	Mnemiopsis_leidyi_ML12828a ML12828a, Mnemiopsis_leidyi_ML12827a ML12827a
OG0000156	Ephydatia_muelleri_Em0017g31a Em0017g31a	Mnemiopsis_leidyi_ML000712a ML000712a
OG0000159	Ephydatia_muelleri_Em0013g93a Em0013g93a, Ephydatia_muelleri_Em0002g1824a Em0002g1824a	Mnemiopsis_leidyi_ML074238a ML074238a
OG0000165	Ephydatia_muelleri_Em0005g150a Em0005g150a, Ephydatia_muelleri_Em0005g181a Em0005g181a, Ephydatia_muelleri_Em0005g136a Em0005g136a	Mnemiopsis_leidyi_ML40868a ML40868a
OG0000177	Ephydatia_muelleri_Em0008g1060a Em0008g1060a	Mnemiopsis_leidyi_ML020010a ML020010a, Mnemiopsis_leidyi_ML07729a ML07729a
OG0000179	Ephydatia_muelleri_Em0003g259a Em0003g259a	Mnemiopsis_leidyi_ML15096a ML15096a
OG0000182	Ephydatia_muelleri_Em0020g994a Em0020g994a, Ephydatia_muelleri_Em0714g1a Em0714g1a	Mnemiopsis_leidyi_ML07572a ML07572a
OG0000193	Ephydatia_muelleri_Em0008g372a Em0008g372a	Mnemiopsis_leidyi_ML03269a ML03269a
OG0000194	Ephydatia_muelleri_Em0014g778a Em0014g778a, Ephydatia_muelleri_Em0014g767a Em0014g767a	Mnemiopsis_leidyi_ML16565a ML16565a
OG0000195	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a	Mnemiopsis_leidyi_ML173714a ML173714a
OG0000204	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a	Mnemiopsis_leidyi_ML14272a ML14272a
OG0000214	Ephydatia_muelleri_Em0009g1219a Em0009g1219a	Mnemiopsis_leidyi_ML43434a ML43434a
OG0000229	Ephydatia_muelleri_Em0019g583a Em0019g583a	Mnemiopsis_leidyi_ML019415a ML019415a
OG0000237	Ephydatia_muelleri_Em0021g631a Em0021g631a	Mnemiopsis_leidyi_ML008016a ML008016a
OG0000253	Ephydatia_muelleri_Em0008g944a Em0008g944a	Mnemiopsis_leidyi_ML015627a ML015627a
OG0000400	Ephydatia_muelleri_Em0016g543a Em0016g543a	Mnemiopsis_leidyi_ML049017a ML049017a, Mnemiopsis_leidyi_ML01345a ML01345a
OG0000622	Ephydatia_muelleri_Em0002g1240a Em0002g1240a, Ephydatia_muelleri_Em0002g751a Em0002g751a	Mnemiopsis_leidyi_ML070218a ML070218a
OG0000746	Ephydatia_muelleri_Em0005g126a Em0005g126a	Mnemiopsis_leidyi_ML085725a ML085725a
OG0000922	Ephydatia_muelleri_Em0001g3819a Em0001g3819a	Mnemiopsis_leidyi_ML10429a ML10429a
