Orthogroup	Porifera_Demospongiae_Ephydatia_muelleri	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000002	Ephydatia_muelleri_Em0019g573a Em0019g573a, Ephydatia_muelleri_Em0019g563a Em0019g563a, Ephydatia_muelleri_Em0019g588a Em0019g588a, Ephydatia_muelleri_Em0007g817a Em0007g817a	Stylophora_pistillata_Spis16237 Spis16237 SpisGene16237
OG0000002	Ephydatia_muelleri_Em0018g930a Em0018g930a, Ephydatia_muelleri_Em0011g758a Em0011g758a, Ephydatia_muelleri_Em0018g931a Em0018g931a	Stylophora_pistillata_Spis3194 Spis3194 SpisGene3194, Stylophora_pistillata_Spis6482 Spis6482 SpisGene6482, Stylophora_pistillata_Spis16946 Spis16946 SpisGene16946, Stylophora_pistillata_Spis12981 Spis12981 SpisGene12981, Stylophora_pistillata_Spis12983 Spis12983 SpisGene12983, Stylophora_pistillata_Spis10028 Spis10028 SpisGene10028, Stylophora_pistillata_Spis23313 Spis23313 SpisGene23313, Stylophora_pistillata_Spis3168 Spis3168 SpisGene3168, Stylophora_pistillata_Spis2482 Spis2482 SpisGene2482, Stylophora_pistillata_Spis25860.Novel Spis25860.Novel SpisGene25860.Novel, Stylophora_pistillata_Spis14421 Spis14421 SpisGene14421, Stylophora_pistillata_Spis5273 Spis5273 SpisGene5273, Stylophora_pistillata_Spis15604 Spis15604 SpisGene15604, Stylophora_pistillata_Spis661 Spis661 SpisGene661, Stylophora_pistillata_Spis22531.t1 Spis22531.t1 SpisGene22531, Stylophora_pistillata_Spis2735 Spis2735 SpisGene2735, Stylophora_pistillata_Spis2736 Spis2736 SpisGene2736, Stylophora_pistillata_Spis20570 Spis20570 SpisGene20570, Stylophora_pistillata_Spis6481 Spis6481 SpisGene6481, Stylophora_pistillata_Spis16169 Spis16169 SpisGene16169
OG0000004	Ephydatia_muelleri_Em0007g757a Em0007g757a, Ephydatia_muelleri_Em0007g755a Em0007g755a	Stylophora_pistillata_Spis5789.t1 Spis5789.t1 SpisGene5789
OG0000004	Ephydatia_muelleri_Em0022g301a Em0022g301a	Stylophora_pistillata_Spis13182 Spis13182 SpisGene13182, Stylophora_pistillata_Spis8899 Spis8899 SpisGene8899, Stylophora_pistillata_Spis30 Spis30 SpisGene30, Stylophora_pistillata_Spis26 Spis26 SpisGene26, Stylophora_pistillata_Spis11895 Spis11895 SpisGene11895
OG0000005	Ephydatia_muelleri_Em0001g1715a Em0001g1715a	Stylophora_pistillata_Spis8938.t1 Spis8938.t1 SpisGene8938, Stylophora_pistillata_Spis8937 Spis8937 SpisGene8937
OG0000007	Ephydatia_muelleri_Em0021g537a Em0021g537a	Stylophora_pistillata_Spis5798 Spis5798 SpisGene5798
OG0000007	Ephydatia_muelleri_Em0010g757a Em0010g757a, Ephydatia_muelleri_Em0010g762a Em0010g762a, Ephydatia_muelleri_Em0382g2a Em0382g2a, Ephydatia_muelleri_Em0462g1a Em0462g1a, Ephydatia_muelleri_Em0010g756a Em0010g756a, Ephydatia_muelleri_Em0418g1a Em0418g1a, Ephydatia_muelleri_Em0002g1565a Em0002g1565a, Ephydatia_muelleri_Em0002g1561a Em0002g1561a, Ephydatia_muelleri_Em0005g97a Em0005g97a, Ephydatia_muelleri_Em0010g209a Em0010g209a, Ephydatia_muelleri_Em0010g239a Em0010g239a, Ephydatia_muelleri_Em0001g3643a Em0001g3643a	Stylophora_pistillata_Spis19279 Spis19279 SpisGene19279, Stylophora_pistillata_Spis23194 Spis23194 SpisGene23194, Stylophora_pistillata_Spis18040 Spis18040 SpisGene18040, Stylophora_pistillata_Spis19874 Spis19874 SpisGene19874, Stylophora_pistillata_Spis18038 Spis18038 SpisGene18038, Stylophora_pistillata_Spis18037 Spis18037 SpisGene18037, Stylophora_pistillata_Spis18041 Spis18041 SpisGene18041, Stylophora_pistillata_Spis23530 Spis23530 SpisGene23530, Stylophora_pistillata_Spis2770 Spis2770 SpisGene2770, Stylophora_pistillata_Spis2764 Spis2764 SpisGene2764, Stylophora_pistillata_Spis16998 Spis16998 SpisGene16998, Stylophora_pistillata_Spis16996 Spis16996 SpisGene16996, Stylophora_pistillata_Spis16440 Spis16440 SpisGene16440, Stylophora_pistillata_Spis16818 Spis16818 SpisGene16818, Stylophora_pistillata_Spis23200 Spis23200 SpisGene23200
OG0000008	Ephydatia_muelleri_Em0006g945a Em0006g945a	Stylophora_pistillata_Spis14392 Spis14392 SpisGene14392, Stylophora_pistillata_Spis23579 Spis23579 SpisGene23579, Stylophora_pistillata_Spis21934 Spis21934 SpisGene21934, Stylophora_pistillata_Spis13231.t2 Spis13231.t2 SpisGene13231, Stylophora_pistillata_Spis22505 Spis22505 SpisGene22505, Stylophora_pistillata_Spis22868 Spis22868 SpisGene22868, Stylophora_pistillata_Spis22236 Spis22236 SpisGene22236, Stylophora_pistillata_Spis721 Spis721 SpisGene721, Stylophora_pistillata_Spis719 Spis719 SpisGene719, Stylophora_pistillata_Spis24328 Spis24328 SpisGene24328, Stylophora_pistillata_Spis5995 Spis5995 SpisGene5995, Stylophora_pistillata_Spis9233 Spis9233 SpisGene9233, Stylophora_pistillata_Spis9234 Spis9234 SpisGene9234, Stylophora_pistillata_Spis24510 Spis24510 SpisGene24510, Stylophora_pistillata_Spis12661 Spis12661 SpisGene12661, Stylophora_pistillata_Spis17096 Spis17096 SpisGene17096, Stylophora_pistillata_Spis16725 Spis16725 SpisGene16725, Stylophora_pistillata_Spis24462 Spis24462 SpisGene24462, Stylophora_pistillata_Spis4050.t2 Spis4050.t2 SpisGene4050, Stylophora_pistillata_Spis4060 Spis4060 SpisGene4060
OG0000008	Ephydatia_muelleri_Em0018g257a Em0018g257a	Stylophora_pistillata_Spis25381 Spis25381 SpisGene25381, Stylophora_pistillata_Spis25392 Spis25392 SpisGene25392, Stylophora_pistillata_Spis24890 Spis24890 SpisGene24890
OG0000009	Ephydatia_muelleri_Em0081g2a Em0081g2a, Ephydatia_muelleri_Em0081g7a Em0081g7a, Ephydatia_muelleri_Em0021g426a Em0021g426a, Ephydatia_muelleri_Em0019g554a Em0019g554a, Ephydatia_muelleri_Em0006g967a Em0006g967a	Stylophora_pistillata_Spis5234 Spis5234 SpisGene5234
OG0000010	Ephydatia_muelleri_Em0017g49a Em0017g49a	Stylophora_pistillata_Spis10737 Spis10737 SpisGene10737
OG0000010	Ephydatia_muelleri_Em0006g1145a Em0006g1145a	Stylophora_pistillata_Spis11339 Spis11339 SpisGene11339
OG0000010	Ephydatia_muelleri_Em0006g1150a Em0006g1150a	Stylophora_pistillata_Spis1256.t1 Spis1256.t1 SpisGene1256
OG0000010	Ephydatia_muelleri_Em0023g407a Em0023g407a	Stylophora_pistillata_Spis15892 Spis15892 SpisGene15892
OG0000010	Ephydatia_muelleri_Em0011g1192a Em0011g1192a	Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363
OG0000011	Ephydatia_muelleri_Em0005g71a Em0005g71a	Stylophora_pistillata_Spis4945 Spis4945 SpisGene4945, Stylophora_pistillata_Spis8056.t2 Spis8056.t2 SpisGene8056, Stylophora_pistillata_Spis22183 Spis22183 SpisGene22183
OG0000013	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a	Stylophora_pistillata_Spis3868.t1 Spis3868.t1 SpisGene3868, Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826
OG0000014	Ephydatia_muelleri_Em0016g1107a Em0016g1107a	Stylophora_pistillata_Spis347 Spis347 SpisGene347
OG0000018	Ephydatia_muelleri_Em0011g282a Em0011g282a, Ephydatia_muelleri_Em0011g292a Em0011g292a, Ephydatia_muelleri_Em0011g291a Em0011g291a, Ephydatia_muelleri_Em0011g283a Em0011g283a	Stylophora_pistillata_Spis5446 Spis5446 SpisGene5446, Stylophora_pistillata_Spis5444 Spis5444 SpisGene5444, Stylophora_pistillata_Spis5445 Spis5445 SpisGene5445
OG0000018	Ephydatia_muelleri_Em0380g6a Em0380g6a, Ephydatia_muelleri_Em0023g304a Em0023g304a, Ephydatia_muelleri_Em0023g214a Em0023g214a, Ephydatia_muelleri_Em0001g321a Em0001g321a, Ephydatia_muelleri_Em0023g220a Em0023g220a, Ephydatia_muelleri_Em0023g224a Em0023g224a, Ephydatia_muelleri_Em0380g1a Em0380g1a, Ephydatia_muelleri_Em0023g300a Em0023g300a, Ephydatia_muelleri_Em0023g230a Em0023g230a, Ephydatia_muelleri_Em0023g303a Em0023g303a, Ephydatia_muelleri_Em0019g1086a Em0019g1086a, Ephydatia_muelleri_Em0019g1066a Em0019g1066a, Ephydatia_muelleri_Em0008g906a Em0008g906a, Ephydatia_muelleri_Em0008g1100a Em0008g1100a, Ephydatia_muelleri_Em0007g863a Em0007g863a, Ephydatia_muelleri_Em0007g864a Em0007g864a	Stylophora_pistillata_Spis23534 Spis23534 SpisGene23534, Stylophora_pistillata_Spis15395 Spis15395 SpisGene15395
OG0000018	Ephydatia_muelleri_Em0017g348a Em0017g348a	Stylophora_pistillata_Spis18453 Spis18453 SpisGene18453, Stylophora_pistillata_Spis14524 Spis14524 SpisGene14524, Stylophora_pistillata_Spis18452 Spis18452 SpisGene18452
OG0000019	Ephydatia_muelleri_Em0015g47a Em0015g47a, Ephydatia_muelleri_Em0002g1863a Em0002g1863a	Stylophora_pistillata_Spis21490 Spis21490 SpisGene21490
OG0000019	Ephydatia_muelleri_Em0016g133a Em0016g133a, Ephydatia_muelleri_Em0016g138a Em0016g138a	Stylophora_pistillata_Spis16254 Spis16254 SpisGene16254
OG0000020	Ephydatia_muelleri_Em0016g1034a Em0016g1034a, Ephydatia_muelleri_Em0016g1035a Em0016g1035a	Stylophora_pistillata_Spis2745 Spis2745 SpisGene2745, Stylophora_pistillata_Spis2734 Spis2734 SpisGene2734
OG0000020	Ephydatia_muelleri_Em0016g1041a Em0016g1041a, Ephydatia_muelleri_Em0007g845a Em0007g845a	Stylophora_pistillata_Spis279 Spis279 SpisGene279
OG0000021	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a, Ephydatia_muelleri_Em0001g1116a Em0001g1116a	Stylophora_pistillata_Spis24714 Spis24714 SpisGene24714
OG0000021	Ephydatia_muelleri_Em0010g765a Em0010g765a	Stylophora_pistillata_Spis2479 Spis2479 SpisGene2479, Stylophora_pistillata_Spis8049 Spis8049 SpisGene8049, Stylophora_pistillata_Spis22825 Spis22825 SpisGene22825, Stylophora_pistillata_Spis12373 Spis12373 SpisGene12373, Stylophora_pistillata_Spis12354 Spis12354 SpisGene12354, Stylophora_pistillata_Spis18331 Spis18331 SpisGene18331, Stylophora_pistillata_Spis11619 Spis11619 SpisGene11619
OG0000022	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a	Stylophora_pistillata_Spis3665 Spis3665 SpisGene3665
OG0000022	Ephydatia_muelleri_Em0006g1280a Em0006g1280a, Ephydatia_muelleri_Em0006g1281a Em0006g1281a	Stylophora_pistillata_Spis14896 Spis14896 SpisGene14896
OG0000024	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a	Stylophora_pistillata_Spis21695 Spis21695 SpisGene21695, Stylophora_pistillata_Spis1604 Spis1604 SpisGene1604, Stylophora_pistillata_Spis7748 Spis7748 SpisGene7748, Stylophora_pistillata_Spis20024 Spis20024 SpisGene20024, Stylophora_pistillata_Spis20026 Spis20026 SpisGene20026, Stylophora_pistillata_Spis13616 Spis13616 SpisGene13616, Stylophora_pistillata_Spis13991 Spis13991 SpisGene13991
OG0000030	Ephydatia_muelleri_Em0005g1474a Em0005g1474a	Stylophora_pistillata_Spis8205 Spis8205 SpisGene8205
OG0000030	Ephydatia_muelleri_Em0010g847a Em0010g847a, Ephydatia_muelleri_Em0010g848a Em0010g848a	Stylophora_pistillata_Spis138 Spis138 SpisGene138
OG0000032	Ephydatia_muelleri_Em0001g2640a Em0001g2640a, Ephydatia_muelleri_Em0001g2642a Em0001g2642a, Ephydatia_muelleri_Em0001g2639a Em0001g2639a, Ephydatia_muelleri_Em0001g2643a Em0001g2643a	Stylophora_pistillata_Spis3767 Spis3767 SpisGene3767, Stylophora_pistillata_Spis20530 Spis20530 SpisGene20530
OG0000034	Ephydatia_muelleri_Em0013g44a Em0013g44a	Stylophora_pistillata_Spis8934.t1 Spis8934.t1 SpisGene8934, Stylophora_pistillata_Spis9650 Spis9650 SpisGene9650
OG0000039	Ephydatia_muelleri_Em0001g503a Em0001g503a, Ephydatia_muelleri_Em0001g539a Em0001g539a, Ephydatia_muelleri_Em0001g504a Em0001g504a	Stylophora_pistillata_Spis15611 Spis15611 SpisGene15611, Stylophora_pistillata_Spis15606 Spis15606 SpisGene15606, Stylophora_pistillata_Spis15608 Spis15608 SpisGene15608, Stylophora_pistillata_Spis15609 Spis15609 SpisGene15609, Stylophora_pistillata_Spis15605 Spis15605 SpisGene15605, Stylophora_pistillata_Spis15613 Spis15613 SpisGene15613
OG0000040	Ephydatia_muelleri_Em1222g1a Em1222g1a	Stylophora_pistillata_Spis3141 Spis3141 SpisGene3141, Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214
OG0000041	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a	Stylophora_pistillata_Spis2408 Spis2408 SpisGene2408
OG0000041	Ephydatia_muelleri_Em0020g781a Em0020g781a, Ephydatia_muelleri_Em0398g6a Em0398g6a	Stylophora_pistillata_Spis15631 Spis15631 SpisGene15631
OG0000044	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a	Stylophora_pistillata_Spis4982 Spis4982 SpisGene4982, Stylophora_pistillata_Spis20352 Spis20352 SpisGene20352, Stylophora_pistillata_Spis4987 Spis4987 SpisGene4987
OG0000049	Ephydatia_muelleri_Em0014g267a Em0014g267a	Stylophora_pistillata_Spis6729 Spis6729 SpisGene6729
OG0000051	Ephydatia_muelleri_Em0024g143a Em0024g143a, Ephydatia_muelleri_Em0024g142a Em0024g142a	Stylophora_pistillata_Spis18649 Spis18649 SpisGene18649, Stylophora_pistillata_Spis9873 Spis9873 SpisGene9873, Stylophora_pistillata_Spis17370 Spis17370 SpisGene17370, Stylophora_pistillata_Spis17369 Spis17369 SpisGene17369, Stylophora_pistillata_Spis18643 Spis18643 SpisGene18643
OG0000054	Ephydatia_muelleri_Em0001g3101a Em0001g3101a	Stylophora_pistillata_Spis4424.t3 Spis4424.t3 SpisGene4424
OG0000054	Ephydatia_muelleri_Em0005g1163a Em0005g1163a	Stylophora_pistillata_Spis725 Spis725 SpisGene725
OG0000058	Ephydatia_muelleri_Em0006g1503a Em0006g1503a	Stylophora_pistillata_Spis23576 Spis23576 SpisGene23576, Stylophora_pistillata_Spis21562 Spis21562 SpisGene21562, Stylophora_pistillata_Spis19455 Spis19455 SpisGene19455
OG0000061	Ephydatia_muelleri_Em0020g592a Em0020g592a, Ephydatia_muelleri_Em0020g589a Em0020g589a, Ephydatia_muelleri_Em0020g577a Em0020g577a, Ephydatia_muelleri_Em0020g575a Em0020g575a, Ephydatia_muelleri_Em0020g574a Em0020g574a, Ephydatia_muelleri_Em0020g591a Em0020g591a, Ephydatia_muelleri_Em0020g594a Em0020g594a, Ephydatia_muelleri_Em0020g605a Em0020g605a	Stylophora_pistillata_Spis5917.t1 Spis5917.t1 SpisGene5917, Stylophora_pistillata_Spis3107 Spis3107 SpisGene3107
OG0000065	Ephydatia_muelleri_Em0021g136a Em0021g136a, Ephydatia_muelleri_Em0021g28a Em0021g28a	Stylophora_pistillata_Spis8479 Spis8479 SpisGene8479
OG0000070	Ephydatia_muelleri_Em0001g689a Em0001g689a	Stylophora_pistillata_Spis6123 Spis6123 SpisGene6123
OG0000081	Ephydatia_muelleri_Em0001g262a Em0001g262a	Stylophora_pistillata_Spis10729 Spis10729 SpisGene10729, Stylophora_pistillata_Spis9086 Spis9086 SpisGene9086, Stylophora_pistillata_Spis18739 Spis18739 SpisGene18739, Stylophora_pistillata_Spis17434 Spis17434 SpisGene17434
