Orthogroup	Porifera_Demospongiae_Ephydatia_muelleri	Chordata_Vertebrata_Danio_rerio
OG0000021	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a, Ephydatia_muelleri_Em0001g1116a Em0001g1116a	Danio_rerio_tr_Q6VQA2_Q6VQA2_DANRE tr|Q6VQA2|Q6VQA2_DANRE Pro-epidermal growth factor OS=Danio rerio OX=7955 GN=egf PE=2 SV=1
OG0000024	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a	Danio_rerio_tr_A0A0R4IMY5_A0A0R4IMY5_DANRE tr|A0A0R4IMY5|A0A0R4IMY5_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 3 OS=Danio rerio OX=7955 GN=im_7139568 PE=4 SV=2, Danio_rerio_tr_F1RAX3_F1RAX3_DANRE tr|F1RAX3|F1RAX3_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 3 OS=Danio rerio OX=7955 GN=im_7139568 PE=4 SV=2, Danio_rerio_tr_E7F9M2_E7F9M2_DANRE tr|E7F9M2|E7F9M2_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 1 OS=Danio rerio OX=7955 GN=spock1 PE=4 SV=3
OG0000030	Ephydatia_muelleri_Em0005g1474a Em0005g1474a	Danio_rerio_tr_Q6PFU9_Q6PFU9_DANRE tr|Q6PFU9|Q6PFU9_DANRE A disintegrin and metalloproteinase domain 17a OS=Danio rerio OX=7955 GN=fc20b01 PE=2 SV=1, Danio_rerio_tr_U3JAD1_U3JAD1_DANRE tr|U3JAD1|U3JAD1_DANRE ADAM metallopeptidase domain 17b OS=Danio rerio OX=7955 GN=adam17b PE=4 SV=1
OG0000040	Ephydatia_muelleri_Em1222g1a Em1222g1a	Danio_rerio_tr_Q08CJ3_Q08CJ3_DANRE tr|Q08CJ3|Q08CJ3_DANRE Endothelial cell-specific molecule 1 precursor OS=Danio rerio OX=7955 GN=zgc_153027 PE=2 SV=1, Danio_rerio_tr_B0V1B1_B0V1B1_DANRE tr|B0V1B1|B0V1B1_DANRE Kazal-type serine peptidase inhibitor domain 3 OS=Danio rerio OX=7955 GN=im_7144240 PE=4 SV=1, Danio_rerio_tr_Q6NW92_Q6NW92_DANRE tr|Q6NW92|Q6NW92_DANRE Insulin-like growth factor-binding protein 7 precursor OS=Danio rerio OX=7955 GN=zgc_85888 PE=1 SV=1
OG0000044	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a	Danio_rerio_tr_Q66L63_Q66L63_DANRE tr|Q66L63|Q66L63_DANRE Protein-glutamine gamma-glutamyltransferase 2 OS=Danio rerio OX=7955 GN=tgm2 PE=2 SV=1, Danio_rerio_tr_Q1ECX3_Q1ECX3_DANRE tr|Q1ECX3|Q1ECX3_DANRE Protein-glutamine gamma-glutamyltransferase 2 OS=Danio rerio OX=7955 GN=TGM2 PE=1 SV=1, Danio_rerio_tr_A0A0R4IGK8_A0A0R4IGK8_DANRE tr|A0A0R4IGK8|A0A0R4IGK8_DANRE Transglutaminase 5_-like OS=Danio rerio OX=7955 GN=si_ch1073-277p6.1 PE=3 SV=2
OG0000045	Ephydatia_muelleri_Em0009g1117a Em0009g1117a	Danio_rerio_tr_Q2TJF5_Q2TJF5_DANRE tr|Q2TJF5|Q2TJF5_DANRE Laminin alpha 4 OS=Danio rerio OX=7955 GN=si_busm1-189a20.2 PE=1 SV=1
OG0000049	Ephydatia_muelleri_Em0014g267a Em0014g267a	Danio_rerio_tr_A8IYK2_A8IYK2_DANRE tr|A8IYK2|A8IYK2_DANRE Plexin-A1 OS=Danio rerio OX=7955 GN=plxna1 PE=1 SV=1, Danio_rerio_sp_B0S5N4_PLXA3_DANRE sp|B0S5N4|PLXA3_DANRE Plexin A3 OS=Danio rerio OX=7955 GN=plxna3 PE=2 SV=2, Danio_rerio_tr_B3DK42_B3DK42_DANRE tr|B3DK42|B3DK42_DANRE Plexin A4 OS=Danio rerio OX=7955 GN=plxna4 PE=2 SV=1, Danio_rerio_sp_Q6BEA0_PLXA4_DANRE sp|Q6BEA0|PLXA4_DANRE Plexin-A4 OS=Danio rerio OX=7955 GN=plxna4 PE=2 SV=1, Danio_rerio_tr_T1ECS6_T1ECS6_DANRE tr|T1ECS6|T1ECS6_DANRE Plexin-A4 OS=Danio rerio OX=7955 GN=D204 PE=1 SV=1, Danio_rerio_tr_F1Q7U0_F1Q7U0_DANRE tr|F1Q7U0|F1Q7U0_DANRE Plexin b1b OS=Danio rerio OX=7955 GN=plxnb1b PE=1 SV=1, Danio_rerio_tr_A0A8M3B4P7_A0A8M3B4P7_DANRE tr|A0A8M3B4P7|A0A8M3B4P7_DANRE Plexin-B3 OS=Danio rerio OX=7955 GN=plxnb3 PE=1 SV=1, Danio_rerio_tr_E3NZJ2_E3NZJ2_DANRE tr|E3NZJ2|E3NZJ2_DANRE Plexin B2b short isoform OS=Danio rerio OX=7955 GN=plxnb2b PE=2 SV=1, Danio_rerio_tr_F1QBC0_F1QBC0_DANRE tr|F1QBC0|F1QBC0_DANRE Plexin b2a OS=Danio rerio OX=7955 GN=fk37b01 PE=1 SV=3, Danio_rerio_tr_C5H5I1_C5H5I1_DANRE tr|C5H5I1|C5H5I1_DANRE Plexin B2 OS=Danio rerio OX=7955 GN=plxnB2 PE=1 SV=1, Danio_rerio_tr_Q6DSU3_Q6DSU3_DANRE tr|Q6DSU3|Q6DSU3_DANRE Plexin D1 OS=Danio rerio OX=7955 GN=zgc_77379 PE=1 SV=1, Danio_rerio_tr_Q5RGW1_Q5RGW1_DANRE tr|Q5RGW1|Q5RGW1_DANRE Plexin C1 _Fragment_ OS=Danio rerio OX=7955 GN=plxnc1 PE=1 SV=3
OG0000065	Ephydatia_muelleri_Em0021g136a Em0021g136a, Ephydatia_muelleri_Em0021g28a Em0021g28a	Danio_rerio_tr_V5NES1_V5NES1_DANRE tr|V5NES1|V5NES1_DANRE Glypican 5a OS=Danio rerio OX=7955 GN=Gpc5a PE=2 SV=1, Danio_rerio_sp_Q6V9Y8_GPC3_DANRE sp|Q6V9Y8|GPC3_DANRE Glypican-3 OS=Danio rerio OX=7955 GN=gpc3 PE=1 SV=1, Danio_rerio_tr_V5NF21_V5NF21_DANRE tr|V5NF21|V5NF21_DANRE Glypican 5b OS=Danio rerio OX=7955 GN=Gpc5b PE=2 SV=1
OG0000068	Ephydatia_muelleri_Em0004g1059a Em0004g1059a	Danio_rerio_tr_Q32PT4_Q32PT4_DANRE tr|Q32PT4|Q32PT4_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals3l PE=1 SV=1, Danio_rerio_sp_Q6DGJ1_GRIFN_DANRE sp|Q6DGJ1|GRIFN_DANRE Grifin OS=Danio rerio OX=7955 GN=grifin PE=1 SV=1, Danio_rerio_tr_Q7ZZ26_Q7ZZ26_DANRE tr|Q7ZZ26|Q7ZZ26_DANRE Galectin OS=Danio rerio OX=7955 GN=si_ch211-101n13.9 PE=4 SV=1, Danio_rerio_sp_Q1ECW6_LEGL_DANRE sp|Q1ECW6|LEGL_DANRE Galectin-related protein OS=Danio rerio OX=7955 GN=lgalsl PE=2 SV=1, Danio_rerio_tr_Q6PBV2_Q6PBV2_DANRE tr|Q6PBV2|Q6PBV2_DANRE Galectin OS=Danio rerio OX=7955 GN=wu_fj85f11 PE=1 SV=1, Danio_rerio_tr_X1WD11_X1WD11_DANRE tr|X1WD11|X1WD11_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals8a PE=4 SV=2, Danio_rerio_tr_F1QIE5_F1QIE5_DANRE tr|F1QIE5|F1QIE5_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals8a PE=4 SV=2
OG0000068	Ephydatia_muelleri_Em0017g649a Em0017g649a	Danio_rerio_tr_F8W2U6_F8W2U6_DANRE tr|F8W2U6|F8W2U6_DANRE Galectin OS=Danio rerio OX=7955 GN=Drgal1-L3 PE=1 SV=1, Danio_rerio_tr_Q7SXJ0_Q7SXJ0_DANRE tr|Q7SXJ0|Q7SXJ0_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals1l3 PE=1 SV=1, Danio_rerio_tr_Q6TGN5_Q6TGN5_DANRE tr|Q6TGN5|Q6TGN5_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals2a PE=1 SV=1, Danio_rerio_tr_Q6IQI2_Q6IQI2_DANRE tr|Q6IQI2|Q6IQI2_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals1l2 PE=1 SV=1, Danio_rerio_tr_F1QGM0_F1QGM0_DANRE tr|F1QGM0|F1QGM0_DANRE Galectin OS=Danio rerio OX=7955 GN=Drgal1-L1 PE=1 SV=1
OG0000081	Ephydatia_muelleri_Em0001g262a Em0001g262a	Danio_rerio_sp_Q7SXF6_CREL2_DANRE sp|Q7SXF6|CREL2_DANRE Cysteine-rich with EGF-like domain protein 2 OS=Danio rerio OX=7955 GN=creld2 PE=2 SV=2
OG0000083	Ephydatia_muelleri_Em0023g687a Em0023g687a, Ephydatia_muelleri_Em0023g690a Em0023g690a	Danio_rerio_tr_A0A8M1NJV4_A0A8M1NJV4_DANRE tr|A0A8M1NJV4|A0A8M1NJV4_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=si_dkey-20d21.13 PE=3 SV=1, Danio_rerio_tr_Q29RC1_Q29RC1_DANRE tr|Q29RC1|Q29RC1_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=hyal1 PE=2 SV=1, Danio_rerio_tr_A1L264_A1L264_DANRE tr|A1L264|A1L264_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=zgc_158668 PE=2 SV=1, Danio_rerio_tr_X1WD16_X1WD16_DANRE tr|X1WD16|X1WD16_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=LOC108181664 PE=3 SV=1, Danio_rerio_tr_A1L235_A1L235_DANRE tr|A1L235|A1L235_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=zgc_158626 PE=2 SV=1, Danio_rerio_tr_A0A8M3ATS4_A0A8M3ATS4_DANRE tr|A0A8M3ATS4|A0A8M3ATS4_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=hyal2a PE=3 SV=1
OG0000114	Ephydatia_muelleri_Em0014g123a Em0014g123a, Ephydatia_muelleri_Em0014g127a Em0014g127a	Danio_rerio_tr_X1WCP5_X1WCP5_DANRE tr|X1WCP5|X1WCP5_DANRE Host cell factor 2 OS=Danio rerio OX=7955 GN=si_ch73-376i21.2 PE=4 SV=1
OG0000148	Ephydatia_muelleri_Em0015g1213a Em0015g1213a, Ephydatia_muelleri_Em0015g1236a Em0015g1236a	Danio_rerio_tr_Q66I23_Q66I23_DANRE tr|Q66I23|Q66I23_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=zgc_92058 PE=2 SV=1, Danio_rerio_tr_A0A8M9QGK2_A0A8M9QGK2_DANRE tr|A0A8M9QGK2|A0A8M9QGK2_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=tgfb2l PE=3 SV=1, Danio_rerio_tr_Q7SZV4_Q7SZV4_DANRE tr|Q7SZV4|Q7SZV4_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=tgfb2 PE=2 SV=1, Danio_rerio_tr_Q7ZZU7_Q7ZZU7_DANRE tr|Q7ZZU7|Q7ZZU7_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=xx_ai39657 PE=2 SV=1, Danio_rerio_tr_E9QHW0_E9QHW0_DANRE tr|E9QHW0|E9QHW0_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=tgfb1b PE=3 SV=1
OG0000156	Ephydatia_muelleri_Em0017g31a Em0017g31a	Danio_rerio_tr_Q7ZTX7_Q7ZTX7_DANRE tr|Q7ZTX7|Q7ZTX7_DANRE Microfibrillar-associated protein 1 OS=Danio rerio OX=7955 GN=zgc_56551 PE=1 SV=1
OG0000209	Ephydatia_muelleri_Em0021g593a Em0021g593a	Danio_rerio_sp_Q7SYD9_INT6_DANRE sp|Q7SYD9|INT6_DANRE Integrator complex subunit 6 OS=Danio rerio OX=7955 GN=ints6 PE=2 SV=1
OG0000214	Ephydatia_muelleri_Em0009g1219a Em0009g1219a	Danio_rerio_tr_Q7ZUK5_Q7ZUK5_DANRE tr|Q7ZUK5|Q7ZUK5_DANRE Integrator complex subunit 14 OS=Danio rerio OX=7955 GN=zgc_55794 PE=1 SV=1, Danio_rerio_tr_Q1LWK5_Q1LWK5_DANRE tr|Q1LWK5|Q1LWK5_DANRE Integrator complex subunit 14 OS=Danio rerio OX=7955 GN=fi19c12 PE=1 SV=1
OG0000252	Ephydatia_muelleri_Em0021g373a Em0021g373a	Danio_rerio_sp_A1A5Y0_NELL2_DANRE sp|A1A5Y0|NELL2_DANRE Protein kinase C-binding protein NELL2 OS=Danio rerio OX=7955 GN=nell2 PE=2 SV=1, Danio_rerio_tr_F1QV50_F1QV50_DANRE tr|F1QV50|F1QV50_DANRE Neural EGFL-like 2b OS=Danio rerio OX=7955 GN=nell2b PE=4 SV=2
OG0000413	Ephydatia_muelleri_Em0009g1070a Em0009g1070a	Danio_rerio_tr_E7FCN9_E7FCN9_DANRE tr|E7FCN9|E7FCN9_DANRE Chondroitin sulfate proteoglycan 4 OS=Danio rerio OX=7955 GN=cspg4 PE=4 SV=1
