Orthogroup	Porifera_Demospongiae_Ephydatia_muelleri	Cnidaria_Anthozoa_Xenia_spec
OG0000008	Ephydatia_muelleri_Em0006g945a Em0006g945a	Xenia_spec_Xe_019742_T1 Xe_019742_T1 Xe_019742, Xenia_spec_Xe_019744_T1 Xe_019744_T1 Xe_019744, Xenia_spec_Xe_019739_T1 Xe_019739_T1 Xe_019739, Xenia_spec_Xe_011936_T1 Xe_011936_T1 Xe_011936, Xenia_spec_Xe_011933_T1 Xe_011933_T1 Xe_011933
OG0000010	Ephydatia_muelleri_Em0006g1150a Em0006g1150a	Xenia_spec_Xe_004964_T1 Xe_004964_T1 Xe_004964
OG0000010	Ephydatia_muelleri_Em0011g1192a Em0011g1192a	Xenia_spec_Xe_002513_T1 Xe_002513_T1 Xe_002513
OG0000013	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a	Xenia_spec_Xe_016066_T1 Xe_016066_T1 Xe_016066, Xenia_spec_Xe_016066_T2 Xe_016066_T2 Xe_016066, Xenia_spec_Xe_014676_T1 Xe_014676_T1 Xe_014676
OG0000014	Ephydatia_muelleri_Em0016g1107a Em0016g1107a	Xenia_spec_Xe_002262_T1 Xe_002262_T1 Xe_002262
OG0000018	Ephydatia_muelleri_Em0011g282a Em0011g282a, Ephydatia_muelleri_Em0011g292a Em0011g292a, Ephydatia_muelleri_Em0011g291a Em0011g291a, Ephydatia_muelleri_Em0011g283a Em0011g283a	Xenia_spec_Xe_013913_T1 Xe_013913_T1 Xe_013913, Xenia_spec_Xe_013934_T1 Xe_013934_T1 Xe_013934
OG0000018	Ephydatia_muelleri_Em0380g6a Em0380g6a, Ephydatia_muelleri_Em0023g304a Em0023g304a, Ephydatia_muelleri_Em0023g214a Em0023g214a, Ephydatia_muelleri_Em0001g321a Em0001g321a, Ephydatia_muelleri_Em0023g220a Em0023g220a, Ephydatia_muelleri_Em0023g224a Em0023g224a, Ephydatia_muelleri_Em0380g1a Em0380g1a, Ephydatia_muelleri_Em0023g300a Em0023g300a, Ephydatia_muelleri_Em0023g230a Em0023g230a, Ephydatia_muelleri_Em0023g303a Em0023g303a, Ephydatia_muelleri_Em0019g1086a Em0019g1086a, Ephydatia_muelleri_Em0019g1066a Em0019g1066a, Ephydatia_muelleri_Em0008g906a Em0008g906a, Ephydatia_muelleri_Em0008g1100a Em0008g1100a, Ephydatia_muelleri_Em0007g863a Em0007g863a, Ephydatia_muelleri_Em0007g864a Em0007g864a	Xenia_spec_Xe_009686_T1 Xe_009686_T1 Xe_009686, Xenia_spec_Xe_009691_T1 Xe_009691_T1 Xe_009691, Xenia_spec_Xe_010129_T1 Xe_010129_T1 Xe_010129, Xenia_spec_Xe_010158_T1 Xe_010158_T1 Xe_010158, Xenia_spec_Xe_006051_T1 Xe_006051_T1 Xe_006051, Xenia_spec_Xe_010156_T1 Xe_010156_T1 Xe_010156, Xenia_spec_Xe_010159_T1 Xe_010159_T1 Xe_010159, Xenia_spec_Xe_010157_T1 Xe_010157_T1 Xe_010157, Xenia_spec_Xe_002016_T1 Xe_002016_T1 Xe_002016
OG0000018	Ephydatia_muelleri_Em0017g348a Em0017g348a, Ephydatia_muelleri_Em0010g820a Em0010g820a, Ephydatia_muelleri_Em0010g816a Em0010g816a	Xenia_spec_Xe_005091_T1 Xe_005091_T1 Xe_005091
OG0000019	Ephydatia_muelleri_Em0015g47a Em0015g47a, Ephydatia_muelleri_Em0002g1863a Em0002g1863a	Xenia_spec_Xe_014972_T1 Xe_014972_T1 Xe_014972
OG0000019	Ephydatia_muelleri_Em0016g133a Em0016g133a, Ephydatia_muelleri_Em0016g138a Em0016g138a	Xenia_spec_Xe_001366_T1 Xe_001366_T1 Xe_001366
OG0000019	Ephydatia_muelleri_Em0006g1427a Em0006g1427a, Ephydatia_muelleri_Em0019g98a Em0019g98a	Xenia_spec_Xe_000860_T1 Xe_000860_T1 Xe_000860
OG0000021	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a, Ephydatia_muelleri_Em0001g1116a Em0001g1116a	Xenia_spec_Xe_007982_T1 Xe_007982_T1 Xe_007982
OG0000022	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a	Xenia_spec_Xe_008122_T1 Xe_008122_T1 Xe_008122
OG0000024	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a	Xenia_spec_Xe_015864_T1 Xe_015864_T1 Xe_015864, Xenia_spec_Xe_019806_T1 Xe_019806_T1 Xe_019806, Xenia_spec_Xe_015637_T1 Xe_015637_T1 Xe_015637, Xenia_spec_Xe_015634_T1 Xe_015634_T1 Xe_015634
OG0000030	Ephydatia_muelleri_Em0005g1474a Em0005g1474a	Xenia_spec_Xe_002453_T1 Xe_002453_T1 Xe_002453
OG0000030	Ephydatia_muelleri_Em0010g847a Em0010g847a, Ephydatia_muelleri_Em0010g848a Em0010g848a	Xenia_spec_Xe_002964_T2 Xe_002964_T2 Xe_002964, Xenia_spec_Xe_002964_T1 Xe_002964_T1 Xe_002964, Xenia_spec_Xe_002964_T3 Xe_002964_T3 Xe_002964, Xenia_spec_Xe_002964_T4 Xe_002964_T4 Xe_002964
OG0000034	Ephydatia_muelleri_Em0013g44a Em0013g44a	Xenia_spec_Xe_013993_T1 Xe_013993_T1 Xe_013993
OG0000037	Ephydatia_muelleri_Em0022g51a Em0022g51a, Ephydatia_muelleri_Em0969g3a Em0969g3a, Ephydatia_muelleri_Em0022g56a Em0022g56a, Ephydatia_muelleri_Em0022g52a Em0022g52a, Ephydatia_muelleri_Em0022g54a Em0022g54a, Ephydatia_muelleri_Em0022g55a Em0022g55a	Xenia_spec_Xe_014976_T1 Xe_014976_T1 Xe_014976, Xenia_spec_Xe_014975_T1 Xe_014975_T1 Xe_014975, Xenia_spec_Xe_014974_T1 Xe_014974_T1 Xe_014974
OG0000039	Ephydatia_muelleri_Em0001g503a Em0001g503a, Ephydatia_muelleri_Em0001g539a Em0001g539a, Ephydatia_muelleri_Em0001g504a Em0001g504a	Xenia_spec_Xe_001980_T1 Xe_001980_T1 Xe_001980, Xenia_spec_Xe_015792_T1 Xe_015792_T1 Xe_015792, Xenia_spec_Xe_001991_T1 Xe_001991_T1 Xe_001991, Xenia_spec_Xe_015795_T1 Xe_015795_T1 Xe_015795
OG0000040	Ephydatia_muelleri_Em1222g1a Em1222g1a	Xenia_spec_Xe_008627_T1 Xe_008627_T1 Xe_008627
OG0000041	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a	Xenia_spec_Xe_005440_T1 Xe_005440_T1 Xe_005440, Xenia_spec_Xe_005437_T1 Xe_005437_T1 Xe_005437, Xenia_spec_Xe_005431_T1 Xe_005431_T1 Xe_005431, Xenia_spec_Xe_005447_T1 Xe_005447_T1 Xe_005447, Xenia_spec_Xe_005456_T1 Xe_005456_T1 Xe_005456, Xenia_spec_Xe_005470_T1 Xe_005470_T1 Xe_005470, Xenia_spec_Xe_005444_T1 Xe_005444_T1 Xe_005444, Xenia_spec_Xe_005450_T1 Xe_005450_T1 Xe_005450, Xenia_spec_Xe_005434_T1 Xe_005434_T1 Xe_005434, Xenia_spec_Xe_005453_T1 Xe_005453_T1 Xe_005453, Xenia_spec_Xe_005472_T1 Xe_005472_T1 Xe_005472, Xenia_spec_Xe_005471_T1 Xe_005471_T1 Xe_005471, Xenia_spec_Xe_005454_T1 Xe_005454_T1 Xe_005454
OG0000041	Ephydatia_muelleri_Em0020g781a Em0020g781a, Ephydatia_muelleri_Em0398g6a Em0398g6a	Xenia_spec_Xe_012595_T1 Xe_012595_T1 Xe_012595
OG0000044	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377
OG0000045	Ephydatia_muelleri_Em0009g1117a Em0009g1117a	Xenia_spec_Xe_002601_T1 Xe_002601_T1 Xe_002601
OG0000049	Ephydatia_muelleri_Em0014g267a Em0014g267a	Xenia_spec_Xe_014133_T1 Xe_014133_T1 Xe_014133
OG0000051	Ephydatia_muelleri_Em0024g143a Em0024g143a, Ephydatia_muelleri_Em0024g142a Em0024g142a	Xenia_spec_Xe_016324_T2 Xe_016324_T2 Xe_016324, Xenia_spec_Xe_016324_T1 Xe_016324_T1 Xe_016324
OG0000054	Ephydatia_muelleri_Em0001g3101a Em0001g3101a	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386
OG0000054	Ephydatia_muelleri_Em0005g1163a Em0005g1163a	Xenia_spec_Xe_002676_T1 Xe_002676_T1 Xe_002676
OG0000058	Ephydatia_muelleri_Em0006g1503a Em0006g1503a	Xenia_spec_Xe_018432_T1 Xe_018432_T1 Xe_018432, Xenia_spec_Xe_018431_T1 Xe_018431_T1 Xe_018431, Xenia_spec_Xe_018421_T1 Xe_018421_T1 Xe_018421, Xenia_spec_Xe_018425_T1 Xe_018425_T1 Xe_018425, Xenia_spec_Xe_018257_T1 Xe_018257_T1 Xe_018257, Xenia_spec_Xe_018259_T1 Xe_018259_T1 Xe_018259, Xenia_spec_Xe_008100_T1 Xe_008100_T1 Xe_008100
OG0000061	Ephydatia_muelleri_Em0020g592a Em0020g592a, Ephydatia_muelleri_Em0020g589a Em0020g589a, Ephydatia_muelleri_Em0020g577a Em0020g577a, Ephydatia_muelleri_Em0020g575a Em0020g575a, Ephydatia_muelleri_Em0020g574a Em0020g574a, Ephydatia_muelleri_Em0020g591a Em0020g591a, Ephydatia_muelleri_Em0020g594a Em0020g594a, Ephydatia_muelleri_Em0020g605a Em0020g605a	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790
OG0000065	Ephydatia_muelleri_Em0021g136a Em0021g136a, Ephydatia_muelleri_Em0021g28a Em0021g28a	Xenia_spec_Xe_015613_T1 Xe_015613_T1 Xe_015613
OG0000081	Ephydatia_muelleri_Em0001g262a Em0001g262a	Xenia_spec_Xe_004317_T1 Xe_004317_T1 Xe_004317
OG0000083	Ephydatia_muelleri_Em0023g687a Em0023g687a, Ephydatia_muelleri_Em0023g690a Em0023g690a	Xenia_spec_Xe_012872_T2 Xe_012872_T2 Xe_012872, Xenia_spec_Xe_012872_T1 Xe_012872_T1 Xe_012872
OG0000103	Ephydatia_muelleri_Em0009g1125a Em0009g1125a	Xenia_spec_Xe_009673_T1 Xe_009673_T1 Xe_009673
OG0000111	Ephydatia_muelleri_Em0020g1027a Em0020g1027a	Xenia_spec_Xe_018449_T1 Xe_018449_T1 Xe_018449
OG0000113	Ephydatia_muelleri_Em0021g76a Em0021g76a	Xenia_spec_Xe_014684_T1 Xe_014684_T1 Xe_014684
OG0000114	Ephydatia_muelleri_Em0014g123a Em0014g123a, Ephydatia_muelleri_Em0014g127a Em0014g127a	Xenia_spec_Xe_015898_T1 Xe_015898_T1 Xe_015898
OG0000119	Ephydatia_muelleri_Em0011g673a Em0011g673a	Xenia_spec_Xe_000603_T1 Xe_000603_T1 Xe_000603
OG0000121	Ephydatia_muelleri_Em0010g817a Em0010g817a, Ephydatia_muelleri_Em0021g539a Em0021g539a	Xenia_spec_Xe_002883_T1 Xe_002883_T1 Xe_002883
OG0000131	Ephydatia_muelleri_Em0008g193a Em0008g193a, Ephydatia_muelleri_Em0008g173a Em0008g173a, Ephydatia_muelleri_Em0008g203a Em0008g203a, Ephydatia_muelleri_Em0008g167a Em0008g167a, Ephydatia_muelleri_Em0008g172a Em0008g172a, Ephydatia_muelleri_Em0008g335a Em0008g335a, Ephydatia_muelleri_Em0008g332a Em0008g332a, Ephydatia_muelleri_Em0008g324a Em0008g324a	Xenia_spec_Xe_012716_T1 Xe_012716_T1 Xe_012716
OG0000133	Ephydatia_muelleri_Em0005g1588a Em0005g1588a	Xenia_spec_Xe_002448_T1 Xe_002448_T1 Xe_002448
OG0000147	Ephydatia_muelleri_Em0020g1008a Em0020g1008a, Ephydatia_muelleri_Em0020g802a Em0020g802a	Xenia_spec_Xe_010957_T1 Xe_010957_T1 Xe_010957, Xenia_spec_Xe_011005_T1 Xe_011005_T1 Xe_011005
OG0000158	Ephydatia_muelleri_Em0023g200a Em0023g200a	Xenia_spec_Xe_010642_T1 Xe_010642_T1 Xe_010642, Xenia_spec_Xe_016401_T1 Xe_016401_T1 Xe_016401, Xenia_spec_Xe_016396_T1 Xe_016396_T1 Xe_016396
OG0000159	Ephydatia_muelleri_Em0013g93a Em0013g93a, Ephydatia_muelleri_Em0002g1824a Em0002g1824a	Xenia_spec_Xe_013605_T1 Xe_013605_T1 Xe_013605
OG0000165	Ephydatia_muelleri_Em0005g150a Em0005g150a, Ephydatia_muelleri_Em0005g181a Em0005g181a, Ephydatia_muelleri_Em0005g136a Em0005g136a	Xenia_spec_Xe_014466_T1 Xe_014466_T1 Xe_014466
OG0000166	Ephydatia_muelleri_Em0016g600a Em0016g600a, Ephydatia_muelleri_Em0016g747a Em0016g747a, Ephydatia_muelleri_Em0016g746a Em0016g746a, Ephydatia_muelleri_Em0016g753a Em0016g753a	Xenia_spec_Xe_001947_T1 Xe_001947_T1 Xe_001947
OG0000177	Ephydatia_muelleri_Em0008g1060a Em0008g1060a	Xenia_spec_Xe_012642_T1 Xe_012642_T1 Xe_012642
OG0000182	Ephydatia_muelleri_Em0020g994a Em0020g994a, Ephydatia_muelleri_Em0714g1a Em0714g1a	Xenia_spec_Xe_018472_T1 Xe_018472_T1 Xe_018472, Xenia_spec_Xe_018473_T1 Xe_018473_T1 Xe_018473
OG0000184	Ephydatia_muelleri_Em0020g39a Em0020g39a, Ephydatia_muelleri_Em0020g43a Em0020g43a	Xenia_spec_Xe_004255_T1 Xe_004255_T1 Xe_004255, Xenia_spec_Xe_004160_T1 Xe_004160_T1 Xe_004160
OG0000187	Ephydatia_muelleri_Em0677g4a Em0677g4a, Ephydatia_muelleri_Em0679g4a Em0679g4a, Ephydatia_muelleri_Em0018g421a Em0018g421a	Xenia_spec_Xe_005860_T1 Xe_005860_T1 Xe_005860, Xenia_spec_Xe_005930_T1 Xe_005930_T1 Xe_005930
OG0000193	Ephydatia_muelleri_Em0008g372a Em0008g372a	Xenia_spec_Xe_008475_T1 Xe_008475_T1 Xe_008475
OG0000195	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a	Xenia_spec_Xe_009602_T1 Xe_009602_T1 Xe_009602
OG0000200	Ephydatia_muelleri_Em0022g403a Em0022g403a	Xenia_spec_Xe_015525_T1 Xe_015525_T1 Xe_015525
OG0000204	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a	Xenia_spec_Xe_015988_T1 Xe_015988_T1 Xe_015988
OG0000214	Ephydatia_muelleri_Em0009g1219a Em0009g1219a	Xenia_spec_Xe_003060_T1 Xe_003060_T1 Xe_003060
OG0000219	Ephydatia_muelleri_Em0021g659a Em0021g659a	Xenia_spec_Xe_014122_T1 Xe_014122_T1 Xe_014122
OG0000229	Ephydatia_muelleri_Em0019g583a Em0019g583a	Xenia_spec_Xe_012336_T1 Xe_012336_T1 Xe_012336
OG0000237	Ephydatia_muelleri_Em0021g631a Em0021g631a	Xenia_spec_Xe_014192_T1 Xe_014192_T1 Xe_014192
OG0000240	Ephydatia_muelleri_Em0001g85a Em0001g85a	Xenia_spec_Xe_003918_T1 Xe_003918_T1 Xe_003918
OG0000270	Ephydatia_muelleri_Em0013g791a Em0013g791a, Ephydatia_muelleri_Em0013g790a Em0013g790a	Xenia_spec_Xe_013052_T1 Xe_013052_T1 Xe_013052
OG0000284	Ephydatia_muelleri_Em0001g1874a Em0001g1874a	Xenia_spec_Xe_015013_T1 Xe_015013_T1 Xe_015013, Xenia_spec_Xe_005296_T1 Xe_005296_T1 Xe_005296
OG0000309	Ephydatia_muelleri_Em0009g1217a Em0009g1217a	Xenia_spec_Xe_002052_T1 Xe_002052_T1 Xe_002052
OG0000363	Ephydatia_muelleri_Em0010g253a Em0010g253a	Xenia_spec_Xe_011421_T1 Xe_011421_T1 Xe_011421, Xenia_spec_Xe_011419_T1 Xe_011419_T1 Xe_011419
