Orthogroup	Ctenophora_Nuda_Beroe_ovata	Porifera_Demospongiae_Ephydatia_muelleri
OG0000013	Beroe_ovata_Bova1_4.0140.g20.t1 Bova1_4.0140.g20.t1	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a
OG0000019	Beroe_ovata_Bova1_4.0045.g60.t1 Bova1_4.0045.g60.t1	Ephydatia_muelleri_Em0016g133a Em0016g133a, Ephydatia_muelleri_Em0016g138a Em0016g138a
OG0000021	Beroe_ovata_Bova1_4.0072.g25.t1 Bova1_4.0072.g25.t1	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a
OG0000021	Beroe_ovata_Bova1_4.0018.g74.t1 Bova1_4.0018.g74.t1, Beroe_ovata_Bova1_4.0226.g12.t1 Bova1_4.0226.g12.t1	Ephydatia_muelleri_Em0001g1116a Em0001g1116a
OG0000022	Beroe_ovata_Bova1_4.0785.g1.t1 Bova1_4.0785.g1.t1, Beroe_ovata_Bova1_4.0354.g2.t1 Bova1_4.0354.g2.t1, Beroe_ovata_Bova1_4.0085.g13.t1 Bova1_4.0085.g13.t1	Ephydatia_muelleri_Em0011g323a Em0011g323a
OG0000022	Beroe_ovata_Bova1_4.0298.g2.t1 Bova1_4.0298.g2.t1, Beroe_ovata_Bova1_4.0337.g7.t1 Bova1_4.0337.g7.t1, Beroe_ovata_Bova1_4.0337.g7.t2 Bova1_4.0337.g7.t2	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a, Ephydatia_muelleri_Em0006g1280a Em0006g1280a, Ephydatia_muelleri_Em0006g1281a Em0006g1281a
OG0000024	Beroe_ovata_Bova1_4.0234.g25.t1 Bova1_4.0234.g25.t1, Beroe_ovata_Bova1_4.0234.g20.t2 Bova1_4.0234.g20.t2, Beroe_ovata_Bova1_4.0234.g20.t1 Bova1_4.0234.g20.t1, Beroe_ovata_Bova1_4.0002.g2.t1 Bova1_4.0002.g2.t1, Beroe_ovata_Bova1_4.0002.g2.t3 Bova1_4.0002.g2.t3, Beroe_ovata_Bova1_4.0002.g2.t2 Bova1_4.0002.g2.t2, Beroe_ovata_Bova1_4.0008.g32.t1 Bova1_4.0008.g32.t1	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a
OG0000028	Beroe_ovata_Bova1_4.0039.g12.t1 Bova1_4.0039.g12.t1, Beroe_ovata_Bova1_4.0039.g13.t1 Bova1_4.0039.g13.t1, Beroe_ovata_Bova1_4.0028.g12.t1 Bova1_4.0028.g12.t1, Beroe_ovata_Bova1_4.0028.g11.t1 Bova1_4.0028.g11.t1, Beroe_ovata_Bova1_4.0028.g10.t1 Bova1_4.0028.g10.t1, Beroe_ovata_Bova1_4.0039.g14.t1 Bova1_4.0039.g14.t1, Beroe_ovata_Bova1_4.0039.g15.t1 Bova1_4.0039.g15.t1, Beroe_ovata_Bova1_4.0049.g25.t1 Bova1_4.0049.g25.t1	Ephydatia_muelleri_Em0006g916a Em0006g916a
OG0000030	Beroe_ovata_Bova1_4.0151.g33.t1 Bova1_4.0151.g33.t1, Beroe_ovata_Bova1_4.0151.g32.t1 Bova1_4.0151.g32.t1, Beroe_ovata_Bova1_4.0256.g28.t2 Bova1_4.0256.g28.t2, Beroe_ovata_Bova1_4.0256.g28.t1 Bova1_4.0256.g28.t1	Ephydatia_muelleri_Em0005g1474a Em0005g1474a
OG0000030	Beroe_ovata_Bova1_4.0006.g133.t1 Bova1_4.0006.g133.t1	Ephydatia_muelleri_Em0010g847a Em0010g847a, Ephydatia_muelleri_Em0010g848a Em0010g848a
OG0000034	Beroe_ovata_Bova1_4.0642.g1.t1 Bova1_4.0642.g1.t1, Beroe_ovata_Bova1_4.0049.g39.t3 Bova1_4.0049.g39.t3, Beroe_ovata_Bova1_4.0049.g39.t4 Bova1_4.0049.g39.t4, Beroe_ovata_Bova1_4.0049.g39.t5 Bova1_4.0049.g39.t5, Beroe_ovata_Bova1_4.0049.g39.t1 Bova1_4.0049.g39.t1, Beroe_ovata_Bova1_4.0049.g39.t2 Bova1_4.0049.g39.t2	Ephydatia_muelleri_Em0013g44a Em0013g44a
OG0000041	Beroe_ovata_Bova1_4.0027.g44.t1 Bova1_4.0027.g44.t1	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a, Ephydatia_muelleri_Em0020g781a Em0020g781a, Ephydatia_muelleri_Em0398g6a Em0398g6a
OG0000044	Beroe_ovata_Bova1_4.0038.g71.t1 Bova1_4.0038.g71.t1	Ephydatia_muelleri_Em0005g1033a Em0005g1033a, Ephydatia_muelleri_Em0012g1083a Em0012g1083a, Ephydatia_muelleri_Em0012g1079a Em0012g1079a
OG0000045	Beroe_ovata_Bova1_4.0938.g1.t1 Bova1_4.0938.g1.t1	Ephydatia_muelleri_Em0009g1117a Em0009g1117a
OG0000049	Beroe_ovata_Bova1_4.0316.g2.t1 Bova1_4.0316.g2.t1, Beroe_ovata_Bova1_4.1059.g2.t1 Bova1_4.1059.g2.t1, Beroe_ovata_Bova1_4.0316.g1.t2 Bova1_4.0316.g1.t2, Beroe_ovata_Bova1_4.0316.g1.t1 Bova1_4.0316.g1.t1, Beroe_ovata_Bova1_4.0027.g58.t1 Bova1_4.0027.g58.t1, Beroe_ovata_Bova1_4.0027.g59.t1 Bova1_4.0027.g59.t1	Ephydatia_muelleri_Em0014g267a Em0014g267a
OG0000051	Beroe_ovata_Bova1_4.0093.g5.t1 Bova1_4.0093.g5.t1, Beroe_ovata_Bova1_4.0012.g17.t2 Bova1_4.0012.g17.t2, Beroe_ovata_Bova1_4.0012.g17.t1 Bova1_4.0012.g17.t1, Beroe_ovata_Bova1_4.0023.g89.t1 Bova1_4.0023.g89.t1	Ephydatia_muelleri_Em0024g143a Em0024g143a, Ephydatia_muelleri_Em0024g142a Em0024g142a
OG0000054	Beroe_ovata_Bova1_4.0046.g52.t1 Bova1_4.0046.g52.t1	Ephydatia_muelleri_Em0001g3101a Em0001g3101a, Ephydatia_muelleri_Em0005g1163a Em0005g1163a
OG0000058	Beroe_ovata_Bova1_4.0217.g1.t1 Bova1_4.0217.g1.t1, Beroe_ovata_Bova1_4.0047.g1.t1 Bova1_4.0047.g1.t1, Beroe_ovata_Bova1_4.0230.g20.t1 Bova1_4.0230.g20.t1, Beroe_ovata_Bova1_4.0047.g4.t1 Bova1_4.0047.g4.t1	Ephydatia_muelleri_Em0006g1503a Em0006g1503a
OG0000061	Beroe_ovata_Bova1_4.0166.g1.t2 Bova1_4.0166.g1.t2, Beroe_ovata_Bova1_4.0166.g1.t1 Bova1_4.0166.g1.t1	Ephydatia_muelleri_Em0020g592a Em0020g592a, Ephydatia_muelleri_Em0020g589a Em0020g589a, Ephydatia_muelleri_Em0020g577a Em0020g577a, Ephydatia_muelleri_Em0020g575a Em0020g575a, Ephydatia_muelleri_Em0020g574a Em0020g574a, Ephydatia_muelleri_Em0020g591a Em0020g591a, Ephydatia_muelleri_Em0020g594a Em0020g594a, Ephydatia_muelleri_Em0020g605a Em0020g605a
OG0000065	Beroe_ovata_Bova1_4.0102.g7.t1 Bova1_4.0102.g7.t1, Beroe_ovata_Bova1_4.0102.g8.t1 Bova1_4.0102.g8.t1	Ephydatia_muelleri_Em0021g136a Em0021g136a, Ephydatia_muelleri_Em0021g28a Em0021g28a
OG0000070	Beroe_ovata_Bova1_4.0502.g2.t5 Bova1_4.0502.g2.t5	Ephydatia_muelleri_Em0001g689a Em0001g689a
OG0000081	Beroe_ovata_Bova1_4.0012.g48.t3 Bova1_4.0012.g48.t3, Beroe_ovata_Bova1_4.0012.g48.t2 Bova1_4.0012.g48.t2, Beroe_ovata_Bova1_4.0012.g48.t1 Bova1_4.0012.g48.t1	Ephydatia_muelleri_Em0001g262a Em0001g262a
OG0000103	Beroe_ovata_Bova1_4.0001.g4.t1 Bova1_4.0001.g4.t1, Beroe_ovata_Bova1_4.0001.g5.t1 Bova1_4.0001.g5.t1	Ephydatia_muelleri_Em0009g1125a Em0009g1125a
OG0000106	Beroe_ovata_Bova1_4.0273.g10.t1 Bova1_4.0273.g10.t1, Beroe_ovata_Bova1_4.0273.g11.t1 Bova1_4.0273.g11.t1, Beroe_ovata_Bova1_4.0273.g7.t1 Bova1_4.0273.g7.t1, Beroe_ovata_Bova1_4.0269.g12.t1 Bova1_4.0269.g12.t1, Beroe_ovata_Bova1_4.0033.g43.t1 Bova1_4.0033.g43.t1, Beroe_ovata_Bova1_4.0180.g26.t1 Bova1_4.0180.g26.t1, Beroe_ovata_Bova1_4.0112.g46.t1 Bova1_4.0112.g46.t1	Ephydatia_muelleri_Em0001g2050a Em0001g2050a
OG0000113	Beroe_ovata_Bova1_4.0104.g16.t1 Bova1_4.0104.g16.t1, Beroe_ovata_Bova1_4.0104.g16.t2 Bova1_4.0104.g16.t2	Ephydatia_muelleri_Em0021g76a Em0021g76a
OG0000114	Beroe_ovata_Bova1_4.0155.g12.t1 Bova1_4.0155.g12.t1, Beroe_ovata_Bova1_4.0155.g12.t2 Bova1_4.0155.g12.t2	Ephydatia_muelleri_Em0014g123a Em0014g123a, Ephydatia_muelleri_Em0014g127a Em0014g127a
OG0000119	Beroe_ovata_Bova1_4.0022.g107.t1 Bova1_4.0022.g107.t1, Beroe_ovata_Bova1_4.0022.g109.t1 Bova1_4.0022.g109.t1	Ephydatia_muelleri_Em0011g673a Em0011g673a
OG0000133	Beroe_ovata_Bova1_4.0231.g5.t2 Bova1_4.0231.g5.t2, Beroe_ovata_Bova1_4.0231.g5.t1 Bova1_4.0231.g5.t1	Ephydatia_muelleri_Em0005g1588a Em0005g1588a
OG0000134	Beroe_ovata_Bova1_4.0165.g23.t1 Bova1_4.0165.g23.t1, Beroe_ovata_Bova1_4.0165.g23.t2 Bova1_4.0165.g23.t2, Beroe_ovata_Bova1_4.0165.g23.t3 Bova1_4.0165.g23.t3	Ephydatia_muelleri_Em0016g534a Em0016g534a
OG0000146	Beroe_ovata_Bova1_4.0152.g23.t1 Bova1_4.0152.g23.t1, Beroe_ovata_Bova1_4.0152.g24.t1 Bova1_4.0152.g24.t1	Ephydatia_muelleri_Em0013g300a Em0013g300a, Ephydatia_muelleri_Em0013g294a Em0013g294a
OG0000148	Beroe_ovata_Bova1_4.0104.g11.t1 Bova1_4.0104.g11.t1	Ephydatia_muelleri_Em0015g1213a Em0015g1213a, Ephydatia_muelleri_Em0015g1236a Em0015g1236a
OG0000152	Beroe_ovata_Bova1_4.0464.g3.t1 Bova1_4.0464.g3.t1	Ephydatia_muelleri_Em0017g45a Em0017g45a, Ephydatia_muelleri_Em0017g29a Em0017g29a
OG0000156	Beroe_ovata_Bova1_4.0124.g23.t1 Bova1_4.0124.g23.t1	Ephydatia_muelleri_Em0017g31a Em0017g31a
OG0000159	Beroe_ovata_Bova1_4.0003.g170.t1 Bova1_4.0003.g170.t1	Ephydatia_muelleri_Em0013g93a Em0013g93a, Ephydatia_muelleri_Em0002g1824a Em0002g1824a
OG0000165	Beroe_ovata_Bova1_4.0080.g32.t1 Bova1_4.0080.g32.t1, Beroe_ovata_Bova1_4.0080.g31.t1 Bova1_4.0080.g31.t1	Ephydatia_muelleri_Em0005g150a Em0005g150a, Ephydatia_muelleri_Em0005g181a Em0005g181a, Ephydatia_muelleri_Em0005g136a Em0005g136a
OG0000177	Beroe_ovata_Bova1_4.0025.g79.t1 Bova1_4.0025.g79.t1	Ephydatia_muelleri_Em0008g1060a Em0008g1060a
OG0000179	Beroe_ovata_Bova1_4.0067.g31.t1 Bova1_4.0067.g31.t1	Ephydatia_muelleri_Em0003g259a Em0003g259a
OG0000182	Beroe_ovata_Bova1_4.0038.g27.t1 Bova1_4.0038.g27.t1	Ephydatia_muelleri_Em0020g994a Em0020g994a, Ephydatia_muelleri_Em0714g1a Em0714g1a
OG0000187	Beroe_ovata_Bova1_4.0039.g18.t1 Bova1_4.0039.g18.t1	Ephydatia_muelleri_Em0677g4a Em0677g4a, Ephydatia_muelleri_Em0679g4a Em0679g4a, Ephydatia_muelleri_Em0018g421a Em0018g421a
OG0000193	Beroe_ovata_Bova1_4.0008.g11.t1 Bova1_4.0008.g11.t1, Beroe_ovata_Bova1_4.0008.g9.t1 Bova1_4.0008.g9.t1	Ephydatia_muelleri_Em0008g372a Em0008g372a
OG0000194	Beroe_ovata_Bova1_4.0138.g26.t1 Bova1_4.0138.g26.t1	Ephydatia_muelleri_Em0014g778a Em0014g778a, Ephydatia_muelleri_Em0014g767a Em0014g767a
OG0000195	Beroe_ovata_Bova1_4.0190.g12.t1 Bova1_4.0190.g12.t1	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a
OG0000200	Beroe_ovata_Bova1_4.0002.g138.t1 Bova1_4.0002.g138.t1	Ephydatia_muelleri_Em0022g403a Em0022g403a
OG0000204	Beroe_ovata_Bova1_4.0059.g16.t1 Bova1_4.0059.g16.t1, Beroe_ovata_Bova1_4.0059.g17.t1 Bova1_4.0059.g17.t1	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a
OG0000214	Beroe_ovata_Bova1_4.0015.g97.t1 Bova1_4.0015.g97.t1	Ephydatia_muelleri_Em0009g1219a Em0009g1219a
OG0000219	Beroe_ovata_Bova1_4.0029.g52.t1 Bova1_4.0029.g52.t1	Ephydatia_muelleri_Em0021g659a Em0021g659a
OG0000237	Beroe_ovata_Bova1_4.0123.g22.t1 Bova1_4.0123.g22.t1	Ephydatia_muelleri_Em0021g631a Em0021g631a
OG0000240	Beroe_ovata_Bova1_4.0275.g12.t1 Bova1_4.0275.g12.t1	Ephydatia_muelleri_Em0001g85a Em0001g85a
OG0000400	Beroe_ovata_Bova1_4.0004.g104.t1 Bova1_4.0004.g104.t1, Beroe_ovata_Bova1_4.0004.g103.t1 Bova1_4.0004.g103.t1, Beroe_ovata_Bova1_4.0114.g5.t1 Bova1_4.0114.g5.t1	Ephydatia_muelleri_Em0016g543a Em0016g543a
OG0000922	Beroe_ovata_Bova1_4.0164.g10.t1 Bova1_4.0164.g10.t1	Ephydatia_muelleri_Em0001g3819a Em0001g3819a
