Orthogroup	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000002	Beroe_ovata_Bova1_4.0006.g158.t1 Bova1_4.0006.g158.t1	Mnemiopsis_leidyi_ML014910a ML014910a
OG0000002	Beroe_ovata_Bova1_4.0022.g96.t1 Bova1_4.0022.g96.t1	Mnemiopsis_leidyi_ML04601a ML04601a
OG0000002	Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1	Mnemiopsis_leidyi_ML06976a ML06976a
OG0000002	Beroe_ovata_Bova1_4.0019.g34.t1 Bova1_4.0019.g34.t1	Mnemiopsis_leidyi_ML049019a ML049019a
OG0000002	Beroe_ovata_Bova1_4.0105.g2.t1 Bova1_4.0105.g2.t1, Beroe_ovata_Bova1_4.0092.g42.t1 Bova1_4.0092.g42.t1	Mnemiopsis_leidyi_ML34222a ML34222a
OG0000002	Beroe_ovata_Bova1_4.0059.g49.t3 Bova1_4.0059.g49.t3, Beroe_ovata_Bova1_4.0059.g49.t1 Bova1_4.0059.g49.t1, Beroe_ovata_Bova1_4.0059.g49.t2 Bova1_4.0059.g49.t2, Beroe_ovata_Bova1_4.0024.g32.t1 Bova1_4.0024.g32.t1	Mnemiopsis_leidyi_ML05979a ML05979a
OG0000002	Beroe_ovata_Bova1_4.0560.g1.t1 Bova1_4.0560.g1.t1	Mnemiopsis_leidyi_ML08108a ML08108a
OG0000002	Beroe_ovata_Bova1_4.0022.g39.t1 Bova1_4.0022.g39.t1	Mnemiopsis_leidyi_ML05299a ML05299a
OG0000002	Beroe_ovata_Bova1_4.0143.g14.t1 Bova1_4.0143.g14.t1	Mnemiopsis_leidyi_ML016334a ML016334a
OG0000002	Beroe_ovata_Bova1_4.0147.g36.t1 Bova1_4.0147.g36.t1	Mnemiopsis_leidyi_ML040510a ML040510a
OG0000002	Beroe_ovata_Bova1_4.0116.g21.t1 Bova1_4.0116.g21.t1	Mnemiopsis_leidyi_ML27988a ML27988a
OG0000002	Beroe_ovata_Bova1_4.0113.g24.t1 Bova1_4.0113.g24.t1, Beroe_ovata_Bova1_4.0113.g23.t1 Bova1_4.0113.g23.t1, Beroe_ovata_Bova1_4.0068.g44.t1 Bova1_4.0068.g44.t1	Mnemiopsis_leidyi_ML10553a ML10553a, Mnemiopsis_leidyi_ML14987a ML14987a, Mnemiopsis_leidyi_ML090217a ML090217a
OG0000003	Beroe_ovata_Bova1_4.0188.g3.t1 Bova1_4.0188.g3.t1, Beroe_ovata_Bova1_4.0188.g5.t1 Bova1_4.0188.g5.t1	Mnemiopsis_leidyi_ML01785a ML01785a
OG0000003	Beroe_ovata_Bova1_4.0552.g4.t1 Bova1_4.0552.g4.t1, Beroe_ovata_Bova1_4.0203.g12.t2 Bova1_4.0203.g12.t2, Beroe_ovata_Bova1_4.0203.g12.t1 Bova1_4.0203.g12.t1, Beroe_ovata_Bova1_4.0552.g5.t1 Bova1_4.0552.g5.t1, Beroe_ovata_Bova1_4.0203.g13.t1 Bova1_4.0203.g13.t1	Mnemiopsis_leidyi_ML216321a ML216321a
OG0000003	Beroe_ovata_Bova1_4.0033.g69.t1 Bova1_4.0033.g69.t1	Mnemiopsis_leidyi_ML056959a ML056959a
OG0000003	Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1	Mnemiopsis_leidyi_ML090113a ML090113a
OG0000004	Beroe_ovata_Bova1_4.0153.g12.t1 Bova1_4.0153.g12.t1, Beroe_ovata_Bova1_4.0070.g19.t1 Bova1_4.0070.g19.t1, Beroe_ovata_Bova1_4.0153.g8.t1 Bova1_4.0153.g8.t1, Beroe_ovata_Bova1_4.0070.g24.t1 Bova1_4.0070.g24.t1, Beroe_ovata_Bova1_4.0070.g25.t1 Bova1_4.0070.g25.t1	Mnemiopsis_leidyi_ML077636a ML077636a, Mnemiopsis_leidyi_ML270522a ML270522a
OG0000004	Beroe_ovata_Bova1_4.0124.g42.t1 Bova1_4.0124.g42.t1	Mnemiopsis_leidyi_ML306110a ML306110a
OG0000004	Beroe_ovata_Bova1_4.0089.g49.t1 Bova1_4.0089.g49.t1	Mnemiopsis_leidyi_ML00359a ML00359a
OG0000005	Beroe_ovata_Bova1_4.0134.g16.t1 Bova1_4.0134.g16.t1	Mnemiopsis_leidyi_ML104615a ML104615a, Mnemiopsis_leidyi_ML104616a ML104616a
OG0000005	Beroe_ovata_Bova1_4.0259.g12.t1 Bova1_4.0259.g12.t1	Mnemiopsis_leidyi_ML073410a ML073410a
OG0000005	Beroe_ovata_Bova1_4.0020.g36.t1 Bova1_4.0020.g36.t1, Beroe_ovata_Bova1_4.0020.g37.t1 Bova1_4.0020.g37.t1	Mnemiopsis_leidyi_ML19042a ML19042a
OG0000005	Beroe_ovata_Bova1_4.0019.g62.t1 Bova1_4.0019.g62.t1	Mnemiopsis_leidyi_ML05712a ML05712a
OG0000005	Beroe_ovata_Bova1_4.0040.g7.t1 Bova1_4.0040.g7.t1, Beroe_ovata_Bova1_4.0040.g7.t2 Bova1_4.0040.g7.t2	Mnemiopsis_leidyi_ML348710a ML348710a
OG0000006	Beroe_ovata_Bova1_4.0221.g2.t1 Bova1_4.0221.g2.t1	Mnemiopsis_leidyi_ML15411a ML15411a
OG0000006	Beroe_ovata_Bova1_4.0112.g36.t1 Bova1_4.0112.g36.t1	Mnemiopsis_leidyi_ML085711a ML085711a
OG0000006	Beroe_ovata_Bova1_4.0105.g13.t2 Bova1_4.0105.g13.t2, Beroe_ovata_Bova1_4.0105.g13.t1 Bova1_4.0105.g13.t1	Mnemiopsis_leidyi_ML14766a ML14766a
OG0000006	Beroe_ovata_Bova1_4.0012.g13.t1 Bova1_4.0012.g13.t1	Mnemiopsis_leidyi_ML085031a ML085031a
OG0000006	Beroe_ovata_Bova1_4.0426.g1.t1 Bova1_4.0426.g1.t1, Beroe_ovata_Bova1_4.0137.g7.t1 Bova1_4.0137.g7.t1, Beroe_ovata_Bova1_4.0347.g7.t1 Bova1_4.0347.g7.t1, Beroe_ovata_Bova1_4.0312.g12.t1 Bova1_4.0312.g12.t1, Beroe_ovata_Bova1_4.0078.g13.t1 Bova1_4.0078.g13.t1, Beroe_ovata_Bova1_4.0002.g198.t1 Bova1_4.0002.g198.t1	Mnemiopsis_leidyi_ML002510a ML002510a
OG0000006	Beroe_ovata_Bova1_4.0164.g21.t1 Bova1_4.0164.g21.t1	Mnemiopsis_leidyi_ML03095a ML03095a, Mnemiopsis_leidyi_ML05046a ML05046a, Mnemiopsis_leidyi_ML216318a ML216318a, Mnemiopsis_leidyi_ML141715a ML141715a, Mnemiopsis_leidyi_ML218836a ML218836a
OG0000006	Beroe_ovata_Bova1_4.1808.g1.t1 Bova1_4.1808.g1.t1	Mnemiopsis_leidyi_ML077215a ML077215a
OG0000006	Beroe_ovata_Bova1_4.0097.g23.t1 Bova1_4.0097.g23.t1, Beroe_ovata_Bova1_4.0097.g22.t1 Bova1_4.0097.g22.t1	Mnemiopsis_leidyi_ML077218a ML077218a
OG0000006	Beroe_ovata_Bova1_4.0170.g6.t2 Bova1_4.0170.g6.t2, Beroe_ovata_Bova1_4.0170.g6.t1 Bova1_4.0170.g6.t1	Mnemiopsis_leidyi_ML105420a ML105420a
OG0000006	Beroe_ovata_Bova1_4.0005.g63.t1 Bova1_4.0005.g63.t1, Beroe_ovata_Bova1_4.0005.g61.t1 Bova1_4.0005.g61.t1	Mnemiopsis_leidyi_ML105421a ML105421a
OG0000006	Beroe_ovata_Bova1_4.0328.g2.t1 Bova1_4.0328.g2.t1	Mnemiopsis_leidyi_ML01677a ML01677a
OG0000006	Beroe_ovata_Bova1_4.0012.g91.t1 Bova1_4.0012.g91.t1	Mnemiopsis_leidyi_ML07913a ML07913a
OG0000006	Beroe_ovata_Bova1_4.0133.g48.t1 Bova1_4.0133.g48.t1, Beroe_ovata_Bova1_4.2351.g1.t1 Bova1_4.2351.g1.t1, Beroe_ovata_Bova1_4.0133.g49.t1 Bova1_4.0133.g49.t1	Mnemiopsis_leidyi_ML274611a ML274611a
OG0000007	Beroe_ovata_Bova1_4.0286.g1.t1 Bova1_4.0286.g1.t1	Mnemiopsis_leidyi_ML19192a ML19192a
OG0000008	Beroe_ovata_Bova1_4.0183.g11.t1 Bova1_4.0183.g11.t1	Mnemiopsis_leidyi_ML09866a ML09866a
OG0000009	Beroe_ovata_Bova1_4.0295.g20.t1 Bova1_4.0295.g20.t1, Beroe_ovata_Bova1_4.0295.g17.t1 Bova1_4.0295.g17.t1	Mnemiopsis_leidyi_ML31401a ML31401a
OG0000009	Beroe_ovata_Bova1_4.0063.g33.t1 Bova1_4.0063.g33.t1	Mnemiopsis_leidyi_ML007435a ML007435a
OG0000010	Beroe_ovata_Bova1_4.0001.g27.t1 Bova1_4.0001.g27.t1	Mnemiopsis_leidyi_ML073043a ML073043a
OG0000010	Beroe_ovata_Bova1_4.0400.g1.t1 Bova1_4.0400.g1.t1	Mnemiopsis_leidyi_ML14872a ML14872a
OG0000010	Beroe_ovata_Bova1_4.0065.g13.t2 Bova1_4.0065.g13.t2, Beroe_ovata_Bova1_4.0065.g13.t1 Bova1_4.0065.g13.t1	Mnemiopsis_leidyi_ML010533a ML010533a
OG0000010	Beroe_ovata_Bova1_4.0203.g21.t1 Bova1_4.0203.g21.t1	Mnemiopsis_leidyi_ML004921a ML004921a
OG0000010	Beroe_ovata_Bova1_4.0344.g2.t1 Bova1_4.0344.g2.t1, Beroe_ovata_Bova1_4.0113.g30.t1 Bova1_4.0113.g30.t1, Beroe_ovata_Bova1_4.0113.g29.t1 Bova1_4.0113.g29.t1	Mnemiopsis_leidyi_ML00905a ML00905a
OG0000011	Beroe_ovata_Bova1_4.0021.g15.t1 Bova1_4.0021.g15.t1	Mnemiopsis_leidyi_ML10905a ML10905a
OG0000011	Beroe_ovata_Bova1_4.0020.g34.t1 Bova1_4.0020.g34.t1	Mnemiopsis_leidyi_ML20267a ML20267a, Mnemiopsis_leidyi_ML20266a ML20266a, Mnemiopsis_leidyi_ML070825a ML070825a, Mnemiopsis_leidyi_ML017921a ML017921a
OG0000011	Beroe_ovata_Bova1_4.0302.g5.t1 Bova1_4.0302.g5.t1, Beroe_ovata_Bova1_4.0302.g5.t2 Bova1_4.0302.g5.t2, Beroe_ovata_Bova1_4.0010.g40.t1 Bova1_4.0010.g40.t1, Beroe_ovata_Bova1_4.0064.g23.t1 Bova1_4.0064.g23.t1, Beroe_ovata_Bova1_4.0064.g22.t1 Bova1_4.0064.g22.t1, Beroe_ovata_Bova1_4.0015.g70.t1 Bova1_4.0015.g70.t1, Beroe_ovata_Bova1_4.0015.g69.t1 Bova1_4.0015.g69.t1, Beroe_ovata_Bova1_4.0392.g3.t1 Bova1_4.0392.g3.t1, Beroe_ovata_Bova1_4.0080.g30.t1 Bova1_4.0080.g30.t1	Mnemiopsis_leidyi_ML040527a ML040527a, Mnemiopsis_leidyi_ML049626a ML049626a
OG0000011	Beroe_ovata_Bova1_4.0180.g2.t1 Bova1_4.0180.g2.t1	Mnemiopsis_leidyi_ML020038a ML020038a, Mnemiopsis_leidyi_ML24001a ML24001a, Mnemiopsis_leidyi_ML07111a ML07111a, Mnemiopsis_leidyi_ML30814a ML30814a, Mnemiopsis_leidyi_ML00872a ML00872a, Mnemiopsis_leidyi_ML120750a ML120750a, Mnemiopsis_leidyi_ML046712a ML046712a
OG0000011	Beroe_ovata_Bova1_4.0029.g24.t1 Bova1_4.0029.g24.t1	Mnemiopsis_leidyi_ML07112a ML07112a
OG0000011	Beroe_ovata_Bova1_4.0488.g3.t1 Bova1_4.0488.g3.t1, Beroe_ovata_Bova1_4.0129.g13.t1 Bova1_4.0129.g13.t1, Beroe_ovata_Bova1_4.0137.g25.t1 Bova1_4.0137.g25.t1	Mnemiopsis_leidyi_ML011731a ML011731a
OG0000011	Beroe_ovata_Bova1_4.0201.g17.t1 Bova1_4.0201.g17.t1	Mnemiopsis_leidyi_ML170111a ML170111a
OG0000011	Beroe_ovata_Bova1_4.0084.g28.t1 Bova1_4.0084.g28.t1	Mnemiopsis_leidyi_ML07915a ML07915a, Mnemiopsis_leidyi_ML156510a ML156510a, Mnemiopsis_leidyi_ML14971a ML14971a, Mnemiopsis_leidyi_ML311627a ML311627a, Mnemiopsis_leidyi_ML13771a ML13771a, Mnemiopsis_leidyi_ML011717a ML011717a, Mnemiopsis_leidyi_ML011718a ML011718a
OG0000011	Beroe_ovata_Bova1_4.0169.g24.t1 Bova1_4.0169.g24.t1	Mnemiopsis_leidyi_ML00645a ML00645a
OG0000012	Beroe_ovata_Bova1_4.0198.g23.t1 Bova1_4.0198.g23.t1	Mnemiopsis_leidyi_ML03227a ML03227a
OG0000012	Beroe_ovata_Bova1_4.0322.g6.t1 Bova1_4.0322.g6.t1	Mnemiopsis_leidyi_ML231816a ML231816a
OG0000012	Beroe_ovata_Bova1_4.0055.g43.t1 Bova1_4.0055.g43.t1	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a
OG0000012	Beroe_ovata_Bova1_4.0090.g28.t2 Bova1_4.0090.g28.t2, Beroe_ovata_Bova1_4.0090.g28.t1 Bova1_4.0090.g28.t1, Beroe_ovata_Bova1_4.0548.g1.t2 Bova1_4.0548.g1.t2, Beroe_ovata_Bova1_4.0548.g1.t1 Bova1_4.0548.g1.t1	Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a
OG0000012	Beroe_ovata_Bova1_4.0289.g14.t1 Bova1_4.0289.g14.t1, Beroe_ovata_Bova1_4.1104.g1.t1 Bova1_4.1104.g1.t1, Beroe_ovata_Bova1_4.0289.g13.t1 Bova1_4.0289.g13.t1	Mnemiopsis_leidyi_ML03131a ML03131a
OG0000012	Beroe_ovata_Bova1_4.0022.g13.t1 Bova1_4.0022.g13.t1	Mnemiopsis_leidyi_ML22301a ML22301a, Mnemiopsis_leidyi_ML173711a ML173711a
OG0000012	Beroe_ovata_Bova1_4.0002.g147.t1 Bova1_4.0002.g147.t1, Beroe_ovata_Bova1_4.0002.g148.t1 Bova1_4.0002.g148.t1	Mnemiopsis_leidyi_ML145831a ML145831a
OG0000012	Beroe_ovata_Bova1_4.0016.g45.t1 Bova1_4.0016.g45.t1, Beroe_ovata_Bova1_4.0334.g4.t1 Bova1_4.0334.g4.t1, Beroe_ovata_Bova1_4.0334.g5.t1 Bova1_4.0334.g5.t1	Mnemiopsis_leidyi_ML019233a ML019233a
OG0000012	Beroe_ovata_Bova1_4.0016.g46.t1 Bova1_4.0016.g46.t1	Mnemiopsis_leidyi_ML07218a ML07218a
OG0000012	Beroe_ovata_Bova1_4.0040.g53.t1 Bova1_4.0040.g53.t1, Beroe_ovata_Bova1_4.0040.g52.t1 Bova1_4.0040.g52.t1	Mnemiopsis_leidyi_ML005212a ML005212a, Mnemiopsis_leidyi_ML14013a ML14013a, Mnemiopsis_leidyi_ML005213a ML005213a
OG0000012	Beroe_ovata_Bova1_4.0021.g74.t1 Bova1_4.0021.g74.t1	Mnemiopsis_leidyi_ML048120a ML048120a
OG0000012	Beroe_ovata_Bova1_4.0206.g5.t1 Bova1_4.0206.g5.t1, Beroe_ovata_Bova1_4.0206.g4.t1 Bova1_4.0206.g4.t1	Mnemiopsis_leidyi_ML055015a ML055015a
OG0000012	Beroe_ovata_Bova1_4.0042.g21.t1 Bova1_4.0042.g21.t1, Beroe_ovata_Bova1_4.0042.g22.t1 Bova1_4.0042.g22.t1, Beroe_ovata_Bova1_4.0602.g3.t1 Bova1_4.0602.g3.t1	Mnemiopsis_leidyi_ML18936a ML18936a
OG0000012	Beroe_ovata_Bova1_4.0463.g7.t2 Bova1_4.0463.g7.t2, Beroe_ovata_Bova1_4.0463.g7.t1 Bova1_4.0463.g7.t1, Beroe_ovata_Bova1_4.0016.g72.t1 Bova1_4.0016.g72.t1	Mnemiopsis_leidyi_ML00638a ML00638a, Mnemiopsis_leidyi_ML093517a ML093517a
OG0000012	Beroe_ovata_Bova1_4.0299.g11.t1 Bova1_4.0299.g11.t1	Mnemiopsis_leidyi_ML223525a ML223525a, Mnemiopsis_leidyi_ML32223a ML32223a
OG0000012	Beroe_ovata_Bova1_4.0496.g4.t1 Bova1_4.0496.g4.t1, Beroe_ovata_Bova1_4.0048.g63.t1 Bova1_4.0048.g63.t1, Beroe_ovata_Bova1_4.0048.g62.t1 Bova1_4.0048.g62.t1	Mnemiopsis_leidyi_ML189317a ML189317a
OG0000012	Beroe_ovata_Bova1_4.0484.g2.t1 Bova1_4.0484.g2.t1	Mnemiopsis_leidyi_ML00495a ML00495a
OG0000013	Beroe_ovata_Bova1_4.0066.g65.t1 Bova1_4.0066.g65.t1	Mnemiopsis_leidyi_ML101013a ML101013a
OG0000013	Beroe_ovata_Bova1_4.0140.g20.t1 Bova1_4.0140.g20.t1	Mnemiopsis_leidyi_ML06021a ML06021a
OG0000013	Beroe_ovata_Bova1_4.0030.g66.t1 Bova1_4.0030.g66.t1	Mnemiopsis_leidyi_ML07528a ML07528a
OG0000013	Beroe_ovata_Bova1_4.0064.g51.t1 Bova1_4.0064.g51.t1, Beroe_ovata_Bova1_4.0064.g52.t1 Bova1_4.0064.g52.t1	Mnemiopsis_leidyi_ML01051a ML01051a
OG0000015	Beroe_ovata_Bova1_4.0052.g5.t1 Bova1_4.0052.g5.t1, Beroe_ovata_Bova1_4.0628.g1.t1 Bova1_4.0628.g1.t1	Mnemiopsis_leidyi_ML25991a ML25991a
OG0000015	Beroe_ovata_Bova1_4.0080.g8.t1 Bova1_4.0080.g8.t1, Beroe_ovata_Bova1_4.0039.g24.t1 Bova1_4.0039.g24.t1, Beroe_ovata_Bova1_4.0237.g3.t1 Bova1_4.0237.g3.t1, Beroe_ovata_Bova1_4.0030.g78.t1 Bova1_4.0030.g78.t1	Mnemiopsis_leidyi_ML17012a ML17012a
OG0000016	Beroe_ovata_Bova1_4.0017.g73.t1 Bova1_4.0017.g73.t1	Mnemiopsis_leidyi_ML282519a ML282519a
OG0000016	Beroe_ovata_Bova1_4.0289.g3.t1 Bova1_4.0289.g3.t1, Beroe_ovata_Bova1_4.0289.g2.t1 Bova1_4.0289.g2.t1	Mnemiopsis_leidyi_ML22971a ML22971a
OG0000016	Beroe_ovata_Bova1_4.0108.g30.t1 Bova1_4.0108.g30.t1, Beroe_ovata_Bova1_4.0236.g7.t1 Bova1_4.0236.g7.t1	Mnemiopsis_leidyi_ML13379a ML13379a, Mnemiopsis_leidyi_ML073224a ML073224a
OG0000016	Beroe_ovata_Bova1_4.0254.g4.t1 Bova1_4.0254.g4.t1	Mnemiopsis_leidyi_ML305524a ML305524a
OG0000016	Beroe_ovata_Bova1_4.0289.g10.t1 Bova1_4.0289.g10.t1, Beroe_ovata_Bova1_4.0289.g9.t1 Bova1_4.0289.g9.t1	Mnemiopsis_leidyi_ML227810a ML227810a, Mnemiopsis_leidyi_ML14713a ML14713a, Mnemiopsis_leidyi_ML14714a ML14714a, Mnemiopsis_leidyi_ML030215a ML030215a, Mnemiopsis_leidyi_ML35325a ML35325a
OG0000016	Beroe_ovata_Bova1_4.3261.g1.t1 Bova1_4.3261.g1.t1	Mnemiopsis_leidyi_ML33825a ML33825a
OG0000016	Beroe_ovata_Bova1_4.0098.g32.t1 Bova1_4.0098.g32.t1	Mnemiopsis_leidyi_ML11342a ML11342a, Mnemiopsis_leidyi_ML104211a ML104211a, Mnemiopsis_leidyi_ML218938a ML218938a
OG0000016	Beroe_ovata_Bova1_4.0028.g5.t1 Bova1_4.0028.g5.t1	Mnemiopsis_leidyi_ML077631a ML077631a
OG0000016	Beroe_ovata_Bova1_4.0001.g168.t1 Bova1_4.0001.g168.t1	Mnemiopsis_leidyi_ML175611a ML175611a, Mnemiopsis_leidyi_ML19191a ML19191a
OG0000017	Beroe_ovata_Bova1_4.0122.g5.t1 Bova1_4.0122.g5.t1, Beroe_ovata_Bova1_4.0122.g4.t1 Bova1_4.0122.g4.t1	Mnemiopsis_leidyi_ML025013a ML025013a
OG0000017	Beroe_ovata_Bova1_4.0025.g11.t1 Bova1_4.0025.g11.t1	Mnemiopsis_leidyi_ML005334a ML005334a, Mnemiopsis_leidyi_ML098613a ML098613a, Mnemiopsis_leidyi_ML098614a ML098614a
OG0000017	Beroe_ovata_Bova1_4.0021.g29.t1 Bova1_4.0021.g29.t1	Mnemiopsis_leidyi_ML023111a ML023111a
OG0000017	Beroe_ovata_Bova1_4.0101.g29.t1 Bova1_4.0101.g29.t1	Mnemiopsis_leidyi_ML200229a ML200229a
OG0000018	Beroe_ovata_Bova1_4.0023.g78.t1 Bova1_4.0023.g78.t1, Beroe_ovata_Bova1_4.0023.g78.t2 Bova1_4.0023.g78.t2	Mnemiopsis_leidyi_ML044129a ML044129a
OG0000019	Beroe_ovata_Bova1_4.0045.g60.t1 Bova1_4.0045.g60.t1	Mnemiopsis_leidyi_ML368911a ML368911a, Mnemiopsis_leidyi_ML368915a ML368915a
OG0000019	Beroe_ovata_Bova1_4.0002.g73.t1 Bova1_4.0002.g73.t1, Beroe_ovata_Bova1_4.0002.g74.t1 Bova1_4.0002.g74.t1	Mnemiopsis_leidyi_ML102235a ML102235a
OG0000019	Beroe_ovata_Bova1_4.0050.g21.t1 Bova1_4.0050.g21.t1, Beroe_ovata_Bova1_4.0050.g20.t1 Bova1_4.0050.g20.t1	Mnemiopsis_leidyi_ML35889a ML35889a
OG0000019	Beroe_ovata_Bova1_4.0118.g26.t1 Bova1_4.0118.g26.t1	Mnemiopsis_leidyi_ML19322b ML19322b
OG0000019	Beroe_ovata_Bova1_4.0186.g10.t1 Bova1_4.0186.g10.t1	Mnemiopsis_leidyi_ML200252a ML200252a, Mnemiopsis_leidyi_ML200253a ML200253a
OG0000019	Beroe_ovata_Bova1_4.0040.g35.t3 Bova1_4.0040.g35.t3, Beroe_ovata_Bova1_4.0040.g35.t2 Bova1_4.0040.g35.t2	Mnemiopsis_leidyi_ML218835a ML218835a
OG0000019	Beroe_ovata_Bova1_4.0137.g24.t1 Bova1_4.0137.g24.t1, Beroe_ovata_Bova1_4.0137.g23.t1 Bova1_4.0137.g23.t1	Mnemiopsis_leidyi_ML34871b ML34871b
OG0000021	Beroe_ovata_Bova1_4.0007.g25.t2 Bova1_4.0007.g25.t2, Beroe_ovata_Bova1_4.0007.g25.t3 Bova1_4.0007.g25.t3, Beroe_ovata_Bova1_4.0007.g25.t5 Bova1_4.0007.g25.t5, Beroe_ovata_Bova1_4.0007.g25.t4 Bova1_4.0007.g25.t4, Beroe_ovata_Bova1_4.0007.g25.t1 Bova1_4.0007.g25.t1	Mnemiopsis_leidyi_ML06733a ML06733a, Mnemiopsis_leidyi_ML06732a ML06732a
OG0000021	Beroe_ovata_Bova1_4.0442.g1.t2 Bova1_4.0442.g1.t2, Beroe_ovata_Bova1_4.0442.g1.t1 Bova1_4.0442.g1.t1	Mnemiopsis_leidyi_ML094333a ML094333a
OG0000021	Beroe_ovata_Bova1_4.0288.g8.t2 Bova1_4.0288.g8.t2, Beroe_ovata_Bova1_4.0288.g8.t3 Bova1_4.0288.g8.t3, Beroe_ovata_Bova1_4.0288.g8.t4 Bova1_4.0288.g8.t4, Beroe_ovata_Bova1_4.0288.g8.t1 Bova1_4.0288.g8.t1	Mnemiopsis_leidyi_ML03664a ML03664a
OG0000021	Beroe_ovata_Bova1_4.0072.g25.t1 Bova1_4.0072.g25.t1	Mnemiopsis_leidyi_ML082718a ML082718a
OG0000021	Beroe_ovata_Bova1_4.0018.g74.t1 Bova1_4.0018.g74.t1	Mnemiopsis_leidyi_ML02274a ML02274a
OG0000022	Beroe_ovata_Bova1_4.0785.g1.t1 Bova1_4.0785.g1.t1	Mnemiopsis_leidyi_ML00134a ML00134a
OG0000022	Beroe_ovata_Bova1_4.0354.g2.t1 Bova1_4.0354.g2.t1, Beroe_ovata_Bova1_4.0085.g13.t1 Bova1_4.0085.g13.t1	Mnemiopsis_leidyi_ML139112a ML139112a
OG0000022	Beroe_ovata_Bova1_4.0298.g2.t1 Bova1_4.0298.g2.t1	Mnemiopsis_leidyi_ML148937a ML148937a
OG0000022	Beroe_ovata_Bova1_4.0337.g7.t1 Bova1_4.0337.g7.t1, Beroe_ovata_Bova1_4.0337.g7.t2 Bova1_4.0337.g7.t2	Mnemiopsis_leidyi_ML08207a ML08207a
OG0000023	Beroe_ovata_Bova1_4.0174.g1.t1 Bova1_4.0174.g1.t1, Beroe_ovata_Bova1_4.0174.g2.t1 Bova1_4.0174.g2.t1, Beroe_ovata_Bova1_4.0076.g65.t1 Bova1_4.0076.g65.t1	Mnemiopsis_leidyi_ML069122a ML069122a
OG0000023	Beroe_ovata_Bova1_4.0120.g4.t1 Bova1_4.0120.g4.t1, Beroe_ovata_Bova1_4.0595.g2.t1 Bova1_4.0595.g2.t1, Beroe_ovata_Bova1_4.0008.g40.t1 Bova1_4.0008.g40.t1	Mnemiopsis_leidyi_ML05372a ML05372a
