Orthogroup	Ctenophora_Nuda_Beroe_ovata	Cnidaria_Anthozoa_Porites_asteroides
OG0000002	Beroe_ovata_Bova1_4.0035.g60.t1 Bova1_4.0035.g60.t1	Porites_asteroides_GCKDGN102ECV3C GCKDGN102ECV3C extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Novel_hemicentin_protein__Fragment__ Match_Acc=Q5RIP6 length=356 region=2 run=R_2010_02_19_08_49_25_ xy=1669_3814
OG0000002	Beroe_ovata_Bova1_4.0176.g1.t1 Bova1_4.0176.g1.t1, Beroe_ovata_Bova1_4.2215.g1.t1 Bova1_4.2215.g1.t1	Porites_asteroides_isotig04539 isotig04539 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Titin__putative_ Match_Acc=C4QI71 gene=isogroup02807 length=1251 numContigs=1
OG0000002	Beroe_ovata_Bova1_4.0084.g30.t1 Bova1_4.0084.g30.t1, Beroe_ovata_Bova1_4.0084.g31.t1 Bova1_4.0084.g31.t1	Porites_asteroides_isotig04860 isotig04860 extracted_CDS GOMatch=D2I5A7 GOTerms=GO_0005021_GO_0005524_GO_0005576_GO_0005604_GO_0005887_GO_0005938_GO_0006468_GO_0030054_GO_0048010 Gene=Hemicentin-1_ Match_Acc=Q96RW7 gene=isogroup03128 length=1178 numContigs=1
OG0000003	Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1	Porites_asteroides_isotig31118 isotig31118 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Mutant_fibrillin-1_ Match_Acc=O88840 gene=isogroup29386 length=184 numContigs=1, Porites_asteroides_GCKDGN102E13R1 GCKDGN102E13R1 extracted_CDS GOMatch=C3ZVH8 GOTerms=GO_0005509 length=378 region=2 run=R_2010_02_19_08_49_25_ xy=1957_0527, Porites_asteroides_isotig30830 isotig30830 extracted_CDS GOMatch=A7SCA6 GOTerms=GO_0005102_GO_0005509_GO_0007165 Gene=Fibrillin-1__putative__Fragment__ Match_Acc=B7Q8G4 gene=isogroup29098 length=202 numContigs=1, Porites_asteroides_isotig10437 isotig10437 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 gene=isogroup08705 length=653 numContigs=1, Porites_asteroides_isotig02367 isotig02367 extracted_CDS GOMatch=A7RGE4 GOTerms=GO_0005509 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup01016 length=514 numContigs=2, Porites_asteroides_isotig31910 isotig31910 extracted_CDS GOMatch=B3RQ07 GOTerms=GO_0005201_GO_0005509_GO_0005578_GO_0007160_GO_0016020 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup30178 length=161 numContigs=1, Porites_asteroides_isotig10990 isotig10990 extracted_CDS GOMatch=C3YBU7 GOTerms=GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup09258 length=620 numContigs=1, Porites_asteroides_isotig26926 isotig26926 extracted_CDS GOMatch=A7RMX3 GOTerms=GO_0005509 Gene=Microneme_protein_4_ Match_Acc=Q9BI05 gene=isogroup25194 length=300 numContigs=1, Porites_asteroides_isotig01152 isotig01152 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Uromodulin_ Match_Acc=P07911 gene=isogroup00409 length=1568 numContigs=2, Porites_asteroides_isotig01153 isotig01153 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Uromodulin_ Match_Acc=P07911 gene=isogroup00409 length=1537 numContigs=2, Porites_asteroides_isotig03251 isotig03251 extracted_CDS GOMatch=A7SS60 GOTerms=GO_0005488_GO_0005529 Gene=Immunity_adhesion_receptor_DC-SIGN_ Match_Acc=B2BSM2 gene=isogroup01519 length=2316 numContigs=1, Porites_asteroides_isotig23352 isotig23352 extracted_CDS GOMatch=A7T1U0 GOTerms=GO_0005488_GO_0005529 Gene=Immunity_adhesion_receptor_DC-SIGN_ Match_Acc=B2BSM1 gene=isogroup21620 length=356 numContigs=1, Porites_asteroides_isotig11658 isotig11658 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 gene=isogroup09926 length=592 numContigs=1, Porites_asteroides_isotig23687 isotig23687 extracted_CDS GOMatch=A7REX6 GOTerms=GO_0005509 gene=isogroup21955 length=348 numContigs=1, Porites_asteroides_isotig27434 isotig27434 extracted_CDS GOMatch=A7SCM0 GOTerms=GO_0005509 gene=isogroup25702 length=291 numContigs=1
OG0000004	Beroe_ovata_Bova1_4.0153.g12.t1 Bova1_4.0153.g12.t1, Beroe_ovata_Bova1_4.0070.g19.t1 Bova1_4.0070.g19.t1, Beroe_ovata_Bova1_4.0153.g8.t1 Bova1_4.0153.g8.t1, Beroe_ovata_Bova1_4.0070.g24.t1 Bova1_4.0070.g24.t1, Beroe_ovata_Bova1_4.0070.g25.t1 Bova1_4.0070.g25.t1	Porites_asteroides_isotig05743 isotig05743 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Hedgling__Fragment__ Match_Acc=A9UIA7 gene=isogroup04011 length=1013 numContigs=1, Porites_asteroides_isotig22120 isotig22120 extracted_CDS GOMatch=B9X084 GOTerms=GO_0003824_GO_0004252_GO_0006508_GO_0008233_GO_0008236_GO_0016787 Gene=Complement_factor_B_ Match_Acc=B9X084 gene=isogroup20388 length=371 numContigs=1, Porites_asteroides_GCKDGN103G6RCQ GCKDGN103G6RCQ extracted_CDS GOMatch=A7S7G8 GOTerms=GO_0005576_GO_0010466_GO_0030414 length=229 region=3 run=R_2010_02_19_08_49_25_ xy=2830_1128
OG0000004	Beroe_ovata_Bova1_4.0262.g2.t1 Bova1_4.0262.g2.t1	Porites_asteroides_isotig10373 isotig10373 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup08641 length=657 numContigs=1
OG0000005	Beroe_ovata_Bova1_4.0259.g12.t1 Bova1_4.0259.g12.t1	Porites_asteroides_GCKDGN103GTR5D GCKDGN103GTR5D extracted_CDS GOMatch=C3XUJ9 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Peptidase_M12A_astacin_ Match_Acc=D6VK54 length=345 region=3 run=R_2010_02_19_08_49_25_ xy=2682_1839
OG0000006	Beroe_ovata_Bova1_4.0014.g28.t1 Bova1_4.0014.g28.t1	Porites_asteroides_isotig23823 isotig23823 extracted_CDS GOMatch=B9X085 GOTerms=GO_0003824_GO_0004252_GO_0005529_GO_0006508_GO_0008233 Gene=CUB_and_sushi_domain-containing_protein_1_ Match_Acc=Q923L3 gene=isogroup22091 length=348 numContigs=1
OG0000006	Beroe_ovata_Bova1_4.0012.g13.t1 Bova1_4.0012.g13.t1	Porites_asteroides_isotig04047 isotig04047 extracted_CDS GOMatch=B9X084 GOTerms=GO_0003824_GO_0004252_GO_0006508_GO_0008233_GO_0008236_GO_0016787 Gene=Complement_factor_B_ Match_Acc=B9X084 gene=isogroup02315 length=1403 numContigs=1, Porites_asteroides_isotig19270 isotig19270 extracted_CDS GOMatch=B9X084 GOTerms=GO_0003824_GO_0004252_GO_0006508_GO_0008233_GO_0008236_GO_0016787 Gene=Complement_factor_B_ Match_Acc=B9X084 gene=isogroup17538 length=406 numContigs=1
OG0000006	Beroe_ovata_Bova1_4.1808.g1.t1 Bova1_4.1808.g1.t1, Beroe_ovata_Bova1_4.0097.g29.t1 Bova1_4.0097.g29.t1, Beroe_ovata_Bova1_4.0097.g23.t1 Bova1_4.0097.g23.t1, Beroe_ovata_Bova1_4.0097.g22.t1 Bova1_4.0097.g22.t1	Porites_asteroides_isotig14031 isotig14031 extracted_CDS GOMatch=A7RFK1 GOTerms=GO_0005509 Gene=Matn1_protein__Fragment__ Match_Acc=Q7ZVP3 gene=isogroup12299 length=509 numContigs=1
OG0000006	Beroe_ovata_Bova1_4.0170.g6.t2 Bova1_4.0170.g6.t2, Beroe_ovata_Bova1_4.0170.g6.t1 Bova1_4.0170.g6.t1, Beroe_ovata_Bova1_4.0005.g63.t1 Bova1_4.0005.g63.t1, Beroe_ovata_Bova1_4.0005.g61.t1 Bova1_4.0005.g61.t1	Porites_asteroides_isotig02748 isotig02748 extracted_CDS GOMatch=A7RFK1 GOTerms=GO_0005509 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=Q4LDE5 gene=isogroup01207 length=596 numContigs=2, Porites_asteroides_GCKDGN102E0803 GCKDGN102E0803 extracted_CDS GOMatch=Q29530 GOTerms=GO_0004872 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=Q4LDE5 length=505 region=2 run=R_2010_02_19_08_49_25_ xy=1947_1637
OG0000006	Beroe_ovata_Bova1_4.0328.g2.t1 Bova1_4.0328.g2.t1, Beroe_ovata_Bova1_4.0159.g20.t1 Bova1_4.0159.g20.t1, Beroe_ovata_Bova1_4.0012.g91.t1 Bova1_4.0012.g91.t1	Porites_asteroides_isotig20852 isotig20852 extracted_CDS GOMatch=A7SQ46 GOTerms=GO_0005509 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=Q4LDE5 gene=isogroup19120 length=386 numContigs=1
OG0000007	Beroe_ovata_Bova1_4.0577.g3.t1 Bova1_4.0577.g3.t1	Porites_asteroides_isotig07687 isotig07687 extracted_CDS GOMatch=A7RVN4 GOTerms=GO_0005509 Gene=Fbln1_protein_ Match_Acc=B3DH18 gene=isogroup05955 length=796 numContigs=1
OG0000007	Beroe_ovata_Bova1_4.0286.g1.t1 Bova1_4.0286.g1.t1	Porites_asteroides_isotig02328 isotig02328 extracted_CDS GOMatch=C3YCB7 GOTerms=GO_0004867_GO_0005201_GO_0005488_GO_0005509_GO_0005578 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup00997 length=626 numContigs=2, Porites_asteroides_GCKDGN103GRWXY GCKDGN103GRWXY extracted_CDS GOMatch=A7SSL3 GOTerms=GO_0005509 Gene=cDNA_FLJ14438_fis__clone_HEMBB1000317__weakly_similar_to_FIBULIN-1__ISOFORM_D_ Match_Acc=Q96K89 length=419 region=3 run=R_2010_02_19_08_49_25_ xy=2661_0756, Porites_asteroides_isotig01804 isotig01804 extracted_CDS GOMatch=A7RSD3 GOTerms=GO_0005509 Gene=Calcium_binding_EGF_domain_containing_protein_ Match_Acc=A8PQW6 gene=isogroup00735 length=1225 numContigs=2
OG0000007	Beroe_ovata_Bova1_4.0184.g4.t3 Bova1_4.0184.g4.t3, Beroe_ovata_Bova1_4.0184.g4.t2 Bova1_4.0184.g4.t2, Beroe_ovata_Bova1_4.0184.g4.t1 Bova1_4.0184.g4.t1	Porites_asteroides_GCKDGN101B8517 GCKDGN101B8517 extracted_CDS GOMatch=C3YFE4 GOTerms=GO_0005509_GO_0016020 Gene=Matrilin-like_protein_ Match_Acc=C7SB45 length=395 region=1 run=R_2010_02_19_08_49_25_ xy=0807_1629, Porites_asteroides_GCKDGN102DPUBC GCKDGN102DPUBC extracted_CDS GOMatch=C3ZXG8 GOTerms=GO_0005509_GO_0016020 Gene=Matn2-prov_protein_ Match_Acc=Q7ZX63 length=435 region=2 run=R_2010_02_19_08_49_25_ xy=1407_1574, Porites_asteroides_isotig20832 isotig20832 extracted_CDS GOMatch=B3SE10 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=Q54YP0 gene=isogroup19100 length=387 numContigs=1
OG0000007	Beroe_ovata_Bova1_4.0012.g66.t1 Bova1_4.0012.g66.t1, Beroe_ovata_Bova1_4.0012.g65.t1 Bova1_4.0012.g65.t1	Porites_asteroides_isotig26075 isotig26075 extracted_CDS GOMatch=B9QP44 GOTerms=GO_0005201_GO_0005509_GO_0005578 Gene=Microneme_protein__putative_ Match_Acc=B9QP44 gene=isogroup24343 length=314 numContigs=1, Porites_asteroides_isotig25348 isotig25348 extracted_CDS GOMatch=A7S7V4 GOTerms=GO_0005509 Gene=Scube1_protein_ Match_Acc=Q68EF9 gene=isogroup23616 length=329 numContigs=1
OG0000007	Beroe_ovata_Bova1_4.0279.g17.t1 Bova1_4.0279.g17.t1	Porites_asteroides_GCKDGN101B3PAV GCKDGN101B3PAV extracted_CDS GOMatch=C7SB45 GOTerms=GO_0005509_GO_0007160 Gene=Matrilin-like_protein_ Match_Acc=C7SB45 length=445 region=1 run=R_2010_02_19_08_49_25_ xy=0745_0581
OG0000008	Beroe_ovata_Bova1_4.0183.g11.t1 Bova1_4.0183.g11.t1	Porites_asteroides_isotig12954 isotig12954 extracted_CDS GOMatch=Q2WBY6 GOTerms=GO_0005509_GO_0007219_GO_0007275_GO_0016020_GO_0016021_GO_0030154_GO_0050793 Gene=Notch_homolog_2__Fragment__ Match_Acc=B0V2R4 gene=isogroup11222 length=542 numContigs=1
OG0000009	Beroe_ovata_Bova1_4.0270.g12.t1 Bova1_4.0270.g12.t1	Porites_asteroides_isotig25417 isotig25417 extracted_CDS GOMatch=O97682 GOTerms=GO_0005044_GO_0016020 Gene=Tll2_protein_ Match_Acc=B7ZNA8 gene=isogroup23685 length=328 numContigs=1
OG0000010	Beroe_ovata_Bova1_4.0065.g13.t2 Bova1_4.0065.g13.t2, Beroe_ovata_Bova1_4.0065.g13.t1 Bova1_4.0065.g13.t1, Beroe_ovata_Bova1_4.0057.g8.t1 Bova1_4.0057.g8.t1	Porites_asteroides_GCKDGN103GH3OK GCKDGN103GH3OK extracted_CDS GOMatch=C3ZMG6 GOTerms=GO_0005509 Gene=Protein_eyes_shut_homolog_ Match_Acc=Q5T1H1 length=391 region=3 run=R_2010_02_19_08_49_25_ xy=2549_1682
OG0000010	Beroe_ovata_Bova1_4.0203.g21.t1 Bova1_4.0203.g21.t1	Porites_asteroides_isotig26332 isotig26332 extracted_CDS GOMatch=B3MYW1 GOTerms=GO_0007155_GO_0031012 Gene=Terribly_reduced_optic_lobes__isoform_A_ Match_Acc=Q9W4Y4 gene=isogroup24600 length=312 numContigs=1
OG0000010	Beroe_ovata_Bova1_4.0344.g2.t1 Bova1_4.0344.g2.t1, Beroe_ovata_Bova1_4.0113.g30.t1 Bova1_4.0113.g30.t1, Beroe_ovata_Bova1_4.0113.g29.t1 Bova1_4.0113.g29.t1	Porites_asteroides_isotig10815 isotig10815 extracted_CDS GOMatch=D2I4P4 GOTerms=GO_0005605_GO_0007213_GO_0031012_GO_0043113_GO_0043236 Gene=NtA_agrin_ Match_Acc=B3GQ72 gene=isogroup09083 length=632 numContigs=1, Porites_asteroides_isotig11269 isotig11269 extracted_CDS GOMatch=Q6PW72 GOTerms=GO_0005488 Gene=Follistatin_ Match_Acc=Q6PW72 gene=isogroup09537 length=603 numContigs=1
OG0000011	Beroe_ovata_Bova1_4.1430.g1.t1 Bova1_4.1430.g1.t1	Porites_asteroides_isotig15006 isotig15006 extracted_CDS GOMatch=C3ZMV3 GOTerms=GO_0003824_GO_0004252_GO_0006508_GO_0008233_GO_0008236_GO_0016787 Gene=Putative_apolipoprotein_a_-like_protein_2_ Match_Acc=Q16609 gene=isogroup13274 length=481 numContigs=1
OG0000011	Beroe_ovata_Bova1_4.0302.g5.t1 Bova1_4.0302.g5.t1, Beroe_ovata_Bova1_4.0302.g5.t2 Bova1_4.0302.g5.t2, Beroe_ovata_Bova1_4.0010.g40.t1 Bova1_4.0010.g40.t1, Beroe_ovata_Bova1_4.0064.g23.t1 Bova1_4.0064.g23.t1, Beroe_ovata_Bova1_4.0064.g22.t1 Bova1_4.0064.g22.t1, Beroe_ovata_Bova1_4.0015.g70.t1 Bova1_4.0015.g70.t1, Beroe_ovata_Bova1_4.0015.g69.t1 Bova1_4.0015.g69.t1, Beroe_ovata_Bova1_4.0392.g3.t1 Bova1_4.0392.g3.t1, Beroe_ovata_Bova1_4.0080.g30.t1 Bova1_4.0080.g30.t1, Beroe_ovata_Bova1_4.0180.g2.t1 Bova1_4.0180.g2.t1, Beroe_ovata_Bova1_4.0029.g24.t1 Bova1_4.0029.g24.t1, Beroe_ovata_Bova1_4.0214.g1.t1 Bova1_4.0214.g1.t1	Porites_asteroides_GCKDGN103GEML0 GCKDGN103GEML0 extracted_CDS GOMatch=A7RKA9 GOTerms=GO_0004672_GO_0004713_GO_0004872_GO_0005524_GO_0006468_GO_0016020_GO_0016021 Gene=Receptor_tyrosine_kinase-like_orphan_receptor__Fragment__ Match_Acc=A1IKE0 length=345 region=3 run=R_2010_02_19_08_49_25_ xy=2509_3430
OG0000012	Beroe_ovata_Bova1_4.0198.g22.t1 Bova1_4.0198.g22.t1, Beroe_ovata_Bova1_4.0198.g23.t1 Bova1_4.0198.g23.t1, Beroe_ovata_Bova1_4.0322.g6.t1 Bova1_4.0322.g6.t1	Porites_asteroides_isotig20047 isotig20047 extracted_CDS GOMatch=A7RWN6 GOTerms=GO_0004867 Gene=Gastric_mucin__Fragment__ Match_Acc=O75372 gene=isogroup18315 length=395 numContigs=1
OG0000013	Beroe_ovata_Bova1_4.0066.g65.t1 Bova1_4.0066.g65.t1	Porites_asteroides_GCKDGN102C4DAL GCKDGN102C4DAL extracted_CDS GOMatch=B0FK92 GOTerms=GO_0004871_GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=B0FK92 length=394 region=2 run=R_2010_02_19_08_49_25_ xy=1162_3259
OG0000013	Beroe_ovata_Bova1_4.0140.g20.t1 Bova1_4.0140.g20.t1	Porites_asteroides_isotig20937 isotig20937 extracted_CDS GOMatch=D2HKK9 GOTerms=GO_0001701_GO_0001944_GO_0003338_GO_0004871_GO_0005109_GO_0005576_GO_0005578_GO_0006917_GO_0007223_GO_0007275_GO_0008284_GO_0010628_GO_0016055_GO_0016332_GO_0021871_GO_0022009_GO_0030182_GO_0030324_GO_0032364_GO_0042475_GO_0042592_GO_0044237_GO_0045669_GO_0045879_GO_0048144_GO_0048568_GO_0050808_GO_0051145_GO_0060033_GO_0060070_GO_0060425_GO_0060428_GO_0060482_GO_0060484_GO_0060535_GO_0060560_GO_0060669_GO_0060710_GO_0061180_GO_0071300_GO_0072053_GO_0072054_GO_0072060_GO_0072061_GO_0072089_GO_0072205_GO_0072207_GO_0072236 Gene=Protein_Wnt__Fragment__ Match_Acc=Q6PDY6 gene=isogroup19205 length=385 numContigs=1
OG0000015	Beroe_ovata_Bova1_4.0052.g5.t1 Bova1_4.0052.g5.t1, Beroe_ovata_Bova1_4.0628.g1.t1 Bova1_4.0628.g1.t1	Porites_asteroides_GCKDGN103G43NE GCKDGN103G43NE extracted_CDS length=510 region=3 run=R_2010_02_19_08_49_25_ xy=2811_1576, Porites_asteroides_isotig23555 isotig23555 extracted_CDS GOMatch=A7SGZ6 GOTerms=GO_0005509 Gene=Oncoprotein-induced_transcript_3_protein_ Match_Acc=Q29RU2 gene=isogroup21823 length=353 numContigs=1, Porites_asteroides_isotig03556 isotig03556 extracted_CDS GOMatch=A7SGZ7 GOTerms=GO_0005509 Gene=Oncoprotein-induced_transcript_3_protein_ Match_Acc=Q8R4V5 gene=isogroup01824 length=1724 numContigs=1, Porites_asteroides_isotig20731 isotig20731 extracted_CDS GOMatch=A7SGZ6 GOTerms=GO_0005509 Gene=SCUBE1_protein_ Match_Acc=A0JP65 gene=isogroup18999 length=388 numContigs=1, Porites_asteroides_isotig06044 isotig06044 extracted_CDS GOMatch=A7SGZ7 GOTerms=GO_0005509 Gene=Crumbs_ Match_Acc=B0X2G9 gene=isogroup04312 length=968 numContigs=1, Porites_asteroides_GCKDGN103F7MUU GCKDGN103F7MUU extracted_CDS GOMatch=A7RGF1 GOTerms=GO_0005509 Gene=Transforming_growth_factor_beta_receptor_type_3_ Match_Acc=P26342 length=331 region=3 run=R_2010_02_19_08_49_25_ xy=2430_0740
