Orthogroup	Ctenophora_Nuda_Beroe_ovata	Chordata_Vertebrata_Bos_taurus
OG0000045	Beroe_ovata_Bova1_4.0013.g40.t1 Bova1_4.0013.g40.t1, Beroe_ovata_Bova1_4.0013.g39.t1 Bova1_4.0013.g39.t1	XP_024840205.1 laminin subunit alpha-3 isoform X1 [Bos taurus], DAA23013.1 TPA_ laminin alpha 5-like [Bos taurus], XP_024840372.1 laminin subunit alpha-1 isoform X1 [Bos taurus], XP_002690266.2 laminin subunit alpha-2 [Bos taurus]
OG0000045	Beroe_ovata_Bova1_4.0938.g1.t1 Bova1_4.0938.g1.t1	NP_001192894.1 laminin subunit alpha-4 precursor [Bos taurus]
OG0000049	Beroe_ovata_Bova1_4.0316.g2.t1 Bova1_4.0316.g2.t1, Beroe_ovata_Bova1_4.1059.g2.t1 Bova1_4.1059.g2.t1, Beroe_ovata_Bova1_4.0316.g1.t2 Bova1_4.0316.g1.t2, Beroe_ovata_Bova1_4.0316.g1.t1 Bova1_4.0316.g1.t1, Beroe_ovata_Bova1_4.0027.g58.t1 Bova1_4.0027.g58.t1, Beroe_ovata_Bova1_4.0027.g59.t1 Bova1_4.0027.g59.t1	XP_024838889.2 plexin-A1 isoform X1 [Bos taurus], XP_059739547.1 plexin-A3 isoform X1 [Bos taurus], NP_001193586.1 plexin-A2 precursor [Bos taurus], NP_001178433.1 plexin-A4 precursor [Bos taurus], XP_024839049.1 plexin-B1 isoform X1 [Bos taurus], DAA13207.1 TPA_ plexin B3-like [Bos taurus], XP_059742216.1 plexin-B2 isoform X2 [Bos taurus], DAA16814.1 TPA_ plexin D1-like [Bos taurus], XP_059742393.1 plexin-C1 isoform X1 [Bos taurus]
OG0000054	Beroe_ovata_Bova1_4.0046.g52.t1 Bova1_4.0046.g52.t1	XP_024837424.1 pro-interleukin-16 isoform X1 [Bos taurus]
OG0000065	Beroe_ovata_Bova1_4.0102.g7.t1 Bova1_4.0102.g7.t1, Beroe_ovata_Bova1_4.0102.g8.t1 Bova1_4.0102.g8.t1	NP_001095540.1 glypican-5 precursor [Bos taurus], NP_001030540.1 glypican-3 precursor [Bos taurus]
OG0000078	Beroe_ovata_Bova1_4.0097.g25.t1 Bova1_4.0097.g25.t1, Beroe_ovata_Bova1_4.0199.g16.t1 Bova1_4.0199.g16.t1, Beroe_ovata_Bova1_4.0018.g111.t1 Bova1_4.0018.g111.t1, Beroe_ovata_Bova1_4.0122.g38.t1 Bova1_4.0122.g38.t1	sp|P05689.2|CATZ_BOVIN RecName_ Full=Cathepsin Z; Flags_ Precursor, XP_010816338.1 tubulointerstitial nephritis antigen isoform X1 [Bos taurus], DAA32345.1 TPA_ tubulointerstitial nephritis antigen-like 1-like [Bos taurus], sp|Q3ZCJ8.1|CATC_BOVIN RecName_ Full=Dipeptidyl peptidase 1; AltName_ Full=Cathepsin C; AltName_ Full=Cathepsin J; AltName_ Full=Dipeptidyl peptidase I; Short=DPP-I; Short=DPPI; AltName_ Full=Dipeptidyl transferase; Contains_ RecName_ Full=Dipeptidyl peptidase 1 exclusion domain chain; AltName_ Full=Dipeptidyl peptidase I exclusion domain chain; Contains_ RecName_ Full=Dipeptidyl peptidase 1 heavy chain; AltName_ Full=Dipeptidyl peptidase I heavy chain; Contains_ RecName_ Full=Dipeptidyl peptidase 1 light chain; AltName_ Full=Dipeptidyl peptidase I light chain; Flags_ Precursor, DAA20798.1 TPA_ cathepsin O preproprotein-like [Bos taurus], sp|Q5E998.1|CATL2_BOVIN RecName_ Full=Cathepsin L2; Flags_ Precursor, XP_005227111.2 cathepsin W isoform X1 [Bos taurus], NP_001068884.1 cathepsin F precursor [Bos taurus]
OG0000078	Beroe_ovata_Bova1_4.0116.g23.t1 Bova1_4.0116.g23.t1, Beroe_ovata_Bova1_4.0169.g19.t1 Bova1_4.0169.g19.t1	sp|P01035.2|CYTC_BOVIN RecName_ Full=Cystatin-C; AltName_ Full=Colostrum thiol proteinase inhibitor; AltName_ Full=Cystatin-3; Flags_ Precursor, XP_024857137.1 cystatin-like 1 [Bos taurus], XP_059748928.1 cystatin-8 [Bos taurus], NP_001012782.1 cystatin-M precursor [Bos taurus], XP_059748930.1 cystatin-F isoform X1 [Bos taurus]
OG0000081	Beroe_ovata_Bova1_4.0012.g48.t3 Bova1_4.0012.g48.t3, Beroe_ovata_Bova1_4.0012.g48.t2 Bova1_4.0012.g48.t2, Beroe_ovata_Bova1_4.0012.g48.t1 Bova1_4.0012.g48.t1	sp|Q2KIT5.1|CREL2_BOVIN RecName_ Full=Protein disulfide isomerase CRELD2; AltName_ Full=Cysteine-rich with EGF-like domain protein 2; Flags_ Precursor, sp|Q5EA46.1|CREL1_BOVIN RecName_ Full=Protein disulfide isomerase CRELD1; AltName_ Full=Cysteine-rich with EGF-like domain protein 1; Flags_ Precursor
OG0000093	Beroe_ovata_Bova1_4.0024.g37.t1 Bova1_4.0024.g37.t1, Beroe_ovata_Bova1_4.0024.g36.t1 Bova1_4.0024.g36.t1, Beroe_ovata_Bova1_4.0126.g23.t1 Bova1_4.0126.g23.t1, Beroe_ovata_Bova1_4.0024.g35.t1 Bova1_4.0024.g35.t1	sp|P80416.1|CYTA_BOVIN RecName_ Full=Cystatin-A; AltName_ Full=Cystatin-AS; AltName_ Full=Stefin-A
OG0000114	Beroe_ovata_Bova1_4.0155.g12.t1 Bova1_4.0155.g12.t1, Beroe_ovata_Bova1_4.0155.g12.t2 Bova1_4.0155.g12.t2	NP_001179877.1 host cell factor 2 [Bos taurus]
OG0000141	Beroe_ovata_Bova1_4.0129.g39.t1 Bova1_4.0129.g39.t1	NP_001095646.1 CCN family member 5 precursor [Bos taurus], DAA22835.1 TPA_ WNT1 inducible signaling pathway protein 1-like [Bos taurus], NP_001029512.1 CCN family member 1 precursor [Bos taurus]
OG0000148	Beroe_ovata_Bova1_4.0104.g11.t1 Bova1_4.0104.g11.t1	NP_001094653.1 transforming growth factor beta-3 proprotein [Bos taurus], sp|P21214.3|TGFB2_BOVIN RecName_ Full=Transforming growth factor beta-2 proprotein; AltName_ Full=Milk growth factor; Short=MGF; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-2; Short=TGF-beta-2; Flags_ Precursor, XP_005216841.1 transforming growth factor beta-2 proprotein isoform X1 [Bos taurus], sp|P18341.2|TGFB1_BOVIN RecName_ Full=Transforming growth factor beta-1 proprotein; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-1; Short=TGF-beta-1; Flags_ Precursor, sp|P18341.2|TGFB1_BOVIN RecName_ Full=Transforming growth factor beta-1 proprotein; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-1; Short=TGF-beta-1; Flags_ Precursor
