Orthogroup	Ctenophora_Nuda_Beroe_ovata	Cnidaria_Hydrozoa_Hydra_vulgaris
OG0000010	Beroe_ovata_Bova1_4.0065.g13.t2 Bova1_4.0065.g13.t2, Beroe_ovata_Bova1_4.0065.g13.t1 Bova1_4.0065.g13.t1, Beroe_ovata_Bova1_4.0057.g8.t1 Bova1_4.0057.g8.t1	Hydra_vulgaris_Sc4wPfr_1300.g9811.t1 Sc4wPfr_1300.g9811.t1, Hydra_vulgaris_Sc4wPfr_1300.g9811.t2 Sc4wPfr_1300.g9811.t2
OG0000010	Beroe_ovata_Bova1_4.0203.g21.t1 Bova1_4.0203.g21.t1	Hydra_vulgaris_Sc4wPfr_1259.g23030.t1 Sc4wPfr_1259.g23030.t1, Hydra_vulgaris_Sc4wPfr_378.g22717.t1 Sc4wPfr_378.g22717.t1, Hydra_vulgaris_Sc4wPfr_378.g22717.t2 Sc4wPfr_378.g22717.t2
OG0000010	Beroe_ovata_Bova1_4.0344.g2.t1 Bova1_4.0344.g2.t1, Beroe_ovata_Bova1_4.0113.g30.t1 Bova1_4.0113.g30.t1, Beroe_ovata_Bova1_4.0113.g29.t1 Bova1_4.0113.g29.t1	Hydra_vulgaris_Sc4wPfr_5.g3410.t1 Sc4wPfr_5.g3410.t1
OG0000011	Beroe_ovata_Bova1_4.0302.g5.t1 Bova1_4.0302.g5.t1, Beroe_ovata_Bova1_4.0302.g5.t2 Bova1_4.0302.g5.t2, Beroe_ovata_Bova1_4.0010.g40.t1 Bova1_4.0010.g40.t1, Beroe_ovata_Bova1_4.0064.g23.t1 Bova1_4.0064.g23.t1, Beroe_ovata_Bova1_4.0064.g22.t1 Bova1_4.0064.g22.t1, Beroe_ovata_Bova1_4.0015.g70.t1 Bova1_4.0015.g70.t1, Beroe_ovata_Bova1_4.0015.g69.t1 Bova1_4.0015.g69.t1, Beroe_ovata_Bova1_4.0392.g3.t1 Bova1_4.0392.g3.t1, Beroe_ovata_Bova1_4.0080.g30.t1 Bova1_4.0080.g30.t1, Beroe_ovata_Bova1_4.0180.g2.t1 Bova1_4.0180.g2.t1, Beroe_ovata_Bova1_4.0029.g24.t1 Bova1_4.0029.g24.t1, Beroe_ovata_Bova1_4.0214.g1.t1 Bova1_4.0214.g1.t1	Hydra_vulgaris_Sc4wPfr_439.g20742.t1 Sc4wPfr_439.g20742.t1
OG0000012	Beroe_ovata_Bova1_4.0198.g22.t1 Bova1_4.0198.g22.t1, Beroe_ovata_Bova1_4.0198.g23.t1 Bova1_4.0198.g23.t1, Beroe_ovata_Bova1_4.0322.g6.t1 Bova1_4.0322.g6.t1	Hydra_vulgaris_Sc4wPfr_309.g10778.t1 Sc4wPfr_309.g10778.t1, Hydra_vulgaris_Sc4wPfr_977.g21608.t1 Sc4wPfr_977.g21608.t1, Hydra_vulgaris_Sc4wPfr_363.2.g30334.t1 Sc4wPfr_363.2.g30334.t1
OG0000012	Beroe_ovata_Bova1_4.0055.g43.t1 Bova1_4.0055.g43.t1, Beroe_ovata_Bova1_4.0090.g28.t2 Bova1_4.0090.g28.t2, Beroe_ovata_Bova1_4.0090.g28.t1 Bova1_4.0090.g28.t1, Beroe_ovata_Bova1_4.0548.g1.t2 Bova1_4.0548.g1.t2, Beroe_ovata_Bova1_4.0548.g1.t1 Bova1_4.0548.g1.t1	Hydra_vulgaris_Sc4wPfr_68.g2367.t1 Sc4wPfr_68.g2367.t1, Hydra_vulgaris_Sc4wPfr_68.g2364.t1 Sc4wPfr_68.g2364.t1
OG0000012	Beroe_ovata_Bova1_4.0496.g4.t1 Bova1_4.0496.g4.t1, Beroe_ovata_Bova1_4.0048.g63.t1 Bova1_4.0048.g63.t1, Beroe_ovata_Bova1_4.0048.g62.t1 Bova1_4.0048.g62.t1, Beroe_ovata_Bova1_4.0484.g2.t1 Bova1_4.0484.g2.t1	Hydra_vulgaris_Sc4wPfr_977.g21610.t1 Sc4wPfr_977.g21610.t1
OG0000013	Beroe_ovata_Bova1_4.0066.g65.t1 Bova1_4.0066.g65.t1	Hydra_vulgaris_Sc4wPfr_68.g2322.t1 Sc4wPfr_68.g2322.t1, Hydra_vulgaris_Sc4wPfr_68.g2320.t1 Sc4wPfr_68.g2320.t1, Hydra_vulgaris_Sc4wPfr_224.1.g33373.t1 Sc4wPfr_224.1.g33373.t1
OG0000013	Beroe_ovata_Bova1_4.0140.g20.t1 Bova1_4.0140.g20.t1	Hydra_vulgaris_Sc4wPfr_1214.g29750.t1 Sc4wPfr_1214.g29750.t1, Hydra_vulgaris_Sc4wPfr_439.g20853.t1 Sc4wPfr_439.g20853.t1
OG0000015	Beroe_ovata_Bova1_4.0052.g5.t1 Bova1_4.0052.g5.t1, Beroe_ovata_Bova1_4.0628.g1.t1 Bova1_4.0628.g1.t1	Hydra_vulgaris_Sc4wPfr_330.g6850.t1 Sc4wPfr_330.g6850.t1
OG0000015	Beroe_ovata_Bova1_4.0080.g8.t1 Bova1_4.0080.g8.t1, Beroe_ovata_Bova1_4.0039.g24.t1 Bova1_4.0039.g24.t1, Beroe_ovata_Bova1_4.0237.g3.t1 Bova1_4.0237.g3.t1, Beroe_ovata_Bova1_4.0030.g78.t1 Bova1_4.0030.g78.t1	Hydra_vulgaris_Sc4wPfr_1593.g7872.t1 Sc4wPfr_1593.g7872.t1
OG0000017	Beroe_ovata_Bova1_4.0122.g5.t1 Bova1_4.0122.g5.t1, Beroe_ovata_Bova1_4.0122.g4.t1 Bova1_4.0122.g4.t1, Beroe_ovata_Bova1_4.0025.g11.t1 Bova1_4.0025.g11.t1	Hydra_vulgaris_Sc4wPfr_463.g30874.t1 Sc4wPfr_463.g30874.t1
OG0000019	Beroe_ovata_Bova1_4.0050.g21.t1 Bova1_4.0050.g21.t1, Beroe_ovata_Bova1_4.0050.g20.t1 Bova1_4.0050.g20.t1, Beroe_ovata_Bova1_4.0118.g26.t1 Bova1_4.0118.g26.t1, Beroe_ovata_Bova1_4.0186.g10.t1 Bova1_4.0186.g10.t1	Hydra_vulgaris_Sc4wPfr_292.g13083.t1 Sc4wPfr_292.g13083.t1, Hydra_vulgaris_Sc4wPfr_825.g15293.t1 Sc4wPfr_825.g15293.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1473.t1 Sc4wPfr_1127.1.g1473.t1
OG0000019	Beroe_ovata_Bova1_4.0040.g35.t3 Bova1_4.0040.g35.t3, Beroe_ovata_Bova1_4.0040.g35.t2 Bova1_4.0040.g35.t2	Hydra_vulgaris_Sc4wPfr_1127.1.g1463.t1 Sc4wPfr_1127.1.g1463.t1, Hydra_vulgaris_Sc4wPfr_467.g16222.t1 Sc4wPfr_467.g16222.t1, Hydra_vulgaris_Sc4wPfr_628.g32876.t1 Sc4wPfr_628.g32876.t1, Hydra_vulgaris_Sc4wPfr_628.g32877.t1 Sc4wPfr_628.g32877.t1, Hydra_vulgaris_Sc4wPfr_628.g32875.t1 Sc4wPfr_628.g32875.t1, Hydra_vulgaris_Sc4wPfr_121.g2830.t1 Sc4wPfr_121.g2830.t1, Hydra_vulgaris_Sc4wPfr_639.g22916.t1 Sc4wPfr_639.g22916.t1
OG0000021	Beroe_ovata_Bova1_4.0072.g25.t1 Bova1_4.0072.g25.t1	Hydra_vulgaris_Sc4wPfr_597.2.g14347.t1 Sc4wPfr_597.2.g14347.t1
OG0000022	Beroe_ovata_Bova1_4.0785.g1.t1 Bova1_4.0785.g1.t1, Beroe_ovata_Bova1_4.0354.g2.t1 Bova1_4.0354.g2.t1, Beroe_ovata_Bova1_4.0085.g13.t1 Bova1_4.0085.g13.t1	Hydra_vulgaris_Sc4wPfr_181.2.g21314.t1 Sc4wPfr_181.2.g21314.t1
OG0000022	Beroe_ovata_Bova1_4.0298.g2.t1 Bova1_4.0298.g2.t1, Beroe_ovata_Bova1_4.0337.g7.t1 Bova1_4.0337.g7.t1, Beroe_ovata_Bova1_4.0337.g7.t2 Bova1_4.0337.g7.t2	Hydra_vulgaris_Sc4wPfr_1269.g30707.t1 Sc4wPfr_1269.g30707.t1, Hydra_vulgaris_Sc4wPfr_828.1.g12788.t1 Sc4wPfr_828.1.g12788.t1, Hydra_vulgaris_Sc4wPfr_828.1.g12787.t1 Sc4wPfr_828.1.g12787.t1
OG0000030	Beroe_ovata_Bova1_4.0151.g33.t1 Bova1_4.0151.g33.t1, Beroe_ovata_Bova1_4.0151.g32.t1 Bova1_4.0151.g32.t1, Beroe_ovata_Bova1_4.0256.g28.t2 Bova1_4.0256.g28.t2, Beroe_ovata_Bova1_4.0256.g28.t1 Bova1_4.0256.g28.t1	Hydra_vulgaris_Sc4wPfr_1380.1.g8435.t1 Sc4wPfr_1380.1.g8435.t1
OG0000030	Beroe_ovata_Bova1_4.0003.g115.t1 Bova1_4.0003.g115.t1, Beroe_ovata_Bova1_4.0003.g114.t1 Bova1_4.0003.g114.t1	Hydra_vulgaris_Sc4wPfr_26.g17289.t1 Sc4wPfr_26.g17289.t1, Hydra_vulgaris_Sc4wPfr_26.g17289.t2 Sc4wPfr_26.g17289.t2, Hydra_vulgaris_Sc4wPfr_1020.1.g6653.t1 Sc4wPfr_1020.1.g6653.t1, Hydra_vulgaris_Sc4wPfr_1020.1.g6652.t1 Sc4wPfr_1020.1.g6652.t1
OG0000034	Beroe_ovata_Bova1_4.0642.g1.t1 Bova1_4.0642.g1.t1, Beroe_ovata_Bova1_4.0049.g39.t3 Bova1_4.0049.g39.t3, Beroe_ovata_Bova1_4.0049.g39.t4 Bova1_4.0049.g39.t4, Beroe_ovata_Bova1_4.0049.g39.t5 Bova1_4.0049.g39.t5, Beroe_ovata_Bova1_4.0049.g39.t1 Bova1_4.0049.g39.t1, Beroe_ovata_Bova1_4.0049.g39.t2 Bova1_4.0049.g39.t2	Hydra_vulgaris_Sc4wPfr_909.g33488.t1 Sc4wPfr_909.g33488.t1, Hydra_vulgaris_Sc4wPfr_909.g33479.t2 Sc4wPfr_909.g33479.t2, Hydra_vulgaris_Sc4wPfr_909.g33479.t1 Sc4wPfr_909.g33479.t1
OG0000041	Beroe_ovata_Bova1_4.0006.g146.t1 Bova1_4.0006.g146.t1, Beroe_ovata_Bova1_4.0027.g44.t1 Bova1_4.0027.g44.t1	Hydra_vulgaris_Sc4wPfr_422.g20203.t1 Sc4wPfr_422.g20203.t1
OG0000041	Beroe_ovata_Bova1_4.0027.g62.t1 Bova1_4.0027.g62.t1, Beroe_ovata_Bova1_4.0027.g62.t3 Bova1_4.0027.g62.t3	Hydra_vulgaris_Sc4wPfr_6.1.g597.t2 Sc4wPfr_6.1.g597.t2, Hydra_vulgaris_Sc4wPfr_6.1.g597.t1 Sc4wPfr_6.1.g597.t1
OG0000042	Beroe_ovata_Bova1_4.0050.g30.t2 Bova1_4.0050.g30.t2, Beroe_ovata_Bova1_4.0050.g30.t1 Bova1_4.0050.g30.t1, Beroe_ovata_Bova1_4.0822.g1.t1 Bova1_4.0822.g1.t1	Hydra_vulgaris_Sc4wPfr_708.g2575.t1 Sc4wPfr_708.g2575.t1, Hydra_vulgaris_Sc4wPfr_481.g31592.t1 Sc4wPfr_481.g31592.t1, Hydra_vulgaris_Sc4wPfr_481.g31592.t2 Sc4wPfr_481.g31592.t2, Hydra_vulgaris_Sc4wPfr_361.g20339.t1 Sc4wPfr_361.g20339.t1, Hydra_vulgaris_Sc4wPfr_14.g1872.t1 Sc4wPfr_14.g1872.t1
OG0000044	Beroe_ovata_Bova1_4.0038.g71.t1 Bova1_4.0038.g71.t1	Hydra_vulgaris_Sc4wPfr_1298.g6418.t1 Sc4wPfr_1298.g6418.t1
OG0000045	Beroe_ovata_Bova1_4.0013.g40.t1 Bova1_4.0013.g40.t1, Beroe_ovata_Bova1_4.0013.g39.t1 Bova1_4.0013.g39.t1	Hydra_vulgaris_Sc4wPfr_301.g14000.t1 Sc4wPfr_301.g14000.t1, Hydra_vulgaris_Sc4wPfr_14.g1744.t1 Sc4wPfr_14.g1744.t1
OG0000045	Beroe_ovata_Bova1_4.0938.g1.t1 Bova1_4.0938.g1.t1	Hydra_vulgaris_Sc4wPfr_14.g1743.t1 Sc4wPfr_14.g1743.t1
OG0000049	Beroe_ovata_Bova1_4.0343.g5.t1 Bova1_4.0343.g5.t1, Beroe_ovata_Bova1_4.0343.g5.t2 Bova1_4.0343.g5.t2	Hydra_vulgaris_Sc4wPfr_2743.g8203.t1 Sc4wPfr_2743.g8203.t1
OG0000051	Beroe_ovata_Bova1_4.0093.g5.t1 Bova1_4.0093.g5.t1, Beroe_ovata_Bova1_4.0012.g17.t2 Bova1_4.0012.g17.t2, Beroe_ovata_Bova1_4.0012.g17.t1 Bova1_4.0012.g17.t1, Beroe_ovata_Bova1_4.0023.g89.t1 Bova1_4.0023.g89.t1	Hydra_vulgaris_Sc4wPfr_1172.g28463.t1 Sc4wPfr_1172.g28463.t1, Hydra_vulgaris_Sc4wPfr_817.g25365.t1 Sc4wPfr_817.g25365.t1
OG0000054	Beroe_ovata_Bova1_4.0046.g52.t1 Bova1_4.0046.g52.t1	Hydra_vulgaris_Sc4wPfr_1416.g33239.t1 Sc4wPfr_1416.g33239.t1, Hydra_vulgaris_Sc4wPfr_78.g10420.t1 Sc4wPfr_78.g10420.t1
OG0000058	Beroe_ovata_Bova1_4.0217.g1.t1 Bova1_4.0217.g1.t1, Beroe_ovata_Bova1_4.0047.g1.t1 Bova1_4.0047.g1.t1, Beroe_ovata_Bova1_4.0230.g20.t1 Bova1_4.0230.g20.t1, Beroe_ovata_Bova1_4.0047.g4.t1 Bova1_4.0047.g4.t1	Hydra_vulgaris_Sc4wPfr_155.g16906.t1 Sc4wPfr_155.g16906.t1
OG0000061	Beroe_ovata_Bova1_4.0085.g17.t2 Bova1_4.0085.g17.t2, Beroe_ovata_Bova1_4.0085.g17.t1 Bova1_4.0085.g17.t1, Beroe_ovata_Bova1_4.0085.g17.t5 Bova1_4.0085.g17.t5, Beroe_ovata_Bova1_4.0085.g17.t3 Bova1_4.0085.g17.t3, Beroe_ovata_Bova1_4.0085.g17.t4 Bova1_4.0085.g17.t4	Hydra_vulgaris_Sc4wPfr_417.3.g31939.t1 Sc4wPfr_417.3.g31939.t1
OG0000061	Beroe_ovata_Bova1_4.0166.g1.t2 Bova1_4.0166.g1.t2, Beroe_ovata_Bova1_4.0166.g1.t1 Bova1_4.0166.g1.t1	Hydra_vulgaris_Sc4wPfr_48.g30203.t1 Sc4wPfr_48.g30203.t1
OG0000073	Beroe_ovata_Bova1_4.0225.g2.t1 Bova1_4.0225.g2.t1	Hydra_vulgaris_Sc4wPfr_446.g12585.t1 Sc4wPfr_446.g12585.t1
OG0000087	Beroe_ovata_Bova1_4.0008.g42.t2 Bova1_4.0008.g42.t2, Beroe_ovata_Bova1_4.0008.g42.t1 Bova1_4.0008.g42.t1, Beroe_ovata_Bova1_4.0008.g42.t3 Bova1_4.0008.g42.t3	Hydra_vulgaris_Sc4wPfr_954.g27082.t1 Sc4wPfr_954.g27082.t1
OG0000091	Beroe_ovata_Bova1_4.0137.g16.t1 Bova1_4.0137.g16.t1, Beroe_ovata_Bova1_4.0084.g19.t1 Bova1_4.0084.g19.t1, Beroe_ovata_Bova1_4.0084.g20.t1 Bova1_4.0084.g20.t1, Beroe_ovata_Bova1_4.0033.g22.t1 Bova1_4.0033.g22.t1, Beroe_ovata_Bova1_4.0253.g25.t1 Bova1_4.0253.g25.t1, Beroe_ovata_Bova1_4.0253.g22.t1 Bova1_4.0253.g22.t1, Beroe_ovata_Bova1_4.0034.g47.t1 Bova1_4.0034.g47.t1, Beroe_ovata_Bova1_4.0017.g98.t1 Bova1_4.0017.g98.t1, Beroe_ovata_Bova1_4.0145.g24.t1 Bova1_4.0145.g24.t1, Beroe_ovata_Bova1_4.0154.g19.t1 Bova1_4.0154.g19.t1, Beroe_ovata_Bova1_4.1074.g1.t1 Bova1_4.1074.g1.t1, Beroe_ovata_Bova1_4.0136.g9.t1 Bova1_4.0136.g9.t1	Hydra_vulgaris_Sc4wPfr_1335.g31184.t1 Sc4wPfr_1335.g31184.t1
OG0000093	Beroe_ovata_Bova1_4.0024.g37.t1 Bova1_4.0024.g37.t1, Beroe_ovata_Bova1_4.0024.g36.t1 Bova1_4.0024.g36.t1, Beroe_ovata_Bova1_4.0126.g23.t1 Bova1_4.0126.g23.t1, Beroe_ovata_Bova1_4.0024.g35.t1 Bova1_4.0024.g35.t1	Hydra_vulgaris_Sc4wPfr_313.g17063.t1 Sc4wPfr_313.g17063.t1
OG0000094	Beroe_ovata_Bova1_4.0260.g6.t1 Bova1_4.0260.g6.t1	Hydra_vulgaris_Sc4wPfr_242.g27679.t1 Sc4wPfr_242.g27679.t1
OG0000106	Beroe_ovata_Bova1_4.0273.g10.t1 Bova1_4.0273.g10.t1, Beroe_ovata_Bova1_4.0273.g11.t1 Bova1_4.0273.g11.t1, Beroe_ovata_Bova1_4.0273.g7.t1 Bova1_4.0273.g7.t1, Beroe_ovata_Bova1_4.0269.g12.t1 Bova1_4.0269.g12.t1, Beroe_ovata_Bova1_4.0033.g43.t1 Bova1_4.0033.g43.t1, Beroe_ovata_Bova1_4.0180.g26.t1 Bova1_4.0180.g26.t1, Beroe_ovata_Bova1_4.0112.g46.t1 Bova1_4.0112.g46.t1	Hydra_vulgaris_Sc4wPfr_780.g810.t1 Sc4wPfr_780.g810.t1, Hydra_vulgaris_Sc4wPfr_2382.g8795.t1 Sc4wPfr_2382.g8795.t1
OG0000113	Beroe_ovata_Bova1_4.0104.g16.t1 Bova1_4.0104.g16.t1, Beroe_ovata_Bova1_4.0104.g16.t2 Bova1_4.0104.g16.t2	Hydra_vulgaris_Sc4wPfr_231.1.g21567.t1 Sc4wPfr_231.1.g21567.t1
OG0000119	Beroe_ovata_Bova1_4.0022.g107.t1 Bova1_4.0022.g107.t1, Beroe_ovata_Bova1_4.0022.g109.t1 Bova1_4.0022.g109.t1	Hydra_vulgaris_Sc4wPfr_272.g11398.t1 Sc4wPfr_272.g11398.t1
OG0000133	Beroe_ovata_Bova1_4.0231.g5.t2 Bova1_4.0231.g5.t2, Beroe_ovata_Bova1_4.0231.g5.t1 Bova1_4.0231.g5.t1	Hydra_vulgaris_Sc4wPfr_628.g32869.t1 Sc4wPfr_628.g32869.t1
OG0000134	Beroe_ovata_Bova1_4.0165.g23.t1 Bova1_4.0165.g23.t1, Beroe_ovata_Bova1_4.0165.g23.t2 Bova1_4.0165.g23.t2, Beroe_ovata_Bova1_4.0165.g23.t3 Bova1_4.0165.g23.t3	Hydra_vulgaris_Sc4wPfr_6.1.g610.t1 Sc4wPfr_6.1.g610.t1
OG0000138	Beroe_ovata_Bova1_4.0135.g3.t2 Bova1_4.0135.g3.t2, Beroe_ovata_Bova1_4.0135.g3.t1 Bova1_4.0135.g3.t1, Beroe_ovata_Bova1_4.0135.g3.t4 Bova1_4.0135.g3.t4, Beroe_ovata_Bova1_4.0135.g3.t5 Bova1_4.0135.g3.t5, Beroe_ovata_Bova1_4.0135.g3.t6 Bova1_4.0135.g3.t6	Hydra_vulgaris_Sc4wPfr_56.g24483.t1 Sc4wPfr_56.g24483.t1
OG0000141	Beroe_ovata_Bova1_4.0129.g39.t1 Bova1_4.0129.g39.t1	Hydra_vulgaris_Sc4wPfr_106.g23502.t1 Sc4wPfr_106.g23502.t1
OG0000146	Beroe_ovata_Bova1_4.0152.g23.t1 Bova1_4.0152.g23.t1, Beroe_ovata_Bova1_4.0152.g24.t1 Bova1_4.0152.g24.t1	Hydra_vulgaris_Sc4wPfr_516.2.g9758.t1 Sc4wPfr_516.2.g9758.t1
OG0000152	Beroe_ovata_Bova1_4.0464.g3.t1 Bova1_4.0464.g3.t1	Hydra_vulgaris_Sc4wPfr_704.g18852.t1 Sc4wPfr_704.g18852.t1, Hydra_vulgaris_Sc4wPfr_704.g18852.t2 Sc4wPfr_704.g18852.t2
OG0000156	Beroe_ovata_Bova1_4.0124.g23.t1 Bova1_4.0124.g23.t1	Hydra_vulgaris_Sc4wPfr_292.g13106.t1 Sc4wPfr_292.g13106.t1, Hydra_vulgaris_Sc4wPfr_292.g13097.t1 Sc4wPfr_292.g13097.t1
OG0000165	Beroe_ovata_Bova1_4.0080.g32.t1 Bova1_4.0080.g32.t1, Beroe_ovata_Bova1_4.0080.g31.t1 Bova1_4.0080.g31.t1	Hydra_vulgaris_Sc4wPfr_319.g27266.t1 Sc4wPfr_319.g27266.t1
OG0000176	Beroe_ovata_Bova1_4.0138.g15.t2 Bova1_4.0138.g15.t2, Beroe_ovata_Bova1_4.0138.g15.t1 Bova1_4.0138.g15.t1	Hydra_vulgaris_Sc4wPfr_1228.g7352.t1 Sc4wPfr_1228.g7352.t1
OG0000177	Beroe_ovata_Bova1_4.0025.g79.t1 Bova1_4.0025.g79.t1	Hydra_vulgaris_Sc4wPfr_309.g10792.t1 Sc4wPfr_309.g10792.t1
OG0000192	Beroe_ovata_Bova1_4.0025.g92.t1 Bova1_4.0025.g92.t1, Beroe_ovata_Bova1_4.0025.g94.t1 Bova1_4.0025.g94.t1	Hydra_vulgaris_Sc4wPfr_1298.g6413.t1 Sc4wPfr_1298.g6413.t1
OG0000193	Beroe_ovata_Bova1_4.0008.g11.t1 Bova1_4.0008.g11.t1, Beroe_ovata_Bova1_4.0008.g9.t1 Bova1_4.0008.g9.t1	Hydra_vulgaris_Sc4wPfr_239.g21099.t1 Sc4wPfr_239.g21099.t1
OG0000194	Beroe_ovata_Bova1_4.0138.g26.t1 Bova1_4.0138.g26.t1	Hydra_vulgaris_Sc4wPfr_975.g7278.t1 Sc4wPfr_975.g7278.t1
OG0000195	Beroe_ovata_Bova1_4.0190.g12.t1 Bova1_4.0190.g12.t1	Hydra_vulgaris_Sc4wPfr_650.g22982.t1 Sc4wPfr_650.g22982.t1
OG0000199	Beroe_ovata_Bova1_4.0026.g82.t1 Bova1_4.0026.g82.t1	Hydra_vulgaris_Sc4wPfr_289.1.g8519.t1 Sc4wPfr_289.1.g8519.t1
