Orthogroup	Ctenophora_Nuda_Beroe_ovata	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000010	Beroe_ovata_Bova1_4.0344.g2.t1 Bova1_4.0344.g2.t1, Beroe_ovata_Bova1_4.0113.g30.t1 Bova1_4.0113.g30.t1, Beroe_ovata_Bova1_4.0113.g29.t1 Bova1_4.0113.g29.t1	Exaiptasia_diaphana_XP_028516406.1 XP_028516406.1 zonadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894465.1 XP_020894465.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513649.1 XP_028513649.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902315.1 XP_020902315.1 uncharacterized protein LOC110240840 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513610.1 XP_028513610.1 agrin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909932.2 XP_020909932.2 uncharacterized protein LOC110247804_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517563.1 XP_028517563.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517562.1 XP_028517562.1 agrin [Exaiptasia diaphana]
OG0000011	Beroe_ovata_Bova1_4.1430.g1.t1 Bova1_4.1430.g1.t1	Exaiptasia_diaphana_XP_020895286.2 XP_020895286.2 uncharacterized protein LOC110234259_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513122.1 XP_028513122.1 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894038.2 XP_020894038.2 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513123.1 XP_028513123.1 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516046.1 XP_028516046.1 tyrosine-protein kinase transmembrane receptor ROR2 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516044.1 XP_028516044.1 uncharacterized protein LOC110242972 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516045.1 XP_028516045.1 uncharacterized protein LOC110242972 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516043.1 XP_028516043.1 uncharacterized protein LOC110242972 isoform X1 [Exaiptasia diaphana]
OG0000012	Beroe_ovata_Bova1_4.0198.g22.t1 Bova1_4.0198.g22.t1, Beroe_ovata_Bova1_4.0198.g23.t1 Bova1_4.0198.g23.t1, Beroe_ovata_Bova1_4.0322.g6.t1 Bova1_4.0322.g6.t1	Exaiptasia_diaphana_XP_028517760.1 XP_028517760.1 mucin-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903410.2 XP_020903410.2 von Willebrand factor-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519674.1 XP_028519674.1 mucin-5AC [Exaiptasia diaphana]
OG0000012	Beroe_ovata_Bova1_4.0055.g43.t1 Bova1_4.0055.g43.t1, Beroe_ovata_Bova1_4.0090.g28.t2 Bova1_4.0090.g28.t2, Beroe_ovata_Bova1_4.0090.g28.t1 Bova1_4.0090.g28.t1, Beroe_ovata_Bova1_4.0548.g1.t2 Bova1_4.0548.g1.t2, Beroe_ovata_Bova1_4.0548.g1.t1 Bova1_4.0548.g1.t1	Exaiptasia_diaphana_XP_020913063.1 XP_020913063.1 kielin_chordin-like protein [Exaiptasia diaphana]
OG0000012	Beroe_ovata_Bova1_4.0496.g4.t1 Bova1_4.0496.g4.t1, Beroe_ovata_Bova1_4.0048.g63.t1 Bova1_4.0048.g63.t1, Beroe_ovata_Bova1_4.0048.g62.t1 Bova1_4.0048.g62.t1, Beroe_ovata_Bova1_4.0484.g2.t1 Bova1_4.0484.g2.t1	Exaiptasia_diaphana_XP_020903395.1 XP_020903395.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515705.1 XP_028515705.1 mucin-5AC-like [Exaiptasia diaphana]
OG0000013	Beroe_ovata_Bova1_4.0066.g65.t1 Bova1_4.0066.g65.t1	Exaiptasia_diaphana_XP_020913045.1 XP_020913045.1 protein Wnt-2-like [Exaiptasia diaphana]
OG0000013	Beroe_ovata_Bova1_4.0140.g20.t1 Bova1_4.0140.g20.t1	Exaiptasia_diaphana_XP_020904181.2 XP_020904181.2 protein Wnt-7b isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904180.2 XP_020904180.2 protein Wnt-7a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904179.2 XP_020904179.2 protein Wnt-7a isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904182.1 XP_020904182.1 protein Wnt-7a isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895878.1 XP_020895878.1 protein Wnt-2b-A [Exaiptasia diaphana]
OG0000015	Beroe_ovata_Bova1_4.0052.g5.t1 Bova1_4.0052.g5.t1, Beroe_ovata_Bova1_4.0628.g1.t1 Bova1_4.0628.g1.t1	Exaiptasia_diaphana_XP_020895186.1 XP_020895186.1 oncoprotein-induced transcript 3 protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895226.1 XP_020895226.1 ZP domain-containing protein [Exaiptasia diaphana]
OG0000015	Beroe_ovata_Bova1_4.0080.g8.t1 Bova1_4.0080.g8.t1, Beroe_ovata_Bova1_4.0039.g24.t1 Bova1_4.0039.g24.t1, Beroe_ovata_Bova1_4.0237.g3.t1 Bova1_4.0237.g3.t1, Beroe_ovata_Bova1_4.0030.g78.t1 Bova1_4.0030.g78.t1	Exaiptasia_diaphana_XP_020913480.1 XP_020913480.1 Down syndrome cell adhesion molecule homolog [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898829.1 XP_020898829.1 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517197.1 XP_028517197.1 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908757.1 XP_020908757.1 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898845.1 XP_020898845.1 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908758.2 XP_020908758.2 uncharacterized protein LOC110246738_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915044.1 XP_020915044.1 ZP domain-containing protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516430.1 XP_028516430.1 CUB and sushi domain-containing protein 3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516428.1 XP_028516428.1 CUB and sushi domain-containing protein 3 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518783.1 XP_028518783.1 uncharacterized protein LOC110251602 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905713.1 XP_020905713.1 LOW QUALITY PROTEIN_ ZP domain-containing protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515509.1 XP_028515509.1 ZP domain-containing protein-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905699.2 XP_020905699.2 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516276.1 XP_028516276.1 proteoglycan 4_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904998.1 XP_020904998.1 zona pellucida sperm-binding protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904996.2 XP_020904996.2 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907577.1 XP_020907577.1 oncoprotein-induced transcript 3 protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514521.1 XP_028514521.1 ZP domain-containing protein-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901504.2 XP_020901504.2 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517878.1 XP_028517878.1 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908628.1 XP_020908628.1 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898716.1 XP_020898716.1 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915359.2 XP_020915359.2 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915360.1 XP_020915360.1 uncharacterized protein LOC110252848 [Exaiptasia diaphana]
OG0000016	Beroe_ovata_Bova1_4.0017.g73.t1 Bova1_4.0017.g73.t1	Exaiptasia_diaphana_XP_020914056.1 XP_020914056.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110251669 [Exaiptasia diaphana]
OG0000016	Beroe_ovata_Bova1_4.0108.g30.t1 Bova1_4.0108.g30.t1, Beroe_ovata_Bova1_4.0236.g7.t1 Bova1_4.0236.g7.t1, Beroe_ovata_Bova1_4.0254.g4.t1 Bova1_4.0254.g4.t1, Beroe_ovata_Bova1_4.0289.g10.t1 Bova1_4.0289.g10.t1, Beroe_ovata_Bova1_4.0289.g9.t1 Bova1_4.0289.g9.t1, Beroe_ovata_Bova1_4.3261.g1.t1 Bova1_4.3261.g1.t1, Beroe_ovata_Bova1_4.0098.g32.t1 Bova1_4.0098.g32.t1, Beroe_ovata_Bova1_4.0028.g5.t1 Bova1_4.0028.g5.t1, Beroe_ovata_Bova1_4.0001.g168.t1 Bova1_4.0001.g168.t1	Exaiptasia_diaphana_XP_020912518.1 XP_020912518.1 matrix metalloproteinase-9 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892199.1 XP_020892199.1 metalloendoproteinase 1 [Exaiptasia diaphana]
OG0000018	Beroe_ovata_Bova1_4.0023.g78.t1 Bova1_4.0023.g78.t1, Beroe_ovata_Bova1_4.0023.g78.t2 Bova1_4.0023.g78.t2	Exaiptasia_diaphana_XP_028515710.1 XP_028515710.1 uncharacterized protein LOC110241854 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895213.1 XP_020895213.1 sortilin-related receptor [Exaiptasia diaphana]
OG0000019	Beroe_ovata_Bova1_4.0040.g35.t3 Bova1_4.0040.g35.t3, Beroe_ovata_Bova1_4.0040.g35.t2 Bova1_4.0040.g35.t2	Exaiptasia_diaphana_XP_020895491.1 XP_020895491.1 bone morphogenetic protein 7 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895490.1 XP_020895490.1 bone morphogenetic protein 7 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895489.1 XP_020895489.1 bone morphogenetic protein 7 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905685.1 XP_020905685.1 bone morphogenetic protein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905684.1 XP_020905684.1 bone morphogenetic protein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895368.1 XP_020895368.1 growth_differentiation factor 5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893270.1 XP_020893270.1 protein DVR-1 homolog [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892723.2 XP_020892723.2 protein decapentaplegic-like [Exaiptasia diaphana]
OG0000022	Beroe_ovata_Bova1_4.0785.g1.t1 Bova1_4.0785.g1.t1, Beroe_ovata_Bova1_4.0354.g2.t1 Bova1_4.0354.g2.t1, Beroe_ovata_Bova1_4.0085.g13.t1 Bova1_4.0085.g13.t1	Exaiptasia_diaphana_XP_028516856.1 XP_028516856.1 uncharacterized protein LOC110245728 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894269.1 XP_020894269.1 annexin A3 [Exaiptasia diaphana]
OG0000022	Beroe_ovata_Bova1_4.0298.g2.t1 Bova1_4.0298.g2.t1, Beroe_ovata_Bova1_4.0337.g7.t1 Bova1_4.0337.g7.t1, Beroe_ovata_Bova1_4.0337.g7.t2 Bova1_4.0337.g7.t2	Exaiptasia_diaphana_XP_020904987.1 XP_020904987.1 annexin A5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902679.1 XP_020902679.1 annexin A5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902678.1 XP_020902678.1 annexin A5 [Exaiptasia diaphana]
OG0000030	Beroe_ovata_Bova1_4.0151.g33.t1 Bova1_4.0151.g33.t1, Beroe_ovata_Bova1_4.0151.g32.t1 Bova1_4.0151.g32.t1, Beroe_ovata_Bova1_4.0256.g28.t2 Bova1_4.0256.g28.t2, Beroe_ovata_Bova1_4.0256.g28.t1 Bova1_4.0256.g28.t1	Exaiptasia_diaphana_XP_028518433.1 XP_028518433.1 disintegrin and metalloproteinase domain-containing protein 17 [Exaiptasia diaphana]
OG0000030	Beroe_ovata_Bova1_4.0003.g115.t1 Bova1_4.0003.g115.t1, Beroe_ovata_Bova1_4.0003.g114.t1 Bova1_4.0003.g114.t1	Exaiptasia_diaphana_XP_020898884.1 XP_020898884.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517814.1 XP_028517814.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910720.1 XP_020910720.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana]
OG0000030	Beroe_ovata_Bova1_4.0006.g133.t1 Bova1_4.0006.g133.t1	Exaiptasia_diaphana_XP_028519758.1 XP_028519758.1 disintegrin and metalloproteinase domain-containing protein 10_ partial [Exaiptasia diaphana]
OG0000034	Beroe_ovata_Bova1_4.0642.g1.t1 Bova1_4.0642.g1.t1, Beroe_ovata_Bova1_4.0049.g39.t3 Bova1_4.0049.g39.t3, Beroe_ovata_Bova1_4.0049.g39.t4 Bova1_4.0049.g39.t4, Beroe_ovata_Bova1_4.0049.g39.t5 Bova1_4.0049.g39.t5, Beroe_ovata_Bova1_4.0049.g39.t1 Bova1_4.0049.g39.t1, Beroe_ovata_Bova1_4.0049.g39.t2 Bova1_4.0049.g39.t2	Exaiptasia_diaphana_XP_020912671.1 XP_020912671.1 attractin-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915954.1 XP_020915954.1 attractin-like protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916106.1 XP_020916106.1 attractin-like protein 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916031.1 XP_020916031.1 attractin-like protein 1 isoform X2 [Exaiptasia diaphana]
OG0000036	Beroe_ovata_Bova1_4.0040.g35.t1 Bova1_4.0040.g35.t1	Exaiptasia_diaphana_XP_020892218.1 XP_020892218.1 multiple epidermal growth factor-like domains protein 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517635.1 XP_028517635.1 uncharacterized protein LOC110248802 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517640.1 XP_028517640.1 uncharacterized protein LOC110248802 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892203.2 XP_020892203.2 uncharacterized protein LOC110231525 [Exaiptasia diaphana]
OG0000041	Beroe_ovata_Bova1_4.0027.g44.t1 Bova1_4.0027.g44.t1	Exaiptasia_diaphana_XP_020905592.1 XP_020905592.1 von Willebrand factor A domain-containing protein 5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513909.1 XP_028513909.1 uncharacterized protein LOC110235739 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903341.1 XP_020903341.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903342.1 XP_020903342.1 von Willebrand factor A domain-containing protein 5B1 isoform X2 [Exaiptasia diaphana]
