Orthogroup	Ctenophora_Nuda_Beroe_ovata	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000002	Beroe_ovata_Bova1_4.0176.g1.t1 Bova1_4.0176.g1.t1, Beroe_ovata_Bova1_4.2215.g1.t1 Bova1_4.2215.g1.t1	Aurelia_aurita_Seg1881.5 Seg1881.5 transcript_id=Seg1881.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1881.5_GoldUCD_D3Y31, Aurelia_aurita_Seg4590.1 Seg4590.1 transcript_id=Seg4590.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4590.1_GoldUCD_D3Y31, Aurelia_aurita_Seg979.1 Seg979.1 transcript_id=Seg979.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg979.1_GoldUCD_D3Y31 partial=true
OG0000003	Beroe_ovata_Bova1_4.0188.g3.t1 Bova1_4.0188.g3.t1, Beroe_ovata_Bova1_4.0188.g5.t1 Bova1_4.0188.g5.t1	Aurelia_aurita_Seg2343.5 Seg2343.5 transcript_id=Seg2343.5_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg2343.5_GoldUCD_D3Y31, Aurelia_aurita_Seg3108.1 Seg3108.1 transcript_id=Seg3108.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg3108.1_GoldUCD_D3Y31 partial=true
OG0000003	Beroe_ovata_Bova1_4.0033.g69.t1 Bova1_4.0033.g69.t1	Aurelia_aurita_Seg17386.1 Seg17386.1 transcript_id=Seg17386.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg17386.1_GoldUCD_D3Y31
OG0000003	Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1	Aurelia_aurita_Seg2695.2 Seg2695.2 transcript_id=Seg2695.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-3 protein_id=Seg2695.2_GoldUCD_D3Y31, Aurelia_aurita_Seg328.6 Seg328.6 transcript_id=Seg328.6_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg328.6_GoldUCD_D3Y31, Aurelia_aurita_Seg4940.1 Seg4940.1 transcript_id=Seg4940.1_GoldUCD_mRNA.D3Y31 product="Neurogenic locus notch protein 2" protein_id=Seg4940.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg7911.1 Seg7911.1 transcript_id=Seg7911.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg7911.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg288.7 Seg288.7 transcript_id=Seg288.7_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.7_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.12 Seg1379.12 transcript_id=Seg1379.12_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1379.12_GoldUCD_D3Y31, Aurelia_aurita_Seg919.2 Seg919.2 transcript_id=Seg919.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg919.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1379.14 Seg1379.14 transcript_id=Seg1379.14_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg1379.14_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg288.6 Seg288.6 transcript_id=Seg288.6_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg288.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg841.23 Seg841.23 transcript_id=Seg841.23_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg841.23_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg729.4 Seg729.4 transcript_id=Seg729.4_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg729.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg689.1 Seg689.1 transcript_id=Seg689.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg689.1_GoldUCD_D3Y31
OG0000004	Beroe_ovata_Bova1_4.0009.g97.t1 Bova1_4.0009.g97.t1	Aurelia_aurita_Seg593.6 Seg593.6 transcript_id=Seg593.6_GoldUCD_mRNA.D3Y31 product="Cadherin EGF LAG seven-pass G-type receptor 3" protein_id=Seg593.6_GoldUCD_D3Y31, Aurelia_aurita_Seg1797.2 Seg1797.2 transcript_id=Seg1797.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1797.2_GoldUCD_D3Y31
OG0000005	Beroe_ovata_Bova1_4.0134.g16.t1 Bova1_4.0134.g16.t1	Aurelia_aurita_Seg703.1 Seg703.1 transcript_id=Seg703.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg703.1_GoldUCD_D3Y31
OG0000005	Beroe_ovata_Bova1_4.0019.g62.t1 Bova1_4.0019.g62.t1	Aurelia_aurita_Seg4825.1 Seg4825.1 transcript_id=Seg4825.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg4825.1_GoldUCD_D3Y31 partial=true
OG0000005	Beroe_ovata_Bova1_4.0040.g7.t1 Bova1_4.0040.g7.t1, Beroe_ovata_Bova1_4.0040.g7.t2 Bova1_4.0040.g7.t2	Aurelia_aurita_Seg129.4 Seg129.4 transcript_id=Seg129.4_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg129.4_GoldUCD_D3Y31
OG0000006	Beroe_ovata_Bova1_4.0426.g1.t1 Bova1_4.0426.g1.t1, Beroe_ovata_Bova1_4.0137.g7.t1 Bova1_4.0137.g7.t1, Beroe_ovata_Bova1_4.0347.g7.t1 Bova1_4.0347.g7.t1, Beroe_ovata_Bova1_4.0312.g12.t1 Bova1_4.0312.g12.t1, Beroe_ovata_Bova1_4.0078.g13.t1 Bova1_4.0078.g13.t1, Beroe_ovata_Bova1_4.0002.g198.t1 Bova1_4.0002.g198.t1, Beroe_ovata_Bova1_4.0164.g21.t1 Bova1_4.0164.g21.t1, Beroe_ovata_Bova1_4.1808.g1.t1 Bova1_4.1808.g1.t1, Beroe_ovata_Bova1_4.0097.g29.t1 Bova1_4.0097.g29.t1, Beroe_ovata_Bova1_4.0097.g23.t1 Bova1_4.0097.g23.t1, Beroe_ovata_Bova1_4.0097.g22.t1 Bova1_4.0097.g22.t1, Beroe_ovata_Bova1_4.0597.g2.t1 Bova1_4.0597.g2.t1, Beroe_ovata_Bova1_4.0170.g6.t2 Bova1_4.0170.g6.t2, Beroe_ovata_Bova1_4.0170.g6.t1 Bova1_4.0170.g6.t1, Beroe_ovata_Bova1_4.0005.g63.t1 Bova1_4.0005.g63.t1, Beroe_ovata_Bova1_4.0005.g61.t1 Bova1_4.0005.g61.t1	Aurelia_aurita_Seg5645.2 Seg5645.2 transcript_id=Seg5645.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5645.2_GoldUCD_D3Y31 partial=true
OG0000007	Beroe_ovata_Bova1_4.0577.g3.t1 Bova1_4.0577.g3.t1	Aurelia_aurita_Seg1446.9 Seg1446.9 transcript_id=Seg1446.9_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1446.9_GoldUCD_D3Y31
OG0000007	Beroe_ovata_Bova1_4.0286.g1.t1 Bova1_4.0286.g1.t1	Aurelia_aurita_Seg1789.9 Seg1789.9 transcript_id=Seg1789.9_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg1789.9_GoldUCD_D3Y31 partial=true
OG0000007	Beroe_ovata_Bova1_4.0012.g66.t1 Bova1_4.0012.g66.t1, Beroe_ovata_Bova1_4.0012.g65.t1 Bova1_4.0012.g65.t1	Aurelia_aurita_Seg2947.5 Seg2947.5 transcript_id=Seg2947.5_GoldUCD_mRNA.D3Y31 product="Adhesion G protein-coupled receptor E1" protein_id=Seg2947.5_GoldUCD_D3Y31
OG0000008	Beroe_ovata_Bova1_4.0183.g11.t1 Bova1_4.0183.g11.t1	Aurelia_aurita_Seg3969.1 Seg3969.1 transcript_id=Seg3969.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg3969.1_GoldUCD_D3Y31 partial=true
OG0000009	Beroe_ovata_Bova1_4.0270.g12.t1 Bova1_4.0270.g12.t1	Aurelia_aurita_Seg1882.13 Seg1882.13 transcript_id=Seg1882.13_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1882.13_GoldUCD_D3Y31
OG0000010	Beroe_ovata_Bova1_4.0065.g13.t2 Bova1_4.0065.g13.t2, Beroe_ovata_Bova1_4.0065.g13.t1 Bova1_4.0065.g13.t1, Beroe_ovata_Bova1_4.0057.g8.t1 Bova1_4.0057.g8.t1	Aurelia_aurita_Seg114.11 Seg114.11 transcript_id=Seg114.11_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg114.11_GoldUCD_D3Y31 partial=true
OG0000010	Beroe_ovata_Bova1_4.0203.g21.t1 Bova1_4.0203.g21.t1	Aurelia_aurita_Seg1855.12 Seg1855.12 transcript_id=Seg1855.12_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" pseudo=true protein_id=Seg1855.12_GoldUCD_D3Y31, Aurelia_aurita_Seg3520.1 Seg3520.1 transcript_id=Seg3520.1_GoldUCD_mRNA.D3Y31 product=Pikachurin protein_id=Seg3520.1_GoldUCD_D3Y31
OG0000010	Beroe_ovata_Bova1_4.0344.g2.t1 Bova1_4.0344.g2.t1, Beroe_ovata_Bova1_4.0113.g30.t1 Bova1_4.0113.g30.t1, Beroe_ovata_Bova1_4.0113.g29.t1 Bova1_4.0113.g29.t1	Aurelia_aurita_Seg1962.7 Seg1962.7 transcript_id=Seg1962.7_GoldUCD_mRNA.D3Y31 product=Agrin protein_id=Seg1962.7_GoldUCD_D3Y31, Aurelia_aurita_Seg5994.1 Seg5994.1 transcript_id=Seg5994.1_GoldUCD_mRNA.D3Y31 product=Agrin protein_id=Seg5994.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4070.2 Seg4070.2 transcript_id=Seg4070.2_GoldUCD_mRNA.D3Y31 product=Follistatin-A protein_id=Seg4070.2_GoldUCD_D3Y31
OG0000011	Beroe_ovata_Bova1_4.1430.g1.t1 Bova1_4.1430.g1.t1	Aurelia_aurita_Seg1575.4 Seg1575.4 transcript_id=Seg1575.4_GoldUCD_mRNA.D3Y31 product=Plasminogen protein_id=Seg1575.4_GoldUCD_D3Y31 partial=true
OG0000011	Beroe_ovata_Bova1_4.0473.g3.t2 Bova1_4.0473.g3.t2, Beroe_ovata_Bova1_4.0473.g3.t1 Bova1_4.0473.g3.t1	Aurelia_aurita_Seg3536.1 Seg3536.1 transcript_id=Seg3536.1_GoldUCD_mRNA.D3Y31 product=Plasminogen protein_id=Seg3536.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2534.2 Seg2534.2 transcript_id=Seg2534.2_GoldUCD_mRNA.D3Y31 product="putative apolipoprotein" protein_id=Seg2534.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3536.2 Seg3536.2 transcript_id=Seg3536.2_GoldUCD_mRNA.D3Y31 product=Plasminogen protein_id=Seg3536.2_GoldUCD_D3Y31
OG0000012	Beroe_ovata_Bova1_4.0055.g43.t1 Bova1_4.0055.g43.t1, Beroe_ovata_Bova1_4.0090.g28.t2 Bova1_4.0090.g28.t2, Beroe_ovata_Bova1_4.0090.g28.t1 Bova1_4.0090.g28.t1, Beroe_ovata_Bova1_4.0548.g1.t2 Bova1_4.0548.g1.t2, Beroe_ovata_Bova1_4.0548.g1.t1 Bova1_4.0548.g1.t1	Aurelia_aurita_Seg86.3_Seg86.5 Seg86.3_Seg86.5 transcript_id=Seg86.3_Seg86.5_GoldUCD_mRNA.D3Y31 product="BMP-binding endothelial regulator protein" protein_id=Seg86.3_Seg86.5_GoldUCD_D3Y31
OG0000013	Beroe_ovata_Bova1_4.0066.g65.t1 Bova1_4.0066.g65.t1	Aurelia_aurita_Seg564.8 Seg564.8 transcript_id=Seg564.8_GoldUCD_mRNA.D3Y31 product="Protein Wnt-6" protein_id=Seg564.8_GoldUCD_D3Y31 partial=true
OG0000013	Beroe_ovata_Bova1_4.0140.g20.t1 Bova1_4.0140.g20.t1	Aurelia_aurita_Seg145.5 Seg145.5 transcript_id=Seg145.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-2b" protein_id=Seg145.5_GoldUCD_D3Y31
OG0000013	Beroe_ovata_Bova1_4.0030.g66.t1 Bova1_4.0030.g66.t1	Aurelia_aurita_Seg3175.2 Seg3175.2 transcript_id=Seg3175.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-5a" protein_id=Seg3175.2_GoldUCD_D3Y31 partial=true
OG0000015	Beroe_ovata_Bova1_4.0052.g5.t1 Bova1_4.0052.g5.t1, Beroe_ovata_Bova1_4.0628.g1.t1 Bova1_4.0628.g1.t1	Aurelia_aurita_Seg2149.3 Seg2149.3 transcript_id=Seg2149.3_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2149.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3316.2 Seg3316.2 transcript_id=Seg3316.2_GoldUCD_mRNA.D3Y31 product="Oncoprotein-induced transcript 3 protein" protein_id=Seg3316.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2133.4 Seg2133.4 transcript_id=Seg2133.4_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2133.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1962.3 Seg1962.3 transcript_id=Seg1962.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1962.3_GoldUCD_D3Y31
OG0000015	Beroe_ovata_Bova1_4.0080.g8.t1 Bova1_4.0080.g8.t1, Beroe_ovata_Bova1_4.0039.g24.t1 Bova1_4.0039.g24.t1, Beroe_ovata_Bova1_4.0237.g3.t1 Bova1_4.0237.g3.t1, Beroe_ovata_Bova1_4.0030.g78.t1 Bova1_4.0030.g78.t1	Aurelia_aurita_Seg4163.1 Seg4163.1 transcript_id=Seg4163.1_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg4163.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3662.4 Seg3662.4 transcript_id=Seg3662.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3662.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3222.1 Seg3222.1 transcript_id=Seg3222.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg3222.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2118.4 Seg2118.4 transcript_id=Seg2118.4_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2118.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1079.7 Seg1079.7 transcript_id=Seg1079.7_GoldUCD_mRNA.D3Y31 product="E3 ubiquitin-protein ligase ZSWIM2" protein_id=Seg1079.7_GoldUCD_D3Y31, Aurelia_aurita_Seg695.1 Seg695.1 transcript_id=Seg695.1_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg695.1_GoldUCD_D3Y31, Aurelia_aurita_Seg61.6 Seg61.6 transcript_id=Seg61.6_GoldUCD_mRNA.D3Y31 product="Pancreatic secretory granule membrane major glycoprotein GP2" protein_id=Seg61.6_GoldUCD_D3Y31, Aurelia_aurita_Seg3270.2 Seg3270.2 transcript_id=Seg3270.2_GoldUCD_mRNA.D3Y31 product="CUB and zona pellucida-like domain-containing protein 1" protein_id=Seg3270.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg843.3 Seg843.3 transcript_id=Seg843.3_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg843.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2333.6 Seg2333.6 transcript_id=Seg2333.6_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2333.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1221.2 Seg1221.2 transcript_id=Seg1221.2_GoldUCD_mRNA.D3Y31 product="Pancreatic secretory granule membrane major glycoprotein GP2" protein_id=Seg1221.2_GoldUCD_D3Y31, Aurelia_aurita_Seg961.1 Seg961.1 transcript_id=Seg961.1_GoldUCD_mRNA.D3Y31 product="Pancreatic secretory granule membrane major glycoprotein GP2" protein_id=Seg961.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2759.1 Seg2759.1 transcript_id=Seg2759.1_GoldUCD_mRNA.D3Y31 product="Pancreatic secretory granule membrane major glycoprotein GP2" protein_id=Seg2759.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1354.16 Seg1354.16 transcript_id=Seg1354.16_GoldUCD_mRNA.D3Y31 product=Uromodulin protein_id=Seg1354.16_GoldUCD_D3Y31, Aurelia_aurita_Seg207.8 Seg207.8 transcript_id=Seg207.8_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg207.8_GoldUCD_D3Y31 partial=true
OG0000016	Beroe_ovata_Bova1_4.0017.g73.t1 Bova1_4.0017.g73.t1	Aurelia_aurita_Seg6389.1 Seg6389.1 transcript_id=Seg6389.1_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-17" protein_id=Seg6389.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg708.15 Seg708.15 transcript_id=Seg708.15_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-25" protein_id=Seg708.15_GoldUCD_D3Y31
OG0000016	Beroe_ovata_Bova1_4.0289.g3.t1 Bova1_4.0289.g3.t1, Beroe_ovata_Bova1_4.0289.g2.t1 Bova1_4.0289.g2.t1	Aurelia_aurita_Seg5044.4 Seg5044.4 transcript_id=Seg5044.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5044.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5044.5 Seg5044.5 transcript_id=Seg5044.5_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5044.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1669.1 Seg1669.1 transcript_id=Seg1669.1_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-16" protein_id=Seg1669.1_GoldUCD_D3Y31
OG0000017	Beroe_ovata_Bova1_4.0122.g5.t1 Bova1_4.0122.g5.t1, Beroe_ovata_Bova1_4.0122.g4.t1 Bova1_4.0122.g4.t1, Beroe_ovata_Bova1_4.0025.g11.t1 Bova1_4.0025.g11.t1	Aurelia_aurita_Seg1738.13 Seg1738.13 transcript_id=Seg1738.13_GoldUCD_mRNA.D3Y31 product="Serpin B6" protein_id=Seg1738.13_GoldUCD_D3Y31, Aurelia_aurita_Seg2208.2 Seg2208.2 transcript_id=Seg2208.2_GoldUCD_mRNA.D3Y31 product="Serpin B6" protein_id=Seg2208.2_GoldUCD_D3Y31, Aurelia_aurita_Seg659.5 Seg659.5 transcript_id=Seg659.5_GoldUCD_mRNA.D3Y31 product="Serpin B6" protein_id=Seg659.5_GoldUCD_D3Y31, Aurelia_aurita_Seg453.9 Seg453.9 transcript_id=Seg453.9_GoldUCD_mRNA.D3Y31 product="Serpin B10" protein_id=Seg453.9_GoldUCD_D3Y31
