Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000003	Coturnix_japonica_XP_015703924.1 CD209 antigen-like protein E isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold35.g61.t1 scaffold35.g61.t1, Morbakka_virulenta_scaffold35.g61.t3 scaffold35.g61.t3, Morbakka_virulenta_scaffold163.g30.t1 scaffold163.g30.t1, Morbakka_virulenta_scaffold2.g141.t1 scaffold2.g141.t1, Morbakka_virulenta_scaffold192.g7.t1 scaffold192.g7.t1, Morbakka_virulenta_scaffold252.g1.t1 scaffold252.g1.t1, Morbakka_virulenta_scaffold23.g83.t1 scaffold23.g83.t1
OG0000004	Coturnix_japonica_XP_015713068.1 vitrin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015720468.1 cochlin [Coturnix japonica]	Morbakka_virulenta_scaffold74.g40.t1 scaffold74.g40.t1
OG0000004	Coturnix_japonica_XP_015709146.1 collagen alpha-1_XXVIII_ chain [Coturnix japonica]	Morbakka_virulenta_scaffold502.g1.t1 scaffold502.g1.t1
OG0000005	Coturnix_japonica_XP_015715407.1 meprin A subunit alpha [Coturnix japonica], Coturnix_japonica_XP_015710982.1 meprin A subunit beta isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold318.g29.t1 scaffold318.g29.t1
OG0000005	Coturnix_japonica_XP_015720065.1 astacin-like metalloendopeptidase [Coturnix japonica]	Morbakka_virulenta_scaffold4121.g1.t1 scaffold4121.g1.t1, Morbakka_virulenta_scaffold16.g23.t2 scaffold16.g23.t2, Morbakka_virulenta_scaffold16.g23.t1 scaffold16.g23.t1, Morbakka_virulenta_scaffold195.g42.t1 scaffold195.g42.t1, Morbakka_virulenta_scaffold39.g61.t1 scaffold39.g61.t1, Morbakka_virulenta_scaffold294.g31.t1 scaffold294.g31.t1, Morbakka_virulenta_scaffold27.g77.t1 scaffold27.g77.t1, Morbakka_virulenta_scaffold377.g16.t1 scaffold377.g16.t1, Morbakka_virulenta_scaffold1609.g1.t1 scaffold1609.g1.t1, Morbakka_virulenta_scaffold17.g2.t1 scaffold17.g2.t1, Morbakka_virulenta_scaffold17.g3.t1 scaffold17.g3.t1, Morbakka_virulenta_scaffold550.g3.t1 scaffold550.g3.t1, Morbakka_virulenta_scaffold550.g3.t2 scaffold550.g3.t2, Morbakka_virulenta_scaffold550.g7.t1 scaffold550.g7.t1, Morbakka_virulenta_scaffold764.g1.t1 scaffold764.g1.t1, Morbakka_virulenta_scaffold550.g1.t1 scaffold550.g1.t1, Morbakka_virulenta_scaffold550.g6.t1 scaffold550.g6.t1, Morbakka_virulenta_scaffold550.g14.t1 scaffold550.g14.t1, Morbakka_virulenta_scaffold550.g14.t2 scaffold550.g14.t2, Morbakka_virulenta_scaffold550.g14.t3 scaffold550.g14.t3, Morbakka_virulenta_scaffold550.g15.t1 scaffold550.g15.t1, Morbakka_virulenta_scaffold550.g15.t2 scaffold550.g15.t2, Morbakka_virulenta_scaffold255.g8.t1 scaffold255.g8.t1, Morbakka_virulenta_scaffold71.g50.t3 scaffold71.g50.t3, Morbakka_virulenta_scaffold71.g50.t1 scaffold71.g50.t1, Morbakka_virulenta_scaffold71.g50.t2 scaffold71.g50.t2, Morbakka_virulenta_scaffold71.g45.t2 scaffold71.g45.t2, Morbakka_virulenta_scaffold71.g45.t1 scaffold71.g45.t1, Morbakka_virulenta_scaffold925.g1.t1 scaffold925.g1.t1, Morbakka_virulenta_scaffold94.g19.t1 scaffold94.g19.t1
OG0000006	Coturnix_japonica_XP_015724966.1 PREDICTED_ coagulation factor XIII B chain-like isoform X3 [Coturnix japonica]	Morbakka_virulenta_scaffold93.g18.t1 scaffold93.g18.t1
OG0000007	Coturnix_japonica_XP_015738107.1 PREDICTED_ LOW QUALITY PROTEIN_ multiple epidermal growth factor-like domains protein 6 [Coturnix japonica]	Morbakka_virulenta_scaffold123.g34.t1 scaffold123.g34.t1
OG0000007	Coturnix_japonica_XP_015727266.1 PREDICTED_ mucin-4 [Coturnix japonica]	Morbakka_virulenta_scaffold299.g20.t2 scaffold299.g20.t2, Morbakka_virulenta_scaffold299.g20.t4 scaffold299.g20.t4, Morbakka_virulenta_scaffold299.g20.t3 scaffold299.g20.t3, Morbakka_virulenta_scaffold299.g20.t1 scaffold299.g20.t1, Morbakka_virulenta_scaffold415.g7.t2 scaffold415.g7.t2, Morbakka_virulenta_scaffold415.g7.t1 scaffold415.g7.t1, Morbakka_virulenta_scaffold36.g25.t1 scaffold36.g25.t1, Morbakka_virulenta_scaffold29.g26.t1 scaffold29.g26.t1, Morbakka_virulenta_scaffold252.g2.t1 scaffold252.g2.t1, Morbakka_virulenta_scaffold252.g7.t1 scaffold252.g7.t1
OG0000009	Coturnix_japonica_XP_015726187.1 CUB domain-containing protein 2 isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold24.g118.t2 scaffold24.g118.t2, Morbakka_virulenta_scaffold24.g118.t1 scaffold24.g118.t1, Morbakka_virulenta_scaffold70.g34.t2 scaffold70.g34.t2, Morbakka_virulenta_scaffold70.g34.t1 scaffold70.g34.t1, Morbakka_virulenta_scaffold397.g10.t2 scaffold397.g10.t2, Morbakka_virulenta_scaffold397.g10.t3 scaffold397.g10.t3, Morbakka_virulenta_scaffold397.g10.t1 scaffold397.g10.t1, Morbakka_virulenta_scaffold171.g6.t1 scaffold171.g6.t1
OG0000010	Coturnix_japonica_XP_015737706.1 PREDICTED_ LOW QUALITY PROTEIN_ basement membrane-specific heparan sulfate proteoglycan core protein [Coturnix japonica]	Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1
OG0000010	Coturnix_japonica_XP_015703969.1 pikachurin [Coturnix japonica]	Morbakka_virulenta_scaffold149.g12.t1 scaffold149.g12.t1, Morbakka_virulenta_scaffold149.g12.t2 scaffold149.g12.t2
OG0000010	Coturnix_japonica_XP_015738166.1 agrin isoform X4 [Coturnix japonica]	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1
OG0000010	Coturnix_japonica_XP_015704191.1 follistatin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741848.1 follistatin-related protein 3 [Coturnix japonica]	Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1
OG0000012	Coturnix_japonica_XP_015708265.1 PREDICTED_ SCO-spondin [Coturnix japonica]	Morbakka_virulenta_scaffold150.g44.t1 scaffold150.g44.t1
OG0000012	Coturnix_japonica_XP_015710551.1 BMP-binding endothelial regulator protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015718813.1 LOW QUALITY PROTEIN_ von Willebrand factor C and EGF domain-containing protein [Coturnix japonica]	Morbakka_virulenta_scaffold155.g40.t1 scaffold155.g40.t1, Morbakka_virulenta_scaffold155.g40.t2 scaffold155.g40.t2
OG0000013	Coturnix_japonica_XP_015724725.1 protein Wnt-6 isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold120.g22.t1 scaffold120.g22.t1
OG0000013	Coturnix_japonica_XP_015742371.1 proto-oncogene Wnt-1 [Coturnix japonica]	Morbakka_virulenta_scaffold120.g23.t2 scaffold120.g23.t2, Morbakka_virulenta_scaffold1708.g1.t1 scaffold1708.g1.t1, Morbakka_virulenta_scaffold120.g23.t1 scaffold120.g23.t1
OG0000013	Coturnix_japonica_XP_015740945.1 PREDICTED_ proto-oncogene Wnt-3 [Coturnix japonica], Coturnix_japonica_XP_015708521.1 PREDICTED_ protein Wnt-3a [Coturnix japonica]	Morbakka_virulenta_scaffold3.g1.t1 scaffold3.g1.t1
OG0000013	Coturnix_japonica_XP_015737876.1 protein Wnt-4 isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold426.g7.t1 scaffold426.g7.t1
OG0000013	Coturnix_japonica_XP_015707967.1 protein Wnt-11 isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold18.g46.t1 scaffold18.g46.t1, Morbakka_virulenta_scaffold18.g51.t1 scaffold18.g51.t1
OG0000013	Coturnix_japonica_XP_015709062.1 protein Wnt-2 [Coturnix japonica], Coturnix_japonica_XP_015740732.1 protein Wnt-2b [Coturnix japonica]	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1
OG0000013	Coturnix_japonica_XP_015731087.1 protein Wnt-8a [Coturnix japonica], Coturnix_japonica_XP_015721972.1 PREDICTED_ protein Wnt-8b [Coturnix japonica]	Morbakka_virulenta_scaffold536.g7.t1 scaffold536.g7.t1
OG0000014	Coturnix_japonica_XP_015734540.1 A disintegrin and metalloproteinase with thrombospondin motifs 13 isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold175.g49.t1 scaffold175.g49.t1
OG0000014	Coturnix_japonica_XP_015734810.1 ADAMTS-like protein 2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015728200.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold67.g21.t1 scaffold67.g21.t1
OG0000014	Coturnix_japonica_XP_015728774.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015703899.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 [Coturnix japonica]	Morbakka_virulenta_scaffold2.g203.t4 scaffold2.g203.t4, Morbakka_virulenta_scaffold2.g203.t2 scaffold2.g203.t2, Morbakka_virulenta_scaffold2.g203.t3 scaffold2.g203.t3, Morbakka_virulenta_scaffold2.g203.t1 scaffold2.g203.t1
OG0000014	Coturnix_japonica_XP_015720070.1 papilin isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold105.g40.t1 scaffold105.g40.t1
OG0000014	Coturnix_japonica_XP_015710221.1 PREDICTED_ LOW QUALITY PROTEIN_ A disintegrin and metalloproteinase with thrombospondin motifs 20_ partial [Coturnix japonica], Coturnix_japonica_XP_015730744.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold269.g24.t1 scaffold269.g24.t1
OG0000017	Coturnix_japonica_XP_015720855.1 protein Z-dependent protease inhibitor isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733029.1 heparin cofactor 2 [Coturnix japonica], Coturnix_japonica_XP_015719142.1 plasma protease C1 inhibitor [Coturnix japonica], Coturnix_japonica_XP_015736135.1 alpha-2-antiplasmin isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold66.g59.t1 scaffold66.g59.t1, Morbakka_virulenta_scaffold259.g30.t1 scaffold259.g30.t1, Morbakka_virulenta_scaffold259.g31.t1 scaffold259.g31.t1, Morbakka_virulenta_scaffold237.g10.t1 scaffold237.g10.t1
OG0000018	Coturnix_japonica_XP_015722587.1 PREDICTED_ LOW QUALITY PROTEIN_ lysyl oxidase homolog 4-like [Coturnix japonica], Coturnix_japonica_XP_015705736.1 lysyl oxidase homolog 3 [Coturnix japonica], Coturnix_japonica_XP_015738393.1 lysyl oxidase homolog 2 [Coturnix japonica]	Morbakka_virulenta_scaffold203.g33.t1 scaffold203.g33.t1, Morbakka_virulenta_scaffold290.g29.t1 scaffold290.g29.t1, Morbakka_virulenta_scaffold290.g29.t2 scaffold290.g29.t2, Morbakka_virulenta_scaffold290.g29.t3 scaffold290.g29.t3
OG0000019	Coturnix_japonica_XP_015742291.1 PREDICTED_ growth/differentiation factor 15 [Coturnix japonica]	Morbakka_virulenta_scaffold47.g133.t1 scaffold47.g133.t1
OG0000019	Coturnix_japonica_XP_015738689.1 bone morphogenetic protein 8B-like [Coturnix japonica], Coturnix_japonica_XP_015714712.1 bone morphogenetic protein 5 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015710074.1 bone morphogenetic protein 6 [Coturnix japonica], Coturnix_japonica_XP_015737280.1 bone morphogenetic protein 7 [Coturnix japonica]	Morbakka_virulenta_scaffold135.g49.t1 scaffold135.g49.t1
OG0000019	Coturnix_japonica_XP_015721467.1 bone morphogenetic protein 4 [Coturnix japonica], Coturnix_japonica_XP_015712614.1 bone morphogenetic protein 2 [Coturnix japonica]	Morbakka_virulenta_scaffold7.g3.t1 scaffold7.g3.t1
OG0000019	Coturnix_japonica_XP_015705631.1 PREDICTED_ growth/differentiation factor 6_ partial [Coturnix japonica], Coturnix_japonica_XP_015736826.1 growth/differentiation factor 5 [Coturnix japonica], Coturnix_japonica_XP_015714970.1 growth/differentiation factor 7 [Coturnix japonica], Coturnix_japonica_XP_015717295.1 bone morphogenetic protein 3 [Coturnix japonica], Coturnix_japonica_XP_015722337.1 growth/differentiation factor 10 [Coturnix japonica]	Morbakka_virulenta_scaffold36.g28.t1 scaffold36.g28.t1
OG0000020	Coturnix_japonica_XP_015705870.1 collagen alpha-1_II_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741354.1 LOW QUALITY PROTEIN_ collagen alpha-1_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015709029.1 collagen alpha-2_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015723325.1 collagen alpha-1_III_ chain [Coturnix japonica], Coturnix_japonica_XP_015723324.1 collagen alpha-2_V_ chain [Coturnix japonica]	Morbakka_virulenta_scaffold39.g96.t1 scaffold39.g96.t1, Morbakka_virulenta_scaffold131.g48.t3 scaffold131.g48.t3, Morbakka_virulenta_scaffold131.g48.t2 scaffold131.g48.t2, Morbakka_virulenta_scaffold131.g48.t1 scaffold131.g48.t1, Morbakka_virulenta_scaffold461.g6.t1 scaffold461.g6.t1, Morbakka_virulenta_scaffold461.g6.t2 scaffold461.g6.t2
OG0000021	Coturnix_japonica_XP_015721444.1 nidogen-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015713380.1 nidogen-1 isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold66.g10.t1 scaffold66.g10.t1, Morbakka_virulenta_scaffold66.g10.t2 scaffold66.g10.t2
OG0000021	Coturnix_japonica_XP_015717481.1 pro-epidermal growth factor isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold377.g17.t1 scaffold377.g17.t1, Morbakka_virulenta_scaffold209.g39.t1 scaffold209.g39.t1
OG0000022	Coturnix_japonica_XP_015716358.1 PREDICTED_ annexin A10 [Coturnix japonica]	Morbakka_virulenta_scaffold19.g106.t1 scaffold19.g106.t1
OG0000022	Coturnix_japonica_XP_015722004.1 annexin A7 isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold487.g6.t1 scaffold487.g6.t1
OG0000023	Coturnix_japonica_XP_015721656.1 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738502.1 disintegrin and metalloproteinase domain-containing protein 28 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733264.1 disintegrin and metalloproteinase domain-containing protein 9-like [Coturnix japonica], Coturnix_japonica_XP_015738633.1 disintegrin and metalloproteinase domain-containing protein 9 [Coturnix japonica], Coturnix_japonica_XP_015723079.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 12 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015718482.1 disintegrin and metalloproteinase domain-containing protein 33 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015731731.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 19 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015723724.1 disintegrin and metalloproteinase domain-containing protein 23 [Coturnix japonica], Coturnix_japonica_XP_015708948.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740988.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 11 isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold206.g31.t1 scaffold206.g31.t1
OG0000024	Coturnix_japonica_XP_015716467.1 testican-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015731364.1 testican-1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721924.1 testican-2 [Coturnix japonica]	Morbakka_virulenta_scaffold12.g79.t1 scaffold12.g79.t1
OG0000028	Coturnix_japonica_XP_015706908.1 collagen alpha-1_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715960.1 collagen alpha-5_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726877.1 collagen alpha-3_IV_ chain [Coturnix japonica]	Morbakka_virulenta_scaffold9.g62.t1 scaffold9.g62.t1
OG0000030	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]	Morbakka_virulenta_scaffold273.g11.t2 scaffold273.g11.t2, Morbakka_virulenta_scaffold273.g11.t1 scaffold273.g11.t1
OG0000030	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold233.g2.t1 scaffold233.g2.t1
OG0000031	Coturnix_japonica_XP_015709056.1 PREDICTED_ von Willebrand factor D and EGF domain-containing protein [Coturnix japonica]	Morbakka_virulenta_scaffold277.g6.t1 scaffold277.g6.t1
OG0000034	Coturnix_japonica_XP_015728800.1 multiple epidermal growth factor-like domains protein 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705198.1 multiple epidermal growth factor-like domains protein 10 [Coturnix japonica]	Morbakka_virulenta_scaffold592.g10.t1 scaffold592.g10.t1, Morbakka_virulenta_scaffold592.g10.t2 scaffold592.g10.t2
OG0000036	Coturnix_japonica_XP_015734828.1 epidermal growth factor-like protein 7 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015703683.1 PREDICTED_ epidermal growth factor-like protein 6 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015716910.1 LOW QUALITY PROTEIN_ nephronectin [Coturnix japonica]	Morbakka_virulenta_scaffold2.g64.t1 scaffold2.g64.t1
OG0000037	Coturnix_japonica_XP_015707407.1 periostin isoform X8 [Coturnix japonica], Coturnix_japonica_XP_015731386.1 transforming growth factor-beta-induced protein ig-h3 [Coturnix japonica]	Morbakka_virulenta_scaffold93.g25.t1 scaffold93.g25.t1, Morbakka_virulenta_scaffold93.g22.t1 scaffold93.g22.t1
OG0000038	Coturnix_japonica_XP_015734323.1 tumor necrosis factor ligand superfamily member 15 [Coturnix japonica], Coturnix_japonica_XP_015725223.1 PREDICTED_ tumor necrosis factor ligand superfamily member 6 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015707222.1 tumor necrosis factor ligand superfamily member 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015727439.1 tumor necrosis factor ligand superfamily member 10 isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold302.g10.t1 scaffold302.g10.t1
OG0000040	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold37.g21.t1 scaffold37.g21.t1, Morbakka_virulenta_scaffold37.g22.t1 scaffold37.g22.t1
OG0000041	Coturnix_japonica_XP_015740894.1 PREDICTED_ LOW QUALITY PROTEIN_ von Willebrand factor A domain-containing protein 5A [Coturnix japonica]	Morbakka_virulenta_scaffold235.g13.t1 scaffold235.g13.t1, Morbakka_virulenta_scaffold235.g9.t1 scaffold235.g9.t1, Morbakka_virulenta_scaffold71.g73.t1 scaffold71.g73.t1
OG0000041	Coturnix_japonica_XP_015727259.1 von Willebrand factor A domain-containing protein 5B2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737811.1 von Willebrand factor A domain-containing protein 5B1 [Coturnix japonica]	Morbakka_virulenta_scaffold92.g7.t1 scaffold92.g7.t1
OG0000044	Coturnix_japonica_XP_015737318.1 protein-glutamine gamma-glutamyltransferase 2 [Coturnix japonica], Coturnix_japonica_XP_015736940.1 PREDICTED_ protein-glutamine gamma-glutamyltransferase E-like_ partial [Coturnix japonica], Coturnix_japonica_XP_015736972.1 protein-glutamine gamma-glutamyltransferase 6-like [Coturnix japonica], Coturnix_japonica_XP_015709680.1 protein-glutamine gamma-glutamyltransferase 4 [Coturnix japonica], Coturnix_japonica_XP_015710131.1 coagulation factor XIII A chain [Coturnix japonica]	Morbakka_virulenta_scaffold291.g8.t1 scaffold291.g8.t1, Morbakka_virulenta_scaffold99.g38.t1 scaffold99.g38.t1, Morbakka_virulenta_scaffold90.g31.t1 scaffold90.g31.t1, Morbakka_virulenta_scaffold90.g28.t1 scaffold90.g28.t1, Morbakka_virulenta_scaffold433.g1.t1 scaffold433.g1.t1
OG0000045	Coturnix_japonica_XP_015710913.1 PREDICTED_ laminin subunit alpha-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015736975.1 laminin subunit alpha-5 isoform X3 [Coturnix japonica]	Morbakka_virulenta_scaffold63.g34.t1 scaffold63.g34.t1, Morbakka_virulenta_scaffold63.g34.t2 scaffold63.g34.t2, Morbakka_virulenta_scaffold63.g33.t1 scaffold63.g33.t1, Morbakka_virulenta_scaffold268.g14.t1 scaffold268.g14.t1, Morbakka_virulenta_scaffold15.g22.t1 scaffold15.g22.t1
OG0000045	Coturnix_japonica_XP_015714210.1 laminin subunit alpha-4 [Coturnix japonica]	Morbakka_virulenta_scaffold15.g24.t1 scaffold15.g24.t1
OG0000049	Coturnix_japonica_XP_015730469.1 plexin-A1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740621.1 PREDICTED_ plexin-A2 [Coturnix japonica], Coturnix_japonica_XP_015716725.1 plexin-A4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730724.1 plexin-B1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015708110.1 plexin-B2 [Coturnix japonica], Coturnix_japonica_XP_015730333.1 plexin-D1 [Coturnix japonica]	Morbakka_virulenta_scaffold314.g7.t1 scaffold314.g7.t1
OG0000054	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]	Morbakka_virulenta_scaffold47.g48.t2 scaffold47.g48.t2, Morbakka_virulenta_scaffold47.g48.t1 scaffold47.g48.t1
OG0000059	Coturnix_japonica_XP_015740640.1 signal peptide_ CUB and EGF-like domain-containing protein 3 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015725419.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015719548.1 PREDICTED_ signal peptide_ CUB and EGF-like domain-containing protein 2 isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold164.g5.t1 scaffold164.g5.t1
OG0000064	Coturnix_japonica_XP_015720647.1 PREDICTED_ latent-transforming growth factor beta-binding protein 2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015713186.1 latent-transforming growth factor beta-binding protein 1 isoform X6 [Coturnix japonica]	Morbakka_virulenta_scaffold164.g7.t1 scaffold164.g7.t1
OG0000065	Coturnix_japonica_XP_015707026.1 glypican-5 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715912.1 glypican-3 isoform X1 [Coturnix japonica]	Morbakka_virulenta_scaffold1.g340.t1 scaffold1.g340.t1
OG0000070	Coturnix_japonica_XP_015714841.1 peroxidasin homolog [Coturnix japonica], Coturnix_japonica_XP_015737187.1 peroxidasin homolog [Coturnix japonica]	Morbakka_virulenta_scaffold190.g18.t1 scaffold190.g18.t1
OG0000080	Coturnix_japonica_XP_015719193.1 metalloproteinase inhibitor 3 [Coturnix japonica], Coturnix_japonica_XP_015735526.1 metalloproteinase inhibitor 2 [Coturnix japonica], Coturnix_japonica_XP_015730262.1 metalloproteinase inhibitor 4 isoform X3 [Coturnix japonica]	Morbakka_virulenta_scaffold190.g25.t1 scaffold190.g25.t1
