Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000005	Coturnix_japonica_XP_015720065.1 astacin-like metalloendopeptidase [Coturnix japonica]	Stylophora_pistillata_Spis797 Spis797 SpisGene797, Stylophora_pistillata_Spis2128 Spis2128 SpisGene2128, Stylophora_pistillata_Spis2115 Spis2115 SpisGene2115, Stylophora_pistillata_Spis2327 Spis2327 SpisGene2327, Stylophora_pistillata_Spis13923 Spis13923 SpisGene13923, Stylophora_pistillata_Spis1719 Spis1719 SpisGene1719, Stylophora_pistillata_Spis16896 Spis16896 SpisGene16896, Stylophora_pistillata_Spis16898 Spis16898 SpisGene16898, Stylophora_pistillata_Spis3143 Spis3143 SpisGene3143, Stylophora_pistillata_Spis4342 Spis4342 SpisGene4342, Stylophora_pistillata_Spis14627 Spis14627 SpisGene14627
OG0000006	Coturnix_japonica_XP_015724966.1 PREDICTED_ coagulation factor XIII B chain-like isoform X3 [Coturnix japonica]	Stylophora_pistillata_Spis1220 Spis1220 SpisGene1220, Stylophora_pistillata_Spis1242 Spis1242 SpisGene1242, Stylophora_pistillata_Spis1227 Spis1227 SpisGene1227, Stylophora_pistillata_Spis1225.t1 Spis1225.t1 SpisGene1225, Stylophora_pistillata_Spis1216 Spis1216 SpisGene1216, Stylophora_pistillata_Spis16437 Spis16437 SpisGene16437
OG0000006	Coturnix_japonica_XP_015715861.1 sushi repeat-containing protein SRPX2 [Coturnix japonica], Coturnix_japonica_XP_015740022.1 sushi repeat-containing protein SRPX isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis10997 Spis10997 SpisGene10997, Stylophora_pistillata_Spis12361 Spis12361 SpisGene12361, Stylophora_pistillata_Spis18333 Spis18333 SpisGene18333, Stylophora_pistillata_Spis12364 Spis12364 SpisGene12364, Stylophora_pistillata_Spis12358 Spis12358 SpisGene12358, Stylophora_pistillata_Spis18334 Spis18334 SpisGene18334, Stylophora_pistillata_Spis21178 Spis21178 SpisGene21178, Stylophora_pistillata_Spis12362 Spis12362 SpisGene12362, Stylophora_pistillata_Spis12355 Spis12355 SpisGene12355, Stylophora_pistillata_Spis18329 Spis18329 SpisGene18329, Stylophora_pistillata_Spis12371 Spis12371 SpisGene12371, Stylophora_pistillata_Spis12372 Spis12372 SpisGene12372, Stylophora_pistillata_Spis18332 Spis18332 SpisGene18332, Stylophora_pistillata_Spis12360 Spis12360 SpisGene12360, Stylophora_pistillata_Spis12356 Spis12356 SpisGene12356, Stylophora_pistillata_Spis12363 Spis12363 SpisGene12363, Stylophora_pistillata_Spis12365 Spis12365 SpisGene12365, Stylophora_pistillata_Spis12370 Spis12370 SpisGene12370, Stylophora_pistillata_Spis10998 Spis10998 SpisGene10998
OG0000007	Coturnix_japonica_XP_015727266.1 PREDICTED_ mucin-4 [Coturnix japonica]	Stylophora_pistillata_Spis19279 Spis19279 SpisGene19279, Stylophora_pistillata_Spis23194 Spis23194 SpisGene23194, Stylophora_pistillata_Spis18040 Spis18040 SpisGene18040, Stylophora_pistillata_Spis19874 Spis19874 SpisGene19874, Stylophora_pistillata_Spis18038 Spis18038 SpisGene18038, Stylophora_pistillata_Spis18037 Spis18037 SpisGene18037, Stylophora_pistillata_Spis18041 Spis18041 SpisGene18041, Stylophora_pistillata_Spis23530 Spis23530 SpisGene23530, Stylophora_pistillata_Spis2770 Spis2770 SpisGene2770, Stylophora_pistillata_Spis2764 Spis2764 SpisGene2764, Stylophora_pistillata_Spis16998 Spis16998 SpisGene16998, Stylophora_pistillata_Spis16996 Spis16996 SpisGene16996, Stylophora_pistillata_Spis16440 Spis16440 SpisGene16440, Stylophora_pistillata_Spis16818 Spis16818 SpisGene16818, Stylophora_pistillata_Spis23200 Spis23200 SpisGene23200
OG0000009	Coturnix_japonica_XP_015726187.1 CUB domain-containing protein 2 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis16344 Spis16344 SpisGene16344, Stylophora_pistillata_Spis16137 Spis16137 SpisGene16137, Stylophora_pistillata_Spis16138 Spis16138 SpisGene16138, Stylophora_pistillata_Spis16135 Spis16135 SpisGene16135, Stylophora_pistillata_Spis18721 Spis18721 SpisGene18721, Stylophora_pistillata_Spis14789 Spis14789 SpisGene14789, Stylophora_pistillata_Spis14786 Spis14786 SpisGene14786, Stylophora_pistillata_Spis14787 Spis14787 SpisGene14787, Stylophora_pistillata_Spis14785 Spis14785 SpisGene14785, Stylophora_pistillata_Spis18539 Spis18539 SpisGene18539, Stylophora_pistillata_Spis12284 Spis12284 SpisGene12284, Stylophora_pistillata_Spis12283 Spis12283 SpisGene12283, Stylophora_pistillata_Spis18540 Spis18540 SpisGene18540, Stylophora_pistillata_Spis13082 Spis13082 SpisGene13082, Stylophora_pistillata_Spis6688 Spis6688 SpisGene6688, Stylophora_pistillata_Spis24451 Spis24451 SpisGene24451, Stylophora_pistillata_Spis8222 Spis8222 SpisGene8222, Stylophora_pistillata_Spis4454 Spis4454 SpisGene4454
OG0000010	Coturnix_japonica_XP_015727630.1 immunoglobulin superfamily member 10 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015704262.1 LOW QUALITY PROTEIN_ matrix-remodeling-associated protein 5 [Coturnix japonica]	Stylophora_pistillata_Spis19541 Spis19541 SpisGene19541
OG0000010	Coturnix_japonica_XP_015737706.1 PREDICTED_ LOW QUALITY PROTEIN_ basement membrane-specific heparan sulfate proteoglycan core protein [Coturnix japonica]	Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363
OG0000010	Coturnix_japonica_XP_015738166.1 agrin isoform X4 [Coturnix japonica]	Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579
OG0000011	Coturnix_japonica_XP_015719970.1 prothrombin [Coturnix japonica]	Stylophora_pistillata_Spis4945 Spis4945 SpisGene4945
OG0000011	Coturnix_japonica_XP_015733606.1 phosphoinositide-3-kinase-interacting protein 1 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis22183 Spis22183 SpisGene22183
OG0000012	Coturnix_japonica_XP_015708265.1 PREDICTED_ SCO-spondin [Coturnix japonica]	Stylophora_pistillata_Spis6613 Spis6613 SpisGene6613
OG0000012	Coturnix_japonica_XP_015739529.1 alpha-tectorin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015739529.1 alpha-tectorin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015710551.1 BMP-binding endothelial regulator protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015718813.1 LOW QUALITY PROTEIN_ von Willebrand factor C and EGF domain-containing protein [Coturnix japonica]	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321
OG0000013	Coturnix_japonica_XP_015724725.1 protein Wnt-6 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis10384 Spis10384 SpisGene10384
OG0000013	Coturnix_japonica_XP_015742371.1 proto-oncogene Wnt-1 [Coturnix japonica]	Stylophora_pistillata_Spis10385 Spis10385 SpisGene10385
OG0000013	Coturnix_japonica_XP_015740945.1 PREDICTED_ proto-oncogene Wnt-3 [Coturnix japonica], Coturnix_japonica_XP_015708521.1 PREDICTED_ protein Wnt-3a [Coturnix japonica]	Stylophora_pistillata_Spis10363 Spis10363 SpisGene10363
OG0000013	Coturnix_japonica_XP_015737876.1 protein Wnt-4 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis16312 Spis16312 SpisGene16312
OG0000013	Coturnix_japonica_XP_015720854.1 protein Wnt-5b [Coturnix japonica], Coturnix_japonica_XP_015730917.1 protein Wnt-5a isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis3866 Spis3866 SpisGene3866, Stylophora_pistillata_Spis3867 Spis3867 SpisGene3867
OG0000013	Coturnix_japonica_XP_015707967.1 protein Wnt-11 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis1461.t1 Spis1461.t1 SpisGene1461
OG0000013	Coturnix_japonica_XP_015725941.1 PREDICTED_ protein Wnt-7b [Coturnix japonica]	Stylophora_pistillata_Spis3868.t1 Spis3868.t1 SpisGene3868
OG0000013	Coturnix_japonica_XP_015709062.1 protein Wnt-2 [Coturnix japonica], Coturnix_japonica_XP_015740732.1 protein Wnt-2b [Coturnix japonica]	Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826
OG0000013	Coturnix_japonica_XP_015731087.1 protein Wnt-8a [Coturnix japonica], Coturnix_japonica_XP_015721972.1 PREDICTED_ protein Wnt-8b [Coturnix japonica]	Stylophora_pistillata_Spis18607.t1 Spis18607.t1 SpisGene18607, Stylophora_pistillata_Spis727 Spis727 SpisGene727, Stylophora_pistillata_Spis726 Spis726 SpisGene726, Stylophora_pistillata_Spis18606 Spis18606 SpisGene18606
OG0000013	Coturnix_japonica_XP_015724730.1 protein Wnt-10a [Coturnix japonica]	Stylophora_pistillata_Spis10383 Spis10383 SpisGene10383
OG0000014	Coturnix_japonica_XP_015734810.1 ADAMTS-like protein 2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015728200.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis347 Spis347 SpisGene347
OG0000014	Coturnix_japonica_XP_015728774.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015703899.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 [Coturnix japonica]	Stylophora_pistillata_Spis18290.t1 Spis18290.t1 SpisGene18290
OG0000014	Coturnix_japonica_XP_015720070.1 papilin isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis2407 Spis2407 SpisGene2407
OG0000014	Coturnix_japonica_XP_015710221.1 PREDICTED_ LOW QUALITY PROTEIN_ A disintegrin and metalloproteinase with thrombospondin motifs 20_ partial [Coturnix japonica], Coturnix_japonica_XP_015730744.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis12681 Spis12681 SpisGene12681
OG0000015	Coturnix_japonica_XP_015721772.1 oncoprotein-induced transcript 3 protein isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis12645 Spis12645 SpisGene12645, Stylophora_pistillata_Spis12644 Spis12644 SpisGene12644, Stylophora_pistillata_Spis12648 Spis12648 SpisGene12648, Stylophora_pistillata_Spis13905 Spis13905 SpisGene13905, Stylophora_pistillata_Spis12653 Spis12653 SpisGene12653, Stylophora_pistillata_Spis13901 Spis13901 SpisGene13901, Stylophora_pistillata_Spis12668 Spis12668 SpisGene12668, Stylophora_pistillata_Spis10275 Spis10275 SpisGene10275, Stylophora_pistillata_Spis6060 Spis6060 SpisGene6060, Stylophora_pistillata_Spis14393 Spis14393 SpisGene14393
OG0000017	Coturnix_japonica_XP_015725185.1 antithrombin-III [Coturnix japonica], Coturnix_japonica_XP_015709971.1 leukocyte elastase inhibitor-like [Coturnix japonica], Coturnix_japonica_XP_015709969.1 serpin B6-like [Coturnix japonica], Coturnix_japonica_XP_015710071.1 serpin B5 [Coturnix japonica], Coturnix_japonica_XP_015709958.1 PREDICTED_ heterochromatin-associated protein MENT isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015709963.1 serpin B10-like [Coturnix japonica], Coturnix_japonica_XP_015710070.1 serpin B12-like [Coturnix japonica]	Stylophora_pistillata_Spis1531 Spis1531 SpisGene1531, Stylophora_pistillata_Spis5283 Spis5283 SpisGene5283, Stylophora_pistillata_Spis1532 Spis1532 SpisGene1532
OG0000018	Coturnix_japonica_XP_015722587.1 PREDICTED_ LOW QUALITY PROTEIN_ lysyl oxidase homolog 4-like [Coturnix japonica], Coturnix_japonica_XP_015705736.1 lysyl oxidase homolog 3 [Coturnix japonica], Coturnix_japonica_XP_015738393.1 lysyl oxidase homolog 2 [Coturnix japonica]	Stylophora_pistillata_Spis5446 Spis5446 SpisGene5446, Stylophora_pistillata_Spis5444 Spis5444 SpisGene5444, Stylophora_pistillata_Spis5445 Spis5445 SpisGene5445
OG0000018	Coturnix_japonica_XP_015722969.1 PREDICTED_ deleted in malignant brain tumors 1 protein [Coturnix japonica]	Stylophora_pistillata_Spis23534 Spis23534 SpisGene23534, Stylophora_pistillata_Spis15395 Spis15395 SpisGene15395
OG0000019	Coturnix_japonica_XP_015738689.1 bone morphogenetic protein 8B-like [Coturnix japonica], Coturnix_japonica_XP_015714712.1 bone morphogenetic protein 5 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015710074.1 bone morphogenetic protein 6 [Coturnix japonica], Coturnix_japonica_XP_015737280.1 bone morphogenetic protein 7 [Coturnix japonica]	Stylophora_pistillata_Spis20402 Spis20402 SpisGene20402
OG0000019	Coturnix_japonica_XP_015721467.1 bone morphogenetic protein 4 [Coturnix japonica], Coturnix_japonica_XP_015712614.1 bone morphogenetic protein 2 [Coturnix japonica]	Stylophora_pistillata_Spis4504 Spis4504 SpisGene4504
OG0000019	Coturnix_japonica_XP_015705631.1 PREDICTED_ growth/differentiation factor 6_ partial [Coturnix japonica], Coturnix_japonica_XP_015736826.1 growth/differentiation factor 5 [Coturnix japonica], Coturnix_japonica_XP_015714970.1 growth/differentiation factor 7 [Coturnix japonica], Coturnix_japonica_XP_015717295.1 bone morphogenetic protein 3 [Coturnix japonica], Coturnix_japonica_XP_015722337.1 growth/differentiation factor 10 [Coturnix japonica]	Stylophora_pistillata_Spis8182.t1 Spis8182.t1 SpisGene8182
OG0000019	Coturnix_japonica_XP_015715521.1 bone morphogenetic protein 15 [Coturnix japonica]	Stylophora_pistillata_Spis8792 Spis8792 SpisGene8792
OG0000020	Coturnix_japonica_XP_015734782.1 collagen alpha-1_V_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725391.1 collagen alpha-1_XI_ chain isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis11483 Spis11483 SpisGene11483
OG0000020	Coturnix_japonica_XP_015705870.1 collagen alpha-1_II_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741354.1 LOW QUALITY PROTEIN_ collagen alpha-1_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015709029.1 collagen alpha-2_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015723325.1 collagen alpha-1_III_ chain [Coturnix japonica], Coturnix_japonica_XP_015723324.1 collagen alpha-2_V_ chain [Coturnix japonica]	Stylophora_pistillata_Spis1905 Spis1905 SpisGene1905, Stylophora_pistillata_Spis2741 Spis2741 SpisGene2741, Stylophora_pistillata_Spis2737 Spis2737 SpisGene2737, Stylophora_pistillata_Spis14939 Spis14939 SpisGene14939, Stylophora_pistillata_Spis2751 Spis2751 SpisGene2751
OG0000020	Coturnix_japonica_XP_015725659.1 collagen alpha-1_XXIV_ chain isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis279 Spis279 SpisGene279
OG0000021	Coturnix_japonica_XP_015721444.1 nidogen-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015713380.1 nidogen-1 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis9526 Spis9526 SpisGene9526
OG0000021	Coturnix_japonica_XP_015717481.1 pro-epidermal growth factor isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis24714 Spis24714 SpisGene24714
OG0000022	Coturnix_japonica_XP_015722004.1 annexin A7 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis3665 Spis3665 SpisGene3665
OG0000023	Coturnix_japonica_XP_015721656.1 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738502.1 disintegrin and metalloproteinase domain-containing protein 28 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733264.1 disintegrin and metalloproteinase domain-containing protein 9-like [Coturnix japonica], Coturnix_japonica_XP_015738633.1 disintegrin and metalloproteinase domain-containing protein 9 [Coturnix japonica], Coturnix_japonica_XP_015723079.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 12 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015718482.1 disintegrin and metalloproteinase domain-containing protein 33 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015731731.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 19 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015723724.1 disintegrin and metalloproteinase domain-containing protein 23 [Coturnix japonica], Coturnix_japonica_XP_015708948.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740988.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 11 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis8398 Spis8398 SpisGene8398
OG0000024	Coturnix_japonica_XP_015716467.1 testican-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015731364.1 testican-1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721924.1 testican-2 [Coturnix japonica]	Stylophora_pistillata_Spis13991 Spis13991 SpisGene13991
OG0000028	Coturnix_japonica_XP_015706908.1 collagen alpha-1_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715960.1 collagen alpha-5_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726877.1 collagen alpha-3_IV_ chain [Coturnix japonica]	Stylophora_pistillata_Spis2632 Spis2632 SpisGene2632
OG0000028	Coturnix_japonica_XP_015706905.1 collagen alpha-2_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715965.1 collagen alpha-6_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726876.1 collagen alpha-4_IV_ chain [Coturnix japonica]	Stylophora_pistillata_Spis2634 Spis2634 SpisGene2634
OG0000030	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]	Stylophora_pistillata_Spis8205 Spis8205 SpisGene8205
OG0000030	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis14458 Spis14458 SpisGene14458, Stylophora_pistillata_Spis18004 Spis18004 SpisGene18004
