Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Ctenophora_Nuda_Beroe_ovata
OG0000011	Coturnix_japonica_XP_015733606.1 phosphoinositide-3-kinase-interacting protein 1 isoform X1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0302.g5.t1 Bova1_4.0302.g5.t1, Beroe_ovata_Bova1_4.0302.g5.t2 Bova1_4.0302.g5.t2, Beroe_ovata_Bova1_4.0010.g40.t1 Bova1_4.0010.g40.t1, Beroe_ovata_Bova1_4.0064.g23.t1 Bova1_4.0064.g23.t1, Beroe_ovata_Bova1_4.0064.g22.t1 Bova1_4.0064.g22.t1, Beroe_ovata_Bova1_4.0015.g70.t1 Bova1_4.0015.g70.t1, Beroe_ovata_Bova1_4.0015.g69.t1 Bova1_4.0015.g69.t1, Beroe_ovata_Bova1_4.0392.g3.t1 Bova1_4.0392.g3.t1, Beroe_ovata_Bova1_4.0080.g30.t1 Bova1_4.0080.g30.t1, Beroe_ovata_Bova1_4.0180.g2.t1 Bova1_4.0180.g2.t1, Beroe_ovata_Bova1_4.0029.g24.t1 Bova1_4.0029.g24.t1, Beroe_ovata_Bova1_4.0214.g1.t1 Bova1_4.0214.g1.t1, Beroe_ovata_Bova1_4.0488.g3.t1 Bova1_4.0488.g3.t1, Beroe_ovata_Bova1_4.0129.g13.t1 Bova1_4.0129.g13.t1, Beroe_ovata_Bova1_4.0137.g25.t1 Bova1_4.0137.g25.t1, Beroe_ovata_Bova1_4.0201.g17.t1 Bova1_4.0201.g17.t1, Beroe_ovata_Bova1_4.0035.g21.t1 Bova1_4.0035.g21.t1, Beroe_ovata_Bova1_4.0084.g28.t1 Bova1_4.0084.g28.t1, Beroe_ovata_Bova1_4.0169.g24.t1 Bova1_4.0169.g24.t1
OG0000012	Coturnix_japonica_XP_015719204.1 PREDICTED_ mucin-6 [Coturnix japonica], Coturnix_japonica_XP_015719203.1 PREDICTED_ LOW QUALITY PROTEIN_ mucin-2 [Coturnix japonica], Coturnix_japonica_XP_015719308.1 mucin-5AC [Coturnix japonica], Coturnix_japonica_XP_015708265.1 PREDICTED_ SCO-spondin [Coturnix japonica], Coturnix_japonica_XP_015726977.1 von Willebrand factor [Coturnix japonica], Coturnix_japonica_XP_015719635.1 otogelin isoform X2 [Coturnix japonica]	Beroe_ovata_Bova1_4.0198.g22.t1 Bova1_4.0198.g22.t1, Beroe_ovata_Bova1_4.0198.g23.t1 Bova1_4.0198.g23.t1, Beroe_ovata_Bova1_4.0322.g6.t1 Bova1_4.0322.g6.t1
OG0000012	Coturnix_japonica_XP_015739529.1 alpha-tectorin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015739529.1 alpha-tectorin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015710551.1 BMP-binding endothelial regulator protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015718813.1 LOW QUALITY PROTEIN_ von Willebrand factor C and EGF domain-containing protein [Coturnix japonica]	Beroe_ovata_Bova1_4.0055.g43.t1 Bova1_4.0055.g43.t1, Beroe_ovata_Bova1_4.0090.g28.t2 Bova1_4.0090.g28.t2, Beroe_ovata_Bova1_4.0090.g28.t1 Bova1_4.0090.g28.t1, Beroe_ovata_Bova1_4.0548.g1.t2 Bova1_4.0548.g1.t2, Beroe_ovata_Bova1_4.0548.g1.t1 Bova1_4.0548.g1.t1
OG0000013	Coturnix_japonica_XP_015724725.1 protein Wnt-6 isoform X2 [Coturnix japonica]	Beroe_ovata_Bova1_4.0066.g65.t1 Bova1_4.0066.g65.t1
OG0000013	Coturnix_japonica_XP_015725941.1 PREDICTED_ protein Wnt-7b [Coturnix japonica], Coturnix_japonica_XP_015709062.1 protein Wnt-2 [Coturnix japonica], Coturnix_japonica_XP_015740732.1 protein Wnt-2b [Coturnix japonica]	Beroe_ovata_Bova1_4.0140.g20.t1 Bova1_4.0140.g20.t1
OG0000013	Coturnix_japonica_XP_015740908.1 PREDICTED_ protein Wnt-9b [Coturnix japonica], Coturnix_japonica_XP_015708473.1 protein Wnt-9a [Coturnix japonica]	Beroe_ovata_Bova1_4.0064.g51.t1 Bova1_4.0064.g51.t1, Beroe_ovata_Bova1_4.0064.g52.t1 Bova1_4.0064.g52.t1
OG0000015	Coturnix_japonica_XP_015721772.1 oncoprotein-induced transcript 3 protein isoform X1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0080.g8.t1 Bova1_4.0080.g8.t1, Beroe_ovata_Bova1_4.0039.g24.t1 Bova1_4.0039.g24.t1, Beroe_ovata_Bova1_4.0237.g3.t1 Bova1_4.0237.g3.t1, Beroe_ovata_Bova1_4.0030.g78.t1 Bova1_4.0030.g78.t1
OG0000017	Coturnix_japonica_XP_015720855.1 protein Z-dependent protease inhibitor isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733029.1 heparin cofactor 2 [Coturnix japonica], Coturnix_japonica_XP_015719142.1 plasma protease C1 inhibitor [Coturnix japonica], Coturnix_japonica_XP_015736135.1 alpha-2-antiplasmin isoform X1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0021.g29.t1 Bova1_4.0021.g29.t1, Beroe_ovata_Bova1_4.0101.g29.t1 Bova1_4.0101.g29.t1
OG0000019	Coturnix_japonica_XP_015742291.1 PREDICTED_ growth/differentiation factor 15 [Coturnix japonica]	Beroe_ovata_Bova1_4.0050.g21.t1 Bova1_4.0050.g21.t1, Beroe_ovata_Bova1_4.0050.g20.t1 Bova1_4.0050.g20.t1
OG0000019	Coturnix_japonica_XP_015723344.1 growth/differentiation factor 8 [Coturnix japonica], Coturnix_japonica_XP_015742513.1 growth/differentiation factor 11 [Coturnix japonica]	Beroe_ovata_Bova1_4.0118.g26.t1 Bova1_4.0118.g26.t1
OG0000019	Coturnix_japonica_XP_015738689.1 bone morphogenetic protein 8B-like [Coturnix japonica], Coturnix_japonica_XP_015714712.1 bone morphogenetic protein 5 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015710074.1 bone morphogenetic protein 6 [Coturnix japonica], Coturnix_japonica_XP_015737280.1 bone morphogenetic protein 7 [Coturnix japonica], Coturnix_japonica_XP_015721467.1 bone morphogenetic protein 4 [Coturnix japonica], Coturnix_japonica_XP_015712614.1 bone morphogenetic protein 2 [Coturnix japonica], Coturnix_japonica_XP_015705631.1 PREDICTED_ growth/differentiation factor 6_ partial [Coturnix japonica], Coturnix_japonica_XP_015736826.1 growth/differentiation factor 5 [Coturnix japonica], Coturnix_japonica_XP_015714970.1 growth/differentiation factor 7 [Coturnix japonica], Coturnix_japonica_XP_015717295.1 bone morphogenetic protein 3 [Coturnix japonica], Coturnix_japonica_XP_015722337.1 growth/differentiation factor 10 [Coturnix japonica], Coturnix_japonica_XP_015741601.1 embryonic growth/differentiation factor 1 [Coturnix japonica], Coturnix_japonica_XP_015715521.1 bone morphogenetic protein 15 [Coturnix japonica], Coturnix_japonica_XP_015738516.1 bone morphogenetic protein 10 [Coturnix japonica], Coturnix_japonica_XP_015722339.1 growth/differentiation factor 2 [Coturnix japonica], Coturnix_japonica_XP_015738559.1 nodal homolog [Coturnix japonica]	Beroe_ovata_Bova1_4.0040.g35.t3 Bova1_4.0040.g35.t3, Beroe_ovata_Bova1_4.0040.g35.t2 Bova1_4.0040.g35.t2
OG0000021	Coturnix_japonica_XP_015717481.1 pro-epidermal growth factor isoform X2 [Coturnix japonica]	Beroe_ovata_Bova1_4.0442.g1.t2 Bova1_4.0442.g1.t2, Beroe_ovata_Bova1_4.0442.g1.t1 Bova1_4.0442.g1.t1, Beroe_ovata_Bova1_4.0288.g8.t2 Bova1_4.0288.g8.t2, Beroe_ovata_Bova1_4.0288.g8.t3 Bova1_4.0288.g8.t3, Beroe_ovata_Bova1_4.0288.g8.t4 Bova1_4.0288.g8.t4, Beroe_ovata_Bova1_4.0288.g8.t1 Bova1_4.0288.g8.t1, Beroe_ovata_Bova1_4.0072.g25.t1 Bova1_4.0072.g25.t1, Beroe_ovata_Bova1_4.0018.g74.t1 Bova1_4.0018.g74.t1, Beroe_ovata_Bova1_4.0226.g12.t1 Bova1_4.0226.g12.t1
OG0000022	Coturnix_japonica_XP_015717391.1 annexin A5 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015731367.1 annexin A6 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015722277.1 annexin A8 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015728000.1 annexin A2 [Coturnix japonica], Coturnix_japonica_XP_015704635.1 annexin A1 [Coturnix japonica], Coturnix_japonica_XP_015738497.1 PREDICTED_ LOW QUALITY PROTEIN_ annexin A4 [Coturnix japonica], Coturnix_japonica_XP_015721609.1 annexin A11 [Coturnix japonica], Coturnix_japonica_XP_015716358.1 PREDICTED_ annexin A10 [Coturnix japonica]	Beroe_ovata_Bova1_4.0785.g1.t1 Bova1_4.0785.g1.t1, Beroe_ovata_Bova1_4.0354.g2.t1 Bova1_4.0354.g2.t1, Beroe_ovata_Bova1_4.0085.g13.t1 Bova1_4.0085.g13.t1
OG0000022	Coturnix_japonica_XP_015722004.1 annexin A7 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015711775.1 annexin A13 [Coturnix japonica]	Beroe_ovata_Bova1_4.0298.g2.t1 Bova1_4.0298.g2.t1, Beroe_ovata_Bova1_4.0337.g7.t1 Bova1_4.0337.g7.t1, Beroe_ovata_Bova1_4.0337.g7.t2 Bova1_4.0337.g7.t2
OG0000030	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]	Beroe_ovata_Bova1_4.0151.g33.t1 Bova1_4.0151.g33.t1, Beroe_ovata_Bova1_4.0151.g32.t1 Bova1_4.0151.g32.t1, Beroe_ovata_Bova1_4.0256.g28.t2 Bova1_4.0256.g28.t2, Beroe_ovata_Bova1_4.0256.g28.t1 Bova1_4.0256.g28.t1
OG0000030	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0003.g115.t1 Bova1_4.0003.g115.t1, Beroe_ovata_Bova1_4.0003.g114.t1 Bova1_4.0003.g114.t1
OG0000036	Coturnix_japonica_XP_015734828.1 epidermal growth factor-like protein 7 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015703683.1 PREDICTED_ epidermal growth factor-like protein 6 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015716910.1 LOW QUALITY PROTEIN_ nephronectin [Coturnix japonica]	Beroe_ovata_Bova1_4.0040.g35.t1 Bova1_4.0040.g35.t1
OG0000041	Coturnix_japonica_XP_015740894.1 PREDICTED_ LOW QUALITY PROTEIN_ von Willebrand factor A domain-containing protein 5A [Coturnix japonica], Coturnix_japonica_XP_015727259.1 von Willebrand factor A domain-containing protein 5B2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737811.1 von Willebrand factor A domain-containing protein 5B1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0027.g44.t1 Bova1_4.0027.g44.t1
OG0000044	Coturnix_japonica_XP_015737318.1 protein-glutamine gamma-glutamyltransferase 2 [Coturnix japonica], Coturnix_japonica_XP_015736940.1 PREDICTED_ protein-glutamine gamma-glutamyltransferase E-like_ partial [Coturnix japonica], Coturnix_japonica_XP_015736972.1 protein-glutamine gamma-glutamyltransferase 6-like [Coturnix japonica], Coturnix_japonica_XP_015709680.1 protein-glutamine gamma-glutamyltransferase 4 [Coturnix japonica], Coturnix_japonica_XP_015710131.1 coagulation factor XIII A chain [Coturnix japonica]	Beroe_ovata_Bova1_4.0038.g71.t1 Bova1_4.0038.g71.t1
OG0000045	Coturnix_japonica_XP_015710913.1 PREDICTED_ laminin subunit alpha-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015736975.1 laminin subunit alpha-5 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015714029.1 laminin subunit alpha-2 isoform X1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0013.g40.t1 Bova1_4.0013.g40.t1, Beroe_ovata_Bova1_4.0013.g39.t1 Bova1_4.0013.g39.t1
OG0000045	Coturnix_japonica_XP_015714210.1 laminin subunit alpha-4 [Coturnix japonica]	Beroe_ovata_Bova1_4.0938.g1.t1 Bova1_4.0938.g1.t1
OG0000049	Coturnix_japonica_XP_015730469.1 plexin-A1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740621.1 PREDICTED_ plexin-A2 [Coturnix japonica], Coturnix_japonica_XP_015716725.1 plexin-A4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730724.1 plexin-B1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015708110.1 plexin-B2 [Coturnix japonica], Coturnix_japonica_XP_015730333.1 plexin-D1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0316.g2.t1 Bova1_4.0316.g2.t1, Beroe_ovata_Bova1_4.1059.g2.t1 Bova1_4.1059.g2.t1, Beroe_ovata_Bova1_4.0316.g1.t2 Bova1_4.0316.g1.t2, Beroe_ovata_Bova1_4.0316.g1.t1 Bova1_4.0316.g1.t1, Beroe_ovata_Bova1_4.0027.g58.t1 Bova1_4.0027.g58.t1, Beroe_ovata_Bova1_4.0027.g59.t1 Bova1_4.0027.g59.t1
OG0000054	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]	Beroe_ovata_Bova1_4.0046.g52.t1 Bova1_4.0046.g52.t1
OG0000065	Coturnix_japonica_XP_015707026.1 glypican-5 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715912.1 glypican-3 isoform X1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0102.g7.t1 Bova1_4.0102.g7.t1, Beroe_ovata_Bova1_4.0102.g8.t1 Bova1_4.0102.g8.t1
OG0000078	Coturnix_japonica_XP_015714739.1 tubulointerstitial nephritis antigen isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738735.1 PREDICTED_ tubulointerstitial nephritis antigen-like [Coturnix japonica]	Beroe_ovata_Bova1_4.0097.g25.t1 Bova1_4.0097.g25.t1, Beroe_ovata_Bova1_4.0199.g16.t1 Bova1_4.0199.g16.t1, Beroe_ovata_Bova1_4.0018.g111.t1 Bova1_4.0018.g111.t1, Beroe_ovata_Bova1_4.0122.g38.t1 Bova1_4.0122.g38.t1
OG0000078	Coturnix_japonica_XP_015712526.1 cystatin [Coturnix japonica], Coturnix_japonica_XP_015712583.1 cystatin-F [Coturnix japonica]	Beroe_ovata_Bova1_4.0116.g23.t1 Bova1_4.0116.g23.t1, Beroe_ovata_Bova1_4.0169.g19.t1 Bova1_4.0169.g19.t1
OG0000081	Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica], Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0012.g48.t3 Bova1_4.0012.g48.t3, Beroe_ovata_Bova1_4.0012.g48.t2 Bova1_4.0012.g48.t2, Beroe_ovata_Bova1_4.0012.g48.t1 Bova1_4.0012.g48.t1
OG0000093	Coturnix_japonica_XP_015729012.1 leukocyte cysteine proteinase inhibitor 1-like [Coturnix japonica], Coturnix_japonica_XP_015729006.1 cystatin-B-like [Coturnix japonica]	Beroe_ovata_Bova1_4.0024.g37.t1 Bova1_4.0024.g37.t1, Beroe_ovata_Bova1_4.0024.g36.t1 Bova1_4.0024.g36.t1, Beroe_ovata_Bova1_4.0126.g23.t1 Bova1_4.0126.g23.t1, Beroe_ovata_Bova1_4.0024.g35.t1 Bova1_4.0024.g35.t1
OG0000114	Coturnix_japonica_XP_015719754.1 host cell factor 2 isoform X2 [Coturnix japonica]	Beroe_ovata_Bova1_4.0155.g12.t1 Bova1_4.0155.g12.t1, Beroe_ovata_Bova1_4.0155.g12.t2 Bova1_4.0155.g12.t2
OG0000141	Coturnix_japonica_XP_015736960.1 WNT1-inducible-signaling pathway protein 2 [Coturnix japonica], Coturnix_japonica_XP_015711858.1 WNT1-inducible-signaling pathway protein 1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015714079.1 PREDICTED_ LOW QUALITY PROTEIN_ WNT1-inducible-signaling pathway protein 3 [Coturnix japonica], Coturnix_japonica_XP_015714065.1 CCN family member 2 [Coturnix japonica], Coturnix_japonica_NP_001310148.1 CCN family member 3 precursor [Coturnix japonica], Coturnix_japonica_XP_015725662.1 CCN family member 1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0129.g39.t1 Bova1_4.0129.g39.t1
OG0000148	Coturnix_japonica_XP_015720635.1 transforming growth factor beta-3 proprotein [Coturnix japonica], Coturnix_japonica_XP_015712764.1 transforming growth factor beta-2 proprotein [Coturnix japonica], Coturnix_japonica_XP_015706031.1 PREDICTED_ transforming growth factor beta-1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0104.g11.t1 Bova1_4.0104.g11.t1
OG0000156	Coturnix_japonica_XP_015728918.1 microfibrillar-associated protein 1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0124.g23.t1 Bova1_4.0124.g23.t1
OG0000171	Coturnix_japonica_XP_015709459.1 PREDICTED_ peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0014.g57.t1 Bova1_4.0014.g57.t1
OG0000181	Coturnix_japonica_XP_015739261.1 PREDICTED_ R-spondin-1 [Coturnix japonica], Coturnix_japonica_XP_015714063.1 R-spondin-3 [Coturnix japonica], Coturnix_japonica_XP_015711646.1 R-spondin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737478.1 R-spondin-4 isoform X1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0127.g30.t1 Bova1_4.0127.g30.t1
OG0000182	Coturnix_japonica_XP_015732559.1 von Willebrand factor A domain-containing protein 3A [Coturnix japonica]	Beroe_ovata_Bova1_4.0038.g27.t1 Bova1_4.0038.g27.t1
OG0000200	Coturnix_japonica_XP_015706466.1 PREDICTED_ von Willebrand factor A domain-containing protein 3B isoform X4 [Coturnix japonica]	Beroe_ovata_Bova1_4.0002.g138.t1 Bova1_4.0002.g138.t1
OG0000202	Coturnix_japonica_XP_015713179.2 cysteine-rich motor neuron 1 protein isoform X1 [Coturnix japonica]	Beroe_ovata_Bova1_4.0420.g8.t2 Bova1_4.0420.g8.t2, Beroe_ovata_Bova1_4.0420.g8.t1 Bova1_4.0420.g8.t1
OG0000277	Coturnix_japonica_XP_015727354.1 carboxypeptidase N subunit 2 [Coturnix japonica]	Beroe_ovata_Bova1_4.0113.g12.t3 Bova1_4.0113.g12.t3, Beroe_ovata_Bova1_4.0113.g12.t1 Bova1_4.0113.g12.t1, Beroe_ovata_Bova1_4.0113.g12.t2 Bova1_4.0113.g12.t2
OG0000838	Coturnix_japonica_XP_015724872.1 regenerating islet-derived protein 4 [Coturnix japonica]	Beroe_ovata_Bova1_4.0186.g12.t1 Bova1_4.0186.g12.t1
