Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Anthozoa_Porites_asteroides
OG0000006	Coturnix_japonica_XP_015724966.1 PREDICTED_ coagulation factor XIII B chain-like isoform X3 [Coturnix japonica]	Porites_asteroides_isotig22690 isotig22690 extracted_CDS GOMatch=C3YPL3 GOTerms=GO_0003824_GO_0004252_GO_0005634_GO_0006508_GO_0008233_GO_0008236_GO_0016787_GO_0030528 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup20958 length=365 numContigs=1, Porites_asteroides_isotig19337 isotig19337 extracted_CDS GOMatch=C3ZHY1 GOTerms=GO_0003824_GO_0004252_GO_0005488_GO_0005529_GO_0005576_GO_0006508_GO_0010466_GO_0030414 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=A2AVA0 gene=isogroup17605 length=402 numContigs=1, Porites_asteroides_isotig15445 isotig15445 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup13713 length=470 numContigs=1, Porites_asteroides_GCKDGN102E1JAR GCKDGN102E1JAR extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=Multiple_domain_complement_regulator_1_ Match_Acc=Q45NC2 length=342 region=2 run=R_2010_02_19_08_49_25_ xy=1950_2657, Porites_asteroides_GCKDGN102DDUBU GCKDGN102DDUBU extracted_CDS length=345 xy=1270_2872 run=R_2010_02_19_08_49_25_ region=2 Gene=CUB_and_sushi_domain-containing_protein_1_ Match_Acc=Q96PZ7, Porites_asteroides_isotig06327 isotig06327 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=cDNA_FLJ90753_fis__clone_PLACE3000213__moderately_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KQM9 gene=isogroup04595 length=924 numContigs=1, Porites_asteroides_isotig05899 isotig05899 extracted_CDS GOMatch=C3Y0A3 GOTerms=GO_0005488_GO_0005509_GO_0005529 Gene=CUB_and_sushi_domain-containing_protein_2_ Match_Acc=Q7Z408 gene=isogroup04167 length=985 numContigs=1
OG0000006	Coturnix_japonica_XP_015715861.1 sushi repeat-containing protein SRPX2 [Coturnix japonica], Coturnix_japonica_XP_015740022.1 sushi repeat-containing protein SRPX isoform X1 [Coturnix japonica]	Porites_asteroides_isotig21103 isotig21103 extracted_CDS GOMatch=C3YWM8 GOTerms=GO_0005509 Gene=Sushi_repeat-containing_protein_SRPX2_ Match_Acc=C0HBD7 gene=isogroup19371 length=384 numContigs=1, Porites_asteroides_GCKDGN103FYMAO GCKDGN103FYMAO extracted_CDS GOMatch=C3XPW7 GOTerms=GO_0005509 length=291 region=3 run=R_2010_02_19_08_49_25_ xy=2327_1998, Porites_asteroides_isotig03322 isotig03322 extracted_CDS GOMatch=C3YC48 GOTerms=GO_0005509_GO_0005529 Gene=cDNA_FLJ16013_fis__clone_PLACE5000171__highly_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KV07 gene=isogroup01590 length=2069 numContigs=1
OG0000006	Coturnix_japonica_XP_015705358.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X2 [Coturnix japonica]	Porites_asteroides_GE917285 GE917285 extracted_CDS Past_34_20453_M08.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_GE915324 GE915324 extracted_CDS Past_28_20453_P11.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence
OG0000007	Coturnix_japonica_XP_015738107.1 PREDICTED_ LOW QUALITY PROTEIN_ multiple epidermal growth factor-like domains protein 6 [Coturnix japonica]	Porites_asteroides_isotig10321 isotig10321 extracted_CDS GOMatch=A7RVK5 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup08589 length=657 numContigs=1
OG0000007	Coturnix_japonica_XP_015705002.1 growth arrest-specific protein 6 [Coturnix japonica]	Porites_asteroides_isotig01547 isotig01547 extracted_CDS GOMatch=C3Z8P3 GOTerms=GO_0005509 Gene=Growth_arrest-specific_6_ Match_Acc=Q7T3H4 gene=isogroup00606 length=705 numContigs=2
OG0000007	Coturnix_japonica_XP_015712174.1 fibulin-7 [Coturnix japonica]	Porites_asteroides_isotig05423 isotig05423 extracted_CDS GOMatch=D3BG27 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup03691 length=1057 numContigs=1
OG0000007	Coturnix_japonica_XP_015726540.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 [Coturnix japonica]	Porites_asteroides_isotig22939 isotig22939 extracted_CDS GOMatch=C3YL45 GOTerms=GO_0005488_GO_0007160 Gene=Alpha-tectorin-like_protein_ Match_Acc=B2XBP1 gene=isogroup21207 length=358 numContigs=1
OG0000007	Coturnix_japonica_XP_015727266.1 PREDICTED_ mucin-4 [Coturnix japonica]	Porites_asteroides_isotig03396 isotig03396 extracted_CDS GOMatch=C3ZXG8 GOTerms=GO_0005509_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup01664 length=1937 numContigs=1, Porites_asteroides_isotig10752 isotig10752 extracted_CDS GOMatch=B3RS17 GOTerms=GO_0005044_GO_0005509_GO_0007160_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup09020 length=633 numContigs=1
OG0000009	Coturnix_japonica_XP_015726187.1 CUB domain-containing protein 2 isoform X2 [Coturnix japonica]	Porites_asteroides_isotig13656 isotig13656 extracted_CDS GOMatch=Q4T392 GOTerms=GO_0005509 Gene=Bone_morphogenetic_protein_1_ Match_Acc=A9JR45 gene=isogroup11924 length=514 numContigs=1, Porites_asteroides_isotig18738 isotig18738 extracted_CDS GOMatch=Q75UQ6 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Similar_to_procollagen_C-endopeptidase_enhancer_ Match_Acc=B3DJG2 gene=isogroup17006 length=412 numContigs=1, Porites_asteroides_GCKDGN102C3UCD GCKDGN102C3UCD extracted_CDS GOMatch=Q4A3R3 GOTerms=GO_0005044_GO_0005576_GO_0006810_GO_0007275_GO_0015031_GO_0016020_GO_0016021_GO_0019898_GO_0030154_GO_0030658_GO_0031410_GO_0035375_GO_0042589_GO_0051636_GO_0051637 Gene=Deleted_in_malignant_brain_tumors_1_protein_ Match_Acc=Q4A3R3 length=411 region=2 run=R_2010_02_19_08_49_25_ xy=1156_3275, Porites_asteroides_isotig11237 isotig11237 extracted_CDS GOMatch=Q4H2P2 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Tolloid-like_1_ Match_Acc=B3DJN6 gene=isogroup09505 length=609 numContigs=1, Porites_asteroides_isotig01226 isotig01226 extracted_CDS GOMatch=C3ZAW7 GOTerms=GO_0005488 Gene=Neuropilin-2_ Match_Acc=O60462 gene=isogroup00446 length=2131 numContigs=2, Porites_asteroides_isotig01227 isotig01227 extracted_CDS GOMatch=B3RPJ1 GOTerms=GO_0005509 Gene=Tolloid-like_protein_1_ Match_Acc=Q62381 gene=isogroup00446 length=728 numContigs=2, Porites_asteroides_isotig04066 isotig04066 extracted_CDS GOMatch=C3XYR0 GOTerms=GO_0007338 Gene=Bone_morphogenetic_protein_1_isoform_1__variant__Fragment__ Match_Acc=Q59F71 gene=isogroup02334 length=1392 numContigs=1
OG0000010	Coturnix_japonica_XP_015737706.1 PREDICTED_ LOW QUALITY PROTEIN_ basement membrane-specific heparan sulfate proteoglycan core protein [Coturnix japonica], Coturnix_japonica_XP_015703969.1 pikachurin [Coturnix japonica]	Porites_asteroides_isotig26332 isotig26332 extracted_CDS GOMatch=B3MYW1 GOTerms=GO_0007155_GO_0031012 Gene=Terribly_reduced_optic_lobes__isoform_A_ Match_Acc=Q9W4Y4 gene=isogroup24600 length=312 numContigs=1
OG0000010	Coturnix_japonica_XP_015738166.1 agrin isoform X4 [Coturnix japonica]	Porites_asteroides_isotig10815 isotig10815 extracted_CDS GOMatch=D2I4P4 GOTerms=GO_0005605_GO_0007213_GO_0031012_GO_0043113_GO_0043236 Gene=NtA_agrin_ Match_Acc=B3GQ72 gene=isogroup09083 length=632 numContigs=1
OG0000010	Coturnix_japonica_XP_015704191.1 follistatin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741848.1 follistatin-related protein 3 [Coturnix japonica]	Porites_asteroides_isotig11269 isotig11269 extracted_CDS GOMatch=Q6PW72 GOTerms=GO_0005488 Gene=Follistatin_ Match_Acc=Q6PW72 gene=isogroup09537 length=603 numContigs=1
OG0000011	Coturnix_japonica_XP_015733606.1 phosphoinositide-3-kinase-interacting protein 1 isoform X1 [Coturnix japonica]	Porites_asteroides_GCKDGN103GEML0 GCKDGN103GEML0 extracted_CDS GOMatch=A7RKA9 GOTerms=GO_0004672_GO_0004713_GO_0004872_GO_0005524_GO_0006468_GO_0016020_GO_0016021 Gene=Receptor_tyrosine_kinase-like_orphan_receptor__Fragment__ Match_Acc=A1IKE0 length=345 region=3 run=R_2010_02_19_08_49_25_ xy=2509_3430
OG0000012	Coturnix_japonica_XP_015719204.1 PREDICTED_ mucin-6 [Coturnix japonica], Coturnix_japonica_XP_015719203.1 PREDICTED_ LOW QUALITY PROTEIN_ mucin-2 [Coturnix japonica], Coturnix_japonica_XP_015719308.1 mucin-5AC [Coturnix japonica], Coturnix_japonica_XP_015708265.1 PREDICTED_ SCO-spondin [Coturnix japonica], Coturnix_japonica_XP_015726977.1 von Willebrand factor [Coturnix japonica], Coturnix_japonica_XP_015719635.1 otogelin isoform X2 [Coturnix japonica]	Porites_asteroides_isotig20047 isotig20047 extracted_CDS GOMatch=A7RWN6 GOTerms=GO_0004867 Gene=Gastric_mucin__Fragment__ Match_Acc=O75372 gene=isogroup18315 length=395 numContigs=1
OG0000013	Coturnix_japonica_XP_015724725.1 protein Wnt-6 isoform X2 [Coturnix japonica]	Porites_asteroides_GCKDGN102C4DAL GCKDGN102C4DAL extracted_CDS GOMatch=B0FK92 GOTerms=GO_0004871_GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=B0FK92 length=394 region=2 run=R_2010_02_19_08_49_25_ xy=1162_3259
OG0000013	Coturnix_japonica_XP_015742371.1 proto-oncogene Wnt-1 [Coturnix japonica]	Porites_asteroides_isotig14310 isotig14310 extracted_CDS GOMatch=Q5J2D4 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5J2D4 gene=isogroup12578 length=500 numContigs=1
OG0000013	Coturnix_japonica_XP_015737876.1 protein Wnt-4 isoform X2 [Coturnix japonica]	Porites_asteroides_GCKDGN103GNGAZ GCKDGN103GNGAZ extracted_CDS GOMatch=A7SZ54 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7SZ54 length=452 region=3 run=R_2010_02_19_08_49_25_ xy=2610_1465
OG0000013	Coturnix_japonica_XP_015707967.1 protein Wnt-11 isoform X1 [Coturnix japonica]	Porites_asteroides_isotig28579 isotig28579 extracted_CDS GOMatch=Q5IRC2 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IRC2 gene=isogroup26847 length=267 numContigs=1
OG0000013	Coturnix_japonica_XP_015725941.1 PREDICTED_ protein Wnt-7b [Coturnix japonica]	Porites_asteroides_isotig20937 isotig20937 extracted_CDS GOMatch=D2HKK9 GOTerms=GO_0001701_GO_0001944_GO_0003338_GO_0004871_GO_0005109_GO_0005576_GO_0005578_GO_0006917_GO_0007223_GO_0007275_GO_0008284_GO_0010628_GO_0016055_GO_0016332_GO_0021871_GO_0022009_GO_0030182_GO_0030324_GO_0032364_GO_0042475_GO_0042592_GO_0044237_GO_0045669_GO_0045879_GO_0048144_GO_0048568_GO_0050808_GO_0051145_GO_0060033_GO_0060070_GO_0060425_GO_0060428_GO_0060482_GO_0060484_GO_0060535_GO_0060560_GO_0060669_GO_0060710_GO_0061180_GO_0071300_GO_0072053_GO_0072054_GO_0072060_GO_0072061_GO_0072089_GO_0072205_GO_0072207_GO_0072236 Gene=Protein_Wnt__Fragment__ Match_Acc=Q6PDY6 gene=isogroup19205 length=385 numContigs=1
OG0000013	Coturnix_japonica_XP_015731087.1 protein Wnt-8a [Coturnix japonica], Coturnix_japonica_XP_015721972.1 PREDICTED_ protein Wnt-8b [Coturnix japonica]	Porites_asteroides_isotig03246 isotig03246 extracted_CDS GOMatch=A7RSS8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7RSS8 gene=isogroup01514 length=2357 numContigs=1, Porites_asteroides_isotig05535 isotig05535 extracted_CDS GOMatch=Q5IHV8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IHV8 gene=isogroup03803 length=1046 numContigs=1
OG0000013	Coturnix_japonica_XP_015724730.1 protein Wnt-10a [Coturnix japonica]	Porites_asteroides_GCKDGN101BB3QF GCKDGN101BB3QF extracted_CDS GOMatch=Q5J2D3 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5J2D3 length=397 region=1 run=R_2010_02_19_08_49_25_ xy=0430_3157
OG0000014	Coturnix_japonica_XP_015704587.1 ADAMTS-like protein 1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728496.1 ADAMTS-like protein 3 isoform X1 [Coturnix japonica]	Porites_asteroides_isotig29281 isotig29281 extracted_CDS GOMatch=C3YAS4 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=A_disintegrin-like_and_metallopeptidase__Reprolysin_type__with_thrombospondin_type _1_motif__20_ Match_Acc=Q0V926 gene=isogroup27549 length=247 numContigs=1
OG0000014	Coturnix_japonica_XP_015720070.1 papilin isoform X1 [Coturnix japonica]	Porites_asteroides_isotig05308 isotig05308 extracted_CDS GOMatch=A7RZX8 GOTerms=GO_0004222_GO_0005578_GO_0008233_GO_0008237_GO_0008270_GO_0031012 Gene=Papilin_ Match_Acc=Q16UT3 gene=isogroup03576 length=1084 numContigs=1, Porites_asteroides_isotig04880 isotig04880 extracted_CDS GOMatch=A7RZX8 GOTerms=GO_0004222_GO_0005578_GO_0008233_GO_0008237_GO_0008270_GO_0031012 Gene=cDNA_FLJ53165__weakly_similar_to_Homo_sapiens_thrombospondin_repeat_containing_1__TSRC1___transcript_variant_1__mRNA_ Match_Acc=B4DR13 gene=isogroup03148 length=1170 numContigs=1
