Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Nematoda_Chromadorea_Caenorhabditis_elegans
OG0000014	Coturnix_japonica_XP_015710221.1 PREDICTED_ LOW QUALITY PROTEIN_ A disintegrin and metalloproteinase with thrombospondin motifs 20_ partial [Coturnix japonica], Coturnix_japonica_XP_015730744.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform X2 [Coturnix japonica]	Caenorhabditis_elegans_F25H8.3b F25H8.3b
OG0000015	Coturnix_japonica_NP_001310174.1 zona pellucida sperm-binding protein 2 precursor [Coturnix japonica], Coturnix_japonica_NP_001310173.1 zona pellucida sperm-binding protein 1 precursor [Coturnix japonica], Coturnix_japonica_XP_015722052.1 PREDICTED_ zona pellucida sperm-binding protein 4-like [Coturnix japonica]	Caenorhabditis_elegans_C43C3.3 C43C3.3
OG0000016	Coturnix_japonica_XP_015707754.1 stromelysin-1-like [Coturnix japonica], Coturnix_japonica_XP_015707761.1 matrix metalloproteinase-27-like [Coturnix japonica], Coturnix_japonica_XP_015707753.1 interstitial collagenase-like [Coturnix japonica], Coturnix_japonica_XP_015707755.1 collagenase 3-like [Coturnix japonica], Coturnix_japonica_XP_015733516.1 stromelysin-3 [Coturnix japonica], Coturnix_japonica_XP_015736822.1 PREDICTED_ matrix metalloproteinase-24 [Coturnix japonica], Coturnix_japonica_XP_015711460.1 matrix metalloproteinase-16 [Coturnix japonica], Coturnix_japonica_XP_015711460.1 matrix metalloproteinase-16 [Coturnix japonica], Coturnix_japonica_XP_015729170.1 matrix metalloproteinase-15 [Coturnix japonica], Coturnix_japonica_XP_015736298.1 matrix metalloproteinase-28 [Coturnix japonica]	Caenorhabditis_elegans_H36L18.1 H36L18.1
OG0000017	Coturnix_japonica_XP_015727492.1 neuroserpin [Coturnix japonica], Coturnix_japonica_XP_015726831.1 glia-derived nexin isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015707344.1 serpin E3 [Coturnix japonica], Coturnix_japonica_XP_015725185.1 antithrombin-III [Coturnix japonica], Coturnix_japonica_XP_015709971.1 leukocyte elastase inhibitor-like [Coturnix japonica], Coturnix_japonica_XP_015709969.1 serpin B6-like [Coturnix japonica], Coturnix_japonica_XP_015710071.1 serpin B5 [Coturnix japonica], Coturnix_japonica_XP_015709958.1 PREDICTED_ heterochromatin-associated protein MENT isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015709963.1 serpin B10-like [Coturnix japonica], Coturnix_japonica_XP_015710070.1 serpin B12-like [Coturnix japonica]	Caenorhabditis_elegans_Y32G9A.4 Y32G9A.4, Caenorhabditis_elegans_C05E4.3 C05E4.3, Caenorhabditis_elegans_F20D6.3 F20D6.3, Caenorhabditis_elegans_F20D6.4d F20D6.4d, Caenorhabditis_elegans_C03G6.19 C03G6.19, Caenorhabditis_elegans_C05E4.1 C05E4.1
OG0000019	Coturnix_japonica_XP_015742291.1 PREDICTED_ growth/differentiation factor 15 [Coturnix japonica], Coturnix_japonica_XP_015723344.1 growth/differentiation factor 8 [Coturnix japonica], Coturnix_japonica_XP_015742513.1 growth/differentiation factor 11 [Coturnix japonica], Coturnix_japonica_XP_015742408.1 PREDICTED_ inhibin beta E chain-like [Coturnix japonica], Coturnix_japonica_XP_015710501.1 inhibin beta A chain isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015724327.1 inhibin beta B chain [Coturnix japonica]	Caenorhabditis_elegans_Y46E12BL.1b Y46E12BL.1b
OG0000019	Coturnix_japonica_XP_015738689.1 bone morphogenetic protein 8B-like [Coturnix japonica], Coturnix_japonica_XP_015714712.1 bone morphogenetic protein 5 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015710074.1 bone morphogenetic protein 6 [Coturnix japonica], Coturnix_japonica_XP_015737280.1 bone morphogenetic protein 7 [Coturnix japonica]	Caenorhabditis_elegans_F39G3.8 F39G3.8
OG0000021	Coturnix_japonica_XP_015721444.1 nidogen-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015713380.1 nidogen-1 isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_F54F3.1c F54F3.1c
OG0000022	Coturnix_japonica_XP_015716358.1 PREDICTED_ annexin A10 [Coturnix japonica]	Caenorhabditis_elegans_C37H5.1c C37H5.1c
OG0000023	Coturnix_japonica_XP_015721656.1 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738502.1 disintegrin and metalloproteinase domain-containing protein 28 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733264.1 disintegrin and metalloproteinase domain-containing protein 9-like [Coturnix japonica], Coturnix_japonica_XP_015738633.1 disintegrin and metalloproteinase domain-containing protein 9 [Coturnix japonica], Coturnix_japonica_XP_015723079.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 12 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015718482.1 disintegrin and metalloproteinase domain-containing protein 33 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015731731.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 19 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015723724.1 disintegrin and metalloproteinase domain-containing protein 23 [Coturnix japonica], Coturnix_japonica_XP_015708948.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740988.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 11 isoform X2 [Coturnix japonica]	Caenorhabditis_elegans_Y37D8A.13 Y37D8A.13
OG0000024	Coturnix_japonica_XP_015716467.1 testican-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015731364.1 testican-1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721924.1 testican-2 [Coturnix japonica]	Caenorhabditis_elegans_C54E4.2c C54E4.2c
OG0000028	Coturnix_japonica_XP_015706908.1 collagen alpha-1_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715960.1 collagen alpha-5_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726877.1 collagen alpha-3_IV_ chain [Coturnix japonica]	Caenorhabditis_elegans_K04H4.1b K04H4.1b
OG0000028	Coturnix_japonica_XP_015706905.1 collagen alpha-2_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715965.1 collagen alpha-6_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726876.1 collagen alpha-4_IV_ chain [Coturnix japonica]	Caenorhabditis_elegans_F01G12.5b F01G12.5b
OG0000030	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]	Caenorhabditis_elegans_ZK154.7 ZK154.7
OG0000030	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_DY3.7 DY3.7
OG0000045	Coturnix_japonica_XP_015710913.1 PREDICTED_ laminin subunit alpha-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015736975.1 laminin subunit alpha-5 isoform X3 [Coturnix japonica]	Caenorhabditis_elegans_K08C7.3e K08C7.3e
OG0000049	Coturnix_japonica_XP_015730724.1 plexin-B1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015708110.1 plexin-B2 [Coturnix japonica], Coturnix_japonica_XP_015730333.1 plexin-D1 [Coturnix japonica]	Caenorhabditis_elegans_K04B12.1 K04B12.1
OG0000065	Coturnix_japonica_XP_015707026.1 glypican-5 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715912.1 glypican-3 isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_C39E6.1 C39E6.1
OG0000068	Coturnix_japonica_XP_015721352.1 galectin-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015732503.1 grifin [Coturnix japonica], Coturnix_japonica_XP_015713339.1 PREDICTED_ galectin-8 isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_W09H1.6b W09H1.6b, Caenorhabditis_elegans_F52H3.7b F52H3.7b, Caenorhabditis_elegans_ZK1248.16 ZK1248.16, Caenorhabditis_elegans_C44F1.3 C44F1.3, Caenorhabditis_elegans_C53D6.7 C53D6.7
OG0000068	Coturnix_japonica_XP_015718113.1 galectin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015718171.1 galectin-1 [Coturnix japonica]	Caenorhabditis_elegans_Y41C4A.5 Y41C4A.5, Caenorhabditis_elegans_Y55B1AR.1 Y55B1AR.1
OG0000070	Coturnix_japonica_XP_015714835.1 PREDICTED_ thyroid peroxidase [Coturnix japonica], Coturnix_japonica_XP_015714841.1 peroxidasin homolog [Coturnix japonica], Coturnix_japonica_XP_015737187.1 peroxidasin homolog [Coturnix japonica]	Caenorhabditis_elegans_K09C8.5 K09C8.5, Caenorhabditis_elegans_ZK994.3 ZK994.3
OG0000074	Coturnix_japonica_XP_015718244.1 slit homolog 2 protein isoform X16 [Coturnix japonica], Coturnix_japonica_XP_015731429.1 slit homolog 3 protein isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015722602.1 slit homolog 1 protein [Coturnix japonica]	Caenorhabditis_elegans_F40E10.4 F40E10.4
OG0000078	Coturnix_japonica_XP_015714739.1 tubulointerstitial nephritis antigen isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738735.1 PREDICTED_ tubulointerstitial nephritis antigen-like [Coturnix japonica]	Caenorhabditis_elegans_F26E4.3 F26E4.3
OG0000081	Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica], Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica]	Caenorhabditis_elegans_F09E8.2b F09E8.2b, Caenorhabditis_elegans_F56H11.1e F56H11.1e
OG0000083	Coturnix_japonica_XP_015730132.1 hyaluronidase-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015729975.1 hyaluronidase-1 [Coturnix japonica], Coturnix_japonica_XP_015708262.1 hyaluronidase PH-20 [Coturnix japonica], Coturnix_japonica_XP_015729965.1 PREDICTED_ hyaluronidase-2 [Coturnix japonica]	Caenorhabditis_elegans_T22C8.2 T22C8.2
OG0000084	Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015723175.2 collagen alpha-1_XVIII_ chain isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_C36B1.1d C36B1.1d
OG0000088	Coturnix_japonica_XP_015719003.1 PREDICTED_ spondin-1 [Coturnix japonica]	Caenorhabditis_elegans_F10E7.4 F10E7.4
OG0000095	Coturnix_japonica_XP_015713495.1 PREDICTED_ SPARC-related modular calcium-binding protein 2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015720199.1 SPARC-related modular calcium-binding protein 1 isoform X5 [Coturnix japonica]	Caenorhabditis_elegans_T04F3.2 T04F3.2
OG0000102	Coturnix_japonica_XP_015720830.1 fibulin-5 [Coturnix japonica], Coturnix_japonica_XP_015712283.1 EGF-containing fibulin-like extracellular matrix protein 1 isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_ZK783.1e ZK783.1e
OG0000114	Coturnix_japonica_XP_015719754.1 host cell factor 2 isoform X2 [Coturnix japonica]	Caenorhabditis_elegans_C46A5.9 C46A5.9
OG0000120	Coturnix_japonica_XP_015736984.1 syndecan-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711411.1 syndecan-2 [Coturnix japonica], Coturnix_japonica_XP_015714984.1 syndecan-1 [Coturnix japonica], Coturnix_japonica_XP_015739164.1 syndecan-3 [Coturnix japonica]	Caenorhabditis_elegans_F57C7.3b F57C7.3b
OG0000156	Coturnix_japonica_XP_015728918.1 microfibrillar-associated protein 1 [Coturnix japonica]	Caenorhabditis_elegans_F43G9.10 F43G9.10
OG0000202	Coturnix_japonica_XP_015713179.2 cysteine-rich motor neuron 1 protein isoform X1 [Coturnix japonica]	Caenorhabditis_elegans_B0024.14d B0024.14d
OG0000269	Coturnix_japonica_XP_015728372.1 gliomedin isoform X2 [Coturnix japonica]	Caenorhabditis_elegans_F11C3.2 F11C3.2, Caenorhabditis_elegans_C48E7.5 C48E7.5
OG0000351	Coturnix_japonica_XP_015727176.1 kininogen-1 [Coturnix japonica]	Caenorhabditis_elegans_K08B4.6 K08B4.6, Caenorhabditis_elegans_R01B10.1a R01B10.1a
