Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Bos_taurus
OG0000001	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica]	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus]
OG0000001	Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]	NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]
OG0000002	Coturnix_japonica_XP_015712627.1 isthmin-1 [Coturnix japonica]	NP_001157407.1 isthmin-1 precursor [Bos taurus]
OG0000002	Coturnix_japonica_XP_015720716.1 isthmin-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015720716.1 isthmin-2 isoform X2 [Coturnix japonica]	XP_059746684.1 LOW QUALITY PROTEIN_ isthmin-2 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015713502.1 thrombospondin-2 [Coturnix japonica]	sp|Q95116.2|TSP2_BOVIN RecName_ Full=Thrombospondin-2; AltName_ Full=Corticotropin-induced secreted protein; Short=CISP; Flags_ Precursor
OG0000002	Coturnix_japonica_XP_015720231.1 thrombospondin-1 [Coturnix japonica]	XP_024853011.1 thrombospondin-1 isoform X1 [Bos taurus], sp|Q28178.2|TSP1_BOVIN RecName_ Full=Thrombospondin-1; AltName_ Full=Glycoprotein G; Flags_ Precursor, NP_776621.1 thrombospondin-1 precursor [Bos taurus], NP_776621.1 thrombospondin-1 precursor [Bos taurus]
OG0000002	Coturnix_japonica_XP_015741579.1 cartilage oligomeric matrix protein [Coturnix japonica]	sp|P35445.2|COMP_BOVIN RecName_ Full=Cartilage oligomeric matrix protein; Short=COMP; Flags_ Precursor
OG0000002	Coturnix_japonica_XP_015704105.1 thrombospondin-4 isoform X1 [Coturnix japonica]	XP_059746602.1 thrombospondin-4 isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015730130.1 semaphorin-3B isoform X2 [Coturnix japonica]	XP_059735793.1 semaphorin-3B isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015731584.1 semaphorin-3A isoform X1 [Coturnix japonica]	NP_001263630.1 semaphorin-3A precursor [Bos taurus]
OG0000002	Coturnix_japonica_XP_015731398.1 LOW QUALITY PROTEIN_ semaphorin-3D [Coturnix japonica]	XP_059741648.1 semaphorin-3D isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015730142.1 semaphorin-3F isoform X1 [Coturnix japonica]	XP_024839041.1 semaphorin-3F isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015733533.1 semaphorin-3C [Coturnix japonica]	XP_059741517.1 semaphorin-3C isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015736068.1 semaphorin-3E [Coturnix japonica]	XP_003586003.2 semaphorin-3E [Bos taurus]
OG0000002	Coturnix_japonica_XP_015730125.1 semaphorin-3G [Coturnix japonica]	XP_010816133.2 semaphorin-3G isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015704836.1 semaphorin-4D isoform X10 [Coturnix japonica]	XP_059745283.1 semaphorin-4D isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015722546.1 PREDICTED_ semaphorin-4G isoform X1 [Coturnix japonica]	XP_010818201.1 semaphorin-4G isoform X1 [Bos taurus], NP_001094587.1 semaphorin-4G precursor [Bos taurus]
OG0000002	Coturnix_japonica_XP_015738337.1 PREDICTED_ semaphorin-4C [Coturnix japonica]	XP_024854545.1 semaphorin-4C isoform X2 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015728181.1 PREDICTED_ semaphorin-7A isoform X1 [Coturnix japonica]	NP_001193114.1 semaphorin-7A precursor [Bos taurus]
OG0000002	Coturnix_japonica_XP_015709878.1 semaphorin-5A [Coturnix japonica]	XP_010815150.2 semaphorin-5A [Bos taurus]
OG0000002	Coturnix_japonica_XP_015724160.1 semaphorin-5B isoform X2 [Coturnix japonica]	XP_002684855.2 semaphorin-5B isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015728452.1 semaphorin-6D isoform X7 [Coturnix japonica]	XP_059746380.1 semaphorin-6D isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015705476.1 semaphorin-6A isoform X1 [Coturnix japonica]	XP_005209195.1 semaphorin-6A isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015742241.1 semaphorin-6B isoform X3 [Coturnix japonica]	XP_024850768.2 semaphorin-6B isoform X2 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015740145.1 PREDICTED_ semaphorin-6C isoform X3 [Coturnix japonica]	XP_024845741.1 semaphorin-6C isoform X1 [Bos taurus]
OG0000002	Coturnix_japonica_XP_015725373.1 PREDICTED_ hemicentin-1 isoform X9 [Coturnix japonica]	NP_001179466.3 hemicentin-1 precursor [Bos taurus]
OG0000003	Coturnix_japonica_XP_015739942.1 brevican core protein isoform X1 [Coturnix japonica]	XP_059737445.1 brevican core protein isoform X1 [Bos taurus]
OG0000003	Coturnix_japonica_XP_015742251.2 neurocan core protein isoform X1 [Coturnix japonica]	XP_059744190.1 neurocan core protein isoform X1 [Bos taurus]
OG0000003	Coturnix_japonica_XP_015728567.1 PREDICTED_ aggrecan core protein isoform X1 [Coturnix japonica]	XP_059734920.1 aggrecan core protein isoform X1 [Bos taurus], NP_776406.1 aggrecan core protein precursor [Bos taurus]
OG0000003	Coturnix_japonica_XP_015705249.1 PREDICTED_ versican core protein isoform X1 [Coturnix japonica]	sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor, sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor
OG0000003	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica]	sp|Q17QH6.1|COL11_BOVIN RecName_ Full=Collectin-11; AltName_ Full=Collectin kidney protein 1; Short=CL-K1; Flags_ Precursor
OG0000003	Coturnix_japonica_XP_015711709.1 collectin-10 isoform X1 [Coturnix japonica]	NP_001192642.1 collectin-10 precursor [Bos taurus]
OG0000003	Coturnix_japonica_XP_015721592.1 mannose-binding protein [Coturnix japonica]	sp|Q8MHZ9.1|CL46_BOVIN RecName_ Full=Collectin-46; Short=CL-46; AltName_ Full=46 kDa collectin; Flags_ Precursor, NP_776532.1 mannose-binding protein C precursor [Bos taurus], XP_059738436.1 mannose-binding protein A isoform X1 [Bos taurus]
OG0000003	Coturnix_japonica_XP_015709635.1 tetranectin [Coturnix japonica]	sp|Q2KIS7.1|TETN_BOVIN RecName_ Full=Tetranectin; Short=TN; AltName_ Full=C-type lectin domain family 3 member B; Flags_ Precursor
OG0000003	Coturnix_japonica_XP_015729671.1 C-type lectin domain family 3 member A [Coturnix japonica]	sp|Q28008.1|CLC3A_BOVIN RecName_ Full=C-type lectin domain family 3 member A; AltName_ Full=C-type lectin superfamily member 1; AltName_ Full=Cartilage-derived C-type lectin; Flags_ Precursor
OG0000003	Coturnix_japonica_XP_015710863.1 collectin-12 [Coturnix japonica]	sp|A6QP79.1|COL12_BOVIN RecName_ Full=Collectin-12; AltName_ Full=Collectin placenta protein 1; Short=CL-P1
OG0000003	Coturnix_japonica_XP_015703924.1 CD209 antigen-like protein E isoform X2 [Coturnix japonica]	NP_001019705.2 regenerating islet-derived protein 3-gamma precursor [Bos taurus], NP_991356.1 lithostathine precursor [Bos taurus], XP_024848420.1 C-type lectin domain family 2 member B isoform X1 [Bos taurus], XP_002687852.3 C-type lectin domain family 9 member A isoform X1 [Bos taurus], NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]
OG0000004	Coturnix_japonica_XP_015730555.1 collagen alpha-1_VII_ chain isoform X1 [Coturnix japonica]	DAA17035.1 TPA_ collagen_ type VII_ alpha 1 [Bos taurus]
OG0000004	Coturnix_japonica_XP_015714536.1 collagen alpha-1_XII_ chain isoform X1 [Coturnix japonica]	XP_059745576.1 collagen alpha-1_XII_ chain isoform X1 [Bos taurus]
OG0000004	Coturnix_japonica_XP_015711669.1 PREDICTED_ collagen alpha-1_XIV_ chain isoform X1 [Coturnix japonica]	XP_059730494.1 collagen alpha-1_XIV_ chain isoform X1 [Bos taurus]
OG0000004	Coturnix_japonica_XP_015722855.1 von Willebrand factor A domain-containing protein 2 isoform X2 [Coturnix japonica]	XP_015316230.1 von Willebrand factor A domain-containing protein 2 isoform X1 [Bos taurus]
OG0000004	Coturnix_japonica_XP_015709514.1 collagen alpha-6_VI_ chain [Coturnix japonica]	XP_024852938.1 collagen alpha-5_VI_ chain [Bos taurus], XP_015329636.1 collagen alpha-6_VI_ chain [Bos taurus]
OG0000004	Coturnix_japonica_XP_015723563.1 collagen alpha-3_VI_ chain isoform X1 [Coturnix japonica]	XP_059741223.1 collagen alpha-3_VI_ chain [Bos taurus]
OG0000004	Coturnix_japonica_XP_015715058.1 matrilin-3 [Coturnix japonica]	DAA24504.1 TPA_ matrilin 3 [Bos taurus]
OG0000004	Coturnix_japonica_XP_015711574.1 matrilin-2 isoform X1 [Coturnix japonica]	NP_001095998.1 matrilin-2 precursor [Bos taurus]
OG0000004	Coturnix_japonica_XP_015737175.1 PREDICTED_ matrilin-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737176.1 PREDICTED_ matrilin-4 isoform X2 [Coturnix japonica]	XP_059748343.1 matrilin-4 isoform X2 [Bos taurus]
OG0000004	Coturnix_japonica_XP_015714716.1 collagen alpha-1_XXI_ chain [Coturnix japonica]	XP_059736495.1 collagen alpha-1_XXI_ chain isoform X2 [Bos taurus]
OG0000004	Coturnix_japonica_XP_015711896.1 collagen alpha-1_XXII_ chain isoform X1 [Coturnix japonica]	XP_002692646.3 collagen alpha-1_XXII_ chain isoform X1 [Bos taurus]
OG0000004	Coturnix_japonica_XP_015709146.1 collagen alpha-1_XXVIII_ chain [Coturnix japonica]	XP_024846755.1 collagen alpha-1_XXVIII_ chain isoform X1 [Bos taurus]
OG0000005	Coturnix_japonica_XP_015715407.1 meprin A subunit alpha [Coturnix japonica]	XP_010816580.2 meprin A subunit alpha [Bos taurus]
OG0000005	Coturnix_japonica_XP_015710982.1 meprin A subunit beta isoform X1 [Coturnix japonica]	NP_001137570.1 meprin A subunit beta precursor [Bos taurus]
OG0000006	Coturnix_japonica_XP_015724966.1 PREDICTED_ coagulation factor XIII B chain-like isoform X3 [Coturnix japonica]	NP_001033618.1 coagulation factor XIII B chain precursor [Bos taurus]
OG0000006	Coturnix_japonica_XP_015715861.1 sushi repeat-containing protein SRPX2 [Coturnix japonica]	XP_059739360.1 sushi repeat-containing protein SRPX2 isoform X1 [Bos taurus]
OG0000006	Coturnix_japonica_XP_015740022.1 sushi repeat-containing protein SRPX isoform X1 [Coturnix japonica]	NP_001035579.1 sushi repeat-containing protein SRPX precursor [Bos taurus]
OG0000006	Coturnix_japonica_XP_015705358.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X2 [Coturnix japonica]	XP_010806541.2 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Bos taurus]
OG0000007	Coturnix_japonica_XP_015705002.1 growth arrest-specific protein 6 [Coturnix japonica]	XP_024855952.1 growth arrest-specific protein 6 [Bos taurus]
OG0000007	Coturnix_japonica_XP_015726540.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 [Coturnix japonica]	DAA30889.1 TPA_ 6720455I24Rik homolog [Bos taurus]
OG0000007	Coturnix_japonica_XP_015727266.1 PREDICTED_ mucin-4 [Coturnix japonica]	XP_024850630.1 mucin-4 isoform X1 [Bos taurus]
OG0000009	Coturnix_japonica_XP_015722340.1 tolloid-like protein 2 [Coturnix japonica]	DAA14866.1 TPA_ tolloid-like 2-like [Bos taurus], XP_002698454.2 tolloid-like protein 2 isoform X1 [Bos taurus]
OG0000009	Coturnix_japonica_XP_015716446.1 tolloid-like protein 1 isoform X1 [Coturnix japonica]	NP_001180043.1 tolloid-like protein 1 precursor [Bos taurus]
OG0000009	Coturnix_japonica_XP_015724525.1 tumor necrosis factor-inducible gene 6 protein [Coturnix japonica]	NP_001007814.1 tumor necrosis factor-inducible gene 6 protein precursor [Bos taurus]
OG0000009	Coturnix_japonica_XP_015726956.1 procollagen C-endopeptidase enhancer 2 isoform X2 [Coturnix japonica]	NP_001069097.1 procollagen C-endopeptidase enhancer 2 precursor [Bos taurus]
OG0000009	Coturnix_japonica_XP_015726187.1 CUB domain-containing protein 2 isoform X2 [Coturnix japonica]	XP_024845605.1 CUB domain-containing protein 2 [Bos taurus]
OG0000010	Coturnix_japonica_XP_015727630.1 immunoglobulin superfamily member 10 isoform X1 [Coturnix japonica]	XP_024846455.1 immunoglobulin superfamily member 10 isoform X1 [Bos taurus]
OG0000010	Coturnix_japonica_XP_015704262.1 LOW QUALITY PROTEIN_ matrix-remodeling-associated protein 5 [Coturnix japonica]	XP_005228525.2 matrix-remodeling-associated protein 5 isoform X1 [Bos taurus]
OG0000010	Coturnix_japonica_XP_015737706.1 PREDICTED_ LOW QUALITY PROTEIN_ basement membrane-specific heparan sulfate proteoglycan core protein [Coturnix japonica]	XP_015316344.2 basement membrane-specific heparan sulfate proteoglycan core protein isoform X1 [Bos taurus]
OG0000010	Coturnix_japonica_XP_015738166.1 agrin isoform X4 [Coturnix japonica]	XP_005217262.1 agrin isoform X1 [Bos taurus]
OG0000010	Coturnix_japonica_XP_015741848.1 follistatin-related protein 3 [Coturnix japonica]	sp|Q1LZB9.1|FSTL3_BOVIN RecName_ Full=Follistatin-related protein 3; AltName_ Full=Follistatin-like protein 3; Flags_ Precursor
OG0000011	Coturnix_japonica_XP_015730064.1 hepatocyte growth factor-like protein isoform X1 [Coturnix japonica]	XP_005222860.2 hepatocyte growth factor-like protein isoform X1 [Bos taurus]
OG0000011	Coturnix_japonica_XP_015734132.1 hepatocyte growth factor isoform X4 [Coturnix japonica]	NP_001026921.1 hepatocyte growth factor precursor [Bos taurus]
OG0000011	Coturnix_japonica_XP_015719970.1 prothrombin [Coturnix japonica]	NP_776302.1 prothrombin precursor [Bos taurus]
OG0000011	Coturnix_japonica_XP_015722804.1 hyaluronan-binding protein 2 [Coturnix japonica]	sp|Q5E9Z2.1|HABP2_BOVIN RecName_ Full=Hyaluronan-binding protein 2; Contains_ RecName_ Full=Hyaluronan-binding protein 2 50 kDa heavy chain; Contains_ RecName_ Full=Hyaluronan-binding protein 2 50 kDa heavy chain alternate form; Contains_ RecName_ Full=Hyaluronan-binding protein 2 27 kDa light chain; Contains_ RecName_ Full=Hyaluronan-binding protein 2 27 kDa light chain alternate form; Flags_ Precursor
OG0000011	Coturnix_japonica_XP_015722037.1 urokinase-type plasminogen activator [Coturnix japonica]	sp|Q05589.1|UROK_BOVIN RecName_ Full=Urokinase-type plasminogen activator; Short=U-plasminogen activator; Short=uPA; Contains_ RecName_ Full=Urokinase-type plasminogen activator long chain A; Contains_ RecName_ Full=Urokinase-type plasminogen activator short chain A; Contains_ RecName_ Full=Urokinase-type plasminogen activator chain B; Flags_ Precursor
OG0000011	Coturnix_japonica_XP_015738580.1 tissue-type plasminogen activator [Coturnix japonica]	NP_776571.2 tissue-type plasminogen activator precursor [Bos taurus]
OG0000011	Coturnix_japonica_XP_015718426.1 PREDICTED_ hepatocyte growth factor activator [Coturnix japonica]	sp|P98140.2|FA12_BOVIN RecName_ Full=Coagulation factor XII; AltName_ Full=Hageman factor; Short=HAF; Contains_ RecName_ Full=Coagulation factor XIIa heavy chain; Contains_ RecName_ Full=Coagulation factor XIIa light chain; Flags_ Precursor, XP_024848718.2 hepatocyte growth factor activator isoform X1 [Bos taurus]
OG0000011	Coturnix_japonica_XP_015713548.1 plasminogen [Coturnix japonica]	sp|P06868.2|PLMN_BOVIN RecName_ Full=Plasminogen; Contains_ RecName_ Full=Plasmin heavy chain A; Contains_ RecName_ Full=Activation peptide; Contains_ RecName_ Full=Plasmin heavy chain A_ short form; Contains_ RecName_ Full=Plasmin light chain B; Flags_ Precursor
OG0000012	Coturnix_japonica_XP_015719204.1 PREDICTED_ mucin-6 [Coturnix japonica]	sp|P98091.2|MUC19_BOVIN RecName_ Full=Mucin-19; Short=MUC-19; AltName_ Full=Submaxillary mucin-like protein; Flags_ Precursor
OG0000012	Coturnix_japonica_XP_015719203.1 PREDICTED_ LOW QUALITY PROTEIN_ mucin-2 [Coturnix japonica]	XP_024843363.1 LOW QUALITY PROTEIN_ mucin-2 [Bos taurus]
OG0000012	Coturnix_japonica_XP_015719308.1 mucin-5AC [Coturnix japonica]	CBL80808.1 TPA_ mucin-5AC [Bos taurus], XP_059739142.1 mucin-5B [Bos taurus]
OG0000012	Coturnix_japonica_XP_015708265.1 PREDICTED_ SCO-spondin [Coturnix japonica]	sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor
OG0000012	Coturnix_japonica_XP_015726977.1 von Willebrand factor [Coturnix japonica]	pir||A34102 von Willebrand factor - bovine _fragments_
OG0000012	Coturnix_japonica_XP_015719635.1 otogelin isoform X2 [Coturnix japonica]	XP_059742803.1 otogelin-like protein [Bos taurus], DAA22321.1 TPA_ Otogelin-like [Bos taurus]
OG0000012	Coturnix_japonica_XP_015739529.1 alpha-tectorin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015739529.1 alpha-tectorin isoform X2 [Coturnix japonica]	XP_015330193.2 LOW QUALITY PROTEIN_ alpha-tectorin [Bos taurus]
OG0000012	Coturnix_japonica_XP_015710551.1 BMP-binding endothelial regulator protein isoform X1 [Coturnix japonica]	NP_001071465.1 BMP-binding endothelial regulator protein precursor [Bos taurus]
OG0000012	Coturnix_japonica_XP_015718813.1 LOW QUALITY PROTEIN_ von Willebrand factor C and EGF domain-containing protein [Coturnix japonica]	NP_001178138.1 von Willebrand factor C and EGF domain-containing protein precursor [Bos taurus]
OG0000013	Coturnix_japonica_XP_015708300.1 protein Wnt-16 [Coturnix japonica]	sp|Q5E9U6.1|WNT16_BOVIN RecName_ Full=Protein Wnt-16; Flags_ Precursor
OG0000013	Coturnix_japonica_XP_015724725.1 protein Wnt-6 isoform X2 [Coturnix japonica]	NP_001192492.1 protein Wnt-6 precursor [Bos taurus]
OG0000013	Coturnix_japonica_XP_015742371.1 proto-oncogene Wnt-1 [Coturnix japonica]	NP_001107663.1 proto-oncogene Wnt-1 precursor [Bos taurus]
OG0000013	Coturnix_japonica_XP_015740945.1 PREDICTED_ proto-oncogene Wnt-3 [Coturnix japonica]	NP_001192953.1 proto-oncogene Wnt-3 precursor [Bos taurus]
OG0000013	Coturnix_japonica_XP_015737876.1 protein Wnt-4 isoform X2 [Coturnix japonica]	XP_024838518.1 protein Wnt-4 isoform X1 [Bos taurus]
OG0000013	Coturnix_japonica_XP_015720854.1 protein Wnt-5b [Coturnix japonica]	XP_059742210.1 protein Wnt-5b isoform X1 [Bos taurus]
OG0000013	Coturnix_japonica_XP_015707967.1 protein Wnt-11 isoform X1 [Coturnix japonica]	NP_001075925.1 protein Wnt-11 [Bos taurus]
OG0000013	Coturnix_japonica_XP_015725941.1 PREDICTED_ protein Wnt-7b [Coturnix japonica]	NP_001179717.1 protein Wnt-7a [Bos taurus], XP_024848596.2 protein Wnt-7b isoform X1 [Bos taurus]
OG0000013	Coturnix_japonica_XP_015740732.1 protein Wnt-2b [Coturnix japonica]	NP_001092833.1 protein Wnt-2b [Bos taurus]
OG0000013	Coturnix_japonica_XP_015731087.1 protein Wnt-8a [Coturnix japonica]	NP_001179299.1 protein Wnt-8a [Bos taurus]
OG0000013	Coturnix_japonica_XP_015721972.1 PREDICTED_ protein Wnt-8b [Coturnix japonica]	XP_059737951.1 protein Wnt-8b [Bos taurus]
OG0000013	Coturnix_japonica_XP_015724730.1 protein Wnt-10a [Coturnix japonica]	XP_005202916.1 protein Wnt-10a isoform X1 [Bos taurus]
OG0000013	Coturnix_japonica_XP_015740908.1 PREDICTED_ protein Wnt-9b [Coturnix japonica]	XP_024836921.2 protein Wnt-9b [Bos taurus]
OG0000013	Coturnix_japonica_XP_015708473.1 protein Wnt-9a [Coturnix japonica]	DAA28331.1 TPA_ wingless-type MMTV integration site 9A-like [Bos taurus]
OG0000014	Coturnix_japonica_XP_015734540.1 A disintegrin and metalloproteinase with thrombospondin motifs 13 isoform X2 [Coturnix japonica]	XP_024855422.1 A disintegrin and metalloproteinase with thrombospondin motifs 13 [Bos taurus]
OG0000014	Coturnix_japonica_XP_015734810.1 ADAMTS-like protein 2 isoform X2 [Coturnix japonica]	NP_001192863.3 ADAMTS-like protein 2 precursor [Bos taurus]
OG0000014	Coturnix_japonica_XP_015728200.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Coturnix japonica]	XP_059746586.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Bos taurus]
OG0000014	Coturnix_japonica_XP_015704587.1 ADAMTS-like protein 1 isoform X1 [Coturnix japonica]	XP_024851836.1 ADAMTS-like protein 1 isoform X1 [Bos taurus]
OG0000014	Coturnix_japonica_XP_015728496.1 ADAMTS-like protein 3 isoform X1 [Coturnix japonica]	XP_059735268.1 ADAMTS-like protein 3 isoform X1 [Bos taurus]
OG0000014	Coturnix_japonica_XP_015729658.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 isoform X1 [Coturnix japonica]	XP_059734805.1 A disintegrin and metalloproteinase with thrombospondin motifs 16 [Bos taurus], XP_059732709.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 isoform X1 [Bos taurus]
