Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000003	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711709.1 collectin-10 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721592.1 mannose-binding protein [Coturnix japonica]	Clytia_hemispherica_TCONS_00008793-protein TCONS_00008793-protein, Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein, Clytia_hemispherica_TCONS_00064671-protein TCONS_00064671-protein, Clytia_hemispherica_TCONS_00043994-protein TCONS_00043994-protein, Clytia_hemispherica_TCONS_00008792-protein TCONS_00008792-protein, Clytia_hemispherica_TCONS_00060110-protein TCONS_00060110-protein
OG0000003	Coturnix_japonica_XP_015703924.1 CD209 antigen-like protein E isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00020411-protein TCONS_00020411-protein, Clytia_hemispherica_TCONS_00019274-protein TCONS_00019274-protein, Clytia_hemispherica_TCONS_00024141-protein TCONS_00024141-protein, Clytia_hemispherica_TCONS_00027918-protein TCONS_00027918-protein, Clytia_hemispherica_TCONS_00015294-protein TCONS_00015294-protein, Clytia_hemispherica_TCONS_00015272-protein TCONS_00015272-protein, Clytia_hemispherica_TCONS_00058579-protein TCONS_00058579-protein, Clytia_hemispherica_TCONS_00060002-protein TCONS_00060002-protein, Clytia_hemispherica_TCONS_00063107-protein TCONS_00063107-protein, Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein, Clytia_hemispherica_TCONS_00036482-protein TCONS_00036482-protein, Clytia_hemispherica_TCONS_00036492-protein TCONS_00036492-protein, Clytia_hemispherica_TCONS_00002699-protein TCONS_00002699-protein, Clytia_hemispherica_TCONS_00031875-protein TCONS_00031875-protein, Clytia_hemispherica_TCONS_00060536-protein TCONS_00060536-protein
OG0000004	Coturnix_japonica_XP_015713068.1 vitrin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015720468.1 cochlin [Coturnix japonica]	Clytia_hemispherica_TCONS_00005832-protein TCONS_00005832-protein
OG0000005	Coturnix_japonica_XP_015720065.1 astacin-like metalloendopeptidase [Coturnix japonica]	Clytia_hemispherica_TCONS_00071679-protein TCONS_00071679-protein, Clytia_hemispherica_TCONS_00027341-protein TCONS_00027341-protein, Clytia_hemispherica_TCONS_00071675-protein TCONS_00071675-protein, Clytia_hemispherica_TCONS_00071669-protein TCONS_00071669-protein, Clytia_hemispherica_TCONS_00050320-protein TCONS_00050320-protein, Clytia_hemispherica_TCONS_00005324-protein TCONS_00005324-protein, Clytia_hemispherica_TCONS_00018805-protein TCONS_00018805-protein, Clytia_hemispherica_TCONS_00062392-protein TCONS_00062392-protein, Clytia_hemispherica_TCONS_00072115-protein TCONS_00072115-protein, Clytia_hemispherica_TCONS_00035760-protein TCONS_00035760-protein, Clytia_hemispherica_TCONS_00017220-protein TCONS_00017220-protein, Clytia_hemispherica_TCONS_00071436-protein TCONS_00071436-protein, Clytia_hemispherica_TCONS_00001094-protein TCONS_00001094-protein, Clytia_hemispherica_TCONS_00012696-protein TCONS_00012696-protein, Clytia_hemispherica_TCONS_00059075-protein TCONS_00059075-protein, Clytia_hemispherica_TCONS_00047800-protein TCONS_00047800-protein, Clytia_hemispherica_TCONS_00010649-protein TCONS_00010649-protein
OG0000006	Coturnix_japonica_XP_015724966.1 PREDICTED_ coagulation factor XIII B chain-like isoform X3 [Coturnix japonica]	Clytia_hemispherica_TCONS_00068279-protein TCONS_00068279-protein
OG0000006	Coturnix_japonica_XP_015715861.1 sushi repeat-containing protein SRPX2 [Coturnix japonica], Coturnix_japonica_XP_015740022.1 sushi repeat-containing protein SRPX isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705358.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00055514-protein TCONS_00055514-protein, Clytia_hemispherica_TCONS_00001195-protein TCONS_00001195-protein
OG0000007	Coturnix_japonica_XP_015738107.1 PREDICTED_ LOW QUALITY PROTEIN_ multiple epidermal growth factor-like domains protein 6 [Coturnix japonica], Coturnix_japonica_XP_015705002.1 growth arrest-specific protein 6 [Coturnix japonica]	Clytia_hemispherica_TCONS_00028848-protein TCONS_00028848-protein
OG0000007	Coturnix_japonica_XP_015712174.1 fibulin-7 [Coturnix japonica]	Clytia_hemispherica_TCONS_00022735-protein TCONS_00022735-protein
OG0000007	Coturnix_japonica_XP_015727266.1 PREDICTED_ mucin-4 [Coturnix japonica]	Clytia_hemispherica_TCONS_00012963-protein TCONS_00012963-protein
OG0000009	Coturnix_japonica_XP_015724525.1 tumor necrosis factor-inducible gene 6 protein [Coturnix japonica]	Clytia_hemispherica_TCONS_00049409-protein TCONS_00049409-protein
OG0000009	Coturnix_japonica_XP_015726187.1 CUB domain-containing protein 2 isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00044068-protein TCONS_00044068-protein, Clytia_hemispherica_TCONS_00008272-protein TCONS_00008272-protein, Clytia_hemispherica_TCONS_00071034-protein TCONS_00071034-protein, Clytia_hemispherica_TCONS_00067570-protein TCONS_00067570-protein, Clytia_hemispherica_TCONS_00072702-protein TCONS_00072702-protein
OG0000010	Coturnix_japonica_XP_015704191.1 follistatin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741848.1 follistatin-related protein 3 [Coturnix japonica]	Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein
OG0000012	Coturnix_japonica_XP_015708265.1 PREDICTED_ SCO-spondin [Coturnix japonica]	Clytia_hemispherica_TCONS_00021868-protein TCONS_00021868-protein
OG0000012	Coturnix_japonica_XP_015718813.1 LOW QUALITY PROTEIN_ von Willebrand factor C and EGF domain-containing protein [Coturnix japonica]	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein
OG0000013	Coturnix_japonica_XP_015724725.1 protein Wnt-6 isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein
OG0000013	Coturnix_japonica_XP_015742371.1 proto-oncogene Wnt-1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00027333-protein TCONS_00027333-protein, Clytia_hemispherica_TCONS_00027371-protein TCONS_00027371-protein
OG0000013	Coturnix_japonica_XP_015740945.1 PREDICTED_ proto-oncogene Wnt-3 [Coturnix japonica], Coturnix_japonica_XP_015708521.1 PREDICTED_ protein Wnt-3a [Coturnix japonica]	Clytia_hemispherica_TCONS_00003473-protein TCONS_00003473-protein
OG0000013	Coturnix_japonica_XP_015737876.1 protein Wnt-4 isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00065525-protein TCONS_00065525-protein
OG0000013	Coturnix_japonica_XP_015707967.1 protein Wnt-11 isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00005153-protein TCONS_00005153-protein
OG0000013	Coturnix_japonica_XP_015709062.1 protein Wnt-2 [Coturnix japonica], Coturnix_japonica_XP_015740732.1 protein Wnt-2b [Coturnix japonica]	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein
OG0000013	Coturnix_japonica_XP_015731087.1 protein Wnt-8a [Coturnix japonica], Coturnix_japonica_XP_015721972.1 PREDICTED_ protein Wnt-8b [Coturnix japonica]	Clytia_hemispherica_TCONS_00073720-protein TCONS_00073720-protein
OG0000014	Coturnix_japonica_XP_015734810.1 ADAMTS-like protein 2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015728200.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein
OG0000014	Coturnix_japonica_XP_015720070.1 papilin isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00055972-protein TCONS_00055972-protein
OG0000014	Coturnix_japonica_XP_015710221.1 PREDICTED_ LOW QUALITY PROTEIN_ A disintegrin and metalloproteinase with thrombospondin motifs 20_ partial [Coturnix japonica], Coturnix_japonica_XP_015730744.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00024369-protein TCONS_00024369-protein, Clytia_hemispherica_TCONS_00024371-protein TCONS_00024371-protein
OG0000018	Coturnix_japonica_XP_015722587.1 PREDICTED_ LOW QUALITY PROTEIN_ lysyl oxidase homolog 4-like [Coturnix japonica], Coturnix_japonica_XP_015705736.1 lysyl oxidase homolog 3 [Coturnix japonica], Coturnix_japonica_XP_015738393.1 lysyl oxidase homolog 2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00019092-protein TCONS_00019092-protein, Clytia_hemispherica_TCONS_00038451-protein TCONS_00038451-protein, Clytia_hemispherica_TCONS_00053338-protein TCONS_00053338-protein, Clytia_hemispherica_TCONS_00066533-protein TCONS_00066533-protein
OG0000019	Coturnix_japonica_XP_015738689.1 bone morphogenetic protein 8B-like [Coturnix japonica], Coturnix_japonica_XP_015714712.1 bone morphogenetic protein 5 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015710074.1 bone morphogenetic protein 6 [Coturnix japonica], Coturnix_japonica_XP_015737280.1 bone morphogenetic protein 7 [Coturnix japonica]	Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein
OG0000019	Coturnix_japonica_XP_015721467.1 bone morphogenetic protein 4 [Coturnix japonica], Coturnix_japonica_XP_015712614.1 bone morphogenetic protein 2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein
OG0000019	Coturnix_japonica_XP_015705631.1 PREDICTED_ growth/differentiation factor 6_ partial [Coturnix japonica], Coturnix_japonica_XP_015736826.1 growth/differentiation factor 5 [Coturnix japonica], Coturnix_japonica_XP_015714970.1 growth/differentiation factor 7 [Coturnix japonica], Coturnix_japonica_XP_015717295.1 bone morphogenetic protein 3 [Coturnix japonica], Coturnix_japonica_XP_015722337.1 growth/differentiation factor 10 [Coturnix japonica]	Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein
OG0000020	Coturnix_japonica_XP_015705870.1 collagen alpha-1_II_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741354.1 LOW QUALITY PROTEIN_ collagen alpha-1_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015709029.1 collagen alpha-2_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015723325.1 collagen alpha-1_III_ chain [Coturnix japonica], Coturnix_japonica_XP_015723324.1 collagen alpha-2_V_ chain [Coturnix japonica]	Clytia_hemispherica_TCONS_00047700-protein TCONS_00047700-protein, Clytia_hemispherica_TCONS_00061671-protein TCONS_00061671-protein, Clytia_hemispherica_TCONS_00046920-protein TCONS_00046920-protein, Clytia_hemispherica_TCONS_00046924-protein TCONS_00046924-protein, Clytia_hemispherica_TCONS_00003321-protein TCONS_00003321-protein
OG0000020	Coturnix_japonica_XP_015725659.1 collagen alpha-1_XXIV_ chain isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00072191-protein TCONS_00072191-protein
OG0000021	Coturnix_japonica_XP_015721444.1 nidogen-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015713380.1 nidogen-1 isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00006428-protein TCONS_00006428-protein
OG0000021	Coturnix_japonica_XP_015717481.1 pro-epidermal growth factor isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein
OG0000022	Coturnix_japonica_XP_015716358.1 PREDICTED_ annexin A10 [Coturnix japonica]	Clytia_hemispherica_TCONS_00007569-protein TCONS_00007569-protein
OG0000022	Coturnix_japonica_XP_015722004.1 annexin A7 isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein
OG0000022	Coturnix_japonica_XP_015711775.1 annexin A13 [Coturnix japonica]	Clytia_hemispherica_TCONS_00058750-protein TCONS_00058750-protein, Clytia_hemispherica_TCONS_00052106-protein TCONS_00052106-protein
OG0000023	Coturnix_japonica_XP_015721656.1 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738502.1 disintegrin and metalloproteinase domain-containing protein 28 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733264.1 disintegrin and metalloproteinase domain-containing protein 9-like [Coturnix japonica], Coturnix_japonica_XP_015738633.1 disintegrin and metalloproteinase domain-containing protein 9 [Coturnix japonica], Coturnix_japonica_XP_015723079.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 12 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015718482.1 disintegrin and metalloproteinase domain-containing protein 33 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015731731.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 19 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015723724.1 disintegrin and metalloproteinase domain-containing protein 23 [Coturnix japonica], Coturnix_japonica_XP_015708948.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740988.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 11 isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein
OG0000024	Coturnix_japonica_XP_015716467.1 testican-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015731364.1 testican-1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721924.1 testican-2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein
OG0000028	Coturnix_japonica_XP_015706908.1 collagen alpha-1_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715960.1 collagen alpha-5_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726877.1 collagen alpha-3_IV_ chain [Coturnix japonica]	Clytia_hemispherica_TCONS_00014070-protein TCONS_00014070-protein
OG0000030	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein
OG0000030	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein, Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein
OG0000033	Coturnix_japonica_XP_015711635.2 collagen triple helix repeat-containing protein 1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00050100-protein TCONS_00050100-protein, Clytia_hemispherica_TCONS_00060254-protein TCONS_00060254-protein, Clytia_hemispherica_TCONS_00060270-protein TCONS_00060270-protein, Clytia_hemispherica_TCONS_00063125-protein TCONS_00063125-protein, Clytia_hemispherica_TCONS_00053701-protein TCONS_00053701-protein, Clytia_hemispherica_TCONS_00039900-protein TCONS_00039900-protein, Clytia_hemispherica_TCONS_00023261-protein TCONS_00023261-protein, Clytia_hemispherica_TCONS_00023250-protein TCONS_00023250-protein, Clytia_hemispherica_TCONS_00025608-protein TCONS_00025608-protein
OG0000034	Coturnix_japonica_XP_015728800.1 multiple epidermal growth factor-like domains protein 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705198.1 multiple epidermal growth factor-like domains protein 10 [Coturnix japonica]	Clytia_hemispherica_TCONS_00055927-protein TCONS_00055927-protein
OG0000036	Coturnix_japonica_XP_015734828.1 epidermal growth factor-like protein 7 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015703683.1 PREDICTED_ epidermal growth factor-like protein 6 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015716910.1 LOW QUALITY PROTEIN_ nephronectin [Coturnix japonica]	Clytia_hemispherica_TCONS_00001698-protein TCONS_00001698-protein
OG0000040	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein
OG0000044	Coturnix_japonica_XP_015737318.1 protein-glutamine gamma-glutamyltransferase 2 [Coturnix japonica], Coturnix_japonica_XP_015736940.1 PREDICTED_ protein-glutamine gamma-glutamyltransferase E-like_ partial [Coturnix japonica], Coturnix_japonica_XP_015736972.1 protein-glutamine gamma-glutamyltransferase 6-like [Coturnix japonica], Coturnix_japonica_XP_015709680.1 protein-glutamine gamma-glutamyltransferase 4 [Coturnix japonica], Coturnix_japonica_XP_015710131.1 coagulation factor XIII A chain [Coturnix japonica]	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein
OG0000045	Coturnix_japonica_XP_015710913.1 PREDICTED_ laminin subunit alpha-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015736975.1 laminin subunit alpha-5 isoform X3 [Coturnix japonica]	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein, Clytia_hemispherica_TCONS_00064870-protein TCONS_00064870-protein, Clytia_hemispherica_TCONS_00064833-protein TCONS_00064833-protein
OG0000045	Coturnix_japonica_XP_015714210.1 laminin subunit alpha-4 [Coturnix japonica]	Clytia_hemispherica_TCONS_00036447-protein TCONS_00036447-protein, Clytia_hemispherica_TCONS_00064868-protein TCONS_00064868-protein, Clytia_hemispherica_TCONS_00064836-protein TCONS_00064836-protein, Clytia_hemispherica_TCONS_00043175-protein TCONS_00043175-protein
OG0000049	Coturnix_japonica_XP_015730469.1 plexin-A1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740621.1 PREDICTED_ plexin-A2 [Coturnix japonica], Coturnix_japonica_XP_015716725.1 plexin-A4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730724.1 plexin-B1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015708110.1 plexin-B2 [Coturnix japonica], Coturnix_japonica_XP_015730333.1 plexin-D1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein
OG0000054	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein
OG0000063	Coturnix_japonica_XP_015708514.1 sonic hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015724713.1 indian hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015742402.1 desert hedgehog protein [Coturnix japonica]	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein
OG0000064	Coturnix_japonica_XP_015720647.1 PREDICTED_ latent-transforming growth factor beta-binding protein 2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015713186.1 latent-transforming growth factor beta-binding protein 1 isoform X6 [Coturnix japonica]	Clytia_hemispherica_TCONS_00067923-protein TCONS_00067923-protein
OG0000070	Coturnix_japonica_XP_015714841.1 peroxidasin homolog [Coturnix japonica], Coturnix_japonica_XP_015737187.1 peroxidasin homolog [Coturnix japonica]	Clytia_hemispherica_TCONS_00021784-protein TCONS_00021784-protein
OG0000080	Coturnix_japonica_XP_015719193.1 metalloproteinase inhibitor 3 [Coturnix japonica], Coturnix_japonica_XP_015735526.1 metalloproteinase inhibitor 2 [Coturnix japonica], Coturnix_japonica_XP_015730262.1 metalloproteinase inhibitor 4 isoform X3 [Coturnix japonica]	Clytia_hemispherica_TCONS_00070986-protein TCONS_00070986-protein, Clytia_hemispherica_TCONS_00051832-protein TCONS_00051832-protein, Clytia_hemispherica_TCONS_00001940-protein TCONS_00001940-protein
OG0000081	Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica], Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein, Clytia_hemispherica_TCONS_00022711-protein TCONS_00022711-protein, Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein
OG0000084	Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015723175.2 collagen alpha-1_XVIII_ chain isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00057688-protein TCONS_00057688-protein
OG0000089	Coturnix_japonica_XP_015716178.1 chordin-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015708156.1 PREDICTED_ chordin-like protein 2 isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00004749-protein TCONS_00004749-protein
OG0000112	Coturnix_japonica_XP_015722579.1 PREDICTED_ inactive heparanase-2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015717103.1 PREDICTED_ heparanase isoform X3 [Coturnix japonica]	Clytia_hemispherica_TCONS_00062070-protein TCONS_00062070-protein
OG0000120	Coturnix_japonica_XP_015736984.1 syndecan-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711411.1 syndecan-2 [Coturnix japonica], Coturnix_japonica_XP_015714984.1 syndecan-1 [Coturnix japonica], Coturnix_japonica_XP_015739164.1 syndecan-3 [Coturnix japonica]	Clytia_hemispherica_TCONS_00010938-protein TCONS_00010938-protein
OG0000123	Coturnix_japonica_XP_015725990.1 fibulin-1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730290.1 fibulin-2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00069578-protein TCONS_00069578-protein
OG0000150	Coturnix_japonica_XP_015725032.1 pappalysin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015734233.1 PREDICTED_ pappalysin-1 isoform X2 [Coturnix japonica]	Clytia_hemispherica_TCONS_00003726-protein TCONS_00003726-protein
OG0000156	Coturnix_japonica_XP_015728918.1 microfibrillar-associated protein 1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00025665-protein TCONS_00025665-protein
OG0000171	Coturnix_japonica_XP_015709459.1 PREDICTED_ peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00013906-protein TCONS_00013906-protein
