Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio
OG0000001	Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]	Danio_rerio_sp_Q1LVF0_LAMC1_DANRE sp|Q1LVF0|LAMC1_DANRE Laminin subunit gamma-1 OS=Danio rerio OX=7955 GN=lamc1 PE=2 SV=2
OG0000001	Coturnix_japonica_XP_015710772.1 laminin subunit alpha-1 [Coturnix japonica]	Danio_rerio_tr_G8IHU0_G8IHU0_DANRE tr|G8IHU0|G8IHU0_DANRE Laminin alpha 2 chain short splice variant OS=Danio rerio OX=7955 GN=Lama2 PE=1 SV=1
OG0000002	Coturnix_japonica_XP_015712627.1 isthmin-1 [Coturnix japonica]	Danio_rerio_sp_Q5EGE1_ISM1_DANRE sp|Q5EGE1|ISM1_DANRE Isthmin-1 OS=Danio rerio OX=7955 GN=ism1 PE=2 SV=1
OG0000002	Coturnix_japonica_XP_015720716.1 isthmin-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015720716.1 isthmin-2 isoform X2 [Coturnix japonica]	Danio_rerio_sp_Q58T08_ISM2_DANRE sp|Q58T08|ISM2_DANRE Isthmin-2 OS=Danio rerio OX=7955 GN=ism2 PE=2 SV=1, Danio_rerio_tr_E7F979_E7F979_DANRE tr|E7F979|E7F979_DANRE Isthmin 2a OS=Danio rerio OX=7955 GN=ism2a PE=3 SV=1
OG0000002	Coturnix_japonica_XP_015713502.1 thrombospondin-2 [Coturnix japonica]	Danio_rerio_tr_A0A8M3B7K3_A0A8M3B7K3_DANRE tr|A0A8M3B7K3|A0A8M3B7K3_DANRE Thrombospondin 2b OS=Danio rerio OX=7955 GN=thbs2b PE=3 SV=1, Danio_rerio_tr_F8W5Z7_F8W5Z7_DANRE tr|F8W5Z7|F8W5Z7_DANRE Thrombospondin 2a OS=Danio rerio OX=7955 GN=thbs2a PE=3 SV=1
OG0000002	Coturnix_japonica_XP_015720231.1 thrombospondin-1 [Coturnix japonica]	Danio_rerio_tr_F1QL35_F1QL35_DANRE tr|F1QL35|F1QL35_DANRE Thrombospondin 1b OS=Danio rerio OX=7955 GN=thbs1b PE=3 SV=2, Danio_rerio_tr_F1QEE7_F1QEE7_DANRE tr|F1QEE7|F1QEE7_DANRE Thrombospondin 1b OS=Danio rerio OX=7955 GN=thbs1b PE=3 SV=2
OG0000002	Coturnix_japonica_XP_015741579.1 cartilage oligomeric matrix protein [Coturnix japonica]	Danio_rerio_tr_A0A0G2KDJ5_A0A0G2KDJ5_DANRE tr|A0A0G2KDJ5|A0A0G2KDJ5_DANRE Cartilage oligomeric matrix protein OS=Danio rerio OX=7955 GN=Tsp-4b PE=1 SV=1
OG0000002	Coturnix_japonica_XP_015704105.1 thrombospondin-4 isoform X1 [Coturnix japonica]	Danio_rerio_tr_A0A0R4I9N1_A0A0R4I9N1_DANRE tr|A0A0R4I9N1|A0A0R4I9N1_DANRE Thrombospondin 4a OS=Danio rerio OX=7955 GN=zgc_175276 PE=3 SV=1, Danio_rerio_sp_Q8JGW0_TSP4B_DANRE sp|Q8JGW0|TSP4B_DANRE Thrombospondin-4-B OS=Danio rerio OX=7955 GN=thbs4b PE=2 SV=1
OG0000002	Coturnix_japonica_XP_015730130.1 semaphorin-3B isoform X2 [Coturnix japonica]	Danio_rerio_tr_A0A8M1NJX9_A0A8M1NJX9_DANRE tr|A0A8M1NJX9|A0A8M1NJX9_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3B OS=Danio rerio OX=7955 GN=si_ch211-106g4.2 PE=3 SV=1
OG0000002	Coturnix_japonica_XP_015731584.1 semaphorin-3A isoform X1 [Coturnix japonica]	Danio_rerio_sp_Q9W7J1_SE3AA_DANRE sp|Q9W7J1|SE3AA_DANRE Semaphorin-3aa OS=Danio rerio OX=7955 GN=sema3aa PE=2 SV=1, Danio_rerio_sp_Q9W686_SE3AB_DANRE sp|Q9W686|SE3AB_DANRE Semaphorin-3ab OS=Danio rerio OX=7955 GN=sema3ab PE=2 SV=1
OG0000002	Coturnix_japonica_XP_015731398.1 LOW QUALITY PROTEIN_ semaphorin-3D [Coturnix japonica]	Danio_rerio_tr_E9QD84_E9QD84_DANRE tr|E9QD84|E9QD84_DANRE Semaphorin-3D OS=Danio rerio OX=7955 GN=sema2 PE=3 SV=2, Danio_rerio_sp_Q9W6G6_SEM3D_DANRE sp|Q9W6G6|SEM3D_DANRE Semaphorin-3D OS=Danio rerio OX=7955 GN=sema3d PE=2 SV=1
OG0000002	Coturnix_japonica_XP_015730142.1 semaphorin-3F isoform X1 [Coturnix japonica]	Danio_rerio_tr_F1QPG9_F1QPG9_DANRE tr|F1QPG9|F1QPG9_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Fa isoform X1 OS=Danio rerio OX=7955 GN=wu_fb92d12 PE=3 SV=1, Danio_rerio_tr_Q5ID24_Q5ID24_DANRE tr|Q5ID24|Q5ID24_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Fa precursor OS=Danio rerio OX=7955 GN=sema3Fa PE=2 SV=1, Danio_rerio_tr_E7F6C0_E7F6C0_DANRE tr|E7F6C0|E7F6C0_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3Fb OS=Danio rerio OX=7955 GN=sema3fb PE=3 SV=1
OG0000002	Coturnix_japonica_XP_015733533.1 semaphorin-3C [Coturnix japonica]	Danio_rerio_tr_A0A1A8AQ50_A0A1A8AQ50_NOTFU tr|A0A1A8AQ50|A0A1A8AQ50_NOTFU Semaphorin 3ga OS=Nothobranchius furzeri OX=105023 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8EGA6_A0A1A8EGA6_9TELE tr|A0A1A8EGA6|A0A1A8EGA6_9TELE Semaphorin 3ga OS=Nothobranchius kadleci OX=1051664 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8MXQ7_A0A1A8MXQ7_9TELE tr|A0A1A8MXQ7|A0A1A8MXQ7_9TELE Semaphorin 3ga OS=Nothobranchius pienaari OX=704102 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8QUT7_A0A1A8QUT7_9TELE tr|A0A1A8QUT7|A0A1A8QUT7_9TELE Semaphorin 3ga OS=Nothobranchius rachovii OX=451742 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8J989_A0A1A8J989_NOTKU tr|A0A1A8J989|A0A1A8J989_NOTKU Semaphorin 3ga OS=Nothobranchius kuhntae OX=321403 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8G211_A0A1A8G211_9TELE tr|A0A1A8G211|A0A1A8G211_9TELE Semaphorin 3ga OS=Nothobranchius korthausae OX=1143690 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A1L5C9_A1L5C9_DANRE tr|A1L5C9|A1L5C9_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Ga isoform X1 OS=Danio rerio OX=7955 GN=sema3ga PE=2 SV=1, Danio_rerio_tr_Q5ID22_Q5ID22_DANRE tr|Q5ID22|Q5ID22_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Ga precursor OS=Danio rerio OX=7955 GN=sema3Ga PE=2 SV=1, Danio_rerio_tr_B0S5G6_B0S5G6_DANRE tr|B0S5G6|B0S5G6_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Gb isoform X2 OS=Danio rerio OX=7955 GN=sema3gb PE=1 SV=1, Danio_rerio_tr_Q5ID21_Q5ID21_DANRE tr|Q5ID21|Q5ID21_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Gb precursor OS=Danio rerio OX=7955 GN=sema3Gb PE=1 SV=1
OG0000002	Coturnix_japonica_XP_015736068.1 semaphorin-3E [Coturnix japonica]	Danio_rerio_tr_Q1LYS1_Q1LYS1_DANRE tr|Q1LYS1|Q1LYS1_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3E OS=Danio rerio OX=7955 GN=fj37c11 PE=3 SV=1
OG0000002	Coturnix_japonica_XP_015730125.1 semaphorin-3G [Coturnix japonica]	Danio_rerio_tr_M9MM97_M9MM97_DANRE tr|M9MM97|M9MM97_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3bl OS=Danio rerio OX=7955 GN=fc22d04 PE=3 SV=1
OG0000002	Coturnix_japonica_XP_015728958.1 semaphorin-4B [Coturnix japonica]	Danio_rerio_tr_A0A8M3ARZ2_A0A8M3ARZ2_DANRE tr|A0A8M3ARZ2|A0A8M3ARZ2_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4Ba OS=Danio rerio OX=7955 GN=si_ch211-138h3.1 PE=4 SV=1, Danio_rerio_tr_E7F898_E7F898_DANRE tr|E7F898|E7F898_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4Ba OS=Danio rerio OX=7955 GN=si_ch211-138h3.1 PE=4 SV=3
OG0000002	Coturnix_japonica_XP_015704836.1 semaphorin-4D isoform X10 [Coturnix japonica], Coturnix_japonica_XP_015722546.1 PREDICTED_ semaphorin-4G isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738337.1 PREDICTED_ semaphorin-4C [Coturnix japonica]	Danio_rerio_tr_F1QF70_F1QF70_DANRE tr|F1QF70|F1QF70_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4C OS=Danio rerio OX=7955 GN=sc_d411 PE=3 SV=1, Danio_rerio_tr_A4JYS4_A4JYS4_DANRE tr|A4JYS4|A4JYS4_DANRE Semaphorin-4C precursor OS=Danio rerio OX=7955 GN=sc_d411 PE=2 SV=1
OG0000002	Coturnix_japonica_XP_015728181.1 PREDICTED_ semaphorin-7A isoform X1 [Coturnix japonica]	Danio_rerio_tr_X1WHP4_X1WHP4_DANRE tr|X1WHP4|X1WHP4_DANRE Semaphorin 7A OS=Danio rerio OX=7955 GN=fc47g07 PE=4 SV=1, Danio_rerio_tr_E7FBE1_E7FBE1_DANRE tr|E7FBE1|E7FBE1_DANRE Semaphorin 7A OS=Danio rerio OX=7955 GN=fc47g07 PE=3 SV=1
OG0000002	Coturnix_japonica_XP_015709878.1 semaphorin-5A [Coturnix japonica]	Danio_rerio_tr_A0A0R4IMM9_A0A0R4IMM9_DANRE tr|A0A0R4IMM9|A0A0R4IMM9_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=1, Danio_rerio_tr_F1R9L1_F1R9L1_DANRE tr|F1R9L1|F1R9L1_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5A OS=Danio rerio OX=7955 GN=wu_fa95e03 PE=4 SV=3
OG0000002	Coturnix_japonica_XP_015724160.1 semaphorin-5B isoform X2 [Coturnix japonica]	Danio_rerio_tr_F1QPQ6_F1QPQ6_DANRE tr|F1QPQ6|F1QPQ6_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Ba OS=Danio rerio OX=7955 GN=sema5ba PE=4 SV=1, Danio_rerio_tr_A0A8M1Q1V7_A0A8M1Q1V7_DANRE tr|A0A8M1Q1V7|A0A8M1Q1V7_DANRE Sema domain_ seven thrombospondin repeats _type 1 and type 1-like__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 5Bb OS=Danio rerio OX=7955 GN=sema5bb PE=4 SV=1
OG0000002	Coturnix_japonica_XP_015728452.1 semaphorin-6D isoform X7 [Coturnix japonica]	Danio_rerio_tr_A3KPS4_A3KPS4_DANRE tr|A3KPS4|A3KPS4_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1, Danio_rerio_tr_A3KPS3_A3KPS3_DANRE tr|A3KPS3|A3KPS3_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D_-like OS=Danio rerio OX=7955 GN=si_ch211-278n20.1 PE=2 SV=1
OG0000002	Coturnix_japonica_XP_015705476.1 semaphorin-6A isoform X1 [Coturnix japonica]	Danio_rerio_tr_Q6P7E1_Q6P7E1_DANRE tr|Q6P7E1|Q6P7E1_DANRE Semaphorin-6A precursor OS=Danio rerio OX=7955 GN=zgc_66106 PE=2 SV=1
OG0000002	Coturnix_japonica_XP_015740145.1 PREDICTED_ semaphorin-6C isoform X3 [Coturnix japonica]	Danio_rerio_tr_B8JMB1_B8JMB1_DANRE tr|B8JMB1|B8JMB1_DANRE Sema domain_ transmembrane domain _TM__ and cytoplasmic domain_ _semaphorin_ 6D OS=Danio rerio OX=7955 GN=wu_fi06a12 PE=4 SV=1
OG0000002	Coturnix_japonica_XP_015725373.1 PREDICTED_ hemicentin-1 isoform X9 [Coturnix japonica]	Danio_rerio_tr_D7PS96_D7PS96_DANRE tr|D7PS96|D7PS96_DANRE Hemicentin-1 precursor OS=Danio rerio OX=7955 GN=hmcn1 PE=2 SV=1
OG0000003	Coturnix_japonica_XP_015739942.1 brevican core protein isoform X1 [Coturnix japonica]	Danio_rerio_tr_A4JYN2_A4JYN2_DANRE tr|A4JYN2|A4JYN2_DANRE Bcan OS=Danio rerio OX=7955 GN=fi32a12 PE=2 SV=1
OG0000003	Coturnix_japonica_XP_015742251.2 neurocan core protein isoform X1 [Coturnix japonica]	Danio_rerio_tr_F1QEZ8_F1QEZ8_DANRE tr|F1QEZ8|F1QEZ8_DANRE Neurocan b OS=Danio rerio OX=7955 GN=ncanb PE=4 SV=3
OG0000003	Coturnix_japonica_XP_015728567.1 PREDICTED_ aggrecan core protein isoform X1 [Coturnix japonica]	Danio_rerio_tr_E7F537_E7F537_DANRE tr|E7F537|E7F537_DANRE Aggrecan a OS=Danio rerio OX=7955 GN=acana PE=4 SV=3, Danio_rerio_tr_F1QDA1_F1QDA1_DANRE tr|F1QDA1|F1QDA1_DANRE Aggrecan a OS=Danio rerio OX=7955 GN=acana PE=4 SV=2
OG0000003	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica]	Danio_rerio_sp_Q5U3G1_COL11_DANRE sp|Q5U3G1|COL11_DANRE Collectin-11 OS=Danio rerio OX=7955 GN=colec11 PE=2 SV=1
OG0000003	Coturnix_japonica_XP_015711709.1 collectin-10 isoform X1 [Coturnix japonica]	Danio_rerio_tr_Q504I3_Q504I3_DANRE tr|Q504I3|Q504I3_DANRE Hbl3 protein OS=Danio rerio OX=7955 GN=hbl3 PE=2 SV=1
OG0000003	Coturnix_japonica_XP_015710863.1 collectin-12 [Coturnix japonica]	Danio_rerio_sp_A5PMY6_COL12_DANRE sp|A5PMY6|COL12_DANRE Collectin-12 OS=Danio rerio OX=7955 GN=colec12 PE=2 SV=1
OG0000004	Coturnix_japonica_XP_015737645.1 von Willebrand factor A domain-containing protein 1 [Coturnix japonica]	Danio_rerio_sp_E7FF10_VWA1_DANRE sp|E7FF10|VWA1_DANRE von Willebrand factor A domain-containing protein 1 OS=Danio rerio OX=7955 GN=vwa1 PE=3 SV=1
OG0000004	Coturnix_japonica_XP_015730555.1 collagen alpha-1_VII_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737180.1 collagen alpha-1_XX_ chain [Coturnix japonica], Coturnix_japonica_XP_015714536.1 collagen alpha-1_XII_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711669.1 PREDICTED_ collagen alpha-1_XIV_ chain isoform X1 [Coturnix japonica]	Danio_rerio_tr_F1R9Y1_F1R9Y1_DANRE tr|F1R9Y1|F1R9Y1_DANRE Collagen alpha-1_XIV_ chain isoform X2 OS=Danio rerio OX=7955 GN=col14a1a PE=1 SV=1
OG0000004	Coturnix_japonica_XP_015722855.1 von Willebrand factor A domain-containing protein 2 isoform X2 [Coturnix japonica]	Danio_rerio_tr_U3JA51_U3JA51_DANRE tr|U3JA51|U3JA51_DANRE von Willebrand factor A domain-containing 2 OS=Danio rerio OX=7955 GN=vwa2 PE=1 SV=1
OG0000004	Coturnix_japonica_XP_015709514.1 collagen alpha-6_VI_ chain [Coturnix japonica], Coturnix_japonica_XP_015723563.1 collagen alpha-3_VI_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015713068.1 vitrin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015720468.1 cochlin [Coturnix japonica]	Danio_rerio_tr_Q8AW56_Q8AW56_DANRE tr|Q8AW56|Q8AW56_DANRE Cochlin precursor OS=Danio rerio OX=7955 GN=OTTDARP00000001491 PE=1 SV=1
