Orthogroup	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Chordata_Vertebrata_Homo_sapiens
OG0000041	Monosiga_brevicollisXP_001746473.1 XP_001746473.1 uncharacterized protein MONBRDRAFT_8767 [Monosiga brevicollis MX1]	Homo_sapiens_sp_O00534_VMA5A_HUMAN sp|O00534|VMA5A_HUMAN von Willebrand factor A domain-containing protein 5A OS=Homo sapiens OX=9606 GN=VWA5A PE=1 SV=2, Homo_sapiens_sp_Q5TIE3_VW5B1_HUMAN sp|Q5TIE3|VW5B1_HUMAN von Willebrand factor A domain-containing protein 5B1 OS=Homo sapiens OX=9606 GN=VWA5B1 PE=1 SV=2
OG0000045	Monosiga_brevicollisXP_001749847.1 XP_001749847.1 uncharacterized protein MONBRDRAFT_34306 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q16363_LAMA4_HUMAN sp|Q16363|LAMA4_HUMAN Laminin subunit alpha-4 OS=Homo sapiens OX=9606 GN=LAMA4 PE=1 SV=4
OG0000064	Monosiga_brevicollisXP_001750003.1 XP_001750003.1 uncharacterized protein MONBRDRAFT_29555 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001746748.1 XP_001746748.1 uncharacterized protein MONBRDRAFT_26291 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q8N2S1_LTBP4_HUMAN sp|Q8N2S1|LTBP4_HUMAN Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens OX=9606 GN=LTBP4 PE=1 SV=2, Homo_sapiens_sp_Q14767_LTBP2_HUMAN sp|Q14767|LTBP2_HUMAN Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens OX=9606 GN=LTBP2 PE=1 SV=3, Homo_sapiens_sp_Q9NS15_LTBP3_HUMAN sp|Q9NS15|LTBP3_HUMAN Latent-transforming growth factor beta-binding protein 3 OS=Homo sapiens OX=9606 GN=LTBP3 PE=1 SV=4, Homo_sapiens_sp_Q14766_LTBP1_HUMAN sp|Q14766|LTBP1_HUMAN Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4
OG0000081	Monosiga_brevicollisXP_001747730.1 XP_001747730.1 uncharacterized protein MONBRDRAFT_9903 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q6UXH1_CREL2_HUMAN sp|Q6UXH1|CREL2_HUMAN Protein disulfide isomerase CRELD2 OS=Homo sapiens OX=9606 GN=CRELD2 PE=1 SV=1, Homo_sapiens_sp_Q96HD1_CREL1_HUMAN sp|Q96HD1|CREL1_HUMAN Protein disulfide isomerase CRELD1 OS=Homo sapiens OX=9606 GN=CRELD1 PE=1 SV=3
OG0000093	Monosiga_brevicollisXP_001742194.1 XP_001742194.1 uncharacterized protein MONBRDRAFT_35345 [Monosiga brevicollis MX1]	Homo_sapiens_sp_P01040_CYTA_HUMAN sp|P01040|CYTA_HUMAN Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1, Homo_sapiens_sp_P04080_CYTB_HUMAN sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2
OG0000112	Monosiga_brevicollisXP_001750416.1 XP_001750416.1 uncharacterized protein MONBRDRAFT_29948 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001747086.1 XP_001747086.1 uncharacterized protein MONBRDRAFT_26729 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001742652.1 XP_001742652.1 uncharacterized protein MONBRDRAFT_22110 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001745179.1 XP_001745179.1 uncharacterized protein MONBRDRAFT_24839 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001751005.1 XP_001751005.1 uncharacterized protein MONBRDRAFT_30511 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q8WWQ2_HPSE2_HUMAN sp|Q8WWQ2|HPSE2_HUMAN Inactive heparanase-2 OS=Homo sapiens OX=9606 GN=HPSE2 PE=1 SV=3
OG0000125	Monosiga_brevicollisXP_001749322.1 XP_001749322.1 uncharacterized protein MONBRDRAFT_38683 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q6UXX5_ITIH6_HUMAN sp|Q6UXX5|ITIH6_HUMAN Inter-alpha-trypsin inhibitor heavy chain H6 OS=Homo sapiens OX=9606 GN=ITIH6 PE=1 SV=1, Homo_sapiens_sp_Q86UX2_ITIH5_HUMAN sp|Q86UX2|ITIH5_HUMAN Inter-alpha-trypsin inhibitor heavy chain H5 OS=Homo sapiens OX=9606 GN=ITIH5 PE=2 SV=2, Homo_sapiens_sp_P19827_ITIH1_HUMAN sp|P19827|ITIH1_HUMAN Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3, Homo_sapiens_sp_Q06033_ITIH3_HUMAN sp|Q06033|ITIH3_HUMAN Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens OX=9606 GN=ITIH3 PE=1 SV=2, Homo_sapiens_sp_P19823_ITIH2_HUMAN sp|P19823|ITIH2_HUMAN Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2, Homo_sapiens_sp_Q14624_ITIH4_HUMAN sp|Q14624|ITIH4_HUMAN Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4
OG0000156	Monosiga_brevicollisXP_001746092.1 XP_001746092.1 uncharacterized protein MONBRDRAFT_25760 [Monosiga brevicollis MX1]	Homo_sapiens_sp_P55081_MFAP1_HUMAN sp|P55081|MFAP1_HUMAN Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2
OG0000171	Monosiga_brevicollisXP_001746368.1 XP_001746368.1 uncharacterized protein MONBRDRAFT_8805_ partial [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q96IV0_NGLY1_HUMAN sp|Q96IV0|NGLY1_HUMAN Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Homo sapiens OX=9606 GN=NGLY1 PE=1 SV=1
OG0000252	Monosiga_brevicollisXP_001747777.1 XP_001747777.1 uncharacterized protein MONBRDRAFT_9985 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q92832_NELL1_HUMAN sp|Q92832|NELL1_HUMAN Protein kinase C-binding protein NELL1 OS=Homo sapiens OX=9606 GN=NELL1 PE=1 SV=4, Homo_sapiens_sp_Q99435_NELL2_HUMAN sp|Q99435|NELL2_HUMAN Protein kinase C-binding protein NELL2 OS=Homo sapiens OX=9606 GN=NELL2 PE=1 SV=1
OG0000447	Monosiga_brevicollisXP_001748431.1 XP_001748431.1 uncharacterized protein MONBRDRAFT_10631 [Monosiga brevicollis MX1]	Homo_sapiens_sp_Q92954_PRG4_HUMAN sp|Q92954|PRG4_HUMAN Proteoglycan 4 OS=Homo sapiens OX=9606 GN=PRG4 PE=1 SV=3
