Orthogroup	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_belcheri
OG0000000	Branchiostoma_floridae_tr_A0A9J7MER3_A0A9J7MER3_BRAFL tr|A0A9J7MER3|A0A9J7MER3_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118430934 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P5AYB6_A0A6P5AYB6_BRABE tr|A0A6P5AYB6|A0A6P5AYB6_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109487523 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A1D2_A0A6P5A1D2_BRABE tr|A0A6P5A1D2|A0A6P5A1D2_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109487523 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7NBA4_A0A9J7NBA4_BRAFL tr|A0A9J7NBA4|A0A9J7NBA4_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118431034 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NBR7_A0A9J7NBR7_BRAFL tr|A0A9J7NBR7|A0A9J7NBR7_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118430834 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M860_A0A9J7M860_BRAFL tr|A0A9J7M860|A0A9J7M860_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118429883 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M9L0_A0A9J7M9L0_BRAFL tr|A0A9J7M9L0|A0A9J7M9L0_BRAFL Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma floridae OX=7739 GN=LOC118429983 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MAL2_A0A9J7MAL2_BRAFL tr|A0A9J7MAL2|A0A9J7MAL2_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118430836 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NC67_A0A9J7NC67_BRAFL tr|A0A9J7NC67|A0A9J7NC67_BRAFL Fibrinogen-like protein 1 OS=Branchiostoma floridae OX=7739 GN=LOC118430835 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P5AID3_A0A6P5AID3_BRABE tr|A0A6P5AID3|A0A6P5AID3_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484156 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y632_A0A6P4Y632_BRABE tr|A0A6P4Y632|A0A6P4Y632_BRABE Angiopoietin-4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462109 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XU50_A0A6P4XU50_BRABE tr|A0A6P4XU50|A0A6P4XU50_BRABE Fibrinogen C domain-containing protein 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109462108 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XCB3_A0A6P4XCB3_BRABE tr|A0A6P4XCB3|A0A6P4XCB3_BRABE Fibrinogen C domain-containing protein 1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109462108 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YBH5_A0A6P4YBH5_BRABE tr|A0A6P4YBH5|A0A6P4YBH5_BRABE Fibrinogen-like protein 1 isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109462108 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y5H8_A0A6P4Y5H8_BRABE tr|A0A6P4Y5H8|A0A6P4Y5H8_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466418 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XZS8_A0A6P4XZS8_BRABE tr|A0A6P4XZS8|A0A6P4XZS8_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109463530 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZP44_A0A6P4ZP44_BRABE tr|A0A6P4ZP44|A0A6P4ZP44_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484158 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7LGI6_A0A9J7LGI6_BRAFL tr|A0A9J7LGI6|A0A9J7LGI6_BRAFL Angiopoietin-4-like OS=Branchiostoma floridae OX=7739 GN=LOC118419300 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4XZ62_A0A6P4XZ62_BRABE tr|A0A6P4XZ62|A0A6P4XZ62_BRABE Fibrinogen C domain-containing protein 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109464799 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YWE2_A0A6P4YWE2_BRABE tr|A0A6P4YWE2|A0A6P4YWE2_BRABE Angiopoietin-related protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109473224 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YF63_A0A6P4YF63_BRABE tr|A0A6P4YF63|A0A6P4YF63_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464781 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y4X3_A0A6P4Y4X3_BRABE tr|A0A6P4Y4X3|A0A6P4Y4X3_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109464799 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YTU3_A0A6P4YTU3_BRABE tr|A0A6P4YTU3|A0A6P4YTU3_BRABE Angiopoietin-related protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468246 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XLC4_A0A6P4XLC4_BRABE tr|A0A6P4XLC4|A0A6P4XLC4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464751 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YCE6_A0A6P4YCE6_BRABE tr|A0A6P4YCE6|A0A6P4YCE6_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468261 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YF46_A0A6P4YF46_BRABE tr|A0A6P4YF46|A0A6P4YF46_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464759 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XLD6_A0A6P4XLD6_BRABE tr|A0A6P4XLD6|A0A6P4XLD6_BRABE Angiopoietin-related protein 3-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464763 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_C3ZN18_C3ZN18_BRAFL tr|C3ZN18|C3ZN18_BRAFL Angiopoietin-related protein 2-like OS=Branchiostoma floridae OX=7739 GN=LOC118407763 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P5A7L6_A0A6P5A7L6_BRABE tr|A0A6P5A7L6|A0A6P5A7L6_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109483649 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7LUJ3_A0A9J7LUJ3_BRAFL tr|A0A9J7LUJ3|A0A9J7LUJ3_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118424873 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LVR2_A0A9J7LVR2_BRAFL tr|A0A9J7LVR2|A0A9J7LVR2_BRAFL Angiopoietin-related protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118424876 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4ZGZ0_A0A6P4ZGZ0_BRABE tr|A0A6P4ZGZ0|A0A6P4ZGZ0_BRABE Fibrinogen-like protein A OS=Branchiostoma belcheri OX=7741 GN=LOC109478741 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7L8L7_A0A9J7L8L7_BRAFL tr|A0A9J7L8L7|A0A9J7L8L7_BRAFL Angiopoietin-related protein 3-like OS=Branchiostoma floridae OX=7739 GN=LOC118416624 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4ZUM2_A0A6P4ZUM2_BRABE tr|A0A6P4ZUM2|A0A6P4ZUM2_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109476732 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7L655_A0A9J7L655_BRAFL tr|A0A9J7L655|A0A9J7L655_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118416068 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4Y569_A0A6P4Y569_BRABE tr|A0A6P4Y569|A0A6P4Y569_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109464875 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7L3Q8_A0A9J7L3Q8_BRAFL tr|A0A9J7L3Q8|A0A9J7L3Q8_BRAFL Techylectin-5A-like OS=Branchiostoma floridae OX=7739 GN=LOC118414762 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MDK1_A0A9J7MDK1_BRAFL tr|A0A9J7MDK1|A0A9J7MDK1_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118431696 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4XWW1_A0A6P4XWW1_BRABE tr|A0A6P4XWW1|A0A6P4XWW1_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109467539 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7L7S9_A0A9J7L7S9_BRAFL tr|A0A9J7L7S9|A0A9J7L7S9_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118416523 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4YUQ5_A0A6P4YUQ5_BRABE tr|A0A6P4YUQ5|A0A6P4YUQ5_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470870 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7N0A1_A0A9J7N0A1_BRAFL tr|A0A9J7N0A1|A0A9J7N0A1_BRAFL Uncharacterized protein LOC118421761 OS=Branchiostoma floridae OX=7739 GN=LOC118421761 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZB8_A0A9J7MZB8_BRAFL tr|A0A9J7MZB8|A0A9J7MZB8_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118421299 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MY72_A0A9J7MY72_BRAFL tr|A0A9J7MY72|A0A9J7MY72_BRAFL Microfibril-associated glycoprotein 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118421300 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P5ABL4_A0A6P5ABL4_BRABE tr|A0A6P5ABL4|A0A6P5ABL4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484710 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZQY6_A0A6P4ZQY6_BRABE tr|A0A6P4ZQY6|A0A6P4ZQY6_BRABE Ryncolin-1-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2Q0_A0A6P5A2Q0_BRABE tr|A0A6P5A2Q0|A0A6P5A2Q0_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2Q4_A0A6P5A2Q4_BRABE tr|A0A6P5A2Q4|A0A6P5A2Q4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484709 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ABL0_A0A6P5ABL0_BRABE tr|A0A6P5ABL0|A0A6P5ABL0_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AKK9_A0A6P5AKK9_BRABE tr|A0A6P5AKK9|A0A6P5AKK9_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484707 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7LNR3_A0A9J7LNR3_BRAFL tr|A0A9J7LNR3|A0A9J7LNR3_BRAFL Ryncolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421760 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LL47_A0A9J7LL47_BRAFL tr|A0A9J7LL47|A0A9J7LL47_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421615 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P5AAK5_A0A6P5AAK5_BRABE tr|A0A6P5AAK5|A0A6P5AAK5_BRABE Uncharacterized protein LOC109484431 OS=Branchiostoma belcheri OX=7741 GN=LOC109484431 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7MF63_A0A9J7MF63_BRAFL tr|A0A9J7MF63|A0A9J7MF63_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118431928 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MC07_A0A9J7MC07_BRAFL tr|A0A9J7MC07|A0A9J7MC07_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118431100 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MAD2_A0A9J7MAD2_BRAFL tr|A0A9J7MAD2|A0A9J7MAD2_BRAFL Angiopoietin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118430281 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4Z535_A0A6P4Z535_BRABE tr|A0A6P4Z535|A0A6P4Z535_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470258 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7LL70_A0A9J7LL70_BRAFL tr|A0A9J7LL70|A0A9J7LL70_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421145 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MY04_A0A9J7MY04_BRAFL tr|A0A9J7MY04|A0A9J7MY04_BRAFL Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma floridae OX=7739 GN=LOC118421176 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P5AFX9_A0A6P5AFX9_BRABE tr|A0A6P5AFX9|A0A6P5AFX9_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482464 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AFY8_A0A6P5AFY8_BRABE tr|A0A6P5AFY8|A0A6P5AFY8_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482466 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZUF6_A0A6P4ZUF6_BRABE tr|A0A6P4ZUF6|A0A6P4ZUF6_BRABE Uncharacterized protein LOC109482266 OS=Branchiostoma belcheri OX=7741 GN=LOC109482266 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7MZ66_A0A9J7MZ66_BRAFL tr|A0A9J7MZ66|A0A9J7MZ66_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421175 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4ZV20_A0A6P4ZV20_BRABE tr|A0A6P4ZV20|A0A6P4ZV20_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482468 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7LJY3_A0A9J7LJY3_BRAFL tr|A0A9J7LJY3|A0A9J7LJY3_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421177 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZ41_A0A9J7MZ41_BRAFL tr|A0A9J7MZ41|A0A9J7MZ41_BRAFL Ficolin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421102 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LM23_A0A9J7LM23_BRAFL tr|A0A9J7LM23|A0A9J7LM23_BRAFL Fibrinogen C domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421181 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P5AFB3_A0A6P5AFB3_BRABE tr|A0A6P5AFB3|A0A6P5AFB3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482262 PE=4 SV=1
OG0000000	Branchiostoma_floridae_tr_A0A9J7LRW3_A0A9J7LRW3_BRAFL tr|A0A9J7LRW3|A0A9J7LRW3_BRAFL Ficolin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118423398 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4ZZG8_A0A6P4ZZG8_BRABE tr|A0A6P4ZZG8|A0A6P4ZZG8_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109478972 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZCN7_A0A6P4ZCN7_BRABE tr|A0A6P4ZCN7|A0A6P4ZCN7_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109481047 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XVC9_A0A6P4XVC9_BRABE tr|A0A6P4XVC9|A0A6P4XVC9_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462454 PE=4 SV=1
