Orthogroup	Chordata_Amphioxiformes_Branchiostoma_floridae	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000010	Branchiostoma_floridae_tr_A0A9J7LDU2_A0A9J7LDU2_BRAFL tr|A0A9J7LDU2|A0A9J7LDU2_BRAFL Roundabout homolog 1-like isoform X8 OS=Branchiostoma floridae OX=7739 GN=LOC118418184 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MU47_A0A9J7MU47_BRAFL tr|A0A9J7MU47|A0A9J7MU47_BRAFL Roundabout homolog 1-like isoform X9 OS=Branchiostoma floridae OX=7739 GN=LOC118418184 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LDR8_A0A9J7LDR8_BRAFL tr|A0A9J7LDR8|A0A9J7LDR8_BRAFL Roundabout homolog 1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118418184 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LBR2_A0A9J7LBR2_BRAFL tr|A0A9J7LBR2|A0A9J7LBR2_BRAFL Roundabout homolog 1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118418184 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LDT4_A0A9J7LDT4_BRAFL tr|A0A9J7LDT4|A0A9J7LDT4_BRAFL Roundabout homolog 1-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118418184 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LE75_A0A9J7LE75_BRAFL tr|A0A9J7LE75|A0A9J7LE75_BRAFL Roundabout homolog 2-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118418184 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MV02_A0A9J7MV02_BRAFL tr|A0A9J7MV02|A0A9J7MV02_BRAFL Roundabout homolog 1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118418184 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LE64_A0A9J7LE64_BRAFL tr|A0A9J7LE64|A0A9J7LE64_BRAFL Roundabout homolog 1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118418184 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LBV0_A0A9J7LBV0_BRAFL tr|A0A9J7LBV0|A0A9J7LBV0_BRAFL Roundabout homolog 1-like isoform X10 OS=Branchiostoma floridae OX=7739 GN=LOC118418184 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LE85_A0A9J7LE85_BRAFL tr|A0A9J7LE85|A0A9J7LE85_BRAFL Roundabout homolog 1-like isoform X7 OS=Branchiostoma floridae OX=7739 GN=LOC118418184 PE=4 SV=1	Nematostella_vectensis_NV2t021353001.1 NV2t021353001.1, Nematostella_vectensis_NV2t021353003.1 NV2t021353003.1
OG0000010	Branchiostoma_floridae_tr_A0A9J7MLJ9_A0A9J7MLJ9_BRAFL tr|A0A9J7MLJ9|A0A9J7MLJ9_BRAFL Down syndrome cell adhesion molecule-like protein 1 homolog isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118412724 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MLX0_A0A9J7MLX0_BRAFL tr|A0A9J7MLX0|A0A9J7MLX0_BRAFL Down syndrome cell adhesion molecule-like protein 1 homolog isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118412724 PE=4 SV=1	Nematostella_vectensis_NV2t022600001.1 NV2t022600001.1
OG0000010	Branchiostoma_floridae_tr_A0A9J7HGK5_A0A9J7HGK5_BRAFL tr|A0A9J7HGK5|A0A9J7HGK5_BRAFL Hemicentin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118404298 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7K7Q1_A0A9J7K7Q1_BRAFL tr|A0A9J7K7Q1|A0A9J7K7Q1_BRAFL Contactin-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118404896 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HJK1_A0A9J7HJK1_BRAFL tr|A0A9J7HJK1|A0A9J7HJK1_BRAFL Nephrin-like OS=Branchiostoma floridae OX=7739 GN=LOC118404301 PE=4 SV=1	Nematostella_vectensis_NV2t022783003.1 NV2t022783003.1, Nematostella_vectensis_NV2t022783004.1 NV2t022783004.1, Nematostella_vectensis_NV2t022783001.1 NV2t022783001.1, Nematostella_vectensis_NV2t022783005.1 NV2t022783005.1, Nematostella_vectensis_NV2t022783002.1 NV2t022783002.1, Nematostella_vectensis_NV2t022081001.1 NV2t022081001.1
OG0000010	Branchiostoma_floridae_tr_A0A9J7HMV3_A0A9J7HMV3_BRAFL tr|A0A9J7HMV3|A0A9J7HMV3_BRAFL Protein eyes shut homolog OS=Branchiostoma floridae OX=7739 GN=LOC118404893 PE=4 SV=1	Nematostella_vectensis_NV2t006047001.1 NV2t006047001.1
OG0000010	Branchiostoma_floridae_tr_A0A9J7NCL8_A0A9J7NCL8_BRAFL tr|A0A9J7NCL8|A0A9J7NCL8_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X16 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MBW1_A0A9J7MBW1_BRAFL tr|A0A9J7MBW1|A0A9J7MBW1_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X15 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NBW0_A0A9J7NBW0_BRAFL tr|A0A9J7NBW0|A0A9J7NBW0_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MDD6_A0A9J7MDD6_BRAFL tr|A0A9J7MDD6|A0A9J7MDD6_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NBW5_A0A9J7NBW5_BRAFL tr|A0A9J7NBW5|A0A9J7NBW5_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X19 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MBN8_A0A9J7MBN8_BRAFL tr|A0A9J7MBN8|A0A9J7MBN8_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NB90_A0A9J7NB90_BRAFL tr|A0A9J7NB90|A0A9J7NB90_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X7 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NCD8_A0A9J7NCD8_BRAFL tr|A0A9J7NCD8|A0A9J7NCD8_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MC94_A0A9J7MC94_BRAFL tr|A0A9J7MC94|A0A9J7MC94_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X24 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MBU8_A0A9J7MBU8_BRAFL tr|A0A9J7MBU8|A0A9J7MBU8_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N9I5_A0A9J7N9I5_BRAFL tr|A0A9J7N9I5|A0A9J7N9I5_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MBQ2_A0A9J7MBQ2_BRAFL tr|A0A9J7MBQ2|A0A9J7MBQ2_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X23 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MAZ7_A0A9J7MAZ7_BRAFL tr|A0A9J7MAZ7|A0A9J7MAZ7_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X8 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MBP2_A0A9J7MBP2_BRAFL tr|A0A9J7MBP2|A0A9J7MBP2_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X9 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MDE9_A0A9J7MDE9_BRAFL tr|A0A9J7MDE9|A0A9J7MDE9_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X14 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MB39_A0A9J7MB39_BRAFL tr|A0A9J7MB39|A0A9J7MB39_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X13 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MEY1_A0A9J7MEY1_BRAFL tr|A0A9J7MEY1|A0A9J7MEY1_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X11 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MBE6_A0A9J7MBE6_BRAFL tr|A0A9J7MBE6|A0A9J7MBE6_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X12 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MC80_A0A9J7MC80_BRAFL tr|A0A9J7MC80|A0A9J7MC80_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X10 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N9I9_A0A9J7N9I9_BRAFL tr|A0A9J7N9I9|A0A9J7N9I9_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X17 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MBQ0_A0A9J7MBQ0_BRAFL tr|A0A9J7MBQ0|A0A9J7MBQ0_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X18 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NCE2_A0A9J7NCE2_BRAFL tr|A0A9J7NCE2|A0A9J7NCE2_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X20 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NB95_A0A9J7NB95_BRAFL tr|A0A9J7NB95|A0A9J7NB95_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X21 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MB10_A0A9J7MB10_BRAFL tr|A0A9J7MB10|A0A9J7MB10_BRAFL Basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X22 OS=Branchiostoma floridae OX=7739 GN=LOC118431007 PE=4 SV=1	Nematostella_vectensis_NV2t014904001.1 NV2t014904001.1
OG0000010	Branchiostoma_floridae_tr_C3YTC3_C3YTC3_BRAFL tr|C3YTC3|C3YTC3_BRAFL Pikachurin-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118431892 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MFU4_A0A9J7MFU4_BRAFL tr|A0A9J7MFU4|A0A9J7MFU4_BRAFL Pikachurin-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118431892 PE=4 SV=1	Nematostella_vectensis_NV2t000707001.1 NV2t000707001.1
OG0000010	Branchiostoma_floridae_tr_A0A9J7NA58_A0A9J7NA58_BRAFL tr|A0A9J7NA58|A0A9J7NA58_BRAFL Agrin OS=Branchiostoma floridae OX=7739 GN=LOC118430198 PE=4 SV=1	Nematostella_vectensis_NV2t014043001.1 NV2t014043001.1, Nematostella_vectensis_NV2t014046006.1 NV2t014046006.1, Nematostella_vectensis_NV2t014046005.1 NV2t014046005.1, Nematostella_vectensis_NV2t014092001.1 NV2t014092001.1, Nematostella_vectensis_NV2t014093001.1 NV2t014093001.1
OG0000010	Branchiostoma_floridae_tr_A0A9J7HRH8_A0A9J7HRH8_BRAFL tr|A0A9J7HRH8|A0A9J7HRH8_BRAFL Follistatin-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118407744 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HQR2_A0A9J7HQR2_BRAFL tr|A0A9J7HQR2|A0A9J7HQR2_BRAFL Follistatin-A-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118407744 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HVH1_A0A9J7HVH1_BRAFL tr|A0A9J7HVH1|A0A9J7HVH1_BRAFL Follistatin-A-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118407744 PE=4 SV=1	Nematostella_vectensis_NV2t023832001.1 NV2t023832001.1
OG0000011	Branchiostoma_floridae_tr_A0A9J7HII8_A0A9J7HII8_BRAFL tr|A0A9J7HII8|A0A9J7HII8_BRAFL Transmembrane matrix receptor MUP-4-like OS=Branchiostoma floridae OX=7739 GN=LOC118404901 PE=4 SV=1	Nematostella_vectensis_NV2t012077002.1 NV2t012077002.1, Nematostella_vectensis_NV2t006768001.1 NV2t006768001.1
OG0000012	Branchiostoma_floridae_tr_A0A9J7LSZ6_A0A9J7LSZ6_BRAFL tr|A0A9J7LSZ6|A0A9J7LSZ6_BRAFL SCO-spondin-like OS=Branchiostoma floridae OX=7739 GN=LOC118424280 PE=4 SV=1	Nematostella_vectensis_NV2t016210001.1 NV2t016210001.1
OG0000012	Branchiostoma_floridae_tr_A0A9J7KFR7_A0A9J7KFR7_BRAFL tr|A0A9J7KFR7|A0A9J7KFR7_BRAFL Zonadhesin-like OS=Branchiostoma floridae OX=7739 GN=LOC118403435 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HGY8_A0A9J7HGY8_BRAFL tr|A0A9J7HGY8|A0A9J7HGY8_BRAFL Uncharacterized protein LOC118404302 OS=Branchiostoma floridae OX=7739 GN=LOC118404302 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HL74_A0A9J7HL74_BRAFL tr|A0A9J7HL74|A0A9J7HL74_BRAFL Uncharacterized protein LOC118404903 OS=Branchiostoma floridae OX=7739 GN=LOC118404903 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LBN4_A0A9J7LBN4_BRAFL tr|A0A9J7LBN4|A0A9J7LBN4_BRAFL IgGFc-binding protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118418132 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N9L2_A0A9J7N9L2_BRAFL tr|A0A9J7N9L2|A0A9J7N9L2_BRAFL Fibrillin-3-like OS=Branchiostoma floridae OX=7739 GN=LOC118429446 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7MS37_A0A9J7MS37_BRAFL tr|A0A9J7MS37|A0A9J7MS37_BRAFL Neurogenic locus Notch protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118417382 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MHR9_A0A9J7MHR9_BRAFL tr|A0A9J7MHR9|A0A9J7MHR9_BRAFL IgGFc-binding protein-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118432311 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MF91_A0A9J7MF91_BRAFL tr|A0A9J7MF91|A0A9J7MF91_BRAFL IgGFc-binding protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118432187 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KJD4_A0A9J7KJD4_BRAFL tr|A0A9J7KJD4|A0A9J7KJD4_BRAFL BMP-binding endothelial regulator protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118405947 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KKE4_A0A9J7KKE4_BRAFL tr|A0A9J7KKE4|A0A9J7KKE4_BRAFL Kielin/chordin-like protein OS=Branchiostoma floridae OX=7739 GN=LOC118407028 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HTZ3_A0A9J7HTZ3_BRAFL tr|A0A9J7HTZ3|A0A9J7HTZ3_BRAFL Kielin/chordin-like protein OS=Branchiostoma floridae OX=7739 GN=LOC118407080 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7KQI2_A0A9J7KQI2_BRAFL tr|A0A9J7KQI2|A0A9J7KQI2_BRAFL Kielin/chordin-like protein isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQE8_A0A9J7KQE8_BRAFL tr|A0A9J7KQE8|A0A9J7KQE8_BRAFL Kielin/chordin-like protein isoform X8 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQH3_A0A9J7KQH3_BRAFL tr|A0A9J7KQH3|A0A9J7KQH3_BRAFL Kielin/chordin-like protein isoform X7 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQI1_A0A9J7KQI1_BRAFL tr|A0A9J7KQI1|A0A9J7KQI1_BRAFL Kielin/chordin-like protein isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQI5_A0A9J7KQI5_BRAFL tr|A0A9J7KQI5|A0A9J7KQI5_BRAFL Kielin/chordin-like protein isoform X9 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQJ4_A0A9J7KQJ4_BRAFL tr|A0A9J7KQJ4|A0A9J7KQJ4_BRAFL Fibrillin-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KRQ9_A0A9J7KRQ9_BRAFL tr|A0A9J7KRQ9|A0A9J7KRQ9_BRAFL Kielin/chordin-like protein isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MI63_A0A9J7MI63_BRAFL tr|A0A9J7MI63|A0A9J7MI63_BRAFL Kielin/chordin-like protein isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MI85_A0A9J7MI85_BRAFL tr|A0A9J7MI85|A0A9J7MI85_BRAFL Kielin/chordin-like protein isoform X11 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQE9_A0A9J7KQE9_BRAFL tr|A0A9J7KQE9|A0A9J7KQE9_BRAFL Fibrillin-1-like isoform X10 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQK6_A0A9J7KQK6_BRAFL tr|A0A9J7KQK6|A0A9J7KQK6_BRAFL Fibrillin-1-like isoform X13 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MI69_A0A9J7MI69_BRAFL tr|A0A9J7MI69|A0A9J7MI69_BRAFL Fibrillin-1-like isoform X14 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQG1_A0A9J7KQG1_BRAFL tr|A0A9J7KQG1|A0A9J7KQG1_BRAFL Fibrillin-1-like isoform X12 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQN7_A0A9J7KQN7_BRAFL tr|A0A9J7KQN7|A0A9J7KQN7_BRAFL Fibrillin-1-like isoform X16 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KRD2_A0A9J7KRD2_BRAFL tr|A0A9J7KRD2|A0A9J7KRD2_BRAFL Fibrillin-1-like isoform X15 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KRE1_A0A9J7KRE1_BRAFL tr|A0A9J7KRE1|A0A9J7KRE1_BRAFL Fibrillin-1-like isoform X17 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MI36_A0A9J7MI36_BRAFL tr|A0A9J7MI36|A0A9J7MI36_BRAFL Kielin/chordin-like protein isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118410575 PE=4 SV=1	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1
OG0000012	Branchiostoma_floridae_tr_A0A9J7HWC3_A0A9J7HWC3_BRAFL tr|A0A9J7HWC3|A0A9J7HWC3_BRAFL IgGFc-binding protein-like OS=Branchiostoma floridae OX=7739 GN=LOC118409032 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KLZ2_A0A9J7KLZ2_BRAFL tr|A0A9J7KLZ2|A0A9J7KLZ2_BRAFL Uncharacterized protein LOC118409063 OS=Branchiostoma floridae OX=7739 GN=LOC118409063 PE=4 SV=1	Nematostella_vectensis_NV2t006919001.1 NV2t006919001.1
OG0000013	Branchiostoma_floridae_tr_A0A9J7L5Y9_A0A9J7L5Y9_BRAFL tr|A0A9J7L5Y9|A0A9J7L5Y9_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118415996 PE=3 SV=1	Nematostella_vectensis_NV2t002707001.1 NV2t002707001.1
OG0000013	Branchiostoma_floridae_tr_A0A9J7HKV8_A0A9J7HKV8_BRAFL tr|A0A9J7HKV8|A0A9J7HKV8_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HQ70_A0A9J7HQ70_BRAFL tr|A0A9J7HQ70|A0A9J7HQ70_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7KG26_A0A9J7KG26_BRAFL tr|A0A9J7KG26|A0A9J7KG26_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7K8T1_A0A9J7K8T1_BRAFL tr|A0A9J7K8T1|A0A9J7K8T1_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HN54_A0A9J7HN54_BRAFL tr|A0A9J7HN54|A0A9J7HN54_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HL09_A0A9J7HL09_BRAFL tr|A0A9J7HL09|A0A9J7HL09_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HNY0_A0A9J7HNY0_BRAFL tr|A0A9J7HNY0|A0A9J7HNY0_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7KJ26_A0A9J7KJ26_BRAFL tr|A0A9J7KJ26|A0A9J7KJ26_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HKQ7_A0A9J7HKQ7_BRAFL tr|A0A9J7HKQ7|A0A9J7HKQ7_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7HN59_A0A9J7HN59_BRAFL tr|A0A9J7HN59|A0A9J7HN59_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1, Branchiostoma_floridae_tr_C3YYJ7_C3YYJ7_BRAFL tr|C3YYJ7|C3YYJ7_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405738 PE=3 SV=1	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1
OG0000013	Branchiostoma_floridae_tr_C3YYJ8_C3YYJ8_BRAFL tr|C3YYJ8|C3YYJ8_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405857 PE=3 SV=1	Nematostella_vectensis_NV2t012225001.1 NV2t012225001.1
OG0000013	Branchiostoma_floridae_tr_A0A9J7HJL3_A0A9J7HJL3_BRAFL tr|A0A9J7HJL3|A0A9J7HJL3_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118405399 PE=3 SV=1	Nematostella_vectensis_NV2t012463001.1 NV2t012463001.1
OG0000013	Branchiostoma_floridae_tr_C3Z2P0_C3Z2P0_BRAFL tr|C3Z2P0|C3Z2P0_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118415326 PE=3 SV=1	Nematostella_vectensis_NV2t003611004.1 NV2t003611004.1, Nematostella_vectensis_NV2t003611002.1 NV2t003611002.1, Nematostella_vectensis_NV2t003611005.1 NV2t003611005.1, Nematostella_vectensis_NV2t003611001.1 NV2t003611001.1, Nematostella_vectensis_NV2t003611003.1 NV2t003611003.1
OG0000013	Branchiostoma_floridae_tr_C3ZCG7_C3ZCG7_BRAFL tr|C3ZCG7|C3ZCG7_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118427476 PE=3 SV=1	Nematostella_vectensis_NV2t022664005.1 NV2t022664005.1, Nematostella_vectensis_NV2t022664004.1 NV2t022664004.1, Nematostella_vectensis_NV2t022664001.1 NV2t022664001.1, Nematostella_vectensis_NV2t022664003.1 NV2t022664003.1, Nematostella_vectensis_NV2t022664006.1 NV2t022664006.1, Nematostella_vectensis_NV2t022664002.1 NV2t022664002.1
OG0000013	Branchiostoma_floridae_tr_O61700_O61700_BRAFL tr|O61700|O61700_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=Wnt7b PE=2 SV=1, Branchiostoma_floridae_tr_A0A9J7L7U8_A0A9J7L7U8_BRAFL tr|A0A9J7L7U8|A0A9J7L7U8_BRAFL Protein Wnt OS=Branchiostoma floridae OX=7739 GN=LOC118416551 PE=3 SV=1	Nematostella_vectensis_NV2t003609002.1 NV2t003609002.1, Nematostella_vectensis_NV2t003609001.1 NV2t003609001.1
