Orthogroup	Chordata_Vertebrata_Homo_sapiens	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000005	Homo_sapiens_sp_Q16819_MEP1A_HUMAN sp|Q16819|MEP1A_HUMAN Meprin A subunit alpha OS=Homo sapiens OX=9606 GN=MEP1A PE=1 SV=2	Morbakka_virulenta_scaffold318.g29.t1 scaffold318.g29.t1
OG0000006	Homo_sapiens_sp_P05160_F13B_HUMAN sp|P05160|F13B_HUMAN Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3	Morbakka_virulenta_scaffold93.g18.t1 scaffold93.g18.t1
OG0000010	Homo_sapiens_sp_Q8NDA2_HMCN2_HUMAN sp|Q8NDA2|HMCN2_HUMAN Hemicentin-2 OS=Homo sapiens OX=9606 GN=HMCN2 PE=2 SV=3	Morbakka_virulenta_scaffold44.g75.t1 scaffold44.g75.t1
OG0000010	Homo_sapiens_sp_Q5T1H1_EYS_HUMAN sp|Q5T1H1|EYS_HUMAN Protein eyes shut homolog OS=Homo sapiens OX=9606 GN=EYS PE=1 SV=5	Morbakka_virulenta_scaffold535.g12.t1 scaffold535.g12.t1
OG0000010	Homo_sapiens_sp_P98160_PGBM_HUMAN sp|P98160|PGBM_HUMAN Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4	Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1
OG0000010	Homo_sapiens_sp_Q63HQ2_EGFLA_HUMAN sp|Q63HQ2|EGFLA_HUMAN Pikachurin OS=Homo sapiens OX=9606 GN=EGFLAM PE=1 SV=2	Morbakka_virulenta_scaffold149.g12.t1 scaffold149.g12.t1, Morbakka_virulenta_scaffold149.g12.t2 scaffold149.g12.t2
OG0000010	Homo_sapiens_sp_O00468_AGRIN_HUMAN sp|O00468|AGRIN_HUMAN Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1
OG0000010	Homo_sapiens_sp_P19883_FST_HUMAN sp|P19883|FST_HUMAN Follistatin OS=Homo sapiens OX=9606 GN=FST PE=1 SV=2, Homo_sapiens_sp_O95633_FSTL3_HUMAN sp|O95633|FSTL3_HUMAN Follistatin-related protein 3 OS=Homo sapiens OX=9606 GN=FSTL3 PE=1 SV=1	Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1
OG0000012	Homo_sapiens_sp_A2VEC9_SSPO_HUMAN sp|A2VEC9|SSPO_HUMAN SCO-spondin OS=Homo sapiens OX=9606 GN=SSPOP PE=2 SV=2	Morbakka_virulenta_scaffold150.g44.t1 scaffold150.g44.t1
OG0000012	Homo_sapiens_sp_Q8N8U9_BMPER_HUMAN sp|Q8N8U9|BMPER_HUMAN BMP-binding endothelial regulator protein OS=Homo sapiens OX=9606 GN=BMPER PE=1 SV=3, Homo_sapiens_sp_Q96DN2_VWCE_HUMAN sp|Q96DN2|VWCE_HUMAN von Willebrand factor C and EGF domain-containing protein OS=Homo sapiens OX=9606 GN=VWCE PE=1 SV=2	Morbakka_virulenta_scaffold155.g40.t1 scaffold155.g40.t1, Morbakka_virulenta_scaffold155.g40.t2 scaffold155.g40.t2
OG0000013	Homo_sapiens_sp_Q9Y6F9_WNT6_HUMAN sp|Q9Y6F9|WNT6_HUMAN Protein Wnt-6 OS=Homo sapiens OX=9606 GN=WNT6 PE=1 SV=2	Morbakka_virulenta_scaffold120.g22.t1 scaffold120.g22.t1
OG0000013	Homo_sapiens_sp_P04628_WNT1_HUMAN sp|P04628|WNT1_HUMAN Proto-oncogene Wnt-1 OS=Homo sapiens OX=9606 GN=WNT1 PE=1 SV=1	Morbakka_virulenta_scaffold120.g23.t2 scaffold120.g23.t2, Morbakka_virulenta_scaffold1708.g1.t1 scaffold1708.g1.t1, Morbakka_virulenta_scaffold120.g23.t1 scaffold120.g23.t1
OG0000013	Homo_sapiens_sp_O96014_WNT11_HUMAN sp|O96014|WNT11_HUMAN Protein Wnt-11 OS=Homo sapiens OX=9606 GN=WNT11 PE=1 SV=2	Morbakka_virulenta_scaffold18.g46.t1 scaffold18.g46.t1, Morbakka_virulenta_scaffold18.g51.t1 scaffold18.g51.t1
OG0000013	Homo_sapiens_sp_P09544_WNT2_HUMAN sp|P09544|WNT2_HUMAN Protein Wnt-2 OS=Homo sapiens OX=9606 GN=WNT2 PE=2 SV=1, Homo_sapiens_sp_Q93097_WNT2B_HUMAN sp|Q93097|WNT2B_HUMAN Protein Wnt-2b OS=Homo sapiens OX=9606 GN=WNT2B PE=1 SV=2	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1
OG0000013	Homo_sapiens_sp_Q9H1J5_WNT8A_HUMAN sp|Q9H1J5|WNT8A_HUMAN Protein Wnt-8a OS=Homo sapiens OX=9606 GN=WNT8A PE=1 SV=2	Morbakka_virulenta_scaffold536.g7.t1 scaffold536.g7.t1
OG0000014	Homo_sapiens_sp_Q86TH1_ATL2_HUMAN sp|Q86TH1|ATL2_HUMAN ADAMTS-like protein 2 OS=Homo sapiens OX=9606 GN=ADAMTSL2 PE=1 SV=1, Homo_sapiens_sp_Q6UY14_ATL4_HUMAN sp|Q6UY14|ATL4_HUMAN ADAMTS-like protein 4 OS=Homo sapiens OX=9606 GN=ADAMTSL4 PE=1 SV=2, Homo_sapiens_sp_Q6ZMP0_THSD4_HUMAN sp|Q6ZMP0|THSD4_HUMAN Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=THSD4 PE=1 SV=2	Morbakka_virulenta_scaffold67.g21.t1 scaffold67.g21.t1
OG0000014	Homo_sapiens_sp_Q9UKP4_ATS7_HUMAN sp|Q9UKP4|ATS7_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Homo sapiens OX=9606 GN=ADAMTS7 PE=1 SV=2, Homo_sapiens_sp_P58397_ATS12_HUMAN sp|P58397|ATS12_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Homo sapiens OX=9606 GN=ADAMTS12 PE=1 SV=2	Morbakka_virulenta_scaffold2.g203.t4 scaffold2.g203.t4, Morbakka_virulenta_scaffold2.g203.t2 scaffold2.g203.t2, Morbakka_virulenta_scaffold2.g203.t3 scaffold2.g203.t3, Morbakka_virulenta_scaffold2.g203.t1 scaffold2.g203.t1
OG0000014	Homo_sapiens_sp_O95428_PPN_HUMAN sp|O95428|PPN_HUMAN Papilin OS=Homo sapiens OX=9606 GN=PAPLN PE=2 SV=4	Morbakka_virulenta_scaffold105.g40.t1 scaffold105.g40.t1
OG0000014	Homo_sapiens_sp_Q9P2N4_ATS9_HUMAN sp|Q9P2N4|ATS9_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Homo sapiens OX=9606 GN=ADAMTS9 PE=1 SV=4	Morbakka_virulenta_scaffold269.g24.t1 scaffold269.g24.t1
OG0000015	Homo_sapiens_sp_Q96PL2_TECTB_HUMAN sp|Q96PL2|TECTB_HUMAN Beta-tectorin OS=Homo sapiens OX=9606 GN=TECTB PE=2 SV=1	Morbakka_virulenta_scaffold147.g49.t1 scaffold147.g49.t1, Morbakka_virulenta_scaffold147.g50.t1 scaffold147.g50.t1, Morbakka_virulenta_scaffold147.g50.t2 scaffold147.g50.t2
OG0000017	Homo_sapiens_sp_Q9UK55_ZPI_HUMAN sp|Q9UK55|ZPI_HUMAN Protein Z-dependent protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA10 PE=1 SV=1, Homo_sapiens_sp_P01009_A1AT_HUMAN sp|P01009|A1AT_HUMAN Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3, Homo_sapiens_sp_Q86U17_SPA11_HUMAN sp|Q86U17|SPA11_HUMAN Serpin A11 OS=Homo sapiens OX=9606 GN=SERPINA11 PE=2 SV=2, Homo_sapiens_sp_Q86WD7_SPA9_HUMAN sp|Q86WD7|SPA9_HUMAN Serpin A9 OS=Homo sapiens OX=9606 GN=SERPINA9 PE=1 SV=3, Homo_sapiens_sp_P05543_THBG_HUMAN sp|P05543|THBG_HUMAN Thyroxine-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA7 PE=1 SV=2, Homo_sapiens_sp_P29622_KAIN_HUMAN sp|P29622|KAIN_HUMAN Kallistatin OS=Homo sapiens OX=9606 GN=SERPINA4 PE=1 SV=3, Homo_sapiens_sp_P05154_IPSP_HUMAN sp|P05154|IPSP_HUMAN Plasma serine protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA5 PE=1 SV=3, Homo_sapiens_sp_P01011_AACT_HUMAN sp|P01011|AACT_HUMAN Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2, Homo_sapiens_sp_P08185_CBG_HUMAN sp|P08185|CBG_HUMAN Corticosteroid-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA6 PE=1 SV=1, Homo_sapiens_sp_Q8IW75_SPA12_HUMAN sp|Q8IW75|SPA12_HUMAN Serpin A12 OS=Homo sapiens OX=9606 GN=SERPINA12 PE=1 SV=1, Homo_sapiens_sp_P05546_HEP2_HUMAN sp|P05546|HEP2_HUMAN Heparin cofactor 2 OS=Homo sapiens OX=9606 GN=SERPIND1 PE=1 SV=3, Homo_sapiens_sp_P05155_IC1_HUMAN sp|P05155|IC1_HUMAN Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2, Homo_sapiens_sp_P08697_A2AP_HUMAN sp|P08697|A2AP_HUMAN Alpha-2-antiplasmin OS=Homo sapiens OX=9606 GN=SERPINF2 PE=1 SV=3	Morbakka_virulenta_scaffold66.g59.t1 scaffold66.g59.t1, Morbakka_virulenta_scaffold259.g30.t1 scaffold259.g30.t1, Morbakka_virulenta_scaffold259.g31.t1 scaffold259.g31.t1, Morbakka_virulenta_scaffold237.g10.t1 scaffold237.g10.t1
OG0000018	Homo_sapiens_sp_Q96JB6_LOXL4_HUMAN sp|Q96JB6|LOXL4_HUMAN Lysyl oxidase homolog 4 OS=Homo sapiens OX=9606 GN=LOXL4 PE=1 SV=1, Homo_sapiens_sp_P58215_LOXL3_HUMAN sp|P58215|LOXL3_HUMAN Lysyl oxidase homolog 3 OS=Homo sapiens OX=9606 GN=LOXL3 PE=1 SV=1, Homo_sapiens_sp_Q9Y4K0_LOXL2_HUMAN sp|Q9Y4K0|LOXL2_HUMAN Lysyl oxidase homolog 2 OS=Homo sapiens OX=9606 GN=LOXL2 PE=1 SV=1	Morbakka_virulenta_scaffold203.g33.t1 scaffold203.g33.t1, Morbakka_virulenta_scaffold290.g29.t1 scaffold290.g29.t1, Morbakka_virulenta_scaffold290.g29.t2 scaffold290.g29.t2, Morbakka_virulenta_scaffold290.g29.t3 scaffold290.g29.t3
OG0000019	Homo_sapiens_sp_Q99988_GDF15_HUMAN sp|Q99988|GDF15_HUMAN Growth/differentiation factor 15 OS=Homo sapiens OX=9606 GN=GDF15 PE=1 SV=3	Morbakka_virulenta_scaffold47.g133.t1 scaffold47.g133.t1
OG0000019	Homo_sapiens_sp_Q6KF10_GDF6_HUMAN sp|Q6KF10|GDF6_HUMAN Growth/differentiation factor 6 OS=Homo sapiens OX=9606 GN=GDF6 PE=1 SV=1, Homo_sapiens_sp_P12645_BMP3_HUMAN sp|P12645|BMP3_HUMAN Bone morphogenetic protein 3 OS=Homo sapiens OX=9606 GN=BMP3 PE=1 SV=2, Homo_sapiens_sp_P55107_GDF10_HUMAN sp|P55107|GDF10_HUMAN Growth/differentiation factor 10 OS=Homo sapiens OX=9606 GN=GDF10 PE=2 SV=1	Morbakka_virulenta_scaffold36.g28.t1 scaffold36.g28.t1
OG0000020	Homo_sapiens_sp_P02458_CO2A1_HUMAN sp|P02458|CO2A1_HUMAN Collagen alpha-1_II_ chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3, Homo_sapiens_sp_P02452_CO1A1_HUMAN sp|P02452|CO1A1_HUMAN Collagen alpha-1_I_ chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=6, Homo_sapiens_sp_P08123_CO1A2_HUMAN sp|P08123|CO1A2_HUMAN Collagen alpha-2_I_ chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=7, Homo_sapiens_sp_P02461_CO3A1_HUMAN sp|P02461|CO3A1_HUMAN Collagen alpha-1_III_ chain OS=Homo sapiens OX=9606 GN=COL3A1 PE=1 SV=4, Homo_sapiens_sp_P05997_CO5A2_HUMAN sp|P05997|CO5A2_HUMAN Collagen alpha-2_V_ chain OS=Homo sapiens OX=9606 GN=COL5A2 PE=1 SV=3	Morbakka_virulenta_scaffold39.g96.t1 scaffold39.g96.t1, Morbakka_virulenta_scaffold131.g48.t3 scaffold131.g48.t3, Morbakka_virulenta_scaffold131.g48.t2 scaffold131.g48.t2, Morbakka_virulenta_scaffold131.g48.t1 scaffold131.g48.t1, Morbakka_virulenta_scaffold461.g6.t1 scaffold461.g6.t1, Morbakka_virulenta_scaffold461.g6.t2 scaffold461.g6.t2
OG0000021	Homo_sapiens_sp_Q14112_NID2_HUMAN sp|Q14112|NID2_HUMAN Nidogen-2 OS=Homo sapiens OX=9606 GN=NID2 PE=1 SV=3, Homo_sapiens_sp_P14543_NID1_HUMAN sp|P14543|NID1_HUMAN Nidogen-1 OS=Homo sapiens OX=9606 GN=NID1 PE=1 SV=3	Morbakka_virulenta_scaffold66.g10.t1 scaffold66.g10.t1, Morbakka_virulenta_scaffold66.g10.t2 scaffold66.g10.t2
OG0000021	Homo_sapiens_sp_P01133_EGF_HUMAN sp|P01133|EGF_HUMAN Pro-epidermal growth factor OS=Homo sapiens OX=9606 GN=EGF PE=1 SV=2	Morbakka_virulenta_scaffold377.g17.t1 scaffold377.g17.t1, Morbakka_virulenta_scaffold209.g39.t1 scaffold209.g39.t1
OG0000022	Homo_sapiens_sp_Q9UJ72_ANX10_HUMAN sp|Q9UJ72|ANX10_HUMAN Annexin A10 OS=Homo sapiens OX=9606 GN=ANXA10 PE=1 SV=3	Morbakka_virulenta_scaffold19.g106.t1 scaffold19.g106.t1
OG0000022	Homo_sapiens_sp_P20073_ANXA7_HUMAN sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3	Morbakka_virulenta_scaffold487.g6.t1 scaffold487.g6.t1
OG0000023	Homo_sapiens_sp_P78325_ADAM8_HUMAN sp|P78325|ADAM8_HUMAN Disintegrin and metalloproteinase domain-containing protein 8 OS=Homo sapiens OX=9606 GN=ADAM8 PE=1 SV=2, Homo_sapiens_sp_Q9H2U9_ADAM7_HUMAN sp|Q9H2U9|ADAM7_HUMAN Disintegrin and metalloproteinase domain-containing protein 7 OS=Homo sapiens OX=9606 GN=ADAM7 PE=1 SV=3, Homo_sapiens_sp_O15204_ADEC1_HUMAN sp|O15204|ADEC1_HUMAN ADAM DEC1 OS=Homo sapiens OX=9606 GN=ADAMDEC1 PE=1 SV=2, Homo_sapiens_sp_Q9UKJ8_ADA21_HUMAN sp|Q9UKJ8|ADA21_HUMAN Disintegrin and metalloproteinase domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ADAM21 PE=1 SV=2, Homo_sapiens_sp_Q9UKF2_ADA30_HUMAN sp|Q9UKF2|ADA30_HUMAN Disintegrin and metalloproteinase domain-containing protein 30 OS=Homo sapiens OX=9606 GN=ADAM30 PE=1 SV=2, Homo_sapiens_sp_Q13443_ADAM9_HUMAN sp|Q13443|ADAM9_HUMAN Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens OX=9606 GN=ADAM9 PE=1 SV=1, Homo_sapiens_sp_O43184_ADA12_HUMAN sp|O43184|ADA12_HUMAN Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens OX=9606 GN=ADAM12 PE=1 SV=3, Homo_sapiens_sp_Q13444_ADA15_HUMAN sp|Q13444|ADA15_HUMAN Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ADAM15 PE=1 SV=4, Homo_sapiens_sp_O75077_ADA23_HUMAN sp|O75077|ADA23_HUMAN Disintegrin and metalloproteinase domain-containing protein 23 OS=Homo sapiens OX=9606 GN=ADAM23 PE=1 SV=1, Homo_sapiens_sp_Q9P0K1_ADA22_HUMAN sp|Q9P0K1|ADA22_HUMAN Disintegrin and metalloproteinase domain-containing protein 22 OS=Homo sapiens OX=9606 GN=ADAM22 PE=1 SV=1	Morbakka_virulenta_scaffold206.g31.t1 scaffold206.g31.t1
OG0000024	Homo_sapiens_sp_Q9BQ16_TICN3_HUMAN sp|Q9BQ16|TICN3_HUMAN Testican-3 OS=Homo sapiens OX=9606 GN=SPOCK3 PE=1 SV=2, Homo_sapiens_sp_Q08629_TICN1_HUMAN sp|Q08629|TICN1_HUMAN Testican-1 OS=Homo sapiens OX=9606 GN=SPOCK1 PE=1 SV=1	Morbakka_virulenta_scaffold12.g79.t1 scaffold12.g79.t1
OG0000028	Homo_sapiens_sp_P02462_CO4A1_HUMAN sp|P02462|CO4A1_HUMAN Collagen alpha-1_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A1 PE=1 SV=4, Homo_sapiens_sp_P29400_CO4A5_HUMAN sp|P29400|CO4A5_HUMAN Collagen alpha-5_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A5 PE=1 SV=2, Homo_sapiens_sp_Q01955_CO4A3_HUMAN sp|Q01955|CO4A3_HUMAN Collagen alpha-3_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A3 PE=1 SV=3	Morbakka_virulenta_scaffold9.g62.t1 scaffold9.g62.t1
OG0000030	Homo_sapiens_sp_P78536_ADA17_HUMAN sp|P78536|ADA17_HUMAN Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ADAM17 PE=1 SV=1	Morbakka_virulenta_scaffold273.g11.t2 scaffold273.g11.t2, Morbakka_virulenta_scaffold273.g11.t1 scaffold273.g11.t1
OG0000030	Homo_sapiens_sp_O14672_ADA10_HUMAN sp|O14672|ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1	Morbakka_virulenta_scaffold233.g2.t1 scaffold233.g2.t1
OG0000034	Homo_sapiens_sp_Q96KG7_MEG10_HUMAN sp|Q96KG7|MEG10_HUMAN Multiple epidermal growth factor-like domains protein 10 OS=Homo sapiens OX=9606 GN=MEGF10 PE=1 SV=1	Morbakka_virulenta_scaffold592.g10.t1 scaffold592.g10.t1, Morbakka_virulenta_scaffold592.g10.t2 scaffold592.g10.t2
OG0000034	Homo_sapiens_sp_Q7Z7M0_MEGF8_HUMAN sp|Q7Z7M0|MEGF8_HUMAN Multiple epidermal growth factor-like domains protein 8 OS=Homo sapiens OX=9606 GN=MEGF8 PE=1 SV=2	Morbakka_virulenta_scaffold1.g337.t2 scaffold1.g337.t2, Morbakka_virulenta_scaffold1.g337.t3 scaffold1.g337.t3, Morbakka_virulenta_scaffold1.g337.t1 scaffold1.g337.t1
OG0000036	Homo_sapiens_sp_Q99944_EGFL8_HUMAN sp|Q99944|EGFL8_HUMAN Epidermal growth factor-like protein 8 OS=Homo sapiens OX=9606 GN=EGFL8 PE=1 SV=1, Homo_sapiens_sp_Q9UHF1_EGFL7_HUMAN sp|Q9UHF1|EGFL7_HUMAN Epidermal growth factor-like protein 7 OS=Homo sapiens OX=9606 GN=EGFL7 PE=1 SV=3, Homo_sapiens_sp_Q8IUX8_EGFL6_HUMAN sp|Q8IUX8|EGFL6_HUMAN Epidermal growth factor-like protein 6 OS=Homo sapiens OX=9606 GN=EGFL6 PE=1 SV=1, Homo_sapiens_sp_Q6UXI9_NPNT_HUMAN sp|Q6UXI9|NPNT_HUMAN Nephronectin OS=Homo sapiens OX=9606 GN=NPNT PE=2 SV=3	Morbakka_virulenta_scaffold2.g64.t1 scaffold2.g64.t1
OG0000037	Homo_sapiens_sp_Q15063_POSTN_HUMAN sp|Q15063|POSTN_HUMAN Periostin OS=Homo sapiens OX=9606 GN=POSTN PE=1 SV=2, Homo_sapiens_sp_Q15582_BGH3_HUMAN sp|Q15582|BGH3_HUMAN Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens OX=9606 GN=TGFBI PE=1 SV=1	Morbakka_virulenta_scaffold93.g25.t1 scaffold93.g25.t1, Morbakka_virulenta_scaffold93.g22.t1 scaffold93.g22.t1
OG0000038	Homo_sapiens_sp_O14788_TNF11_HUMAN sp|O14788|TNF11_HUMAN Tumor necrosis factor ligand superfamily member 11 OS=Homo sapiens OX=9606 GN=TNFSF11 PE=1 SV=1	Morbakka_virulenta_scaffold302.g10.t1 scaffold302.g10.t1
OG0000040	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2, Homo_sapiens_sp_Q16270_IBP7_HUMAN sp|Q16270|IBP7_HUMAN Insulin-like growth factor-binding protein 7 OS=Homo sapiens OX=9606 GN=IGFBP7 PE=1 SV=1	Morbakka_virulenta_scaffold37.g21.t1 scaffold37.g21.t1, Morbakka_virulenta_scaffold37.g22.t1 scaffold37.g22.t1
OG0000041	Homo_sapiens_sp_O00534_VMA5A_HUMAN sp|O00534|VMA5A_HUMAN von Willebrand factor A domain-containing protein 5A OS=Homo sapiens OX=9606 GN=VWA5A PE=1 SV=2	Morbakka_virulenta_scaffold235.g13.t1 scaffold235.g13.t1, Morbakka_virulenta_scaffold235.g9.t1 scaffold235.g9.t1, Morbakka_virulenta_scaffold71.g73.t1 scaffold71.g73.t1
OG0000041	Homo_sapiens_sp_Q5TIE3_VW5B1_HUMAN sp|Q5TIE3|VW5B1_HUMAN von Willebrand factor A domain-containing protein 5B1 OS=Homo sapiens OX=9606 GN=VWA5B1 PE=1 SV=2	Morbakka_virulenta_scaffold92.g7.t1 scaffold92.g7.t1
