Orthogroup	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Coturnix_japonica
OG0000001	Homo_sapiens_sp_Q13751_LAMB3_HUMAN sp|Q13751|LAMB3_HUMAN Laminin subunit beta-3 OS=Homo sapiens OX=9606 GN=LAMB3 PE=1 SV=1	Coturnix_japonica_XP_015740591.1 laminin subunit beta-3 [Coturnix japonica]
OG0000001	Homo_sapiens_sp_A4D0S4_LAMB4_HUMAN sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens OX=9606 GN=LAMB4 PE=2 SV=1	Coturnix_japonica_XP_015706098.1 PREDICTED_ laminin subunit beta-4 [Coturnix japonica]
OG0000001	Homo_sapiens_sp_P55268_LAMB2_HUMAN sp|P55268|LAMB2_HUMAN Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2	Coturnix_japonica_XP_015730671.1 laminin subunit beta-2 [Coturnix japonica]
OG0000001	Homo_sapiens_sp_P07942_LAMB1_HUMAN sp|P07942|LAMB1_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2	Coturnix_japonica_XP_015706984.1 laminin subunit beta-1 [Coturnix japonica]
OG0000001	Homo_sapiens_sp_P02751_FINC_HUMAN sp|P02751|FINC_HUMAN Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5	Coturnix_japonica_XP_015723463.1 PREDICTED_ fibronectin isoform X1 [Coturnix japonica]
OG0000001	Homo_sapiens_sp_Q96CW9_NTNG2_HUMAN sp|Q96CW9|NTNG2_HUMAN Netrin-G2 OS=Homo sapiens OX=9606 GN=NTNG2 PE=1 SV=2	Coturnix_japonica_XP_015734637.1 PREDICTED_ netrin-G2 isoform X3 [Coturnix japonica]
OG0000001	Homo_sapiens_sp_Q9Y2I2_NTNG1_HUMAN sp|Q9Y2I2|NTNG1_HUMAN Netrin-G1 OS=Homo sapiens OX=9606 GN=NTNG1 PE=1 SV=3	Coturnix_japonica_XP_015724985.1 netrin-G1 isoform X4 [Coturnix japonica]
OG0000001	Homo_sapiens_sp_Q9Y6N6_LAMC3_HUMAN sp|Q9Y6N6|LAMC3_HUMAN Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3	Coturnix_japonica_XP_015734644.1 laminin subunit gamma-3 isoform X2 [Coturnix japonica]
OG0000001	Homo_sapiens_sp_P11047_LAMC1_HUMAN sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	Coturnix_japonica_XP_015725067.1 laminin subunit gamma-1 [Coturnix japonica]
OG0000002	Homo_sapiens_sp_B1AKI9_ISM1_HUMAN sp|B1AKI9|ISM1_HUMAN Isthmin-1 OS=Homo sapiens OX=9606 GN=ISM1 PE=2 SV=2	Coturnix_japonica_XP_015712627.1 isthmin-1 [Coturnix japonica]
OG0000002	Homo_sapiens_sp_Q6H9L7_ISM2_HUMAN sp|Q6H9L7|ISM2_HUMAN Isthmin-2 OS=Homo sapiens OX=9606 GN=ISM2 PE=1 SV=1	Coturnix_japonica_XP_015720716.1 isthmin-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015720716.1 isthmin-2 isoform X2 [Coturnix japonica]
OG0000002	Homo_sapiens_sp_P35442_TSP2_HUMAN sp|P35442|TSP2_HUMAN Thrombospondin-2 OS=Homo sapiens OX=9606 GN=THBS2 PE=1 SV=2	Coturnix_japonica_XP_015713502.1 thrombospondin-2 [Coturnix japonica]
OG0000002	Homo_sapiens_sp_P07996_TSP1_HUMAN sp|P07996|TSP1_HUMAN Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2	Coturnix_japonica_XP_015720231.1 thrombospondin-1 [Coturnix japonica]
OG0000002	Homo_sapiens_sp_P49747_COMP_HUMAN sp|P49747|COMP_HUMAN Cartilage oligomeric matrix protein OS=Homo sapiens OX=9606 GN=COMP PE=1 SV=2	Coturnix_japonica_XP_015741579.1 cartilage oligomeric matrix protein [Coturnix japonica]
OG0000002	Homo_sapiens_sp_P35443_TSP4_HUMAN sp|P35443|TSP4_HUMAN Thrombospondin-4 OS=Homo sapiens OX=9606 GN=THBS4 PE=1 SV=2	Coturnix_japonica_XP_015704105.1 thrombospondin-4 isoform X1 [Coturnix japonica]
OG0000002	Homo_sapiens_sp_Q13214_SEM3B_HUMAN sp|Q13214|SEM3B_HUMAN Semaphorin-3B OS=Homo sapiens OX=9606 GN=SEMA3B PE=1 SV=1	Coturnix_japonica_XP_015730130.1 semaphorin-3B isoform X2 [Coturnix japonica]
OG0000002	Homo_sapiens_sp_Q14563_SEM3A_HUMAN sp|Q14563|SEM3A_HUMAN Semaphorin-3A OS=Homo sapiens OX=9606 GN=SEMA3A PE=1 SV=1	Coturnix_japonica_XP_015731584.1 semaphorin-3A isoform X1 [Coturnix japonica]
OG0000002	Homo_sapiens_sp_O95025_SEM3D_HUMAN sp|O95025|SEM3D_HUMAN Semaphorin-3D OS=Homo sapiens OX=9606 GN=SEMA3D PE=2 SV=2	Coturnix_japonica_XP_015731398.1 LOW QUALITY PROTEIN_ semaphorin-3D [Coturnix japonica]
OG0000002	Homo_sapiens_sp_Q99985_SEM3C_HUMAN sp|Q99985|SEM3C_HUMAN Semaphorin-3C OS=Homo sapiens OX=9606 GN=SEMA3C PE=2 SV=2	Coturnix_japonica_XP_015733533.1 semaphorin-3C [Coturnix japonica]
OG0000002	Homo_sapiens_sp_Q9NS98_SEM3G_HUMAN sp|Q9NS98|SEM3G_HUMAN Semaphorin-3G OS=Homo sapiens OX=9606 GN=SEMA3G PE=1 SV=1	Coturnix_japonica_XP_015730125.1 semaphorin-3G [Coturnix japonica]
OG0000002	Homo_sapiens_sp_Q9NPR2_SEM4B_HUMAN sp|Q9NPR2|SEM4B_HUMAN Semaphorin-4B OS=Homo sapiens OX=9606 GN=SEMA4B PE=1 SV=4	Coturnix_japonica_XP_015728958.1 semaphorin-4B [Coturnix japonica]
OG0000002	Homo_sapiens_sp_Q92854_SEM4D_HUMAN sp|Q92854|SEM4D_HUMAN Semaphorin-4D OS=Homo sapiens OX=9606 GN=SEMA4D PE=1 SV=1	Coturnix_japonica_XP_015704836.1 semaphorin-4D isoform X10 [Coturnix japonica]
OG0000002	Homo_sapiens_sp_Q9C0C4_SEM4C_HUMAN sp|Q9C0C4|SEM4C_HUMAN Semaphorin-4C OS=Homo sapiens OX=9606 GN=SEMA4C PE=1 SV=2	Coturnix_japonica_XP_015738337.1 PREDICTED_ semaphorin-4C [Coturnix japonica]
OG0000002	Homo_sapiens_sp_Q9H3T3_SEM6B_HUMAN sp|Q9H3T3|SEM6B_HUMAN Semaphorin-6B OS=Homo sapiens OX=9606 GN=SEMA6B PE=1 SV=4	Coturnix_japonica_XP_015742241.1 semaphorin-6B isoform X3 [Coturnix japonica]
OG0000002	Homo_sapiens_sp_Q96RW7_HMCN1_HUMAN sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2	Coturnix_japonica_XP_015725373.1 PREDICTED_ hemicentin-1 isoform X9 [Coturnix japonica]
OG0000003	Homo_sapiens_sp_O14594_NCAN_HUMAN sp|O14594|NCAN_HUMAN Neurocan core protein OS=Homo sapiens OX=9606 GN=NCAN PE=1 SV=3	Coturnix_japonica_XP_015742251.2 neurocan core protein isoform X1 [Coturnix japonica]
OG0000003	Homo_sapiens_sp_P16112_PGCA_HUMAN sp|P16112|PGCA_HUMAN Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN PE=1 SV=3	Coturnix_japonica_XP_015728567.1 PREDICTED_ aggrecan core protein isoform X1 [Coturnix japonica]
OG0000003	Homo_sapiens_sp_P13611_CSPG2_HUMAN sp|P13611|CSPG2_HUMAN Versican core protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=3	Coturnix_japonica_XP_015705249.1 PREDICTED_ versican core protein isoform X1 [Coturnix japonica]
OG0000003	Homo_sapiens_sp_Q9BWP8_COL11_HUMAN sp|Q9BWP8|COL11_HUMAN Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1	Coturnix_japonica_XP_015714842.1 PREDICTED_ collectin-11 isoform X1 [Coturnix japonica]
OG0000003	Homo_sapiens_sp_Q9Y6Z7_COL10_HUMAN sp|Q9Y6Z7|COL10_HUMAN Collectin-10 OS=Homo sapiens OX=9606 GN=COLEC10 PE=1 SV=2	Coturnix_japonica_XP_015711709.1 collectin-10 isoform X1 [Coturnix japonica]
OG0000003	Homo_sapiens_sp_P11226_MBL2_HUMAN sp|P11226|MBL2_HUMAN Mannose-binding protein C OS=Homo sapiens OX=9606 GN=MBL2 PE=1 SV=2	Coturnix_japonica_XP_015721592.1 mannose-binding protein [Coturnix japonica]
OG0000003	Homo_sapiens_sp_P05452_TETN_HUMAN sp|P05452|TETN_HUMAN Tetranectin OS=Homo sapiens OX=9606 GN=CLEC3B PE=1 SV=3	Coturnix_japonica_XP_015709635.1 tetranectin [Coturnix japonica]
OG0000003	Homo_sapiens_sp_Q5KU26_COL12_HUMAN sp|Q5KU26|COL12_HUMAN Collectin-12 OS=Homo sapiens OX=9606 GN=COLEC12 PE=1 SV=3	Coturnix_japonica_XP_015710863.1 collectin-12 [Coturnix japonica]
OG0000003	Homo_sapiens_sp_Q06141_REG3A_HUMAN sp|Q06141|REG3A_HUMAN Regenerating islet-derived protein 3-alpha OS=Homo sapiens OX=9606 GN=REG3A PE=1 SV=1, Homo_sapiens_sp_Q6UW15_REG3G_HUMAN sp|Q6UW15|REG3G_HUMAN Regenerating islet-derived protein 3-gamma OS=Homo sapiens OX=9606 GN=REG3G PE=1 SV=1, Homo_sapiens_sp_P48304_REG1B_HUMAN sp|P48304|REG1B_HUMAN Lithostathine-1-beta OS=Homo sapiens OX=9606 GN=REG1B PE=1 SV=1, Homo_sapiens_sp_Q9BXN2_CLC7A_HUMAN sp|Q9BXN2|CLC7A_HUMAN C-type lectin domain family 7 member A OS=Homo sapiens OX=9606 GN=CLEC7A PE=1 SV=1	Coturnix_japonica_XP_015703924.1 CD209 antigen-like protein E isoform X2 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_Q6PCB0_VWA1_HUMAN sp|Q6PCB0|VWA1_HUMAN von Willebrand factor A domain-containing protein 1 OS=Homo sapiens OX=9606 GN=VWA1 PE=1 SV=1	Coturnix_japonica_XP_015737645.1 von Willebrand factor A domain-containing protein 1 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_Q02388_CO7A1_HUMAN sp|Q02388|CO7A1_HUMAN Collagen alpha-1_VII_ chain OS=Homo sapiens OX=9606 GN=COL7A1 PE=1 SV=2	Coturnix_japonica_XP_015730555.1 collagen alpha-1_VII_ chain isoform X1 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_Q9P218_COKA1_HUMAN sp|Q9P218|COKA1_HUMAN Collagen alpha-1_XX_ chain OS=Homo sapiens OX=9606 GN=COL20A1 PE=1 SV=4	Coturnix_japonica_XP_015737180.1 collagen alpha-1_XX_ chain [Coturnix japonica]
OG0000004	Homo_sapiens_sp_Q99715_COCA1_HUMAN sp|Q99715|COCA1_HUMAN Collagen alpha-1_XII_ chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2	Coturnix_japonica_XP_015714536.1 collagen alpha-1_XII_ chain isoform X1 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_Q05707_COEA1_HUMAN sp|Q05707|COEA1_HUMAN Collagen alpha-1_XIV_ chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3	Coturnix_japonica_XP_015711669.1 PREDICTED_ collagen alpha-1_XIV_ chain isoform X1 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_Q5GFL6_VWA2_HUMAN sp|Q5GFL6|VWA2_HUMAN von Willebrand factor A domain-containing protein 2 OS=Homo sapiens OX=9606 GN=VWA2 PE=1 SV=1	Coturnix_japonica_XP_015722855.1 von Willebrand factor A domain-containing protein 2 isoform X2 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_A8TX70_CO6A5_HUMAN sp|A8TX70|CO6A5_HUMAN Collagen alpha-5_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A5 PE=1 SV=1, Homo_sapiens_sp_A6NMZ7_CO6A6_HUMAN sp|A6NMZ7|CO6A6_HUMAN Collagen alpha-6_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A6 PE=1 SV=2	Coturnix_japonica_XP_015709514.1 collagen alpha-6_VI_ chain [Coturnix japonica]
OG0000004	Homo_sapiens_sp_P12111_CO6A3_HUMAN sp|P12111|CO6A3_HUMAN Collagen alpha-3_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5	Coturnix_japonica_XP_015723563.1 collagen alpha-3_VI_ chain isoform X1 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_Q6UXI7_VITRN_HUMAN sp|Q6UXI7|VITRN_HUMAN Vitrin OS=Homo sapiens OX=9606 GN=VIT PE=2 SV=1	Coturnix_japonica_XP_015713068.1 vitrin isoform X2 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_O43405_COCH_HUMAN sp|O43405|COCH_HUMAN Cochlin OS=Homo sapiens OX=9606 GN=COCH PE=1 SV=1	Coturnix_japonica_XP_015720468.1 cochlin [Coturnix japonica]
OG0000004	Homo_sapiens_sp_O00339_MATN2_HUMAN sp|O00339|MATN2_HUMAN Matrilin-2 OS=Homo sapiens OX=9606 GN=MATN2 PE=1 SV=4	Coturnix_japonica_XP_015711574.1 matrilin-2 isoform X1 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_O95460_MATN4_HUMAN sp|O95460|MATN4_HUMAN Matrilin-4 OS=Homo sapiens OX=9606 GN=MATN4 PE=1 SV=3	Coturnix_japonica_XP_015737175.1 PREDICTED_ matrilin-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737176.1 PREDICTED_ matrilin-4 isoform X2 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_Q96P44_COLA1_HUMAN sp|Q96P44|COLA1_HUMAN Collagen alpha-1_XXI_ chain OS=Homo sapiens OX=9606 GN=COL21A1 PE=2 SV=1	Coturnix_japonica_XP_015714716.1 collagen alpha-1_XXI_ chain [Coturnix japonica]
OG0000004	Homo_sapiens_sp_Q8NFW1_COMA1_HUMAN sp|Q8NFW1|COMA1_HUMAN Collagen alpha-1_XXII_ chain OS=Homo sapiens OX=9606 GN=COL22A1 PE=2 SV=2	Coturnix_japonica_XP_015711896.1 collagen alpha-1_XXII_ chain isoform X1 [Coturnix japonica]
OG0000004	Homo_sapiens_sp_Q2UY09_COSA1_HUMAN sp|Q2UY09|COSA1_HUMAN Collagen alpha-1_XXVIII_ chain OS=Homo sapiens OX=9606 GN=COL28A1 PE=2 SV=2	Coturnix_japonica_XP_015709146.1 collagen alpha-1_XXVIII_ chain [Coturnix japonica]
OG0000005	Homo_sapiens_sp_Q16819_MEP1A_HUMAN sp|Q16819|MEP1A_HUMAN Meprin A subunit alpha OS=Homo sapiens OX=9606 GN=MEP1A PE=1 SV=2	Coturnix_japonica_XP_015715407.1 meprin A subunit alpha [Coturnix japonica]
OG0000006	Homo_sapiens_sp_P05160_F13B_HUMAN sp|P05160|F13B_HUMAN Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3	Coturnix_japonica_XP_015724966.1 PREDICTED_ coagulation factor XIII B chain-like isoform X3 [Coturnix japonica]
OG0000006	Homo_sapiens_sp_O60687_SRPX2_HUMAN sp|O60687|SRPX2_HUMAN Sushi repeat-containing protein SRPX2 OS=Homo sapiens OX=9606 GN=SRPX2 PE=1 SV=1	Coturnix_japonica_XP_015715861.1 sushi repeat-containing protein SRPX2 [Coturnix japonica]
OG0000006	Homo_sapiens_sp_P78539_SRPX_HUMAN sp|P78539|SRPX_HUMAN Sushi repeat-containing protein SRPX OS=Homo sapiens OX=9606 GN=SRPX PE=1 SV=1	Coturnix_japonica_XP_015740022.1 sushi repeat-containing protein SRPX isoform X1 [Coturnix japonica]
OG0000006	Homo_sapiens_sp_Q4LDE5_SVEP1_HUMAN sp|Q4LDE5|SVEP1_HUMAN Sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SVEP1 PE=1 SV=3	Coturnix_japonica_XP_015705358.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X2 [Coturnix japonica]
OG0000007	Homo_sapiens_sp_Q14393_GAS6_HUMAN sp|Q14393|GAS6_HUMAN Growth arrest-specific protein 6 OS=Homo sapiens OX=9606 GN=GAS6 PE=1 SV=3	Coturnix_japonica_XP_015705002.1 growth arrest-specific protein 6 [Coturnix japonica]
OG0000007	Homo_sapiens_sp_Q8TER0_SNED1_HUMAN sp|Q8TER0|SNED1_HUMAN Sushi_ nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNED1 PE=1 SV=2	Coturnix_japonica_XP_015726540.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 [Coturnix japonica]
OG0000009	Homo_sapiens_sp_O43897_TLL1_HUMAN sp|O43897|TLL1_HUMAN Tolloid-like protein 1 OS=Homo sapiens OX=9606 GN=TLL1 PE=1 SV=1	Coturnix_japonica_XP_015716446.1 tolloid-like protein 1 isoform X1 [Coturnix japonica]
OG0000009	Homo_sapiens_sp_P98066_TSG6_HUMAN sp|P98066|TSG6_HUMAN Tumor necrosis factor-inducible gene 6 protein OS=Homo sapiens OX=9606 GN=TNFAIP6 PE=1 SV=2	Coturnix_japonica_XP_015724525.1 tumor necrosis factor-inducible gene 6 protein [Coturnix japonica]
OG0000009	Homo_sapiens_sp_Q9UKZ9_PCOC2_HUMAN sp|Q9UKZ9|PCOC2_HUMAN Procollagen C-endopeptidase enhancer 2 OS=Homo sapiens OX=9606 GN=PCOLCE2 PE=1 SV=1	Coturnix_japonica_XP_015726956.1 procollagen C-endopeptidase enhancer 2 isoform X2 [Coturnix japonica]
OG0000010	Homo_sapiens_sp_Q6WRI0_IGS10_HUMAN sp|Q6WRI0|IGS10_HUMAN Immunoglobulin superfamily member 10 OS=Homo sapiens OX=9606 GN=IGSF10 PE=1 SV=1	Coturnix_japonica_XP_015727630.1 immunoglobulin superfamily member 10 isoform X1 [Coturnix japonica]
OG0000010	Homo_sapiens_sp_Q9NR99_MXRA5_HUMAN sp|Q9NR99|MXRA5_HUMAN Matrix-remodeling-associated protein 5 OS=Homo sapiens OX=9606 GN=MXRA5 PE=1 SV=3	Coturnix_japonica_XP_015704262.1 LOW QUALITY PROTEIN_ matrix-remodeling-associated protein 5 [Coturnix japonica]
OG0000010	Homo_sapiens_sp_P98160_PGBM_HUMAN sp|P98160|PGBM_HUMAN Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4	Coturnix_japonica_XP_015737706.1 PREDICTED_ LOW QUALITY PROTEIN_ basement membrane-specific heparan sulfate proteoglycan core protein [Coturnix japonica]
OG0000010	Homo_sapiens_sp_Q63HQ2_EGFLA_HUMAN sp|Q63HQ2|EGFLA_HUMAN Pikachurin OS=Homo sapiens OX=9606 GN=EGFLAM PE=1 SV=2	Coturnix_japonica_XP_015703969.1 pikachurin [Coturnix japonica]
OG0000010	Homo_sapiens_sp_O00468_AGRIN_HUMAN sp|O00468|AGRIN_HUMAN Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6	Coturnix_japonica_XP_015738166.1 agrin isoform X4 [Coturnix japonica]
OG0000010	Homo_sapiens_sp_P19883_FST_HUMAN sp|P19883|FST_HUMAN Follistatin OS=Homo sapiens OX=9606 GN=FST PE=1 SV=2	Coturnix_japonica_XP_015704191.1 follistatin isoform X1 [Coturnix japonica]
OG0000010	Homo_sapiens_sp_O95633_FSTL3_HUMAN sp|O95633|FSTL3_HUMAN Follistatin-related protein 3 OS=Homo sapiens OX=9606 GN=FSTL3 PE=1 SV=1	Coturnix_japonica_XP_015741848.1 follistatin-related protein 3 [Coturnix japonica]
OG0000011	Homo_sapiens_sp_P26927_HGFL_HUMAN sp|P26927|HGFL_HUMAN Hepatocyte growth factor-like protein OS=Homo sapiens OX=9606 GN=MST1 PE=1 SV=2, Homo_sapiens_sp_Q2TV78_MST1L_HUMAN sp|Q2TV78|MST1L_HUMAN Putative macrophage stimulating 1-like protein OS=Homo sapiens OX=9606 GN=MST1L PE=2 SV=2	Coturnix_japonica_XP_015730064.1 hepatocyte growth factor-like protein isoform X1 [Coturnix japonica]
OG0000011	Homo_sapiens_sp_P14210_HGF_HUMAN sp|P14210|HGF_HUMAN Hepatocyte growth factor OS=Homo sapiens OX=9606 GN=HGF PE=1 SV=2	Coturnix_japonica_XP_015734132.1 hepatocyte growth factor isoform X4 [Coturnix japonica]
OG0000011	Homo_sapiens_sp_P00734_THRB_HUMAN sp|P00734|THRB_HUMAN Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2	Coturnix_japonica_XP_015719970.1 prothrombin [Coturnix japonica]
OG0000011	Homo_sapiens_sp_Q14520_HABP2_HUMAN sp|Q14520|HABP2_HUMAN Hyaluronan-binding protein 2 OS=Homo sapiens OX=9606 GN=HABP2 PE=1 SV=1	Coturnix_japonica_XP_015722804.1 hyaluronan-binding protein 2 [Coturnix japonica]
OG0000011	Homo_sapiens_sp_P00749_UROK_HUMAN sp|P00749|UROK_HUMAN Urokinase-type plasminogen activator OS=Homo sapiens OX=9606 GN=PLAU PE=1 SV=3	Coturnix_japonica_XP_015722037.1 urokinase-type plasminogen activator [Coturnix japonica]
OG0000011	Homo_sapiens_sp_P00750_TPA_HUMAN sp|P00750|TPA_HUMAN Tissue-type plasminogen activator OS=Homo sapiens OX=9606 GN=PLAT PE=1 SV=1	Coturnix_japonica_XP_015738580.1 tissue-type plasminogen activator [Coturnix japonica]
