Orthogroup	Chordata_Vertebrata_Homo_sapiens	Porifera_Demospongiae_Amphimedon_queenslandica
OG0000007	Homo_sapiens_sp_Q14393_GAS6_HUMAN sp|Q14393|GAS6_HUMAN Growth arrest-specific protein 6 OS=Homo sapiens OX=9606 GN=GAS6 PE=1 SV=3	Amphimedon_queenslandica_tr_A0A1X7UBV4_A0A1X7UBV4_AMPQE tr_A0A1X7UBV4_A0A1X7UBV4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T313_A0A1X7T313_AMPQE tr_A0A1X7T313_A0A1X7T313_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000007	Homo_sapiens_sp_Q8TER0_SNED1_HUMAN sp|Q8TER0|SNED1_HUMAN Sushi_ nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNED1 PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7VHY5_A0A1X7VHY5_AMPQE tr_A0A1X7VHY5_A0A1X7VHY5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SWG6_A0A1X7SWG6_AMPQE tr_A0A1X7SWG6_A0A1X7SWG6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SUC7_A0A1X7SUC7_AMPQE tr_A0A1X7SUC7_A0A1X7SUC7_AMPQE NIDO domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEE9_A0A1X7UEE9_AMPQE tr_A0A1X7UEE9_A0A1X7UEE9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100638351 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SED7_A0A1X7SED7_AMPQE tr_A0A1X7SED7_A0A1X7SED7_AMPQE NIDO domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000010	Homo_sapiens_sp_Q5T1H1_EYS_HUMAN sp|Q5T1H1|EYS_HUMAN Protein eyes shut homolog OS=Homo sapiens OX=9606 GN=EYS PE=1 SV=5, Homo_sapiens_sp_P98160_PGBM_HUMAN sp|P98160|PGBM_HUMAN Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4, Homo_sapiens_sp_Q63HQ2_EGFLA_HUMAN sp|Q63HQ2|EGFLA_HUMAN Pikachurin OS=Homo sapiens OX=9606 GN=EGFLAM PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7UPV7_A0A1X7UPV7_AMPQE tr_A0A1X7UPV7_A0A1X7UPV7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SQ55_A0A1X7SQ55_AMPQE tr_A0A1X7SQ55_A0A1X7SQ55_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000013	Homo_sapiens_sp_P56706_WNT7B_HUMAN sp|P56706|WNT7B_HUMAN Protein Wnt-7b OS=Homo sapiens OX=9606 GN=WNT7B PE=1 SV=2, Homo_sapiens_sp_P09544_WNT2_HUMAN sp|P09544|WNT2_HUMAN Protein Wnt-2 OS=Homo sapiens OX=9606 GN=WNT2 PE=2 SV=1, Homo_sapiens_sp_Q93097_WNT2B_HUMAN sp|Q93097|WNT2B_HUMAN Protein Wnt-2b OS=Homo sapiens OX=9606 GN=WNT2B PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7UFS4_A0A1X7UFS4_AMPQE tr_A0A1X7UFS4_A0A1X7UFS4_AMPQE Protein Wnt OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A9YRX3_A9YRX3_AMPQE tr_A9YRX3_A9YRX3_AMPQE Protein Wnt OS=Amphimedon queenslandica OX=400682 GN=100641115 PE=3 SV=1
OG0000013	Homo_sapiens_sp_Q9H1J5_WNT8A_HUMAN sp|Q9H1J5|WNT8A_HUMAN Protein Wnt-8a OS=Homo sapiens OX=9606 GN=WNT8A PE=1 SV=2, Homo_sapiens_sp_O00744_WN10B_HUMAN sp|O00744|WN10B_HUMAN Protein Wnt-10b OS=Homo sapiens OX=9606 GN=WNT10B PE=1 SV=2, Homo_sapiens_sp_Q9GZT5_WN10A_HUMAN sp|Q9GZT5|WN10A_HUMAN Protein Wnt-10a OS=Homo sapiens OX=9606 GN=WNT10A PE=1 SV=1, Homo_sapiens_sp_O14904_WNT9A_HUMAN sp|O14904|WNT9A_HUMAN Protein Wnt-9a OS=Homo sapiens OX=9606 GN=WNT9A PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7VSA1_A0A1X7VSA1_AMPQE tr_A0A1X7VSA1_A0A1X7VSA1_AMPQE Protein Wnt OS=Amphimedon queenslandica OX=400682 PE=3 SV=1
OG0000014	Homo_sapiens_sp_Q86TH1_ATL2_HUMAN sp|Q86TH1|ATL2_HUMAN ADAMTS-like protein 2 OS=Homo sapiens OX=9606 GN=ADAMTSL2 PE=1 SV=1, Homo_sapiens_sp_Q6UY14_ATL4_HUMAN sp|Q6UY14|ATL4_HUMAN ADAMTS-like protein 4 OS=Homo sapiens OX=9606 GN=ADAMTSL4 PE=1 SV=2, Homo_sapiens_sp_Q6ZMP0_THSD4_HUMAN sp|Q6ZMP0|THSD4_HUMAN Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=THSD4 PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7U0W6_A0A1X7U0W6_AMPQE tr_A0A1X7U0W6_A0A1X7U0W6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105314085 PE=4 SV=1
OG0000014	Homo_sapiens_sp_Q8N6G6_ATL1_HUMAN sp|Q8N6G6|ATL1_HUMAN ADAMTS-like protein 1 OS=Homo sapiens OX=9606 GN=ADAMTSL1 PE=1 SV=4, Homo_sapiens_sp_P82987_ATL3_HUMAN sp|P82987|ATL3_HUMAN ADAMTS-like protein 3 OS=Homo sapiens OX=9606 GN=ADAMTSL3 PE=1 SV=4	Amphimedon_queenslandica_tr_A0A1X7U0E9_A0A1X7U0E9_AMPQE tr_A0A1X7U0E9_A0A1X7U0E9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U7C0_A0A1X7U7C0_AMPQE tr_A0A1X7U7C0_A0A1X7U7C0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000014	Homo_sapiens_sp_Q8TE57_ATS16_HUMAN sp|Q8TE57|ATS16_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 16 OS=Homo sapiens OX=9606 GN=ADAMTS16 PE=2 SV=3, Homo_sapiens_sp_Q8TE60_ATS18_HUMAN sp|Q8TE60|ATS18_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 18 OS=Homo sapiens OX=9606 GN=ADAMTS18 PE=1 SV=3, Homo_sapiens_sp_O95450_ATS2_HUMAN sp|O95450|ATS2_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Homo sapiens OX=9606 GN=ADAMTS2 PE=2 SV=2, Homo_sapiens_sp_Q8WXS8_ATS14_HUMAN sp|Q8WXS8|ATS14_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 14 OS=Homo sapiens OX=9606 GN=ADAMTS14 PE=2 SV=2, Homo_sapiens_sp_Q9UKP4_ATS7_HUMAN sp|Q9UKP4|ATS7_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Homo sapiens OX=9606 GN=ADAMTS7 PE=1 SV=2, Homo_sapiens_sp_P58397_ATS12_HUMAN sp|P58397|ATS12_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Homo sapiens OX=9606 GN=ADAMTS12 PE=1 SV=2, Homo_sapiens_sp_Q8TE56_ATS17_HUMAN sp|Q8TE56|ATS17_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 17 OS=Homo sapiens OX=9606 GN=ADAMTS17 PE=2 SV=2, Homo_sapiens_sp_Q8TE59_ATS19_HUMAN sp|Q8TE59|ATS19_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Homo sapiens OX=9606 GN=ADAMTS19 PE=1 SV=2, Homo_sapiens_sp_O95428_PPN_HUMAN sp|O95428|PPN_HUMAN Papilin OS=Homo sapiens OX=9606 GN=PAPLN PE=2 SV=4, Homo_sapiens_sp_Q9P2N4_ATS9_HUMAN sp|Q9P2N4|ATS9_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Homo sapiens OX=9606 GN=ADAMTS9 PE=1 SV=4, Homo_sapiens_sp_Q9UNA0_ATS5_HUMAN sp|Q9UNA0|ATS5_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Homo sapiens OX=9606 GN=ADAMTS5 PE=1 SV=2, Homo_sapiens_sp_O75173_ATS4_HUMAN sp|O75173|ATS4_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Homo sapiens OX=9606 GN=ADAMTS4 PE=1 SV=3, Homo_sapiens_sp_Q8TE58_ATS15_HUMAN sp|Q8TE58|ATS15_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 15 OS=Homo sapiens OX=9606 GN=ADAMTS15 PE=2 SV=1, Homo_sapiens_sp_Q9UHI8_ATS1_HUMAN sp|Q9UHI8|ATS1_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Homo sapiens OX=9606 GN=ADAMTS1 PE=1 SV=4, Homo_sapiens_sp_Q9UP79_ATS8_HUMAN sp|Q9UP79|ATS8_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Homo sapiens OX=9606 GN=ADAMTS8 PE=2 SV=2	Amphimedon_queenslandica_tr_A0A1X7U5R5_A0A1X7U5R5_AMPQE tr_A0A1X7U5R5_A0A1X7U5R5_AMPQE Peptidase M12B domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100633222 PE=4 SV=1
OG0000018	Homo_sapiens_sp_Q96JB6_LOXL4_HUMAN sp|Q96JB6|LOXL4_HUMAN Lysyl oxidase homolog 4 OS=Homo sapiens OX=9606 GN=LOXL4 PE=1 SV=1, Homo_sapiens_sp_P58215_LOXL3_HUMAN sp|P58215|LOXL3_HUMAN Lysyl oxidase homolog 3 OS=Homo sapiens OX=9606 GN=LOXL3 PE=1 SV=1, Homo_sapiens_sp_Q9Y4K0_LOXL2_HUMAN sp|Q9Y4K0|LOXL2_HUMAN Lysyl oxidase homolog 2 OS=Homo sapiens OX=9606 GN=LOXL2 PE=1 SV=1	Amphimedon_queenslandica_tr_A0A1X7URD2_A0A1X7URD2_AMPQE tr_A0A1X7URD2_A0A1X7URD2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100636203 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UQY5_A0A1X7UQY5_AMPQE tr_A0A1X7UQY5_A0A1X7UQY5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000018	Homo_sapiens_sp_Q9UGM3_DMBT1_HUMAN sp|Q9UGM3|DMBT1_HUMAN Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2, Homo_sapiens_sp_P56730_NETR_HUMAN sp|P56730|NETR_HUMAN Neurotrypsin OS=Homo sapiens OX=9606 GN=PRSS12 PE=2 SV=2	Amphimedon_queenslandica_tr_A0A1X7URM7_A0A1X7URM7_AMPQE tr_A0A1X7URM7_A0A1X7URM7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UTD5_A0A1X7UTD5_AMPQE tr_A0A1X7UTD5_A0A1X7UTD5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T885_A0A1X7T885_AMPQE tr_A0A1X7T885_A0A1X7T885_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UA33_A0A1X7UA33_AMPQE tr_A0A1X7UA33_A0A1X7UA33_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U282_A0A1X7U282_AMPQE tr_A0A1X7U282_A0A1X7U282_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109585070 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VPG7_A0A1X7VPG7_AMPQE tr_A0A1X7VPG7_A0A1X7VPG7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UF66_A0A1X7UF66_AMPQE tr_A0A1X7UF66_A0A1X7UF66_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VPQ3_A0A1X7VPQ3_AMPQE tr_A0A1X7VPQ3_A0A1X7VPQ3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VN53_A0A1X7VN53_AMPQE tr_A0A1X7VN53_A0A1X7VN53_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VQS8_A0A1X7VQS8_AMPQE tr_A0A1X7VQS8_A0A1X7VQS8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T6A2_A0A1X7T6A2_AMPQE tr_A0A1X7T6A2_A0A1X7T6A2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULL6_A0A1X7ULL6_AMPQE tr_A0A1X7ULL6_A0A1X7ULL6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T7Q6_A0A1X7T7Q6_AMPQE tr_A0A1X7T7Q6_A0A1X7T7Q6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V253_A0A1X7V253_AMPQE tr_A0A1X7V253_A0A1X7V253_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U110_A0A1X7U110_AMPQE tr_A0A1X7U110_A0A1X7U110_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U1B7_A0A1X7U1B7_AMPQE tr_A0A1X7U1B7_A0A1X7U1B7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VGH3_A0A1X7VGH3_AMPQE tr_A0A1X7VGH3_A0A1X7VGH3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100639096 PE=4 SV=1
OG0000020	Homo_sapiens_sp_P13942_COBA2_HUMAN sp|P13942|COBA2_HUMAN Collagen alpha-2_XI_ chain OS=Homo sapiens OX=9606 GN=COL11A2 PE=1 SV=5, Homo_sapiens_sp_P20908_CO5A1_HUMAN sp|P20908|CO5A1_HUMAN Collagen alpha-1_V_ chain OS=Homo sapiens OX=9606 GN=COL5A1 PE=1 SV=3, Homo_sapiens_sp_P12107_COBA1_HUMAN sp|P12107|COBA1_HUMAN Collagen alpha-1_XI_ chain OS=Homo sapiens OX=9606 GN=COL11A1 PE=1 SV=4, Homo_sapiens_sp_P25940_CO5A3_HUMAN sp|P25940|CO5A3_HUMAN Collagen alpha-3_V_ chain OS=Homo sapiens OX=9606 GN=COL5A3 PE=1 SV=3	Amphimedon_queenslandica_tr_A0A1X7UHR0_A0A1X7UHR0_AMPQE tr_A0A1X7UHR0_A0A1X7UHR0_AMPQE Fibrillar collagen NC1 domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100638905 PE=4 SV=1
OG0000020	Homo_sapiens_sp_Q17RW2_COOA1_HUMAN sp|Q17RW2|COOA1_HUMAN Collagen alpha-1_XXIV_ chain OS=Homo sapiens OX=9606 GN=COL24A1 PE=1 SV=2, Homo_sapiens_sp_Q8IZC6_CORA1_HUMAN sp|Q8IZC6|CORA1_HUMAN Collagen alpha-1_XXVII_ chain OS=Homo sapiens OX=9606 GN=COL27A1 PE=1 SV=1	Amphimedon_queenslandica_tr_A0A1X7UIM6_A0A1X7UIM6_AMPQE tr_A0A1X7UIM6_A0A1X7UIM6_AMPQE Fibrillar collagen NC1 domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEW8_A0A1X7UEW8_AMPQE tr_A0A1X7UEW8_A0A1X7UEW8_AMPQE Fibrillar collagen NC1 domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100642101 PE=4 SV=1
OG0000021	Homo_sapiens_sp_P01133_EGF_HUMAN sp|P01133|EGF_HUMAN Pro-epidermal growth factor OS=Homo sapiens OX=9606 GN=EGF PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7V472_A0A1X7V472_AMPQE tr_A0A1X7V472_A0A1X7V472_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TGT9_A0A1X7TGT9_AMPQE tr_A0A1X7TGT9_A0A1X7TGT9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SJY3_A0A1X7SJY3_AMPQE tr_A0A1X7SJY3_A0A1X7SJY3_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SJQ5_A0A1X7SJQ5_AMPQE tr_A0A1X7SJQ5_A0A1X7SJQ5_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TB95_A0A1X7TB95_AMPQE tr_A0A1X7TB95_A0A1X7TB95_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SU79_A0A1X7SU79_AMPQE tr_A0A1X7SU79_A0A1X7SU79_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VS84_A0A1X7VS84_AMPQE tr_A0A1X7VS84_A0A1X7VS84_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SVY2_A0A1X7SVY2_AMPQE tr_A0A1X7SVY2_A0A1X7SVY2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000022	Homo_sapiens_sp_P20073_ANXA7_HUMAN sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3	Amphimedon_queenslandica_tr_A0A1X7VQ74_A0A1X7VQ74_AMPQE tr_A0A1X7VQ74_A0A1X7VQ74_AMPQE Annexin OS=Amphimedon queenslandica OX=400682 GN=100638289 PE=3 SV=1
OG0000024	Homo_sapiens_sp_Q96NZ8_WFKN1_HUMAN sp|Q96NZ8|WFKN1_HUMAN WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 OS=Homo sapiens OX=9606 GN=WFIKKN1 PE=1 SV=1, Homo_sapiens_sp_Q9BQ16_TICN3_HUMAN sp|Q9BQ16|TICN3_HUMAN Testican-3 OS=Homo sapiens OX=9606 GN=SPOCK3 PE=1 SV=2, Homo_sapiens_sp_Q08629_TICN1_HUMAN sp|Q08629|TICN1_HUMAN Testican-1 OS=Homo sapiens OX=9606 GN=SPOCK1 PE=1 SV=1	Amphimedon_queenslandica_tr_A0A1X7VFM2_A0A1X7VFM2_AMPQE tr_A0A1X7VFM2_A0A1X7VFM2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100635554 PE=4 SV=1
OG0000030	Homo_sapiens_sp_P78536_ADA17_HUMAN sp|P78536|ADA17_HUMAN Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ADAM17 PE=1 SV=1	Amphimedon_queenslandica_tr_A0A1X7VBP5_A0A1X7VBP5_AMPQE tr_A0A1X7VBP5_A0A1X7VBP5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105311941 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SR42_A0A1X7SR42_AMPQE tr_A0A1X7SR42_A0A1X7SR42_AMPQE Peptidase M12B domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V044_A0A1X7V044_AMPQE tr_A0A1X7V044_A0A1X7V044_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000030	Homo_sapiens_sp_O14672_ADA10_HUMAN sp|O14672|ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1	Amphimedon_queenslandica_tr_A0A1X7U7R3_A0A1X7U7R3_AMPQE tr_A0A1X7U7R3_A0A1X7U7R3_AMPQE Disintegrin domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U550_A0A1X7U550_AMPQE tr_A0A1X7U550_A0A1X7U550_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100632085 PE=4 SV=1
OG0000038	Homo_sapiens_sp_Q9Y275_TN13B_HUMAN sp|Q9Y275|TN13B_HUMAN Tumor necrosis factor ligand superfamily member 13B OS=Homo sapiens OX=9606 GN=TNFSF13B PE=1 SV=1, Homo_sapiens_sp_O75888_TNF13_HUMAN sp|O75888|TNF13_HUMAN Tumor necrosis factor ligand superfamily member 13 OS=Homo sapiens OX=9606 GN=TNFSF13 PE=1 SV=1	Amphimedon_queenslandica_tr_A0A1X7VQI5_A0A1X7VQI5_AMPQE tr_A0A1X7VQI5_A0A1X7VQI5_AMPQE TNF_2 domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109585650 PE=3 SV=1
OG0000040	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2, Homo_sapiens_sp_Q16270_IBP7_HUMAN sp|Q16270|IBP7_HUMAN Insulin-like growth factor-binding protein 7 OS=Homo sapiens OX=9606 GN=IGFBP7 PE=1 SV=1	Amphimedon_queenslandica_tr_A0A1X7TVU0_A0A1X7TVU0_AMPQE tr_A0A1X7TVU0_A0A1X7TVU0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000041	Homo_sapiens_sp_O00534_VMA5A_HUMAN sp|O00534|VMA5A_HUMAN von Willebrand factor A domain-containing protein 5A OS=Homo sapiens OX=9606 GN=VWA5A PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7VQ95_A0A1X7VQ95_AMPQE tr_A0A1X7VQ95_A0A1X7VQ95_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100636438 PE=4 SV=1
OG0000041	Homo_sapiens_sp_Q5TIE3_VW5B1_HUMAN sp|Q5TIE3|VW5B1_HUMAN von Willebrand factor A domain-containing protein 5B1 OS=Homo sapiens OX=9606 GN=VWA5B1 PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7VG51_A0A1X7VG51_AMPQE tr_A0A1X7VG51_A0A1X7VG51_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000044	Homo_sapiens_sp_P21980_TGM2_HUMAN sp|P21980|TGM2_HUMAN Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2, Homo_sapiens_sp_Q08188_TGM3_HUMAN sp|Q08188|TGM3_HUMAN Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens OX=9606 GN=TGM3 PE=1 SV=4, Homo_sapiens_sp_O95932_TGM3L_HUMAN sp|O95932|TGM3L_HUMAN Protein-glutamine gamma-glutamyltransferase 6 OS=Homo sapiens OX=9606 GN=TGM6 PE=1 SV=3, Homo_sapiens_sp_Q96PF1_TGM7_HUMAN sp|Q96PF1|TGM7_HUMAN Protein-glutamine gamma-glutamyltransferase Z OS=Homo sapiens OX=9606 GN=TGM7 PE=1 SV=1, Homo_sapiens_sp_O43548_TGM5_HUMAN sp|O43548|TGM5_HUMAN Protein-glutamine gamma-glutamyltransferase 5 OS=Homo sapiens OX=9606 GN=TGM5 PE=1 SV=4, Homo_sapiens_sp_P49221_TGM4_HUMAN sp|P49221|TGM4_HUMAN Protein-glutamine gamma-glutamyltransferase 4 OS=Homo sapiens OX=9606 GN=TGM4 PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7UJE9_A0A1X7UJE9_AMPQE tr_A0A1X7UJE9_A0A1X7UJE9_AMPQE TGc domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TBY3_A0A1X7TBY3_AMPQE tr_A0A1X7TBY3_A0A1X7TBY3_AMPQE TGc domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UK01_A0A1X7UK01_AMPQE tr_A0A1X7UK01_A0A1X7UK01_AMPQE TGc domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7VEP3_A0A1X7VEP3_AMPQE tr_A0A1X7VEP3_A0A1X7VEP3_AMPQE TGc domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105316957 PE=4 SV=1
