Orthogroup	Chordata_Vertebrata_Homo_sapiens	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000004	Homo_sapiens_sp_Q6UXI7_VITRN_HUMAN sp|Q6UXI7|VITRN_HUMAN Vitrin OS=Homo sapiens OX=9606 GN=VIT PE=2 SV=1, Homo_sapiens_sp_O43405_COCH_HUMAN sp|O43405|COCH_HUMAN Cochlin OS=Homo sapiens OX=9606 GN=COCH PE=1 SV=1	Nematostella_vectensis_NV2t009760001.1 NV2t009760001.1, Nematostella_vectensis_NV2t008618001.1 NV2t008618001.1, Nematostella_vectensis_NV2t000845001.1 NV2t000845001.1, Nematostella_vectensis_NV2t000842001.1 NV2t000842001.1, Nematostella_vectensis_NV2t000843001.1 NV2t000843001.1, Nematostella_vectensis_NV2t000844001.1 NV2t000844001.1, Nematostella_vectensis_NV2t000836001.1 NV2t000836001.1, Nematostella_vectensis_NV2t000841001.1 NV2t000841001.1, Nematostella_vectensis_NV2t014432001.1 NV2t014432001.1, Nematostella_vectensis_NV2t014626001.1 NV2t014626001.1, Nematostella_vectensis_NV2t017029001.1 NV2t017029001.1, Nematostella_vectensis_NV2t016336001.1 NV2t016336001.1, Nematostella_vectensis_NV2t016338001.1 NV2t016338001.1, Nematostella_vectensis_NV2t016338002.1 NV2t016338002.1, Nematostella_vectensis_NV2t016340001.1 NV2t016340001.1, Nematostella_vectensis_NV2t016343002.1 NV2t016343002.1, Nematostella_vectensis_NV2t008633001.1 NV2t008633001.1, Nematostella_vectensis_NV2t008635001.1 NV2t008635001.1, Nematostella_vectensis_NV2t021576001.1 NV2t021576001.1, Nematostella_vectensis_NV2t021577001.1 NV2t021577001.1, Nematostella_vectensis_NV2t021577002.1 NV2t021577002.1, Nematostella_vectensis_NV2t016479001.1 NV2t016479001.1
OG0000004	Homo_sapiens_sp_Q2UY09_COSA1_HUMAN sp|Q2UY09|COSA1_HUMAN Collagen alpha-1_XXVIII_ chain OS=Homo sapiens OX=9606 GN=COL28A1 PE=2 SV=2	Nematostella_vectensis_NV2t000975001.1 NV2t000975001.1
OG0000006	Homo_sapiens_sp_P05160_F13B_HUMAN sp|P05160|F13B_HUMAN Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3	Nematostella_vectensis_NV2t024979002.1 NV2t024979002.1, Nematostella_vectensis_NV2t024979003.1 NV2t024979003.1, Nematostella_vectensis_NV2t024979001.1 NV2t024979001.1, Nematostella_vectensis_NV2t025124001.1 NV2t025124001.1, Nematostella_vectensis_NV2t020926001.1 NV2t020926001.1
OG0000007	Homo_sapiens_sp_Q8TER0_SNED1_HUMAN sp|Q8TER0|SNED1_HUMAN Sushi_ nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNED1 PE=1 SV=2	Nematostella_vectensis_NV2t007493001.1 NV2t007493001.1
OG0000010	Homo_sapiens_sp_Q8NDA2_HMCN2_HUMAN sp|Q8NDA2|HMCN2_HUMAN Hemicentin-2 OS=Homo sapiens OX=9606 GN=HMCN2 PE=2 SV=3	Nematostella_vectensis_NV2t024790001.1 NV2t024790001.1
OG0000010	Homo_sapiens_sp_Q6WRI0_IGS10_HUMAN sp|Q6WRI0|IGS10_HUMAN Immunoglobulin superfamily member 10 OS=Homo sapiens OX=9606 GN=IGSF10 PE=1 SV=1, Homo_sapiens_sp_Q9NR99_MXRA5_HUMAN sp|Q9NR99|MXRA5_HUMAN Matrix-remodeling-associated protein 5 OS=Homo sapiens OX=9606 GN=MXRA5 PE=1 SV=3	Nematostella_vectensis_NV2t023125001.1 NV2t023125001.1
OG0000010	Homo_sapiens_sp_Q5T1H1_EYS_HUMAN sp|Q5T1H1|EYS_HUMAN Protein eyes shut homolog OS=Homo sapiens OX=9606 GN=EYS PE=1 SV=5	Nematostella_vectensis_NV2t006047001.1 NV2t006047001.1
OG0000010	Homo_sapiens_sp_P98160_PGBM_HUMAN sp|P98160|PGBM_HUMAN Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4	Nematostella_vectensis_NV2t014904001.1 NV2t014904001.1
OG0000010	Homo_sapiens_sp_Q63HQ2_EGFLA_HUMAN sp|Q63HQ2|EGFLA_HUMAN Pikachurin OS=Homo sapiens OX=9606 GN=EGFLAM PE=1 SV=2	Nematostella_vectensis_NV2t000707001.1 NV2t000707001.1
OG0000010	Homo_sapiens_sp_O00468_AGRIN_HUMAN sp|O00468|AGRIN_HUMAN Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6	Nematostella_vectensis_NV2t014043001.1 NV2t014043001.1, Nematostella_vectensis_NV2t014046006.1 NV2t014046006.1, Nematostella_vectensis_NV2t014046005.1 NV2t014046005.1, Nematostella_vectensis_NV2t014092001.1 NV2t014092001.1, Nematostella_vectensis_NV2t014093001.1 NV2t014093001.1
OG0000010	Homo_sapiens_sp_P19883_FST_HUMAN sp|P19883|FST_HUMAN Follistatin OS=Homo sapiens OX=9606 GN=FST PE=1 SV=2, Homo_sapiens_sp_O95633_FSTL3_HUMAN sp|O95633|FSTL3_HUMAN Follistatin-related protein 3 OS=Homo sapiens OX=9606 GN=FSTL3 PE=1 SV=1	Nematostella_vectensis_NV2t023832001.1 NV2t023832001.1
OG0000012	Homo_sapiens_sp_Q8N8U9_BMPER_HUMAN sp|Q8N8U9|BMPER_HUMAN BMP-binding endothelial regulator protein OS=Homo sapiens OX=9606 GN=BMPER PE=1 SV=3, Homo_sapiens_sp_Q96DN2_VWCE_HUMAN sp|Q96DN2|VWCE_HUMAN von Willebrand factor C and EGF domain-containing protein OS=Homo sapiens OX=9606 GN=VWCE PE=1 SV=2	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1
OG0000013	Homo_sapiens_sp_Q9Y6F9_WNT6_HUMAN sp|Q9Y6F9|WNT6_HUMAN Protein Wnt-6 OS=Homo sapiens OX=9606 GN=WNT6 PE=1 SV=2	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1
OG0000013	Homo_sapiens_sp_P04628_WNT1_HUMAN sp|P04628|WNT1_HUMAN Proto-oncogene Wnt-1 OS=Homo sapiens OX=9606 GN=WNT1 PE=1 SV=1	Nematostella_vectensis_NV2t012225001.1 NV2t012225001.1
OG0000013	Homo_sapiens_sp_Q9H1J7_WNT5B_HUMAN sp|Q9H1J7|WNT5B_HUMAN Protein Wnt-5b OS=Homo sapiens OX=9606 GN=WNT5B PE=2 SV=2, Homo_sapiens_sp_P41221_WNT5A_HUMAN sp|P41221|WNT5A_HUMAN Protein Wnt-5a OS=Homo sapiens OX=9606 GN=WNT5A PE=1 SV=2	Nematostella_vectensis_NV2t003611004.1 NV2t003611004.1, Nematostella_vectensis_NV2t003611002.1 NV2t003611002.1, Nematostella_vectensis_NV2t003611005.1 NV2t003611005.1, Nematostella_vectensis_NV2t003611001.1 NV2t003611001.1, Nematostella_vectensis_NV2t003611003.1 NV2t003611003.1
OG0000013	Homo_sapiens_sp_O96014_WNT11_HUMAN sp|O96014|WNT11_HUMAN Protein Wnt-11 OS=Homo sapiens OX=9606 GN=WNT11 PE=1 SV=2	Nematostella_vectensis_NV2t022664005.1 NV2t022664005.1, Nematostella_vectensis_NV2t022664004.1 NV2t022664004.1, Nematostella_vectensis_NV2t022664001.1 NV2t022664001.1, Nematostella_vectensis_NV2t022664003.1 NV2t022664003.1, Nematostella_vectensis_NV2t022664006.1 NV2t022664006.1, Nematostella_vectensis_NV2t022664002.1 NV2t022664002.1
OG0000013	Homo_sapiens_sp_P56706_WNT7B_HUMAN sp|P56706|WNT7B_HUMAN Protein Wnt-7b OS=Homo sapiens OX=9606 GN=WNT7B PE=1 SV=2	Nematostella_vectensis_NV2t003609002.1 NV2t003609002.1, Nematostella_vectensis_NV2t003609001.1 NV2t003609001.1
OG0000013	Homo_sapiens_sp_P09544_WNT2_HUMAN sp|P09544|WNT2_HUMAN Protein Wnt-2 OS=Homo sapiens OX=9606 GN=WNT2 PE=2 SV=1, Homo_sapiens_sp_Q93097_WNT2B_HUMAN sp|Q93097|WNT2B_HUMAN Protein Wnt-2b OS=Homo sapiens OX=9606 GN=WNT2B PE=1 SV=2	Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1
OG0000013	Homo_sapiens_sp_Q9H1J5_WNT8A_HUMAN sp|Q9H1J5|WNT8A_HUMAN Protein Wnt-8a OS=Homo sapiens OX=9606 GN=WNT8A PE=1 SV=2	Nematostella_vectensis_NV2t003689001.1 NV2t003689001.1, Nematostella_vectensis_NV2t004522001.1 NV2t004522001.1, Nematostella_vectensis_NV2t005661001.1 NV2t005661001.1
OG0000013	Homo_sapiens_sp_O00744_WN10B_HUMAN sp|O00744|WN10B_HUMAN Protein Wnt-10b OS=Homo sapiens OX=9606 GN=WNT10B PE=1 SV=2, Homo_sapiens_sp_Q9GZT5_WN10A_HUMAN sp|Q9GZT5|WN10A_HUMAN Protein Wnt-10a OS=Homo sapiens OX=9606 GN=WNT10A PE=1 SV=1	Nematostella_vectensis_NV2t011032001.1 NV2t011032001.1
OG0000014	Homo_sapiens_sp_Q86TH1_ATL2_HUMAN sp|Q86TH1|ATL2_HUMAN ADAMTS-like protein 2 OS=Homo sapiens OX=9606 GN=ADAMTSL2 PE=1 SV=1, Homo_sapiens_sp_Q6UY14_ATL4_HUMAN sp|Q6UY14|ATL4_HUMAN ADAMTS-like protein 4 OS=Homo sapiens OX=9606 GN=ADAMTSL4 PE=1 SV=2, Homo_sapiens_sp_Q6ZMP0_THSD4_HUMAN sp|Q6ZMP0|THSD4_HUMAN Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=THSD4 PE=1 SV=2	Nematostella_vectensis_NV2t022999001.1 NV2t022999001.1
OG0000014	Homo_sapiens_sp_Q8N6G6_ATL1_HUMAN sp|Q8N6G6|ATL1_HUMAN ADAMTS-like protein 1 OS=Homo sapiens OX=9606 GN=ADAMTSL1 PE=1 SV=4, Homo_sapiens_sp_P82987_ATL3_HUMAN sp|P82987|ATL3_HUMAN ADAMTS-like protein 3 OS=Homo sapiens OX=9606 GN=ADAMTSL3 PE=1 SV=4	Nematostella_vectensis_NV2t023123001.1 NV2t023123001.1
OG0000014	Homo_sapiens_sp_Q9UKP4_ATS7_HUMAN sp|Q9UKP4|ATS7_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Homo sapiens OX=9606 GN=ADAMTS7 PE=1 SV=2, Homo_sapiens_sp_P58397_ATS12_HUMAN sp|P58397|ATS12_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Homo sapiens OX=9606 GN=ADAMTS12 PE=1 SV=2	Nematostella_vectensis_NV2t024253001.1 NV2t024253001.1
OG0000014	Homo_sapiens_sp_O95428_PPN_HUMAN sp|O95428|PPN_HUMAN Papilin OS=Homo sapiens OX=9606 GN=PAPLN PE=2 SV=4	Nematostella_vectensis_NV2t020821001.1 NV2t020821001.1
OG0000014	Homo_sapiens_sp_Q9P2N4_ATS9_HUMAN sp|Q9P2N4|ATS9_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Homo sapiens OX=9606 GN=ADAMTS9 PE=1 SV=4	Nematostella_vectensis_NV2t000088001.1 NV2t000088001.1, Nematostella_vectensis_NV2t000087001.1 NV2t000087001.1
OG0000015	Homo_sapiens_sp_Q96PL2_TECTB_HUMAN sp|Q96PL2|TECTB_HUMAN Beta-tectorin OS=Homo sapiens OX=9606 GN=TECTB PE=2 SV=1	Nematostella_vectensis_NV2t012863002.1 NV2t012863002.1, Nematostella_vectensis_NV2t012863001.1 NV2t012863001.1, Nematostella_vectensis_NV2t012864001.1 NV2t012864001.1
OG0000016	Homo_sapiens_sp_Q9H239_MMP28_HUMAN sp|Q9H239|MMP28_HUMAN Matrix metalloproteinase-28 OS=Homo sapiens OX=9606 GN=MMP28 PE=1 SV=2	Nematostella_vectensis_NV2t016880001.1 NV2t016880001.1
OG0000017	Homo_sapiens_sp_P01008_ANT3_HUMAN sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1, Homo_sapiens_sp_P30740_ILEU_HUMAN sp|P30740|ILEU_HUMAN Leukocyte elastase inhibitor OS=Homo sapiens OX=9606 GN=SERPINB1 PE=1 SV=1, Homo_sapiens_sp_P35237_SPB6_HUMAN sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3, Homo_sapiens_sp_P50453_SPB9_HUMAN sp|P50453|SPB9_HUMAN Serpin B9 OS=Homo sapiens OX=9606 GN=SERPINB9 PE=1 SV=1, Homo_sapiens_sp_P50452_SPB8_HUMAN sp|P50452|SPB8_HUMAN Serpin B8 OS=Homo sapiens OX=9606 GN=SERPINB8 PE=1 SV=2, Homo_sapiens_sp_P36952_SPB5_HUMAN sp|P36952|SPB5_HUMAN Serpin B5 OS=Homo sapiens OX=9606 GN=SERPINB5 PE=1 SV=2, Homo_sapiens_sp_P48595_SPB10_HUMAN sp|P48595|SPB10_HUMAN Serpin B10 OS=Homo sapiens OX=9606 GN=SERPINB10 PE=1 SV=1, Homo_sapiens_sp_Q96P63_SPB12_HUMAN sp|Q96P63|SPB12_HUMAN Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1, Homo_sapiens_sp_P48594_SPB4_HUMAN sp|P48594|SPB4_HUMAN Serpin B4 OS=Homo sapiens OX=9606 GN=SERPINB4 PE=1 SV=2, Homo_sapiens_sp_P29508_SPB3_HUMAN sp|P29508|SPB3_HUMAN Serpin B3 OS=Homo sapiens OX=9606 GN=SERPINB3 PE=1 SV=2, Homo_sapiens_sp_O75635_SPB7_HUMAN sp|O75635|SPB7_HUMAN Serpin B7 OS=Homo sapiens OX=9606 GN=SERPINB7 PE=1 SV=1	Nematostella_vectensis_NV2t021103001.1 NV2t021103001.1
OG0000018	Homo_sapiens_sp_Q96JB6_LOXL4_HUMAN sp|Q96JB6|LOXL4_HUMAN Lysyl oxidase homolog 4 OS=Homo sapiens OX=9606 GN=LOXL4 PE=1 SV=1, Homo_sapiens_sp_P58215_LOXL3_HUMAN sp|P58215|LOXL3_HUMAN Lysyl oxidase homolog 3 OS=Homo sapiens OX=9606 GN=LOXL3 PE=1 SV=1, Homo_sapiens_sp_Q9Y4K0_LOXL2_HUMAN sp|Q9Y4K0|LOXL2_HUMAN Lysyl oxidase homolog 2 OS=Homo sapiens OX=9606 GN=LOXL2 PE=1 SV=1	Nematostella_vectensis_NV2t019165001.1 NV2t019165001.1, Nematostella_vectensis_NV2t019165003.1 NV2t019165003.1, Nematostella_vectensis_NV2t019165002.1 NV2t019165002.1, Nematostella_vectensis_NV2t019166001.1 NV2t019166001.1
OG0000019	Homo_sapiens_sp_Q6KF10_GDF6_HUMAN sp|Q6KF10|GDF6_HUMAN Growth/differentiation factor 6 OS=Homo sapiens OX=9606 GN=GDF6 PE=1 SV=1, Homo_sapiens_sp_P12645_BMP3_HUMAN sp|P12645|BMP3_HUMAN Bone morphogenetic protein 3 OS=Homo sapiens OX=9606 GN=BMP3 PE=1 SV=2, Homo_sapiens_sp_P55107_GDF10_HUMAN sp|P55107|GDF10_HUMAN Growth/differentiation factor 10 OS=Homo sapiens OX=9606 GN=GDF10 PE=2 SV=1	Nematostella_vectensis_NV2t006489001.1 NV2t006489001.1
OG0000020	Homo_sapiens_sp_P13942_COBA2_HUMAN sp|P13942|COBA2_HUMAN Collagen alpha-2_XI_ chain OS=Homo sapiens OX=9606 GN=COL11A2 PE=1 SV=5, Homo_sapiens_sp_P20908_CO5A1_HUMAN sp|P20908|CO5A1_HUMAN Collagen alpha-1_V_ chain OS=Homo sapiens OX=9606 GN=COL5A1 PE=1 SV=3, Homo_sapiens_sp_P12107_COBA1_HUMAN sp|P12107|COBA1_HUMAN Collagen alpha-1_XI_ chain OS=Homo sapiens OX=9606 GN=COL11A1 PE=1 SV=4, Homo_sapiens_sp_P25940_CO5A3_HUMAN sp|P25940|CO5A3_HUMAN Collagen alpha-3_V_ chain OS=Homo sapiens OX=9606 GN=COL5A3 PE=1 SV=3	Nematostella_vectensis_NV2t024375002.1 NV2t024375002.1
OG0000020	Homo_sapiens_sp_P02458_CO2A1_HUMAN sp|P02458|CO2A1_HUMAN Collagen alpha-1_II_ chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3, Homo_sapiens_sp_P02452_CO1A1_HUMAN sp|P02452|CO1A1_HUMAN Collagen alpha-1_I_ chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=6, Homo_sapiens_sp_P08123_CO1A2_HUMAN sp|P08123|CO1A2_HUMAN Collagen alpha-2_I_ chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=7, Homo_sapiens_sp_P02461_CO3A1_HUMAN sp|P02461|CO3A1_HUMAN Collagen alpha-1_III_ chain OS=Homo sapiens OX=9606 GN=COL3A1 PE=1 SV=4, Homo_sapiens_sp_P05997_CO5A2_HUMAN sp|P05997|CO5A2_HUMAN Collagen alpha-2_V_ chain OS=Homo sapiens OX=9606 GN=COL5A2 PE=1 SV=3	Nematostella_vectensis_NV2t012027001.1 NV2t012027001.1, Nematostella_vectensis_NV2t011872001.1 NV2t011872001.1, Nematostella_vectensis_NV2t011872002.1 NV2t011872002.1, Nematostella_vectensis_NV2t012159001.1 NV2t012159001.1, Nematostella_vectensis_NV2t010959004.1 NV2t010959004.1, Nematostella_vectensis_NV2t010959005.1 NV2t010959005.1, Nematostella_vectensis_NV2t012104001.1 NV2t012104001.1
OG0000021	Homo_sapiens_sp_Q14112_NID2_HUMAN sp|Q14112|NID2_HUMAN Nidogen-2 OS=Homo sapiens OX=9606 GN=NID2 PE=1 SV=3, Homo_sapiens_sp_P14543_NID1_HUMAN sp|P14543|NID1_HUMAN Nidogen-1 OS=Homo sapiens OX=9606 GN=NID1 PE=1 SV=3	Nematostella_vectensis_NV2t020722001.1 NV2t020722001.1, Nematostella_vectensis_NV2t020722002.1 NV2t020722002.1, Nematostella_vectensis_NV2t020722003.1 NV2t020722003.1
OG0000022	Homo_sapiens_sp_P20073_ANXA7_HUMAN sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3	Nematostella_vectensis_NV2t009562002.1 NV2t009562002.1, Nematostella_vectensis_NV2t009562001.1 NV2t009562001.1
OG0000023	Homo_sapiens_sp_P78325_ADAM8_HUMAN sp|P78325|ADAM8_HUMAN Disintegrin and metalloproteinase domain-containing protein 8 OS=Homo sapiens OX=9606 GN=ADAM8 PE=1 SV=2, Homo_sapiens_sp_Q9H2U9_ADAM7_HUMAN sp|Q9H2U9|ADAM7_HUMAN Disintegrin and metalloproteinase domain-containing protein 7 OS=Homo sapiens OX=9606 GN=ADAM7 PE=1 SV=3, Homo_sapiens_sp_O15204_ADEC1_HUMAN sp|O15204|ADEC1_HUMAN ADAM DEC1 OS=Homo sapiens OX=9606 GN=ADAMDEC1 PE=1 SV=2, Homo_sapiens_sp_Q9UKJ8_ADA21_HUMAN sp|Q9UKJ8|ADA21_HUMAN Disintegrin and metalloproteinase domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ADAM21 PE=1 SV=2, Homo_sapiens_sp_Q9UKF2_ADA30_HUMAN sp|Q9UKF2|ADA30_HUMAN Disintegrin and metalloproteinase domain-containing protein 30 OS=Homo sapiens OX=9606 GN=ADAM30 PE=1 SV=2, Homo_sapiens_sp_Q13443_ADAM9_HUMAN sp|Q13443|ADAM9_HUMAN Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens OX=9606 GN=ADAM9 PE=1 SV=1, Homo_sapiens_sp_O43184_ADA12_HUMAN sp|O43184|ADA12_HUMAN Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens OX=9606 GN=ADAM12 PE=1 SV=3, Homo_sapiens_sp_Q13444_ADA15_HUMAN sp|Q13444|ADA15_HUMAN Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ADAM15 PE=1 SV=4, Homo_sapiens_sp_O75077_ADA23_HUMAN sp|O75077|ADA23_HUMAN Disintegrin and metalloproteinase domain-containing protein 23 OS=Homo sapiens OX=9606 GN=ADAM23 PE=1 SV=1, Homo_sapiens_sp_Q9P0K1_ADA22_HUMAN sp|Q9P0K1|ADA22_HUMAN Disintegrin and metalloproteinase domain-containing protein 22 OS=Homo sapiens OX=9606 GN=ADAM22 PE=1 SV=1	Nematostella_vectensis_NV2t018385002.1 NV2t018385002.1, Nematostella_vectensis_NV2t018385001.1 NV2t018385001.1
OG0000024	Homo_sapiens_sp_Q9BQ16_TICN3_HUMAN sp|Q9BQ16|TICN3_HUMAN Testican-3 OS=Homo sapiens OX=9606 GN=SPOCK3 PE=1 SV=2, Homo_sapiens_sp_Q08629_TICN1_HUMAN sp|Q08629|TICN1_HUMAN Testican-1 OS=Homo sapiens OX=9606 GN=SPOCK1 PE=1 SV=1	Nematostella_vectensis_NV2t003372003.1 NV2t003372003.1, Nematostella_vectensis_NV2t003372002.1 NV2t003372002.1, Nematostella_vectensis_NV2t003372001.1 NV2t003372001.1
