Orthogroup	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus
OG0000002	Homo_sapiens_sp_P49746_TSP3_HUMAN sp|P49746|TSP3_HUMAN Thrombospondin-3 OS=Homo sapiens OX=9606 GN=THBS3 PE=1 SV=1	Mus_musculus_sp_Q05895_TSP3_MOUSE sp_Q05895_TSP3_MOUSE Thrombospondin-3 OS=Mus musculus OX=10090 GN=Thbs3 PE=1 SV=2
OG0000002	Homo_sapiens_sp_P35443_TSP4_HUMAN sp|P35443|TSP4_HUMAN Thrombospondin-4 OS=Homo sapiens OX=9606 GN=THBS4 PE=1 SV=2	Mus_musculus_sp_Q9Z1T2_TSP4_MOUSE sp_Q9Z1T2_TSP4_MOUSE Thrombospondin-4 OS=Mus musculus OX=10090 GN=Thbs4 PE=1 SV=1
OG0000002	Homo_sapiens_sp_Q13214_SEM3B_HUMAN sp|Q13214|SEM3B_HUMAN Semaphorin-3B OS=Homo sapiens OX=9606 GN=SEMA3B PE=1 SV=1	Mus_musculus_sp_Q62177_SEM3B_MOUSE sp_Q62177_SEM3B_MOUSE Semaphorin-3B OS=Mus musculus OX=10090 GN=Sema3b PE=2 SV=2
OG0000002	Homo_sapiens_sp_Q14563_SEM3A_HUMAN sp|Q14563|SEM3A_HUMAN Semaphorin-3A OS=Homo sapiens OX=9606 GN=SEMA3A PE=1 SV=1	Mus_musculus_sp_O08665_SEM3A_MOUSE sp_O08665_SEM3A_MOUSE Semaphorin-3A OS=Mus musculus OX=10090 GN=Sema3a PE=1 SV=2
OG0000002	Homo_sapiens_sp_O95025_SEM3D_HUMAN sp|O95025|SEM3D_HUMAN Semaphorin-3D OS=Homo sapiens OX=9606 GN=SEMA3D PE=2 SV=2	Mus_musculus_sp_Q8BH34_SEM3D_MOUSE sp_Q8BH34_SEM3D_MOUSE Semaphorin-3D OS=Mus musculus OX=10090 GN=Sema3d PE=1 SV=1
OG0000002	Homo_sapiens_sp_Q99985_SEM3C_HUMAN sp|Q99985|SEM3C_HUMAN Semaphorin-3C OS=Homo sapiens OX=9606 GN=SEMA3C PE=2 SV=2	Mus_musculus_sp_Q62181_SEM3C_MOUSE sp_Q62181_SEM3C_MOUSE Semaphorin-3C OS=Mus musculus OX=10090 GN=Sema3c PE=1 SV=2
OG0000002	Homo_sapiens_sp_Q9NS98_SEM3G_HUMAN sp|Q9NS98|SEM3G_HUMAN Semaphorin-3G OS=Homo sapiens OX=9606 GN=SEMA3G PE=1 SV=1	Mus_musculus_sp_Q4LFA9_SEM3G_MOUSE sp_Q4LFA9_SEM3G_MOUSE Semaphorin-3G OS=Mus musculus OX=10090 GN=Sema3g PE=2 SV=1
OG0000002	Homo_sapiens_sp_Q9H3S1_SEM4A_HUMAN sp|Q9H3S1|SEM4A_HUMAN Semaphorin-4A OS=Homo sapiens OX=9606 GN=SEMA4A PE=1 SV=2	Mus_musculus_sp_Q62178_SEM4A_MOUSE sp_Q62178_SEM4A_MOUSE Semaphorin-4A OS=Mus musculus OX=10090 GN=Sema4a PE=1 SV=2
OG0000002	Homo_sapiens_sp_Q92854_SEM4D_HUMAN sp|Q92854|SEM4D_HUMAN Semaphorin-4D OS=Homo sapiens OX=9606 GN=SEMA4D PE=1 SV=1	Mus_musculus_sp_O09126_SEM4D_MOUSE sp_O09126_SEM4D_MOUSE Semaphorin-4D OS=Mus musculus OX=10090 GN=Sema4d PE=1 SV=2
OG0000002	Homo_sapiens_sp_Q9C0C4_SEM4C_HUMAN sp|Q9C0C4|SEM4C_HUMAN Semaphorin-4C OS=Homo sapiens OX=9606 GN=SEMA4C PE=1 SV=2	Mus_musculus_sp_Q64151_SEM4C_MOUSE sp_Q64151_SEM4C_MOUSE Semaphorin-4C OS=Mus musculus OX=10090 GN=Sema4c PE=1 SV=1
OG0000002	Homo_sapiens_sp_Q9H3T3_SEM6B_HUMAN sp|Q9H3T3|SEM6B_HUMAN Semaphorin-6B OS=Homo sapiens OX=9606 GN=SEMA6B PE=1 SV=4	Mus_musculus_sp_O54951_SEM6B_MOUSE sp_O54951_SEM6B_MOUSE Semaphorin-6B OS=Mus musculus OX=10090 GN=Sema6b PE=1 SV=1
OG0000002	Homo_sapiens_sp_Q96RW7_HMCN1_HUMAN sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2	Mus_musculus_sp_D3YXG0_HMCN1_MOUSE sp_D3YXG0_HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1, Mus_musculus_sp_D3YXG0_HMCN1_MOUSE sp_D3YXG0_HMCN1_MOUSE Hemicentin-1 OS=Mus musculus OX=10090 GN=Hmcn1 PE=1 SV=1
OG0000003	Homo_sapiens_sp_O14594_NCAN_HUMAN sp|O14594|NCAN_HUMAN Neurocan core protein OS=Homo sapiens OX=9606 GN=NCAN PE=1 SV=3	Mus_musculus_sp_P55066_NCAN_MOUSE sp_P55066_NCAN_MOUSE Neurocan core protein OS=Mus musculus OX=10090 GN=Ncan PE=1 SV=1
OG0000003	Homo_sapiens_sp_P16112_PGCA_HUMAN sp|P16112|PGCA_HUMAN Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN PE=1 SV=3	Mus_musculus_sp_Q61282_PGCA_MOUSE sp_Q61282_PGCA_MOUSE Aggrecan core protein OS=Mus musculus OX=10090 GN=Acan PE=1 SV=2
OG0000003	Homo_sapiens_sp_P13611_CSPG2_HUMAN sp|P13611|CSPG2_HUMAN Versican core protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=3	Mus_musculus_sp_Q62059_CSPG2_MOUSE sp_Q62059_CSPG2_MOUSE Versican core protein OS=Mus musculus OX=10090 GN=Vcan PE=1 SV=2, Mus_musculus_sp_Q62059_CSPG2_MOUSE sp_Q62059_CSPG2_MOUSE Versican core protein OS=Mus musculus OX=10090 GN=Vcan PE=1 SV=2
OG0000003	Homo_sapiens_sp_Q9BWP8_COL11_HUMAN sp|Q9BWP8|COL11_HUMAN Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1	Mus_musculus_sp_Q3SXB8_COL11_MOUSE sp_Q3SXB8_COL11_MOUSE Collectin-11 OS=Mus musculus OX=10090 GN=Colec11 PE=2 SV=2
OG0000003	Homo_sapiens_sp_P11226_MBL2_HUMAN sp|P11226|MBL2_HUMAN Mannose-binding protein C OS=Homo sapiens OX=9606 GN=MBL2 PE=1 SV=2	Mus_musculus_sp_P41317_MBL2_MOUSE sp_P41317_MBL2_MOUSE Mannose-binding protein C OS=Mus musculus OX=10090 GN=Mbl2 PE=1 SV=2
OG0000003	Homo_sapiens_sp_P05452_TETN_HUMAN sp|P05452|TETN_HUMAN Tetranectin OS=Homo sapiens OX=9606 GN=CLEC3B PE=1 SV=3	Mus_musculus_sp_P43025_TETN_MOUSE sp_P43025_TETN_MOUSE Tetranectin OS=Mus musculus OX=10090 GN=Clec3b PE=1 SV=2
OG0000003	Homo_sapiens_sp_Q5KU26_COL12_HUMAN sp|Q5KU26|COL12_HUMAN Collectin-12 OS=Homo sapiens OX=9606 GN=COLEC12 PE=1 SV=3	Mus_musculus_sp_Q8K4Q8_COL12_MOUSE sp_Q8K4Q8_COL12_MOUSE Collectin-12 OS=Mus musculus OX=10090 GN=Colec12 PE=1 SV=1
OG0000003	Homo_sapiens_sp_Q9ULY5_CLC4E_HUMAN sp|Q9ULY5|CLC4E_HUMAN C-type lectin domain family 4 member E OS=Homo sapiens OX=9606 GN=CLEC4E PE=1 SV=1	Mus_musculus_sp_Q91ZW8_C209D_MOUSE sp_Q91ZW8_C209D_MOUSE CD209 antigen-like protein D OS=Mus musculus OX=10090 GN=Cd209d PE=2 SV=1, Mus_musculus_sp_Q8CJ91_C209B_MOUSE sp_Q8CJ91_C209B_MOUSE CD209 antigen-like protein B OS=Mus musculus OX=10090 GN=Cd209b PE=1 SV=2
OG0000003	Homo_sapiens_sp_Q06141_REG3A_HUMAN sp|Q06141|REG3A_HUMAN Regenerating islet-derived protein 3-alpha OS=Homo sapiens OX=9606 GN=REG3A PE=1 SV=1, Homo_sapiens_sp_Q6UW15_REG3G_HUMAN sp|Q6UW15|REG3G_HUMAN Regenerating islet-derived protein 3-gamma OS=Homo sapiens OX=9606 GN=REG3G PE=1 SV=1	Mus_musculus_sp_O09049_REG3G_MOUSE sp_O09049_REG3G_MOUSE Regenerating islet-derived protein 3-gamma OS=Mus musculus OX=10090 GN=Reg3g PE=1 SV=1
OG0000003	Homo_sapiens_sp_P48304_REG1B_HUMAN sp|P48304|REG1B_HUMAN Lithostathine-1-beta OS=Homo sapiens OX=9606 GN=REG1B PE=1 SV=1	Mus_musculus_sp_P43137_LIT1_MOUSE sp_P43137_LIT1_MOUSE Lithostathine-1 OS=Mus musculus OX=10090 GN=Reg1 PE=1 SV=1, Mus_musculus_sp_Q08731_LIT2_MOUSE sp_Q08731_LIT2_MOUSE Lithostathine-2 OS=Mus musculus OX=10090 GN=Reg2 PE=1 SV=1
OG0000003	Homo_sapiens_sp_Q9BXN2_CLC7A_HUMAN sp|Q9BXN2|CLC7A_HUMAN C-type lectin domain family 7 member A OS=Homo sapiens OX=9606 GN=CLEC7A PE=1 SV=1	Mus_musculus_sp_Q6QLQ4_CLC7A_MOUSE sp_Q6QLQ4_CLC7A_MOUSE C-type lectin domain family 7 member A OS=Mus musculus OX=10090 GN=Clec7a PE=1 SV=3
OG0000004	Homo_sapiens_sp_Q6PCB0_VWA1_HUMAN sp|Q6PCB0|VWA1_HUMAN von Willebrand factor A domain-containing protein 1 OS=Homo sapiens OX=9606 GN=VWA1 PE=1 SV=1	Mus_musculus_sp_Q8R2Z5_VWA1_MOUSE sp_Q8R2Z5_VWA1_MOUSE von Willebrand factor A domain-containing protein 1 OS=Mus musculus OX=10090 GN=Vwa1 PE=1 SV=1
OG0000004	Homo_sapiens_sp_Q02388_CO7A1_HUMAN sp|Q02388|CO7A1_HUMAN Collagen alpha-1_VII_ chain OS=Homo sapiens OX=9606 GN=COL7A1 PE=1 SV=2	Mus_musculus_sp_Q63870_CO7A1_MOUSE sp_Q63870_CO7A1_MOUSE Collagen alpha-1_VII_ chain OS=Mus musculus OX=10090 GN=Col7a1 PE=1 SV=3
OG0000004	Homo_sapiens_sp_Q9P218_COKA1_HUMAN sp|Q9P218|COKA1_HUMAN Collagen alpha-1_XX_ chain OS=Homo sapiens OX=9606 GN=COL20A1 PE=1 SV=4	Mus_musculus_sp_Q923P0_COKA1_MOUSE sp_Q923P0_COKA1_MOUSE Collagen alpha-1_XX_ chain OS=Mus musculus OX=10090 GN=Col20a1 PE=2 SV=3
OG0000004	Homo_sapiens_sp_Q99715_COCA1_HUMAN sp|Q99715|COCA1_HUMAN Collagen alpha-1_XII_ chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2	Mus_musculus_sp_Q60847_COCA1_MOUSE sp_Q60847_COCA1_MOUSE Collagen alpha-1_XII_ chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3, Mus_musculus_sp_Q60847_COCA1_MOUSE sp_Q60847_COCA1_MOUSE Collagen alpha-1_XII_ chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3
OG0000004	Homo_sapiens_sp_Q05707_COEA1_HUMAN sp|Q05707|COEA1_HUMAN Collagen alpha-1_XIV_ chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3	Mus_musculus_sp_Q80X19_COEA1_MOUSE sp_Q80X19_COEA1_MOUSE Collagen alpha-1_XIV_ chain OS=Mus musculus OX=10090 GN=Col14a1 PE=1 SV=2
OG0000004	Homo_sapiens_sp_Q5GFL6_VWA2_HUMAN sp|Q5GFL6|VWA2_HUMAN von Willebrand factor A domain-containing protein 2 OS=Homo sapiens OX=9606 GN=VWA2 PE=1 SV=1	Mus_musculus_sp_Q70UZ7_VWA2_MOUSE sp_Q70UZ7_VWA2_MOUSE von Willebrand factor A domain-containing protein 2 OS=Mus musculus OX=10090 GN=Vwa2 PE=1 SV=1
OG0000004	Homo_sapiens_sp_A8TX70_CO6A5_HUMAN sp|A8TX70|CO6A5_HUMAN Collagen alpha-5_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A5 PE=1 SV=1	Mus_musculus_sp_A6H584_CO6A5_MOUSE sp_A6H584_CO6A5_MOUSE Collagen alpha-5_VI_ chain OS=Mus musculus OX=10090 GN=Col6a5 PE=1 SV=4
OG0000004	Homo_sapiens_sp_A6NMZ7_CO6A6_HUMAN sp|A6NMZ7|CO6A6_HUMAN Collagen alpha-6_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A6 PE=1 SV=2	Mus_musculus_sp_Q8C6K9_CO6A6_MOUSE sp_Q8C6K9_CO6A6_MOUSE Collagen alpha-6_VI_ chain OS=Mus musculus OX=10090 GN=Col6a6 PE=1 SV=2, Mus_musculus_sp_Q8C6K9_CO6A6_MOUSE sp_Q8C6K9_CO6A6_MOUSE Collagen alpha-6_VI_ chain OS=Mus musculus OX=10090 GN=Col6a6 PE=1 SV=2
OG0000004	Homo_sapiens_sp_P12111_CO6A3_HUMAN sp|P12111|CO6A3_HUMAN Collagen alpha-3_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5	Mus_musculus_sp_A2AX52_CO6A4_MOUSE sp_A2AX52_CO6A4_MOUSE Collagen alpha-4_VI_ chain OS=Mus musculus OX=10090 GN=Col6a4 PE=1 SV=2
OG0000004	Homo_sapiens_sp_Q6UXI7_VITRN_HUMAN sp|Q6UXI7|VITRN_HUMAN Vitrin OS=Homo sapiens OX=9606 GN=VIT PE=2 SV=1	Mus_musculus_sp_Q8VHI5_VITRN_MOUSE sp_Q8VHI5_VITRN_MOUSE Vitrin OS=Mus musculus OX=10090 GN=Vit PE=1 SV=2
OG0000004	Homo_sapiens_sp_O43405_COCH_HUMAN sp|O43405|COCH_HUMAN Cochlin OS=Homo sapiens OX=9606 GN=COCH PE=1 SV=1	Mus_musculus_sp_Q62507_COCH_MOUSE sp_Q62507_COCH_MOUSE Cochlin OS=Mus musculus OX=10090 GN=Coch PE=1 SV=2
OG0000004	Homo_sapiens_sp_O00339_MATN2_HUMAN sp|O00339|MATN2_HUMAN Matrilin-2 OS=Homo sapiens OX=9606 GN=MATN2 PE=1 SV=4	Mus_musculus_sp_O08746_MATN2_MOUSE sp_O08746_MATN2_MOUSE Matrilin-2 OS=Mus musculus OX=10090 GN=Matn2 PE=2 SV=2
OG0000004	Homo_sapiens_sp_O95460_MATN4_HUMAN sp|O95460|MATN4_HUMAN Matrilin-4 OS=Homo sapiens OX=9606 GN=MATN4 PE=1 SV=3	Mus_musculus_sp_O89029_MATN4_MOUSE sp_O89029_MATN4_MOUSE Matrilin-4 OS=Mus musculus OX=10090 GN=Matn4 PE=1 SV=1
OG0000004	Homo_sapiens_sp_Q2UY09_COSA1_HUMAN sp|Q2UY09|COSA1_HUMAN Collagen alpha-1_XXVIII_ chain OS=Homo sapiens OX=9606 GN=COL28A1 PE=2 SV=2	Mus_musculus_sp_Q2UY11_COSA1_MOUSE sp_Q2UY11_COSA1_MOUSE Collagen alpha-1_XXVIII_ chain OS=Mus musculus OX=10090 GN=Col28a1 PE=2 SV=1
OG0000005	Homo_sapiens_sp_Q16819_MEP1A_HUMAN sp|Q16819|MEP1A_HUMAN Meprin A subunit alpha OS=Homo sapiens OX=9606 GN=MEP1A PE=1 SV=2	Mus_musculus_sp_P28825_MEP1A_MOUSE sp_P28825_MEP1A_MOUSE Meprin A subunit alpha OS=Mus musculus OX=10090 GN=Mep1a PE=1 SV=4
OG0000006	Homo_sapiens_sp_P05160_F13B_HUMAN sp|P05160|F13B_HUMAN Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3	Mus_musculus_sp_Q07968_F13B_MOUSE sp_Q07968_F13B_MOUSE Coagulation factor XIII B chain OS=Mus musculus OX=10090 GN=F13b PE=1 SV=2
