Orthogroup	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Danio_rerio
OG0000001	Homo_sapiens_sp_P11047_LAMC1_HUMAN sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	Danio_rerio_sp_Q1LVF0_LAMC1_DANRE sp|Q1LVF0|LAMC1_DANRE Laminin subunit gamma-1 OS=Danio rerio OX=7955 GN=lamc1 PE=2 SV=2
OG0000002	Homo_sapiens_sp_B1AKI9_ISM1_HUMAN sp|B1AKI9|ISM1_HUMAN Isthmin-1 OS=Homo sapiens OX=9606 GN=ISM1 PE=2 SV=2	Danio_rerio_sp_Q5EGE1_ISM1_DANRE sp|Q5EGE1|ISM1_DANRE Isthmin-1 OS=Danio rerio OX=7955 GN=ism1 PE=2 SV=1
OG0000002	Homo_sapiens_sp_Q6H9L7_ISM2_HUMAN sp|Q6H9L7|ISM2_HUMAN Isthmin-2 OS=Homo sapiens OX=9606 GN=ISM2 PE=1 SV=1	Danio_rerio_sp_Q58T08_ISM2_DANRE sp|Q58T08|ISM2_DANRE Isthmin-2 OS=Danio rerio OX=7955 GN=ism2 PE=2 SV=1, Danio_rerio_tr_E7F979_E7F979_DANRE tr|E7F979|E7F979_DANRE Isthmin 2a OS=Danio rerio OX=7955 GN=ism2a PE=3 SV=1
OG0000002	Homo_sapiens_sp_P35442_TSP2_HUMAN sp|P35442|TSP2_HUMAN Thrombospondin-2 OS=Homo sapiens OX=9606 GN=THBS2 PE=1 SV=2	Danio_rerio_tr_A0A8M3B7K3_A0A8M3B7K3_DANRE tr|A0A8M3B7K3|A0A8M3B7K3_DANRE Thrombospondin 2b OS=Danio rerio OX=7955 GN=thbs2b PE=3 SV=1, Danio_rerio_tr_F8W5Z7_F8W5Z7_DANRE tr|F8W5Z7|F8W5Z7_DANRE Thrombospondin 2a OS=Danio rerio OX=7955 GN=thbs2a PE=3 SV=1
OG0000002	Homo_sapiens_sp_P07996_TSP1_HUMAN sp|P07996|TSP1_HUMAN Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2	Danio_rerio_tr_F1QL35_F1QL35_DANRE tr|F1QL35|F1QL35_DANRE Thrombospondin 1b OS=Danio rerio OX=7955 GN=thbs1b PE=3 SV=2, Danio_rerio_tr_F1QEE7_F1QEE7_DANRE tr|F1QEE7|F1QEE7_DANRE Thrombospondin 1b OS=Danio rerio OX=7955 GN=thbs1b PE=3 SV=2
OG0000002	Homo_sapiens_sp_P49747_COMP_HUMAN sp|P49747|COMP_HUMAN Cartilage oligomeric matrix protein OS=Homo sapiens OX=9606 GN=COMP PE=1 SV=2	Danio_rerio_tr_A0A0G2KDJ5_A0A0G2KDJ5_DANRE tr|A0A0G2KDJ5|A0A0G2KDJ5_DANRE Cartilage oligomeric matrix protein OS=Danio rerio OX=7955 GN=Tsp-4b PE=1 SV=1
OG0000002	Homo_sapiens_sp_P49746_TSP3_HUMAN sp|P49746|TSP3_HUMAN Thrombospondin-3 OS=Homo sapiens OX=9606 GN=THBS3 PE=1 SV=1	Danio_rerio_sp_Q1L8P7_TSP3B_DANRE sp|Q1L8P7|TSP3B_DANRE Thrombospondin-3b OS=Danio rerio OX=7955 GN=thbs3b PE=3 SV=1, Danio_rerio_sp_Q8JHW2_TSP3A_DANRE sp|Q8JHW2|TSP3A_DANRE Thrombospondin-3a OS=Danio rerio OX=7955 GN=thbs3a PE=2 SV=2
OG0000002	Homo_sapiens_sp_P35443_TSP4_HUMAN sp|P35443|TSP4_HUMAN Thrombospondin-4 OS=Homo sapiens OX=9606 GN=THBS4 PE=1 SV=2	Danio_rerio_tr_A0A0R4I9N1_A0A0R4I9N1_DANRE tr|A0A0R4I9N1|A0A0R4I9N1_DANRE Thrombospondin 4a OS=Danio rerio OX=7955 GN=zgc_175276 PE=3 SV=1, Danio_rerio_sp_Q8JGW0_TSP4B_DANRE sp|Q8JGW0|TSP4B_DANRE Thrombospondin-4-B OS=Danio rerio OX=7955 GN=thbs4b PE=2 SV=1
OG0000002	Homo_sapiens_sp_Q13214_SEM3B_HUMAN sp|Q13214|SEM3B_HUMAN Semaphorin-3B OS=Homo sapiens OX=9606 GN=SEMA3B PE=1 SV=1	Danio_rerio_tr_A0A8M1NJX9_A0A8M1NJX9_DANRE tr|A0A8M1NJX9|A0A8M1NJX9_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3B OS=Danio rerio OX=7955 GN=si_ch211-106g4.2 PE=3 SV=1
OG0000002	Homo_sapiens_sp_Q14563_SEM3A_HUMAN sp|Q14563|SEM3A_HUMAN Semaphorin-3A OS=Homo sapiens OX=9606 GN=SEMA3A PE=1 SV=1	Danio_rerio_sp_Q9W7J1_SE3AA_DANRE sp|Q9W7J1|SE3AA_DANRE Semaphorin-3aa OS=Danio rerio OX=7955 GN=sema3aa PE=2 SV=1, Danio_rerio_sp_Q9W686_SE3AB_DANRE sp|Q9W686|SE3AB_DANRE Semaphorin-3ab OS=Danio rerio OX=7955 GN=sema3ab PE=2 SV=1
OG0000002	Homo_sapiens_sp_O95025_SEM3D_HUMAN sp|O95025|SEM3D_HUMAN Semaphorin-3D OS=Homo sapiens OX=9606 GN=SEMA3D PE=2 SV=2	Danio_rerio_tr_E9QD84_E9QD84_DANRE tr|E9QD84|E9QD84_DANRE Semaphorin-3D OS=Danio rerio OX=7955 GN=sema2 PE=3 SV=2, Danio_rerio_sp_Q9W6G6_SEM3D_DANRE sp|Q9W6G6|SEM3D_DANRE Semaphorin-3D OS=Danio rerio OX=7955 GN=sema3d PE=2 SV=1
OG0000002	Homo_sapiens_sp_Q99985_SEM3C_HUMAN sp|Q99985|SEM3C_HUMAN Semaphorin-3C OS=Homo sapiens OX=9606 GN=SEMA3C PE=2 SV=2	Danio_rerio_tr_A0A1A8AQ50_A0A1A8AQ50_NOTFU tr|A0A1A8AQ50|A0A1A8AQ50_NOTFU Semaphorin 3ga OS=Nothobranchius furzeri OX=105023 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8EGA6_A0A1A8EGA6_9TELE tr|A0A1A8EGA6|A0A1A8EGA6_9TELE Semaphorin 3ga OS=Nothobranchius kadleci OX=1051664 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8MXQ7_A0A1A8MXQ7_9TELE tr|A0A1A8MXQ7|A0A1A8MXQ7_9TELE Semaphorin 3ga OS=Nothobranchius pienaari OX=704102 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8QUT7_A0A1A8QUT7_9TELE tr|A0A1A8QUT7|A0A1A8QUT7_9TELE Semaphorin 3ga OS=Nothobranchius rachovii OX=451742 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8J989_A0A1A8J989_NOTKU tr|A0A1A8J989|A0A1A8J989_NOTKU Semaphorin 3ga OS=Nothobranchius kuhntae OX=321403 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A0A1A8G211_A0A1A8G211_9TELE tr|A0A1A8G211|A0A1A8G211_9TELE Semaphorin 3ga OS=Nothobranchius korthausae OX=1143690 GN=SEMA3GA PE=3 SV=1, Danio_rerio_tr_A1L5C9_A1L5C9_DANRE tr|A1L5C9|A1L5C9_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Ga isoform X1 OS=Danio rerio OX=7955 GN=sema3ga PE=2 SV=1, Danio_rerio_tr_Q5ID22_Q5ID22_DANRE tr|Q5ID22|Q5ID22_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Ga precursor OS=Danio rerio OX=7955 GN=sema3Ga PE=2 SV=1, Danio_rerio_tr_B0S5G6_B0S5G6_DANRE tr|B0S5G6|B0S5G6_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Gb isoform X2 OS=Danio rerio OX=7955 GN=sema3gb PE=1 SV=1, Danio_rerio_tr_Q5ID21_Q5ID21_DANRE tr|Q5ID21|Q5ID21_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _Semaphorin_ 3Gb precursor OS=Danio rerio OX=7955 GN=sema3Gb PE=1 SV=1
OG0000002	Homo_sapiens_sp_Q9NS98_SEM3G_HUMAN sp|Q9NS98|SEM3G_HUMAN Semaphorin-3G OS=Homo sapiens OX=9606 GN=SEMA3G PE=1 SV=1	Danio_rerio_tr_M9MM97_M9MM97_DANRE tr|M9MM97|M9MM97_DANRE Sema domain_ immunoglobulin domain _Ig__ short basic domain_ secreted_ _semaphorin_ 3bl OS=Danio rerio OX=7955 GN=fc22d04 PE=3 SV=1
OG0000002	Homo_sapiens_sp_Q9NPR2_SEM4B_HUMAN sp|Q9NPR2|SEM4B_HUMAN Semaphorin-4B OS=Homo sapiens OX=9606 GN=SEMA4B PE=1 SV=4	Danio_rerio_tr_A0A8M3ARZ2_A0A8M3ARZ2_DANRE tr|A0A8M3ARZ2|A0A8M3ARZ2_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4Ba OS=Danio rerio OX=7955 GN=si_ch211-138h3.1 PE=4 SV=1, Danio_rerio_tr_E7F898_E7F898_DANRE tr|E7F898|E7F898_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4Ba OS=Danio rerio OX=7955 GN=si_ch211-138h3.1 PE=4 SV=3
OG0000002	Homo_sapiens_sp_Q9H3S1_SEM4A_HUMAN sp|Q9H3S1|SEM4A_HUMAN Semaphorin-4A OS=Homo sapiens OX=9606 GN=SEMA4A PE=1 SV=2	Danio_rerio_tr_F1R501_F1R501_DANRE tr|F1R501|F1R501_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4Ab OS=Danio rerio OX=7955 GN=sema4ab PE=3 SV=1
OG0000002	Homo_sapiens_sp_Q92854_SEM4D_HUMAN sp|Q92854|SEM4D_HUMAN Semaphorin-4D OS=Homo sapiens OX=9606 GN=SEMA4D PE=1 SV=1, Homo_sapiens_sp_Q9C0C4_SEM4C_HUMAN sp|Q9C0C4|SEM4C_HUMAN Semaphorin-4C OS=Homo sapiens OX=9606 GN=SEMA4C PE=1 SV=2	Danio_rerio_tr_F1QF70_F1QF70_DANRE tr|F1QF70|F1QF70_DANRE Sema domain_ immunoglobulin domain _Ig__ transmembrane domain _TM_ and short cytoplasmic domain_ _semaphorin_ 4C OS=Danio rerio OX=7955 GN=sc_d411 PE=3 SV=1, Danio_rerio_tr_A4JYS4_A4JYS4_DANRE tr|A4JYS4|A4JYS4_DANRE Semaphorin-4C precursor OS=Danio rerio OX=7955 GN=sc_d411 PE=2 SV=1
OG0000002	Homo_sapiens_sp_Q96RW7_HMCN1_HUMAN sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2	Danio_rerio_tr_D7PS96_D7PS96_DANRE tr|D7PS96|D7PS96_DANRE Hemicentin-1 precursor OS=Danio rerio OX=7955 GN=hmcn1 PE=2 SV=1
OG0000003	Homo_sapiens_sp_O14594_NCAN_HUMAN sp|O14594|NCAN_HUMAN Neurocan core protein OS=Homo sapiens OX=9606 GN=NCAN PE=1 SV=3	Danio_rerio_tr_F1QEZ8_F1QEZ8_DANRE tr|F1QEZ8|F1QEZ8_DANRE Neurocan b OS=Danio rerio OX=7955 GN=ncanb PE=4 SV=3
OG0000003	Homo_sapiens_sp_P16112_PGCA_HUMAN sp|P16112|PGCA_HUMAN Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN PE=1 SV=3	Danio_rerio_tr_E7F537_E7F537_DANRE tr|E7F537|E7F537_DANRE Aggrecan a OS=Danio rerio OX=7955 GN=acana PE=4 SV=3, Danio_rerio_tr_F1QDA1_F1QDA1_DANRE tr|F1QDA1|F1QDA1_DANRE Aggrecan a OS=Danio rerio OX=7955 GN=acana PE=4 SV=2
OG0000003	Homo_sapiens_sp_Q9BWP8_COL11_HUMAN sp|Q9BWP8|COL11_HUMAN Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1	Danio_rerio_sp_Q5U3G1_COL11_DANRE sp|Q5U3G1|COL11_DANRE Collectin-11 OS=Danio rerio OX=7955 GN=colec11 PE=2 SV=1
OG0000003	Homo_sapiens_sp_Q9Y6Z7_COL10_HUMAN sp|Q9Y6Z7|COL10_HUMAN Collectin-10 OS=Homo sapiens OX=9606 GN=COLEC10 PE=1 SV=2	Danio_rerio_tr_Q504I3_Q504I3_DANRE tr|Q504I3|Q504I3_DANRE Hbl3 protein OS=Danio rerio OX=7955 GN=hbl3 PE=2 SV=1
OG0000003	Homo_sapiens_sp_Q5KU26_COL12_HUMAN sp|Q5KU26|COL12_HUMAN Collectin-12 OS=Homo sapiens OX=9606 GN=COLEC12 PE=1 SV=3	Danio_rerio_sp_A5PMY6_COL12_DANRE sp|A5PMY6|COL12_DANRE Collectin-12 OS=Danio rerio OX=7955 GN=colec12 PE=2 SV=1
OG0000003	Homo_sapiens_sp_Q9ULY5_CLC4E_HUMAN sp|Q9ULY5|CLC4E_HUMAN C-type lectin domain family 4 member E OS=Homo sapiens OX=9606 GN=CLEC4E PE=1 SV=1	Danio_rerio_tr_F1QW96_F1QW96_DANRE tr|F1QW96|F1QW96_DANRE CD209 molecule OS=Danio rerio OX=7955 GN=DC-SIGN PE=4 SV=1
OG0000004	Homo_sapiens_sp_Q6PCB0_VWA1_HUMAN sp|Q6PCB0|VWA1_HUMAN von Willebrand factor A domain-containing protein 1 OS=Homo sapiens OX=9606 GN=VWA1 PE=1 SV=1	Danio_rerio_sp_E7FF10_VWA1_DANRE sp|E7FF10|VWA1_DANRE von Willebrand factor A domain-containing protein 1 OS=Danio rerio OX=7955 GN=vwa1 PE=3 SV=1
OG0000004	Homo_sapiens_sp_Q02388_CO7A1_HUMAN sp|Q02388|CO7A1_HUMAN Collagen alpha-1_VII_ chain OS=Homo sapiens OX=9606 GN=COL7A1 PE=1 SV=2, Homo_sapiens_sp_Q9P218_COKA1_HUMAN sp|Q9P218|COKA1_HUMAN Collagen alpha-1_XX_ chain OS=Homo sapiens OX=9606 GN=COL20A1 PE=1 SV=4, Homo_sapiens_sp_Q99715_COCA1_HUMAN sp|Q99715|COCA1_HUMAN Collagen alpha-1_XII_ chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2, Homo_sapiens_sp_Q05707_COEA1_HUMAN sp|Q05707|COEA1_HUMAN Collagen alpha-1_XIV_ chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3	Danio_rerio_tr_F1R9Y1_F1R9Y1_DANRE tr|F1R9Y1|F1R9Y1_DANRE Collagen alpha-1_XIV_ chain isoform X2 OS=Danio rerio OX=7955 GN=col14a1a PE=1 SV=1
OG0000004	Homo_sapiens_sp_Q5GFL6_VWA2_HUMAN sp|Q5GFL6|VWA2_HUMAN von Willebrand factor A domain-containing protein 2 OS=Homo sapiens OX=9606 GN=VWA2 PE=1 SV=1	Danio_rerio_tr_U3JA51_U3JA51_DANRE tr|U3JA51|U3JA51_DANRE von Willebrand factor A domain-containing 2 OS=Danio rerio OX=7955 GN=vwa2 PE=1 SV=1
OG0000004	Homo_sapiens_sp_A8TX70_CO6A5_HUMAN sp|A8TX70|CO6A5_HUMAN Collagen alpha-5_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A5 PE=1 SV=1, Homo_sapiens_sp_A6NMZ7_CO6A6_HUMAN sp|A6NMZ7|CO6A6_HUMAN Collagen alpha-6_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A6 PE=1 SV=2, Homo_sapiens_sp_P12111_CO6A3_HUMAN sp|P12111|CO6A3_HUMAN Collagen alpha-3_VI_ chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5, Homo_sapiens_sp_Q6UXI7_VITRN_HUMAN sp|Q6UXI7|VITRN_HUMAN Vitrin OS=Homo sapiens OX=9606 GN=VIT PE=2 SV=1, Homo_sapiens_sp_O43405_COCH_HUMAN sp|O43405|COCH_HUMAN Cochlin OS=Homo sapiens OX=9606 GN=COCH PE=1 SV=1	Danio_rerio_tr_Q8AW56_Q8AW56_DANRE tr|Q8AW56|Q8AW56_DANRE Cochlin precursor OS=Danio rerio OX=7955 GN=OTTDARP00000001491 PE=1 SV=1
OG0000004	Homo_sapiens_sp_O95460_MATN4_HUMAN sp|O95460|MATN4_HUMAN Matrilin-4 OS=Homo sapiens OX=9606 GN=MATN4 PE=1 SV=3	Danio_rerio_tr_Q6PYX2_Q6PYX2_DANRE tr|Q6PYX2|Q6PYX2_DANRE Matrilin 4 OS=Danio rerio OX=7955 GN=im_7137546 PE=1 SV=1, Danio_rerio_tr_Q5NJJ5_Q5NJJ5_DANRE tr|Q5NJJ5|Q5NJJ5_DANRE Matrilin-4 OS=Danio rerio OX=7955 GN=im_7137546 PE=1 SV=1
OG0000004	Homo_sapiens_sp_Q96P44_COLA1_HUMAN sp|Q96P44|COLA1_HUMAN Collagen alpha-1_XXI_ chain OS=Homo sapiens OX=9606 GN=COL21A1 PE=2 SV=1, Homo_sapiens_sp_Q8NFW1_COMA1_HUMAN sp|Q8NFW1|COMA1_HUMAN Collagen alpha-1_XXII_ chain OS=Homo sapiens OX=9606 GN=COL22A1 PE=2 SV=2	Danio_rerio_tr_M5BFV8_M5BFV8_DANRE tr|M5BFV8|M5BFV8_DANRE Collagen alpha-1_XXII_ chain precursor OS=Danio rerio OX=7955 GN=prp PE=1 SV=1
