Orthogroup	Chordata_Vertebrata_Homo_sapiens	Placozoa_Trichoplacidae_Trichoplax_spec-H2
OG0000013	Homo_sapiens_sp_Q9H1J5_WNT8A_HUMAN sp|Q9H1J5|WNT8A_HUMAN Protein Wnt-8a OS=Homo sapiens OX=9606 GN=WNT8A PE=1 SV=2	Trichoplax_specH2_tr_A0A369RTS8_A0A369RTS8_9METZ tr|A0A369RTS8|A0A369RTS8_9METZ Protein Wnt OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010556 PE=3 SV=1, Trichoplax_specH2_tr_A0A369SL16_A0A369SL16_9METZ tr|A0A369SL16|A0A369SL16_9METZ Protein Wnt OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_000144 PE=3 SV=1
OG0000014	Homo_sapiens_sp_Q86TH1_ATL2_HUMAN sp|Q86TH1|ATL2_HUMAN ADAMTS-like protein 2 OS=Homo sapiens OX=9606 GN=ADAMTSL2 PE=1 SV=1, Homo_sapiens_sp_Q6UY14_ATL4_HUMAN sp|Q6UY14|ATL4_HUMAN ADAMTS-like protein 4 OS=Homo sapiens OX=9606 GN=ADAMTSL4 PE=1 SV=2, Homo_sapiens_sp_Q6ZMP0_THSD4_HUMAN sp|Q6ZMP0|THSD4_HUMAN Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=THSD4 PE=1 SV=2, Homo_sapiens_sp_Q8N6G6_ATL1_HUMAN sp|Q8N6G6|ATL1_HUMAN ADAMTS-like protein 1 OS=Homo sapiens OX=9606 GN=ADAMTSL1 PE=1 SV=4, Homo_sapiens_sp_P82987_ATL3_HUMAN sp|P82987|ATL3_HUMAN ADAMTS-like protein 3 OS=Homo sapiens OX=9606 GN=ADAMTSL3 PE=1 SV=4, Homo_sapiens_sp_Q8TE57_ATS16_HUMAN sp|Q8TE57|ATS16_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 16 OS=Homo sapiens OX=9606 GN=ADAMTS16 PE=2 SV=3, Homo_sapiens_sp_Q8TE60_ATS18_HUMAN sp|Q8TE60|ATS18_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 18 OS=Homo sapiens OX=9606 GN=ADAMTS18 PE=1 SV=3, Homo_sapiens_sp_O95450_ATS2_HUMAN sp|O95450|ATS2_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Homo sapiens OX=9606 GN=ADAMTS2 PE=2 SV=2, Homo_sapiens_sp_Q8WXS8_ATS14_HUMAN sp|Q8WXS8|ATS14_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 14 OS=Homo sapiens OX=9606 GN=ADAMTS14 PE=2 SV=2, Homo_sapiens_sp_Q9UKP4_ATS7_HUMAN sp|Q9UKP4|ATS7_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Homo sapiens OX=9606 GN=ADAMTS7 PE=1 SV=2, Homo_sapiens_sp_P58397_ATS12_HUMAN sp|P58397|ATS12_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Homo sapiens OX=9606 GN=ADAMTS12 PE=1 SV=2, Homo_sapiens_sp_Q8TE56_ATS17_HUMAN sp|Q8TE56|ATS17_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 17 OS=Homo sapiens OX=9606 GN=ADAMTS17 PE=2 SV=2, Homo_sapiens_sp_Q8TE59_ATS19_HUMAN sp|Q8TE59|ATS19_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Homo sapiens OX=9606 GN=ADAMTS19 PE=1 SV=2, Homo_sapiens_sp_O95428_PPN_HUMAN sp|O95428|PPN_HUMAN Papilin OS=Homo sapiens OX=9606 GN=PAPLN PE=2 SV=4, Homo_sapiens_sp_Q9P2N4_ATS9_HUMAN sp|Q9P2N4|ATS9_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Homo sapiens OX=9606 GN=ADAMTS9 PE=1 SV=4, Homo_sapiens_sp_Q9UNA0_ATS5_HUMAN sp|Q9UNA0|ATS5_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Homo sapiens OX=9606 GN=ADAMTS5 PE=1 SV=2, Homo_sapiens_sp_O75173_ATS4_HUMAN sp|O75173|ATS4_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Homo sapiens OX=9606 GN=ADAMTS4 PE=1 SV=3, Homo_sapiens_sp_Q8TE58_ATS15_HUMAN sp|Q8TE58|ATS15_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 15 OS=Homo sapiens OX=9606 GN=ADAMTS15 PE=2 SV=1, Homo_sapiens_sp_Q9UHI8_ATS1_HUMAN sp|Q9UHI8|ATS1_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Homo sapiens OX=9606 GN=ADAMTS1 PE=1 SV=4, Homo_sapiens_sp_Q9UP79_ATS8_HUMAN sp|Q9UP79|ATS8_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Homo sapiens OX=9606 GN=ADAMTS8 PE=2 SV=2	Trichoplax_specH2_tr_A0A369S333_A0A369S333_9METZ tr|A0A369S333|A0A369S333_9METZ A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005653 PE=4 SV=1
OG0000017	Homo_sapiens_sp_P05121_PAI1_HUMAN sp|P05121|PAI1_HUMAN Plasminogen activator inhibitor 1 OS=Homo sapiens OX=9606 GN=SERPINE1 PE=1 SV=1, Homo_sapiens_sp_P07093_GDN_HUMAN sp|P07093|GDN_HUMAN Glia-derived nexin OS=Homo sapiens OX=9606 GN=SERPINE2 PE=1 SV=1	Trichoplax_specH2_tr_A0A369SDI5_A0A369SDI5_9METZ tr|A0A369SDI5|A0A369SDI5_9METZ Neuroserpin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002454 PE=3 SV=1
OG0000017	Homo_sapiens_sp_P01008_ANT3_HUMAN sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1, Homo_sapiens_sp_P30740_ILEU_HUMAN sp|P30740|ILEU_HUMAN Leukocyte elastase inhibitor OS=Homo sapiens OX=9606 GN=SERPINB1 PE=1 SV=1, Homo_sapiens_sp_P35237_SPB6_HUMAN sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3, Homo_sapiens_sp_P50453_SPB9_HUMAN sp|P50453|SPB9_HUMAN Serpin B9 OS=Homo sapiens OX=9606 GN=SERPINB9 PE=1 SV=1, Homo_sapiens_sp_P50452_SPB8_HUMAN sp|P50452|SPB8_HUMAN Serpin B8 OS=Homo sapiens OX=9606 GN=SERPINB8 PE=1 SV=2, Homo_sapiens_sp_P36952_SPB5_HUMAN sp|P36952|SPB5_HUMAN Serpin B5 OS=Homo sapiens OX=9606 GN=SERPINB5 PE=1 SV=2, Homo_sapiens_sp_P48595_SPB10_HUMAN sp|P48595|SPB10_HUMAN Serpin B10 OS=Homo sapiens OX=9606 GN=SERPINB10 PE=1 SV=1, Homo_sapiens_sp_Q96P63_SPB12_HUMAN sp|Q96P63|SPB12_HUMAN Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1, Homo_sapiens_sp_P48594_SPB4_HUMAN sp|P48594|SPB4_HUMAN Serpin B4 OS=Homo sapiens OX=9606 GN=SERPINB4 PE=1 SV=2, Homo_sapiens_sp_P29508_SPB3_HUMAN sp|P29508|SPB3_HUMAN Serpin B3 OS=Homo sapiens OX=9606 GN=SERPINB3 PE=1 SV=2, Homo_sapiens_sp_O75635_SPB7_HUMAN sp|O75635|SPB7_HUMAN Serpin B7 OS=Homo sapiens OX=9606 GN=SERPINB7 PE=1 SV=1	Trichoplax_specH2_tr_A0A369S4E6_A0A369S4E6_9METZ tr|A0A369S4E6|A0A369S4E6_9METZ Serpin B10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006507 PE=3 SV=1, Trichoplax_specH2_tr_A0A369S5H0_A0A369S5H0_9METZ tr|A0A369S5H0|A0A369S5H0_9METZ Serpin B9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006508 PE=3 SV=1
OG0000018	Homo_sapiens_sp_Q9UGM3_DMBT1_HUMAN sp|Q9UGM3|DMBT1_HUMAN Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2	Trichoplax_specH2_tr_A0A369S493_A0A369S493_9METZ tr|A0A369S493|A0A369S493_9METZ Sortilin-related receptor OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007580 PE=3 SV=1
OG0000019	Homo_sapiens_sp_P55103_INHBC_HUMAN sp|P55103|INHBC_HUMAN Inhibin beta C chain OS=Homo sapiens OX=9606 GN=INHBC PE=2 SV=1, Homo_sapiens_sp_P58166_INHBE_HUMAN sp|P58166|INHBE_HUMAN Inhibin beta E chain OS=Homo sapiens OX=9606 GN=INHBE PE=1 SV=1, Homo_sapiens_sp_P08476_INHBA_HUMAN sp|P08476|INHBA_HUMAN Inhibin beta A chain OS=Homo sapiens OX=9606 GN=INHBA PE=1 SV=2	Trichoplax_specH2_tr_A0A369SHA9_A0A369SHA9_9METZ tr|A0A369SHA9|A0A369SHA9_9METZ Growth/differentiation factor 8 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001421 PE=3 SV=1
OG0000021	Homo_sapiens_sp_Q14112_NID2_HUMAN sp|Q14112|NID2_HUMAN Nidogen-2 OS=Homo sapiens OX=9606 GN=NID2 PE=1 SV=3, Homo_sapiens_sp_P14543_NID1_HUMAN sp|P14543|NID1_HUMAN Nidogen-1 OS=Homo sapiens OX=9606 GN=NID1 PE=1 SV=3	Trichoplax_specH2_tr_A0A369RTQ1_A0A369RTQ1_9METZ tr|A0A369RTQ1|A0A369RTQ1_9METZ Nidogen-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009409 PE=4 SV=1
OG0000022	Homo_sapiens_sp_Q9UJ72_ANX10_HUMAN sp|Q9UJ72|ANX10_HUMAN Annexin A10 OS=Homo sapiens OX=9606 GN=ANXA10 PE=1 SV=3	Trichoplax_specH2_tr_A0A369SEG5_A0A369SEG5_9METZ tr|A0A369SEG5|A0A369SEG5_9METZ Annexin A13 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002403 PE=3 SV=1
OG0000022	Homo_sapiens_sp_P20073_ANXA7_HUMAN sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3	Trichoplax_specH2_tr_A0A369SFY9_A0A369SFY9_9METZ tr|A0A369SFY9|A0A369SFY9_9METZ Annexin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002457 PE=3 SV=1
OG0000023	Homo_sapiens_sp_P78325_ADAM8_HUMAN sp|P78325|ADAM8_HUMAN Disintegrin and metalloproteinase domain-containing protein 8 OS=Homo sapiens OX=9606 GN=ADAM8 PE=1 SV=2, Homo_sapiens_sp_Q9H2U9_ADAM7_HUMAN sp|Q9H2U9|ADAM7_HUMAN Disintegrin and metalloproteinase domain-containing protein 7 OS=Homo sapiens OX=9606 GN=ADAM7 PE=1 SV=3, Homo_sapiens_sp_O15204_ADEC1_HUMAN sp|O15204|ADEC1_HUMAN ADAM DEC1 OS=Homo sapiens OX=9606 GN=ADAMDEC1 PE=1 SV=2, Homo_sapiens_sp_Q9UKJ8_ADA21_HUMAN sp|Q9UKJ8|ADA21_HUMAN Disintegrin and metalloproteinase domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ADAM21 PE=1 SV=2, Homo_sapiens_sp_Q9UKF2_ADA30_HUMAN sp|Q9UKF2|ADA30_HUMAN Disintegrin and metalloproteinase domain-containing protein 30 OS=Homo sapiens OX=9606 GN=ADAM30 PE=1 SV=2, Homo_sapiens_sp_Q13443_ADAM9_HUMAN sp|Q13443|ADAM9_HUMAN Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens OX=9606 GN=ADAM9 PE=1 SV=1, Homo_sapiens_sp_O43184_ADA12_HUMAN sp|O43184|ADA12_HUMAN Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens OX=9606 GN=ADAM12 PE=1 SV=3, Homo_sapiens_sp_Q13444_ADA15_HUMAN sp|Q13444|ADA15_HUMAN Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens OX=9606 GN=ADAM15 PE=1 SV=4, Homo_sapiens_sp_O75077_ADA23_HUMAN sp|O75077|ADA23_HUMAN Disintegrin and metalloproteinase domain-containing protein 23 OS=Homo sapiens OX=9606 GN=ADAM23 PE=1 SV=1, Homo_sapiens_sp_Q9P0K1_ADA22_HUMAN sp|Q9P0K1|ADA22_HUMAN Disintegrin and metalloproteinase domain-containing protein 22 OS=Homo sapiens OX=9606 GN=ADAM22 PE=1 SV=1	Trichoplax_specH2_tr_A0A369RUH1_A0A369RUH1_9METZ tr|A0A369RUH1|A0A369RUH1_9METZ Disintegrin and metalloproteinase domain-containing protein 12 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009954 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RP58_A0A369RP58_9METZ tr|A0A369RP58|A0A369RP58_9METZ Disintegrin and metalloproteinase domain-containing protein 9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011592 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RUI2_A0A369RUI2_9METZ tr|A0A369RUI2|A0A369RUI2_9METZ Disintegrin and metalloproteinase domain-containing protein 12 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009955 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RUG6_A0A369RUG6_9METZ tr|A0A369RUG6|A0A369RUG6_9METZ Disintegrin and metalloproteinase domain-containing protein 9 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009958 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RNG1_A0A369RNG1_9METZ tr|A0A369RNG1|A0A369RNG1_9METZ Disintegrin and metalloproteinase domain-containing protein 12 _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011748 PE=4 SV=1
OG0000024	Homo_sapiens_sp_Q96NZ8_WFKN1_HUMAN sp|Q96NZ8|WFKN1_HUMAN WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 OS=Homo sapiens OX=9606 GN=WFIKKN1 PE=1 SV=1	Trichoplax_specH2_tr_A0A369RTM3_A0A369RTM3_9METZ tr|A0A369RTM3|A0A369RTM3_9METZ Boophilin-H2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009566 PE=4 SV=1
OG0000028	Homo_sapiens_sp_P02462_CO4A1_HUMAN sp|P02462|CO4A1_HUMAN Collagen alpha-1_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A1 PE=1 SV=4, Homo_sapiens_sp_P29400_CO4A5_HUMAN sp|P29400|CO4A5_HUMAN Collagen alpha-5_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A5 PE=1 SV=2, Homo_sapiens_sp_Q01955_CO4A3_HUMAN sp|Q01955|CO4A3_HUMAN Collagen alpha-3_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A3 PE=1 SV=3, Homo_sapiens_sp_P08572_CO4A2_HUMAN sp|P08572|CO4A2_HUMAN Collagen alpha-2_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A2 PE=1 SV=4, Homo_sapiens_sp_Q14031_CO4A6_HUMAN sp|Q14031|CO4A6_HUMAN Collagen alpha-6_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A6 PE=1 SV=3, Homo_sapiens_sp_P53420_CO4A4_HUMAN sp|P53420|CO4A4_HUMAN Collagen alpha-4_IV_ chain OS=Homo sapiens OX=9606 GN=COL4A4 PE=1 SV=3	Trichoplax_specH2_tr_A0A369SN44_A0A369SN44_9METZ tr|A0A369SN44|A0A369SN44_9METZ Collagen alpha-1_IV_ chain OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_000807 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SLF9_A0A369SLF9_9METZ tr|A0A369SLF9|A0A369SLF9_9METZ Collagen alpha-1_IV_ chain OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_000806 PE=4 SV=1
OG0000030	Homo_sapiens_sp_P78536_ADA17_HUMAN sp|P78536|ADA17_HUMAN Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ADAM17 PE=1 SV=1	Trichoplax_specH2_tr_A0A369S5E1_A0A369S5E1_9METZ tr|A0A369S5E1|A0A369S5E1_9METZ ADAM 17-like protease OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005778 PE=4 SV=1
OG0000030	Homo_sapiens_sp_O14672_ADA10_HUMAN sp|O14672|ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1	Trichoplax_specH2_tr_A0A369SER2_A0A369SER2_9METZ tr|A0A369SER2|A0A369SER2_9METZ Disintegrin and metalloproteinase domain-containing protein 10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003217 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S7J2_A0A369S7J2_9METZ tr|A0A369S7J2|A0A369S7J2_9METZ Disintegrin and metalloproteinase domain-containing protein 10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005268 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXA9_A0A369RXA9_9METZ tr|A0A369RXA9|A0A369RXA9_9METZ Disintegrin and metalloproteinase domain-containing protein 10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009082 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RV51_A0A369RV51_9METZ tr|A0A369RV51|A0A369RV51_9METZ Disintegrin and metalloproteinase domain-containing protein 10 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008658 PE=4 SV=1
OG0000034	Homo_sapiens_sp_Q7Z7M0_MEGF8_HUMAN sp|Q7Z7M0|MEGF8_HUMAN Multiple epidermal growth factor-like domains protein 8 OS=Homo sapiens OX=9606 GN=MEGF8 PE=1 SV=2	Trichoplax_specH2_tr_A0A369SCB4_A0A369SCB4_9METZ tr|A0A369SCB4|A0A369SCB4_9METZ Multiple epidermal growth factor-like domains protein 8 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_004337 PE=4 SV=1
OG0000045	Homo_sapiens_sp_P25391_LAMA1_HUMAN sp|P25391|LAMA1_HUMAN Laminin subunit alpha-1 OS=Homo sapiens OX=9606 GN=LAMA1 PE=1 SV=2, Homo_sapiens_sp_P24043_LAMA2_HUMAN sp|P24043|LAMA2_HUMAN Laminin subunit alpha-2 OS=Homo sapiens OX=9606 GN=LAMA2 PE=1 SV=4	Trichoplax_specH2_tr_A0A369SH79_A0A369SH79_9METZ tr|A0A369SH79|A0A369SH79_9METZ Laminin subunit alpha-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001452 PE=4 SV=1
