Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000001	Stylophora_pistillata_Spis8306 Spis8306 SpisGene8306	Nematostella_vectensis_NV2t012653001.1 NV2t012653001.1, Nematostella_vectensis_NV2t012583001.1 NV2t012583001.1, Nematostella_vectensis_NV2t023796001.1 NV2t023796001.1
OG0000001	Stylophora_pistillata_Spis9292 Spis9292 SpisGene9292	Nematostella_vectensis_NV2t022951001.1 NV2t022951001.1
OG0000001	Stylophora_pistillata_Spis11787 Spis11787 SpisGene11787, Stylophora_pistillata_Spis11782 Spis11782 SpisGene11782	Nematostella_vectensis_NV2t011373001.1 NV2t011373001.1, Nematostella_vectensis_NV2t011373002.1 NV2t011373002.1
OG0000001	Stylophora_pistillata_Spis18233 Spis18233 SpisGene18233	Nematostella_vectensis_NV2t020188002.1 NV2t020188002.1, Nematostella_vectensis_NV2t020188001.1 NV2t020188001.1
OG0000001	Stylophora_pistillata_Spis7755 Spis7755 SpisGene7755	Nematostella_vectensis_NV2t020819001.1 NV2t020819001.1
OG0000001	Stylophora_pistillata_Spis6005 Spis6005 SpisGene6005	Nematostella_vectensis_NV2t019077001.1 NV2t019077001.1
OG0000001	Stylophora_pistillata_Spis18234 Spis18234 SpisGene18234	Nematostella_vectensis_NV2t011797001.1 NV2t011797001.1, Nematostella_vectensis_NV2t012753001.1 NV2t012753001.1, Nematostella_vectensis_NV2t012755001.1 NV2t012755001.1, Nematostella_vectensis_NV2t022551001.1 NV2t022551001.1
OG0000001	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904	Nematostella_vectensis_NV2t006892003.1 NV2t006892003.1, Nematostella_vectensis_NV2t006892004.1 NV2t006892004.1, Nematostella_vectensis_NV2t006892002.1 NV2t006892002.1, Nematostella_vectensis_NV2t006892001.1 NV2t006892001.1
OG0000001	Stylophora_pistillata_Spis1143 Spis1143 SpisGene1143	Nematostella_vectensis_NV2t022749001.1 NV2t022749001.1
OG0000001	Stylophora_pistillata_Spis5109 Spis5109 SpisGene5109, Stylophora_pistillata_Spis11419 Spis11419 SpisGene11419, Stylophora_pistillata_Spis21987 Spis21987 SpisGene21987, Stylophora_pistillata_Spis24610 Spis24610 SpisGene24610, Stylophora_pistillata_Spis22210 Spis22210 SpisGene22210, Stylophora_pistillata_Spis24398 Spis24398 SpisGene24398, Stylophora_pistillata_Spis24081 Spis24081 SpisGene24081, Stylophora_pistillata_Spis24899 Spis24899 SpisGene24899, Stylophora_pistillata_Spis19806 Spis19806 SpisGene19806, Stylophora_pistillata_Spis23518 Spis23518 SpisGene23518, Stylophora_pistillata_Spis20488 Spis20488 SpisGene20488, Stylophora_pistillata_Spis23519 Spis23519 SpisGene23519, Stylophora_pistillata_Spis5097 Spis5097 SpisGene5097, Stylophora_pistillata_Spis5101 Spis5101 SpisGene5101, Stylophora_pistillata_Spis5096 Spis5096 SpisGene5096, Stylophora_pistillata_Spis5106 Spis5106 SpisGene5106, Stylophora_pistillata_Spis5102 Spis5102 SpisGene5102, Stylophora_pistillata_Spis5094 Spis5094 SpisGene5094, Stylophora_pistillata_Spis5093 Spis5093 SpisGene5093, Stylophora_pistillata_Spis5095 Spis5095 SpisGene5095, Stylophora_pistillata_Spis24105 Spis24105 SpisGene24105, Stylophora_pistillata_Spis20490 Spis20490 SpisGene20490, Stylophora_pistillata_Spis22211 Spis22211 SpisGene22211, Stylophora_pistillata_Spis24728 Spis24728 SpisGene24728, Stylophora_pistillata_Spis23949 Spis23949 SpisGene23949, Stylophora_pistillata_Spis12953 Spis12953 SpisGene12953, Stylophora_pistillata_Spis21985 Spis21985 SpisGene21985, Stylophora_pistillata_Spis19805 Spis19805 SpisGene19805, Stylophora_pistillata_Spis5111 Spis5111 SpisGene5111, Stylophora_pistillata_Spis19804 Spis19804 SpisGene19804, Stylophora_pistillata_Spis5105 Spis5105 SpisGene5105, Stylophora_pistillata_Spis19843 Spis19843 SpisGene19843, Stylophora_pistillata_Spis18723 Spis18723 SpisGene18723, Stylophora_pistillata_Spis23389 Spis23389 SpisGene23389, Stylophora_pistillata_Spis25572 Spis25572 SpisGene25572, Stylophora_pistillata_Spis12952 Spis12952 SpisGene12952, Stylophora_pistillata_Spis25533 Spis25533 SpisGene25533	Nematostella_vectensis_NV2t011900001.1 NV2t011900001.1, Nematostella_vectensis_NV2t000599002.1 NV2t000599002.1, Nematostella_vectensis_NV2t000599001.1 NV2t000599001.1
OG0000001	Stylophora_pistillata_Spis16360 Spis16360 SpisGene16360	Nematostella_vectensis_NV2t003810001.1 NV2t003810001.1
OG0000001	Stylophora_pistillata_Spis17176 Spis17176 SpisGene17176	Nematostella_vectensis_NV2t013521001.1 NV2t013521001.1
OG0000001	Stylophora_pistillata_Spis16684 Spis16684 SpisGene16684, Stylophora_pistillata_Spis16687 Spis16687 SpisGene16687, Stylophora_pistillata_Spis23488 Spis23488 SpisGene23488, Stylophora_pistillata_Spis16688 Spis16688 SpisGene16688	Nematostella_vectensis_NV2t000743001.1 NV2t000743001.1
OG0000001	Stylophora_pistillata_Spis2957 Spis2957 SpisGene2957	Nematostella_vectensis_NV2t000570001.1 NV2t000570001.1
OG0000001	Stylophora_pistillata_Spis12987 Spis12987 SpisGene12987	Nematostella_vectensis_NV2t010732001.1 NV2t010732001.1
OG0000001	Stylophora_pistillata_Spis14826.t2 Spis14826.t2 SpisGene14826	Nematostella_vectensis_NV2t012207001.1 NV2t012207001.1, Nematostella_vectensis_NV2t011960001.1 NV2t011960001.1
OG0000001	Stylophora_pistillata_Spis5051 Spis5051 SpisGene5051	Nematostella_vectensis_NV2t001802001.1 NV2t001802001.1
OG0000001	Stylophora_pistillata_Spis2356 Spis2356 SpisGene2356	Nematostella_vectensis_NV2t020014001.1 NV2t020014001.1
OG0000001	Stylophora_pistillata_Spis313 Spis313 SpisGene313	Nematostella_vectensis_NV2t025734001.1 NV2t025734001.1
OG0000001	Stylophora_pistillata_Spis312 Spis312 SpisGene312	Nematostella_vectensis_NV2t025732001.1 NV2t025732001.1
OG0000001	Stylophora_pistillata_Spis3304 Spis3304 SpisGene3304	Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1
OG0000001	Stylophora_pistillata_Spis315 Spis315 SpisGene315	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1
OG0000001	Stylophora_pistillata_Spis22126 Spis22126 SpisGene22126	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1
OG0000001	Stylophora_pistillata_Spis645.t2 Spis645.t2 SpisGene645	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1
OG0000001	Stylophora_pistillata_Spis598 Spis598 SpisGene598	Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1
OG0000002	Stylophora_pistillata_Spis16237 Spis16237 SpisGene16237	Nematostella_vectensis_NV2t017239001.1 NV2t017239001.1
OG0000002	Stylophora_pistillata_Spis3382 Spis3382 SpisGene3382	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1
OG0000002	Stylophora_pistillata_Spis10996 Spis10996 SpisGene10996, Stylophora_pistillata_Spis19048 Spis19048 SpisGene19048	Nematostella_vectensis_NV2t014418001.1 NV2t014418001.1
OG0000002	Stylophora_pistillata_Spis15041 Spis15041 SpisGene15041	Nematostella_vectensis_NV2t015519002.1 NV2t015519002.1, Nematostella_vectensis_NV2t015519001.1 NV2t015519001.1
OG0000002	Stylophora_pistillata_Spis3385.t1 Spis3385.t1 SpisGene3385	Nematostella_vectensis_NV2t023886001.1 NV2t023886001.1, Nematostella_vectensis_NV2t023886003.1 NV2t023886003.1, Nematostella_vectensis_NV2t023886002.1 NV2t023886002.1
OG0000002	Stylophora_pistillata_Spis10820 Spis10820 SpisGene10820	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1
OG0000002	Stylophora_pistillata_Spis372 Spis372 SpisGene372	Nematostella_vectensis_NV2t022863003.1 NV2t022863003.1, Nematostella_vectensis_NV2t022863001.1 NV2t022863001.1, Nematostella_vectensis_NV2t022863002.1 NV2t022863002.1
OG0000002	Stylophora_pistillata_Spis10500 Spis10500 SpisGene10500	Nematostella_vectensis_NV2t011502001.1 NV2t011502001.1
OG0000002	Stylophora_pistillata_Spis4974 Spis4974 SpisGene4974, Stylophora_pistillata_Spis9568 Spis9568 SpisGene9568, Stylophora_pistillata_Spis14369 Spis14369 SpisGene14369	Nematostella_vectensis_NV2t002146001.1 NV2t002146001.1
OG0000002	Stylophora_pistillata_Spis16680 Spis16680 SpisGene16680	Nematostella_vectensis_NV2t002780001.1 NV2t002780001.1, Nematostella_vectensis_NV2t000737001.1 NV2t000737001.1
OG0000002	Stylophora_pistillata_Spis12983 Spis12983 SpisGene12983	Nematostella_vectensis_NV2t010733001.1 NV2t010733001.1
OG0000002	Stylophora_pistillata_Spis10028 Spis10028 SpisGene10028	Nematostella_vectensis_NV2t004066003.1 NV2t004066003.1, Nematostella_vectensis_NV2t004066001.1 NV2t004066001.1, Nematostella_vectensis_NV2t004066002.1 NV2t004066002.1
OG0000002	Stylophora_pistillata_Spis14421 Spis14421 SpisGene14421	Nematostella_vectensis_NV2t014005001.1 NV2t014005001.1
OG0000002	Stylophora_pistillata_Spis5273 Spis5273 SpisGene5273	Nematostella_vectensis_NV2t018541001.1 NV2t018541001.1
OG0000002	Stylophora_pistillata_Spis16169 Spis16169 SpisGene16169	Nematostella_vectensis_NV2t015933002.1 NV2t015933002.1, Nematostella_vectensis_NV2t015933001.1 NV2t015933001.1
OG0000002	Stylophora_pistillata_Spis3252 Spis3252 SpisGene3252	Nematostella_vectensis_NV2t024746001.1 NV2t024746001.1
OG0000002	Stylophora_pistillata_Spis12792 Spis12792 SpisGene12792	Nematostella_vectensis_NV2t025346001.1 NV2t025346001.1
OG0000003	Stylophora_pistillata_Spis11319 Spis11319 SpisGene11319	Nematostella_vectensis_NV2t012859002.1 NV2t012859002.1, Nematostella_vectensis_NV2t012859001.1 NV2t012859001.1
OG0000003	Stylophora_pistillata_Spis23171 Spis23171 SpisGene23171	Nematostella_vectensis_NV2t006897002.1 NV2t006897002.1, Nematostella_vectensis_NV2t013189001.1 NV2t013189001.1, Nematostella_vectensis_NV2t013189002.1 NV2t013189002.1
OG0000003	Stylophora_pistillata_Spis4789 Spis4789 SpisGene4789	Nematostella_vectensis_NV2t012172001.1 NV2t012172001.1, Nematostella_vectensis_NV2t012165001.1 NV2t012165001.1
OG0000003	Stylophora_pistillata_Spis5031 Spis5031 SpisGene5031	Nematostella_vectensis_NV2t021307001.1 NV2t021307001.1
OG0000003	Stylophora_pistillata_Spis15966 Spis15966 SpisGene15966	Nematostella_vectensis_NV2t018585001.1 NV2t018585001.1, Nematostella_vectensis_NV2t018585002.1 NV2t018585002.1
OG0000003	Stylophora_pistillata_Spis6956 Spis6956 SpisGene6956, Stylophora_pistillata_Spis10999 Spis10999 SpisGene10999	Nematostella_vectensis_NV2t010232001.1 NV2t010232001.1
OG0000003	Stylophora_pistillata_Spis6157 Spis6157 SpisGene6157	Nematostella_vectensis_NV2t005928002.1 NV2t005928002.1, Nematostella_vectensis_NV2t018136001.1 NV2t018136001.1
OG0000003	Stylophora_pistillata_Spis9880 Spis9880 SpisGene9880	Nematostella_vectensis_NV2t017872001.1 NV2t017872001.1
OG0000003	Stylophora_pistillata_Spis4153.t1 Spis4153.t1 SpisGene4153	Nematostella_vectensis_NV2t021375001.1 NV2t021375001.1
OG0000003	Stylophora_pistillata_Spis17921 Spis17921 SpisGene17921, Stylophora_pistillata_Spis17923 Spis17923 SpisGene17923, Stylophora_pistillata_Spis17924 Spis17924 SpisGene17924, Stylophora_pistillata_Spis15291 Spis15291 SpisGene15291	Nematostella_vectensis_NV2t013847001.1 NV2t013847001.1, Nematostella_vectensis_NV2t014543001.1 NV2t014543001.1
OG0000003	Stylophora_pistillata_Spis7813 Spis7813 SpisGene7813, Stylophora_pistillata_Spis5543 Spis5543 SpisGene5543	Nematostella_vectensis_NV2t025674001.1 NV2t025674001.1, Nematostella_vectensis_NV2t025675002.1 NV2t025675002.1, Nematostella_vectensis_NV2t025675001.1 NV2t025675001.1, Nematostella_vectensis_NV2t010399001.1 NV2t010399001.1, Nematostella_vectensis_NV2t018114001.1 NV2t018114001.1, Nematostella_vectensis_NV2t005984001.1 NV2t005984001.1
OG0000003	Stylophora_pistillata_Spis14636 Spis14636 SpisGene14636	Nematostella_vectensis_NV2t015872001.1 NV2t015872001.1
OG0000003	Stylophora_pistillata_Spis3605 Spis3605 SpisGene3605	Nematostella_vectensis_NV2t010390001.1 NV2t010390001.1, Nematostella_vectensis_NV2t010388001.1 NV2t010388001.1, Nematostella_vectensis_NV2t010388002.1 NV2t010388002.1
OG0000003	Stylophora_pistillata_Spis7146.t1 Spis7146.t1 SpisGene7146	Nematostella_vectensis_NV2t025143001.1 NV2t025143001.1
OG0000003	Stylophora_pistillata_Spis21314 Spis21314 SpisGene21314	Nematostella_vectensis_NV2t012181001.1 NV2t012181001.1
OG0000003	Stylophora_pistillata_Spis25012 Spis25012 SpisGene25012	Nematostella_vectensis_NV2t020861001.1 NV2t020861001.1
OG0000003	Stylophora_pistillata_Spis22322 Spis22322 SpisGene22322, Stylophora_pistillata_Spis22423 Spis22423 SpisGene22423, Stylophora_pistillata_Spis22351 Spis22351 SpisGene22351, Stylophora_pistillata_Spis22421 Spis22421 SpisGene22421, Stylophora_pistillata_Spis19258 Spis19258 SpisGene19258, Stylophora_pistillata_Spis15693 Spis15693 SpisGene15693, Stylophora_pistillata_Spis15691 Spis15691 SpisGene15691, Stylophora_pistillata_Spis20399 Spis20399 SpisGene20399, Stylophora_pistillata_Spis22352 Spis22352 SpisGene22352	Nematostella_vectensis_NV2t020944001.1 NV2t020944001.1, Nematostella_vectensis_NV2t023776001.1 NV2t023776001.1, Nematostella_vectensis_NV2t023765001.1 NV2t023765001.1
OG0000003	Stylophora_pistillata_Spis18451 Spis18451 SpisGene18451, Stylophora_pistillata_Spis15328 Spis15328 SpisGene15328, Stylophora_pistillata_Spis23195 Spis23195 SpisGene23195, Stylophora_pistillata_Spis22238 Spis22238 SpisGene22238, Stylophora_pistillata_Spis21940 Spis21940 SpisGene21940, Stylophora_pistillata_Spis21152 Spis21152 SpisGene21152, Stylophora_pistillata_Spis7666 Spis7666 SpisGene7666, Stylophora_pistillata_Spis7667 Spis7667 SpisGene7667, Stylophora_pistillata_Spis21151 Spis21151 SpisGene21151, Stylophora_pistillata_Spis21153 Spis21153 SpisGene21153, Stylophora_pistillata_Spis21146 Spis21146 SpisGene21146, Stylophora_pistillata_Spis7664 Spis7664 SpisGene7664, Stylophora_pistillata_Spis7665 Spis7665 SpisGene7665	Nematostella_vectensis_NV2t019491001.1 NV2t019491001.1, Nematostella_vectensis_NV2t005939001.1 NV2t005939001.1, Nematostella_vectensis_NV2t007828001.1 NV2t007828001.1
OG0000003	Stylophora_pistillata_Spis13317 Spis13317 SpisGene13317	Nematostella_vectensis_NV2t004783003.1 NV2t004783003.1, Nematostella_vectensis_NV2t004783001.1 NV2t004783001.1
OG0000003	Stylophora_pistillata_Spis24974 Spis24974 SpisGene24974, Stylophora_pistillata_Spis5993 Spis5993 SpisGene5993	Nematostella_vectensis_NV2t007683001.1 NV2t007683001.1
OG0000004	Stylophora_pistillata_Spis5092 Spis5092 SpisGene5092	Nematostella_vectensis_NV2t001610001.1 NV2t001610001.1, Nematostella_vectensis_NV2t001610003.1 NV2t001610003.1
OG0000004	Stylophora_pistillata_Spis19275 Spis19275 SpisGene19275	Nematostella_vectensis_NV2t020957001.1 NV2t020957001.1, Nematostella_vectensis_NV2t020956001.1 NV2t020956001.1, Nematostella_vectensis_NV2t020522006.1 NV2t020522006.1, Nematostella_vectensis_NV2t020522008.1 NV2t020522008.1, Nematostella_vectensis_NV2t020522007.1 NV2t020522007.1, Nematostella_vectensis_NV2t020522003.1 NV2t020522003.1, Nematostella_vectensis_NV2t020522004.1 NV2t020522004.1, Nematostella_vectensis_NV2t020522005.1 NV2t020522005.1, Nematostella_vectensis_NV2t020522002.1 NV2t020522002.1, Nematostella_vectensis_NV2t020522001.1 NV2t020522001.1
OG0000004	Stylophora_pistillata_Spis20569 Spis20569 SpisGene20569	Nematostella_vectensis_NV2t011511001.1 NV2t011511001.1
OG0000004	Stylophora_pistillata_Spis4237 Spis4237 SpisGene4237	Nematostella_vectensis_NV2t024201001.1 NV2t024201001.1
OG0000004	Stylophora_pistillata_Spis2743 Spis2743 SpisGene2743	Nematostella_vectensis_NV2t011796001.1 NV2t011796001.1
OG0000004	Stylophora_pistillata_Spis9593 Spis9593 SpisGene9593	Nematostella_vectensis_NV2t018428001.1 NV2t018428001.1
OG0000004	Stylophora_pistillata_Spis6222 Spis6222 SpisGene6222	Nematostella_vectensis_NV2t013622002.1 NV2t013622002.1
OG0000004	Stylophora_pistillata_Spis23738 Spis23738 SpisGene23738, Stylophora_pistillata_Spis5287 Spis5287 SpisGene5287	Nematostella_vectensis_NV2t009760001.1 NV2t009760001.1, Nematostella_vectensis_NV2t008618001.1 NV2t008618001.1, Nematostella_vectensis_NV2t000845001.1 NV2t000845001.1, Nematostella_vectensis_NV2t000842001.1 NV2t000842001.1, Nematostella_vectensis_NV2t000843001.1 NV2t000843001.1, Nematostella_vectensis_NV2t000844001.1 NV2t000844001.1, Nematostella_vectensis_NV2t000836001.1 NV2t000836001.1, Nematostella_vectensis_NV2t000841001.1 NV2t000841001.1
OG0000004	Stylophora_pistillata_Spis5541 Spis5541 SpisGene5541	Nematostella_vectensis_NV2t016336001.1 NV2t016336001.1
OG0000004	Stylophora_pistillata_Spis16168 Spis16168 SpisGene16168	Nematostella_vectensis_NV2t016338001.1 NV2t016338001.1, Nematostella_vectensis_NV2t016338002.1 NV2t016338002.1, Nematostella_vectensis_NV2t016340001.1 NV2t016340001.1, Nematostella_vectensis_NV2t016343002.1 NV2t016343002.1
OG0000004	Stylophora_pistillata_Spis11197 Spis11197 SpisGene11197, Stylophora_pistillata_Spis6567 Spis6567 SpisGene6567	Nematostella_vectensis_NV2t008633001.1 NV2t008633001.1, Nematostella_vectensis_NV2t008635001.1 NV2t008635001.1
OG0000004	Stylophora_pistillata_Spis6569 Spis6569 SpisGene6569, Stylophora_pistillata_Spis16235 Spis16235 SpisGene16235	Nematostella_vectensis_NV2t021576001.1 NV2t021576001.1, Nematostella_vectensis_NV2t021577001.1 NV2t021577001.1, Nematostella_vectensis_NV2t021577002.1 NV2t021577002.1
OG0000004	Stylophora_pistillata_Spis7200 Spis7200 SpisGene7200, Stylophora_pistillata_Spis7201 Spis7201 SpisGene7201	Nematostella_vectensis_NV2t009856001.1 NV2t009856001.1, Nematostella_vectensis_NV2t009856002.1 NV2t009856002.1
OG0000004	Stylophora_pistillata_Spis5789.t1 Spis5789.t1 SpisGene5789	Nematostella_vectensis_NV2t002229001.1 NV2t002229001.1, Nematostella_vectensis_NV2t002228001.1 NV2t002228001.1
OG0000004	Stylophora_pistillata_Spis12529 Spis12529 SpisGene12529	Nematostella_vectensis_NV2t008558001.1 NV2t008558001.1, Nematostella_vectensis_NV2t008740001.1 NV2t008740001.1
OG0000004	Stylophora_pistillata_Spis22146.t1 Spis22146.t1 SpisGene22146	Nematostella_vectensis_NV2t021936001.1 NV2t021936001.1
OG0000004	Stylophora_pistillata_Spis1349 Spis1349 SpisGene1349	Nematostella_vectensis_NV2t008980001.1 NV2t008980001.1, Nematostella_vectensis_NV2t008406003.1 NV2t008406003.1, Nematostella_vectensis_NV2t008406002.1 NV2t008406002.1, Nematostella_vectensis_NV2t008406001.1 NV2t008406001.1
OG0000004	Stylophora_pistillata_Spis13182 Spis13182 SpisGene13182	Nematostella_vectensis_NV2t003227001.1 NV2t003227001.1
OG0000004	Stylophora_pistillata_Spis8899 Spis8899 SpisGene8899	Nematostella_vectensis_NV2t011625002.1 NV2t011625002.1, Nematostella_vectensis_NV2t011625001.1 NV2t011625001.1
OG0000004	Stylophora_pistillata_Spis30 Spis30 SpisGene30	Nematostella_vectensis_NV2t004921001.1 NV2t004921001.1, Nematostella_vectensis_NV2t004715001.1 NV2t004715001.1
OG0000004	Stylophora_pistillata_Spis26 Spis26 SpisGene26	Nematostella_vectensis_NV2t004933001.1 NV2t004933001.1, Nematostella_vectensis_NV2t004933002.1 NV2t004933002.1, Nematostella_vectensis_NV2t004933003.1 NV2t004933003.1, Nematostella_vectensis_NV2t004933004.1 NV2t004933004.1, Nematostella_vectensis_NV2t004933006.1 NV2t004933006.1
OG0000004	Stylophora_pistillata_Spis11895 Spis11895 SpisGene11895	Nematostella_vectensis_NV2t003144001.1 NV2t003144001.1
OG0000004	Stylophora_pistillata_Spis13212 Spis13212 SpisGene13212	Nematostella_vectensis_NV2t011515001.1 NV2t011515001.1, Nematostella_vectensis_NV2t011516002.1 NV2t011516002.1, Nematostella_vectensis_NV2t011516003.1 NV2t011516003.1, Nematostella_vectensis_NV2t011516001.1 NV2t011516001.1
OG0000004	Stylophora_pistillata_Spis1357 Spis1357 SpisGene1357	Nematostella_vectensis_NV2t008636001.1 NV2t008636001.1, Nematostella_vectensis_NV2t008347001.1 NV2t008347001.1, Nematostella_vectensis_NV2t008347002.1 NV2t008347002.1
OG0000004	Stylophora_pistillata_Spis16171 Spis16171 SpisGene16171	Nematostella_vectensis_NV2t017172001.1 NV2t017172001.1
OG0000004	Stylophora_pistillata_Spis8795 Spis8795 SpisGene8795	Nematostella_vectensis_NV2t023593001.1 NV2t023593001.1
OG0000005	Stylophora_pistillata_Spis399 Spis399 SpisGene399	Nematostella_vectensis_NV2t008552001.1 NV2t008552001.1, Nematostella_vectensis_NV2t008552002.1 NV2t008552002.1, Nematostella_vectensis_NV2t008552003.1 NV2t008552003.1
OG0000005	Stylophora_pistillata_Spis8938.t1 Spis8938.t1 SpisGene8938	Nematostella_vectensis_NV2t018077001.1 NV2t018077001.1
OG0000005	Stylophora_pistillata_Spis19564 Spis19564 SpisGene19564	Nematostella_vectensis_NV2t015011001.1 NV2t015011001.1, Nematostella_vectensis_NV2t023859001.1 NV2t023859001.1, Nematostella_vectensis_NV2t013745004.1 NV2t013745004.1, Nematostella_vectensis_NV2t013745003.1 NV2t013745003.1, Nematostella_vectensis_NV2t013745002.1 NV2t013745002.1, Nematostella_vectensis_NV2t013745001.1 NV2t013745001.1, Nematostella_vectensis_NV2t013745005.1 NV2t013745005.1, Nematostella_vectensis_NV2t013749001.1 NV2t013749001.1
OG0000005	Stylophora_pistillata_Spis20850 Spis20850 SpisGene20850	Nematostella_vectensis_NV2t023064002.1 NV2t023064002.1, Nematostella_vectensis_NV2t023064001.1 NV2t023064001.1
OG0000005	Stylophora_pistillata_Spis8406 Spis8406 SpisGene8406	Nematostella_vectensis_NV2t011168001.1 NV2t011168001.1, Nematostella_vectensis_NV2t011169001.1 NV2t011169001.1, Nematostella_vectensis_NV2t017332001.1 NV2t017332001.1, Nematostella_vectensis_NV2t017332003.1 NV2t017332003.1, Nematostella_vectensis_NV2t017332002.1 NV2t017332002.1
OG0000005	Stylophora_pistillata_Spis3793 Spis3793 SpisGene3793	Nematostella_vectensis_NV2t005141004.1 NV2t005141004.1, Nematostella_vectensis_NV2t005141003.1 NV2t005141003.1, Nematostella_vectensis_NV2t005141001.1 NV2t005141001.1, Nematostella_vectensis_NV2t005141005.1 NV2t005141005.1, Nematostella_vectensis_NV2t005141002.1 NV2t005141002.1
OG0000005	Stylophora_pistillata_Spis3795 Spis3795 SpisGene3795	Nematostella_vectensis_NV2t005152001.1 NV2t005152001.1
OG0000005	Stylophora_pistillata_Spis6483 Spis6483 SpisGene6483	Nematostella_vectensis_NV2t013994001.1 NV2t013994001.1
