Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Porites_asteroides
OG0000001	Stylophora_pistillata_Spis24167 Spis24167 SpisGene24167, Stylophora_pistillata_Spis23377 Spis23377 SpisGene23377, Stylophora_pistillata_Spis19003 Spis19003 SpisGene19003	Porites_asteroides_isotig07204 isotig07204 extracted_CDS GOMatch=B7Q1Z8 GOTerms=GO_0016740_GO_0050254 Gene=Down_syndrome_cell_adhesion_molecule-like_protein__Fragment__ Match_Acc=Q8R4B1 gene=isogroup05472 length=837 numContigs=1, Porites_asteroides_isotig04719 isotig04719 extracted_CDS Gene=Camel_ Match_Acc=C6ESH0 gene=isogroup02987 length=1200 numContigs=1
OG0000001	Stylophora_pistillata_Spis16034 Spis16034 SpisGene16034	Porites_asteroides_isotig03262 isotig03262 extracted_CDS GOMatch=Q3S3D7 GOTerms=GO_0016021 Gene=NEO1_protein_ Match_Acc=B7ZKN0 gene=isogroup01530 length=2269 numContigs=1
OG0000001	Stylophora_pistillata_Spis3034 Spis3034 SpisGene3034	Porites_asteroides_isotig30055 isotig30055 extracted_CDS gene=isogroup28323 length=227 numContigs=1
OG0000001	Stylophora_pistillata_Spis8306 Spis8306 SpisGene8306, Stylophora_pistillata_Spis9292 Spis9292 SpisGene9292, Stylophora_pistillata_Spis11787 Spis11787 SpisGene11787, Stylophora_pistillata_Spis11782 Spis11782 SpisGene11782, Stylophora_pistillata_Spis18233 Spis18233 SpisGene18233, Stylophora_pistillata_Spis7755 Spis7755 SpisGene7755, Stylophora_pistillata_Spis6005 Spis6005 SpisGene6005, Stylophora_pistillata_Spis16273 Spis16273 SpisGene16273, Stylophora_pistillata_Spis18234 Spis18234 SpisGene18234	Porites_asteroides_isotig18438 isotig18438 extracted_CDS GOMatch=D2HSQ6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Dscam_family_member_AbsCAM-Ig7A_ Match_Acc=Q1T6Y3 gene=isogroup16706 length=415 numContigs=1
OG0000001	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904	Porites_asteroides_isotig10906 isotig10906 extracted_CDS Gene=Contactin-3_ Match_Acc=Q9P232 gene=isogroup09174 length=628 numContigs=1
OG0000001	Stylophora_pistillata_Spis1143 Spis1143 SpisGene1143	Porites_asteroides_isotig05454 isotig05454 extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Receptor_tyrosine_phosphatase_type_r2a__putative_ Match_Acc=B7Q2Q7 gene=isogroup03722 length=1059 numContigs=1, Porites_asteroides_isotig03686 isotig03686 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Receptor-type_tyrosine-protein_phosphatase_F_ Match_Acc=A4IFW2 gene=isogroup01954 length=1596 numContigs=1
OG0000001	Stylophora_pistillata_Spis21757 Spis21757 SpisGene21757, Stylophora_pistillata_Spis15993 Spis15993 SpisGene15993	Porites_asteroides_isotig17724 isotig17724 extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Down_syndrome_cell_adhesion_molecule_ Match_Acc=Q17F85 gene=isogroup15992 length=428 numContigs=1
OG0000001	Stylophora_pistillata_Spis18847 Spis18847 SpisGene18847, Stylophora_pistillata_Spis18871 Spis18871 SpisGene18871, Stylophora_pistillata_Spis25137 Spis25137 SpisGene25137	Porites_asteroides_isotig16782 isotig16782 extracted_CDS GOMatch=C3YQU6 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Receptor_protein_tyrosine_phosphatase_LAR_ Match_Acc=Q9IAJ0 gene=isogroup15050 length=444 numContigs=1
OG0000001	Stylophora_pistillata_Spis5109 Spis5109 SpisGene5109, Stylophora_pistillata_Spis11419 Spis11419 SpisGene11419, Stylophora_pistillata_Spis21987 Spis21987 SpisGene21987, Stylophora_pistillata_Spis24610 Spis24610 SpisGene24610, Stylophora_pistillata_Spis22210 Spis22210 SpisGene22210, Stylophora_pistillata_Spis24398 Spis24398 SpisGene24398, Stylophora_pistillata_Spis24081 Spis24081 SpisGene24081, Stylophora_pistillata_Spis24899 Spis24899 SpisGene24899, Stylophora_pistillata_Spis19806 Spis19806 SpisGene19806, Stylophora_pistillata_Spis23518 Spis23518 SpisGene23518, Stylophora_pistillata_Spis20488 Spis20488 SpisGene20488, Stylophora_pistillata_Spis23519 Spis23519 SpisGene23519, Stylophora_pistillata_Spis5097 Spis5097 SpisGene5097, Stylophora_pistillata_Spis5101 Spis5101 SpisGene5101, Stylophora_pistillata_Spis5096 Spis5096 SpisGene5096, Stylophora_pistillata_Spis5106 Spis5106 SpisGene5106, Stylophora_pistillata_Spis5102 Spis5102 SpisGene5102, Stylophora_pistillata_Spis5094 Spis5094 SpisGene5094, Stylophora_pistillata_Spis5093 Spis5093 SpisGene5093, Stylophora_pistillata_Spis5095 Spis5095 SpisGene5095, Stylophora_pistillata_Spis24105 Spis24105 SpisGene24105, Stylophora_pistillata_Spis20490 Spis20490 SpisGene20490, Stylophora_pistillata_Spis22211 Spis22211 SpisGene22211, Stylophora_pistillata_Spis24728 Spis24728 SpisGene24728, Stylophora_pistillata_Spis23949 Spis23949 SpisGene23949, Stylophora_pistillata_Spis12953 Spis12953 SpisGene12953, Stylophora_pistillata_Spis21985 Spis21985 SpisGene21985, Stylophora_pistillata_Spis19805 Spis19805 SpisGene19805, Stylophora_pistillata_Spis5111 Spis5111 SpisGene5111, Stylophora_pistillata_Spis19804 Spis19804 SpisGene19804, Stylophora_pistillata_Spis5105 Spis5105 SpisGene5105, Stylophora_pistillata_Spis19843 Spis19843 SpisGene19843, Stylophora_pistillata_Spis18723 Spis18723 SpisGene18723, Stylophora_pistillata_Spis23389 Spis23389 SpisGene23389, Stylophora_pistillata_Spis25572 Spis25572 SpisGene25572, Stylophora_pistillata_Spis12952 Spis12952 SpisGene12952, Stylophora_pistillata_Spis25533 Spis25533 SpisGene25533	Porites_asteroides_GCKDGN101BCFKJ GCKDGN101BCFKJ extracted_CDS Gene=Dscam_ Match_Acc=Q292T1 length=267 region=1 run=R_2010_02_19_08_49_25_ xy=0434_2113
OG0000001	Stylophora_pistillata_Spis24427 Spis24427 SpisGene24427, Stylophora_pistillata_Spis19153 Spis19153 SpisGene19153, Stylophora_pistillata_Spis19154 Spis19154 SpisGene19154, Stylophora_pistillata_Spis19157 Spis19157 SpisGene19157	Porites_asteroides_isotig04152 isotig04152 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Phosphotidylinositol_phosphatase_PTPRQ_ Match_Acc=O88488 gene=isogroup02420 length=1362 numContigs=1
OG0000001	Stylophora_pistillata_Spis18087 Spis18087 SpisGene18087	Porites_asteroides_isotig07530 isotig07530 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Receptor_protein_tyrosine_phosphatase__putative__Fragment__ Match_Acc=B7PAS3 gene=isogroup05798 length=806 numContigs=1
OG0000001	Stylophora_pistillata_Spis16360 Spis16360 SpisGene16360	Porites_asteroides_isotig06121 isotig06121 extracted_CDS GOMatch=A7T0T0 GOTerms=GO_0005102_GO_0007155_GO_0007165 Gene=Down_syndrome_cell_adhesion_molecule_ Match_Acc=Q17F85 gene=isogroup04389 length=959 numContigs=1
OG0000001	Stylophora_pistillata_Spis16332 Spis16332 SpisGene16332	Porites_asteroides_isotig11537 isotig11537 extracted_CDS gene=isogroup09805 length=593 numContigs=1
OG0000001	Stylophora_pistillata_Spis2356 Spis2356 SpisGene2356	Porites_asteroides_isotig15249 isotig15249 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup13517 length=473 numContigs=1, Porites_asteroides_isotig27586 isotig27586 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=Q2QI47 gene=isogroup25854 length=284 numContigs=1, Porites_asteroides_isotig20126 isotig20126 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup18394 length=392 numContigs=1, Porites_asteroides_isotig05184 isotig05184 extracted_CDS GOMatch=D2HP81 GOTerms=GO_0004872 Gene=Usherin_ Match_Acc=O75445 gene=isogroup03452 length=1104 numContigs=1
OG0000001	Stylophora_pistillata_Spis3304 Spis3304 SpisGene3304, Stylophora_pistillata_Spis315 Spis315 SpisGene315	Porites_asteroides_isotig05979 isotig05979 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=Q1LVF0 gene=isogroup04247 length=967 numContigs=1
OG0000002	Stylophora_pistillata_Spis3382 Spis3382 SpisGene3382, Stylophora_pistillata_Spis10996 Spis10996 SpisGene10996, Stylophora_pistillata_Spis19048 Spis19048 SpisGene19048	Porites_asteroides_isotig20371 isotig20371 extracted_CDS GOMatch=A7S9R9 GOTerms=GO_0005509_GO_0005576_GO_0007155 Gene=Thrombospondin_4_ Match_Acc=B2RTL6 gene=isogroup18639 length=392 numContigs=1
OG0000002	Stylophora_pistillata_Spis15041 Spis15041 SpisGene15041	Porites_asteroides_isotig13118 isotig13118 extracted_CDS GOMatch=A7RL39 GOTerms=GO_0005509_GO_0005576_GO_0007155 Gene=Thrombospondin_ Match_Acc=Q172A7 gene=isogroup11386 length=535 numContigs=1
OG0000002	Stylophora_pistillata_Spis3169 Spis3169 SpisGene3169	Porites_asteroides_GCKDGN102DP9HK GCKDGN102DP9HK extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 length=331 region=2 run=R_2010_02_19_08_49_25_ xy=1412_0758
OG0000002	Stylophora_pistillata_Spis17964.t1 Spis17964.t1 SpisGene17964, Stylophora_pistillata_Spis17966 Spis17966 SpisGene17966	Porites_asteroides_GCKDGN102C59F3 GCKDGN102C59F3 extracted_CDS GOMatch=Q4SMY0 GOTerms=GO_0004872_GO_0007275_GO_0016020 Gene=HyTSR1_protein_ Match_Acc=Q2MCN4 length=422 region=2 run=R_2010_02_19_08_49_25_ xy=1184_1473
OG0000002	Stylophora_pistillata_Spis16680 Spis16680 SpisGene16680	Porites_asteroides_isotig10489 isotig10489 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup08757 length=650 numContigs=1
OG0000002	Stylophora_pistillata_Spis10028 Spis10028 SpisGene10028	Porites_asteroides_isotig08787 isotig08787 extracted_CDS GOMatch=D3XFH2 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_c_ Match_Acc=D3XFH2 gene=isogroup07055 length=736 numContigs=1
OG0000002	Stylophora_pistillata_Spis14421 Spis14421 SpisGene14421, Stylophora_pistillata_Spis5273 Spis5273 SpisGene5273, Stylophora_pistillata_Spis15604 Spis15604 SpisGene15604, Stylophora_pistillata_Spis661 Spis661 SpisGene661, Stylophora_pistillata_Spis22531.t1 Spis22531.t1 SpisGene22531, Stylophora_pistillata_Spis2735 Spis2735 SpisGene2735, Stylophora_pistillata_Spis2736 Spis2736 SpisGene2736, Stylophora_pistillata_Spis20570 Spis20570 SpisGene20570, Stylophora_pistillata_Spis6481 Spis6481 SpisGene6481, Stylophora_pistillata_Spis16169 Spis16169 SpisGene16169	Porites_asteroides_isotig03575 isotig03575 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup01843 length=1707 numContigs=1
OG0000002	Stylophora_pistillata_Spis13469 Spis13469 SpisGene13469, Stylophora_pistillata_Spis549 Spis549 SpisGene549, Stylophora_pistillata_Spis24848 Spis24848 SpisGene24848, Stylophora_pistillata_Spis7560 Spis7560 SpisGene7560, Stylophora_pistillata_Spis7559 Spis7559 SpisGene7559	Porites_asteroides_isotig01659 isotig01659 extracted_CDS GOMatch=D3XFH2 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_c_ Match_Acc=D3XFH2 gene=isogroup00662 length=832 numContigs=2, Porites_asteroides_isotig01658 isotig01658 extracted_CDS GOMatch=D3XFH3 GOTerms=GO_0005529 Gene=Cnidarian_egg_lectin_isoform_d_ Match_Acc=D3XFH3 gene=isogroup00662 length=968 numContigs=2
OG0000002	Stylophora_pistillata_Spis3252 Spis3252 SpisGene3252	Porites_asteroides_isotig05688 isotig05688 extracted_CDS GOMatch=Q2A131 GOTerms=GO_0005529 Gene=Thrombospondin_type_1_repeat-containing_protein_2_ Match_Acc=Q2A131 gene=isogroup03956 length=1013 numContigs=1
OG0000002	Stylophora_pistillata_Spis12792 Spis12792 SpisGene12792	Porites_asteroides_isotig04539 isotig04539 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Titin__putative_ Match_Acc=C4QI71 gene=isogroup02807 length=1251 numContigs=1
OG0000002	Stylophora_pistillata_Spis1235 Spis1235 SpisGene1235	Porites_asteroides_isotig18539 isotig18539 extracted_CDS GOMatch=C3Z1N0 GOTerms=GO_0005102_GO_0007165 Gene=Thrombospondin-2_ Match_Acc=Q95116 gene=isogroup16807 length=412 numContigs=1
OG0000003	Stylophora_pistillata_Spis4789 Spis4789 SpisGene4789	Porites_asteroides_isotig03504 isotig03504 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Testis_cDNA_clone__QtsA-10921__similar_to_human_mannose_receptor__C_type_1__MRC1___ Match_Acc=Q4R919 gene=isogroup01772 length=1787 numContigs=1
OG0000003	Stylophora_pistillata_Spis5031 Spis5031 SpisGene5031	Porites_asteroides_isotig25304 isotig25304 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=DC-SIGN_protein__Fragment__ Match_Acc=D7SA64 gene=isogroup23572 length=324 numContigs=1
OG0000003	Stylophora_pistillata_Spis15966 Spis15966 SpisGene15966	Porites_asteroides_GCKDGN101A6KTM GCKDGN101A6KTM extracted_CDS GOMatch=A7RGE1 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Mannose_receptor__C_type_2_ Match_Acc=Q14AX9 length=382 region=1 run=R_2010_02_19_08_49_25_ xy=0367_3416
OG0000003	Stylophora_pistillata_Spis17921 Spis17921 SpisGene17921, Stylophora_pistillata_Spis17923 Spis17923 SpisGene17923, Stylophora_pistillata_Spis17924 Spis17924 SpisGene17924	Porites_asteroides_isotig00667 isotig00667 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00182 length=864 numContigs=3, Porites_asteroides_isotig00668 isotig00668 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00182 length=864 numContigs=3
OG0000003	Stylophora_pistillata_Spis15291 Spis15291 SpisGene15291	Porites_asteroides_isotig04682 isotig04682 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=Nattectin_ Match_Acc=B5XBM3 gene=isogroup02950 length=1214 numContigs=1, Porites_asteroides_isotig06386 isotig06386 extracted_CDS GOMatch=A7RJB3 GOTerms=GO_0005488 Gene=C-type_lectin_domain_family_4__member_a4_ Match_Acc=Q5YIR8 gene=isogroup04654 length=924 numContigs=1
OG0000003	Stylophora_pistillata_Spis10287 Spis10287 SpisGene10287	Porites_asteroides_isotig01352 isotig01352 extracted_CDS GOMatch=C0KTQ4 GOTerms=GO_0005488_GO_0005529 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00509 length=1228 numContigs=2, Porites_asteroides_isotig01353 isotig01353 extracted_CDS GOMatch=C0KTQ4 GOTerms=GO_0005488_GO_0005529 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup00509 length=1225 numContigs=2, Porites_asteroides_GE916031 GE916031 extracted_CDS Past_31_20453_B10.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence
OG0000003	Stylophora_pistillata_Spis21511 Spis21511 SpisGene21511	Porites_asteroides_isotig24332 isotig24332 extracted_CDS GOMatch=C0KTQ4 GOTerms=GO_0005488_GO_0005529 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup22600 length=341 numContigs=1
OG0000003	Stylophora_pistillata_Spis3605 Spis3605 SpisGene3605, Stylophora_pistillata_Spis3607 Spis3607 SpisGene3607	Porites_asteroides_isotig25037 isotig25037 extracted_CDS gene=isogroup23305 length=331 numContigs=1
OG0000003	Stylophora_pistillata_Spis25012 Spis25012 SpisGene25012	Porites_asteroides_isotig10437 isotig10437 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 gene=isogroup08705 length=653 numContigs=1
OG0000003	Stylophora_pistillata_Spis22574 Spis22574 SpisGene22574, Stylophora_pistillata_Spis19863 Spis19863 SpisGene19863	Porites_asteroides_isotig02367 isotig02367 extracted_CDS GOMatch=A7RGE4 GOTerms=GO_0005509 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup01016 length=514 numContigs=2
OG0000003	Stylophora_pistillata_Spis22322 Spis22322 SpisGene22322, Stylophora_pistillata_Spis22423 Spis22423 SpisGene22423, Stylophora_pistillata_Spis22351 Spis22351 SpisGene22351, Stylophora_pistillata_Spis22421 Spis22421 SpisGene22421, Stylophora_pistillata_Spis19258 Spis19258 SpisGene19258, Stylophora_pistillata_Spis15693 Spis15693 SpisGene15693, Stylophora_pistillata_Spis15691 Spis15691 SpisGene15691, Stylophora_pistillata_Spis20399 Spis20399 SpisGene20399, Stylophora_pistillata_Spis22352 Spis22352 SpisGene22352	Porites_asteroides_isotig10990 isotig10990 extracted_CDS GOMatch=C3YBU7 GOTerms=GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup09258 length=620 numContigs=1
OG0000003	Stylophora_pistillata_Spis23623 Spis23623 SpisGene23623	Porites_asteroides_isotig01152 isotig01152 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Uromodulin_ Match_Acc=P07911 gene=isogroup00409 length=1568 numContigs=2, Porites_asteroides_isotig01153 isotig01153 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Uromodulin_ Match_Acc=P07911 gene=isogroup00409 length=1537 numContigs=2
OG0000003	Stylophora_pistillata_Spis21933 Spis21933 SpisGene21933, Stylophora_pistillata_Spis23587 Spis23587 SpisGene23587, Stylophora_pistillata_Spis24070 Spis24070 SpisGene24070, Stylophora_pistillata_Spis23989 Spis23989 SpisGene23989, Stylophora_pistillata_Spis24000 Spis24000 SpisGene24000, Stylophora_pistillata_Spis22422 Spis22422 SpisGene22422	Porites_asteroides_isotig03251 isotig03251 extracted_CDS GOMatch=A7SS60 GOTerms=GO_0005488_GO_0005529 Gene=Immunity_adhesion_receptor_DC-SIGN_ Match_Acc=B2BSM2 gene=isogroup01519 length=2316 numContigs=1
OG0000003	Stylophora_pistillata_Spis22283 Spis22283 SpisGene22283, Stylophora_pistillata_Spis23016 Spis23016 SpisGene23016, Stylophora_pistillata_Spis22284 Spis22284 SpisGene22284, Stylophora_pistillata_Spis17651 Spis17651 SpisGene17651, Stylophora_pistillata_Spis23995 Spis23995 SpisGene23995	Porites_asteroides_isotig23352 isotig23352 extracted_CDS GOMatch=A7T1U0 GOTerms=GO_0005488_GO_0005529 Gene=Immunity_adhesion_receptor_DC-SIGN_ Match_Acc=B2BSM1 gene=isogroup21620 length=356 numContigs=1
OG0000003	Stylophora_pistillata_Spis13317 Spis13317 SpisGene13317	Porites_asteroides_isotig23687 isotig23687 extracted_CDS GOMatch=A7REX6 GOTerms=GO_0005509 gene=isogroup21955 length=348 numContigs=1
OG0000004	Stylophora_pistillata_Spis19275 Spis19275 SpisGene19275	Porites_asteroides_GCKDGN101A9DR5 GCKDGN101A9DR5 extracted_CDS GOMatch=A7SIA9 GOTerms=GO_0005488_GO_0005529 Gene=Macrophage_mannose_receptor_1-like_protein_1_ Match_Acc=Q5VSK2 length=445 region=1 run=R_2010_02_19_08_49_25_ xy=0399_3187
OG0000004	Stylophora_pistillata_Spis5178.t1 Spis5178.t1 SpisGene5178	Porites_asteroides_isotig27956 isotig27956 extracted_CDS GOMatch=A7SIA9 GOTerms=GO_0005488_GO_0005529 gene=isogroup26224 length=281 numContigs=1
OG0000004	Stylophora_pistillata_Spis13211 Spis13211 SpisGene13211	Porites_asteroides_isotig08387 isotig08387 extracted_CDS GOMatch=A7S7G8 GOTerms=GO_0005576_GO_0010466_GO_0030414 gene=isogroup06655 length=758 numContigs=1
OG0000004	Stylophora_pistillata_Spis20566 Spis20566 SpisGene20566	Porites_asteroides_isotig15088 isotig15088 extracted_CDS GOMatch=C3ZCS4 GOTerms=GO_0005509 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup13356 length=475 numContigs=1
OG0000004	Stylophora_pistillata_Spis20569 Spis20569 SpisGene20569	Porites_asteroides_GCKDGN102EJBMA GCKDGN102EJBMA extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 length=465 region=2 run=R_2010_02_19_08_49_25_ xy=1743_0768, Porites_asteroides_isotig06079 isotig06079 extracted_CDS GOMatch=A1XVT4 GOTerms=GO_0005576_GO_0005581_GO_0010466_GO_0030414 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup04347 length=960 numContigs=1
