Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Chordata_Vertebrata_Bos_taurus
OG0000003	Stylophora_pistillata_Spis7146.t1 Spis7146.t1 SpisGene7146, Stylophora_pistillata_Spis6710 Spis6710 SpisGene6710, Stylophora_pistillata_Spis21314 Spis21314 SpisGene21314, Stylophora_pistillata_Spis25012 Spis25012 SpisGene25012, Stylophora_pistillata_Spis22574 Spis22574 SpisGene22574, Stylophora_pistillata_Spis19863 Spis19863 SpisGene19863, Stylophora_pistillata_Spis22322 Spis22322 SpisGene22322, Stylophora_pistillata_Spis22423 Spis22423 SpisGene22423, Stylophora_pistillata_Spis22351 Spis22351 SpisGene22351, Stylophora_pistillata_Spis22421 Spis22421 SpisGene22421, Stylophora_pistillata_Spis19258 Spis19258 SpisGene19258, Stylophora_pistillata_Spis15693 Spis15693 SpisGene15693, Stylophora_pistillata_Spis15691 Spis15691 SpisGene15691, Stylophora_pistillata_Spis20399 Spis20399 SpisGene20399, Stylophora_pistillata_Spis22352 Spis22352 SpisGene22352, Stylophora_pistillata_Spis18451 Spis18451 SpisGene18451, Stylophora_pistillata_Spis15328 Spis15328 SpisGene15328, Stylophora_pistillata_Spis23195 Spis23195 SpisGene23195, Stylophora_pistillata_Spis22238 Spis22238 SpisGene22238, Stylophora_pistillata_Spis21940 Spis21940 SpisGene21940, Stylophora_pistillata_Spis21152 Spis21152 SpisGene21152, Stylophora_pistillata_Spis7666 Spis7666 SpisGene7666, Stylophora_pistillata_Spis7667 Spis7667 SpisGene7667, Stylophora_pistillata_Spis21151 Spis21151 SpisGene21151, Stylophora_pistillata_Spis21153 Spis21153 SpisGene21153, Stylophora_pistillata_Spis21146 Spis21146 SpisGene21146, Stylophora_pistillata_Spis7664 Spis7664 SpisGene7664, Stylophora_pistillata_Spis7665 Spis7665 SpisGene7665, Stylophora_pistillata_Spis23623 Spis23623 SpisGene23623, Stylophora_pistillata_Spis21933 Spis21933 SpisGene21933, Stylophora_pistillata_Spis23587 Spis23587 SpisGene23587, Stylophora_pistillata_Spis24070 Spis24070 SpisGene24070, Stylophora_pistillata_Spis23989 Spis23989 SpisGene23989, Stylophora_pistillata_Spis24000 Spis24000 SpisGene24000, Stylophora_pistillata_Spis22422 Spis22422 SpisGene22422, Stylophora_pistillata_Spis22283 Spis22283 SpisGene22283, Stylophora_pistillata_Spis23016 Spis23016 SpisGene23016, Stylophora_pistillata_Spis22284 Spis22284 SpisGene22284, Stylophora_pistillata_Spis17651 Spis17651 SpisGene17651, Stylophora_pistillata_Spis23995 Spis23995 SpisGene23995, Stylophora_pistillata_Spis13317 Spis13317 SpisGene13317, Stylophora_pistillata_Spis24974 Spis24974 SpisGene24974, Stylophora_pistillata_Spis5993 Spis5993 SpisGene5993	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]
OG0000004	Stylophora_pistillata_Spis8457 Spis8457 SpisGene8457	sp|Q6R8F2.1|CADH1_BOVIN RecName_ Full=Cadherin-1; AltName_ Full=Epithelial cadherin; Short=E-cadherin; AltName_ CD_antigen=CD324; Contains_ RecName_ Full=E-Cad/CTF1; Contains_ RecName_ Full=E-Cad/CTF2; Contains_ RecName_ Full=E-Cad/CTF3; Flags_ Precursor
OG0000006	Stylophora_pistillata_Spis1220 Spis1220 SpisGene1220, Stylophora_pistillata_Spis1242 Spis1242 SpisGene1242, Stylophora_pistillata_Spis1227 Spis1227 SpisGene1227, Stylophora_pistillata_Spis1225.t1 Spis1225.t1 SpisGene1225, Stylophora_pistillata_Spis1216 Spis1216 SpisGene1216, Stylophora_pistillata_Spis16437 Spis16437 SpisGene16437	NP_001033618.1 coagulation factor XIII B chain precursor [Bos taurus]
OG0000006	Stylophora_pistillata_Spis21789 Spis21789 SpisGene21789, Stylophora_pistillata_Spis18091 Spis18091 SpisGene18091, Stylophora_pistillata_Spis3946 Spis3946 SpisGene3946, Stylophora_pistillata_Spis2512 Spis2512 SpisGene2512, Stylophora_pistillata_Spis18092 Spis18092 SpisGene18092, Stylophora_pistillata_Spis1234.t1 Spis1234.t1 SpisGene1234, Stylophora_pistillata_Spis21228 Spis21228 SpisGene21228, Stylophora_pistillata_Spis11615 Spis11615 SpisGene11615, Stylophora_pistillata_Spis11620 Spis11620 SpisGene11620, Stylophora_pistillata_Spis13733 Spis13733 SpisGene13733, Stylophora_pistillata_Spis1578 Spis1578 SpisGene1578	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]
OG0000006	Stylophora_pistillata_Spis10997 Spis10997 SpisGene10997, Stylophora_pistillata_Spis12361 Spis12361 SpisGene12361, Stylophora_pistillata_Spis18333 Spis18333 SpisGene18333, Stylophora_pistillata_Spis12364 Spis12364 SpisGene12364, Stylophora_pistillata_Spis12358 Spis12358 SpisGene12358, Stylophora_pistillata_Spis18334 Spis18334 SpisGene18334, Stylophora_pistillata_Spis21178 Spis21178 SpisGene21178, Stylophora_pistillata_Spis12362 Spis12362 SpisGene12362, Stylophora_pistillata_Spis12355 Spis12355 SpisGene12355, Stylophora_pistillata_Spis18329 Spis18329 SpisGene18329, Stylophora_pistillata_Spis12371 Spis12371 SpisGene12371, Stylophora_pistillata_Spis12372 Spis12372 SpisGene12372, Stylophora_pistillata_Spis18332 Spis18332 SpisGene18332, Stylophora_pistillata_Spis12360 Spis12360 SpisGene12360, Stylophora_pistillata_Spis12356 Spis12356 SpisGene12356, Stylophora_pistillata_Spis12363 Spis12363 SpisGene12363, Stylophora_pistillata_Spis12365 Spis12365 SpisGene12365, Stylophora_pistillata_Spis12370 Spis12370 SpisGene12370, Stylophora_pistillata_Spis10998 Spis10998 SpisGene10998	XP_059739360.1 sushi repeat-containing protein SRPX2 isoform X1 [Bos taurus], NP_001035579.1 sushi repeat-containing protein SRPX precursor [Bos taurus]
OG0000007	Stylophora_pistillata_Spis18036 Spis18036 SpisGene18036	NP_001012687.1 fatty acid synthase [Bos taurus]
OG0000007	Stylophora_pistillata_Spis19279 Spis19279 SpisGene19279, Stylophora_pistillata_Spis23194 Spis23194 SpisGene23194, Stylophora_pistillata_Spis18040 Spis18040 SpisGene18040, Stylophora_pistillata_Spis19874 Spis19874 SpisGene19874, Stylophora_pistillata_Spis18038 Spis18038 SpisGene18038, Stylophora_pistillata_Spis18037 Spis18037 SpisGene18037, Stylophora_pistillata_Spis18041 Spis18041 SpisGene18041, Stylophora_pistillata_Spis23530 Spis23530 SpisGene23530, Stylophora_pistillata_Spis2770 Spis2770 SpisGene2770, Stylophora_pistillata_Spis2764 Spis2764 SpisGene2764, Stylophora_pistillata_Spis16998 Spis16998 SpisGene16998, Stylophora_pistillata_Spis16996 Spis16996 SpisGene16996, Stylophora_pistillata_Spis16440 Spis16440 SpisGene16440, Stylophora_pistillata_Spis16818 Spis16818 SpisGene16818, Stylophora_pistillata_Spis23200 Spis23200 SpisGene23200	XP_024850630.1 mucin-4 isoform X1 [Bos taurus]
OG0000008	Stylophora_pistillata_Spis19247 Spis19247 SpisGene19247	XP_059743582.1 amphiregulin isoform X1 [Bos taurus]
OG0000009	Stylophora_pistillata_Spis21497 Spis21497 SpisGene21497, Stylophora_pistillata_Spis21489 Spis21489 SpisGene21489, Stylophora_pistillata_Spis935 Spis935 SpisGene935, Stylophora_pistillata_Spis6599 Spis6599 SpisGene6599, Stylophora_pistillata_Spis4467 Spis4467 SpisGene4467, Stylophora_pistillata_Spis4466 Spis4466 SpisGene4466	sp|Q5E9P5.1|PAMR1_BOVIN RecName_ Full=Inactive serine protease PAMR1; AltName_ Full=Peptidase domain-containing protein associated with muscle regeneration 1; AltName_ Full=Regeneration-associated muscle protease homolog; Flags_ Precursor
OG0000009	Stylophora_pistillata_Spis16344 Spis16344 SpisGene16344, Stylophora_pistillata_Spis16137 Spis16137 SpisGene16137, Stylophora_pistillata_Spis16138 Spis16138 SpisGene16138, Stylophora_pistillata_Spis16135 Spis16135 SpisGene16135, Stylophora_pistillata_Spis18721 Spis18721 SpisGene18721, Stylophora_pistillata_Spis14789 Spis14789 SpisGene14789, Stylophora_pistillata_Spis14786 Spis14786 SpisGene14786, Stylophora_pistillata_Spis14787 Spis14787 SpisGene14787, Stylophora_pistillata_Spis14785 Spis14785 SpisGene14785, Stylophora_pistillata_Spis18539 Spis18539 SpisGene18539, Stylophora_pistillata_Spis12284 Spis12284 SpisGene12284, Stylophora_pistillata_Spis12283 Spis12283 SpisGene12283, Stylophora_pistillata_Spis18540 Spis18540 SpisGene18540, Stylophora_pistillata_Spis13082 Spis13082 SpisGene13082, Stylophora_pistillata_Spis6688 Spis6688 SpisGene6688, Stylophora_pistillata_Spis24451 Spis24451 SpisGene24451, Stylophora_pistillata_Spis8222 Spis8222 SpisGene8222, Stylophora_pistillata_Spis4454 Spis4454 SpisGene4454	XP_024845605.1 CUB domain-containing protein 2 [Bos taurus]
OG0000010	Stylophora_pistillata_Spis4830 Spis4830 SpisGene4830	XP_010808812.1 hemicentin-2 isoform X1 [Bos taurus]
OG0000010	Stylophora_pistillata_Spis19541 Spis19541 SpisGene19541	XP_024846455.1 immunoglobulin superfamily member 10 isoform X1 [Bos taurus], XP_005228525.2 matrix-remodeling-associated protein 5 isoform X1 [Bos taurus]
OG0000010	Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363	XP_015316344.2 basement membrane-specific heparan sulfate proteoglycan core protein isoform X1 [Bos taurus]
OG0000010	Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579	XP_005217262.1 agrin isoform X1 [Bos taurus]
OG0000011	Stylophora_pistillata_Spis4945 Spis4945 SpisGene4945	XP_024843118.2 suppressor of tumorigenicity 14 protein homolog isoform X1 [Bos taurus], sp|P98072.1|ENTK_BOVIN RecName_ Full=Enteropeptidase; AltName_ Full=Enterokinase; AltName_ Full=Serine protease 7; AltName_ Full=Transmembrane protease serine 15; Contains_ RecName_ Full=Enteropeptidase non-catalytic heavy chain; Contains_ RecName_ Full=Enteropeptidase catalytic light chain; Flags_ Precursor, sp|P00743.1|FA10_BOVIN RecName_ Full=Coagulation factor X; AltName_ Full=Stuart factor; Contains_ RecName_ Full=Factor X light chain; Contains_ RecName_ Full=Factor X heavy chain; Contains_ RecName_ Full=Activated factor Xa heavy chain; Flags_ Precursor, sp|P00743.1|FA10_BOVIN RecName_ Full=Coagulation factor X; AltName_ Full=Stuart factor; Contains_ RecName_ Full=Factor X light chain; Contains_ RecName_ Full=Factor X heavy chain; Contains_ RecName_ Full=Activated factor Xa heavy chain; Flags_ Precursor, NP_776302.1 prothrombin precursor [Bos taurus]
OG0000011	Stylophora_pistillata_Spis8056.t2 Spis8056.t2 SpisGene8056	sp|Q29461.1|CEL2A_BOVIN RecName_ Full=Chymotrypsin-like elastase family member 2A; AltName_ Full=Elastase II; AltName_ Full=Elastase-2; AltName_ Full=Elastase-2A; Flags_ Precursor, sp|Q28153.1|CELA1_BOVIN RecName_ Full=Chymotrypsin-like elastase family member 1; AltName_ Full=Elastase I; AltName_ Full=Elastase-1; Flags_ Precursor, NP_001159990.3 proproteinase E precursor [Bos taurus]
OG0000012	Stylophora_pistillata_Spis6613 Spis6613 SpisGene6613	sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor
OG0000012	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321	XP_015330193.2 LOW QUALITY PROTEIN_ alpha-tectorin [Bos taurus], NP_001071465.1 BMP-binding endothelial regulator protein precursor [Bos taurus], DAA30402.1 TPA_ kielin/chordin-like protein [Bos taurus], NP_001178138.1 von Willebrand factor C and EGF domain-containing protein precursor [Bos taurus]
OG0000013	Stylophora_pistillata_Spis10384 Spis10384 SpisGene10384	NP_001192492.1 protein Wnt-6 precursor [Bos taurus]
OG0000013	Stylophora_pistillata_Spis10385 Spis10385 SpisGene10385	NP_001107663.1 proto-oncogene Wnt-1 precursor [Bos taurus]
OG0000013	Stylophora_pistillata_Spis10363 Spis10363 SpisGene10363	NP_001192953.1 proto-oncogene Wnt-3 precursor [Bos taurus]
OG0000013	Stylophora_pistillata_Spis16312 Spis16312 SpisGene16312	XP_024838518.1 protein Wnt-4 isoform X1 [Bos taurus]
OG0000013	Stylophora_pistillata_Spis3866 Spis3866 SpisGene3866, Stylophora_pistillata_Spis3867 Spis3867 SpisGene3867	XP_059742210.1 protein Wnt-5b isoform X1 [Bos taurus]
OG0000013	Stylophora_pistillata_Spis1461.t1 Spis1461.t1 SpisGene1461	NP_001075925.1 protein Wnt-11 [Bos taurus]
OG0000013	Stylophora_pistillata_Spis3868.t1 Spis3868.t1 SpisGene3868	NP_001179717.1 protein Wnt-7a [Bos taurus], XP_024848596.2 protein Wnt-7b isoform X1 [Bos taurus]
OG0000013	Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826	NP_001092833.1 protein Wnt-2b [Bos taurus]
OG0000013	Stylophora_pistillata_Spis18607.t1 Spis18607.t1 SpisGene18607, Stylophora_pistillata_Spis727 Spis727 SpisGene727, Stylophora_pistillata_Spis726 Spis726 SpisGene726, Stylophora_pistillata_Spis18606 Spis18606 SpisGene18606	NP_001179299.1 protein Wnt-8a [Bos taurus], XP_059737951.1 protein Wnt-8b [Bos taurus]
OG0000013	Stylophora_pistillata_Spis10383 Spis10383 SpisGene10383	DAA29954.1 TPA_ wingless-type MMTV integration site family_ member 10B-like [Bos taurus], XP_005202916.1 protein Wnt-10a isoform X1 [Bos taurus]
OG0000014	Stylophora_pistillata_Spis347 Spis347 SpisGene347	NP_001192863.3 ADAMTS-like protein 2 precursor [Bos taurus], XP_059746586.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Bos taurus]
OG0000014	Stylophora_pistillata_Spis18290.t1 Spis18290.t1 SpisGene18290	XP_024837785.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X1 [Bos taurus], NP_001179538.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 precursor [Bos taurus]
OG0000014	Stylophora_pistillata_Spis2407 Spis2407 SpisGene2407	XP_024853897.1 papilin isoform X1 [Bos taurus]
OG0000014	Stylophora_pistillata_Spis12681 Spis12681 SpisGene12681	NP_001193022.1 A disintegrin and metalloproteinase with thrombospondin motifs 20 precursor [Bos taurus], NP_001193502.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 precursor [Bos taurus]
OG0000015	Stylophora_pistillata_Spis12670.t1 Spis12670.t1 SpisGene12670, Stylophora_pistillata_Spis12671 Spis12671 SpisGene12671, Stylophora_pistillata_Spis12669 Spis12669 SpisGene12669	XP_005225807.1 beta-tectorin isoform X1 [Bos taurus]
OG0000015	Stylophora_pistillata_Spis12645 Spis12645 SpisGene12645, Stylophora_pistillata_Spis12644 Spis12644 SpisGene12644, Stylophora_pistillata_Spis12648 Spis12648 SpisGene12648, Stylophora_pistillata_Spis13905 Spis13905 SpisGene13905, Stylophora_pistillata_Spis12653 Spis12653 SpisGene12653, Stylophora_pistillata_Spis13901 Spis13901 SpisGene13901, Stylophora_pistillata_Spis12668 Spis12668 SpisGene12668, Stylophora_pistillata_Spis10275 Spis10275 SpisGene10275, Stylophora_pistillata_Spis6060 Spis6060 SpisGene6060, Stylophora_pistillata_Spis14393 Spis14393 SpisGene14393	sp|Q29RU2.1|OIT3_BOVIN RecName_ Full=Oncoprotein-induced transcript 3 protein; Flags_ Precursor
OG0000017	Stylophora_pistillata_Spis1531 Spis1531 SpisGene1531, Stylophora_pistillata_Spis5283 Spis5283 SpisGene5283, Stylophora_pistillata_Spis1532 Spis1532 SpisGene1532	sp|P41361.2|ANT3_BOVIN RecName_ Full=Antithrombin-III; Short=ATIII; AltName_ Full=Serpin C1; Flags_ Precursor, XP_024839237.1 leukocyte elastase inhibitor isoform X1 [Bos taurus], XP_059736204.1 serpin B6 isoform X1 [Bos taurus], NP_001069327.1 serpin B9 [Bos taurus], XP_015315532.1 serpin B8 isoform X1 [Bos taurus], XP_024840088.1 serpin B5 isoform X1 [Bos taurus], sp|A5PJK0.1|SPB10_BOVIN RecName_ Full=Serpin B10, NP_001178980.1 plasminogen activator inhibitor 2 [Bos taurus], XP_024840297.1 serpin B12 [Bos taurus], NP_001095792.2 serpin B4 [Bos taurus], XP_059737104.1 LOW QUALITY PROTEIN_ serpin B11 [Bos taurus], XP_010799074.2 serpin B7 isoform X1 [Bos taurus]
OG0000018	Stylophora_pistillata_Spis5446 Spis5446 SpisGene5446, Stylophora_pistillata_Spis5444 Spis5444 SpisGene5444, Stylophora_pistillata_Spis5445 Spis5445 SpisGene5445	sp|Q8MJ24.1|LOXL4_BOVIN RecName_ Full=Lysyl oxidase homolog 4; AltName_ Full=Lysyl oxidase-like protein 4; Flags_ Precursor, XP_059747438.1 lysyl oxidase homolog 3 isoform X1 [Bos taurus], sp|A6H737.1|LOXL2_BOVIN RecName_ Full=Lysyl oxidase homolog 2; AltName_ Full=Lysyl oxidase-like protein 2; Flags_ Precursor
OG0000018	Stylophora_pistillata_Spis23534 Spis23534 SpisGene23534, Stylophora_pistillata_Spis15395 Spis15395 SpisGene15395	XP_059738076.1 deleted in malignant brain tumors 1 protein [Bos taurus]
OG0000018	Stylophora_pistillata_Spis18453 Spis18453 SpisGene18453, Stylophora_pistillata_Spis14524 Spis14524 SpisGene14524, Stylophora_pistillata_Spis18452 Spis18452 SpisGene18452	NP_001039781.1 galectin-3-binding protein precursor [Bos taurus], NP_001039781.1 galectin-3-binding protein precursor [Bos taurus]
OG0000019	Stylophora_pistillata_Spis20402 Spis20402 SpisGene20402	XP_024845991.1 bone morphogenetic protein 8B [Bos taurus], NP_001193798.2 bone morphogenetic protein 8A precursor [Bos taurus], NP_001291945.1 bone morphogenetic protein 5 precursor [Bos taurus], NP_001192944.1 bone morphogenetic protein 7 precursor [Bos taurus]
OG0000019	Stylophora_pistillata_Spis8182.t1 Spis8182.t1 SpisGene8182	sp|P55106.2|GDF6_BOVIN RecName_ Full=Growth/differentiation factor 6; Short=GDF-6; AltName_ Full=Bone morphogenetic protein 13; Short=BMP-13; AltName_ Full=Cartilage-derived morphogenetic protein 2; Short=CDMP-2; Flags_ Precursor, NP_001179202.1 growth/differentiation factor 5 precursor [Bos taurus], NP_001193030.1 growth/differentiation factor 7 precursor [Bos taurus], sp|P22444.2|BMP3_BOVIN RecName_ Full=Bone morphogenetic protein 3; Short=BMP-3; AltName_ Full=Osteogenin; Flags_ Precursor, sp|Q08DX6.1|GDF10_BOVIN RecName_ Full=Growth/differentiation factor 10; Short=GDF-10; AltName_ Full=Bone morphogenetic protein 3B; Short=BMP-3B; Flags_ Precursor
OG0000020	Stylophora_pistillata_Spis11483 Spis11483 SpisGene11483	XP_024839347.1 collagen alpha-2_XI_ chain isoform X1 [Bos taurus], XP_024855495.1 collagen alpha-1_V_ chain isoform X2 [Bos taurus], NP_001159981.2 collagen alpha-1_XI_ chain [Bos taurus], XP_010805112.2 collagen alpha-3_V_ chain isoform X1 [Bos taurus]
OG0000020	Stylophora_pistillata_Spis1905 Spis1905 SpisGene1905, Stylophora_pistillata_Spis2741 Spis2741 SpisGene2741, Stylophora_pistillata_Spis2737 Spis2737 SpisGene2737, Stylophora_pistillata_Spis14939 Spis14939 SpisGene14939, Stylophora_pistillata_Spis2751 Spis2751 SpisGene2751	sp|P02459.4|CO2A1_BOVIN RecName_ Full=Collagen alpha-1_II_ chain; AltName_ Full=Alpha-1 type II collagen; Flags_ Precursor, sp|P02453.3|CO1A1_BOVIN RecName_ Full=Collagen alpha-1_I_ chain; AltName_ Full=Alpha-1 type I collagen; Flags_ Precursor, sp|P02453.3|CO1A1_BOVIN RecName_ Full=Collagen alpha-1_I_ chain; AltName_ Full=Alpha-1 type I collagen; Flags_ Precursor, sp|P02465.2|CO1A2_BOVIN RecName_ Full=Collagen alpha-2_I_ chain; AltName_ Full=Alpha-2 type I collagen; Flags_ Precursor, NP_001070299.1 collagen alpha-1_III_ chain precursor [Bos taurus], XP_059736296.1 collagen alpha-2_V_ chain [Bos taurus]
OG0000020	Stylophora_pistillata_Spis279 Spis279 SpisGene279	XP_024845867.1 collagen alpha-1_XXIV_ chain [Bos taurus], NP_001193609.1 collagen alpha-1_XXVII_ chain [Bos taurus]
