Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000000	Stylophora_pistillata_Spis7191 Spis7191 SpisGene7191, Stylophora_pistillata_Spis23211 Spis23211 SpisGene23211	Exaiptasia_diaphana_XP_020891997.1 XP_020891997.1 techylectin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915140.2 XP_020915140.2 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915176.2 XP_020915176.2 techylectin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519070.1 XP_028519070.1 uncharacterized protein LOC110252679 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519064.1 XP_028519064.1 techylectin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901441.2 XP_020901441.2 ryncolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915180.1 XP_020915180.1 fibrinogen C domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908476.1 XP_020908476.1 techylectin-5B-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893436.1 XP_020893436.1 techylectin-5B-like_ partial [Exaiptasia diaphana]
OG0000000	Stylophora_pistillata_Spis9824 Spis9824 SpisGene9824, Stylophora_pistillata_Spis9823 Spis9823 SpisGene9823	Exaiptasia_diaphana_XP_020898203.1 XP_020898203.1 ficolin-1 [Exaiptasia diaphana]
OG0000000	Stylophora_pistillata_Spis24690 Spis24690 SpisGene24690	Exaiptasia_diaphana_XP_028516783.1 XP_028516783.1 fibroleukin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901795.2 XP_020901795.2 angiopoietin-related protein 7_ partial [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368	Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis24167 Spis24167 SpisGene24167, Stylophora_pistillata_Spis23377 Spis23377 SpisGene23377, Stylophora_pistillata_Spis19003 Spis19003 SpisGene19003	Exaiptasia_diaphana_XP_020908873.1 XP_020908873.1 fibronectin type III domain-containing protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908871.1 XP_020908871.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908872.1 XP_020908872.1 fibronectin type III domain-containing protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516734.1 XP_028516734.1 fibronectin type III domain-containing protein [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis14116 Spis14116 SpisGene14116	Exaiptasia_diaphana_XP_028518401.1 XP_028518401.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518216.1 XP_028518216.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903383.2 XP_020903383.2 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517822.1 XP_028517822.1 contactin-6 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902298.1 XP_020902298.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518803.1 XP_028518803.1 contactin-6 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904116.2 XP_020904116.2 contactin-6 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518005.1 XP_028518005.1 contactin-6 isoform X2 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis16034 Spis16034 SpisGene16034	Exaiptasia_diaphana_XP_028514544.1 XP_028514544.1 neogenin [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis3034 Spis3034 SpisGene3034	Exaiptasia_diaphana_XP_020895914.1 XP_020895914.1 protogenin isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895913.1 XP_020895913.1 protogenin isoform X1 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis8306 Spis8306 SpisGene8306	Exaiptasia_diaphana_XP_020900689.1 XP_020900689.1 uncharacterized protein LOC110239316 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896540.1 XP_020896540.1 uncharacterized protein LOC110235419 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis9292 Spis9292 SpisGene9292, Stylophora_pistillata_Spis11787 Spis11787 SpisGene11787, Stylophora_pistillata_Spis11782 Spis11782 SpisGene11782	Exaiptasia_diaphana_XP_028519676.1 XP_028519676.1 uncharacterized protein LOC110254595 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis7755 Spis7755 SpisGene7755	Exaiptasia_diaphana_XP_028516859.1 XP_028516859.1 uncharacterized protein LOC110245738 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis6005 Spis6005 SpisGene6005	Exaiptasia_diaphana_XP_020896606.1 XP_020896606.1 uncharacterized protein LOC110235487 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis18234 Spis18234 SpisGene18234	Exaiptasia_diaphana_XP_028519684.1 XP_028519684.1 uncharacterized protein LOC110254618 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904	Exaiptasia_diaphana_XP_020901424.1 XP_020901424.1 protein sidekick-2 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis1143 Spis1143 SpisGene1143	Exaiptasia_diaphana_XP_020908774.1 XP_020908774.1 Down syndrome cell adhesion molecule-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908773.1 XP_020908773.1 Down syndrome cell adhesion molecule-like protein 1 isoform X1 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis5109 Spis5109 SpisGene5109, Stylophora_pistillata_Spis11419 Spis11419 SpisGene11419, Stylophora_pistillata_Spis21987 Spis21987 SpisGene21987, Stylophora_pistillata_Spis24610 Spis24610 SpisGene24610, Stylophora_pistillata_Spis22210 Spis22210 SpisGene22210, Stylophora_pistillata_Spis24398 Spis24398 SpisGene24398, Stylophora_pistillata_Spis24081 Spis24081 SpisGene24081, Stylophora_pistillata_Spis24899 Spis24899 SpisGene24899, Stylophora_pistillata_Spis19806 Spis19806 SpisGene19806, Stylophora_pistillata_Spis23518 Spis23518 SpisGene23518, Stylophora_pistillata_Spis20488 Spis20488 SpisGene20488, Stylophora_pistillata_Spis23519 Spis23519 SpisGene23519, Stylophora_pistillata_Spis5097 Spis5097 SpisGene5097, Stylophora_pistillata_Spis5101 Spis5101 SpisGene5101, Stylophora_pistillata_Spis5096 Spis5096 SpisGene5096, Stylophora_pistillata_Spis5106 Spis5106 SpisGene5106, Stylophora_pistillata_Spis5102 Spis5102 SpisGene5102, Stylophora_pistillata_Spis5094 Spis5094 SpisGene5094, Stylophora_pistillata_Spis5093 Spis5093 SpisGene5093, Stylophora_pistillata_Spis5095 Spis5095 SpisGene5095, Stylophora_pistillata_Spis24105 Spis24105 SpisGene24105, Stylophora_pistillata_Spis20490 Spis20490 SpisGene20490, Stylophora_pistillata_Spis22211 Spis22211 SpisGene22211, Stylophora_pistillata_Spis24728 Spis24728 SpisGene24728, Stylophora_pistillata_Spis23949 Spis23949 SpisGene23949, Stylophora_pistillata_Spis12953 Spis12953 SpisGene12953, Stylophora_pistillata_Spis21985 Spis21985 SpisGene21985, Stylophora_pistillata_Spis19805 Spis19805 SpisGene19805, Stylophora_pistillata_Spis5111 Spis5111 SpisGene5111, Stylophora_pistillata_Spis19804 Spis19804 SpisGene19804, Stylophora_pistillata_Spis5105 Spis5105 SpisGene5105, Stylophora_pistillata_Spis19843 Spis19843 SpisGene19843, Stylophora_pistillata_Spis18723 Spis18723 SpisGene18723, Stylophora_pistillata_Spis23389 Spis23389 SpisGene23389, Stylophora_pistillata_Spis25572 Spis25572 SpisGene25572, Stylophora_pistillata_Spis12952 Spis12952 SpisGene12952, Stylophora_pistillata_Spis25533 Spis25533 SpisGene25533	Exaiptasia_diaphana_XP_020908404.2 XP_020908404.2 protein sidekick-2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512496.1 XP_028512496.1 protein sidekick-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911996.2 XP_020911996.2 protein sidekick-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512495.1 XP_028512495.1 protein sidekick-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516624.1 XP_028516624.1 receptor-type tyrosine-protein phosphatase delta [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518888.1 XP_028518888.1 tyrosine-protein phosphatase Lar_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516631.1 XP_028516631.1 protein sidekick-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911637.1 XP_020911637.1 receptor-type tyrosine-protein phosphatase F_ partial [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis24427 Spis24427 SpisGene24427, Stylophora_pistillata_Spis19153 Spis19153 SpisGene19153, Stylophora_pistillata_Spis19154 Spis19154 SpisGene19154, Stylophora_pistillata_Spis19157 Spis19157 SpisGene19157	Exaiptasia_diaphana_XP_020914496.2 XP_020914496.2 phosphatidylinositol phosphatase PTPRQ [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis16360 Spis16360 SpisGene16360	Exaiptasia_diaphana_XP_020911707.1 XP_020911707.1 neogenin [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis17176 Spis17176 SpisGene17176	Exaiptasia_diaphana_XP_020893198.1 XP_020893198.1 uncharacterized protein LOC110232362 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis16684 Spis16684 SpisGene16684, Stylophora_pistillata_Spis16687 Spis16687 SpisGene16687, Stylophora_pistillata_Spis23488 Spis23488 SpisGene23488, Stylophora_pistillata_Spis16688 Spis16688 SpisGene16688	Exaiptasia_diaphana_XP_020912117.1 XP_020912117.1 uncharacterized protein LOC110249872 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514824.1 XP_028514824.1 uncharacterized protein LOC110238963 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514825.1 XP_028514825.1 uncharacterized protein LOC110238967 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis2957 Spis2957 SpisGene2957	Exaiptasia_diaphana_XP_028513037.1 XP_028513037.1 uncharacterized protein LOC110232847 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis12987 Spis12987 SpisGene12987	Exaiptasia_diaphana_XP_020913082.1 XP_020913082.1 uncharacterized protein LOC110250788 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis2356 Spis2356 SpisGene2356	Exaiptasia_diaphana_XP_028512987.1 XP_028512987.1 usherin [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis313 Spis313 SpisGene313	Exaiptasia_diaphana_XP_028519345.1 XP_028519345.1 laminin subunit beta-2 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis312 Spis312 SpisGene312	Exaiptasia_diaphana_XP_020916314.1 XP_020916314.1 laminin subunit gamma-1 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis3304 Spis3304 SpisGene3304	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis315 Spis315 SpisGene315	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis22126 Spis22126 SpisGene22126	Exaiptasia_diaphana_XP_020916246.1 XP_020916246.1 laminin subunit alpha [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis645.t2 Spis645.t2 SpisGene645	Exaiptasia_diaphana_XP_020914470.1 XP_020914470.1 laminin subunit alpha-1 [Exaiptasia diaphana]
OG0000001	Stylophora_pistillata_Spis598 Spis598 SpisGene598	Exaiptasia_diaphana_XP_020904815.2 XP_020904815.2 laminin subunit alpha [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis16237 Spis16237 SpisGene16237	Exaiptasia_diaphana_XP_028516981.1 XP_028516981.1 mucin-7-like_ partial [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis3382 Spis3382 SpisGene3382	Exaiptasia_diaphana_XP_028518903.1 XP_028518903.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518902.1 XP_028518902.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518901.1 XP_028518901.1 cartilage oligomeric matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518900.1 XP_028518900.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis3385.t1 Spis3385.t1 SpisGene3385	Exaiptasia_diaphana_XP_028518906.1 XP_028518906.1 cartilage oligomeric matrix protein [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis10820 Spis10820 SpisGene10820	Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis372 Spis372 SpisGene372	Exaiptasia_diaphana_XP_028516031.1 XP_028516031.1 semaphorin-3D [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis10500 Spis10500 SpisGene10500	Exaiptasia_diaphana_XP_020893151.2 XP_020893151.2 netrin receptor UNC5A [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis4974 Spis4974 SpisGene4974, Stylophora_pistillata_Spis9568 Spis9568 SpisGene9568, Stylophora_pistillata_Spis14369 Spis14369 SpisGene14369	Exaiptasia_diaphana_XP_020908702.1 XP_020908702.1 von Willebrand factor A domain-containing protein 7 [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis3194 Spis3194 SpisGene3194, Stylophora_pistillata_Spis6482 Spis6482 SpisGene6482, Stylophora_pistillata_Spis16946 Spis16946 SpisGene16946	Exaiptasia_diaphana_XP_028512668.1 XP_028512668.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512672.1 XP_028512672.1 uncharacterized protein LOC114574392 isoform X1 [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis12981 Spis12981 SpisGene12981	Exaiptasia_diaphana_XP_028514920.1 XP_028514920.1 uncharacterized protein LOC110239318_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516844.1 XP_028516844.1 uncharacterized protein LOC110245675 [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis12983 Spis12983 SpisGene12983	Exaiptasia_diaphana_XP_020903382.1 XP_020903382.1 uncharacterized protein LOC110241817 [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis10028 Spis10028 SpisGene10028	Exaiptasia_diaphana_XP_020897811.1 XP_020897811.1 uncharacterized protein LOC110236613 [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis25860.Novel Spis25860.Novel SpisGene25860.Novel	Exaiptasia_diaphana_XP_028514725.1 XP_028514725.1 proprotein convertase subtilisin_kexin type 6_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517750.1 XP_028517750.1 proprotein convertase subtilisin_kexin type 6 [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis16169 Spis16169 SpisGene16169	Exaiptasia_diaphana_XP_028518467.1 XP_028518467.1 uncharacterized protein LOC110250637 [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis3252 Spis3252 SpisGene3252	Exaiptasia_diaphana_XP_020915806.1 XP_020915806.1 coadhesin [Exaiptasia diaphana]
OG0000002	Stylophora_pistillata_Spis12792 Spis12792 SpisGene12792	Exaiptasia_diaphana_XP_028516014.1 XP_028516014.1 coadhesin-like [Exaiptasia diaphana]
OG0000003	Stylophora_pistillata_Spis11319 Spis11319 SpisGene11319	Exaiptasia_diaphana_XP_028518489.1 XP_028518489.1 secretory phospholipase A2 receptor [Exaiptasia diaphana]
OG0000003	Stylophora_pistillata_Spis3772 Spis3772 SpisGene3772	Exaiptasia_diaphana_XP_028513192.1 XP_028513192.1 uncharacterized protein LOC110233363 [Exaiptasia diaphana]
OG0000003	Stylophora_pistillata_Spis4789 Spis4789 SpisGene4789	Exaiptasia_diaphana_XP_028515638.1 XP_028515638.1 uncharacterized protein LOC110241623 [Exaiptasia diaphana]
OG0000003	Stylophora_pistillata_Spis15966 Spis15966 SpisGene15966	Exaiptasia_diaphana_XP_028518744.1 XP_028518744.1 uncharacterized protein LOC110251542 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913924.1 XP_020913924.1 uncharacterized protein LOC110251542 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913925.1 XP_020913925.1 uncharacterized protein LOC110251542 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518745.1 XP_028518745.1 uncharacterized protein LOC110251542 isoform X4 [Exaiptasia diaphana]
OG0000003	Stylophora_pistillata_Spis9880 Spis9880 SpisGene9880	Exaiptasia_diaphana_XP_020893229.1 XP_020893229.1 snaclec coagulation factor IX_factor X-binding protein subunit B-like [Exaiptasia diaphana]
OG0000003	Stylophora_pistillata_Spis4153.t1 Spis4153.t1 SpisGene4153	Exaiptasia_diaphana_XP_020913541.1 XP_020913541.1 macrophage mannose receptor 1 [Exaiptasia diaphana]
OG0000003	Stylophora_pistillata_Spis14636 Spis14636 SpisGene14636	Exaiptasia_diaphana_XP_020894641.1 XP_020894641.1 uncharacterized protein LOC110233667 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513260.1 XP_028513260.1 uncharacterized protein LOC110233667 [Exaiptasia diaphana]
OG0000003	Stylophora_pistillata_Spis3605 Spis3605 SpisGene3605	Exaiptasia_diaphana_XP_020902810.1 XP_020902810.1 uncharacterized protein LOC110241282 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515540.1 XP_028515540.1 uncharacterized protein LOC110241282 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902757.1 XP_020902757.1 uncharacterized protein LOC110241235 [Exaiptasia diaphana]
OG0000003	Stylophora_pistillata_Spis6052 Spis6052 SpisGene6052	Exaiptasia_diaphana_XP_020913629.1 XP_020913629.1 C-type lectin-like [Exaiptasia diaphana]
