Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Insecta_Diptera_Drosophila_melanogaster
OG0000006	Stylophora_pistillata_Spis1234.t1 Spis1234.t1 SpisGene1234	Drosophila_melanogaster_tr_Q058W1_Q058W1_DROME tr|Q058W1|Q058W1_DROME Hig-anchoring scaffold protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=1, Drosophila_melanogaster_tr_Q9VIU9_Q9VIU9_DROME tr|Q9VIU9|Q9VIU9_DROME Hig-anchoring scaffold protein_ isoform C OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=3, Drosophila_melanogaster_tr_B7YZX0_B7YZX0_DROME tr|B7YZX0|B7YZX0_DROME Hig-anchoring scaffold protein_ isoform G OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=2, Drosophila_melanogaster_tr_Q8INW2_Q8INW2_DROME tr|Q8INW2|Q8INW2_DROME Hig-anchoring scaffold protein_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hasp PE=1 SV=1
OG0000006	Stylophora_pistillata_Spis13733 Spis13733 SpisGene13733, Stylophora_pistillata_Spis1578 Spis1578 SpisGene1578	Drosophila_melanogaster_sp_Q09101_HIG_DROME sp|Q09101|HIG_DROME Locomotion-related protein Hikaru genki OS=Drosophila melanogaster OX=7227 GN=hig PE=1 SV=2
OG0000007	Stylophora_pistillata_Spis1859 Spis1859 SpisGene1859	Drosophila_melanogaster_tr_M9PEI1_M9PEI1_DROME tr|M9PEI1|M9PEI1_DROME Dumpy_ isoform U OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PC45_M9PC45_DROME tr|M9PC45|M9PC45_DROME Dumpy_ isoform T OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PB31_M9PB31_DROME tr|M9PB31|M9PB31_DROME Dumpy_ isoform V OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PCJ6_M9PCJ6_DROME tr|M9PCJ6|M9PCJ6_DROME Dumpy_ isoform S OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PC48_M9PC48_DROME tr|M9PC48|M9PC48_DROME Dumpy_ isoform Y OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PEI7_M9PEI7_DROME tr|M9PEI7|M9PEI7_DROME Dumpy_ isoform Z OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PBZ0_M9PBZ0_DROME tr|M9PBZ0|M9PBZ0_DROME Dumpy_ isoform R OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PB30_M9PB30_DROME tr|M9PB30|M9PB30_DROME Dumpy_ isoform Q OS=Drosophila melanogaster OX=7227 GN=dpy PE=1 SV=1, Drosophila_melanogaster_tr_M9PC41_M9PC41_DROME tr|M9PC41|M9PC41_DROME Dumpy_ isoform O OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PB32_M9PB32_DROME tr|M9PB32|M9PB32_DROME Dumpy_ isoform AA OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PEH5_M9PEH5_DROME tr|M9PEH5|M9PEH5_DROME Dumpy_ isoform P OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PBZ4_M9PBZ4_DROME tr|M9PBZ4|M9PBZ4_DROME Dumpy_ isoform W OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9PCJ8_M9PCJ8_DROME tr|M9PCJ8|M9PCJ8_DROME Dumpy_ isoform X OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9NCR4_M9NCR4_DROME tr|M9NCR4|M9NCR4_DROME Dumpy_ isoform J OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9NER8_M9NER8_DROME tr|M9NER8|M9NER8_DROME Dumpy_ isoform I OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1, Drosophila_melanogaster_tr_M9NE82_M9NE82_DROME tr|M9NE82|M9NE82_DROME Dumpy_ isoform M OS=Drosophila melanogaster OX=7227 GN=dpy PE=4 SV=1
OG0000009	Stylophora_pistillata_Spis4925 Spis4925 SpisGene4925, Stylophora_pistillata_Spis8057 Spis8057 SpisGene8057	Drosophila_melanogaster_tr_Q49II5_Q49II5_DROME tr|Q49II5|Q49II5_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ1_Q49IJ1_DROME tr|Q49IJ1|Q49IJ1_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IJ0_Q49IJ0_DROME tr|Q49IJ0|Q49IJ0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II8_Q49II8_DROME tr|Q49II8|Q49II8_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II0_Q49II0_DROME tr|Q49II0|Q49II0_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49II7_Q49II7_DROME tr|Q49II7|Q49II7_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_tr_Q49IK4_Q49IK4_DROME tr|Q49IK4|Q49IK4_DROME Metalloendopeptidase _Fragment_ OS=Drosophila melanogaster OX=7227 GN=tok PE=4 SV=1, Drosophila_melanogaster_sp_Q9VC47_TOK_DROME sp|Q9VC47|TOK_DROME Protein tolkin OS=Drosophila melanogaster OX=7227 GN=tok PE=1 SV=1, Drosophila_melanogaster_tr_Q7YU36_Q7YU36_DROME tr|Q7YU36|Q7YU36_DROME Metalloendopeptidase OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=1, Drosophila_melanogaster_sp_P25723_TLD_DROME sp|P25723|TLD_DROME Dorsal-ventral patterning protein tolloid OS=Drosophila melanogaster OX=7227 GN=tld PE=2 SV=2
OG0000012	Stylophora_pistillata_Spis8301 Spis8301 SpisGene8301, Stylophora_pistillata_Spis6613 Spis6613 SpisGene6613	Drosophila_melanogaster_tr_Q9U5D0_Q9U5D0_DROME tr|Q9U5D0|Q9U5D0_DROME Hemolectin OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1, Drosophila_melanogaster_tr_Q9VU94_Q9VU94_DROME tr|Q9VU94|Q9VU94_DROME Hemolectin_ isoform A OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=2, Drosophila_melanogaster_tr_M9PCE5_M9PCE5_DROME tr|M9PCE5|M9PCE5_DROME Hemolectin_ isoform B OS=Drosophila melanogaster OX=7227 GN=Hml PE=1 SV=1, Drosophila_melanogaster_tr_Q8MS79_Q8MS79_DROME tr|Q8MS79|Q8MS79_DROME LP05709p OS=Drosophila melanogaster OX=7227 GN=Hml PE=2 SV=1
OG0000012	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321	Drosophila_melanogaster_tr_Q9W2H2_Q9W2H2_DROME tr|Q9W2H2|Q9W2H2_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2, Drosophila_melanogaster_tr_Q9GYX3_Q9GYX3_DROME tr|Q9GYX3|Q9GYX3_DROME Crossveinless 2 OS=Drosophila melanogaster OX=7227 GN=cv-2 PE=2 SV=2
OG0000012	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283, Stylophora_pistillata_Spis16938 Spis16938 SpisGene16938	Drosophila_melanogaster_tr_Q9VKA7_Q9VKA7_DROME tr|Q9VKA7|Q9VKA7_DROME VWFC domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Dmel\CG17211 PE=4 SV=1
OG0000013	Stylophora_pistillata_Spis10384 Spis10384 SpisGene10384	Drosophila_melanogaster_tr_Q9VM26_Q9VM26_DROME tr|Q9VM26|Q9VM26_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt6 PE=2 SV=3
OG0000013	Stylophora_pistillata_Spis10385 Spis10385 SpisGene10385	Drosophila_melanogaster_sp_P09615_WNTG_DROME sp|P09615|WNTG_DROME Protein wingless OS=Drosophila melanogaster OX=7227 GN=wg PE=1 SV=1
OG0000013	Stylophora_pistillata_Spis3868.t1 Spis3868.t1 SpisGene3868	Drosophila_melanogaster_sp_P28465_WNT2_DROME sp|P28465|WNT2_DROME Protein Wnt-2 OS=Drosophila melanogaster OX=7227 GN=Wnt2 PE=2 SV=2, Drosophila_melanogaster_tr_A0A0B4LFY4_A0A0B4LFY4_DROME tr|A0A0B4LFY4|A0A0B4LFY4_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt2 PE=3 SV=1
OG0000013	Stylophora_pistillata_Spis18607.t1 Spis18607.t1 SpisGene18607, Stylophora_pistillata_Spis727 Spis727 SpisGene727, Stylophora_pistillata_Spis726 Spis726 SpisGene726, Stylophora_pistillata_Spis18606 Spis18606 SpisGene18606	Drosophila_melanogaster_sp_Q9VFX1_WNT8_DROME sp|Q9VFX1|WNT8_DROME Wnt inhibitor of Dorsal protein OS=Drosophila melanogaster OX=7227 GN=wntD PE=1 SV=2
OG0000013	Stylophora_pistillata_Spis10383 Spis10383 SpisGene10383	Drosophila_melanogaster_tr_Q9VM25_Q9VM25_DROME tr|Q9VM25|Q9VM25_DROME Protein Wnt OS=Drosophila melanogaster OX=7227 GN=Wnt10 PE=3 SV=4
OG0000014	Stylophora_pistillata_Spis347 Spis347 SpisGene347	Drosophila_melanogaster_tr_Q9VKV3_Q9VKV3_DROME tr|Q9VKV3|Q9VKV3_DROME Lonely heart_ isoform A OS=Drosophila melanogaster OX=7227 GN=loh PE=4 SV=3, Drosophila_melanogaster_tr_Q8MSF8_Q8MSF8_DROME tr|Q8MSF8|Q8MSF8_DROME GM15606p OS=Drosophila melanogaster OX=7227 GN=loh PE=2 SV=1, Drosophila_melanogaster_tr_E1JHE3_E1JHE3_DROME tr|E1JHE3|E1JHE3_DROME Lonely heart_ isoform D OS=Drosophila melanogaster OX=7227 GN=loh PE=4 SV=2, Drosophila_melanogaster_tr_M9MRI1_M9MRI1_DROME tr|M9MRI1|M9MRI1_DROME Lonely heart_ isoform C OS=Drosophila melanogaster OX=7227 GN=loh PE=4 SV=1
OG0000014	Stylophora_pistillata_Spis2407 Spis2407 SpisGene2407	Drosophila_melanogaster_sp_Q868Z9_PPN_DROME sp|Q868Z9|PPN_DROME Papilin OS=Drosophila melanogaster OX=7227 GN=Ppn PE=1 SV=2
OG0000014	Stylophora_pistillata_Spis12681 Spis12681 SpisGene12681	Drosophila_melanogaster_tr_A0A0B4KHK4_A0A0B4KHK4_DROME tr|A0A0B4KHK4|A0A0B4KHK4_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform C OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=4 SV=1, Drosophila_melanogaster_tr_Q7KSH7_Q7KSH7_DROME tr|Q7KSH7|Q7KSH7_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform E OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=4 SV=1, Drosophila_melanogaster_tr_Q8SXB0_Q8SXB0_DROME tr|Q8SXB0|Q8SXB0_DROME ADAM metallopeptidase with thrombospondin type 1 motif A_ isoform B OS=Drosophila melanogaster OX=7227 GN=AdamTS-A PE=2 SV=1
OG0000014	Stylophora_pistillata_Spis12680 Spis12680 SpisGene12680	Drosophila_melanogaster_tr_Q8MRL5_Q8MRL5_DROME tr|Q8MRL5|Q8MRL5_DROME ADAM metallopeptidase with thrombospondin type 1 motif B_ isoform C OS=Drosophila melanogaster OX=7227 GN=AdamTS-B PE=2 SV=1, Drosophila_melanogaster_tr_Q9W493_Q9W493_DROME tr|Q9W493|Q9W493_DROME ADAM metallopeptidase with thrombospondin type 1 motif B_ isoform B OS=Drosophila melanogaster OX=7227 GN=AdamTS-B PE=4 SV=3
