Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Chordata_Amphioxiformes_Branchiostoma_belcheri
OG0000009	Stylophora_pistillata_Spis744 Spis744 SpisGene744, Stylophora_pistillata_Spis24015 Spis24015 SpisGene24015, Stylophora_pistillata_Spis19195 Spis19195 SpisGene19195	Branchiostoma_belcheri_tr_A0A6P4ZR91_A0A6P4ZR91_BRABE tr|A0A6P4ZR91|A0A6P4ZR91_BRABE Cubilin-like OS=Branchiostoma belcheri OX=7741 GN=LOC109476888 PE=4 SV=1
OG0000009	Stylophora_pistillata_Spis5431 Spis5431 SpisGene5431, Stylophora_pistillata_Spis15154 Spis15154 SpisGene15154	Branchiostoma_belcheri_tr_A0A6P4Z5M5_A0A6P4Z5M5_BRABE tr|A0A6P4Z5M5|A0A6P4Z5M5_BRABE CUB and sushi domain-containing protein 2-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109471493 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z9R3_A0A6P4Z9R3_BRABE tr|A0A6P4Z9R3|A0A6P4Z9R3_BRABE Seizure 6-like protein 2 isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109471493 PE=4 SV=1
OG0000009	Stylophora_pistillata_Spis16344 Spis16344 SpisGene16344, Stylophora_pistillata_Spis16137 Spis16137 SpisGene16137, Stylophora_pistillata_Spis16138 Spis16138 SpisGene16138, Stylophora_pistillata_Spis16135 Spis16135 SpisGene16135, Stylophora_pistillata_Spis18721 Spis18721 SpisGene18721, Stylophora_pistillata_Spis14789 Spis14789 SpisGene14789, Stylophora_pistillata_Spis14786 Spis14786 SpisGene14786, Stylophora_pistillata_Spis14787 Spis14787 SpisGene14787, Stylophora_pistillata_Spis14785 Spis14785 SpisGene14785, Stylophora_pistillata_Spis18539 Spis18539 SpisGene18539, Stylophora_pistillata_Spis12284 Spis12284 SpisGene12284, Stylophora_pistillata_Spis12283 Spis12283 SpisGene12283, Stylophora_pistillata_Spis18540 Spis18540 SpisGene18540, Stylophora_pistillata_Spis13082 Spis13082 SpisGene13082, Stylophora_pistillata_Spis6688 Spis6688 SpisGene6688, Stylophora_pistillata_Spis24451 Spis24451 SpisGene24451	Branchiostoma_belcheri_tr_A0A6P4YGI1_A0A6P4YGI1_BRABE tr|A0A6P4YGI1|A0A6P4YGI1_BRABE Cubilin-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469468 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZFH8_A0A6P4ZFH8_BRABE tr|A0A6P4ZFH8|A0A6P4ZFH8_BRABE Cubilin-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474081 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YLW0_A0A6P4YLW0_BRABE tr|A0A6P4YLW0|A0A6P4YLW0_BRABE Neuropilin-1a-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465349 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YRN3_A0A6P4YRN3_BRABE tr|A0A6P4YRN3|A0A6P4YRN3_BRABE Deleted in malignant brain tumors 1 protein-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466576 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y6V1_A0A6P4Y6V1_BRABE tr|A0A6P4Y6V1|A0A6P4Y6V1_BRABE Tolloid-like protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109466766 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZQV6_A0A6P4ZQV6_BRABE tr|A0A6P4ZQV6|A0A6P4ZQV6_BRABE Bone morphogenetic protein 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109481141 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZYV9_A0A6P4ZYV9_BRABE tr|A0A6P4ZYV9|A0A6P4ZYV9_BRABE Procollagen C-endopeptidase enhancer 2-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109481141 PE=4 SV=1
OG0000009	Stylophora_pistillata_Spis20339 Spis20339 SpisGene20339	Branchiostoma_belcheri_tr_A0A6P4XZK1_A0A6P4XZK1_BRABE tr|A0A6P4XZK1|A0A6P4XZK1_BRABE Tolloid-like protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109468255 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZTJ4_A0A6P4ZTJ4_BRABE tr|A0A6P4ZTJ4|A0A6P4ZTJ4_BRABE Proteoglycan 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109476384 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ARX3_A0A6P5ARX3_BRABE tr|A0A6P5ARX3|A0A6P5ARX3_BRABE CUB domain-containing protein 2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486431 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y5E2_A0A6P4Y5E2_BRABE tr|A0A6P4Y5E2|A0A6P4Y5E2_BRABE CUB domain-containing protein 2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469915 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XZK9_A0A6P4XZK9_BRABE tr|A0A6P4XZK9|A0A6P4XZK9_BRABE Bone morphogenetic protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468259 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZFI5_A0A6P4ZFI5_BRABE tr|A0A6P4ZFI5|A0A6P4ZFI5_BRABE Tolloid-like protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109474082 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XVS2_A0A6P4XVS2_BRABE tr|A0A6P4XVS2|A0A6P4XVS2_BRABE Dorsal-ventral patterning tolloid-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109462561 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XN18_A0A6P4XN18_BRABE tr|A0A6P4XN18|A0A6P4XN18_BRABE Dorsal-ventral patterning tolloid-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109461529 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZKE3_A0A6P4ZKE3_BRABE tr|A0A6P4ZKE3|A0A6P4ZKE3_BRABE CUB and sushi domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109475385 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YS52_A0A6P4YS52_BRABE tr|A0A6P4YS52|A0A6P4YS52_BRABE CUB and sushi domain-containing protein 3-like OS=Branchiostoma belcheri OX=7741 GN=LOC109475933 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZC15_A0A6P4ZC15_BRABE tr|A0A6P4ZC15|A0A6P4ZC15_BRABE Tolloid-like protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109473201 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZDK2_A0A6P4ZDK2_BRABE tr|A0A6P4ZDK2|A0A6P4ZDK2_BRABE CUB and sushi domain-containing protein 2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109481276 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZVI7_A0A6P4ZVI7_BRABE tr|A0A6P4ZVI7|A0A6P4ZVI7_BRABE CUB and sushi domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109477937 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YC81_A0A6P4YC81_BRABE tr|A0A6P4YC81|A0A6P4YC81_BRABE CUB and sushi domain-containing protein 3-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468204 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y5K1_A0A6P4Y5K1_BRABE tr|A0A6P4Y5K1|A0A6P4Y5K1_BRABE CUB and sushi domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469960 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZDK9_A0A6P4ZDK9_BRABE tr|A0A6P4ZDK9|A0A6P4ZDK9_BRABE Mucin-5AC-like OS=Branchiostoma belcheri OX=7741 GN=LOC109472418 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZR14_A0A6P4ZR14_BRABE tr|A0A6P4ZR14|A0A6P4ZR14_BRABE CUB and sushi domain-containing protein 2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479084 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZK22_A0A6P4ZK22_BRABE tr|A0A6P4ZK22|A0A6P4ZK22_BRABE CUB and sushi domain-containing protein 2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109483050 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XNF5_A0A6P4XNF5_BRABE tr|A0A6P4XNF5|A0A6P4XNF5_BRABE Bone morphogenetic protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109461663 PE=4 SV=1
OG0000010	Stylophora_pistillata_Spis1190 Spis1190 SpisGene1190	Branchiostoma_belcheri_tr_A0A6P5ADU1_A0A6P5ADU1_BRABE tr|A0A6P5ADU1|A0A6P5ADU1_BRABE Roundabout homolog 1-like isoform X7 OS=Branchiostoma belcheri OX=7741 GN=LOC109488168 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AXY8_A0A6P5AXY8_BRABE tr|A0A6P5AXY8|A0A6P5AXY8_BRABE Roundabout homolog 1-like isoform X6 OS=Branchiostoma belcheri OX=7741 GN=LOC109488168 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AP31_A0A6P5AP31_BRABE tr|A0A6P5AP31|A0A6P5AP31_BRABE Roundabout homolog 1-like isoform X8 OS=Branchiostoma belcheri OX=7741 GN=LOC109488168 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A3R8_A0A6P5A3R8_BRABE tr|A0A6P5A3R8|A0A6P5A3R8_BRABE Roundabout homolog 1-like isoform X5 OS=Branchiostoma belcheri OX=7741 GN=LOC109488168 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ADT6_A0A6P5ADT6_BRABE tr|A0A6P5ADT6|A0A6P5ADT6_BRABE Roundabout homolog 1-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109488168 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AXY4_A0A6P5AXY4_BRABE tr|A0A6P5AXY4|A0A6P5AXY4_BRABE Roundabout homolog 1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109488168 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A3R5_A0A6P5A3R5_BRABE tr|A0A6P5A3R5|A0A6P5A3R5_BRABE Roundabout homolog 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109488168 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AP27_A0A6P5AP27_BRABE tr|A0A6P5AP27|A0A6P5AP27_BRABE Roundabout homolog 1-like isoform X4 OS=Branchiostoma belcheri OX=7741 GN=LOC109488168 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A3S4_A0A6P5A3S4_BRABE tr|A0A6P5A3S4|A0A6P5A3S4_BRABE Roundabout homolog 1-like isoform X9 OS=Branchiostoma belcheri OX=7741 GN=LOC109488168 PE=4 SV=1
OG0000010	Stylophora_pistillata_Spis11339 Spis11339 SpisGene11339	Branchiostoma_belcheri_tr_A0A6P4Y602_A0A6P4Y602_BRABE tr|A0A6P4Y602|A0A6P4Y602_BRABE Protein sidekick homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109466584 PE=4 SV=1
OG0000010	Stylophora_pistillata_Spis19002 Spis19002 SpisGene19002, Stylophora_pistillata_Spis19416.t1 Spis19416.t1 SpisGene19416, Stylophora_pistillata_Spis15992 Spis15992 SpisGene15992, Stylophora_pistillata_Spis15994 Spis15994 SpisGene15994, Stylophora_pistillata_Spis23832 Spis23832 SpisGene23832, Stylophora_pistillata_Spis22051 Spis22051 SpisGene22051	Branchiostoma_belcheri_tr_A0A6P4YGJ2_A0A6P4YGJ2_BRABE tr|A0A6P4YGJ2|A0A6P4YGJ2_BRABE Basement membrane-specific heparan sulfate proteoglycan core protein-like OS=Branchiostoma belcheri OX=7741 GN=LOC109472951 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZB96_A0A6P4ZB96_BRABE tr|A0A6P4ZB96|A0A6P4ZB96_BRABE Down syndrome cell adhesion molecule-like protein 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109472953 PE=4 SV=1
OG0000010	Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363	Branchiostoma_belcheri_tr_A0A6P4Z6X1_A0A6P4Z6X1_BRABE tr|A0A6P4Z6X1|A0A6P4Z6X1_BRABE Basement membrane-specific heparan sulfate proteoglycan core protein-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479630 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZU55_A0A6P4ZU55_BRABE tr|A0A6P4ZU55|A0A6P4ZU55_BRABE Basement membrane-specific heparan sulfate proteoglycan core protein-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479985 PE=4 SV=1
OG0000010	Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579	Branchiostoma_belcheri_tr_A0A6P4Z7W7_A0A6P4Z7W7_BRABE tr|A0A6P4Z7W7|A0A6P4Z7W7_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZTT5_A0A6P4ZTT5_BRABE tr|A0A6P4ZTT5|A0A6P4ZTT5_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZL59_A0A6P4ZL59_BRABE tr|A0A6P4ZL59|A0A6P4ZL59_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZTU8_A0A6P4ZTU8_BRABE tr|A0A6P4ZTU8|A0A6P4ZTU8_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2U7_A0A6P5A2U7_BRABE tr|A0A6P5A2U7|A0A6P5A2U7_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z7X2_A0A6P4Z7X2_BRABE tr|A0A6P4Z7X2|A0A6P4Z7X2_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2U2_A0A6P5A2U2_BRABE tr|A0A6P5A2U2|A0A6P5A2U2_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A6V9_A0A6P5A6V9_BRABE tr|A0A6P5A6V9|A0A6P5A6V9_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZTU0_A0A6P4ZTU0_BRABE tr|A0A6P4ZTU0|A0A6P4ZTU0_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZL62_A0A6P4ZL62_BRABE tr|A0A6P4ZL62|A0A6P4ZL62_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A6W5_A0A6P5A6W5_BRABE tr|A0A6P5A6W5|A0A6P5A6W5_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z7X5_A0A6P4Z7X5_BRABE tr|A0A6P4Z7X5|A0A6P4Z7X5_BRABE Agrin OS=Branchiostoma belcheri OX=7741 GN=LOC109479912 PE=4 SV=1
OG0000010	Stylophora_pistillata_Spis13273 Spis13273 SpisGene13273	Branchiostoma_belcheri_tr_A0A6P4YGS4_A0A6P4YGS4_BRABE tr|A0A6P4YGS4|A0A6P4YGS4_BRABE Follistatin-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469546 PE=4 SV=1
OG0000011	Stylophora_pistillata_Spis2040 Spis2040 SpisGene2040, Stylophora_pistillata_Spis17 Spis17 SpisGene17, Stylophora_pistillata_Spis16 Spis16 SpisGene16	Branchiostoma_belcheri_tr_A0A6P4YZQ1_A0A6P4YZQ1_BRABE tr|A0A6P4YZQ1|A0A6P4YZQ1_BRABE Matrilin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469969 PE=4 SV=1
OG0000011	Stylophora_pistillata_Spis4945 Spis4945 SpisGene4945	Branchiostoma_belcheri_tr_A0A6P4ZSB1_A0A6P4ZSB1_BRABE tr|A0A6P4ZSB1|A0A6P4ZSB1_BRABE Store-operated calcium entry-associated regulatory factor OS=Branchiostoma belcheri OX=7741 GN=LOC109476093 PE=3 SV=1
OG0000012	Stylophora_pistillata_Spis6613 Spis6613 SpisGene6613	Branchiostoma_belcheri_tr_A0A6P4YK75_A0A6P4YK75_BRABE tr|A0A6P4YK75|A0A6P4YK75_BRABE SCO-spondin OS=Branchiostoma belcheri OX=7741 GN=LOC109474088 PE=3 SV=1
OG0000012	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321	Branchiostoma_belcheri_tr_A0A6P4Y5K6_A0A6P4Y5K6_BRABE tr|A0A6P4Y5K6|A0A6P4Y5K6_BRABE Zonadhesin-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469966 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A8W4_A0A6P5A8W4_BRABE tr|A0A6P5A8W4|A0A6P5A8W4_BRABE IgGFc-binding protein-like OS=Branchiostoma belcheri OX=7741 GN=LOC109480438 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y7H2_A0A6P4Y7H2_BRABE tr|A0A6P4Y7H2|A0A6P4Y7H2_BRABE Uncharacterized protein LOC109462574 OS=Branchiostoma belcheri OX=7741 GN=LOC109462574 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YI10_A0A6P4YI10_BRABE tr|A0A6P4YI10|A0A6P4YI10_BRABE Fibrillin-2-like isoform X49 OS=Branchiostoma belcheri OX=7741 GN=LOC109465484 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y1P7_A0A6P4Y1P7_BRABE tr|A0A6P4Y1P7|A0A6P4Y1P7_BRABE Fibrillin-2-like isoform X48 OS=Branchiostoma belcheri OX=7741 GN=LOC109465484 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A0V0_A0A6P5A0V0_BRABE tr|A0A6P5A0V0|A0A6P5A0V0_BRABE Fibrillin-3-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479308 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XQ39_A0A6P4XQ39_BRABE tr|A0A6P4XQ39|A0A6P4XQ39_BRABE BMP-binding endothelial regulator protein-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462140 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YG04_A0A6P4YG04_BRABE tr|A0A6P4YG04|A0A6P4YG04_BRABE Kielin/chordin-like protein OS=Branchiostoma belcheri OX=7741 GN=LOC109467403 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z9Y4_A0A6P4Z9Y4_BRABE tr|A0A6P4Z9Y4|A0A6P4Z9Y4_BRABE Fibrillin-2-like isoform X13 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZI31_A0A6P4ZI31_BRABE tr|A0A6P4ZI31|A0A6P4ZI31_BRABE Kielin/chordin-like protein isoform X11 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z2F9_A0A6P4Z2F9_BRABE tr|A0A6P4Z2F9|A0A6P4Z2F9_BRABE Kielin/chordin-like protein isoform X12 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z2G4_A0A6P4Z2G4_BRABE tr|A0A6P4Z2G4|A0A6P4Z2G4_BRABE Fibrillin-1-like isoform X17 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZMA4_A0A6P4ZMA4_BRABE tr|A0A6P4ZMA4|A0A6P4ZMA4_BRABE Fibrillin-2-like isoform X15 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZI36_A0A6P4ZI36_BRABE tr|A0A6P4ZI36|A0A6P4ZI36_BRABE Fibrillin-1-like isoform X16 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZMA8_A0A6P4ZMA8_BRABE tr|A0A6P4ZMA8|A0A6P4ZMA8_BRABE Fibrillin-2-like isoform X19 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZI41_A0A6P4ZI41_BRABE tr|A0A6P4ZI41|A0A6P4ZI41_BRABE Fibrillin-2-like isoform X20 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZI46_A0A6P4ZI46_BRABE tr|A0A6P4ZI46|A0A6P4ZI46_BRABE Kielin/chordin-like protein isoform X25 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZMB3_A0A6P4ZMB3_BRABE tr|A0A6P4ZMB3|A0A6P4ZMB3_BRABE Fibrillin-2-like isoform X24 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YMQ3_A0A6P4YMQ3_BRABE tr|A0A6P4YMQ3|A0A6P4YMQ3_BRABE Fibrillin-2-like isoform X23 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z2G9_A0A6P4Z2G9_BRABE tr|A0A6P4Z2G9|A0A6P4Z2G9_BRABE Fibrillin-2-like isoform X21 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z9Z9_A0A6P4Z9Z9_BRABE tr|A0A6P4Z9Z9|A0A6P4Z9Z9_BRABE Fibrillin-2-like isoform X22 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YMP8_A0A6P4YMP8_BRABE tr|A0A6P4YMP8|A0A6P4YMP8_BRABE Fibrillin-2-like isoform X18 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZM99_A0A6P4ZM99_BRABE tr|A0A6P4ZM99|A0A6P4ZM99_BRABE Fibrillin-1-like isoform X10 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YMP4_A0A6P4YMP4_BRABE tr|A0A6P4YMP4|A0A6P4YMP4_BRABE Fibrillin-2-like isoform X14 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZM94_A0A6P4ZM94_BRABE tr|A0A6P4ZM94|A0A6P4ZM94_BRABE Fibrillin-1-like isoform X6 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z9X3_A0A6P4Z9X3_BRABE tr|A0A6P4Z9X3|A0A6P4Z9X3_BRABE Fibrillin-1-like isoform X4 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZI25_A0A6P4ZI25_BRABE tr|A0A6P4ZI25|A0A6P4ZI25_BRABE Fibrillin-1-like isoform X7 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z9X9_A0A6P4Z9X9_BRABE tr|A0A6P4Z9X9|A0A6P4Z9X9_BRABE Fibrillin-2-like isoform X8 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z2F0_A0A6P4Z2F0_BRABE tr|A0A6P4Z2F0|A0A6P4Z2F0_BRABE Kielin/chordin-like protein isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YMN9_A0A6P4YMN9_BRABE tr|A0A6P4YMN9|A0A6P4YMN9_BRABE Fibrillin-1-like isoform X9 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YMN2_A0A6P4YMN2_BRABE tr|A0A6P4YMN2|A0A6P4YMN2_BRABE Fibrillin-1-like isoform X5 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZM89_A0A6P4ZM89_BRABE tr|A0A6P4ZM89|A0A6P4ZM89_BRABE Fibrillin-2-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZI20_A0A6P4ZI20_BRABE tr|A0A6P4ZI20|A0A6P4ZI20_BRABE Fibrillin-2-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109474809 PE=4 SV=1
OG0000012	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283	Branchiostoma_belcheri_tr_A0A6P5A8U6_A0A6P5A8U6_BRABE tr|A0A6P5A8U6|A0A6P5A8U6_BRABE Tenascin-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486622 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YY24_A0A6P4YY24_BRABE tr|A0A6P4YY24|A0A6P4YY24_BRABE LOW QUALITY PROTEIN_ uncharacterized protein LOC109469615 OS=Branchiostoma belcheri OX=7741 GN=LOC109469615 PE=4 SV=1
