Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000003	Stylophora_pistillata_Spis21314 Spis21314 SpisGene21314, Stylophora_pistillata_Spis25012 Spis25012 SpisGene25012, Stylophora_pistillata_Spis22574 Spis22574 SpisGene22574, Stylophora_pistillata_Spis19863 Spis19863 SpisGene19863, Stylophora_pistillata_Spis22322 Spis22322 SpisGene22322, Stylophora_pistillata_Spis22423 Spis22423 SpisGene22423, Stylophora_pistillata_Spis22351 Spis22351 SpisGene22351, Stylophora_pistillata_Spis22421 Spis22421 SpisGene22421, Stylophora_pistillata_Spis19258 Spis19258 SpisGene19258, Stylophora_pistillata_Spis15693 Spis15693 SpisGene15693, Stylophora_pistillata_Spis15691 Spis15691 SpisGene15691, Stylophora_pistillata_Spis20399 Spis20399 SpisGene20399, Stylophora_pistillata_Spis22352 Spis22352 SpisGene22352, Stylophora_pistillata_Spis18451 Spis18451 SpisGene18451, Stylophora_pistillata_Spis15328 Spis15328 SpisGene15328, Stylophora_pistillata_Spis23195 Spis23195 SpisGene23195, Stylophora_pistillata_Spis22238 Spis22238 SpisGene22238, Stylophora_pistillata_Spis21940 Spis21940 SpisGene21940, Stylophora_pistillata_Spis21152 Spis21152 SpisGene21152, Stylophora_pistillata_Spis7666 Spis7666 SpisGene7666, Stylophora_pistillata_Spis7667 Spis7667 SpisGene7667, Stylophora_pistillata_Spis21151 Spis21151 SpisGene21151, Stylophora_pistillata_Spis21153 Spis21153 SpisGene21153, Stylophora_pistillata_Spis21146 Spis21146 SpisGene21146, Stylophora_pistillata_Spis7664 Spis7664 SpisGene7664, Stylophora_pistillata_Spis7665 Spis7665 SpisGene7665, Stylophora_pistillata_Spis23623 Spis23623 SpisGene23623, Stylophora_pistillata_Spis21933 Spis21933 SpisGene21933, Stylophora_pistillata_Spis23587 Spis23587 SpisGene23587, Stylophora_pistillata_Spis24070 Spis24070 SpisGene24070, Stylophora_pistillata_Spis23989 Spis23989 SpisGene23989, Stylophora_pistillata_Spis24000 Spis24000 SpisGene24000, Stylophora_pistillata_Spis22422 Spis22422 SpisGene22422, Stylophora_pistillata_Spis22283 Spis22283 SpisGene22283, Stylophora_pistillata_Spis23016 Spis23016 SpisGene23016, Stylophora_pistillata_Spis22284 Spis22284 SpisGene22284, Stylophora_pistillata_Spis17651 Spis17651 SpisGene17651, Stylophora_pistillata_Spis23995 Spis23995 SpisGene23995, Stylophora_pistillata_Spis13317 Spis13317 SpisGene13317, Stylophora_pistillata_Spis24974 Spis24974 SpisGene24974, Stylophora_pistillata_Spis5993 Spis5993 SpisGene5993	Mnemiopsis_leidyi_ML090113a ML090113a
OG0000005	Stylophora_pistillata_Spis399 Spis399 SpisGene399, Stylophora_pistillata_Spis14783 Spis14783 SpisGene14783, Stylophora_pistillata_Spis8938.t1 Spis8938.t1 SpisGene8938, Stylophora_pistillata_Spis8937 Spis8937 SpisGene8937	Mnemiopsis_leidyi_ML104615a ML104615a, Mnemiopsis_leidyi_ML104616a ML104616a, Mnemiopsis_leidyi_ML00083a ML00083a
OG0000005	Stylophora_pistillata_Spis16651 Spis16651 SpisGene16651	Mnemiopsis_leidyi_ML073410a ML073410a
OG0000005	Stylophora_pistillata_Spis8400 Spis8400 SpisGene8400, Stylophora_pistillata_Spis22252 Spis22252 SpisGene22252, Stylophora_pistillata_Spis2313 Spis2313 SpisGene2313	Mnemiopsis_leidyi_ML348710a ML348710a
OG0000006	Stylophora_pistillata_Spis21228 Spis21228 SpisGene21228	Mnemiopsis_leidyi_ML14766a ML14766a
OG0000008	Stylophora_pistillata_Spis22192 Spis22192 SpisGene22192	Mnemiopsis_leidyi_ML09866a ML09866a
OG0000009	Stylophora_pistillata_Spis4925 Spis4925 SpisGene4925	Mnemiopsis_leidyi_ML31401a ML31401a, Mnemiopsis_leidyi_ML007435a ML007435a
OG0000009	Stylophora_pistillata_Spis8057 Spis8057 SpisGene8057	Mnemiopsis_leidyi_ML016314a ML016314a
OG0000010	Stylophora_pistillata_Spis6111 Spis6111 SpisGene6111	Mnemiopsis_leidyi_ML14872a ML14872a
OG0000010	Stylophora_pistillata_Spis2938 Spis2938 SpisGene2938, Stylophora_pistillata_Spis23700 Spis23700 SpisGene23700, Stylophora_pistillata_Spis4991 Spis4991 SpisGene4991	Mnemiopsis_leidyi_ML010533a ML010533a
OG0000010	Stylophora_pistillata_Spis8363.t1 Spis8363.t1 SpisGene8363	Mnemiopsis_leidyi_ML004921a ML004921a
OG0000010	Stylophora_pistillata_Spis20690 Spis20690 SpisGene20690, Stylophora_pistillata_Spis8579 Spis8579 SpisGene8579, Stylophora_pistillata_Spis13273 Spis13273 SpisGene13273	Mnemiopsis_leidyi_ML00905a ML00905a
OG0000011	Stylophora_pistillata_Spis22183 Spis22183 SpisGene22183	Mnemiopsis_leidyi_ML040527a ML040527a, Mnemiopsis_leidyi_ML049626a ML049626a, Mnemiopsis_leidyi_ML020038a ML020038a, Mnemiopsis_leidyi_ML24001a ML24001a, Mnemiopsis_leidyi_ML07111a ML07111a, Mnemiopsis_leidyi_ML30814a ML30814a, Mnemiopsis_leidyi_ML00872a ML00872a, Mnemiopsis_leidyi_ML120750a ML120750a, Mnemiopsis_leidyi_ML046712a ML046712a, Mnemiopsis_leidyi_ML07112a ML07112a
OG0000012	Stylophora_pistillata_Spis8301 Spis8301 SpisGene8301, Stylophora_pistillata_Spis6613 Spis6613 SpisGene6613	Mnemiopsis_leidyi_ML31161a ML31161a, Mnemiopsis_leidyi_ML03227a ML03227a, Mnemiopsis_leidyi_ML231816a ML231816a
OG0000012	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a, Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a, Mnemiopsis_leidyi_ML41863a ML41863a
OG0000012	Stylophora_pistillata_Spis3283 Spis3283 SpisGene3283	Mnemiopsis_leidyi_ML020019a ML020019a
OG0000013	Stylophora_pistillata_Spis10384 Spis10384 SpisGene10384	Mnemiopsis_leidyi_ML101013a ML101013a
OG0000013	Stylophora_pistillata_Spis3868.t1 Spis3868.t1 SpisGene3868, Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826	Mnemiopsis_leidyi_ML06021a ML06021a
OG0000015	Stylophora_pistillata_Spis12670.t1 Spis12670.t1 SpisGene12670, Stylophora_pistillata_Spis12671 Spis12671 SpisGene12671, Stylophora_pistillata_Spis12669 Spis12669 SpisGene12669	Mnemiopsis_leidyi_ML25991a ML25991a
OG0000015	Stylophora_pistillata_Spis11353 Spis11353 SpisGene11353, Stylophora_pistillata_Spis20235.t1 Spis20235.t1 SpisGene20235, Stylophora_pistillata_Spis6262 Spis6262 SpisGene6262, Stylophora_pistillata_Spis6260 Spis6260 SpisGene6260, Stylophora_pistillata_Spis6259 Spis6259 SpisGene6259, Stylophora_pistillata_Spis6258 Spis6258 SpisGene6258, Stylophora_pistillata_Spis20234 Spis20234 SpisGene20234, Stylophora_pistillata_Spis12021 Spis12021 SpisGene12021, Stylophora_pistillata_Spis7563 Spis7563 SpisGene7563, Stylophora_pistillata_Spis7569 Spis7569 SpisGene7569, Stylophora_pistillata_Spis7566 Spis7566 SpisGene7566, Stylophora_pistillata_Spis12022 Spis12022 SpisGene12022, Stylophora_pistillata_Spis7567 Spis7567 SpisGene7567, Stylophora_pistillata_Spis7572 Spis7572 SpisGene7572, Stylophora_pistillata_Spis7575 Spis7575 SpisGene7575, Stylophora_pistillata_Spis7573 Spis7573 SpisGene7573, Stylophora_pistillata_Spis8023 Spis8023 SpisGene8023, Stylophora_pistillata_Spis8022 Spis8022 SpisGene8022, Stylophora_pistillata_Spis12645 Spis12645 SpisGene12645, Stylophora_pistillata_Spis12644 Spis12644 SpisGene12644, Stylophora_pistillata_Spis12648 Spis12648 SpisGene12648, Stylophora_pistillata_Spis13905 Spis13905 SpisGene13905, Stylophora_pistillata_Spis12653 Spis12653 SpisGene12653, Stylophora_pistillata_Spis13901 Spis13901 SpisGene13901, Stylophora_pistillata_Spis12668 Spis12668 SpisGene12668, Stylophora_pistillata_Spis10275 Spis10275 SpisGene10275, Stylophora_pistillata_Spis6060 Spis6060 SpisGene6060, Stylophora_pistillata_Spis14393 Spis14393 SpisGene14393, Stylophora_pistillata_Spis7814 Spis7814 SpisGene7814	Mnemiopsis_leidyi_ML17012a ML17012a
OG0000016	Stylophora_pistillata_Spis19202 Spis19202 SpisGene19202	Mnemiopsis_leidyi_ML282519a ML282519a
OG0000018	Stylophora_pistillata_Spis23534 Spis23534 SpisGene23534, Stylophora_pistillata_Spis15395 Spis15395 SpisGene15395, Stylophora_pistillata_Spis2803 Spis2803 SpisGene2803, Stylophora_pistillata_Spis18446 Spis18446 SpisGene18446, Stylophora_pistillata_Spis18450 Spis18450 SpisGene18450, Stylophora_pistillata_Spis6249 Spis6249 SpisGene6249, Stylophora_pistillata_Spis6248 Spis6248 SpisGene6248, Stylophora_pistillata_Spis24408 Spis24408 SpisGene24408	Mnemiopsis_leidyi_ML02231a ML02231a, Mnemiopsis_leidyi_ML02243a ML02243a, Mnemiopsis_leidyi_ML006919a ML006919a, Mnemiopsis_leidyi_ML096926a ML096926a
OG0000018	Stylophora_pistillata_Spis15398 Spis15398 SpisGene15398, Stylophora_pistillata_Spis17286.t1 Spis17286.t1 SpisGene17286, Stylophora_pistillata_Spis11637 Spis11637 SpisGene11637	Mnemiopsis_leidyi_ML044129a ML044129a
OG0000019	Stylophora_pistillata_Spis16254 Spis16254 SpisGene16254	Mnemiopsis_leidyi_ML368911a ML368911a, Mnemiopsis_leidyi_ML368915a ML368915a
OG0000019	Stylophora_pistillata_Spis20402 Spis20402 SpisGene20402, Stylophora_pistillata_Spis4504 Spis4504 SpisGene4504, Stylophora_pistillata_Spis8182.t1 Spis8182.t1 SpisGene8182, Stylophora_pistillata_Spis1246 Spis1246 SpisGene1246, Stylophora_pistillata_Spis5212 Spis5212 SpisGene5212, Stylophora_pistillata_Spis1236 Spis1236 SpisGene1236, Stylophora_pistillata_Spis8792 Spis8792 SpisGene8792	Mnemiopsis_leidyi_ML218835a ML218835a
OG0000019	Stylophora_pistillata_Spis10793 Spis10793 SpisGene10793, Stylophora_pistillata_Spis7539 Spis7539 SpisGene7539, Stylophora_pistillata_Spis6103 Spis6103 SpisGene6103, Stylophora_pistillata_Spis6102 Spis6102 SpisGene6102, Stylophora_pistillata_Spis21128 Spis21128 SpisGene21128	Mnemiopsis_leidyi_ML34871b ML34871b
OG0000021	Stylophora_pistillata_Spis24714 Spis24714 SpisGene24714	Mnemiopsis_leidyi_ML094333a ML094333a, Mnemiopsis_leidyi_ML03664a ML03664a, Mnemiopsis_leidyi_ML082718a ML082718a, Mnemiopsis_leidyi_ML02274a ML02274a
OG0000022	Stylophora_pistillata_Spis2403 Spis2403 SpisGene2403, Stylophora_pistillata_Spis2392 Spis2392 SpisGene2392	Mnemiopsis_leidyi_ML01536a ML01536a, Mnemiopsis_leidyi_ML00134a ML00134a, Mnemiopsis_leidyi_ML139112a ML139112a
OG0000022	Stylophora_pistillata_Spis3665 Spis3665 SpisGene3665, Stylophora_pistillata_Spis14896 Spis14896 SpisGene14896	Mnemiopsis_leidyi_ML148937a ML148937a, Mnemiopsis_leidyi_ML08207a ML08207a, Mnemiopsis_leidyi_ML03242a ML03242a
OG0000024	Stylophora_pistillata_Spis21695 Spis21695 SpisGene21695, Stylophora_pistillata_Spis1604 Spis1604 SpisGene1604, Stylophora_pistillata_Spis7748 Spis7748 SpisGene7748, Stylophora_pistillata_Spis20024 Spis20024 SpisGene20024, Stylophora_pistillata_Spis20026 Spis20026 SpisGene20026	Mnemiopsis_leidyi_ML327428a ML327428a, Mnemiopsis_leidyi_ML37461a ML37461a
OG0000024	Stylophora_pistillata_Spis13616 Spis13616 SpisGene13616	Mnemiopsis_leidyi_ML07116a ML07116a
OG0000030	Stylophora_pistillata_Spis8205 Spis8205 SpisGene8205	Mnemiopsis_leidyi_ML029519a ML029519a, Mnemiopsis_leidyi_ML306123a ML306123a, Mnemiopsis_leidyi_ML010117a ML010117a, Mnemiopsis_leidyi_ML17408a ML17408a, Mnemiopsis_leidyi_ML17409a ML17409a
OG0000030	Stylophora_pistillata_Spis14458 Spis14458 SpisGene14458, Stylophora_pistillata_Spis18004 Spis18004 SpisGene18004	Mnemiopsis_leidyi_ML03054a ML03054a
OG0000030	Stylophora_pistillata_Spis138 Spis138 SpisGene138	Mnemiopsis_leidyi_ML02305a ML02305a, Mnemiopsis_leidyi_ML021121a ML021121a
OG0000034	Stylophora_pistillata_Spis8934.t1 Spis8934.t1 SpisGene8934, Stylophora_pistillata_Spis9650 Spis9650 SpisGene9650	Mnemiopsis_leidyi_ML258254a ML258254a
OG0000034	Stylophora_pistillata_Spis1480 Spis1480 SpisGene1480	Mnemiopsis_leidyi_ML04261a ML04261a
OG0000036	Stylophora_pistillata_Spis6171 Spis6171 SpisGene6171, Stylophora_pistillata_Spis8101 Spis8101 SpisGene8101, Stylophora_pistillata_Spis734 Spis734 SpisGene734, Stylophora_pistillata_Spis19371 Spis19371 SpisGene19371, Stylophora_pistillata_Spis6169 Spis6169 SpisGene6169, Stylophora_pistillata_Spis6170 Spis6170 SpisGene6170, Stylophora_pistillata_Spis4440 Spis4440 SpisGene4440	Mnemiopsis_leidyi_ML11227a ML11227a
OG0000039	Stylophora_pistillata_Spis6627 Spis6627 SpisGene6627, Stylophora_pistillata_Spis25772.Novel Spis25772.Novel SpisGene25772.Novel	Mnemiopsis_leidyi_ML267515a ML267515a
OG0000041	Stylophora_pistillata_Spis2408 Spis2408 SpisGene2408, Stylophora_pistillata_Spis15631 Spis15631 SpisGene15631	Mnemiopsis_leidyi_ML21898a ML21898a
OG0000041	Stylophora_pistillata_Spis1360 Spis1360 SpisGene1360	Mnemiopsis_leidyi_ML08024a ML08024a
OG0000042	Stylophora_pistillata_Spis2347 Spis2347 SpisGene2347, Stylophora_pistillata_Spis15181 Spis15181 SpisGene15181, Stylophora_pistillata_Spis15182 Spis15182 SpisGene15182	Mnemiopsis_leidyi_ML044119a ML044119a
OG0000044	Stylophora_pistillata_Spis4982 Spis4982 SpisGene4982, Stylophora_pistillata_Spis20352 Spis20352 SpisGene20352, Stylophora_pistillata_Spis4987 Spis4987 SpisGene4987	Mnemiopsis_leidyi_ML03126a ML03126a, Mnemiopsis_leidyi_ML25826a ML25826a
OG0000045	Stylophora_pistillata_Spis6767 Spis6767 SpisGene6767, Stylophora_pistillata_Spis7390 Spis7390 SpisGene7390	Mnemiopsis_leidyi_ML097515a ML097515a
OG0000049	Stylophora_pistillata_Spis6729 Spis6729 SpisGene6729	Mnemiopsis_leidyi_ML015721a ML015721a, Mnemiopsis_leidyi_ML083035a ML083035a
OG0000051	Stylophora_pistillata_Spis5233 Spis5233 SpisGene5233, Stylophora_pistillata_Spis18649 Spis18649 SpisGene18649, Stylophora_pistillata_Spis9873 Spis9873 SpisGene9873, Stylophora_pistillata_Spis17370 Spis17370 SpisGene17370, Stylophora_pistillata_Spis17369 Spis17369 SpisGene17369, Stylophora_pistillata_Spis18643 Spis18643 SpisGene18643, Stylophora_pistillata_Spis25638 Spis25638 SpisGene25638, Stylophora_pistillata_Spis14642 Spis14642 SpisGene14642	Mnemiopsis_leidyi_ML128420a ML128420a, Mnemiopsis_leidyi_ML128419a ML128419a, Mnemiopsis_leidyi_ML011744a ML011744a, Mnemiopsis_leidyi_ML279516a ML279516a, Mnemiopsis_leidyi_ML15153a ML15153a, Mnemiopsis_leidyi_ML170514a ML170514a, Mnemiopsis_leidyi_ML358829a ML358829a, Mnemiopsis_leidyi_ML023017a ML023017a
OG0000052	Stylophora_pistillata_Spis25640 Spis25640 SpisGene25640, Stylophora_pistillata_Spis23416 Spis23416 SpisGene23416, Stylophora_pistillata_Spis24353 Spis24353 SpisGene24353, Stylophora_pistillata_Spis21448 Spis21448 SpisGene21448, Stylophora_pistillata_Spis21450 Spis21450 SpisGene21450, Stylophora_pistillata_Spis21447 Spis21447 SpisGene21447, Stylophora_pistillata_Spis24364 Spis24364 SpisGene24364, Stylophora_pistillata_Spis24770 Spis24770 SpisGene24770	Mnemiopsis_leidyi_ML204430a ML204430a, Mnemiopsis_leidyi_ML204429a ML204429a, Mnemiopsis_leidyi_ML020113a ML020113a, Mnemiopsis_leidyi_ML50011a ML50011a, Mnemiopsis_leidyi_ML282520a ML282520a
OG0000053	Stylophora_pistillata_Spis13170 Spis13170 SpisGene13170	Mnemiopsis_leidyi_ML11053a ML11053a
OG0000054	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474, Stylophora_pistillata_Spis4424.t3 Spis4424.t3 SpisGene4424, Stylophora_pistillata_Spis725 Spis725 SpisGene725	Mnemiopsis_leidyi_ML095316a ML095316a
OG0000058	Stylophora_pistillata_Spis23576 Spis23576 SpisGene23576, Stylophora_pistillata_Spis21562 Spis21562 SpisGene21562, Stylophora_pistillata_Spis19455 Spis19455 SpisGene19455, Stylophora_pistillata_Spis12423 Spis12423 SpisGene12423	Mnemiopsis_leidyi_ML15451a ML15451a, Mnemiopsis_leidyi_ML048618a ML048618a, Mnemiopsis_leidyi_ML048623a ML048623a
OG0000061	Stylophora_pistillata_Spis2932 Spis2932 SpisGene2932, Stylophora_pistillata_Spis17364 Spis17364 SpisGene17364	Mnemiopsis_leidyi_ML07526a ML07526a, Mnemiopsis_leidyi_ML07523a ML07523a
OG0000061	Stylophora_pistillata_Spis5917.t1 Spis5917.t1 SpisGene5917, Stylophora_pistillata_Spis3107 Spis3107 SpisGene3107	Mnemiopsis_leidyi_ML072819a ML072819a
OG0000062	Stylophora_pistillata_Spis8967.t1 Spis8967.t1 SpisGene8967	Mnemiopsis_leidyi_ML085714a ML085714a
OG0000063	Stylophora_pistillata_Spis15392 Spis15392 SpisGene15392, Stylophora_pistillata_Spis15386 Spis15386 SpisGene15386, Stylophora_pistillata_Spis13839 Spis13839 SpisGene13839, Stylophora_pistillata_Spis13840 Spis13840 SpisGene13840	Mnemiopsis_leidyi_ML073718a ML073718a
OG0000065	Stylophora_pistillata_Spis8479 Spis8479 SpisGene8479	Mnemiopsis_leidyi_ML14244a ML14244a
OG0000070	Stylophora_pistillata_Spis6123 Spis6123 SpisGene6123	Mnemiopsis_leidyi_ML02361a ML02361a
OG0000081	Stylophora_pistillata_Spis9086 Spis9086 SpisGene9086, Stylophora_pistillata_Spis18739 Spis18739 SpisGene18739	Mnemiopsis_leidyi_ML056914a ML056914a
OG0000087	Stylophora_pistillata_Spis4884 Spis4884 SpisGene4884	Mnemiopsis_leidyi_ML004920a ML004920a
OG0000087	Stylophora_pistillata_Spis3470 Spis3470 SpisGene3470	Mnemiopsis_leidyi_ML06334a ML06334a
OG0000093	Stylophora_pistillata_Spis1325 Spis1325 SpisGene1325, Stylophora_pistillata_Spis1324 Spis1324 SpisGene1324	Mnemiopsis_leidyi_ML093044a ML093044a
OG0000094	Stylophora_pistillata_Spis10117 Spis10117 SpisGene10117	Mnemiopsis_leidyi_ML09081a ML09081a
OG0000103	Stylophora_pistillata_Spis345 Spis345 SpisGene345	Mnemiopsis_leidyi_ML14703a ML14703a
OG0000106	Stylophora_pistillata_Spis13266 Spis13266 SpisGene13266	Mnemiopsis_leidyi_ML10439a ML10439a, Mnemiopsis_leidyi_ML104310a ML104310a
OG0000113	Stylophora_pistillata_Spis1485 Spis1485 SpisGene1485	Mnemiopsis_leidyi_ML086612a ML086612a
OG0000114	Stylophora_pistillata_Spis1676 Spis1676 SpisGene1676	Mnemiopsis_leidyi_ML082712a ML082712a
OG0000133	Stylophora_pistillata_Spis7100 Spis7100 SpisGene7100	Mnemiopsis_leidyi_ML018015a ML018015a
OG0000134	Stylophora_pistillata_Spis15413 Spis15413 SpisGene15413, Stylophora_pistillata_Spis19516 Spis19516 SpisGene19516	Mnemiopsis_leidyi_ML126214a ML126214a
OG0000137	Stylophora_pistillata_Spis21290 Spis21290 SpisGene21290, Stylophora_pistillata_Spis22886 Spis22886 SpisGene22886	Mnemiopsis_leidyi_ML078926a ML078926a
OG0000148	Stylophora_pistillata_Spis17259 Spis17259 SpisGene17259	Mnemiopsis_leidyi_ML048212a ML048212a
OG0000152	Stylophora_pistillata_Spis11015 Spis11015 SpisGene11015	Mnemiopsis_leidyi_ML12828a ML12828a, Mnemiopsis_leidyi_ML12827a ML12827a
OG0000156	Stylophora_pistillata_Spis944 Spis944 SpisGene944	Mnemiopsis_leidyi_ML000712a ML000712a
OG0000159	Stylophora_pistillata_Spis19229 Spis19229 SpisGene19229, Stylophora_pistillata_Spis13820 Spis13820 SpisGene13820, Stylophora_pistillata_Spis20878 Spis20878 SpisGene20878	Mnemiopsis_leidyi_ML074238a ML074238a
OG0000165	Stylophora_pistillata_Spis9482 Spis9482 SpisGene9482	Mnemiopsis_leidyi_ML40868a ML40868a
OG0000170	Stylophora_pistillata_Spis4441 Spis4441 SpisGene4441, Stylophora_pistillata_Spis18904 Spis18904 SpisGene18904, Stylophora_pistillata_Spis23641 Spis23641 SpisGene23641	Mnemiopsis_leidyi_ML18111a ML18111a
OG0000171	Stylophora_pistillata_Spis4618.t1 Spis4618.t1 SpisGene4618, Stylophora_pistillata_Spis4617 Spis4617 SpisGene4617	Mnemiopsis_leidyi_ML104332a ML104332a
OG0000176	Stylophora_pistillata_Spis9429.t1 Spis9429.t1 SpisGene9429	Mnemiopsis_leidyi_ML50511a ML50511a
OG0000177	Stylophora_pistillata_Spis16587 Spis16587 SpisGene16587	Mnemiopsis_leidyi_ML020010a ML020010a, Mnemiopsis_leidyi_ML07729a ML07729a
OG0000179	Stylophora_pistillata_Spis1764 Spis1764 SpisGene1764	Mnemiopsis_leidyi_ML056965a ML056965a
OG0000179	Stylophora_pistillata_Spis21317 Spis21317 SpisGene21317, Stylophora_pistillata_Spis22165 Spis22165 SpisGene22165, Stylophora_pistillata_Spis4606 Spis4606 SpisGene4606, Stylophora_pistillata_Spis20491 Spis20491 SpisGene20491, Stylophora_pistillata_Spis932 Spis932 SpisGene932	Mnemiopsis_leidyi_ML15096a ML15096a
OG0000194	Stylophora_pistillata_Spis7867 Spis7867 SpisGene7867	Mnemiopsis_leidyi_ML16565a ML16565a
OG0000195	Stylophora_pistillata_Spis16217 Spis16217 SpisGene16217	Mnemiopsis_leidyi_ML173714a ML173714a
OG0000199	Stylophora_pistillata_Spis5428 Spis5428 SpisGene5428	Mnemiopsis_leidyi_ML46359a ML46359a
OG0000204	Stylophora_pistillata_Spis8062 Spis8062 SpisGene8062	Mnemiopsis_leidyi_ML14272a ML14272a
OG0000213	Stylophora_pistillata_Spis10966 Spis10966 SpisGene10966	Mnemiopsis_leidyi_ML128617a ML128617a
OG0000214	Stylophora_pistillata_Spis15474 Spis15474 SpisGene15474	Mnemiopsis_leidyi_ML43434a ML43434a
OG0000237	Stylophora_pistillata_Spis9508 Spis9508 SpisGene9508	Mnemiopsis_leidyi_ML008016a ML008016a
OG0000253	Stylophora_pistillata_Spis8764 Spis8764 SpisGene8764	Mnemiopsis_leidyi_ML015627a ML015627a
OG0000277	Stylophora_pistillata_Spis12990 Spis12990 SpisGene12990	Mnemiopsis_leidyi_ML01781a ML01781a
OG0000378	Stylophora_pistillata_Spis18619 Spis18619 SpisGene18619	Mnemiopsis_leidyi_ML002629a ML002629a
OG0000378	Stylophora_pistillata_Spis11618 Spis11618 SpisGene11618	Mnemiopsis_leidyi_ML15721a ML15721a
OG0000524	Stylophora_pistillata_Spis23415 Spis23415 SpisGene23415, Stylophora_pistillata_Spis20585 Spis20585 SpisGene20585	Mnemiopsis_leidyi_ML002511a ML002511a
OG0000606	Stylophora_pistillata_Spis12957 Spis12957 SpisGene12957	Mnemiopsis_leidyi_ML08105a ML08105a, Mnemiopsis_leidyi_ML08104a ML08104a, Mnemiopsis_leidyi_ML356014a ML356014a
OG0001184	Stylophora_pistillata_Spis15271 Spis15271 SpisGene15271	Mnemiopsis_leidyi_ML04122a ML04122a
OG0001590	Stylophora_pistillata_Spis19440 Spis19440 SpisGene19440, Stylophora_pistillata_Spis14758 Spis14758 SpisGene14758	Mnemiopsis_leidyi_ML35701a ML35701a
