Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000005	Stylophora_pistillata_Spis20849 Spis20849 SpisGene20849, Stylophora_pistillata_Spis20848 Spis20848 SpisGene20848, Stylophora_pistillata_Spis19564 Spis19564 SpisGene19564, Stylophora_pistillata_Spis20850 Spis20850 SpisGene20850	Clytia_hemispherica_TCONS_00072424-protein TCONS_00072424-protein, Clytia_hemispherica_TCONS_00046799-protein TCONS_00046799-protein, Clytia_hemispherica_TCONS_00059668-protein TCONS_00059668-protein, Clytia_hemispherica_TCONS_00072452-protein TCONS_00072452-protein, Clytia_hemispherica_TCONS_00056619-protein TCONS_00056619-protein, Clytia_hemispherica_TCONS_00035264-protein TCONS_00035264-protein, Clytia_hemispherica_TCONS_00036935-protein TCONS_00036935-protein, Clytia_hemispherica_TCONS_00069650-protein TCONS_00069650-protein, Clytia_hemispherica_TCONS_00011313-protein TCONS_00011313-protein, Clytia_hemispherica_TCONS_00002962-protein TCONS_00002962-protein, Clytia_hemispherica_TCONS_00024366-protein TCONS_00024366-protein, Clytia_hemispherica_TCONS_00057830-protein TCONS_00057830-protein, Clytia_hemispherica_TCONS_00024970-protein TCONS_00024970-protein
OG0000005	Stylophora_pistillata_Spis8406 Spis8406 SpisGene8406	Clytia_hemispherica_TCONS_00073000-protein TCONS_00073000-protein, Clytia_hemispherica_TCONS_00073053-protein TCONS_00073053-protein
OG0000005	Stylophora_pistillata_Spis19565 Spis19565 SpisGene19565, Stylophora_pistillata_Spis19563 Spis19563 SpisGene19563	Clytia_hemispherica_TCONS_00016883-protein TCONS_00016883-protein, Clytia_hemispherica_TCONS_00057198-protein TCONS_00057198-protein, Clytia_hemispherica_TCONS_00048402-protein TCONS_00048402-protein
OG0000005	Stylophora_pistillata_Spis15365 Spis15365 SpisGene15365	Clytia_hemispherica_TCONS_00027231-protein TCONS_00027231-protein
OG0000005	Stylophora_pistillata_Spis797 Spis797 SpisGene797	Clytia_hemispherica_TCONS_00005324-protein TCONS_00005324-protein
OG0000005	Stylophora_pistillata_Spis2128 Spis2128 SpisGene2128, Stylophora_pistillata_Spis2115 Spis2115 SpisGene2115	Clytia_hemispherica_TCONS_00018805-protein TCONS_00018805-protein, Clytia_hemispherica_TCONS_00062392-protein TCONS_00062392-protein, Clytia_hemispherica_TCONS_00072115-protein TCONS_00072115-protein
OG0000005	Stylophora_pistillata_Spis1719 Spis1719 SpisGene1719	Clytia_hemispherica_TCONS_00012696-protein TCONS_00012696-protein
OG0000005	Stylophora_pistillata_Spis14627 Spis14627 SpisGene14627	Clytia_hemispherica_TCONS_00047800-protein TCONS_00047800-protein, Clytia_hemispherica_TCONS_00010649-protein TCONS_00010649-protein
OG0000006	Stylophora_pistillata_Spis1220 Spis1220 SpisGene1220, Stylophora_pistillata_Spis1242 Spis1242 SpisGene1242, Stylophora_pistillata_Spis1227 Spis1227 SpisGene1227, Stylophora_pistillata_Spis1225.t1 Spis1225.t1 SpisGene1225, Stylophora_pistillata_Spis1216 Spis1216 SpisGene1216, Stylophora_pistillata_Spis16437 Spis16437 SpisGene16437	Clytia_hemispherica_TCONS_00068279-protein TCONS_00068279-protein
OG0000006	Stylophora_pistillata_Spis21789 Spis21789 SpisGene21789	Clytia_hemispherica_TCONS_00054268-protein TCONS_00054268-protein
OG0000006	Stylophora_pistillata_Spis18091 Spis18091 SpisGene18091	Clytia_hemispherica_TCONS_00017431-protein TCONS_00017431-protein
OG0000006	Stylophora_pistillata_Spis3946 Spis3946 SpisGene3946, Stylophora_pistillata_Spis2512 Spis2512 SpisGene2512	Clytia_hemispherica_TCONS_00046199-protein TCONS_00046199-protein
OG0000006	Stylophora_pistillata_Spis11615 Spis11615 SpisGene11615, Stylophora_pistillata_Spis11620 Spis11620 SpisGene11620	Clytia_hemispherica_TCONS_00019049-protein TCONS_00019049-protein
OG0000006	Stylophora_pistillata_Spis10997 Spis10997 SpisGene10997, Stylophora_pistillata_Spis12361 Spis12361 SpisGene12361, Stylophora_pistillata_Spis18333 Spis18333 SpisGene18333, Stylophora_pistillata_Spis12364 Spis12364 SpisGene12364, Stylophora_pistillata_Spis12358 Spis12358 SpisGene12358, Stylophora_pistillata_Spis18334 Spis18334 SpisGene18334, Stylophora_pistillata_Spis21178 Spis21178 SpisGene21178, Stylophora_pistillata_Spis12362 Spis12362 SpisGene12362, Stylophora_pistillata_Spis12355 Spis12355 SpisGene12355, Stylophora_pistillata_Spis18329 Spis18329 SpisGene18329, Stylophora_pistillata_Spis12371 Spis12371 SpisGene12371, Stylophora_pistillata_Spis12372 Spis12372 SpisGene12372, Stylophora_pistillata_Spis18332 Spis18332 SpisGene18332, Stylophora_pistillata_Spis12360 Spis12360 SpisGene12360, Stylophora_pistillata_Spis12356 Spis12356 SpisGene12356, Stylophora_pistillata_Spis12363 Spis12363 SpisGene12363, Stylophora_pistillata_Spis12365 Spis12365 SpisGene12365, Stylophora_pistillata_Spis12370 Spis12370 SpisGene12370, Stylophora_pistillata_Spis10998 Spis10998 SpisGene10998	Clytia_hemispherica_TCONS_00055514-protein TCONS_00055514-protein, Clytia_hemispherica_TCONS_00001195-protein TCONS_00001195-protein
OG0000007	Stylophora_pistillata_Spis20935 Spis20935 SpisGene20935, Stylophora_pistillata_Spis20945 Spis20945 SpisGene20945	Clytia_hemispherica_TCONS_00007902-protein TCONS_00007902-protein
OG0000007	Stylophora_pistillata_Spis22650 Spis22650 SpisGene22650, Stylophora_pistillata_Spis22649 Spis22649 SpisGene22649, Stylophora_pistillata_Spis20262 Spis20262 SpisGene20262	Clytia_hemispherica_TCONS_00030157-protein TCONS_00030157-protein
OG0000008	Stylophora_pistillata_Spis19559.t1 Spis19559.t1 SpisGene19559	Clytia_hemispherica_TCONS_00059356-protein TCONS_00059356-protein
OG0000008	Stylophora_pistillata_Spis19561 Spis19561 SpisGene19561, Stylophora_pistillata_Spis19562 Spis19562 SpisGene19562, Stylophora_pistillata_Spis19560 Spis19560 SpisGene19560	Clytia_hemispherica_TCONS_00049590-protein TCONS_00049590-protein, Clytia_hemispherica_TCONS_00017168-protein TCONS_00017168-protein, Clytia_hemispherica_TCONS_00017172-protein TCONS_00017172-protein, Clytia_hemispherica_TCONS_00017148-protein TCONS_00017148-protein
OG0000008	Stylophora_pistillata_Spis24858 Spis24858 SpisGene24858	Clytia_hemispherica_TCONS_00049605-protein TCONS_00049605-protein
OG0000008	Stylophora_pistillata_Spis17124 Spis17124 SpisGene17124	Clytia_hemispherica_TCONS_00024185-protein TCONS_00024185-protein
OG0000008	Stylophora_pistillata_Spis19730 Spis19730 SpisGene19730, Stylophora_pistillata_Spis21313 Spis21313 SpisGene21313, Stylophora_pistillata_Spis19789 Spis19789 SpisGene19789	Clytia_hemispherica_TCONS_00073668-protein TCONS_00073668-protein
OG0000009	Stylophora_pistillata_Spis4925 Spis4925 SpisGene4925	Clytia_hemispherica_TCONS_00053164-protein TCONS_00053164-protein
OG0000009	Stylophora_pistillata_Spis5234 Spis5234 SpisGene5234	Clytia_hemispherica_TCONS_00004070-protein TCONS_00004070-protein
OG0000009	Stylophora_pistillata_Spis16344 Spis16344 SpisGene16344, Stylophora_pistillata_Spis16137 Spis16137 SpisGene16137, Stylophora_pistillata_Spis16138 Spis16138 SpisGene16138, Stylophora_pistillata_Spis16135 Spis16135 SpisGene16135, Stylophora_pistillata_Spis18721 Spis18721 SpisGene18721, Stylophora_pistillata_Spis14789 Spis14789 SpisGene14789, Stylophora_pistillata_Spis14786 Spis14786 SpisGene14786, Stylophora_pistillata_Spis14787 Spis14787 SpisGene14787, Stylophora_pistillata_Spis14785 Spis14785 SpisGene14785, Stylophora_pistillata_Spis18539 Spis18539 SpisGene18539, Stylophora_pistillata_Spis12284 Spis12284 SpisGene12284, Stylophora_pistillata_Spis12283 Spis12283 SpisGene12283, Stylophora_pistillata_Spis18540 Spis18540 SpisGene18540, Stylophora_pistillata_Spis13082 Spis13082 SpisGene13082, Stylophora_pistillata_Spis6688 Spis6688 SpisGene6688, Stylophora_pistillata_Spis24451 Spis24451 SpisGene24451	Clytia_hemispherica_TCONS_00071034-protein TCONS_00071034-protein
OG0000009	Stylophora_pistillata_Spis8222 Spis8222 SpisGene8222	Clytia_hemispherica_TCONS_00067570-protein TCONS_00067570-protein
OG0000009	Stylophora_pistillata_Spis4454 Spis4454 SpisGene4454	Clytia_hemispherica_TCONS_00072702-protein TCONS_00072702-protein
OG0000009	Stylophora_pistillata_Spis1629 Spis1629 SpisGene1629, Stylophora_pistillata_Spis1632 Spis1632 SpisGene1632, Stylophora_pistillata_Spis1630 Spis1630 SpisGene1630, Stylophora_pistillata_Spis1631 Spis1631 SpisGene1631, Stylophora_pistillata_Spis1637.t2 Spis1637.t2 SpisGene1637, Stylophora_pistillata_Spis25145 Spis25145 SpisGene25145, Stylophora_pistillata_Spis13653 Spis13653 SpisGene13653, Stylophora_pistillata_Spis20339 Spis20339 SpisGene20339	Clytia_hemispherica_TCONS_00064060-protein TCONS_00064060-protein, Clytia_hemispherica_TCONS_00064059-protein TCONS_00064059-protein
OG0000010	Stylophora_pistillata_Spis19417 Spis19417 SpisGene19417	Clytia_hemispherica_TCONS_00059787-protein TCONS_00059787-protein
OG0000010	Stylophora_pistillata_Spis1190 Spis1190 SpisGene1190	Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein
OG0000010	Stylophora_pistillata_Spis19002 Spis19002 SpisGene19002, Stylophora_pistillata_Spis19416.t1 Spis19416.t1 SpisGene19416	Clytia_hemispherica_TCONS_00036457-protein TCONS_00036457-protein
OG0000012	Stylophora_pistillata_Spis8301 Spis8301 SpisGene8301	Clytia_hemispherica_TCONS_00069193-protein TCONS_00069193-protein
OG0000012	Stylophora_pistillata_Spis6613 Spis6613 SpisGene6613	Clytia_hemispherica_TCONS_00021868-protein TCONS_00021868-protein
OG0000012	Stylophora_pistillata_Spis11321.t1 Spis11321.t1 SpisGene11321	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein
OG0000013	Stylophora_pistillata_Spis19313 Spis19313 SpisGene19313	Clytia_hemispherica_TCONS_00012270-protein TCONS_00012270-protein
OG0000013	Stylophora_pistillata_Spis10384 Spis10384 SpisGene10384	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein
OG0000013	Stylophora_pistillata_Spis10385 Spis10385 SpisGene10385	Clytia_hemispherica_TCONS_00027333-protein TCONS_00027333-protein, Clytia_hemispherica_TCONS_00027371-protein TCONS_00027371-protein
OG0000013	Stylophora_pistillata_Spis10363 Spis10363 SpisGene10363	Clytia_hemispherica_TCONS_00003473-protein TCONS_00003473-protein
OG0000013	Stylophora_pistillata_Spis16312 Spis16312 SpisGene16312	Clytia_hemispherica_TCONS_00065525-protein TCONS_00065525-protein
OG0000013	Stylophora_pistillata_Spis1461.t1 Spis1461.t1 SpisGene1461	Clytia_hemispherica_TCONS_00005153-protein TCONS_00005153-protein
OG0000013	Stylophora_pistillata_Spis825 Spis825 SpisGene825, Stylophora_pistillata_Spis824 Spis824 SpisGene824, Stylophora_pistillata_Spis826 Spis826 SpisGene826	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein
OG0000013	Stylophora_pistillata_Spis18607.t1 Spis18607.t1 SpisGene18607, Stylophora_pistillata_Spis727 Spis727 SpisGene727, Stylophora_pistillata_Spis726 Spis726 SpisGene726, Stylophora_pistillata_Spis18606 Spis18606 SpisGene18606	Clytia_hemispherica_TCONS_00073720-protein TCONS_00073720-protein
OG0000014	Stylophora_pistillata_Spis347 Spis347 SpisGene347	Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein
OG0000014	Stylophora_pistillata_Spis2407 Spis2407 SpisGene2407	Clytia_hemispherica_TCONS_00055972-protein TCONS_00055972-protein
OG0000014	Stylophora_pistillata_Spis12681 Spis12681 SpisGene12681	Clytia_hemispherica_TCONS_00024369-protein TCONS_00024369-protein
OG0000014	Stylophora_pistillata_Spis12680 Spis12680 SpisGene12680	Clytia_hemispherica_TCONS_00024372-protein TCONS_00024372-protein
OG0000014	Stylophora_pistillata_Spis13809.t1 Spis13809.t1 SpisGene13809	Clytia_hemispherica_TCONS_00004887-protein TCONS_00004887-protein
OG0000014	Stylophora_pistillata_Spis19692 Spis19692 SpisGene19692, Stylophora_pistillata_Spis19693 Spis19693 SpisGene19693	Clytia_hemispherica_TCONS_00006273-protein TCONS_00006273-protein
OG0000014	Stylophora_pistillata_Spis17420 Spis17420 SpisGene17420, Stylophora_pistillata_Spis1486 Spis1486 SpisGene1486, Stylophora_pistillata_Spis10967 Spis10967 SpisGene10967, Stylophora_pistillata_Spis1488 Spis1488 SpisGene1488, Stylophora_pistillata_Spis10964 Spis10964 SpisGene10964, Stylophora_pistillata_Spis1489 Spis1489 SpisGene1489, Stylophora_pistillata_Spis1490 Spis1490 SpisGene1490, Stylophora_pistillata_Spis2986 Spis2986 SpisGene2986, Stylophora_pistillata_Spis2985 Spis2985 SpisGene2985	Clytia_hemispherica_TCONS_00000234-protein TCONS_00000234-protein
OG0000015	Stylophora_pistillata_Spis7814 Spis7814 SpisGene7814	Clytia_hemispherica_TCONS_00071047-protein TCONS_00071047-protein
OG0000016	Stylophora_pistillata_Spis5432 Spis5432 SpisGene5432	Clytia_hemispherica_TCONS_00015027-protein TCONS_00015027-protein, Clytia_hemispherica_TCONS_00066227-protein TCONS_00066227-protein
OG0000016	Stylophora_pistillata_Spis5856 Spis5856 SpisGene5856, Stylophora_pistillata_Spis5855 Spis5855 SpisGene5855, Stylophora_pistillata_Spis5853.t1 Spis5853.t1 SpisGene5853, Stylophora_pistillata_Spis5854 Spis5854 SpisGene5854, Stylophora_pistillata_Spis5827 Spis5827 SpisGene5827, Stylophora_pistillata_Spis5858 Spis5858 SpisGene5858, Stylophora_pistillata_Spis5857 Spis5857 SpisGene5857, Stylophora_pistillata_Spis5851 Spis5851 SpisGene5851	Clytia_hemispherica_TCONS_00068527-protein TCONS_00068527-protein, Clytia_hemispherica_TCONS_00055310-protein TCONS_00055310-protein, Clytia_hemispherica_TCONS_00029219-protein TCONS_00029219-protein, Clytia_hemispherica_TCONS_00070408-protein TCONS_00070408-protein
