Orthogroup	Porifera_Demospongiae_Amphimedon_queenslandica	Chordata_Vertebrata_Mus_musculus
OG0000005	Amphimedon_queenslandica_tr_A0A1X7U6X6_A0A1X7U6X6_AMPQE tr_A0A1X7U6X6_A0A1X7U6X6_AMPQE Metalloendopeptidase OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V1R6_A0A1X7V1R6_AMPQE tr_A0A1X7V1R6_A0A1X7V1R6_AMPQE Metalloendopeptidase OS=Amphimedon queenslandica OX=400682 GN=100632746 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T7V4_A0A1X7T7V4_AMPQE tr_A0A1X7T7V4_A0A1X7T7V4_AMPQE Metalloendopeptidase OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V1R1_A0A1X7V1R1_AMPQE tr_A0A1X7V1R1_A0A1X7V1R1_AMPQE Metalloendopeptidase OS=Amphimedon queenslandica OX=400682 GN=100637879 PE=4 SV=1	Mus_musculus_sp_Q6HA09_ASTL_MOUSE sp_Q6HA09_ASTL_MOUSE Astacin-like metalloendopeptidase OS=Mus musculus OX=10090 GN=Astl PE=1 SV=3
OG0000007	Amphimedon_queenslandica_tr_A0A1X7STU5_A0A1X7STU5_AMPQE tr_A0A1X7STU5_A0A1X7STU5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SF39_A0A1X7SF39_AMPQE tr_A0A1X7SF39_A0A1X7SF39_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Mus_musculus_sp_Q80V70_MEGF6_MOUSE sp_Q80V70_MEGF6_MOUSE Multiple epidermal growth factor-like domains protein 6 OS=Mus musculus OX=10090 GN=Megf6 PE=2 SV=3, Mus_musculus_sp_Q8C088_EGFEM_MOUSE sp_Q8C088_EGFEM_MOUSE EGF-like and EMI domain-containing protein 1 OS=Mus musculus OX=10090 GN=Egfem1 PE=2 SV=1
OG0000007	Amphimedon_queenslandica_tr_A0A1X7UBV4_A0A1X7UBV4_AMPQE tr_A0A1X7UBV4_A0A1X7UBV4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T313_A0A1X7T313_AMPQE tr_A0A1X7T313_A0A1X7T313_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Mus_musculus_sp_Q61592_GAS6_MOUSE sp_Q61592_GAS6_MOUSE Growth arrest-specific protein 6 OS=Mus musculus OX=10090 GN=Gas6 PE=2 SV=2
OG0000007	Amphimedon_queenslandica_tr_A0A1X7SPG3_A0A1X7SPG3_AMPQE tr_A0A1X7SPG3_A0A1X7SPG3_AMPQE CUB domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Mus_musculus_sp_Q501P1_FBLN7_MOUSE sp_Q501P1_FBLN7_MOUSE Fibulin-7 OS=Mus musculus OX=10090 GN=Fbln7 PE=1 SV=1
OG0000007	Amphimedon_queenslandica_tr_A0A1X7VHY5_A0A1X7VHY5_AMPQE tr_A0A1X7VHY5_A0A1X7VHY5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SWG6_A0A1X7SWG6_AMPQE tr_A0A1X7SWG6_A0A1X7SWG6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SUC7_A0A1X7SUC7_AMPQE tr_A0A1X7SUC7_A0A1X7SUC7_AMPQE NIDO domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEE9_A0A1X7UEE9_AMPQE tr_A0A1X7UEE9_A0A1X7UEE9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100638351 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SED7_A0A1X7SED7_AMPQE tr_A0A1X7SED7_A0A1X7SED7_AMPQE NIDO domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Mus_musculus_sp_Q70E20_SNED1_MOUSE sp_Q70E20_SNED1_MOUSE Sushi_ nidogen and EGF-like domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sned1 PE=2 SV=2
OG0000007	Amphimedon_queenslandica_tr_A0A1X7UXG1_A0A1X7UXG1_AMPQE tr_A0A1X7UXG1_A0A1X7UXG1_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SNX2_A0A1X7SNX2_AMPQE tr_A0A1X7SNX2_A0A1X7SNX2_AMPQE VWFD domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0H9_A0A1X7U0H9_AMPQE tr_A0A1X7U0H9_A0A1X7U0H9_AMPQE AMOP domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VEX8_A0A1X7VEX8_AMPQE tr_A0A1X7VEX8_A0A1X7VEX8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0T3_A0A1X7U0T3_AMPQE tr_A0A1X7U0T3_A0A1X7U0T3_AMPQE VWFD domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TZY4_A0A1X7TZY4_AMPQE tr_A0A1X7TZY4_A0A1X7TZY4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VE59_A0A1X7VE59_AMPQE tr_A0A1X7VE59_A0A1X7VE59_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VFS2_A0A1X7VFS2_AMPQE tr_A0A1X7VFS2_A0A1X7VFS2_AMPQE VWFD domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TQL5_A0A1X7TQL5_AMPQE tr_A0A1X7TQL5_A0A1X7TQL5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VD60_A0A1X7VD60_AMPQE tr_A0A1X7VD60_A0A1X7VD60_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VCF9_A0A1X7VCF9_AMPQE tr_A0A1X7VCF9_A0A1X7VCF9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TQV9_A0A1X7TQV9_AMPQE tr_A0A1X7TQV9_A0A1X7TQV9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TR13_A0A1X7TR13_AMPQE tr_A0A1X7TR13_A0A1X7TR13_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TH31_A0A1X7TH31_AMPQE tr_A0A1X7TH31_A0A1X7TH31_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Mus_musculus_sp_Q8JZM8_MUC4_MOUSE sp_Q8JZM8_MUC4_MOUSE Mucin-4 OS=Mus musculus OX=10090 GN=Muc4 PE=2 SV=2
OG0000010	Amphimedon_queenslandica_tr_A0A1X7UPV7_A0A1X7UPV7_AMPQE tr_A0A1X7UPV7_A0A1X7UPV7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SQ55_A0A1X7SQ55_AMPQE tr_A0A1X7SQ55_A0A1X7SQ55_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Mus_musculus_sp_Q05793_PGBM_MOUSE sp_Q05793_PGBM_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1, Mus_musculus_sp_Q4VBE4_EGFLA_MOUSE sp_Q4VBE4_EGFLA_MOUSE Pikachurin OS=Mus musculus OX=10090 GN=Egflam PE=1 SV=1
OG0000013	Amphimedon_queenslandica_tr_A0A1X7UFS4_A0A1X7UFS4_AMPQE tr_A0A1X7UFS4_A0A1X7UFS4_AMPQE Protein Wnt OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A9YRX3_A9YRX3_AMPQE tr_A9YRX3_A9YRX3_AMPQE Protein Wnt OS=Amphimedon queenslandica OX=400682 GN=100641115 PE=3 SV=1	Mus_musculus_sp_P28047_WNT7B_MOUSE sp_P28047_WNT7B_MOUSE Protein Wnt-7b OS=Mus musculus OX=10090 GN=Wnt7b PE=1 SV=1, Mus_musculus_sp_P21552_WNT2_MOUSE sp_P21552_WNT2_MOUSE Protein Wnt-2 OS=Mus musculus OX=10090 GN=Wnt2 PE=2 SV=2, Mus_musculus_sp_O70283_WNT2B_MOUSE sp_O70283_WNT2B_MOUSE Protein Wnt-2b OS=Mus musculus OX=10090 GN=Wnt2b PE=2 SV=3
OG0000013	Amphimedon_queenslandica_tr_A0A1X7VSA1_A0A1X7VSA1_AMPQE tr_A0A1X7VSA1_A0A1X7VSA1_AMPQE Protein Wnt OS=Amphimedon queenslandica OX=400682 PE=3 SV=1	Mus_musculus_sp_Q64527_WNT8A_MOUSE sp_Q64527_WNT8A_MOUSE Protein Wnt-8a OS=Mus musculus OX=10090 GN=Wnt8a PE=2 SV=2, Mus_musculus_sp_P48614_WN10B_MOUSE sp_P48614_WN10B_MOUSE Protein Wnt-10b OS=Mus musculus OX=10090 GN=Wnt10b PE=2 SV=1, Mus_musculus_sp_P70701_WN10A_MOUSE sp_P70701_WN10A_MOUSE Protein Wnt-10a OS=Mus musculus OX=10090 GN=Wnt10a PE=2 SV=1, Mus_musculus_sp_O35468_WNT9B_MOUSE sp_O35468_WNT9B_MOUSE Protein Wnt-9b OS=Mus musculus OX=10090 GN=Wnt9b PE=2 SV=2, Mus_musculus_sp_Q8R5M2_WNT9A_MOUSE sp_Q8R5M2_WNT9A_MOUSE Protein Wnt-9a OS=Mus musculus OX=10090 GN=Wnt9a PE=2 SV=1
OG0000014	Amphimedon_queenslandica_tr_A0A1X7U0W6_A0A1X7U0W6_AMPQE tr_A0A1X7U0W6_A0A1X7U0W6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105314085 PE=4 SV=1	Mus_musculus_sp_Q80T21_ATL4_MOUSE sp_Q80T21_ATL4_MOUSE ADAMTS-like protein 4 OS=Mus musculus OX=10090 GN=Adamtsl4 PE=2 SV=1, Mus_musculus_sp_Q3UTY6_THSD4_MOUSE sp_Q3UTY6_THSD4_MOUSE Thrombospondin type-1 domain-containing protein 4 OS=Mus musculus OX=10090 GN=Thsd4 PE=1 SV=2
OG0000014	Amphimedon_queenslandica_tr_A0A1X7U0E9_A0A1X7U0E9_AMPQE tr_A0A1X7U0E9_A0A1X7U0E9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U7C0_A0A1X7U7C0_AMPQE tr_A0A1X7U7C0_A0A1X7U7C0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Mus_musculus_sp_Q8BLI0_ATL1_MOUSE sp_Q8BLI0_ATL1_MOUSE ADAMTS-like protein 1 OS=Mus musculus OX=10090 GN=Adamtsl1 PE=2 SV=2
OG0000014	Amphimedon_queenslandica_tr_A0A1X7U5R5_A0A1X7U5R5_AMPQE tr_A0A1X7U5R5_A0A1X7U5R5_AMPQE Peptidase M12B domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100633222 PE=4 SV=1	Mus_musculus_sp_Q69Z28_ATS16_MOUSE sp_Q69Z28_ATS16_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 16 OS=Mus musculus OX=10090 GN=Adamts16 PE=2 SV=2, Mus_musculus_sp_Q8C9W3_ATS2_MOUSE sp_Q8C9W3_ATS2_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Mus musculus OX=10090 GN=Adamts2 PE=1 SV=2, Mus_musculus_sp_P58459_ATS10_MOUSE sp_P58459_ATS10_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 10 OS=Mus musculus OX=10090 GN=Adamts10 PE=2 SV=3, Mus_musculus_sp_Q811B3_ATS12_MOUSE sp_Q811B3_ATS12_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Mus musculus OX=10090 GN=Adamts12 PE=2 SV=2, Mus_musculus_sp_P59509_ATS19_MOUSE sp_P59509_ATS19_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Mus musculus OX=10090 GN=Adamts19 PE=2 SV=1, Mus_musculus_sp_Q9EPX2_PPN_MOUSE sp_Q9EPX2_PPN_MOUSE Papilin OS=Mus musculus OX=10090 GN=Papln PE=2 SV=2, Mus_musculus_sp_Q9R001_ATS5_MOUSE sp_Q9R001_ATS5_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Mus musculus OX=10090 GN=Adamts5 PE=2 SV=2, Mus_musculus_sp_Q8BNJ2_ATS4_MOUSE sp_Q8BNJ2_ATS4_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 4 OS=Mus musculus OX=10090 GN=Adamts4 PE=2 SV=2, Mus_musculus_sp_P59384_ATS15_MOUSE sp_P59384_ATS15_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 15 OS=Mus musculus OX=10090 GN=Adamts15 PE=1 SV=2, Mus_musculus_sp_P97857_ATS1_MOUSE sp_P97857_ATS1_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Mus musculus OX=10090 GN=Adamts1 PE=1 SV=4, Mus_musculus_sp_P57110_ATS8_MOUSE sp_P57110_ATS8_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Mus musculus OX=10090 GN=Adamts8 PE=2 SV=1
OG0000018	Amphimedon_queenslandica_tr_A0A1X7URD2_A0A1X7URD2_AMPQE tr_A0A1X7URD2_A0A1X7URD2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100636203 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UQY5_A0A1X7UQY5_AMPQE tr_A0A1X7UQY5_A0A1X7UQY5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Mus_musculus_sp_Q924C6_LOXL4_MOUSE sp_Q924C6_LOXL4_MOUSE Lysyl oxidase homolog 4 OS=Mus musculus OX=10090 GN=Loxl4 PE=2 SV=2, Mus_musculus_sp_Q9Z175_LOXL3_MOUSE sp_Q9Z175_LOXL3_MOUSE Lysyl oxidase homolog 3 OS=Mus musculus OX=10090 GN=Loxl3 PE=1 SV=2, Mus_musculus_sp_P58022_LOXL2_MOUSE sp_P58022_LOXL2_MOUSE Lysyl oxidase homolog 2 OS=Mus musculus OX=10090 GN=Loxl2 PE=1 SV=2
OG0000018	Amphimedon_queenslandica_tr_A0A1X7URM7_A0A1X7URM7_AMPQE tr_A0A1X7URM7_A0A1X7URM7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UTD5_A0A1X7UTD5_AMPQE tr_A0A1X7UTD5_A0A1X7UTD5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T885_A0A1X7T885_AMPQE tr_A0A1X7T885_A0A1X7T885_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UA33_A0A1X7UA33_AMPQE tr_A0A1X7UA33_A0A1X7UA33_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U282_A0A1X7U282_AMPQE tr_A0A1X7U282_A0A1X7U282_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109585070 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VPG7_A0A1X7VPG7_AMPQE tr_A0A1X7VPG7_A0A1X7VPG7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UF66_A0A1X7UF66_AMPQE tr_A0A1X7UF66_A0A1X7UF66_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VPQ3_A0A1X7VPQ3_AMPQE tr_A0A1X7VPQ3_A0A1X7VPQ3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VN53_A0A1X7VN53_AMPQE tr_A0A1X7VN53_A0A1X7VN53_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VQS8_A0A1X7VQS8_AMPQE tr_A0A1X7VQS8_A0A1X7VQS8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T6A2_A0A1X7T6A2_AMPQE tr_A0A1X7T6A2_A0A1X7T6A2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULL6_A0A1X7ULL6_AMPQE tr_A0A1X7ULL6_A0A1X7ULL6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T7Q6_A0A1X7T7Q6_AMPQE tr_A0A1X7T7Q6_A0A1X7T7Q6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V253_A0A1X7V253_AMPQE tr_A0A1X7V253_A0A1X7V253_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U110_A0A1X7U110_AMPQE tr_A0A1X7U110_A0A1X7U110_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U1B7_A0A1X7U1B7_AMPQE tr_A0A1X7U1B7_A0A1X7U1B7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VGH3_A0A1X7VGH3_AMPQE tr_A0A1X7VGH3_A0A1X7VGH3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100639096 PE=4 SV=1	Mus_musculus_sp_Q60997_DMBT1_MOUSE sp_Q60997_DMBT1_MOUSE Deleted in malignant brain tumors 1 protein OS=Mus musculus OX=10090 GN=Dmbt1 PE=1 SV=2
OG0000020	Amphimedon_queenslandica_tr_A0A1X7UHR0_A0A1X7UHR0_AMPQE tr_A0A1X7UHR0_A0A1X7UHR0_AMPQE Fibrillar collagen NC1 domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100638905 PE=4 SV=1	Mus_musculus_sp_Q64739_COBA2_MOUSE sp_Q64739_COBA2_MOUSE Collagen alpha-2_XI_ chain OS=Mus musculus OX=10090 GN=Col11a2 PE=2 SV=3, Mus_musculus_sp_Q64739_COBA2_MOUSE sp_Q64739_COBA2_MOUSE Collagen alpha-2_XI_ chain OS=Mus musculus OX=10090 GN=Col11a2 PE=2 SV=3, Mus_musculus_sp_O88207_CO5A1_MOUSE sp_O88207_CO5A1_MOUSE Collagen alpha-1_V_ chain OS=Mus musculus OX=10090 GN=Col5a1 PE=1 SV=2, Mus_musculus_sp_O88207_CO5A1_MOUSE sp_O88207_CO5A1_MOUSE Collagen alpha-1_V_ chain OS=Mus musculus OX=10090 GN=Col5a1 PE=1 SV=2, Mus_musculus_sp_Q61245_COBA1_MOUSE sp_Q61245_COBA1_MOUSE Collagen alpha-1_XI_ chain OS=Mus musculus OX=10090 GN=Col11a1 PE=1 SV=2, Mus_musculus_sp_Q61245_COBA1_MOUSE sp_Q61245_COBA1_MOUSE Collagen alpha-1_XI_ chain OS=Mus musculus OX=10090 GN=Col11a1 PE=1 SV=2
OG0000020	Amphimedon_queenslandica_tr_A0A1X7UIM6_A0A1X7UIM6_AMPQE tr_A0A1X7UIM6_A0A1X7UIM6_AMPQE Fibrillar collagen NC1 domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEW8_A0A1X7UEW8_AMPQE tr_A0A1X7UEW8_A0A1X7UEW8_AMPQE Fibrillar collagen NC1 domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100642101 PE=4 SV=1	Mus_musculus_sp_Q30D77_COOA1_MOUSE sp_Q30D77_COOA1_MOUSE Collagen alpha-1_XXIV_ chain OS=Mus musculus OX=10090 GN=Col24a1 PE=2 SV=2, Mus_musculus_sp_Q5QNQ9_CORA1_MOUSE sp_Q5QNQ9_CORA1_MOUSE Collagen alpha-1_XXVII_ chain OS=Mus musculus OX=10090 GN=Col27a1 PE=2 SV=1
OG0000021	Amphimedon_queenslandica_tr_A0A1X7V472_A0A1X7V472_AMPQE tr_A0A1X7V472_A0A1X7V472_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TGT9_A0A1X7TGT9_AMPQE tr_A0A1X7TGT9_A0A1X7TGT9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SJY3_A0A1X7SJY3_AMPQE tr_A0A1X7SJY3_A0A1X7SJY3_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SJQ5_A0A1X7SJQ5_AMPQE tr_A0A1X7SJQ5_A0A1X7SJQ5_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TB95_A0A1X7TB95_AMPQE tr_A0A1X7TB95_A0A1X7TB95_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SU79_A0A1X7SU79_AMPQE tr_A0A1X7SU79_A0A1X7SU79_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VS84_A0A1X7VS84_AMPQE tr_A0A1X7VS84_A0A1X7VS84_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SVY2_A0A1X7SVY2_AMPQE tr_A0A1X7SVY2_A0A1X7SVY2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Mus_musculus_sp_P01132_EGF_MOUSE sp_P01132_EGF_MOUSE Pro-epidermal growth factor OS=Mus musculus OX=10090 GN=Egf PE=1 SV=2
OG0000022	Amphimedon_queenslandica_tr_A0A1X7VQ74_A0A1X7VQ74_AMPQE tr_A0A1X7VQ74_A0A1X7VQ74_AMPQE Annexin OS=Amphimedon queenslandica OX=400682 GN=100638289 PE=3 SV=1	Mus_musculus_sp_Q07076_ANXA7_MOUSE sp_Q07076_ANXA7_MOUSE Annexin A7 OS=Mus musculus OX=10090 GN=Anxa7 PE=1 SV=2
OG0000024	Amphimedon_queenslandica_tr_A0A1X7VFM2_A0A1X7VFM2_AMPQE tr_A0A1X7VFM2_A0A1X7VFM2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100635554 PE=4 SV=1	Mus_musculus_sp_Q8R0S6_WFKN1_MOUSE sp_Q8R0S6_WFKN1_MOUSE WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wfikkn1 PE=2 SV=2, Mus_musculus_sp_Q62288_TICN1_MOUSE sp_Q62288_TICN1_MOUSE Testican-1 OS=Mus musculus OX=10090 GN=Spock1 PE=2 SV=2, Mus_musculus_sp_Q9ER58_TICN2_MOUSE sp_Q9ER58_TICN2_MOUSE Testican-2 OS=Mus musculus OX=10090 GN=Spock2 PE=1 SV=1
OG0000030	Amphimedon_queenslandica_tr_A0A1X7VBP5_A0A1X7VBP5_AMPQE tr_A0A1X7VBP5_A0A1X7VBP5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105311941 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SR42_A0A1X7SR42_AMPQE tr_A0A1X7SR42_A0A1X7SR42_AMPQE Peptidase M12B domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V044_A0A1X7V044_AMPQE tr_A0A1X7V044_A0A1X7V044_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Mus_musculus_sp_Q9Z0F8_ADA17_MOUSE sp_Q9Z0F8_ADA17_MOUSE Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=10090 GN=Adam17 PE=1 SV=3
OG0000030	Amphimedon_queenslandica_tr_A0A1X7U7R3_A0A1X7U7R3_AMPQE tr_A0A1X7U7R3_A0A1X7U7R3_AMPQE Disintegrin domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U550_A0A1X7U550_AMPQE tr_A0A1X7U550_A0A1X7U550_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100632085 PE=4 SV=1	Mus_musculus_sp_O35598_ADA10_MOUSE sp_O35598_ADA10_MOUSE Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2
OG0000038	Amphimedon_queenslandica_tr_A0A1X7VQI5_A0A1X7VQI5_AMPQE tr_A0A1X7VQI5_A0A1X7VQI5_AMPQE TNF_2 domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109585650 PE=3 SV=1	Mus_musculus_sp_O54693_EDA_MOUSE sp_O54693_EDA_MOUSE Ectodysplasin-A OS=Mus musculus OX=10090 GN=Eda PE=1 SV=2, Mus_musculus_sp_Q9WU72_TN13B_MOUSE sp_Q9WU72_TN13B_MOUSE Tumor necrosis factor ligand superfamily member 13B OS=Mus musculus OX=10090 GN=Tnfsf13b PE=1 SV=1, Mus_musculus_sp_Q9D777_TNF13_MOUSE sp_Q9D777_TNF13_MOUSE Tumor necrosis factor ligand superfamily member 13 OS=Mus musculus OX=10090 GN=Tnfsf13 PE=1 SV=1
