Orthogroup	Porifera_Demospongiae_Amphimedon_queenslandica	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000002	Amphimedon_queenslandica_tr_A0A1X7T8F3_A0A1X7T8F3_AMPQE tr_A0A1X7T8F3_A0A1X7T8F3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SPA1_A0A1X7SPA1_AMPQE tr_A0A1X7SPA1_A0A1X7SPA1_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Exaiptasia_diaphana_XP_028516968.1 XP_028516968.1 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519693.1 XP_028519693.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519694.1 XP_028519694.1 semaphorin-5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516031.1 XP_028516031.1 semaphorin-3D [Exaiptasia diaphana]
OG0000002	Amphimedon_queenslandica_tr_A0A1X7U240_A0A1X7U240_AMPQE tr_A0A1X7U240_A0A1X7U240_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100632678 PE=3 SV=1	Exaiptasia_diaphana_XP_028515903.1 XP_028515903.1 hemicentin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515902.1 XP_028515902.1 hemicentin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514310.1 XP_028514310.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898306.1 XP_020898306.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515910.1 XP_028515910.1 uncharacterized protein LOC114575375 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519564.1 XP_028519564.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512748.1 XP_028512748.1 coadhesin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512668.1 XP_028512668.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512672.1 XP_028512672.1 uncharacterized protein LOC114574392 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514920.1 XP_028514920.1 uncharacterized protein LOC110239318_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516844.1 XP_028516844.1 uncharacterized protein LOC110245675 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903382.1 XP_020903382.1 uncharacterized protein LOC110241817 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897811.1 XP_020897811.1 uncharacterized protein LOC110236613 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514725.1 XP_028514725.1 proprotein convertase subtilisin_kexin type 6_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517750.1 XP_028517750.1 proprotein convertase subtilisin_kexin type 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911994.1 XP_020911994.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912114.1 XP_020912114.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907214.2 XP_020907214.2 uncharacterized protein LOC110245292 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516738.1 XP_028516738.1 uncharacterized protein LOC110245292 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516739.1 XP_028516739.1 uncharacterized protein LOC110245292 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518467.1 XP_028518467.1 uncharacterized protein LOC110250637 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892077.1 XP_020892077.1 coadhesin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898400.1 XP_020898400.1 coadhesin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514363.1 XP_028514363.1 coadhesin isoform X2 [Exaiptasia diaphana]
OG0000004	Amphimedon_queenslandica_tr_A0A1X7SJ45_A0A1X7SJ45_AMPQE tr_A0A1X7SJ45_A0A1X7SJ45_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V9K0_A0A1X7V9K0_AMPQE tr_A0A1X7V9K0_A0A1X7V9K0_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UZ52_A0A1X7UZ52_AMPQE tr_A0A1X7UZ52_A0A1X7UZ52_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T3N5_A0A1X7T3N5_AMPQE tr_A0A1X7T3N5_A0A1X7T3N5_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7VAB7_A0A1X7VAB7_AMPQE tr_A0A1X7VAB7_A0A1X7VAB7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V9M7_A0A1X7V9M7_AMPQE tr_A0A1X7V9M7_A0A1X7V9M7_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UXD9_A0A1X7UXD9_AMPQE tr_A0A1X7UXD9_A0A1X7UXD9_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V8Q4_A0A1X7V8Q4_AMPQE tr_A0A1X7V8Q4_A0A1X7V8Q4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V9L7_A0A1X7V9L7_AMPQE tr_A0A1X7V9L7_A0A1X7V9L7_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VAX9_A0A1X7VAX9_AMPQE tr_A0A1X7VAX9_A0A1X7VAX9_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T8B1_A0A1X7T8B1_AMPQE tr_A0A1X7T8B1_A0A1X7T8B1_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VAY4_A0A1X7VAY4_AMPQE tr_A0A1X7VAY4_A0A1X7VAY4_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UYP0_A0A1X7UYP0_AMPQE tr_A0A1X7UYP0_A0A1X7UYP0_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V8S5_A0A1X7V8S5_AMPQE tr_A0A1X7V8S5_A0A1X7V8S5_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SFH7_A0A1X7SFH7_AMPQE tr_A0A1X7SFH7_A0A1X7SFH7_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UXZ0_A0A1X7UXZ0_AMPQE tr_A0A1X7UXZ0_A0A1X7UXZ0_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VAX4_A0A1X7VAX4_AMPQE tr_A0A1X7VAX4_A0A1X7VAX4_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=3 SV=1, Amphimedon_queenslandica_tr_A0A1X7UY59_A0A1X7UY59_AMPQE tr_A0A1X7UY59_A0A1X7UY59_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SYB6_A0A1X7SYB6_AMPQE tr_A0A1X7SYB6_A0A1X7SYB6_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SR40_A0A1X7SR40_AMPQE tr_A0A1X7SR40_A0A1X7SR40_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V9K7_A0A1X7V9K7_AMPQE tr_A0A1X7V9K7_A0A1X7V9K7_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T7K3_A0A1X7T7K3_AMPQE tr_A0A1X7T7K3_A0A1X7T7K3_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SVX6_A0A1X7SVX6_AMPQE tr_A0A1X7SVX6_A0A1X7SVX6_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VJ19_A0A1X7VJ19_AMPQE tr_A0A1X7VJ19_A0A1X7VJ19_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SKR6_A0A1X7SKR6_AMPQE tr_A0A1X7SKR6_A0A1X7SKR6_AMPQE VWFA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VWV6_A0A1X7VWV6_AMPQE tr_A0A1X7VWV6_A0A1X7VWV6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100639213 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T0I7_A0A1X7T0I7_AMPQE tr_A0A1X7T0I7_A0A1X7T0I7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VFU3_A0A1X7VFU3_AMPQE tr_A0A1X7VFU3_A0A1X7VFU3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100640739 PE=4 SV=1	Exaiptasia_diaphana_XP_020911954.1 XP_020911954.1 cochlin [Exaiptasia diaphana]
OG0000004	Amphimedon_queenslandica_tr_A0A1X7UFR8_A0A1X7UFR8_AMPQE tr_A0A1X7UFR8_A0A1X7UFR8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100631576 PE=4 SV=1	Exaiptasia_diaphana_XP_020912336.1 XP_020912336.1 protocadherin Fat 4 [Exaiptasia diaphana]
OG0000004	Amphimedon_queenslandica_tr_A0A1X7VAC1_A0A1X7VAC1_AMPQE tr_A0A1X7VAC1_A0A1X7VAC1_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105312100 PE=4 SV=1	Exaiptasia_diaphana_XP_028516238.1 XP_028516238.1 putative uncharacterized protein DDB_G0286901 [Exaiptasia diaphana]
OG0000004	Amphimedon_queenslandica_tr_A0A1X7TTU5_A0A1X7TTU5_AMPQE tr_A0A1X7TTU5_A0A1X7TTU5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100635582 PE=4 SV=1	Exaiptasia_diaphana_XP_020913069.1 XP_020913069.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900065.1 XP_020900065.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900069.1 XP_020900069.1 protocadherin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513163.1 XP_028513163.1 protocadherin-like protein isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513162.1 XP_028513162.1 protocadherin-like protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894174.1 XP_020894174.1 protocadherin-like protein isoform X1 [Exaiptasia diaphana]
OG0000004	Amphimedon_queenslandica_tr_A0A1X7UE75_A0A1X7UE75_AMPQE tr_A0A1X7UE75_A0A1X7UE75_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Exaiptasia_diaphana_XP_020902039.1 XP_020902039.1 LOW QUALITY PROTEIN_ fat-like cadherin-related tumor suppressor homolog_ partial [Exaiptasia diaphana]
OG0000005	Amphimedon_queenslandica_tr_A0A1X7VCH3_A0A1X7VCH3_AMPQE tr_A0A1X7VCH3_A0A1X7VCH3_AMPQE Metalloendopeptidase OS=Amphimedon queenslandica OX=400682 GN=109580701 PE=4 SV=1	Exaiptasia_diaphana_XP_020908974.1 XP_020908974.1 uncharacterized protein LOC110246932 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908967.2 XP_020908967.2 uncharacterized protein LOC110246925 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902117.2 XP_020902117.2 nematocyst expressed protein 6-like [Exaiptasia diaphana]
OG0000005	Amphimedon_queenslandica_tr_A0A1X7VJW8_A0A1X7VJW8_AMPQE tr_A0A1X7VJW8_A0A1X7VJW8_AMPQE Metalloendopeptidase OS=Amphimedon queenslandica OX=400682 GN=100636106 PE=4 SV=1	Exaiptasia_diaphana_XP_028512430.1 XP_028512430.1 zinc metalloproteinase nas-36 [Exaiptasia diaphana]
OG0000006	Amphimedon_queenslandica_tr_A0A1X7VVY6_A0A1X7VVY6_AMPQE tr_A0A1X7VVY6_A0A1X7VVY6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SNE5_A0A1X7SNE5_AMPQE tr_A0A1X7SNE5_A0A1X7SNE5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109592231 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VTZ5_A0A1X7VTZ5_AMPQE tr_A0A1X7VTZ5_A0A1X7VTZ5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Exaiptasia_diaphana_XP_020910180.1 XP_020910180.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910027.1 XP_020910027.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514470.1 XP_028514470.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]
OG0000006	Amphimedon_queenslandica_tr_A0A1X7T448_A0A1X7T448_AMPQE tr_A0A1X7T448_A0A1X7T448_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Exaiptasia_diaphana_XP_028512547.1 XP_028512547.1 roundabout homolog 3-like [Exaiptasia diaphana]
OG0000007	Amphimedon_queenslandica_tr_A0A1X7VF43_A0A1X7VF43_AMPQE tr_A0A1X7VF43_A0A1X7VF43_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V609_A0A1X7V609_AMPQE tr_A0A1X7V609_A0A1X7V609_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SHW9_A0A1X7SHW9_AMPQE tr_A0A1X7SHW9_A0A1X7SHW9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V0H0_A0A1X7V0H0_AMPQE tr_A0A1X7V0H0_A0A1X7V0H0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SVD2_A0A1X7SVD2_AMPQE tr_A0A1X7SVD2_A0A1X7SVD2_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SLA6_A0A1X7SLA6_AMPQE tr_A0A1X7SLA6_A0A1X7SLA6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TEE8_A0A1X7TEE8_AMPQE tr_A0A1X7TEE8_A0A1X7TEE8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U208_A0A1X7U208_AMPQE tr_A0A1X7U208_A0A1X7U208_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Exaiptasia_diaphana_XP_028517430.1 XP_028517430.1 collagen and calcium-binding EGF domain-containing protein 1 [Exaiptasia diaphana]
OG0000007	Amphimedon_queenslandica_tr_A0A1X7SKZ4_A0A1X7SKZ4_AMPQE tr_A0A1X7SKZ4_A0A1X7SKZ4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STM4_A0A1X7STM4_AMPQE tr_A0A1X7STM4_A0A1X7STM4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Exaiptasia_diaphana_XP_028514699.1 XP_028514699.1 uncharacterized protein LOC110238486 [Exaiptasia diaphana]
OG0000007	Amphimedon_queenslandica_tr_A0A1X7SSI1_A0A1X7SSI1_AMPQE tr_A0A1X7SSI1_A0A1X7SSI1_AMPQE Fibulin-5 OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T1V8_A0A1X7T1V8_AMPQE tr_A0A1X7T1V8_A0A1X7T1V8_AMPQE EGF_CA domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Exaiptasia_diaphana_XP_028519369.1 XP_028519369.1 mucin-like protein [Exaiptasia diaphana]
OG0000007	Amphimedon_queenslandica_tr_A0A1X7VHY5_A0A1X7VHY5_AMPQE tr_A0A1X7VHY5_A0A1X7VHY5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SWG6_A0A1X7SWG6_AMPQE tr_A0A1X7SWG6_A0A1X7SWG6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SUC7_A0A1X7SUC7_AMPQE tr_A0A1X7SUC7_A0A1X7SUC7_AMPQE NIDO domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UEE9_A0A1X7UEE9_AMPQE tr_A0A1X7UEE9_A0A1X7UEE9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100638351 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SED7_A0A1X7SED7_AMPQE tr_A0A1X7SED7_A0A1X7SED7_AMPQE NIDO domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Exaiptasia_diaphana_XP_028513868.1 XP_028513868.1 sushi_ nidogen and EGF-like domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518379.1 XP_028518379.1 hemicentin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518380.1 XP_028518380.1 uncharacterized protein LOC110250391 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515863.1 XP_028515863.1 uncharacterized protein LOC110242369 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904008.1 XP_020904008.1 uncharacterized protein LOC110242369 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904007.1 XP_020904007.1 uncharacterized protein LOC110242369 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515862.1 XP_028515862.1 uncharacterized protein LOC110242369 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515861.1 XP_028515861.1 uncharacterized protein LOC110242369 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904009.1 XP_020904009.1 uncharacterized protein LOC110242369 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513925.1 XP_028513925.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896895.1 XP_020896895.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513846.1 XP_028513846.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896768.1 XP_020896768.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517426.1 XP_028517426.1 sushi_ nidogen and EGF-like domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513924.1 XP_028513924.1 sushi_ nidogen and EGF-like domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896893.1 XP_020896893.1 sushi_ nidogen and EGF-like domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896715.2 XP_020896715.2 uncharacterized protein LOC110235594 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513892.1 XP_028513892.1 sushi_ nidogen and EGF-like domain-containing protein 1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899008.1 XP_020899008.1 sushi_ nidogen and EGF-like domain-containing protein 1 [Exaiptasia diaphana]
OG0000007	Amphimedon_queenslandica_tr_A0A1X7U2X5_A0A1X7U2X5_AMPQE tr_A0A1X7U2X5_A0A1X7U2X5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109585006 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TZR4_A0A1X7TZR4_AMPQE tr_A0A1X7TZR4_A0A1X7TZR4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V5I7_A0A1X7V5I7_AMPQE tr_A0A1X7V5I7_A0A1X7V5I7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T6D5_A0A1X7T6D5_AMPQE tr_A0A1X7T6D5_A0A1X7T6D5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105315278 PE=4 SV=1	Exaiptasia_diaphana_XP_028513923.1 XP_028513923.1 sushi domain-containing protein 2 [Exaiptasia diaphana]
OG0000007	Amphimedon_queenslandica_tr_A0A1X7UXG1_A0A1X7UXG1_AMPQE tr_A0A1X7UXG1_A0A1X7UXG1_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SNX2_A0A1X7SNX2_AMPQE tr_A0A1X7SNX2_A0A1X7SNX2_AMPQE VWFD domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0H9_A0A1X7U0H9_AMPQE tr_A0A1X7U0H9_A0A1X7U0H9_AMPQE AMOP domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VEX8_A0A1X7VEX8_AMPQE tr_A0A1X7VEX8_A0A1X7VEX8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U0T3_A0A1X7U0T3_AMPQE tr_A0A1X7U0T3_A0A1X7U0T3_AMPQE VWFD domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TZY4_A0A1X7TZY4_AMPQE tr_A0A1X7TZY4_A0A1X7TZY4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VE59_A0A1X7VE59_AMPQE tr_A0A1X7VE59_A0A1X7VE59_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VFS2_A0A1X7VFS2_AMPQE tr_A0A1X7VFS2_A0A1X7VFS2_AMPQE VWFD domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TQL5_A0A1X7TQL5_AMPQE tr_A0A1X7TQL5_A0A1X7TQL5_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VD60_A0A1X7VD60_AMPQE tr_A0A1X7VD60_A0A1X7VD60_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VCF9_A0A1X7VCF9_AMPQE tr_A0A1X7VCF9_A0A1X7VCF9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TQV9_A0A1X7TQV9_AMPQE tr_A0A1X7TQV9_A0A1X7TQV9_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TR13_A0A1X7TR13_AMPQE tr_A0A1X7TR13_A0A1X7TR13_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TH31_A0A1X7TH31_AMPQE tr_A0A1X7TH31_A0A1X7TH31_AMPQE EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Exaiptasia_diaphana_XP_028517538.1 XP_028517538.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518064.1 XP_028518064.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518950.1 XP_028518950.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893670.2 XP_020893670.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517536.1 XP_028517536.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902301.1 XP_020902301.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515682.1 XP_028515682.1 uncharacterized protein LOC110241747 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513418.1 XP_028513418.1 uncharacterized protein LOC110234357 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915371.2 XP_020915371.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915241.1 XP_020915241.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514098.1 XP_028514098.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915927.1 XP_020915927.1 uncharacterized protein LOC110253367 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895662.2 XP_020895662.2 fibulin-1 [Exaiptasia diaphana]
